date,PM25_mean,SO2_mean,SPM_mean
2011-05-10,18.708333333333332,3.9583333333333335,
2011-05-11,5.333333333333333,4.478260869565218,
2011-05-12,8.166666666666666,4.833333333333333,
2011-05-13,32.63636363636363,17.625,
2011-05-14,30.0,12.541666666666666,
2011-05-15,21.333333333333332,4.666666666666667,
2011-05-16,22.333333333333332,4.333333333333333,
2011-05-17,29.833333333333332,5.791666666666667,
2011-05-18,23.75,6.0,
2011-05-19,25.75,5.208333333333333,
2011-05-20,17.333333333333332,4.157894736842105,
2011-05-21,7.791666666666667,,
2011-05-22,1.9166666666666667,,
2011-05-23,4.791666666666667,,
2011-05-24,3.125,,
2011-05-25,11.666666666666666,,
2011-05-26,19.5,2.5714285714285716,
2011-05-27,10.583333333333334,2.625,
2011-05-28,4.75,2.4583333333333335,
2011-05-29,1.1666666666666667,2.625,
