date,SO2_mean,SPM_mean
2011-11-23,0.958,5.667
2011-11-24,0.217,5.417
2011-11-25,0.0,1.083
2011-11-26,0.25,2.917
2011-11-27,0.125,4.667
2011-11-28,0.667,41.042
2011-11-29,0.792,21.208
2011-11-30,0.042,8.391
2011-12-01,0.0,1.667
2011-12-02,0.125,1.875
2011-12-03,0.0,7.583
2011-12-04,0.0,2.833
2011-12-05,0.0,2.542
2011-12-06,0.0,3.5
2011-12-07,0.042,1.667
2011-12-08,0.609,2.583
2011-12-09,0.083,1.292
2011-12-10,0.333,3.125
2011-12-11,0.0,4.417
2011-12-12,0.0,3.5
2011-12-13,0.417,4.708
2011-12-14,0.417,4.208
2011-12-15,0.522,5.875
2011-12-16,0.042,1.708
2011-12-17,0.583,3.708
2011-12-18,0.0,1.792
2011-12-19,0.25,1.5
2011-12-20,0.208,5.042
2011-12-21,0.609,4.583
2011-12-22,1.261,10.208
2011-12-23,0.375,2.542
2011-12-24,0.458,3.958
2011-12-25,0.708,2.667
2011-12-26,0.174,6.857
2011-12-27,0.304,2.292
2011-12-28,0.348,3.5
2011-12-29,0.696,6.87
2011-12-30,0.292,3.792
2011-12-31,0.417,2.917
2013-01-01,,12.875
2013-01-02,,3.917
2013-01-03,,2.708
2013-01-04,,3.25
2013-01-05,,2.083
2013-01-06,,5.167
2013-01-07,,1.565
2013-01-08,,5.667
2013-01-09,,3.125
2013-01-10,,3.708
2013-01-11,,3.417
2013-01-12,,2.292
2013-01-13,,9.292
2013-01-14,,6.25
2013-01-15,,2.333
2013-01-16,,4.5
2013-01-17,,5.958
2013-01-18,,8.042
2013-01-19,,6.542
2013-01-20,,1.375
2013-01-21,,13.75
2013-01-22,,9.667
2013-01-23,,9.043
2013-01-24,,4.333
2013-01-25,,3.375
2013-01-26,,8.792
2013-01-27,,1.333
2013-01-28,,5.667
2013-01-29,,10.75
2013-01-30,,3.0
2013-01-31,,17.708
2013-02-01,,17.208
2013-02-02,,11.333
2013-02-03,,15.708
2013-02-04,,2.5
2013-02-05,,4.125
2013-02-06,,7.167
2013-02-07,,5.458
2013-02-08,,5.042
2013-02-09,,1.708
2013-02-10,,5.696
2013-02-11,,2.625
2013-02-12,,2.875
2013-02-13,,4.083
2013-02-14,,8.208
2013-02-15,,2.75
2013-02-16,,13.5
2013-02-17,,27.333
2013-02-18,,13.783
2013-02-19,,10.5
2013-02-20,,10.208
2013-02-21,,14.583
2013-02-22,,4.333
2013-02-23,,8.0
2013-02-24,,9.625
2013-02-25,,42.083
2013-02-26,,55.208
2013-02-27,,27.167
2013-02-28,,18.375
2013-03-01,,22.833
2013-03-02,,8.792
2013-03-03,,6.833
2013-03-04,,7.833
2013-03-05,,12.292
2013-03-06,,11.5
2013-03-07,,7.211
2013-03-11,,20.833
2013-03-12,,34.5
2013-03-13,,16.667
2013-03-14,,3.083
2013-03-15,,7.083
2013-03-16,,34.25
2013-03-17,,34.261
2013-03-18,,29.913
2013-03-19,,14.875
2013-03-20,,14.083
2013-03-21,,3.25
2013-03-22,,4.125
2013-03-23,,10.958
2013-03-24,,19.625
2013-03-25,,19.625
2013-03-26,,21.917
2013-03-27,,22.583
2013-03-28,,27.917
2013-03-29,,17.625
2013-03-30,,14.435
2013-03-31,,17.417
2013-04-01,,10.0
2013-04-02,,21.696
2013-04-03,,11.25
2013-04-04,,21.333
2013-04-05,,27.958
2013-04-06,,16.625
2013-04-07,,5.333
2013-04-08,,7.458
2013-04-09,,12.792
2013-04-10,,8.75
2013-04-11,,9.375
2013-04-12,,7.0
2013-04-13,,10.042
2013-04-14,,14.0
2013-04-15,,9.583
2013-04-16,,19.792
2013-04-17,,37.125
2013-04-18,,21.208
2013-04-19,,11.583
2013-04-20,,4.875
2013-04-21,,3.333
2013-04-22,,11.708
2013-04-23,,6.292
2013-04-24,,5.167
2013-04-25,,9.417
2013-04-26,,14.5
2013-04-27,,11.652
2013-04-28,,11.542
2013-04-29,,9.0
2013-04-30,,16.542
2013-05-01,,4.792
2013-05-02,,3.208
2013-05-03,,3.875
2013-05-04,,3.792
2013-05-05,,11.875
2013-05-06,,23.333
2013-05-07,,4.261
2013-05-08,,4.25
2013-05-09,,4.083
2013-05-10,,9.875
2013-05-11,,11.083
2013-05-12,,10.667
2013-05-13,,26.75
2013-05-14,,53.708
2013-05-15,,26.667
2013-05-16,,26.75
2013-05-17,,10.833
2013-05-18,,7.75
2013-05-19,,15.417
2013-05-20,,12.292
2013-05-21,,12.208
2013-05-22,,26.333
2013-05-23,,17.75
2013-05-24,,4.708
2013-05-25,,7.958
2013-05-26,,15.0
2013-05-27,,22.958
2013-05-28,,21.167
2013-05-29,,6.958
2013-05-30,,11.167
2013-05-31,,12.0
2013-06-01,,20.417
2013-06-02,,15.667
2013-06-03,,10.708
2013-06-04,,14.208
2013-06-05,,13.792
2013-06-06,,13.958
2013-06-07,,18.125
2013-06-08,,12.792
2013-06-09,,14.875
2013-06-10,,21.5
2013-06-11,,17.318
2013-06-12,,18.583
2013-06-13,,12.833
2013-06-14,,14.167
2013-06-15,,19.875
2013-06-16,,7.167
2013-06-17,,14.083
2013-06-18,,20.458
2013-06-19,,6.5
2013-06-20,,2.375
2013-06-21,,5.125
2013-06-22,,3.917
2013-06-23,,8.083
2013-06-24,,14.083
2013-06-25,,3.625
2013-06-26,,17.583
2013-06-27,,14.417
2013-06-28,,17.042
2013-06-29,,12.583
2013-06-30,,18.583
2013-07-01,,14.417
2013-07-02,,14.5
2013-07-03,,6.583
2013-07-04,,5.042
2013-07-05,,9.917
2013-07-06,,13.875
2013-07-07,,6.417
2013-07-08,,5.625
2013-07-09,,12.875
2013-07-10,,10.542
2013-07-11,,20.667
2013-07-12,,20.0
2013-07-13,,30.667
2013-07-14,,16.542
2013-07-15,,5.292
2013-07-16,,6.667
2013-07-17,,14.826
2013-07-18,,9.75
2013-07-19,,8.083
2013-07-20,,2.958
2013-07-21,,9.667
2013-07-22,,14.042
2013-07-23,,19.583
2013-07-24,,8.042
2013-07-25,,22.625
2013-07-26,,35.208
2013-07-27,,47.375
2013-07-28,,40.958
2013-07-29,,19.417
2013-07-30,,73.458
2013-07-31,,48.292
2013-08-01,,49.917
2013-08-02,,8.958
2013-08-03,,9.208
2013-08-04,,10.0
2013-08-05,,21.542
2013-08-06,,25.478
2013-08-07,,34.167
2013-08-08,,53.083
2013-08-09,,55.917
2013-08-10,,79.292
2013-08-11,,74.917
2013-08-12,,65.167
2013-08-13,,48.667
2013-08-14,,23.417
2013-08-15,,34.542
2013-08-16,,41.042
2013-08-17,,30.25
2013-08-18,,22.625
2013-08-19,,17.25
2013-08-20,,19.522
2013-08-21,,11.75
2013-08-22,,20.917
2013-08-23,,9.545
2013-08-24,,10.25
2013-08-25,,6.792
2013-08-26,,8.875
2013-08-27,,2.5
2013-08-28,,5.708
2013-08-29,,14.0
2013-08-30,,13.5
2013-08-31,,11.375
2013-09-01,,9.542
2013-09-02,,6.0
2013-09-03,,5.542
2013-09-04,,8.083
2013-09-05,,3.542
2013-09-06,,4.875
2013-09-07,,6.75
2013-09-08,,1.417
2013-09-09,,4.083
2013-09-10,,11.0
2013-09-11,,11.625
2013-09-12,,31.625
2013-09-13,,30.083
2013-09-14,,36.875
2013-09-15,,13.417
2013-09-16,,12.083
2013-09-17,,7.208
2013-09-18,,4.833
2013-09-19,,7.375
2013-09-20,,17.792
2013-09-21,,13.458
2013-09-22,,16.417
2013-09-23,,16.0
2013-09-24,,20.261
2013-09-25,,19.667
2013-09-26,,2.792
2013-09-27,,3.0
2013-09-28,,7.0
2013-09-29,,9.958
2013-09-30,,11.417
2013-10-01,,17.957
2013-10-02,,16.042
2013-10-03,,8.333
2013-10-04,,1.792
2013-10-05,,12.333
2013-10-06,,8.667
2013-10-07,,8.208
2013-10-08,,9.833
2013-10-09,,6.917
2013-10-10,,3.375
2013-10-11,,4.125
2013-10-12,,21.708
2013-10-13,,2.792
2013-10-14,,5.083
2013-10-15,,15.333
2013-10-16,,6.125
2013-10-17,,3.667
2013-10-18,,3.833
2013-10-19,,9.625
2013-10-20,,4.708
2013-10-21,,2.708
2013-10-22,,2.958
2013-10-23,,7.708
2013-10-24,,7.083
2013-10-25,,5.792
2013-10-26,,9.375
2013-10-27,,11.125
2013-10-28,,10.917
2013-10-29,,9.087
2013-10-30,,14.042
2013-10-31,,18.542
2013-11-01,,14.875
2013-11-02,,8.417
2013-11-03,,26.125
2013-11-04,,15.042
2013-11-05,,14.333
2013-11-06,,7.583
2013-11-07,,9.417
2013-11-08,,9.5
2013-11-09,,9.0
2013-11-10,,3.375
2013-11-11,,7.0
2013-11-12,,2.875
2013-11-13,,5.542
2013-11-14,,1.542
2013-11-15,,4.417
2013-11-16,,7.391
2013-11-17,,16.417
2013-11-18,,5.391
2013-11-19,,3.917
2013-11-20,,3.833
2013-11-21,,3.833
2013-11-22,,4.792
2013-11-23,,5.083
2013-11-24,,15.333
2013-11-25,,5.875
2013-11-26,,11.875
2013-11-27,,5.0
2013-11-28,,6.125
2013-11-29,,2.167
2013-11-30,,4.875
2013-12-01,,1.792
2013-12-02,,6.13
2013-12-03,,5.542
2013-12-04,,7.958
2013-12-05,,15.833
2013-12-06,,11.75
2013-12-07,,2.167
2013-12-08,,6.167
2013-12-09,,6.417
2013-12-10,,8.125
2013-12-11,,4.167
2013-12-12,,1.833
2013-12-13,,3.0
2013-12-14,,5.833
2013-12-15,,3.292
2013-12-16,,6.292
2013-12-17,,2.0
2013-12-18,,3.75
2013-12-19,,1.333
2013-12-20,,4.625
2013-12-21,,2.083
2013-12-22,,3.167
2013-12-23,,4.292
2013-12-24,,5.292
2013-12-25,,9.125
2013-12-26,,1.5
2013-12-27,,11.625
2013-12-28,,4.208
2013-12-29,,7.708
2013-12-30,,2.625
2013-12-31,,9.125
