date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2014-07-22,188.5,2.4166666666666665,98.0,91.25,75.0,6.458333333333333,7.75,7.958333333333333,0.20833333333333334,2.25,34.458333333333336,309.0,256.2916666666667,207.0,194.95833333333334
2014-07-23,188.54166666666666,2.4583333333333335,98.0,89.54166666666667,72.0,8.375,9.083333333333334,10.333333333333334,1.25,1.7916666666666667,51.083333333333336,317.0,267.6666666666667,222.0,196.91666666666666
2014-07-24,191.58333333333334,2.869565217391304,98.0,89.45833333333333,72.0,10.0,9.791666666666666,10.458333333333334,0.6666666666666666,3.75,53.130434782608695,343.0,274.6666666666667,237.0,201.58333333333334
2014-07-25,194.56521739130434,1.565217391304348,98.0,84.5,57.0,5.391304347826087,4.608695652173913,4.739130434782608,0.13043478260869565,1.434782608695652,37.958333333333336,342.0,282.5,230.0,199.95652173913044
2014-07-26,185.70833333333334,1.5,98.0,89.41666666666667,70.0,5.208333333333333,5.125,5.541666666666667,0.4166666666666667,1.375,40.833333333333336,345.0,286.125,248.0,190.91666666666666
2014-07-27,184.66666666666666,2.125,96.0,86.33333333333333,72.0,9.083333333333334,8.583333333333334,9.583333333333334,1.0,3.125,31.041666666666668,334.0,283.9166666666667,246.0,193.75
2014-07-28,193.33333333333334,2.0416666666666665,97.0,81.33333333333333,65.0,4.958333333333333,6.125,6.125,0.0,1.2916666666666667,14.583333333333334,294.0,247.5,208.0,198.29166666666666
2014-07-29,199.16666666666666,2.4583333333333335,98.0,83.33333333333333,60.0,7.541666666666667,7.666666666666667,8.083333333333334,0.4166666666666667,1.3333333333333333,25.625,310.0,251.08333333333334,195.0,206.70833333333334
2014-07-30,196.79166666666666,2.4166666666666665,98.0,86.29166666666667,67.0,6.416666666666667,7.5,7.541666666666667,0.041666666666666664,1.125,28.791666666666668,325.0,259.75,206.0,203.20833333333334
2014-07-31,195.4090909090909,1.75,98.0,88.95833333333333,73.0,6.545454545454546,7.130434782608695,8.304347826086957,1.173913043478261,1.3478260869565217,24.458333333333332,330.0,277.1666666666667,236.0,201.95454545454547
2014-08-01,190.69565217391303,2.652173913043478,98.0,87.66666666666667,66.0,6.043478260869565,8.26086956521739,9.217391304347826,0.9565217391304348,2.4782608695652173,23.75,347.0,277.5833333333333,234.0,196.7391304347826
2014-08-02,193.16666666666666,2.5833333333333335,98.0,82.95833333333333,60.0,8.333333333333334,9.083333333333334,9.208333333333334,0.125,2.125,25.75,344.0,283.4583333333333,225.0,201.5
2014-08-03,189.79166666666666,2.3333333333333335,98.0,82.5,65.0,6.916666666666667,8.375,8.916666666666666,0.5416666666666666,2.8333333333333335,20.375,341.0,277.7916666666667,222.0,196.70833333333334
2014-08-04,177.08333333333334,2.375,96.0,83.29166666666667,72.0,4.083333333333333,7.166666666666667,8.791666666666666,1.625,2.8333333333333335,14.333333333333334,320.0,283.875,252.0,181.16666666666666
2014-08-05,176.58333333333334,1.3333333333333333,90.0,79.75,67.0,3.625,5.125,5.875,0.75,2.0416666666666665,15.5,329.0,293.5416666666667,267.0,180.20833333333334
2014-08-06,178.91666666666666,1.5416666666666667,93.0,80.91666666666667,65.0,3.2916666666666665,4.25,4.625,0.375,1.7916666666666667,17.791666666666668,329.0,288.0416666666667,254.0,182.20833333333334
2014-08-07,181.91666666666666,1.2916666666666667,96.0,82.33333333333333,60.0,4.708333333333333,5.916666666666667,6.583333333333333,0.6666666666666666,1.875,17.333333333333332,332.0,279.4583333333333,239.0,186.625
2014-08-08,188.2173913043478,1.565217391304348,98.0,91.0,80.0,5.086956521739131,8.695652173913043,10.0,1.3043478260869565,1.434782608695652,22.125,296.0,269.375,239.0,193.30434782608697
2014-08-09,189.375,1.0,98.0,95.375,88.0,2.4166666666666665,2.875,2.9583333333333335,0.08333333333333333,1.0,15.25,251.0,232.04166666666666,211.0,191.79166666666666
2014-08-10,180.16666666666666,1.0,98.0,96.83333333333333,90.0,1.5833333333333333,2.75,3.375,0.625,1.0,18.625,294.0,254.91666666666666,209.0,181.75
2014-08-11,177.5,1.0,97.0,87.625,74.0,1.7916666666666667,2.0833333333333335,2.0833333333333335,0.0,1.0833333333333333,21.458333333333332,311.0,275.2916666666667,255.0,179.29166666666666
2014-08-12,183.20833333333334,2.125,98.0,94.54166666666667,81.0,4.666666666666667,6.0,6.25,0.25,1.5833333333333333,24.125,303.0,248.29166666666666,206.0,187.875
2014-08-13,193.625,1.9583333333333333,98.0,93.20833333333333,76.0,3.7083333333333335,6.041666666666667,6.083333333333333,0.041666666666666664,1.0,24.958333333333332,300.0,247.83333333333334,204.0,197.33333333333334
2014-08-14,203.0,3.0833333333333335,98.0,94.95833333333333,76.0,6.0,5.739130434782608,6.0,0.2608695652173913,1.3478260869565217,43.125,314.0,262.0833333333333,244.0,209.0
2014-08-15,179.34782608695653,1.565217391304348,98.0,89.04166666666667,74.0,4.956521739130435,4.130434782608695,4.913043478260869,0.782608695652174,1.608695652173913,18.25,320.0,276.3333333333333,238.0,184.30434782608697
2014-08-16,187.625,2.2916666666666665,98.0,96.29166666666667,91.0,1.8333333333333333,2.5833333333333335,2.7083333333333335,0.125,1.2916666666666667,19.833333333333332,264.0,232.04166666666666,210.0,189.45833333333334
2014-08-17,191.79166666666666,2.75,98.0,96.08333333333333,88.0,5.0,4.875,5.083333333333333,0.20833333333333334,1.4583333333333333,35.291666666666664,282.0,237.5,209.0,196.79166666666666
2014-08-18,190.29166666666666,1.75,98.0,91.04166666666667,79.0,4.083333333333333,4.125,5.291666666666667,1.1666666666666667,1.375,17.5,315.0,264.5833333333333,218.0,194.375
2014-08-19,181.125,1.2916666666666667,98.0,88.29166666666667,72.0,4.208333333333333,5.708333333333333,7.166666666666667,1.4583333333333333,1.6666666666666667,14.291666666666666,319.0,273.375,228.0,185.33333333333334
2014-08-20,188.08333333333334,2.8333333333333335,98.0,87.875,73.0,8.041666666666666,9.083333333333334,11.708333333333334,2.625,2.2083333333333335,27.541666666666668,343.0,286.9166666666667,238.0,196.125
2014-08-21,192.79166666666666,2.5652173913043477,98.0,89.41666666666667,69.0,8.458333333333334,9.375,10.791666666666666,1.4166666666666667,1.7916666666666667,30.791666666666668,335.0,280.7083333333333,231.0,201.25
2014-08-22,187.2608695652174,2.0869565217391304,98.0,87.29166666666667,68.0,9.304347826086957,8.347826086956522,9.73913043478261,1.391304347826087,2.391304347826087,26.75,333.0,278.125,236.0,196.56521739130434
2014-08-23,184.58333333333334,1.4166666666666667,98.0,94.41666666666667,78.0,5.125,6.041666666666667,8.041666666666666,2.0,1.3333333333333333,11.125,290.0,250.79166666666666,231.0,189.70833333333334
2014-08-24,184.91666666666666,1.9166666666666667,98.0,89.0,73.0,6.25,5.791666666666667,6.291666666666667,0.5,1.7916666666666667,16.041666666666668,309.0,260.3333333333333,221.0,191.16666666666666
2014-08-25,192.25,2.3333333333333335,98.0,95.0,83.0,6.375,7.625,8.083333333333334,0.4583333333333333,1.8333333333333333,21.708333333333332,261.0,239.08333333333334,224.0,198.625
2014-08-26,195.5,2.2083333333333335,98.0,97.20833333333333,95.0,6.291666666666667,5.416666666666667,5.791666666666667,0.375,1.375,32.208333333333336,244.0,227.75,213.0,201.79166666666666
2014-08-27,188.95833333333334,1.0,98.0,96.625,91.0,1.6666666666666667,1.2083333333333333,1.3333333333333333,0.125,1.0,11.458333333333334,221.0,206.0,193.0,190.625
