date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-06-24,174.5909090909091,88.0,77.0,62.0,9.863636363636363,4.260869565217392,5.478260869565218,1.2173913043478262,0.6956521739130435,22.791666666666668,301.0,266.875,241.0,184.45454545454547
2011-06-25,181.66666666666666,89.0,77.66666666666667,59.0,12.75,7.125,8.125,1.0,1.25,16.958333333333332,275.0,238.41666666666666,200.0,194.41666666666666
2011-06-26,188.16666666666666,95.0,90.875,85.0,14.708333333333334,7.083333333333333,7.833333333333333,0.75,0.20833333333333334,19.041666666666668,223.0,207.16666666666666,195.0,202.875
2011-06-27,183.08333333333334,96.0,88.20833333333333,72.0,15.5,6.916666666666667,8.791666666666666,1.875,0.75,16.041666666666668,273.0,236.5,196.0,198.58333333333334
2011-06-28,179.54166666666666,90.0,71.29166666666667,45.0,23.708333333333332,10.666666666666666,16.666666666666668,6.0,3.5,23.5,345.0,285.0416666666667,244.0,203.25
2011-06-29,191.33333333333334,95.0,68.66666666666667,40.0,18.75,7.5,8.041666666666666,0.5416666666666666,1.2916666666666667,25.25,353.0,285.7083333333333,231.0,210.08333333333334
2011-06-30,185.0,92.0,71.5,36.0,26.391304347826086,17.791666666666668,19.25,1.4583333333333333,3.5,33.333333333333336,353.0,283.3333333333333,246.0,211.3913043478261
2011-07-01,190.29166666666666,96.0,79.66666666666667,46.0,21.416666666666668,14.083333333333334,16.333333333333332,2.25,2.75,44.0,337.0,269.4166666666667,237.0,211.70833333333334
2011-07-02,186.29166666666666,96.0,79.79166666666667,59.0,17.375,5.666666666666667,6.791666666666667,1.125,1.0416666666666667,18.583333333333332,301.0,257.7083333333333,222.0,203.66666666666666
2011-07-03,184.875,94.0,75.54166666666667,53.0,19.541666666666668,6.125,6.625,0.5,2.0833333333333335,25.541666666666668,324.0,273.7083333333333,235.0,204.41666666666666
2011-07-04,177.875,86.0,75.75,60.0,13.041666666666666,3.4166666666666665,3.9583333333333335,0.5416666666666666,1.0833333333333333,36.0,311.0,280.4583333333333,258.0,190.91666666666666
2011-07-05,182.75,83.0,68.41666666666667,44.0,16.083333333333332,7.708333333333333,8.25,0.5416666666666666,1.25,26.25,337.0,281.1666666666667,244.0,198.83333333333334
2011-07-06,196.2608695652174,93.0,69.5,45.0,15.73913043478261,6.166666666666667,6.5,0.3333333333333333,1.25,24.958333333333332,331.0,268.3333333333333,227.0,212.0
2011-07-07,178.91666666666666,94.0,76.70833333333333,58.0,12.625,4.875,5.5,0.625,1.0416666666666667,14.666666666666666,294.0,263.4583333333333,228.0,191.54166666666666
2011-07-08,176.22727272727272,85.0,75.58333333333333,65.0,15.818181818181818,9.434782608695652,13.869565217391305,4.434782608695652,3.5217391304347827,19.565217391304348,300.0,276.25,258.0,192.04545454545453
2011-07-09,177.70833333333334,92.0,71.70833333333333,47.0,30.833333333333332,10.083333333333334,13.083333333333334,3.0,3.2916666666666665,16.25,347.0,286.9583333333333,251.0,208.54166666666666
2011-07-10,178.0,91.0,66.91666666666667,36.0,18.125,4.208333333333333,5.458333333333333,1.25,2.2083333333333335,13.375,366.0,296.625,244.0,196.125
2011-07-11,180.75,95.0,74.20833333333333,52.0,22.833333333333332,9.041666666666666,12.291666666666666,3.25,4.625,18.416666666666668,341.0,286.9166666666667,243.0,203.58333333333334
2011-07-12,178.52173913043478,94.0,72.375,42.0,16.73913043478261,4.208333333333333,5.458333333333333,1.25,3.0833333333333335,13.875,348.0,284.0416666666667,243.0,195.2608695652174
2011-07-13,178.70833333333334,94.0,68.625,43.0,18.333333333333332,4.666666666666667,5.791666666666667,1.125,5.625,13.916666666666666,345.0,283.2916666666667,236.0,197.04166666666666
2011-07-14,178.58333333333334,93.0,66.33333333333333,33.0,13.208333333333334,3.5,4.916666666666667,1.4166666666666667,1.2916666666666667,9.416666666666666,355.0,285.5833333333333,230.0,191.79166666666666
2011-07-15,179.375,95.0,67.25,35.0,16.375,4.875,6.416666666666667,1.5416666666666667,1.4583333333333333,12.75,363.0,290.4166666666667,233.0,195.75
2011-07-16,180.79166666666666,95.0,72.70833333333333,39.0,20.416666666666668,6.75,8.25,1.5,4.875,19.083333333333332,353.0,285.5416666666667,239.0,201.20833333333334
2011-07-17,177.79166666666666,96.0,71.29166666666667,40.0,13.458333333333334,2.125,2.75,0.625,2.7916666666666665,19.416666666666668,368.0,295.0416666666667,243.0,191.25
2011-07-18,174.43478260869566,89.0,74.16666666666667,54.0,12.565217391304348,2.4166666666666665,3.0416666666666665,0.625,1.5,24.166666666666668,339.0,294.5416666666667,266.0,187.0
2011-07-19,180.875,95.0,91.04166666666667,77.0,12.833333333333334,2.25,3.2083333333333335,0.9583333333333334,1.0,23.666666666666668,285.0,265.7083333333333,255.0,193.70833333333334
2011-07-20,179.29166666666666,96.0,87.5,73.0,12.375,2.7083333333333335,3.5,0.7916666666666666,1.0,21.291666666666668,292.0,254.29166666666666,207.0,191.66666666666666
2011-07-21,182.20833333333334,96.0,82.625,59.0,10.375,3.2916666666666665,4.291666666666667,1.0,1.0,11.958333333333334,221.0,195.83333333333334,175.0,192.58333333333334
2011-07-22,185.43478260869566,92.0,69.33333333333333,44.0,10.869565217391305,5.318181818181818,6.636363636363637,1.3181818181818181,1.0,12.333333333333334,261.0,203.79166666666666,161.0,196.30434782608697
2011-07-23,184.29166666666666,90.0,76.5,66.0,12.125,4.875,5.625,0.75,1.0,12.125,247.0,213.70833333333334,182.0,196.41666666666666
2011-07-24,186.82608695652175,95.0,77.75,55.0,15.478260869565217,5.416666666666667,6.375,0.9583333333333334,1.125,16.125,288.0,242.91666666666666,199.0,202.30434782608697
2011-07-25,181.83333333333334,94.0,73.04166666666667,47.0,13.333333333333334,4.083333333333333,4.666666666666667,0.5833333333333334,2.0833333333333335,21.0,326.0,269.75,230.0,195.16666666666666
2011-07-26,181.375,93.0,78.75,60.0,12.166666666666666,5.958333333333333,6.708333333333333,0.75,0.9166666666666666,19.666666666666668,293.0,262.5416666666667,240.0,193.54166666666666
2011-07-27,179.83333333333334,89.0,77.20833333333333,56.0,14.208333333333334,11.166666666666666,13.208333333333334,2.0416666666666665,2.9583333333333335,22.083333333333332,301.0,268.0416666666667,248.0,194.04166666666666
2011-07-28,194.08333333333334,96.0,87.0,69.0,22.125,16.833333333333332,21.625,4.791666666666667,1.8333333333333333,35.375,287.0,253.66666666666666,236.0,216.20833333333334
2011-07-29,194.91666666666666,97.0,87.33333333333333,72.0,28.166666666666668,19.375,21.25,1.875,2.7916666666666665,45.5,284.0,254.5,234.0,223.08333333333334
2011-07-30,192.08695652173913,97.0,90.25,68.0,18.652173913043477,9.0,9.75,0.75,1.0833333333333333,27.25,293.0,245.04166666666666,227.0,210.7391304347826
2011-07-31,184.83333333333334,96.0,88.20833333333333,70.0,13.041666666666666,5.583333333333333,6.375,0.7916666666666666,1.125,23.375,257.0,228.45833333333334,212.0,197.875
2011-08-01,187.25,96.0,79.95833333333333,54.0,13.625,5.833333333333333,6.541666666666667,0.7083333333333334,1.0,28.583333333333332,271.0,233.875,205.0,200.875
2011-08-02,189.08333333333334,97.0,78.41666666666667,52.0,14.625,5.166666666666667,5.916666666666667,0.75,1.0,14.047619047619047,301.0,245.04166666666666,202.0,203.70833333333334
2011-08-03,187.375,95.0,82.16666666666667,64.0,15.916666666666666,6.166666666666667,7.5,1.3333333333333333,1.0,5.875,302.0,257.375,221.0,203.29166666666666
2011-08-04,181.875,97.0,82.16666666666667,52.0,14.916666666666666,4.916666666666667,7.041666666666667,2.125,0.875,7.458333333333333,322.0,264.9166666666667,230.0,196.79166666666666
2011-08-05,179.6818181818182,97.0,85.25,53.0,16.363636363636363,4.761904761904762,6.476190476190476,1.7142857142857142,1.0,8.409090909090908,322.0,265.3333333333333,242.0,196.04545454545453
2011-08-06,177.41666666666666,97.0,80.04166666666667,57.0,21.208333333333332,10.083333333333334,14.5,4.416666666666667,3.625,18.458333333333332,334.0,279.1666666666667,239.0,198.625
2011-08-07,185.75,96.0,79.04166666666667,53.0,20.083333333333332,7.583333333333333,8.916666666666666,1.3333333333333333,1.6666666666666667,30.333333333333332,338.0,282.4166666666667,247.0,205.83333333333334
2011-08-08,183.625,97.0,79.75,51.0,22.583333333333332,11.125,12.0,0.875,1.625,27.833333333333332,332.0,281.2083333333333,238.0,206.20833333333334
2011-08-09,182.0,96.0,76.54166666666667,48.0,26.875,12.75,14.541666666666666,1.7916666666666667,3.5,31.625,353.0,292.0833333333333,246.0,208.875
2011-08-10,177.66666666666666,95.0,73.54166666666667,48.0,15.625,7.291666666666667,8.083333333333334,0.7916666666666666,1.625,31.916666666666668,360.0,299.6666666666667,257.0,193.29166666666666
2011-08-11,181.04347826086956,90.0,72.875,43.0,25.0,12.708333333333334,13.666666666666666,0.9583333333333334,3.375,43.625,369.0,302.0833333333333,264.0,206.04347826086956
2011-08-12,190.25,90.0,71.08333333333333,50.0,18.833333333333332,8.833333333333334,9.208333333333334,0.375,1.7916666666666667,41.25,354.0,295.0833333333333,254.0,209.08333333333334
2011-08-13,187.5,95.0,76.91666666666667,45.0,17.375,6.166666666666667,6.458333333333333,0.2916666666666667,3.4166666666666665,50.458333333333336,338.0,286.5833333333333,246.0,204.875
2011-08-14,184.16666666666666,96.0,74.41666666666667,45.0,18.083333333333332,5.875,6.208333333333333,0.3333333333333333,2.9166666666666665,47.833333333333336,356.0,295.9583333333333,257.0,202.25
2011-08-15,177.70833333333334,93.0,72.5,46.0,13.041666666666666,3.75,4.166666666666667,0.4166666666666667,1.4583333333333333,33.083333333333336,350.0,294.7083333333333,255.0,190.75
2011-08-16,185.54166666666666,94.0,75.58333333333333,49.0,23.5,10.916666666666666,11.958333333333334,1.0416666666666667,3.7916666666666665,39.041666666666664,336.0,290.6666666666667,258.0,209.04166666666666
2011-08-17,188.6086956521739,92.0,71.875,45.0,19.217391304347824,9.166666666666666,10.208333333333334,1.0416666666666667,2.8333333333333335,41.875,353.0,296.1666666666667,252.0,207.82608695652175
2011-08-18,176.5,90.0,71.54166666666667,49.0,13.625,6.25,7.166666666666667,0.9166666666666666,1.9166666666666667,42.083333333333336,354.0,300.2083333333333,267.0,190.125
2011-08-19,179.65217391304347,96.0,89.0,66.0,11.26086956521739,8.130434782608695,8.782608695652174,0.6521739130434783,1.565217391304348,25.08695652173913,311.0,243.875,210.0,190.91304347826087
2011-08-20,187.79166666666666,95.0,84.95833333333333,67.0,11.958333333333334,9.875,10.916666666666666,1.0416666666666667,1.5833333333333333,12.708333333333334,252.0,230.0,213.0,199.75
2011-08-21,184.66666666666666,96.0,94.54166666666667,91.0,9.25,6.0,6.458333333333333,0.4583333333333333,1.0,10.916666666666666,224.0,207.58333333333334,198.0,193.91666666666666
2011-08-22,185.91666666666666,97.0,93.79166666666667,84.0,10.833333333333334,9.791666666666666,11.166666666666666,1.375,1.0,16.041666666666668,229.0,214.375,200.0,196.75
2011-08-23,185.56521739130434,97.0,82.29166666666667,52.0,12.434782608695652,6.5,7.875,1.375,1.9166666666666667,34.833333333333336,329.0,261.6666666666667,216.0,198.0
2011-08-24,175.79166666666666,98.0,86.54166666666667,62.0,12.333333333333334,5.083333333333333,8.333333333333334,3.25,3.1666666666666665,18.25,304.0,265.9583333333333,235.0,188.125
2011-08-25,175.08333333333334,95.0,83.70833333333333,64.0,7.708333333333333,3.25,4.5,1.25,1.6666666666666667,20.958333333333332,300.0,273.25,252.0,182.79166666666666
2011-08-26,180.20833333333334,97.0,83.875,55.0,16.0,13.166666666666666,16.166666666666668,3.0,2.9583333333333335,26.208333333333332,327.0,263.6666666666667,225.0,196.20833333333334
2011-08-27,186.0,98.0,86.79166666666667,63.0,12.291666666666666,10.083333333333334,11.25,1.1666666666666667,2.7083333333333335,21.916666666666668,273.0,237.45833333333334,219.0,198.29166666666666
2011-08-28,188.75,97.0,79.54166666666667,52.0,15.125,6.291666666666667,6.791666666666667,0.5,1.8333333333333333,20.625,310.0,249.29166666666666,210.0,203.875
2011-08-29,185.47826086956522,96.0,81.875,53.0,12.434782608695652,8.958333333333334,10.125,1.1666666666666667,2.1666666666666665,26.666666666666668,297.0,249.75,222.0,197.91304347826087
2011-08-30,184.54166666666666,96.0,76.16666666666667,42.0,12.333333333333334,7.583333333333333,8.875,1.2916666666666667,1.9166666666666667,17.041666666666668,311.0,259.0833333333333,225.0,196.875
2011-08-31,182.29166666666666,96.0,86.16666666666667,62.0,16.666666666666668,7.291666666666667,9.5,2.2083333333333335,1.0,21.666666666666668,306.0,258.6666666666667,220.0,198.95833333333334
2011-09-01,178.54166666666666,97.0,85.54166666666667,62.0,13.416666666666666,2.3333333333333335,2.9583333333333335,0.625,0.9583333333333334,25.875,316.0,277.0833333333333,253.0,191.95833333333334
