date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-10-22,3.292,17.958,25.792,7.833,
2011-10-23,3.458,11.458,15.833,4.375,
2011-10-24,3.458,19.75,24.125,4.375,
2011-10-25,3.708,18.708,24.75,6.042,
2011-10-26,3.087,17.348,25.391,8.043,
2011-10-27,4.917,28.174,68.739,40.565,
2011-10-28,4.348,29.0,77.25,48.25,
2011-10-29,5.083,29.875,59.542,29.667,
2011-10-30,3.25,13.5,15.625,2.125,
2011-10-31,3.333,18.875,33.958,15.083,
2011-11-01,4.875,33.792,98.333,64.542,
2011-11-02,5.043,30.609,73.348,42.739,
2011-11-03,6.0,29.826,69.783,39.957,
2011-11-04,5.696,28.708,78.375,49.667,
2011-11-05,6.958,35.125,70.792,35.667,
2011-11-06,5.333,18.542,22.875,4.333,
2011-11-07,4.167,23.125,43.833,20.708,
2011-11-08,3.625,26.208,44.792,18.583,
2011-11-09,4.565,28.609,67.565,38.957,
2011-11-10,4.292,26.87,51.0,24.13,
2011-11-11,4.043,23.25,32.125,8.875,
2011-11-12,5.0,23.625,52.542,28.917,
2011-11-13,5.917,17.25,35.0,17.75,
2011-11-14,5.083,25.375,48.917,23.542,
2011-11-15,4.87,24.261,50.261,26.0,
2011-11-16,4.375,25.458,64.083,38.625,
2011-11-17,5.417,33.174,105.435,72.261,
2011-11-18,4.696,26.875,47.0,20.125,
2011-11-19,6.0,27.917,68.292,40.375,
2011-11-20,5.583,18.042,51.917,33.875,
2011-11-21,3.917,25.875,50.833,24.958,
2011-11-22,4.708,31.0,92.25,61.25,
2011-11-23,4.917,27.25,56.458,29.208,
2011-11-24,4.957,31.545,86.182,54.636,
2011-11-25,4.913,31.875,104.458,72.583,
2011-11-26,6.25,30.417,95.458,65.042,
2011-11-27,6.792,26.375,68.458,42.083,
2011-11-28,6.917,33.208,113.75,80.542,
2011-11-29,7.042,41.583,143.583,102.0,
2011-11-30,6.174,37.696,122.739,85.043,
2011-12-01,3.042,22.826,30.522,7.696,
2011-12-02,2.565,14.958,18.792,3.833,
2011-12-03,4.167,18.25,38.083,19.833,
2011-12-04,4.333,16.625,43.958,27.333,
2011-12-05,4.333,26.042,82.375,56.333,
2011-12-06,3.913,31.455,62.409,30.955,
2011-12-07,5.458,29.917,84.042,54.125,
2011-12-08,5.042,27.435,62.348,34.913,
2011-12-09,4.783,21.917,47.375,25.458,
2011-12-10,5.625,27.458,90.0,62.542,
2011-12-11,6.167,24.167,68.792,44.625,
2011-12-12,6.667,36.583,140.25,103.667,
2011-12-13,6.417,35.625,150.208,114.583,
2011-12-14,5.609,32.773,91.727,58.955,
2011-12-15,5.75,33.174,107.565,74.391,
2011-12-16,4.565,25.417,56.042,30.625,
2011-12-17,4.708,28.583,83.958,55.375,
2011-12-18,5.417,24.792,55.708,30.917,
2011-12-19,6.043,32.652,107.13,74.478,
2011-12-20,5.5,32.833,122.5,89.667,
2011-12-21,5.75,31.667,81.875,50.208,
2011-12-22,7.5,37.609,130.261,92.652,
2011-12-23,5.391,27.625,99.792,72.167,
2011-12-24,5.625,31.583,88.083,56.5,
2011-12-25,5.292,25.0,58.708,33.708,
2011-12-26,5.217,35.957,118.609,82.652,
2011-12-27,5.708,38.167,140.917,102.75,
2011-12-28,5.375,34.667,107.667,73.0,
2011-12-29,6.0,33.478,98.174,64.696,
2011-12-30,5.0,20.583,54.125,33.542,
2011-12-31,5.875,25.875,53.75,27.875,
2012-01-01,5.083,18.708,33.667,14.958,7.739
2012-01-02,3.0,17.5,27.875,10.375,13.167
2012-01-03,3.375,18.958,31.292,12.333,8.25
2012-01-04,3.75,21.875,48.0,26.125,5.727
2012-01-05,4.667,27.125,58.417,31.292,7.958
2012-01-06,5.5,27.0,62.917,35.917,10.833
2012-01-07,6.958,35.13,110.652,75.522,13.833
2012-01-08,6.667,36.208,110.292,74.083,14.958
2012-01-09,5.217,31.333,83.75,52.417,17.208
2012-01-10,3.522,26.957,50.304,23.348,8.87
2012-01-11,5.375,35.625,119.792,84.167,10.125
2012-01-12,6.042,36.625,103.792,67.167,17.292
2012-01-13,6.083,32.167,65.833,33.667,16.792
2012-01-14,4.167,16.87,22.0,5.13,13.167
2012-01-15,4.167,28.25,55.708,27.458,9.875
2012-01-16,4.565,36.208,83.875,47.667,12.792
2012-01-17,4.333,29.917,88.75,58.833,11.292
2012-01-18,4.478,31.348,87.087,55.739,8.864
2012-01-19,5.25,36.375,103.375,67.0,9.708
2012-01-20,4.333,20.042,44.458,24.417,8.292
2012-01-21,5.375,34.435,90.174,55.739,13.917
2012-01-22,4.708,25.875,49.708,23.833,16.435
2012-01-23,2.565,21.167,30.583,9.417,4.5
2012-01-24,3.304,25.783,47.652,21.87,10.739
2012-01-25,3.5,24.375,69.0,44.625,9.042
2012-01-26,2.792,21.208,41.333,20.125,4.125
2012-01-27,3.458,18.5,28.458,9.958,5.0
2012-01-28,4.0,21.174,41.522,20.348,6.708
2012-01-29,4.875,34.833,101.542,66.708,9.261
