date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2018-03-02,3.375,4.041666666666667,0.6666666666666666,18.375,21.875,106.0,49.791666666666664,-14.0
2018-03-03,3.7916666666666665,4.458333333333333,0.6666666666666666,14.25,17.666666666666668,94.0,63.333333333333336,32.0
2018-03-04,3.0,3.5,0.5,4.791666666666667,7.208333333333333,78.0,63.458333333333336,48.0
2018-03-05,4.291666666666667,5.0,0.7083333333333334,19.333333333333332,26.541666666666668,121.0,67.66666666666667,29.0
2018-03-06,7.173913043478261,8.73913043478261,1.565217391304348,12.833333333333334,18.25,133.0,73.54166666666667,37.0
2018-03-07,3.0833333333333335,3.4166666666666665,0.3333333333333333,12.583333333333334,15.166666666666666,71.0,53.083333333333336,14.0
2018-03-08,2.6,3.25,0.65,6.318181818181818,9.0,64.0,25.833333333333332,-19.0
2018-03-09,5.875,7.125,1.25,7.666666666666667,9.166666666666666,112.0,40.041666666666664,-37.0
2018-03-10,4.583333333333333,5.166666666666667,0.5833333333333334,5.75,8.0,105.0,74.58333333333333,27.0
2018-03-11,3.625,4.458333333333333,0.8333333333333334,2.875,4.333333333333333,107.0,78.20833333333333,19.0
2018-03-12,8.25,10.083333333333334,1.8333333333333333,13.166666666666666,15.75,112.0,57.208333333333336,0.0
2018-03-13,5.130434782608695,5.6521739130434785,0.5217391304347826,11.208333333333334,13.833333333333334,79.0,47.25,1.0
2018-03-14,4.25,5.125,0.875,8.458333333333334,10.5,45.0,16.333333333333332,-14.0
2018-03-15,6.083333333333333,7.416666666666667,1.3333333333333333,14.375,16.041666666666668,108.0,42.541666666666664,-30.0
2018-03-16,4.041666666666667,4.666666666666667,0.625,6.25,6.833333333333333,68.0,29.583333333333332,3.0
2018-03-17,3.3333333333333335,3.7083333333333335,0.375,7.125,8.333333333333334,70.0,24.083333333333332,-12.0
2018-03-18,7.833333333333333,9.583333333333334,1.75,8.5,10.041666666666666,112.0,42.208333333333336,-26.0
2018-03-19,6.875,8.041666666666666,1.1666666666666667,9.125,11.125,112.0,72.58333333333333,44.0
2018-03-20,7.7272727272727275,9.318181818181818,1.5909090909090908,10.636363636363637,13.545454545454545,167.0,98.5,14.0
2018-03-21,6.166666666666667,6.541666666666667,0.375,8.0,14.916666666666666,167.0,136.75,95.0
2018-03-22,3.0,3.25,0.25,22.083333333333332,30.0,140.0,76.125,37.0
2018-03-23,2.6666666666666665,2.9583333333333335,0.2916666666666667,11.958333333333334,14.791666666666666,57.0,28.0,-20.0
2018-03-24,3.8333333333333335,3.875,0.041666666666666664,8.708333333333334,11.208333333333334,70.0,32.5,-22.0
2018-03-25,8.521739130434783,10.043478260869565,1.5217391304347827,9.818181818181818,12.434782608695652,106.0,49.083333333333336,-17.0
2018-03-26,4.958333333333333,5.625,0.6666666666666666,21.291666666666668,23.666666666666668,147.0,79.41666666666667,3.0
2018-03-27,9.478260869565217,10.478260869565217,1.0,24.541666666666668,29.208333333333332,152.0,97.33333333333333,9.0
2018-03-28,4.833333333333333,5.041666666666667,0.20833333333333334,11.541666666666666,15.25,123.0,82.41666666666667,16.0
2018-03-29,5.958333333333333,6.416666666666667,0.4583333333333333,12.333333333333334,16.0,143.0,72.66666666666667,15.0
2018-03-30,6.541666666666667,7.0,0.4583333333333333,13.916666666666666,19.083333333333332,124.0,89.20833333333333,63.0
2018-03-31,3.0,3.0,0.0,9.333333333333334,12.041666666666666,81.0,64.0,41.0
2018-04-01,5.416666666666667,5.875,0.4583333333333333,12.541666666666666,18.75,178.0,121.83333333333333,53.0
