date,PM25_mean
2018-09-22,0.583
2018-09-23,5.042
2018-09-24,7.0
2018-09-25,4.708
2018-09-26,3.375
2018-09-27,1.875
2018-09-28,2.043
2018-09-29,3.667
2018-09-30,1.917
2018-10-01,4.882
2018-10-02,4.292
2018-10-03,5.458
2018-10-04,5.591
2018-10-05,5.458
2018-10-06,10.042
2018-10-07,3.375
2018-10-08,4.875
2018-10-09,5.625
2018-10-10,4.833
2018-10-11,3.5
2018-10-12,1.667
2018-10-13,3.583
2018-10-14,2.833
2018-10-15,4.708
2018-10-16,5.625
2018-10-17,5.708
2018-10-18,3.542
2018-10-19,3.217
2018-10-20,4.375
2018-10-21,3.75
2018-10-22,5.875
2018-10-23,6.833
2018-10-24,6.333
2018-10-25,10.667
2018-10-26,8.875
2018-10-27,4.417
2018-10-28,3.125
2018-10-29,4.87
2018-10-30,2.167
2018-10-31,0.5
2018-11-01,1.75
2018-11-02,3.458
2018-11-03,5.625
2018-11-04,7.042
2018-11-05,8.25
2018-11-06,7.583
2018-11-07,7.833
2018-11-08,8.458
2018-11-09,2.217
2018-11-10,3.333
2018-11-11,7.292
2018-11-12,10.083
2018-11-13,4.0
2018-11-14,3.625
2018-11-15,2.25
2018-11-16,4.75
2018-11-17,2.542
2018-11-18,4.625
2018-11-19,3.083
2018-11-20,4.913
2018-11-21,3.417
2018-11-22,2.333
2018-11-23,2.25
2018-11-24,2.125
2018-11-25,3.625
2018-11-26,5.5
2018-11-27,6.667
2018-11-28,12.0
2018-11-29,6.833
2018-11-30,3.261
2018-12-01,4.75
2018-12-02,5.792
2018-12-03,8.417
2018-12-04,11.0
2018-12-05,5.375
2018-12-06,4.565
2018-12-07,2.667
2018-12-08,1.958
2018-12-09,1.458
2018-12-10,1.333
2018-12-11,3.125
2018-12-12,1.708
2018-12-13,3.167
2018-12-14,2.375
2018-12-15,4.083
2018-12-16,3.875
2018-12-17,3.0
2018-12-18,2.739
2018-12-19,2.292
2018-12-20,3.25
2018-12-21,5.875
2018-12-22,7.167
2018-12-23,8.125
2018-12-24,1.875
2018-12-25,3.375
2018-12-26,4.0
2018-12-27,0.913
2018-12-28,1.292
2018-12-29,1.25
2018-12-30,1.792
2018-12-31,1.917
