date,SO2_mean,NO2_mean,NOX_mean,NO_mean
2011-02-28,2.35,5.833,9.23,3.396
2011-03-01,4.1,6.292,8.52,2.229
2011-03-02,3.775,3.083,4.625,1.542
2011-03-03,2.633,1.979,3.458,1.48
2011-03-04,2.35,1.958,3.104,1.146
2011-03-05,3.308,4.438,6.812,2.375
2011-03-06,2.905,7.252,10.645,3.392
2011-03-07,2.077,4.309,7.426,3.118
2011-03-08,2.235,3.479,5.208,1.729
2011-03-09,3.3,4.771,6.125,1.354
2011-03-10,3.334,4.584,6.354,1.771
2011-03-11,2.791,2.375,3.042,0.666
2011-03-12,2.508,3.834,5.229,1.396
2011-03-13,2.375,3.854,5.25,1.396
2011-03-14,3.025,3.666,4.958,1.292
2011-03-15,4.417,4.0,5.586,1.587
2011-03-16,3.625,5.25,7.708,2.458
2011-03-17,2.858,7.084,9.958,2.875
2011-03-18,2.367,3.584,5.416,1.833
2011-03-19,2.3,2.875,5.5,2.625
2011-03-20,2.267,4.438,8.604,4.166
2011-03-21,2.557,4.308,7.488,3.18
2011-03-22,3.214,3.943,5.521,1.578
2011-03-23,3.267,4.812,6.792,1.979
2011-03-24,2.658,3.75,4.916,1.166
2011-03-25,2.45,3.0,3.958,0.958
2011-03-26,2.475,3.521,5.083,1.562
2011-03-27,3.225,4.958,6.75,1.792
2011-03-28,3.492,4.208,6.084,1.875
2011-03-29,3.208,3.646,5.25,1.604
2011-03-30,3.158,3.48,5.021,1.542
2011-03-31,2.3,2.729,4.542,1.812
2011-04-01,3.825,3.0,4.666,1.667
2011-04-02,2.233,1.125,2.771,1.646
2011-04-03,1.992,1.479,3.0,1.52
2011-04-04,2.158,2.042,3.854,1.812
2011-04-05,3.153,2.236,3.766,1.53
2011-04-06,3.117,2.152,3.259,1.106
2011-04-07,2.773,2.458,3.438,0.979
2011-04-08,2.367,1.896,2.646,0.75
2011-04-09,2.758,2.938,3.979,1.042
2011-04-10,3.4,2.416,3.667,1.25
2011-04-11,2.842,2.125,3.625,1.5
2011-04-12,2.5,2.542,4.02,1.48
2011-04-13,2.825,2.979,4.562,1.584
2011-04-14,3.775,4.146,6.25,2.104
2011-04-15,5.516,2.834,4.312,1.48
2011-04-16,3.833,2.562,4.146,1.584
2011-04-17,2.467,0.708,1.938,1.229
2011-04-18,2.325,1.458,2.98,1.521
2011-04-19,2.49,2.856,4.648,1.792
2011-04-20,2.297,2.452,3.888,1.437
2011-04-21,2.026,1.875,3.084,1.208
2011-04-22,1.933,1.125,1.75,0.625
2011-04-23,1.6,1.292,2.166,0.875
2011-04-24,1.925,1.916,3.812,1.896
2011-04-25,1.883,2.792,5.042,2.25
2011-04-26,2.542,3.042,4.833,1.792
2011-04-27,3.433,4.208,6.521,2.312
2011-04-28,2.192,2.292,3.812,1.521
2011-04-29,1.892,1.708,3.834,2.125
2011-04-30,3.042,2.312,4.604,2.292
2011-05-01,2.0,2.75,4.729,1.979
2011-05-02,1.642,0.642,2.041,1.4
2011-05-03,2.617,1.666,3.396,1.73
2011-05-04,1.975,1.521,2.875,1.354
2011-05-05,2.333,1.792,3.688,1.896
2011-05-06,2.621,2.346,4.839,2.492
2011-05-07,2.233,2.417,3.938,1.521
2011-05-08,1.758,1.479,2.604,1.125
2011-05-09,2.666,2.188,3.542,1.354
2011-05-10,2.167,2.354,4.042,1.688
2011-05-11,2.533,2.021,3.5,1.479
2011-05-12,3.525,2.834,5.042,2.208
2011-05-13,1.608,0.604,1.75,1.146
2011-05-14,1.533,1.166,2.916,1.75
2011-05-15,1.908,1.5,3.208,1.708
2011-05-16,2.35,3.5,5.729,2.23
2011-05-17,1.693,2.042,3.57,1.529
2011-05-18,2.741,1.895,3.259,1.364
2011-05-19,3.021,6.521,8.416,1.896
2011-05-20,3.333,3.25,4.167,0.917
2011-05-21,2.3,4.062,5.166,1.104
2011-05-22,2.633,1.458,2.354,0.896
2011-05-23,2.225,2.562,3.834,1.271
2011-05-24,2.583,2.666,3.875,1.208
2011-05-25,3.975,3.0,4.646,1.646
2011-05-26,4.958,5.938,8.23,2.292
2011-05-27,3.442,3.354,5.104,1.75
2011-05-28,2.625,2.646,4.229,1.583
2011-05-29,2.258,1.542,2.812,1.27
2011-05-30,3.175,2.688,4.416,1.73
2011-05-31,4.616,2.625,4.515,1.89
2011-06-01,4.521,2.046,3.388,1.342
2011-06-02,2.779,2.604,3.708,1.104
2011-06-03,2.492,2.312,3.334,1.02
2011-06-04,2.392,5.271,8.0,2.729
2011-06-05,3.0,0.938,2.021,1.084
2011-06-06,2.9,1.812,3.25,1.438
2011-06-07,3.6,2.646,4.0,1.354
2011-06-08,3.108,2.833,4.458,1.625
2011-06-09,3.092,2.292,3.938,1.646
2011-06-10,6.558,3.479,5.396,1.916
2011-06-11,5.067,2.271,4.02,1.75
2011-06-12,3.442,1.333,2.708,1.375
2011-06-13,2.942,3.75,5.52,1.771
2011-06-14,2.066,1.606,3.136,1.53
2011-06-15,2.073,1.038,2.258,1.22
2011-06-16,2.944,2.584,3.834,1.25
2011-06-17,3.275,2.875,4.292,1.416
2011-06-18,2.908,1.792,3.062,1.27
2011-06-19,3.575,1.334,2.708,1.375
2011-06-20,3.383,1.728,2.99,1.263
2011-06-21,3.808,2.161,3.882,1.722
2011-06-22,2.783,2.5,4.146,1.646
2011-06-23,3.367,4.208,6.25,2.042
2011-06-24,2.175,1.646,3.375,1.729
2011-06-25,2.4,1.021,2.458,1.438
2011-06-26,3.233,3.334,5.77,2.438
2011-06-27,2.092,2.416,3.854,1.438
2011-06-28,2.17,3.652,5.597,1.946
2011-06-29,2.583,1.752,2.708,0.956
2011-06-30,2.677,2.708,3.916,1.208
2011-07-01,2.817,2.229,3.416,1.188
2011-07-02,3.317,3.458,5.229,1.77
2011-07-03,2.617,3.0,4.52,1.521
2011-07-04,1.683,1.938,3.188,1.25
2011-07-05,1.767,1.062,2.25,1.188
2011-07-06,2.341,1.584,2.98,1.396
2011-07-07,3.167,3.084,4.917,1.834
2011-07-08,2.417,6.166,9.208,3.042
2011-07-09,2.417,2.729,4.292,1.562
2011-07-10,2.275,2.77,4.438,1.666
2011-07-11,2.883,5.104,7.75,2.646
2011-07-12,2.809,3.14,4.712,1.572
2011-07-13,2.521,2.68,4.419,1.74
2011-07-14,2.654,5.167,7.583,2.417
2011-07-15,1.717,2.792,4.208,1.416
2011-07-16,1.65,5.334,7.875,2.542
2011-07-17,1.9,3.562,5.229,1.667
2011-07-18,1.758,1.479,2.604,1.125
2011-07-19,3.483,2.167,3.75,1.584
2011-07-20,2.808,2.334,4.104,1.771
2011-07-21,3.892,1.916,3.542,1.625
2011-07-22,2.292,1.125,2.229,1.104
2011-07-23,2.25,0.812,1.854,1.042
2011-07-24,3.317,2.5,4.02,1.521
2011-07-25,2.642,2.854,5.062,2.208
2011-07-26,2.428,2.805,4.848,2.042
2011-07-27,4.054,3.974,5.839,1.865
2011-07-28,4.336,4.812,6.708,1.896
2011-07-29,3.442,3.646,4.875,1.23
2011-07-30,3.158,2.729,4.229,1.5
2011-07-31,2.625,1.208,2.438,1.229
2011-08-01,2.875,3.458,5.354,1.896
2011-08-02,2.958,3.917,5.812,1.896
2011-08-03,3.1,2.979,4.646,1.667
2011-08-04,1.925,2.417,4.25,1.834
2011-08-05,2.242,3.458,6.229,2.77
2011-08-06,2.608,2.917,4.77,1.854
2011-08-07,2.125,1.438,2.542,1.104
2011-08-08,2.808,3.625,5.979,2.354
2011-08-09,2.345,2.873,4.233,1.36
2011-08-10,2.205,5.0,7.279,2.28
2011-08-11,2.346,2.125,3.334,1.208
2011-08-12,2.475,1.688,2.604,0.916
2011-08-13,3.783,4.146,5.771,1.625
2011-08-14,2.033,3.166,4.708,1.542
2011-08-15,1.808,2.188,3.084,0.896
2011-08-16,2.258,4.146,5.458,1.312
2011-08-17,1.983,2.042,2.834,0.792
2011-08-18,2.125,2.208,3.333,1.125
2011-08-19,2.883,2.083,3.146,1.062
2011-08-20,2.967,3.042,4.438,1.396
2011-08-21,2.258,1.583,2.771,1.188
2011-08-22,2.2,1.854,2.958,1.104
2011-08-23,1.701,2.982,4.315,1.334
2011-08-24,2.006,2.385,3.324,0.938
2011-08-25,1.705,2.938,4.208,1.27
2011-08-26,1.65,1.584,2.396,0.812
2011-08-27,1.858,1.812,2.75,0.938
2011-08-28,1.95,1.708,2.604,0.896
2011-08-29,3.742,4.021,5.583,1.562
2011-08-30,2.249,2.654,3.926,1.271
2011-08-31,2.42,3.967,5.667,1.699
2011-09-01,3.858,5.458,8.125,2.666
2011-09-02,1.751,4.042,6.916,2.875
2011-09-03,1.875,2.229,3.812,1.584
2011-09-04,1.76,0.958,1.958,1.0
2011-09-05,1.69,0.375,1.334,0.958
2011-09-06,2.187,3.645,5.318,1.674
2011-09-07,1.875,2.199,3.516,1.317
2011-09-08,2.456,1.834,2.5,0.666
2011-09-09,2.925,4.584,5.688,1.104
2011-09-10,2.65,1.979,3.042,1.062
2011-09-11,2.683,2.688,4.0,1.312
2011-09-12,2.358,5.354,7.188,1.834
2011-09-13,2.517,3.604,5.5,1.896
2011-09-14,2.567,2.146,3.75,1.604
2011-09-15,3.133,6.396,9.5,3.104
2011-09-16,2.825,4.104,6.23,2.125
2011-09-17,2.4,3.125,5.0,1.875
2011-09-18,1.758,1.27,2.916,1.646
2011-09-19,1.983,1.542,3.146,1.604
2011-09-20,2.586,2.737,4.506,1.768
2011-09-21,2.097,3.256,5.124,1.868
2011-09-22,1.838,1.875,2.812,0.938
2011-09-23,2.342,2.896,4.104,1.208
2011-09-24,2.233,3.416,5.084,1.667
2011-09-25,2.825,2.25,3.708,1.458
2011-09-26,3.775,4.792,7.521,2.729
2011-09-27,2.775,2.73,4.667,1.938
2011-09-28,4.067,6.354,9.958,3.604
2011-09-29,2.933,3.334,5.438,2.104
2011-09-30,2.167,3.396,5.77,2.375
2011-10-01,1.65,1.334,3.292,1.958
2011-10-02,1.317,1.188,2.708,1.52
2011-10-03,1.225,1.916,3.812,1.896
2011-10-04,1.761,2.737,4.688,1.951
2011-10-05,2.054,2.635,4.062,1.426
2011-10-06,2.311,2.084,2.938,0.854
2011-10-07,1.825,2.729,4.083,1.354
2011-10-08,2.225,3.958,7.479,3.521
2011-10-09,2.467,2.166,3.562,1.396
2011-10-10,2.159,2.5,3.77,1.27
2011-10-11,2.133,2.896,4.916,2.021
2011-10-12,1.9,2.688,4.542,1.854
2011-10-13,2.558,3.188,5.334,2.146
2011-10-14,3.967,6.333,9.354,3.02
2011-10-15,1.883,5.396,7.916,2.521
2011-10-16,2.483,2.562,4.708,2.146
2011-10-17,1.908,1.375,3.375,2.0
2011-10-18,1.599,2.405,4.782,2.377
2011-10-19,2.245,3.536,5.767,2.23
2011-10-20,3.082,5.938,7.834,1.896
2011-10-21,2.283,4.125,5.792,1.667
2011-10-22,1.475,2.521,3.23,0.708
2011-10-23,1.675,3.083,4.167,1.083
2011-10-24,1.908,2.646,3.479,0.833
2011-10-25,1.967,3.396,5.104,1.708
2011-10-26,1.25,2.57,4.449,1.879
2011-10-27,1.625,4.036,6.582,2.546
2011-10-28,2.717,7.28,10.837,3.522
2011-10-29,1.8,5.104,7.562,2.458
2011-10-30,1.741,3.917,5.416,1.5
2011-10-31,2.188,3.69,5.845,2.155
2011-11-01,2.373,4.852,7.068,2.216
2011-11-02,2.838,8.188,11.146,2.958
2011-11-03,2.359,3.062,4.5,1.436
2011-11-04,1.992,4.021,6.062,2.042
2011-11-05,2.942,7.812,10.979,3.166
2011-11-06,1.775,1.917,2.822,0.894
2011-11-07,1.741,3.0,4.542,1.542
2011-11-08,1.925,4.146,6.361,2.382
2011-11-09,1.8,3.771,6.039,2.289
2011-11-10,2.0,3.458,5.846,2.321
2011-11-11,1.858,4.854,7.1,2.256
2011-11-12,1.817,4.208,7.089,2.879
2011-11-13,2.692,3.604,7.174,3.375
2011-11-14,2.05,2.084,4.228,2.125
2011-11-15,1.593,2.098,4.005,2.003
2011-11-16,1.721,3.09,5.188,2.177
2011-11-17,2.007,3.384,5.231,1.846
2011-11-18,2.283,5.333,7.458,2.125
2011-11-19,2.217,8.354,12.521,4.167
2011-11-20,2.008,1.854,3.084,1.229
2011-11-21,1.892,2.544,5.022,2.478
2011-11-22,2.017,3.208,5.875,2.667
2011-11-23,2.562,2.896,4.667,1.771
2011-11-24,2.683,2.271,4.375,2.104
2011-11-25,2.158,2.688,5.666,2.979
2011-11-26,2.433,3.166,5.646,2.479
2011-11-27,2.442,4.625,7.27,2.646
2011-11-28,3.95,6.208,9.583,3.375
2011-11-29,2.902,3.712,5.524,1.81
2011-11-30,2.375,1.62,3.163,1.544
2011-12-01,2.3,2.667,5.208,2.542
2011-12-02,2.417,5.354,8.417,3.062
2011-12-03,2.083,2.146,3.229,1.084
2011-12-04,1.817,1.479,2.896,1.416
2011-12-05,2.358,2.48,4.75,2.271
2011-12-06,2.342,4.0,7.438,3.438
2011-12-07,2.275,3.375,6.208,2.834
2011-12-08,2.183,5.478,9.848,4.37
2011-12-09,2.075,4.708,7.938,3.23
2011-12-10,2.109,3.292,6.5,3.208
2011-12-11,2.283,2.479,5.396,2.916
2011-12-12,2.825,4.52,9.854,5.334
2011-12-13,2.143,5.482,11.451,5.97
2011-12-14,2.901,7.65,12.828,5.178
2011-12-15,4.309,3.166,5.416,2.25
2011-12-16,2.2,3.292,6.083,2.792
2011-12-17,1.883,5.292,10.125,4.834
2011-12-18,2.033,2.646,4.708,2.062
2011-12-19,2.25,5.312,9.604,4.292
2011-12-20,2.067,8.188,13.104,4.917
2011-12-21,2.333,6.271,9.584,3.312
2011-12-22,2.425,4.458,7.125,2.667
2011-12-23,2.083,3.52,7.896,4.375
2011-12-24,1.992,4.229,8.604,4.375
2011-12-25,1.925,3.438,7.396,3.958
2011-12-26,1.778,4.043,7.413,3.37
2011-12-27,1.978,4.834,8.916,4.084
2011-12-28,2.25,7.458,12.75,5.292
2011-12-29,2.867,3.938,6.0,2.062
2011-12-30,2.917,3.562,6.125,2.562
2011-12-31,2.1,3.708,6.354,2.646
2012-01-01,2.533,1.479,2.896,1.416
2012-01-02,3.292,2.25,3.916,1.666
2012-01-03,3.05,2.229,4.604,2.375
2012-01-04,2.1,3.042,5.271,2.23
2012-01-05,2.067,4.0,6.979,2.979
2012-01-06,2.592,1.666,3.834,2.166
2012-01-07,2.05,2.562,5.146,2.583
2012-01-08,1.858,3.774,6.1,2.326
2012-01-09,1.881,5.486,8.272,2.786
2012-01-10,1.887,3.104,4.625,1.521
2012-01-11,2.058,2.979,4.542,1.562
2012-01-12,4.242,7.416,10.854,3.438
2012-01-13,4.5,2.584,4.0,1.416
2012-01-14,2.167,4.104,5.646,1.542
2012-01-15,2.05,2.896,4.979,2.083
2012-01-16,2.092,6.334,10.021,3.688
2012-01-17,1.983,6.438,10.25,3.812
2012-01-18,1.958,3.934,7.109,3.174
2012-01-19,2.008,4.042,7.292,3.25
2012-01-20,2.0,3.021,5.416,2.396
2012-01-21,2.125,4.562,8.23,3.666
2012-01-22,2.335,4.039,6.862,2.822
2012-01-23,2.446,6.064,8.75,2.686
2012-01-24,2.436,3.521,4.792,1.271
2012-01-25,3.308,2.25,3.292,1.042
2012-01-26,2.566,3.271,4.75,1.479
2012-01-27,1.812,1.292,2.0,0.708
2012-01-28,2.125,5.667,7.875,2.208
2012-01-29,2.058,5.688,8.312,2.625
2012-01-30,1.85,2.312,3.438,1.125
2012-01-31,1.983,5.208,9.417,4.208
2012-02-01,3.358,9.0,12.188,3.188
2012-02-02,3.067,2.146,3.834,1.688
2012-02-03,2.0,1.542,3.438,1.896
2012-02-04,2.758,3.958,7.375,3.416
2012-02-05,2.179,3.282,5.892,2.61
2012-02-06,2.326,6.671,9.877,3.206
2012-02-07,2.084,2.416,3.229,0.812
2012-02-08,2.333,2.666,4.5,1.834
2012-02-09,1.825,3.5,5.708,2.208
2012-02-10,2.025,2.625,3.417,0.792
2012-02-11,2.108,4.062,5.604,1.542
2012-02-12,2.4,5.479,8.438,2.958
2012-02-13,2.442,4.312,6.458,2.146
2012-02-14,2.95,5.25,7.25,2.0
2012-02-15,3.733,5.212,8.118,2.905
2012-02-16,3.142,3.354,5.125,1.771
2012-02-17,2.4,3.188,5.583,2.396
2012-02-18,2.483,5.771,8.292,2.52
2012-02-19,3.344,5.858,8.809,2.95
2012-02-20,3.088,3.066,5.267,2.201
2012-02-21,2.82,3.708,5.75,2.042
2012-02-22,2.708,2.75,4.0,1.25
2012-02-23,2.65,3.98,6.167,2.188
2012-02-24,2.425,1.708,3.0,1.292
2012-02-25,2.25,4.334,7.312,2.979
2012-02-26,2.233,5.5,9.021,3.521
2012-02-27,3.217,4.5,7.875,3.375
2012-02-28,3.442,3.479,5.956,2.478
2012-02-29,,,,
2012-03-01,2.75,4.23,6.854,2.625
2012-03-02,2.075,1.396,3.771,2.375
2012-03-03,2.108,1.875,4.062,2.188
2012-03-04,2.308,4.396,6.916,2.521
2012-03-05,2.554,4.788,7.346,2.558
2012-03-06,3.899,5.472,7.377,1.905
2012-03-07,3.945,4.979,6.104,1.125
2012-03-08,4.5,6.604,8.292,1.688
2012-03-09,2.267,1.667,2.458,0.792
2012-03-10,2.517,1.479,2.375,0.896
2012-03-11,2.175,3.0,5.042,2.042
2012-03-12,2.2,5.125,7.271,2.146
2012-03-13,2.258,3.812,5.27,1.458
2012-03-14,2.316,2.208,3.562,1.354
2012-03-15,2.275,3.479,5.196,1.717
2012-03-16,2.892,2.104,3.458,1.354
2012-03-17,3.617,2.208,3.417,1.208
2012-03-18,4.301,10.836,14.372,3.536
2012-03-19,2.693,3.276,4.466,1.19
2012-03-20,2.192,2.167,2.854,0.688
2012-03-21,2.158,1.875,3.042,1.166
2012-03-22,2.733,3.208,4.396,1.188
2012-03-23,2.642,1.458,2.292,0.834
2012-03-24,2.65,2.062,2.896,0.834
2012-03-25,2.741,2.25,3.271,1.02
2012-03-26,2.6,2.688,4.104,1.417
2012-03-27,3.467,2.958,4.438,1.479
2012-03-28,4.45,5.417,7.792,2.375
2012-03-29,2.975,2.75,4.438,1.688
2012-03-30,2.733,2.208,3.75,1.542
2012-03-31,2.683,2.25,3.584,1.334
2012-04-01,2.275,1.771,3.27,1.5
2012-04-02,2.542,3.104,5.208,2.104
2012-04-03,2.449,1.822,2.734,0.912
2012-04-04,2.272,2.237,3.492,1.254
2012-04-05,2.98,2.604,4.021,1.417
2012-04-06,2.825,3.25,4.334,1.083
2012-04-07,2.2,3.292,4.625,1.333
2012-04-08,2.917,2.917,4.208,1.292
2012-04-09,2.708,4.042,6.062,2.021
2012-04-10,3.35,4.334,6.104,1.771
2012-04-11,4.216,7.042,9.521,2.479
2012-04-12,3.092,3.312,5.604,2.292
2012-04-13,2.8,3.333,5.25,1.916
2012-04-14,4.142,5.084,7.584,2.5
2012-04-15,4.183,5.375,8.041,2.667
2012-04-16,3.833,2.458,4.104,1.646
2012-04-17,2.504,4.193,6.441,2.248
2012-04-18,2.486,6.172,8.215,2.042
2012-04-19,3.256,5.396,7.146,1.75
2012-04-20,3.767,5.875,7.75,1.875
2012-04-21,5.175,6.562,8.229,1.666
2012-04-22,4.167,1.98,3.062,1.084
2012-04-23,2.217,4.48,6.688,2.208
2012-04-24,3.008,5.522,7.63,2.108
2012-04-25,3.417,4.52,6.458,1.938
2012-04-26,2.092,1.771,3.208,1.438
2012-04-27,2.858,2.875,5.021,2.146
2012-04-28,5.075,5.438,7.458,2.021
2012-04-29,4.092,8.604,11.334,2.73
2012-04-30,5.775,6.0,8.334,2.333
2012-05-01,3.928,3.934,5.348,1.413
2012-05-02,3.539,3.708,4.75,1.042
2012-05-03,2.25,0.77,0.896,0.125
2012-05-04,1.5,0.77,0.916,0.146
2012-05-05,1.625,2.916,4.021,1.104
2012-05-06,2.508,2.666,3.438,0.77
2012-05-07,2.575,5.688,7.604,1.917
2012-05-08,3.55,6.166,8.125,1.958
2012-05-09,4.367,4.77,6.438,1.666
2012-05-10,4.1,4.416,5.979,1.562
2012-05-11,2.908,1.729,3.104,1.375
2012-05-12,1.608,1.062,2.208,1.146
2012-05-13,3.3,1.708,3.042,1.333
2012-05-14,3.208,3.917,5.625,1.708
2012-05-15,2.293,7.788,10.26,2.472
2012-05-16,1.631,3.664,4.722,1.058
2012-05-17,2.482,2.021,2.521,0.5
2012-05-18,3.8,3.52,4.604,1.084
2012-05-19,3.008,2.062,2.834,0.771
2012-05-20,5.175,5.292,6.98,1.688
2012-05-21,4.583,6.021,7.521,1.5
2012-05-22,5.842,6.479,8.312,1.834
2012-05-23,3.717,5.75,7.52,1.771
2012-05-24,4.117,3.544,4.913,1.37
2012-05-25,6.7,5.854,7.646,1.792
2012-05-26,4.075,3.604,5.25,1.646
2012-05-27,2.858,2.208,3.52,1.312
2012-05-28,1.875,1.916,3.021,1.104
2012-05-29,2.305,2.654,4.106,1.452
2012-05-30,2.652,2.324,3.049,0.726
2012-05-31,2.619,2.688,3.396,0.708
2012-06-01,2.708,3.958,4.854,0.896
2012-06-02,3.733,5.75,7.375,1.625
2012-06-03,3.4,2.958,3.916,0.958
2012-06-04,4.308,4.458,6.208,1.75
2012-06-05,3.367,4.604,6.666,2.062
2012-06-06,2.783,4.416,6.0,1.584
2012-06-07,4.117,3.271,4.958,1.688
2012-06-08,6.042,7.188,10.312,3.125
2012-06-09,2.517,3.042,4.625,1.583
2012-06-10,2.625,3.979,5.666,1.688
2012-06-11,3.94,3.962,5.9,1.938
2012-06-12,2.513,1.237,2.044,0.807
2012-06-13,2.405,1.25,1.75,0.5
2012-06-14,3.375,4.416,5.646,1.229
2012-06-15,5.492,6.125,8.0,1.875
2012-06-16,3.008,3.104,4.084,0.979
2012-06-17,2.1,2.958,4.02,1.062
2012-06-18,2.308,2.792,3.833,1.042
2012-06-19,2.517,3.63,5.424,1.795
2012-06-20,1.65,2.034,3.466,1.434
2012-06-21,2.483,3.875,5.792,1.916
2012-06-22,1.9,3.348,5.217,1.87
2012-06-23,1.867,1.916,3.208,1.292
2012-06-24,3.417,3.75,5.479,1.729
2012-06-25,3.933,4.188,6.104,1.916
2012-06-26,3.593,4.774,6.954,2.18
2012-06-27,3.761,3.596,5.4,1.804
2012-06-28,5.245,3.854,5.438,1.584
2012-06-29,5.569,3.562,5.02,1.458
2012-06-30,4.675,4.0,6.375,2.375
2012-07-01,3.142,1.646,3.0,1.354
2012-07-02,2.6,1.625,3.125,1.5
2012-07-03,3.25,4.812,7.875,3.062
2012-07-04,3.792,4.854,7.708,2.854
2012-07-05,3.617,6.938,10.916,3.979
2012-07-06,4.683,3.354,5.333,1.979
2012-07-07,5.167,4.062,6.146,2.084
2012-07-08,5.458,6.146,8.812,2.666
2012-07-09,3.65,3.812,6.084,2.271
2012-07-10,3.466,3.28,4.9,1.619
2012-07-11,3.829,4.476,6.136,1.66
2012-07-12,2.317,3.396,4.542,1.146
2012-07-13,2.35,1.188,2.458,1.27
2012-07-14,2.383,2.021,3.521,1.5
2012-07-15,5.45,5.479,8.396,2.916
2012-07-16,4.292,4.854,6.75,1.896
2012-07-17,3.508,2.63,4.108,1.478
2012-07-18,3.525,2.292,3.792,1.5
2012-07-19,4.817,3.75,5.708,1.958
2012-07-20,3.542,3.188,5.062,1.875
2012-07-21,3.758,4.396,6.542,2.146
2012-07-22,3.083,3.084,4.646,1.562
2012-07-23,3.817,3.021,4.875,1.854
2012-07-24,5.486,10.014,13.335,3.322
2012-07-25,3.277,6.85,9.592,2.742
2012-07-26,3.099,2.771,4.354,1.584
2012-07-27,3.242,3.542,5.688,2.146
2012-07-28,3.233,2.271,3.896,1.625
2012-07-29,3.433,2.938,4.958,2.021
2012-07-30,3.85,7.354,10.396,3.042
2012-07-31,3.717,6.042,8.938,2.896
2012-08-01,3.033,4.0,6.48,2.479
2012-08-02,2.9,2.084,4.021,1.938
2012-08-03,3.075,3.208,5.417,2.208
2012-08-04,2.858,2.479,4.375,1.896
2012-08-05,2.675,2.542,4.584,2.042
2012-08-06,2.392,2.0,3.729,1.729
2012-08-07,2.699,1.408,2.933,1.525
2012-08-08,2.544,2.176,3.512,1.335
2012-08-09,3.161,2.979,4.062,1.084
2012-08-10,3.166,4.458,6.333,1.875
2012-08-11,2.817,2.542,4.188,1.646
2012-08-12,4.883,4.979,7.292,2.312
2012-08-13,2.917,4.521,6.812,2.292
2012-08-14,3.262,1.646,3.208,1.562
2012-08-15,3.342,2.188,4.166,1.98
2012-08-16,2.933,1.75,3.208,1.458
2012-08-17,3.092,3.334,5.458,2.125
2012-08-18,3.667,3.416,5.166,1.75
2012-08-19,4.808,5.208,7.479,2.27
2012-08-20,4.975,3.292,5.271,1.979
2012-08-21,5.121,5.698,8.634,2.936
2012-08-22,7.084,6.878,9.59,2.712
2012-08-23,5.227,4.271,5.688,1.416
2012-08-24,6.937,8.521,11.146,2.625
2012-08-25,6.083,5.729,7.667,1.938
2012-08-26,5.475,4.812,6.75,1.938
2012-08-27,3.192,2.312,4.083,1.771
2012-08-28,6.386,4.104,6.458,2.354
