date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,PM25_mean
2011-02-07,99.0,94.25,89.0,21.7125,36.449,14.7365,14.225000000000001,57.0,34.583,19.0,11.25
2011-02-08,88.0,57.458,32.0,5.4585,8.850999999999999,3.3925,5.9375,29.0,4.792,-24.0,1.348
2011-02-09,87.0,69.542,45.0,10.9375,17.8955,6.9585,7.667,21.0,-17.875,-39.0,3.125
2011-02-10,92.0,70.0,35.0,14.1455,24.333,10.1875,10.146,52.0,-8.833,-65.0,6.875
2011-02-11,92.0,71.083,43.0,7.7295,11.832999999999998,4.1045,9.271,29.0,-9.583,-46.0,4.708
2011-02-12,93.0,70.833,39.0,8.75,12.375,3.625,13.25,36.0,-19.375,-56.0,9.833
2011-02-13,99.0,73.167,45.0,17.5835,27.604,10.021,18.0415,49.0,-6.083,-56.0,13.417
2011-02-14,100.0,93.238,69.0,24.125,39.7295,15.604,37.8955,50.0,12.458,-10.0,29.833
2011-02-15,100.0,74.3,58.0,14.558,24.1205,9.5625,22.1875,49.0,14.625,-18.0,15.75
2011-02-16,81.0,58.875,37.0,13.375,21.9585,8.5835,9.5835,39.0,-7.667,-30.0,4.458
2011-02-17,92.0,67.083,43.0,14.5625,23.25,8.6875,11.3545,17.0,-13.917,-38.0,7.042
2011-02-18,88.0,67.5,41.0,7.2085,11.646,4.4375,11.083,-3.0,-36.833,-77.0,4.667
2011-02-19,82.0,59.875,27.0,9.2915,13.875,4.583,11.729,39.0,-38.792,-105.0,5.75
2011-02-20,84.0,62.667,30.0,19.875,33.0,13.125,13.0,71.0,-15.667,-85.0,8.333
2011-02-21,90.0,71.583,37.0,18.875,37.396,18.5205,21.229,82.0,4.208,-65.0,17.833
2011-02-22,90.0,68.958,39.0,14.43,20.502,6.0715,30.0,109.0,36.833,-14.0,24.5
2011-02-23,100.0,84.75,60.0,17.458,29.125,11.6665,31.458,121.0,59.708,27.0,22.25
2011-02-24,79.0,64.875,45.0,9.6665,14.832999999999998,5.1665,30.2295,85.0,45.667,24.0,26.292
2011-02-25,100.0,84.167,78.0,10.1665,15.146,4.979,16.0835,34.0,22.0,7.0,10.167
2011-02-26,91.0,71.208,53.0,4.6665,7.5625,2.896,9.104,30.0,0.792,-27.0,7.875
2011-02-27,81.0,60.125,37.0,6.125,10.0835,3.9585,12.1875,31.0,-18.542,-50.0,8.625
2011-02-28,85.0,59.583,39.0,13.270499999999998,20.104,6.8335,15.082999999999998,36.0,-14.208,-81.0,10.042
2011-03-01,97.0,80.167,50.0,23.8125,44.021,20.208,14.582999999999998,109.0,47.417,7.0,8.417
2011-03-02,100.0,92.174,83.0,22.4585,44.9375,22.4795,21.9585,62.0,30.208,5.0,14.708
2011-03-03,88.0,71.5,51.0,5.8125,9.5415,3.729,12.1875,75.0,34.708,2.0,8.167
2011-03-04,99.0,75.0,52.0,6.7705,9.208,2.4375,23.5205,90.0,28.417,-5.0,19.125
2011-03-05,99.0,97.875,95.0,17.167,25.854,8.6875,10.333,62.0,35.25,4.0,2.25
2011-03-06,99.0,85.917,73.0,20.369500000000002,33.652,13.282499999999999,16.173,153.0,80.458,39.0,7.636
2011-03-07,95.0,70.095,48.0,11.567,16.381,4.8145,26.896,102.0,65.375,45.0,20.542
2011-03-08,87.0,75.083,64.0,14.645499999999998,22.3125,7.667,31.125,112.0,62.333,39.0,25.417
2011-03-09,100.0,86.438,74.0,21.0625,31.2295,10.167000000000002,25.479,45.0,24.542,2.0,20.625
2011-03-10,94.0,86.417,82.0,14.292000000000002,22.5415,8.25,7.354,37.0,15.833,2.0,2.708
2011-03-11,98.0,77.667,53.0,5.8125,7.9375,2.125,11.2085,86.0,29.75,-2.0,7.667
2011-03-12,99.0,85.583,72.0,9.3335,14.5,5.1665,7.854,14.0,-8.333,-23.0,3.708
2011-03-13,100.0,72.0,32.0,10.896,17.375,6.479,10.4795,55.0,-3.5,-53.0,6.375
2011-03-14,87.0,60.125,28.0,17.119500000000002,24.27,7.15,12.875,84.0,10.083,-52.0,8.875
2011-03-15,79.0,61.458,36.0,13.479,19.333,5.854,18.604,66.0,16.917,-14.0,13.417
2011-03-16,77.0,52.875,28.0,13.75,18.8125,5.0625,22.0415,113.0,31.667,-36.0,15.667
2011-03-17,100.0,75.4,56.0,19.646,26.8955,7.25,28.6875,89.0,59.625,33.0,18.652
2011-03-18,99.0,94.615,91.0,9.771,13.9585,4.1875,17.9585,85.0,67.5,51.0,8.292
2011-03-19,92.0,65.042,41.0,5.354,8.6875,3.3335,7.271,51.0,18.167,-26.0,2.958
2011-03-20,86.0,61.583,25.0,10.7085,15.1875,4.479,11.542,97.0,15.667,-52.0,7.875
2011-03-21,86.0,52.208,27.0,8.901499999999999,13.6665,4.7655,11.896,74.0,19.375,-22.0,7.042
2011-03-22,78.0,57.375,32.0,21.25,32.375,11.125,18.1875,130.0,40.917,-43.0,11.375
2011-03-23,100.0,88.667,78.0,16.8125,21.7295,4.9165,27.646,66.0,52.667,26.0,20.292
2011-03-24,97.0,73.0,50.0,12.208,17.354,5.146,11.75,100.0,57.792,9.0,4.333
2011-03-25,96.0,71.708,32.0,8.625,12.0,3.375,9.896,76.0,23.25,-7.0,7.667
2011-03-26,96.0,64.5,29.0,12.5415,17.646,5.104,15.4585,67.0,14.417,-30.0,11.542
2011-03-27,85.0,52.833,22.0,18.4165,27.542,9.125,16.5415,134.0,42.625,-42.0,10.958
2011-03-28,95.0,78.083,53.0,17.096,26.9975,9.901499999999999,24.542,106.0,31.083,-16.0,21.208
2011-03-29,96.0,57.583,27.0,14.0,20.5415,6.542,19.7705,166.0,77.542,-11.0,14.042
2011-03-30,72.0,45.25,15.0,15.4375,23.6665,8.229,21.0,207.0,120.292,29.0,13.292
2011-03-31,98.0,72.667,51.0,4.7295,7.0,2.2705,7.4795,146.0,84.583,9.0,2.375
2011-04-01,54.0,32.278,14.0,19.0,26.771,7.7705,21.75,185.0,72.458,-24.0,
2011-04-02,70.0,56.167,39.0,14.875,24.1875,9.3125,24.375,124.0,49.583,7.0,
2011-04-03,59.0,42.917,26.0,4.625,7.0,2.375,12.7295,89.0,34.708,4.0,
2011-04-04,64.0,41.167,21.0,7.021,11.375,4.354,13.9375,88.0,33.333,-6.0,
2011-04-05,56.0,33.958,14.0,15.979,22.0835,6.1045,18.3335,159.0,58.625,-35.0,
2011-04-06,59.0,35.167,13.0,19.3745,28.423000000000002,9.049,17.8125,201.0,86.0,-18.0,
2011-04-07,,,,22.6455,32.771,10.125,22.8125,200.0,110.75,29.0,
2011-04-08,74.0,57.778,47.0,8.3065,12.3245,4.018,14.467500000000001,199.0,144.478,91.0,
2011-04-09,94.0,80.25,61.0,11.625,16.625,5.0,13.646,150.0,113.625,63.0,
2011-04-10,90.0,55.875,21.0,12.333,16.917,4.583,27.958,180.0,102.167,28.0,
2011-04-11,81.0,61.667,40.0,9.4695,13.704500000000001,4.235,29.2825,150.0,74.625,34.0,
2011-04-12,69.0,39.458,19.0,8.9375,13.3125,4.375,23.8545,114.0,57.833,4.0,
2011-04-13,65.0,38.333,12.0,16.8785,23.242,6.3635,24.125,209.0,93.292,-21.0,
2011-04-14,66.0,38.0,13.0,17.695,24.4995,6.8045,27.375,236.0,124.0,16.0,
2011-04-15,65.0,42.208,16.0,15.0,20.7705,5.771,27.771,237.0,152.75,70.0,
2011-04-16,79.0,58.25,32.0,9.7915,13.5,3.7085,21.229,211.0,118.5,46.0,
2011-04-17,70.0,47.5,19.0,5.9585,8.5625,2.604,16.2085,174.0,88.042,15.0,
2011-04-18,95.0,61.783,36.0,12.021,17.0625,5.0415,25.917,188.0,112.458,46.0,
2011-04-19,99.0,89.818,75.0,11.667000000000002,16.708,5.042,10.6875,98.0,67.958,32.0,
2011-04-20,97.0,73.958,49.0,9.136,13.6475,4.5115,9.896,118.0,67.542,28.0,
2011-04-21,86.0,66.375,32.0,13.4375,19.0,5.5625,17.2915,193.0,104.375,38.0,
2011-04-22,100.0,70.174,31.0,14.1665,20.479,6.3125,24.792,179.0,121.083,80.0,
2011-04-23,97.0,83.5,66.0,9.9375,13.770499999999998,3.8335,18.4375,170.0,128.458,72.0,
2011-04-24,93.0,54.167,21.0,6.708,9.5,2.792,11.208,171.0,105.25,55.0,
2011-04-25,81.0,54.708,27.0,10.125,14.3125,4.1875,13.542000000000002,137.0,84.917,35.0,
2011-04-26,100.0,75.208,32.0,18.8125,26.9585,8.1455,22.833,158.0,82.417,15.0,
2011-04-27,98.0,56.0,27.0,10.0415,14.451,4.4094999999999995,38.271,248.0,187.292,93.0,
2011-04-28,92.0,59.471,32.0,9.1455,13.457999999999998,4.3125,10.729,195.0,128.625,60.0,
2011-04-29,85.0,55.375,30.0,6.792,9.8955,3.1045,12.896,162.0,102.917,43.0,
2011-04-30,85.0,60.333,24.0,10.583,15.229,4.646,22.5625,223.0,124.708,47.0,
2011-05-01,89.0,60.333,39.0,6.104,8.792,2.6875,17.208,213.0,171.833,116.0,
2011-05-02,82.0,43.583,26.0,6.2085,9.2295,3.021,92.9795,198.0,150.375,82.0,
2011-05-03,89.0,72.125,36.0,8.4795,12.0625,3.5835,65.521,185.0,113.583,53.0,
2011-05-04,97.0,63.042,21.0,6.077999999999999,9.02,2.9419999999999997,34.0835,215.0,132.958,78.0,
2011-05-05,86.0,68.583,39.0,5.833,8.3125,2.4795,25.8335,209.0,123.708,72.0,
2011-05-06,90.0,68.208,37.0,8.3335,11.604,3.271,27.8125,206.0,137.083,74.0,
2011-05-07,88.0,72.542,51.0,7.125,9.667,2.542,28.6875,207.0,154.208,120.0,
2011-05-08,100.0,49.857,18.0,6.792,9.5625,2.771,32.4375,248.0,173.792,106.0,
2011-05-09,84.0,48.292,14.0,12.625,16.5835,3.9585,24.521,277.0,172.0,75.0,
2011-05-10,97.0,80.786,48.0,14.271,21.1875,6.9165,20.5415,209.0,167.583,137.0,
2011-05-11,100.0,96.333,94.0,15.742999999999999,21.937,6.1935,13.0,147.0,132.0,120.0,
2011-05-12,100.0,88.474,65.0,13.1665,18.4165,5.25,7.6665,197.0,150.75,122.0,
2011-05-13,100.0,49.833,20.0,9.833,16.042,6.208,36.771,246.0,173.083,98.0,
2011-05-14,82.0,43.208,18.0,9.396,13.3545,3.9585,29.5205,211.0,144.667,66.0,
2011-05-15,77.0,33.208,10.0,8.6665,12.3335,3.6665,20.104,248.0,161.75,58.0,
2011-05-16,79.0,37.25,14.0,12.082999999999998,16.229,4.146,26.375,238.0,172.417,89.0,
2011-05-17,59.0,42.417,22.0,10.9585,14.6875,3.729,39.6045,207.0,156.958,112.0,
2011-05-18,88.0,52.333,19.0,12.089500000000001,17.462,5.3725000000000005,30.7295,250.0,161.208,74.0,
2011-05-19,89.0,50.792,18.0,14.417000000000002,19.771,5.354,31.896,291.0,189.208,96.0,
2011-05-20,81.0,53.667,24.0,15.479,20.625,5.146,37.083,293.0,201.833,117.0,
2011-05-21,87.0,61.417,29.0,11.625,16.2915,4.6665,41.1665,312.0,217.292,127.0,
2011-05-22,97.0,87.348,76.0,6.9795,10.396,3.4165,19.8545,196.0,152.833,122.0,
2011-05-23,100.0,85.429,63.0,9.375,15.082999999999998,5.7085,11.5625,175.0,129.667,108.0,
2011-05-24,98.0,69.941,50.0,10.625,14.8125,4.1875,8.9165,204.0,135.875,88.0,
2011-05-25,96.0,61.042,26.0,10.388,15.805,5.4174999999999995,19.479,264.0,168.708,93.0,
2011-05-26,100.0,75.35,59.0,12.7915,17.8335,5.042,25.604,194.0,149.5,111.0,
2011-05-27,100.0,86.1,68.0,11.5625,15.271,3.7085,20.9585,174.0,150.0,128.0,
2011-05-28,100.0,85.667,70.0,9.333,12.979500000000002,3.6455,12.3335,206.0,173.125,139.0,
2011-05-29,97.0,89.667,86.0,7.9165,12.646,4.729,9.0205,170.0,164.792,160.0,
2011-05-30,93.0,78.737,65.0,5.8335,9.9165,4.083,8.604,185.0,157.125,130.0,
2011-05-31,94.0,72.667,51.0,6.5205,10.271,3.75,11.625,219.0,158.125,115.0,
2011-06-01,99.0,84.75,72.0,10.092500000000001,14.473,4.3805,17.104,156.0,122.292,107.0,
2011-06-02,100.0,97.421,90.0,13.3545,20.396,7.0415,14.5415,154.0,130.792,106.0,
2011-06-03,100.0,74.955,35.0,11.8335,20.3335,8.5,19.6665,257.0,174.375,115.0,
2011-06-04,97.0,67.458,36.0,10.0,14.646,4.6455,31.375,288.0,203.75,128.0,
2011-06-05,100.0,81.739,61.0,8.0,11.25,3.25,52.9585,243.0,188.625,145.0,
2011-06-06,99.0,66.958,31.0,8.625,12.729500000000002,4.104,31.646,275.0,200.958,146.0,
2011-06-07,87.0,67.25,38.0,13.233,18.198999999999998,4.9665,35.5245,273.0,198.167,155.0,
2011-06-08,87.0,67.583,44.0,9.9085,13.312999999999999,3.405,26.979,268.0,203.625,148.0,
2011-06-09,89.0,70.333,47.0,10.8405,14.500499999999999,3.6605,25.115499999999997,279.0,211.375,171.0,
2011-06-10,96.0,73.833,55.0,12.6665,17.8955,5.229,39.167,273.0,212.208,153.0,
2011-06-11,100.0,87.556,70.0,7.7915,11.917000000000002,4.125,30.0625,235.0,193.958,172.0,
2011-06-12,99.0,85.545,71.0,7.771,12.082999999999998,4.3125,20.4795,228.0,192.25,159.0,
2011-06-13,94.0,72.778,54.0,7.333,11.145499999999998,3.8125,21.8335,256.0,201.083,164.0,
2011-06-14,99.0,75.708,45.0,9.271,13.375,4.104,18.0835,249.0,193.917,140.0,
2011-06-15,89.0,70.458,49.0,10.3825,15.901499999999999,5.519,16.3335,232.0,178.625,123.0,
2011-06-16,100.0,77.261,55.0,11.2705,16.8125,5.5415,31.042,233.0,191.083,152.0,
2011-06-17,97.0,78.75,64.0,8.125,12.271,4.146,13.0835,234.0,199.333,168.0,
2011-06-18,95.0,86.6,72.0,11.583,17.125,5.5415,15.375,228.0,184.958,157.0,
2011-06-19,94.0,76.412,58.0,6.1875,9.1875,3.0,23.604,262.0,205.833,158.0,
2011-06-20,99.0,83.458,52.0,11.75,16.875,5.125,23.875,294.0,227.958,182.0,
2011-06-21,100.0,71.833,47.0,12.713000000000001,19.124000000000002,6.4105,16.625,293.0,238.958,199.0,
2011-06-22,98.0,70.667,30.0,10.5945,15.177499999999998,4.5835,21.5925,343.0,251.333,185.0,
2011-06-23,99.0,77.81,57.0,9.5205,16.75,7.2295,16.396,300.0,254.917,214.0,
2011-06-24,100.0,69.087,43.0,9.875,16.4375,6.5625,20.0,325.0,267.833,214.0,13.786
2011-06-25,99.0,91.706,82.0,8.25,15.207999999999998,6.958,11.104,251.0,223.708,206.0,5.5
2011-06-26,97.0,81.792,59.0,6.729,10.0835,3.3545,12.146,305.0,236.792,204.0,5.417
2011-06-27,95.0,80.913,60.0,8.7915,13.354,4.5625,11.2915,301.0,244.542,211.0,6.0
2011-06-28,99.0,74.045,46.0,8.458,15.5625,7.104,20.5625,342.0,276.917,220.0,11.042
2011-06-29,99.0,77.25,54.0,7.343,11.469999999999999,4.127,22.6875,331.0,273.5,230.0,12.208
2011-06-30,99.0,82.958,52.0,8.4375,15.8125,7.375,27.792,313.0,253.833,221.0,16.0
2011-07-01,100.0,78.182,57.0,7.521,13.2915,5.771,24.0625,302.0,255.125,213.0,15.167
2011-07-02,98.0,75.87,54.0,7.2705,11.771,4.5,28.25,310.0,260.625,220.0,16.833
2011-07-03,100.0,75.579,59.0,5.7295,8.4585,2.729,29.458,319.0,265.667,222.0,14.583
2011-07-04,85.0,67.118,55.0,8.6875,13.021,4.3335,27.625,309.0,265.0,222.0,16.333
2011-07-05,94.0,68.6,47.0,9.221,13.166,3.945,16.487,306.0,246.167,201.0,8.083
2011-07-06,88.0,69.25,45.0,8.846,12.3535,3.5075,23.646,322.0,249.167,190.0,15.042
2011-07-07,97.0,78.833,61.0,7.979,11.479500000000002,3.5,22.5625,292.0,249.833,215.0,11.25
2011-07-08,100.0,78.792,46.0,8.2915,14.9165,6.625,17.1665,341.0,270.958,217.0,9.792
2011-07-09,100.0,84.542,55.0,8.396,13.354,4.958,21.521,336.0,260.542,226.0,14.167
2011-07-10,100.0,82.25,53.0,6.2295,9.375,3.146,22.042,329.0,264.625,219.0,13.375
2011-07-11,99.0,73.5,42.0,8.0,12.167,4.1665,21.146,347.0,260.792,214.0,12.292
2011-07-12,100.0,79.333,50.0,10.0835,16.729,6.646,19.417,331.0,250.917,209.0,10.208
2011-07-13,100.0,70.357,45.0,8.3215,14.062000000000001,5.74,21.2085,342.0,263.542,222.0,11.208
2011-07-14,99.0,68.154,49.0,9.8125,14.979500000000002,5.167,28.229,342.0,272.5,228.0,16.917
2011-07-15,99.0,74.667,47.0,10.875,16.0415,5.167,31.6455,348.0,280.458,234.0,20.917
2011-07-16,95.0,71.958,44.0,10.3125,14.521,4.208,35.6665,353.0,288.625,233.0,24.5
2011-07-17,95.0,71.958,39.0,6.375,8.875,2.5,37.396,362.0,287.417,227.0,24.792
2011-07-18,95.0,72.958,47.0,5.7085,9.271,3.5625,18.7085,338.0,277.167,233.0,11.875
2011-07-19,99.0,84.812,61.0,8.8335,15.0415,6.2085,13.4585,286.0,243.167,220.0,6.458
2011-07-20,99.0,85.333,76.0,8.759,16.383,7.6245,9.8335,270.0,244.875,218.0,4.167
2011-07-21,91.0,73.875,62.0,4.521,7.75,3.229,10.25,241.0,213.5,173.0,6.0
2011-07-22,78.0,66.542,53.0,6.8125,10.3125,3.5,19.4375,282.0,213.375,163.0,10.75
2011-07-23,87.0,67.958,24.0,8.25,12.645499999999998,4.396,16.875,311.0,239.583,180.0,12.917
2011-07-24,87.0,73.208,55.0,5.6045,8.25,2.646,19.25,301.0,250.375,205.0,12.0
2011-07-25,99.0,80.087,50.0,10.042,14.6875,4.646,20.854,310.0,248.833,206.0,13.542
2011-07-26,99.0,80.5,49.0,11.5835,18.271,6.6875,17.6045,320.0,246.167,207.0,12.75
2011-07-27,100.0,86.389,67.0,13.164,21.854,8.690000000000001,17.375,283.0,240.458,212.0,13.083
2011-07-28,99.0,91.308,82.0,12.5625,22.292,9.729,14.0625,268.0,235.667,212.0,7.875
2011-07-29,99.0,79.214,65.0,9.4585,19.7915,10.3335,16.375,291.0,244.5,213.0,7.917
2011-07-30,99.0,85.25,71.0,9.396,15.354,5.9585,14.896,276.0,234.958,215.0,8.917
2011-07-31,100.0,82.091,65.0,5.2085,8.4375,3.229,8.4795,272.0,230.333,207.0,3.625
2011-08-01,91.0,76.792,60.0,6.125,9.5415,3.4165,10.4585,284.0,240.0,207.0,6.583
2011-08-02,97.0,81.737,63.0,10.875,14.875,4.0,17.375,284.0,235.583,214.0,9.542
2011-08-03,92.0,76.118,60.0,10.9315,15.373000000000001,4.442,21.25,300.0,248.292,213.0,12.167
2011-08-04,97.0,74.0,51.0,10.021,15.9585,5.9375,15.5835,319.0,261.5,212.0,9.042
2011-08-05,96.0,77.208,54.0,7.260999999999999,13.3045,6.0435,12.8895,324.0,268.542,220.0,6.25
2011-08-06,100.0,81.125,57.0,8.2085,12.979,4.771,18.6875,317.0,261.458,230.0,11.208
2011-08-07,100.0,76.083,53.0,6.5835,9.6665,3.0835,16.9585,333.0,257.75,220.0,9.5
2011-08-08,99.0,76.211,48.0,9.417,14.4585,5.0415,15.167000000000002,349.0,263.25,204.0,8.542
2011-08-09,98.0,76.708,49.0,10.75,16.0415,5.2915,26.625,347.0,283.0,228.0,17.875
2011-08-10,98.0,74.875,44.0,9.771,14.888000000000002,5.117,34.1455,368.0,292.917,236.0,23.25
2011-08-11,96.0,76.542,50.0,10.854,16.146,5.2915,34.0835,337.0,277.583,240.0,21.875
2011-08-12,99.0,72.375,40.0,9.3335,13.9585,4.625,30.2705,336.0,270.708,213.0,22.208
2011-08-13,91.0,75.667,47.0,6.0625,9.2085,3.146,34.375,338.0,269.792,225.0,24.458
2011-08-14,99.0,80.85,45.0,5.1875,8.146,2.958,23.9165,358.0,262.167,225.0,16.375
2011-08-15,99.0,85.227,50.0,5.979,9.354,3.375,24.625,330.0,258.458,225.0,16.375
2011-08-16,100.0,77.636,47.0,5.792,9.146,3.354,28.125,349.0,269.875,222.0,19.25
2011-08-17,99.0,74.542,47.0,8.187999999999999,12.979,4.791,33.4375,342.0,278.542,220.0,21.667
2011-08-18,99.0,75.652,39.0,10.729,17.125,6.396,34.0,358.0,286.708,243.0,20.25
2011-08-19,100.0,89.643,77.0,9.0,13.625,4.625,10.9165,245.0,222.917,202.0,4.75
2011-08-20,,,,8.896,14.354,5.458,8.375,200.0,184.5,177.0,3.875
2011-08-21,100.0,91.308,78.0,5.729,8.083,2.354,5.0415,220.0,193.5,177.0,1.542
2011-08-22,99.0,82.25,70.0,9.2915,14.1875,4.896,9.7085,261.0,210.625,180.0,3.875
2011-08-23,99.0,93.125,89.0,16.5415,25.729,9.1875,20.583,252.0,219.167,197.0,8.625
2011-08-24,99.0,74.471,49.0,11.1475,19.8825,8.7345,26.125,324.0,254.25,205.0,15.375
2011-08-25,99.0,92.636,84.0,10.917,24.417,13.5,13.271,265.0,237.042,220.0,7.0
2011-08-26,99.0,88.5,74.0,9.0,23.5625,14.5625,9.479,259.0,232.042,211.0,5.0
2011-08-27,100.0,79.15,60.0,6.8545,12.4585,5.604,14.2915,292.0,246.042,206.0,8.875
2011-08-28,98.0,78.792,54.0,6.229,9.2085,2.979,16.5625,312.0,254.833,220.0,11.292
2011-08-29,96.0,77.125,54.0,9.25,13.332999999999998,4.0835,27.6665,315.0,254.458,210.0,17.792
2011-08-30,99.0,74.625,50.0,10.625,16.104,5.4795,21.2915,316.0,251.458,206.0,15.5
2011-08-31,91.0,76.542,59.0,9.9665,15.721,5.7545,19.333,298.0,253.042,213.0,12.958
2011-09-01,99.0,80.588,64.0,7.5835,14.4585,6.875,11.229,294.0,250.667,223.0,4.625
2011-09-02,100.0,80.375,58.0,6.2915,14.104,7.8125,10.0835,314.0,255.208,221.0,5.583
2011-09-03,100.0,82.957,60.0,4.625,9.333,4.708,8.25,300.0,261.292,238.0,2.917
2011-09-04,98.0,82.958,68.0,3.4375,6.5,3.0625,8.854,262.0,241.75,229.0,3.458
2011-09-05,100.0,88.2,71.0,7.271,13.896,6.625,8.521,267.0,228.0,191.0,3.208
2011-09-06,98.0,74.591,50.0,7.2395,11.0,3.761,7.8045,255.0,203.875,163.0,2.75
2011-09-07,99.0,72.0,35.0,11.836,19.331,7.4945,10.979,283.0,197.917,127.0,7.292
2011-09-08,98.0,74.958,39.0,11.833,17.75,5.9165,21.6665,309.0,218.083,151.0,15.667
2011-09-09,96.0,79.708,57.0,12.75,19.4165,6.6665,28.7085,307.0,239.083,178.0,20.417
2011-09-10,100.0,81.348,48.0,8.875,16.104,7.229,25.4375,326.0,253.583,197.0,17.375
2011-09-11,100.0,79.042,52.0,6.625,9.792,3.1665,23.354,314.0,263.25,224.0,15.042
2011-09-12,100.0,76.722,47.0,8.75,14.4165,5.6665,19.75,324.0,251.25,207.0,12.125
2011-09-13,99.0,73.167,46.0,10.6875,19.2085,8.521,22.8125,322.0,256.167,203.0,15.125
2011-09-14,100.0,77.045,45.0,11.214500000000001,18.5335,7.3185,26.979,322.0,255.417,205.0,19.667
2011-09-15,94.0,75.167,46.0,10.75,14.8125,4.0625,32.875,328.0,265.583,224.0,23.917
2011-09-16,98.0,77.625,50.0,10.375,16.8335,6.458,24.229,307.0,254.083,200.0,16.417
2011-09-17,96.0,83.458,65.0,7.0625,11.917,4.8545,14.1875,295.0,257.667,231.0,6.917
