date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-02-02,11.0415,18.5835,7.542,6.375,190.708,2.667,8.417,199.125
2011-02-03,17.854,35.125,17.2705,6.5415,195.125,3.042,10.375,205.5
2011-02-04,9.07,15.374500000000001,6.3045,10.229,189.75,2.913,9.083,198.833
2011-02-05,11.3335,16.625,5.2915,15.5835,195.125,4.0,12.0,207.125
2011-02-06,21.1665,39.375,18.208,17.8335,197.083,4.125,14.083,211.167
2011-02-07,15.521,29.0415,13.520499999999998,4.958,186.0,3.333,10.875,196.875
2011-02-08,10.6225,17.9975,7.375,3.771,190.2,2.417,10.3,200.5
2011-02-09,9.8125,16.3545,6.5415,4.5415,191.542,2.25,10.708,202.25
2011-02-10,12.6665,24.0625,11.395499999999998,6.229,195.25,2.583,11.417,206.667
2011-02-11,10.3565,18.176,7.8185,6.4165,194.25,2.913,10.917,205.167
2011-02-12,9.5205,14.75,5.229,9.0,196.75,3.375,12.167,208.917
2011-02-13,19.729,40.229,20.5,11.9795,197.75,3.75,14.625,212.375
2011-02-14,22.979,36.3545,13.375,12.958,191.609,3.667,14.0,205.609
2011-02-15,22.1015,46.218,24.117,11.229,191.458,4.25,15.5,206.958
2011-02-16,24.6455,49.9375,25.2915,14.583,192.917,4.375,15.667,208.583
2011-02-17,9.8335,15.479,5.646,6.021,186.542,2.75,8.583,195.125
2011-02-18,7.8635,15.2045,7.3415,4.375,191.0,2.739,8.667,199.667
2011-02-19,12.2915,19.083,6.7915,7.75,195.417,3.167,10.458,205.875
2011-02-20,20.1875,34.729,14.5415,9.542,196.625,3.25,11.75,208.375
2011-02-21,22.667,38.625,15.957999999999998,13.908,194.522,3.458,15.304,209.826
2011-02-22,21.7925,38.223,16.43,20.1875,193.042,3.958,13.542,206.583
2011-02-23,21.792,41.5625,19.771,8.479,189.125,3.958,9.75,198.875
2011-02-24,21.75,46.0415,24.292,18.771,191.923,4.625,22.462,214.385
2011-02-25,16.8565,28.3045,11.447500000000002,15.9165,190.696,4.087,19.565,210.261
2011-02-26,13.0835,19.5,6.4165,9.833,191.833,3.708,14.417,206.25
2011-02-27,18.292,38.5415,20.25,9.6665,192.5,3.375,11.75,204.25
2011-02-28,21.1875,37.0205,15.8335,11.604,194.25,3.042,11.625,205.875
2011-03-01,17.8955,34.646,16.75,7.4585,195.875,3.083,12.167,208.042
2011-03-02,23.875,55.0835,31.208,9.146,195.125,4.083,15.583,210.708
2011-03-03,16.297,24.9455,8.6485,7.9375,192.652,3.739,8.696,201.348
2011-03-04,13.7085,20.396,6.6875,19.0205,193.917,3.958,7.667,201.583
2011-03-05,33.646,67.396,33.75,8.729,193.083,4.875,15.792,208.875
2011-03-06,18.396,37.1875,18.7915,7.0625,191.125,3.75,12.333,203.458
2011-03-07,18.4765,28.301000000000002,9.824,15.542000000000002,193.875,4.042,11.333,205.208
2011-03-08,21.792,34.375,12.5835,19.0625,193.091,4.417,11.636,204.727
2011-03-09,21.3955,35.479,14.0835,10.9585,192.043,4.25,11.391,203.435
2011-03-10,15.138000000000002,23.0225,7.885,2.521,192.391,3.348,10.522,202.913
2011-03-11,8.083,12.395499999999998,4.3125,8.958,192.833,3.333,10.042,202.875
2011-03-12,6.583,10.582999999999998,4.0,6.0415,189.917,2.333,7.75,197.667
2011-03-13,14.9585,28.375,13.417000000000002,7.1455,193.458,2.833,9.458,202.917
2011-03-14,16.2195,31.0545,14.834999999999999,10.229,194.667,3.0,10.583,205.25
2011-03-15,16.942999999999998,24.613500000000002,7.6705,19.021,192.875,3.167,11.708,204.583
2011-03-16,19.5835,33.604,14.020499999999998,13.979,196.792,3.25,12.333,209.125
2011-03-17,21.992,35.1065,13.114999999999998,11.0,189.957,3.826,12.87,202.826
2011-03-18,12.0625,18.833,6.771,8.917,191.5,4.0,11.083,202.583
2011-03-19,13.625,22.479,8.854,8.125,187.792,3.042,7.625,195.417
2011-03-20,13.8335,23.708,9.875,8.125,189.75,2.875,8.958,198.708
2011-03-21,14.771,24.4585,9.6875,8.5835,189.583,2.583,7.458,197.042
2011-03-22,15.896,27.767,11.871500000000001,12.0835,188.875,2.875,12.333,201.208
2011-03-23,22.5625,43.75,21.1875,10.7915,188.208,3.208,8.042,196.25
2011-03-24,12.511,22.7685,10.2575,3.25,191.217,2.87,8.957,200.174
2011-03-25,5.0,6.729,1.729,6.6455,192.583,3.083,6.167,198.75
2011-03-26,5.6665,7.6665,2.0,7.979,193.625,2.208,6.5,200.125
2011-03-27,16.625,28.479,11.854,11.5415,196.042,2.958,8.917,204.958
2011-03-28,13.895499999999998,20.354,6.4585,22.2295,195.0,3.375,7.542,202.542
2011-03-29,17.0915,27.233,10.1415,14.4925,194.273,2.833,8.227,202.5
2011-03-30,14.479,23.271,8.7915,13.042,191.167,2.667,8.542,199.708
2011-03-31,8.921,13.356,4.4350000000000005,6.875,185.087,2.522,4.13,189.217
2011-04-01,16.9165,25.4165,8.5,14.417,194.792,3.083,8.667,203.458
2011-04-02,12.7915,16.0035,3.212,24.583,190.083,3.0,7.792,197.875
2011-04-03,11.2705,14.332999999999998,3.0625,19.292,188.458,3.208,8.417,196.875
2011-04-04,16.875,26.3125,9.4375,16.0,192.542,3.167,9.583,202.125
2011-04-05,21.3125,33.1665,11.854500000000002,11.792,191.917,2.833,9.083,201.0
2011-04-06,18.744,29.8565,11.1135,17.667,192.417,3.292,11.417,203.833
2011-04-07,13.479,18.8335,5.3545,13.083,191.174,2.417,9.261,200.435
2011-04-08,9.396,13.4585,4.0625,10.792,186.958,2.125,8.333,195.292
2011-04-09,11.704,19.4865,7.7825,7.833,182.458,2.435,9.542,192.0
2011-04-10,9.4585,15.0,5.5415,15.167,188.167,3.375,9.542,197.708
2011-04-11,16.3335,25.479,9.145499999999998,29.667,188.875,3.625,10.083,198.958
2011-04-12,15.0625,23.2915,8.229,19.542,186.417,3.0,8.417,194.833
2011-04-13,16.1475,25.3405,9.193,21.917,188.167,3.208,10.125,198.292
2011-04-14,21.6875,31.5415,9.854500000000002,25.042,191.0,3.333,14.348,205.348
2011-04-15,16.542,24.271,7.729,24.227,189.0,2.5,12.136,201.136
2011-04-16,10.4565,16.2605,5.804,26.875,184.125,3.0,11.042,195.167
2011-04-17,8.2915,10.875,2.5835,16.917,187.417,2.833,10.292,197.708
2011-04-18,14.9165,23.5625,8.646,14.75,185.875,2.667,11.292,197.167
2011-04-19,11.9585,18.9795,7.021,10.125,184.708,2.625,8.958,193.667
2011-04-20,18.689500000000002,31.027,12.337499999999999,10.625,188.792,3.375,10.75,199.542
2011-04-21,17.6875,28.854,11.1665,14.8,187.957,3.375,12.652,200.609
2011-04-22,18.3125,28.896,10.5835,16.524,187.125,2.625,11.708,198.833
2011-04-23,13.312999999999999,20.508,7.195,7.958,181.417,2.391,9.75,191.167
2011-04-24,6.5835,8.9375,2.354,11.458,185.0,2.5,9.542,194.542
2011-04-25,11.979,17.1875,5.2085,15.667,188.583,2.667,9.75,198.333
2011-04-26,19.8335,34.0,14.1665,21.75,187.167,3.125,11.042,198.208
2011-04-27,12.989999999999998,18.1985,5.2085,32.955,182.125,2.667,15.833,197.958
2011-04-28,10.4165,14.0,3.5835,11.458,185.826,2.708,6.913,192.739
2011-04-29,9.1875,15.271,6.083,8.0,190.333,2.583,5.708,196.042
2011-04-30,10.799499999999998,17.3395,6.54,18.958,191.0,2.957,4.8,195.8
2011-05-01,6.6665,9.2915,2.625,11.208,,2.375,,
2011-05-02,13.6875,20.4375,6.75,49.0,190.2,3.333,10.0,200.2
2011-05-03,11.1455,15.332999999999998,4.1875,50.625,194.583,3.75,8.917,203.5
2011-05-04,9.068,12.464,3.396,33.042,192.833,3.75,8.125,200.958
2011-05-05,10.792,14.25,3.4585,29.667,192.087,3.583,10.913,203.0
2011-05-06,15.3335,21.8335,6.5,24.833,190.625,3.5,10.625,201.25
2011-05-07,11.473500000000001,15.777999999999999,4.3045,13.625,186.708,2.826,9.958,196.667
2011-05-08,8.542,12.6875,4.1455,18.958,187.167,3.208,10.292,197.458
2011-05-09,22.479,31.7705,9.2915,31.25,191.083,3.75,11.417,202.5
2011-05-10,14.646,23.9585,9.3125,21.625,179.667,2.292,9.375,189.042
2011-05-11,24.308,41.0895,16.782,5.25,185.0,3.792,11.762,196.762
2011-05-12,26.771,49.5625,22.7915,7.667,188.739,4.167,15.522,204.261
2011-05-13,10.375,17.646,7.271,20.167,182.958,2.5,10.333,193.292
2011-05-14,7.8065,11.087,3.2805,19.792,186.708,2.565,7.833,194.542
2011-05-15,8.979,12.2915,3.3125,14.875,191.667,2.917,9.792,201.458
2011-05-16,16.1875,24.9375,8.75,21.833,191.792,2.833,11.417,203.208
2011-05-17,18.1875,28.9375,10.75,23.125,188.25,3.083,10.292,198.542
2011-05-18,18.364,30.3505,11.9865,25.583,192.125,3.458,11.5,203.625
2011-05-19,17.375,26.896,9.521,29.042,189.476,3.458,16.048,205.524
2011-05-20,13.895499999999998,20.396,6.5,33.458,192.667,2.708,14.083,206.75
2011-05-21,12.8065,20.2825,7.4765,23.833,181.231,2.826,10.308,191.538
2011-05-22,6.25,10.104,3.854,6.625,174.333,2.042,6.75,181.083
2011-05-23,17.25,28.271,11.021,8.042,179.917,3.0,11.667,191.583
2011-05-24,17.6665,25.6665,8.0,6.208,179.458,2.417,8.167,187.625
2011-05-25,19.404,34.616,15.212,15.13,182.333,3.125,11.958,194.292
2011-05-26,18.0835,26.5205,8.4375,15.083,187.565,2.625,12.043,199.609
2011-05-27,14.354500000000002,22.25,7.896,10.208,185.958,2.542,11.042,197.0
2011-05-28,17.426,27.002000000000002,9.576,7.542,187.292,3.565,14.375,201.667
2011-05-29,12.4585,20.6045,8.146,4.208,182.833,3.167,12.5,195.333
2011-05-30,14.792000000000002,23.3125,8.521,8.667,180.458,2.542,11.542,192.0
2011-05-31,17.4375,32.9375,15.5,8.708,184.333,3.125,12.292,196.625
2011-06-01,16.1175,30.355,14.236999999999998,20.292,186.708,3.292,12.875,199.583
2011-06-02,20.5415,45.104,24.5625,9.333,184.565,2.917,9.435,194.0
2011-06-03,16.6455,31.5835,14.9375,11.875,185.708,2.875,10.583,196.292
2011-06-04,10.0155,17.5715,7.5565,29.125,185.292,3.217,10.292,195.583
2011-06-05,7.479,10.104,2.625,31.458,186.208,2.833,9.833,196.042
2011-06-06,17.7085,28.8335,11.125,27.583,187.542,3.042,10.458,198.0
2011-06-07,18.9375,30.667,11.729,27.25,186.458,2.958,10.458,196.917
2011-06-08,17.256,25.739,8.483,13.917,184.091,2.625,10.727,194.818
2011-06-09,18.0625,26.3955,8.3335,17.167,184.0,2.917,10.826,194.826
2011-06-10,14.5835,25.5,10.9165,22.958,184.625,2.708,11.208,195.833
2011-06-11,10.1065,16.778,6.671,12.417,178.583,2.348,9.125,187.708
2011-06-12,14.207999999999998,20.5625,6.3545,19.042,186.5,4.208,11.917,198.417
2011-06-13,20.208,35.0835,14.875,14.708,185.0,3.917,14.667,199.667
2011-06-14,17.521,31.1045,13.5835,23.125,186.875,3.625,14.0,200.875
2011-06-15,18.025,27.3445,9.318499999999998,17.333,187.75,3.083,9.417,197.167
2011-06-16,16.521,27.354,10.8335,15.833,185.87,2.875,11.522,197.391
2011-06-17,18.1665,29.625,11.4585,9.583,184.875,2.958,11.542,196.417
2011-06-18,14.956500000000002,26.195500000000003,11.238999999999999,11.5,185.083,3.696,12.167,197.25
2011-06-19,9.521,13.396,3.875,12.875,185.875,3.625,11.292,197.167
2011-06-20,17.8125,31.167,13.354500000000002,9.875,182.833,2.958,12.958,195.792
2011-06-21,11.7705,19.979,8.2085,7.042,177.208,1.875,10.167,187.375
2011-06-22,16.2315,28.633,12.4015,24.917,182.042,3.042,13.792,195.833
2011-06-23,10.5205,17.7085,7.1875,16.0,175.478,1.583,9.783,185.261
2011-06-24,7.8125,16.458,8.6455,11.958,173.292,1.333,9.042,182.333
2011-06-25,9.347999999999999,14.6435,5.2955,16.333,176.083,1.957,9.917,186.0
2011-06-26,7.917,10.5,2.583,11.583,179.083,1.542,7.75,186.833
2011-06-27,7.1875,19.625,12.4375,9.5,175.292,1.5,8.75,184.042
2011-06-28,9.771,16.1875,6.4165,14.083,176.5,1.792,10.125,186.625
2011-06-29,17.6035,30.421,12.818,25.75,179.875,2.917,12.958,192.833
2011-06-30,20.9585,30.3335,9.375,32.5,180.522,2.875,16.261,196.783
2011-07-01,14.9375,24.125,9.1875,27.0,180.083,2.375,15.542,195.625
2011-07-02,11.751999999999999,22.638,10.886,19.708,180.208,2.913,15.875,196.083
2011-07-03,10.1875,13.229,3.0415,25.25,180.708,2.75,14.792,195.5
2011-07-04,9.396,15.604500000000002,6.2085,25.292,174.583,2.083,12.75,187.333
2011-07-05,13.417,17.8545,4.4375,14.583,182.0,2.5,14.708,196.708
2011-07-06,18.5135,29.087,10.5735,21.875,185.375,3.375,15.667,201.042
2011-07-07,10.2085,18.75,8.5415,8.167,177.522,2.083,5.087,182.609
2011-07-08,7.75,14.542000000000002,6.7915,9.958,173.583,1.583,5.292,178.875
2011-07-09,10.6685,23.494,12.825500000000002,14.208,176.583,2.565,8.583,185.167
2011-07-10,7.854,18.25,10.395499999999998,10.958,175.636,2.583,5.773,181.409
2011-07-11,9.9165,29.625,19.7085,8.625,177.708,2.333,2.708,180.417
2011-07-12,9.479,27.7915,18.3125,9.292,179.042,2.042,2.875,181.917
2011-07-13,9.878499999999999,25.968,16.0895,7.833,179.609,2.083,4.565,184.174
2011-07-14,11.729,28.917,17.1875,8.917,179.522,2.25,11.565,191.087
2011-07-15,12.875,27.9585,15.082999999999998,13.0,177.333,2.5,12.917,190.25
2011-07-16,11.5565,21.6775,10.121500000000001,15.708,177.083,2.348,11.708,188.792
2011-07-17,5.5,12.3125,6.8125,8.042,177.0,1.792,9.917,186.917
2011-07-18,5.417,14.396,8.979,8.875,174.375,1.458,10.125,184.5
2011-07-19,5.729,15.7915,10.0625,6.583,171.458,1.333,9.333,180.792
2011-07-20,8.721,17.4205,8.699,6.167,172.167,1.75,9.292,181.458
2011-07-21,10.958,21.4165,10.4585,7.292,182.045,2.0,8.364,190.409
2011-07-22,13.8125,22.7085,8.896,13.292,185.583,2.0,8.375,193.958
2011-07-23,16.4015,27.3525,10.951,20.542,188.0,2.826,10.583,198.583
2011-07-24,10.2915,13.479500000000002,3.1875,22.083,186.083,2.625,8.333,194.417
2011-07-25,10.8335,22.9585,12.125,14.833,183.542,2.292,8.667,192.208
2011-07-26,12.583,28.0625,15.479,9.833,183.542,2.292,10.333,193.875
2011-07-27,10.598500000000001,20.972,10.373000000000001,9.0,180.667,1.667,8.833,189.5
2011-07-28,11.7705,31.104,19.3335,16.833,179.87,2.708,10.565,190.435
2011-07-29,14.271,30.979,16.7085,21.25,183.125,3.208,9.958,193.083
2011-07-30,12.535499999999999,20.9095,8.374500000000001,20.333,182.625,2.913,8.458,191.083
2011-07-31,9.0205,13.875,4.8545,11.417,180.917,2.625,6.167,187.083
2011-08-01,13.207999999999998,22.1875,8.979,21.958,185.667,2.913,7.167,192.833
2011-08-02,15.896,30.5625,14.6665,21.875,186.083,3.125,7.875,193.958
2011-08-03,10.6305,24.4545,13.824,15.125,182.292,2.292,7.333,189.625
2011-08-04,9.1875,19.104,9.9165,8.333,179.0,1.833,10.0,189.0
2011-08-05,9.542,23.75,14.2085,,175.5,2.083,8.375,183.875
2011-08-06,9.6625,22.2915,12.6295,,176.417,2.478,9.708,186.125
2011-08-07,7.4375,13.604,6.1665,,176.292,2.292,9.042,185.333
2011-08-08,12.625,27.7295,15.104500000000002,,177.333,2.75,10.792,188.125
2011-08-09,11.604,24.3335,12.729,,176.583,2.333,10.417,187.0
2011-08-10,15.589500000000001,27.146,11.5565,,177.875,2.75,11.125,189.0
2011-08-11,14.771,24.479,9.7085,,179.826,2.75,13.739,193.565
2011-08-12,13.2705,18.875,5.604,,183.857,2.875,13.667,197.524
2011-08-13,8.626999999999999,11.624500000000001,2.9975,,183.75,2.826,12.208,195.958
2011-08-14,5.542,8.1045,2.5625,,180.208,2.458,9.958,190.167
2011-08-15,4.6875,7.979,3.2915,,179.25,1.917,8.917,188.167
2011-08-16,7.4375,12.1875,4.75,,183.333,3.042,11.667,195.0
2011-08-17,10.4655,16.817999999999998,6.3525,,182.0,2.583,12.417,194.417
2011-08-18,10.604,15.582999999999998,4.979,,175.565,2.125,10.913,186.478
2011-08-19,13.0415,18.4375,5.396,,180.625,2.333,10.125,190.75
2011-08-20,11.8225,17.6255,5.8035,,186.25,2.391,9.875,196.125
2011-08-21,11.4165,17.7915,6.375,,186.917,3.042,10.75,197.667
2011-08-22,15.896,28.521,12.625,,187.958,2.875,12.375,200.333
2011-08-23,15.104,34.917,19.8125,,184.708,3.042,12.5,197.208
2011-08-24,9.57,31.9675,22.3975,,178.958,2.292,10.583,189.542
2011-08-25,13.9375,43.1455,29.2085,,182.0,2.667,10.565,192.565
2011-08-26,9.042,29.7085,20.6665,,183.542,2.25,8.083,191.625
2011-08-27,12.241,20.9765,8.7355,,182.375,2.652,10.667,193.042
2011-08-28,9.0625,13.0835,4.021,,186.5,3.0,8.875,195.375
2011-08-29,14.896,22.771,7.875,,185.5,3.125,9.875,195.375
2011-08-30,16.0,25.5,9.5,,185.375,2.708,10.792,196.167
2011-08-31,11.176,24.237,13.062000000000001,,179.542,2.292,8.542,188.083
2011-09-01,8.1875,23.583,15.396,5.167,174.783,1.833,8.087,182.87
2011-09-02,5.8335,12.375,6.5415,11.208,175.417,1.417,8.042,183.458
2011-09-03,4.3795,11.299,6.9190000000000005,13.208,174.667,1.609,6.333,181.0
2011-09-04,6.3545,13.4165,7.0625,6.833,176.333,1.542,7.417,183.75
2011-09-05,13.5,31.5625,18.0625,6.958,183.708,2.625,11.25,194.958
2011-09-06,12.229,23.0,10.771,9.208,188.375,2.542,10.042,198.417
2011-09-07,15.985500000000002,29.1465,13.161,14.125,193.773,3.042,11.364,205.136
2011-09-08,17.8125,30.646,12.8335,15.625,191.304,3.0,10.174,201.478
2011-09-09,14.6665,27.917,13.25,15.042,185.708,2.708,8.625,194.333
2011-09-10,11.567,25.313,13.746500000000001,13.458,186.083,2.826,8.292,194.375
2011-09-11,5.8125,14.479,8.6665,7.75,184.417,1.792,8.875,193.292
2011-09-12,10.396,31.7295,21.3335,5.792,183.417,2.208,7.667,191.083
2011-09-13,11.1455,28.625,17.479,7.917,185.333,2.083,7.875,193.208
2011-09-14,11.9815,29.2725,17.291,7.667,185.167,2.25,8.208,193.375
2011-09-15,8.792,23.8335,15.0415,10.125,182.913,1.833,8.435,191.348
2011-09-16,8.208,29.7915,21.5835,9.042,178.0,2.0,9.292,187.292
2011-09-17,6.343,20.336000000000002,13.9925,4.292,175.458,1.87,7.542,183.0
2011-09-18,4.3335,11.3125,6.9795,4.792,182.167,2.167,8.458,190.625
2011-09-19,7.146,17.771,10.625,8.917,180.292,2.417,9.542,189.833
2011-09-20,7.8335,26.6045,18.771,6.208,172.375,1.917,6.792,179.167
2011-09-21,6.103,14.7585,8.6555,8.375,170.4,1.632,5.3,175.7
2011-09-22,12.25,27.5625,15.3125,8.042,,2.583,,
2011-09-23,9.5415,15.770499999999998,6.229,5.875,,2.208,,
2011-09-24,12.489,19.939999999999998,7.451,10.5,,2.783,,
2011-09-25,10.125,14.3125,4.1875,12.542,,2.542,,
2011-09-26,17.25,32.146,14.896,14.833,,2.917,,
2011-09-27,15.5,30.667,15.1665,10.125,,2.5,,
2011-09-28,19.839,38.0235,18.185,15.125,,2.917,,
2011-09-29,19.6875,35.271,15.582999999999998,18.625,,2.833,,
2011-09-30,10.396,14.0625,3.6665,15.917,,2.333,,
2011-10-01,14.2445,21.584,7.3395,11.083,,3.13,,
2011-10-02,9.646,12.8125,3.1665,11.292,,2.792,,
2011-10-03,16.396,27.896,11.5,9.375,,2.75,,
2011-10-04,15.8125,27.5205,11.7085,9.042,192.75,2.75,9.25,202.0
2011-10-05,20.296,38.3865,18.0905,7.667,185.565,3.167,11.565,197.13
2011-10-06,17.792,34.479,16.6875,7.042,187.609,3.0,12.261,199.87
2011-10-07,17.604,29.4585,11.854,23.833,189.125,3.458,10.792,199.917
2011-10-08,13.638000000000002,19.921,6.2835,21.125,191.625,2.87,10.708,202.333
2011-10-09,9.542,14.542000000000002,5.0,21.042,189.583,3.375,10.208,199.792
2011-10-10,12.3955,18.7085,6.3125,23.917,191.5,2.792,10.167,201.667
2011-10-11,18.8335,31.9585,13.125,31.417,192.333,3.042,13.208,205.542
2011-10-12,18.5135,31.1065,12.593,39.875,195.409,3.708,13.364,208.773
2011-10-13,18.6875,29.6455,10.9585,40.292,194.739,3.792,15.261,210.0
2011-10-14,17.3125,30.6875,13.375,32.083,190.125,3.25,13.125,203.25
2011-10-15,9.8535,16.7915,6.938,7.5205,180.542,2.13,10.667,191.208
2011-10-16,5.854,8.625,2.771,9.7705,181.792,2.208,10.375,192.167
2011-10-17,16.1875,30.542,14.354500000000002,19.771,190.25,3.125,14.75,205.0
2011-10-18,19.25,35.8125,16.5625,17.1875,191.208,2.958,13.458,204.667
2011-10-19,19.721,34.211,14.489999999999998,15.125,192.333,3.292,16.25,208.583
2011-10-20,16.75,34.8125,18.0625,10.375,187.739,2.667,14.13,201.87
2011-10-21,18.271,33.2295,14.9585,9.0625,186.25,2.75,14.25,200.5
2011-10-22,17.9435,31.593,13.6495,5.771,183.5,2.739,13.167,196.667
2011-10-23,10.8335,17.771,6.9375,6.0625,184.167,2.125,11.25,195.417
2011-10-24,14.5,33.958,19.458,16.9375,188.292,2.958,13.625,201.917
2011-10-25,14.2915,27.6045,13.3125,11.75,182.958,2.75,13.25,196.208
2011-10-26,16.817,29.9315,13.114,9.8865,189.174,2.667,12.696,201.87
2011-10-27,19.104,32.7295,13.625,14.0835,194.696,2.958,14.261,208.957
2011-10-28,18.9375,35.729,16.7915,14.1665,193.458,3.042,18.208,211.667
2011-10-29,17.702,35.6935,17.992,16.3125,191.083,3.478,16.25,207.333
2011-10-30,10.458,15.0,4.5415,18.4165,188.917,2.75,13.083,202.0
2011-10-31,16.57,34.5415,17.9715,11.5835,187.2,2.55,12.6,199.8
2011-11-01,17.7295,31.771,14.0415,10.4585,193.0,2.667,14.833,207.833
2011-11-02,19.358,40.676500000000004,21.3185,15.646,191.333,3.292,18.667,210.0
2011-11-03,13.125,25.604,12.479,16.8125,191.208,2.583,16.125,207.333
2011-11-04,16.6665,28.8125,12.146,19.4795,190.708,3.083,16.25,206.958
2011-11-05,15.761500000000002,32.8715,17.1095,20.979,185.833,3.13,17.0,202.833
2011-11-06,10.104,17.375,7.271,7.708,181.667,2.375,14.208,195.875
2011-11-07,14.25,37.3335,23.0835,12.75,184.0,3.208,14.958,198.958
2011-11-08,19.104,34.375,15.271,9.3955,185.958,3.25,16.417,202.375
2011-11-09,16.472,24.237,7.7655,12.042,188.167,2.625,15.75,203.917
2011-11-10,20.0,34.292,14.2915,14.4165,189.4,2.792,17.0,206.4
2011-11-11,17.625,31.229,13.604,6.167,186.957,2.583,13.913,200.87
2011-11-12,13.511,32.9765,19.4655,7.8125,192.208,3.304,15.25,207.458
2011-11-13,8.5,17.521,9.021,13.2915,191.125,3.333,17.708,208.833
2011-11-14,16.333,36.7085,20.375,19.8335,190.875,3.542,15.083,205.958
2011-11-15,16.6875,31.4375,14.75,16.5,192.125,2.958,14.792,206.917
2011-11-16,17.472,34.670500000000004,17.1985,11.4375,193.25,2.75,13.5,206.75
2011-11-17,20.5835,45.542,24.9585,15.582999999999998,193.458,3.375,15.083,208.542
2011-11-18,20.4165,38.375,17.958,18.625,194.75,3.25,16.458,211.208
2011-11-19,13.6495,24.771,11.121500000000001,7.396,185.25,2.435,12.083,197.333
2011-11-20,4.0415,5.729,1.6875,4.8335,183.167,2.292,11.375,194.542
2011-11-21,8.9375,17.854,8.917000000000002,3.261,187.091,2.083,11.5,198.591
2011-11-22,19.7705,49.6045,29.833,8.875,189.826,2.958,15.87,205.696
2011-11-23,12.9955,25.451999999999998,12.4565,8.7295,189.083,2.333,12.125,201.208
2011-11-24,10.542,19.521,8.979,7.1455,186.667,2.208,10.667,197.333
2011-11-25,16.0415,35.104,19.0625,5.4795,190.958,2.5,12.417,203.375
2011-11-26,14.291,26.598499999999998,12.308,8.8125,196.083,3.087,15.417,211.5
2011-11-27,11.0835,17.6665,6.583,9.5415,195.958,2.958,13.792,209.75
2011-11-28,16.0,36.2085,20.2085,17.4375,194.792,3.167,16.125,210.917
2011-11-29,18.125,36.8125,18.6875,20.2085,192.957,2.875,18.304,211.261
2011-11-30,20.356,47.091499999999996,26.735500000000002,21.521,194.0,3.5,21.25,215.25
2011-12-01,18.8335,41.083,22.25,9.875,189.0,3.0,16.708,205.708
2011-12-02,15.625,30.0,14.375,4.542,187.917,2.625,14.042,201.958
2011-12-03,13.6,26.3025,12.703,5.1665,186.25,2.739,14.792,201.042
