date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CO_mean
2011-06-29,13.8065,35.733000000000004,21.9265,,2.652
2011-06-30,18.3335,36.021,17.6875,,3.167
2011-07-01,14.729500000000002,35.375,20.6455,,3.0
2011-07-02,10.7295,18.104,7.375,,3.083
2011-07-03,9.854,18.6875,8.833,,3.625
2011-07-04,13.9585,31.583,17.625,,3.5
2011-07-05,19.347,31.6705,12.3235,,4.125
2011-07-06,17.752,39.9375,22.1855,,4.087
2011-07-07,18.2295,50.7085,32.479,,3.333
2011-07-08,10.2295,36.917,26.6875,,2.958
2011-07-09,6.104,15.9585,9.854,,2.0
2011-07-10,6.354,16.708,10.354,,2.0
2011-07-11,6.4585,19.1875,12.729500000000002,,2.0
2011-07-12,7.391500000000001,23.759,16.3675,,2.292
2011-07-13,7.937,34.510000000000005,26.5735,,2.217
2011-07-14,10.7915,33.5835,22.792,,2.167
2011-07-15,13.854,36.7915,22.9375,,2.542
2011-07-16,12.7295,24.6665,11.9375,,3.042
2011-07-17,8.2705,15.25,6.979,,2.417
2011-07-18,9.5835,23.125,13.5415,,2.667
2011-07-19,8.1205,21.7425,13.6225,,2.0
2011-07-20,10.909500000000001,26.6665,15.7575,,2.261
2011-07-21,14.7915,33.0835,18.2915,,2.667
2011-07-22,11.6665,24.6875,13.021,,2.75
2011-07-23,11.979,19.7705,7.7915,,2.75
2011-07-24,13.146,19.0205,5.875,,3.125
2011-07-25,10.2305,18.326,8.0955,,2.583
2011-07-26,14.379999999999999,38.04,23.659999999999997,,2.667
2011-07-27,9.8895,19.203,9.312999999999999,,2.13
2011-07-28,12.0835,28.1875,16.104,,2.375
2011-07-29,16.0,28.833,12.8335,,3.417
2011-07-30,11.646,21.7085,10.0625,,3.042
2011-07-31,11.375,16.292,4.9165,,3.042
2011-08-01,10.1875,24.083,13.895499999999998,,3.083
2011-08-02,9.6955,17.6495,7.954000000000001,,2.542
2011-08-03,9.202,20.3935,11.190999999999999,,2.13
2011-08-04,16.625,33.5625,16.9375,,2.792
2011-08-05,12.625,30.9795,18.3545,,2.667
2011-08-06,4.875,10.3125,5.4375,,1.792
2011-08-07,6.521,17.6665,11.146,,2.25
2011-08-08,11.0835,26.5625,15.479500000000002,,2.25
2011-08-09,16.786,31.643500000000003,14.8565,,2.833
2011-08-10,16.6115,33.078,16.4665,,3.261
2011-08-11,16.833,30.979,14.146,,3.25
2011-08-12,14.208,26.7705,12.5625,,3.458
2011-08-13,6.5205,11.0415,4.521,,3.042
2011-08-14,9.083,10.979,1.896,,2.875
2011-08-15,10.0625,12.354,2.2915,,2.917
2011-08-16,10.856,14.451,3.5949999999999998,,3.125
2011-08-17,13.456,22.2365,8.7805,,3.435
2011-08-18,18.521,34.7705,16.25,,2.958
2011-08-19,17.027,29.419,12.392,,3.833
2011-08-20,14.604,26.5415,11.9375,,3.125
2011-08-21,11.6665,20.083,8.4165,,3.458
2011-08-22,12.1875,24.9165,12.729,,3.042
2011-08-23,18.8035,46.7145,27.911,,3.583
2011-08-24,9.9465,36.7765,26.8295,,2.826
2011-08-25,8.229,33.396,25.1665,,2.333
2011-08-26,10.0205,33.729,23.7085,,2.667
2011-08-27,10.271,20.271,10.0,,2.375
2011-08-28,11.042,17.521,6.479,,3.0
2011-08-29,14.75,26.9375,12.1875,,3.25
2011-08-30,17.7075,35.7525,18.0455,,3.208
2011-08-31,17.0725,32.2255,15.152999999999999,,3.043
2011-09-01,13.5415,43.6045,30.0625,,2.958
2011-09-02,11.021,32.646,21.625,,2.625
2011-09-03,5.917,10.667000000000002,4.75,,2.0
2011-09-04,12.1875,22.729,10.542000000000002,,2.625
2011-09-05,15.0415,28.396,13.354,,2.667
2011-09-06,15.609499999999999,23.8535,8.244,,2.542
2011-09-07,16.6175,25.8215,9.204,,3.043
2011-09-08,20.271,33.2085,12.9375,,3.375
2011-09-09,15.395499999999998,31.833,16.4375,,2.917
2011-09-10,7.5625,19.7295,12.167000000000002,,2.667
2011-09-11,3.5,6.521,3.0205,,1.625
2011-09-12,12.479,28.7705,16.2915,,2.292
2011-09-13,13.1775,38.166,24.988500000000002,,2.667
2011-09-14,15.0455,34.812,19.7665,,2.957
2011-09-15,13.625,40.8955,27.271,,2.75
2011-09-16,17.5625,58.5835,41.0205,,3.625
2011-09-17,4.4585,11.75,7.292,,2.0
2011-09-18,4.3335,9.146,4.8125,,1.958
2011-09-19,8.271,20.0835,11.8125,,2.5
2011-09-20,19.451,41.4995,22.048000000000002,,3.25
2011-09-21,13.925999999999998,28.372999999999998,14.447500000000002,,2.261
2011-09-22,13.5415,23.604,10.0625,,2.292
2011-09-23,12.6875,21.5835,8.896,,2.375
2011-09-24,13.646,21.5835,7.9375,,2.542
2011-09-25,13.5,21.3335,7.8335,,2.708
2011-09-26,22.125,47.6665,25.542,,3.292
2011-09-27,17.6625,37.187,19.5245,,3.0
2011-09-28,17.7925,28.916,11.123000000000001,,2.826
2011-09-29,12.0835,22.7915,10.7085,,2.667
2011-09-30,22.854,46.125,23.2705,,3.417
2011-10-01,13.479,22.479,9.0,,3.042
2011-10-02,8.854,13.6665,4.8125,,2.5
2011-10-03,17.7705,34.4375,16.6665,,2.417
2011-10-04,17.614,28.489,10.875,,2.708
2011-10-05,20.9285,38.831,17.902,,3.762
2011-10-06,20.125,36.104,15.979500000000002,,2.875
2011-10-07,25.4775,42.5225,17.045,,3.875
2011-10-08,15.1455,21.25,6.104,,3.917
2011-10-09,10.6875,13.0415,2.354,,4.208
2011-10-10,15.625,19.6665,4.042,,4.417
2011-10-11,22.307000000000002,41.56,19.2525,,4.792
2011-10-12,18.2495,37.682,19.433,,4.087
2011-10-13,26.021,58.25,32.229,,4.875
2011-10-14,22.146,57.396,35.25,,4.208
2011-10-15,14.667000000000002,28.75,14.082999999999998,,3.625
2011-10-16,13.896,18.875,4.979,,4.0
2011-10-17,19.6665,40.1875,20.5205,,3.875
2011-10-18,17.630499999999998,37.5625,19.932,,2.75
2011-10-19,20.009,43.373,23.364,,2.739
2011-10-20,20.354,37.854,17.5,,3.25
2011-10-21,17.8705,42.9585,25.0875,,3.417
2011-10-22,11.895499999999998,21.5,9.604500000000002,,2.583
2011-10-23,12.625,21.854,9.229,,3.125
2011-10-24,15.4585,40.146,24.6875,,2.833
2011-10-25,16.0165,47.1365,31.1205,,3.292
2011-10-26,20.079,42.394999999999996,22.316,,2.739
2011-10-27,18.0205,41.1045,23.083,,2.625
2011-10-28,19.646,44.896,25.25,,3.167
2011-10-29,17.9375,34.875,16.9375,,3.875
2011-10-30,16.146,25.9165,9.771,,3.875
2011-10-31,19.4165,40.0625,20.6455,,3.417
2011-11-01,18.3015,42.2065,23.905,,2.833
2011-11-02,24.6255,61.3375,36.712,,4.217
2011-11-03,16.4375,37.5415,21.1045,,4.333
2011-11-04,18.377000000000002,46.5625,28.185499999999998,,4.0
2011-11-05,25.3125,62.9375,37.625,,5.5
2011-11-06,14.4375,31.7295,17.2915,,4.208
2011-11-07,17.5,41.7295,24.229,,3.417
2011-11-08,17.951,42.777,24.826,,3.375
2011-11-09,20.8045,43.065,22.261000000000003,,2.783
2011-11-10,20.1665,46.104,25.9375,,2.958
2011-11-11,18.8335,51.5,32.6665,,3.542
2011-11-12,14.0205,33.3545,19.333,,4.417
2011-11-13,12.146,24.625,12.479,,4.958
2011-11-14,21.0625,38.9585,17.896,,4.958
2011-11-15,23.9285,57.0945,33.166,,3.667
2011-11-16,17.718,42.2915,24.5735,,3.043
2011-11-17,22.458,58.5625,36.1045,,4.292
2011-11-18,24.833,59.5625,34.729,,4.917
2011-11-19,17.8545,38.1875,20.3335,,4.667
2011-11-20,10.0,17.7085,7.7085,,3.667
2011-11-21,22.75,53.6665,30.9165,,3.208
2011-11-22,17.231499999999997,37.308,20.076,,2.542
2011-11-23,21.435,48.587,27.152,,4.217
2011-11-24,19.667,44.0835,24.4165,,3.375
2011-11-25,21.145,52.981,31.836000000000002,,3.5
2011-11-26,15.9165,37.104,21.1875,,3.167
2011-11-27,14.771,29.354,14.5835,,4.125
2011-11-28,20.625,84.4165,63.792,,6.708
2011-11-29,18.9585,74.7295,55.771,,5.083
2011-11-30,19.087,68.0,48.913000000000004,,4.348
2011-12-01,17.1665,37.5835,20.417,,2.917
2011-12-02,21.616,46.3775,24.761499999999998,,3.042
2011-12-03,16.7085,36.917,20.2085,,3.625
2011-12-04,15.021,28.729,13.7085,,3.208
2011-12-05,19.042,53.0415,34.0,,3.458
2011-12-06,18.9375,58.708,39.771,,3.708
2011-12-07,21.0435,67.0435,46.0,,3.957
2011-12-08,21.583,56.1045,34.5205,,4.833
2011-12-09,20.708,51.396,30.6875,,3.792
2011-12-10,17.4375,41.25,23.8125,,3.792
2011-12-11,16.1665,31.458,15.2915,,4.083
2011-12-12,20.0205,67.375,47.3545,,5.083
2011-12-13,17.625,69.2915,51.6665,,4.0
2011-12-14,20.0215,67.152,47.1305,,4.087
2011-12-15,19.6875,63.0625,43.375,,4.708
2011-12-16,18.896,42.5625,23.6665,,3.292
2011-12-17,19.354,40.2705,20.9165,,3.917
2011-12-18,17.6875,36.9375,19.25,,3.75
2011-12-19,23.4585,63.9375,40.479,,4.333
2011-12-20,27.375,85.8125,58.4375,,3.875
2011-12-21,24.3045,74.0,49.695499999999996,,4.652
