date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean,SO2_mean
2011-03-19,190.375,7.708,5.57,6.518,0.948,,,198.083,2.708
2011-03-20,190.917,8.542,10.93,13.667,2.736,,,199.458,3.375
2011-03-21,191.458,13.417,17.435,20.61,3.176,,,204.875,4.167
2011-03-22,192.333,16.5,23.25,29.0,5.75,,,208.833,5.652
2011-03-23,188.174,14.522,18.486,22.028,3.542,,,202.696,2.167
2011-03-24,189.917,10.0,10.181,11.917,1.736,,,199.917,3.125
2011-03-25,191.25,7.458,5.916,6.917,1.0,,,198.708,2.833
2011-03-26,192.542,8.333,8.561,10.41,1.848,,,200.875,2.0
2011-03-27,194.25,15.208,21.347,25.583,4.236,,,209.458,5.208
2011-03-28,191.591,13.636,17.498,21.975,4.477,,,205.227,4.208
2011-03-29,192.083,16.292,21.0,24.986,3.986,,,208.375,5.0
2011-03-30,189.917,15.042,18.153,21.764,3.611,,,204.958,5.375
2011-03-31,188.25,9.75,10.875,12.061,1.186,,,198.0,3.739
2011-04-01,188.167,13.167,26.375,29.056,2.68,,,201.333,9.833
2011-04-02,189.739,9.696,15.778,17.958,2.181,,,199.435,7.458
2011-04-03,189.333,4.125,5.361,5.986,0.625,,,193.458,5.125
2011-04-04,190.125,5.625,9.31,11.879,2.569,,,195.75,5.0
2011-04-05,191.375,9.833,17.708,20.528,2.819,,,201.208,6.125
2011-04-06,191.458,13.833,24.507,28.273,3.765,,,205.292,8.042
2011-04-07,188.435,13.13,19.764,23.153,3.389,,,201.565,7.333
2011-04-08,186.609,13.261,20.986,24.903,3.917,,,199.87,5.087
2011-04-09,186.75,11.333,11.889,14.555,2.667,,,198.083,5.25
2011-04-10,189.958,10.667,15.208,16.431,1.222,,,200.625,8.625
2011-04-11,189.0,11.083,12.26,13.95,1.69,,,200.083,6.917
2011-04-12,190.708,14.75,20.889,24.639,3.75,,,205.458,8.0
2011-04-13,190.783,16.696,26.88,30.839,3.96,,,207.478,9.292
2011-04-14,189.917,18.208,29.444,32.514,3.069,,,208.125,12.208
2011-04-15,189.417,20.583,26.875,30.139,3.264,,,210.0,8.583
2011-04-16,188.958,9.583,9.972,13.417,3.444,,,198.542,4.75
2011-04-17,189.292,6.833,9.819,10.694,0.875,,,196.125,4.875
2011-04-18,190.696,14.696,22.92,28.188,5.267,,,205.391,4.708
2011-04-19,189.826,6.652,11.028,13.153,2.125,,,196.478,3.833
2011-04-20,190.417,5.542,11.82,13.549,1.729,,,195.958,3.625
2011-04-21,192.25,14.375,20.903,24.944,4.042,,,206.625,6.458
2011-04-22,190.542,14.375,22.334,26.819,4.486,,,204.917,4.87
2011-04-23,187.261,10.0,12.375,14.305,1.93,,,197.261,3.958
2011-04-24,190.333,7.25,10.986,12.014,1.028,,,197.583,5.25
2011-04-25,190.208,8.875,16.053,17.789,1.737,,,199.083,5.625
2011-04-26,189.917,16.208,26.125,30.958,4.833,,,206.125,7.75
2011-04-27,186.458,13.25,17.919,21.704,3.785,,,199.708,5.292
2011-04-28,189.783,9.696,13.542,16.111,2.569,,,199.478,4.625
2011-04-29,192.458,11.083,16.931,19.472,2.542,,,203.542,7.625
2011-04-30,191.292,11.958,14.264,16.472,2.209,,,203.25,6.208
2011-05-01,186.667,9.958,9.93,11.139,1.208,,,196.625,5.292
2011-05-02,190.833,11.583,13.623,15.518,1.895,,,202.417,6.542
2011-05-03,190.826,10.391,13.833,15.278,1.444,,,201.217,6.458
2011-05-04,191.792,12.5,12.643,14.348,1.705,,,204.292,8.583
2011-05-05,189.833,7.083,9.111,9.958,0.847,,,196.917,6.458
2011-05-06,188.435,8.739,10.736,12.417,1.681,,,197.174,5.167
2011-05-07,185.87,10.696,11.347,12.778,1.43,,,196.565,6.0
2011-05-08,186.125,15.375,13.972,15.931,1.958,,,201.5,9.375
2011-05-09,189.583,14.042,16.076,17.815,1.739,,,203.625,8.333
2011-05-10,182.958,23.625,20.041,30.167,10.125,,,206.583,8.458
2011-05-11,178.542,32.125,16.237,30.264,14.026,,,210.667,6.208
2011-05-12,180.478,26.696,13.486,19.889,6.403,,,207.174,4.208
2011-05-13,187.833,17.5,14.856,17.299,2.443,,,205.333,6.545
2011-05-14,190.0,11.375,13.944,16.125,2.181,,,201.375,7.208
2011-05-15,192.125,14.333,14.986,16.208,1.222,,,206.458,9.625
2011-05-16,191.875,15.167,19.05,21.335,2.285,,,207.042,11.292
2011-05-17,188.174,20.174,14.945,16.722,1.778,,,208.348,8.042
2011-05-18,189.708,11.458,15.993,17.944,1.951,,,201.167,8.667
2011-05-19,189.042,12.0,16.042,17.819,1.778,,,201.042,8.167
2011-05-20,186.542,13.75,15.028,17.014,1.986,,,200.292,8.333
2011-05-21,183.792,12.25,12.597,14.597,2.0,,,196.042,7.292
2011-05-22,185.522,12.304,8.028,9.417,1.389,,,197.826,5.25
2011-05-23,187.5,9.417,8.837,11.376,2.538,,,196.917,3.75
2011-05-24,187.348,10.174,10.917,13.195,2.278,,,197.522,4.391
2011-05-25,187.833,11.125,12.88,15.159,2.279,,,198.958,5.625
2011-05-26,188.0,11.583,14.292,16.486,2.195,,,199.583,5.208
2011-05-27,187.217,12.217,14.431,16.847,2.416,,,199.435,4.0
2011-05-28,187.75,16.875,18.292,23.375,5.083,,,204.625,3.875
2011-05-29,183.667,11.75,6.889,8.083,1.195,,,195.417,3.0
2011-05-30,184.208,7.542,4.633,6.122,1.489,,,191.75,3.083
2011-05-31,185.375,10.208,10.167,12.944,2.778,,,195.583,4.042
2011-06-01,184.87,11.435,11.45,14.024,2.574,,,196.304,4.042
2011-06-02,186.5,15.292,16.056,19.875,3.82,,,201.792,6.292
2011-06-03,187.167,15.0,13.958,16.375,2.417,,,202.167,7.167
2011-06-04,187.167,18.75,21.611,24.945,3.333,,,205.917,11.375
2011-06-05,186.75,14.75,15.861,17.861,2.0,,,201.5,10.208
2011-06-06,189.478,18.957,19.777,22.645,2.868,,,208.435,10.375
2011-06-07,187.083,16.792,16.389,18.889,2.5,,,203.875,6.458
2011-06-08,185.696,15.783,16.382,18.353,1.971,,,201.478,6.609
2011-06-09,188.5,20.208,21.82,25.764,3.944,,,208.708,9.208
2011-06-10,187.5,20.625,20.555,26.486,5.93,,,208.125,7.458
2011-06-11,185.75,19.417,11.917,14.306,2.389,,,205.167,5.375
2011-06-12,188.542,19.542,13.306,16.444,3.139,,,208.083,5.625
2011-06-13,186.13,18.261,13.656,16.395,2.739,,,204.391,5.667
2011-06-14,188.708,14.875,14.972,16.375,1.403,,,203.583,7.042
2011-06-15,189.083,14.5,16.924,20.358,3.434,,,203.583,7.042
2011-06-16,187.333,13.542,15.458,17.639,2.18,,,200.875,4.708
2011-06-17,188.0,17.417,17.681,20.375,2.694,,,205.417,6.083
2011-06-18,188.565,19.087,17.403,20.764,3.361,,,207.652,5.625
2011-06-19,189.667,20.833,14.834,17.847,3.014,,,210.5,7.125
2011-06-20,183.458,18.0,12.61,16.958,4.348,,,201.458,4.667
2011-06-21,183.75,24.083,18.0,23.764,5.764,,,207.833,8.091
2011-06-22,183.875,26.458,21.08,30.0,8.92,,,210.333,8.875
2011-06-23,180.043,26.174,16.542,26.431,9.889,,,206.217,9.75
2011-06-24,180.333,27.083,15.708,26.361,10.653,,,207.417,9.208
2011-06-25,180.042,26.333,13.306,19.681,6.375,,,206.375,6.583
2011-06-26,177.792,24.417,4.403,7.611,3.208,,,202.208,3.083
2011-06-27,179.458,27.208,10.818,15.882,5.063,,,206.667,5.25
2011-06-28,180.13,28.261,16.014,24.945,8.93,,,208.391,7.958
2011-06-29,182.375,31.333,21.316,30.359,9.043,,,213.708,9.583
2011-06-30,182.25,27.958,18.653,27.541,8.889,,,210.208,8.333
2011-07-01,181.208,24.625,17.708,24.653,6.944,,,205.833,4.917
2011-07-02,184.792,24.333,11.403,14.014,2.611,,,209.125,3.792
2011-07-03,189.261,25.783,12.764,15.639,2.875,,,215.043,5.708
2011-07-04,183.833,26.542,15.37,21.515,6.146,,,210.375,5.458
2011-07-05,190.833,28.375,20.458,23.861,3.403,,,219.208,7.739
2011-07-06,195.522,21.783,15.661,18.383,2.722,,,217.304,5.542
2011-07-07,189.565,26.957,18.611,28.82,10.208,,,216.522,4.583
2011-07-08,185.826,24.478,12.284,20.121,7.836,,,210.304,4.042
2011-07-09,181.5,23.375,8.542,14.639,6.097,,,204.875,3.583
2011-07-10,180.167,19.5,6.236,8.319,2.083,,,199.667,4.083
2011-07-11,178.522,19.174,8.17,12.049,3.879,,,197.696,3.25
2011-07-12,179.542,18.792,8.972,15.514,6.542,,,198.333,3.208
2011-07-13,180.292,17.208,9.356,14.778,5.423,,,197.5,3.5
2011-07-14,180.542,17.5,11.125,15.125,4.0,,,198.042,4.5
2011-07-15,184.667,19.75,14.599,18.171,3.572,,,204.417,6.167
2011-07-16,186.522,18.783,12.125,14.861,2.736,,,205.304,4.875
2011-07-17,179.792,15.25,6.542,8.292,1.75,,,195.042,4.292
2011-07-18,177.875,17.5,6.161,9.183,3.023,,,195.375,3.125
2011-07-19,172.875,14.042,2.889,4.736,1.847,,,186.917,2.25
2011-07-20,174.083,14.708,3.502,5.478,1.976,,,188.792,2.625
2011-07-21,183.696,12.783,5.319,7.805,2.486,,,196.478,3.292
2011-07-22,187.292,14.833,9.875,13.542,3.667,,,202.125,4.0
2011-07-23,188.833,16.25,12.097,14.222,2.125,,,205.083,6.917
2011-07-24,189.208,12.708,6.736,7.903,1.167,,,201.917,5.333
2011-07-25,193.333,13.111,9.998,13.094,3.096,,,206.444,4.042
2011-07-26,,,10.334,13.417,3.084,,,,3.625
2011-07-27,,,13.665,16.768,3.104,,,,4.958
2011-07-28,,,16.916,22.979,6.062,,,,6.708
2011-07-29,182.857,36.857,17.68,22.129,4.448,,,219.714,6.042
2011-07-30,181.917,25.625,10.222,13.597,3.375,,,207.542,4.292
2011-07-31,189.708,21.25,10.43,12.042,1.611,,,210.958,6.542
2011-08-01,189.333,19.125,10.604,13.096,2.492,,,208.458,4.417
2011-08-02,185.208,17.583,9.625,12.514,2.889,,,202.792,3.875
2011-08-03,178.304,15.652,8.117,11.819,3.702,,,193.957,3.833
2011-08-04,179.917,14.667,10.153,14.222,4.07,,,194.583,4.583
2011-08-05,180.708,15.958,10.056,13.458,3.403,,,196.667,3.833
2011-08-06,175.875,15.708,7.486,11.375,3.889,,,191.583,3.435
2011-08-07,177.375,16.5,6.681,9.57,2.889,,,193.875,3.667
2011-08-08,181.174,22.435,14.846,18.287,3.441,,,203.609,6.333
2011-08-09,182.833,28.167,21.389,27.222,5.833,,,211.0,8.167
2011-08-10,182.083,29.375,19.471,24.547,5.076,,,211.458,8.792
2011-08-11,178.75,19.458,11.805,15.486,3.68,,,198.208,5.75
2011-08-12,181.667,23.667,11.528,14.417,2.889,,,205.333,5.167
2011-08-13,183.261,18.087,8.972,10.722,1.75,,,201.348,5.5
2011-08-14,184.125,20.958,13.375,15.389,2.014,,,205.083,8.167
2011-08-15,182.833,16.25,9.893,12.269,2.377,,,199.083,6.25
2011-08-16,182.375,17.792,8.25,10.278,2.028,,,200.167,5.625
2011-08-17,180.208,17.292,13.055,17.065,4.01,,,197.5,6.917
2011-08-18,184.087,16.435,14.25,19.236,4.986,,,200.522,6.625
2011-08-19,189.292,16.833,12.653,15.542,2.889,,,206.125,4.667
2011-08-20,188.75,13.292,9.403,11.597,2.195,,,202.042,4.5
2011-08-21,190.292,15.458,9.139,11.5,2.361,,,205.75,3.917
2011-08-22,188.083,13.542,8.161,10.783,2.621,,,201.625,4.167
2011-08-23,187.913,15.304,11.778,15.041,3.264,,,203.217,3.375
2011-08-24,189.429,15.571,9.736,16.179,6.444,,,205.0,3.391
2011-08-25,173.583,10.583,7.25,13.861,6.611,,,184.167,2.875
2011-08-26,179.333,13.042,8.528,14.167,5.639,,,192.375,3.542
2011-08-27,181.333,13.208,7.361,9.986,2.625,,,194.542,3.333
2011-08-28,181.417,11.583,5.208,6.5,1.292,,,193.0,3.542
2011-08-29,185.0,14.708,8.537,10.301,1.764,,,199.708,4.042
2011-08-30,186.087,15.565,12.416,14.361,1.945,,,201.652,4.875
2011-08-31,182.333,14.833,10.061,11.859,1.798,,,197.167,4.333
2011-09-01,177.333,13.208,7.736,11.139,3.403,,,190.542,2.708
2011-09-02,174.5,9.792,3.5,4.792,1.292,,,184.292,2.333
2011-09-03,175.333,10.833,4.389,5.319,0.931,,,186.167,2.042
2011-09-04,181.826,14.957,10.056,13.347,3.292,,,196.783,3.542
2011-09-05,184.375,10.083,6.15,8.257,2.107,,,194.458,3.542
2011-09-06,190.125,11.25,11.375,13.653,2.278,,,201.375,5.625
2011-09-07,193.792,15.542,16.758,19.448,2.691,,,209.333,7.826
2011-09-08,194.261,13.478,13.542,16.097,2.556,,,207.739,5.417
2011-09-09,189.708,12.667,11.222,14.389,3.167,,,202.375,3.917
2011-09-10,185.0,11.5,7.569,11.958,4.389,,,196.5,2.833
2011-09-11,184.458,10.083,6.083,8.903,2.819,,,194.542,2.833
2011-09-12,187.208,12.083,9.416,12.832,3.416,,,199.292,3.5
2011-09-13,183.391,13.522,12.861,16.444,3.583,,,196.913,3.958
2011-09-14,184.375,14.375,12.745,15.903,3.158,,,198.75,3.792
2011-09-15,182.667,13.0,11.028,15.139,4.111,,,195.667,3.792
2011-09-16,181.542,13.708,11.639,17.542,5.903,,,195.25,2.917
2011-09-17,177.167,13.542,9.153,14.014,4.861,,,190.708,2.125
2011-09-18,179.435,12.304,5.653,8.264,2.611,,,191.739,2.458
2011-09-19,184.375,10.083,4.189,5.473,1.285,,,194.458,2.708
2011-09-20,186.375,8.917,5.82,7.611,1.791,,,195.292,2.958
2011-09-21,194.917,6.917,4.539,5.556,1.018,,,201.833,3.043
2011-09-22,190.737,10.474,6.819,8.5,1.681,,,201.211,3.833
2011-09-23,187.375,14.792,8.917,10.625,1.708,,,202.167,4.083
2011-09-24,189.208,14.5,11.097,13.5,2.403,,,203.708,3.625
2011-09-25,190.125,9.542,9.139,10.514,1.375,,,199.667,3.917
2011-09-26,188.458,12.25,13.652,16.889,3.237,,,200.708,3.75
2011-09-27,189.0,11.913,11.833,15.208,3.375,,,200.913,3.917
2011-09-28,188.458,12.5,15.205,17.655,2.451,,,200.958,4.583
2011-09-29,187.708,13.792,15.875,18.611,2.736,,,201.5,4.75
2011-09-30,186.292,14.75,16.083,19.972,3.889,,,201.042,3.625
2011-10-01,186.208,6.458,5.264,6.445,1.18,,,192.667,3.625
2011-10-02,187.565,8.609,4.861,5.986,1.125,,,196.174,3.5
2011-10-03,187.542,5.583,5.996,6.953,0.957,,,193.125,3.25
2011-10-04,189.625,8.625,13.847,16.903,3.056,,,198.25,3.667
2011-10-05,188.375,13.833,14.052,17.004,2.952,,,202.208,2.958
2011-10-06,185.875,11.292,12.528,16.069,3.542,,,197.167,3.417
2011-10-07,189.136,15.864,9.93,11.195,1.264,,,205.0,4.043
2011-10-08,190.833,10.0,11.833,13.847,2.014,,,200.833,3.75
2011-10-09,191.792,8.208,9.222,10.333,1.111,,,200.0,4.625
2011-10-10,191.125,16.167,15.127,17.148,2.02,,,207.292,5.667
2011-10-11,190.042,19.208,16.75,21.195,4.444,,,209.25,4.083
2011-10-12,190.913,19.652,20.187,25.744,5.557,,,210.565,5.458
2011-10-13,191.125,17.875,20.264,24.68,4.416,,,209.0,4.833
2011-10-14,187.833,19.458,19.764,24.5,4.736,,,207.292,3.667
2011-10-15,184.458,20.75,17.305,23.125,5.82,,,205.208,3.667
2011-10-16,188.75,11.333,10.75,12.5,1.75,,,200.083,5.5
2011-10-17,189.826,10.348,10.556,12.764,2.208,,,200.174,4.375
2011-10-18,190.208,18.083,12.389,15.583,3.194,,,208.292,3.792
2011-10-19,189.792,13.917,10.513,13.696,3.183,,,203.708,3.125
2011-10-20,189.5,13.125,14.944,18.5,3.556,,,202.625,3.348
2011-10-21,188.25,14.75,16.153,19.111,2.958,,,203.0,3.417
2011-10-22,186.217,15.174,14.194,18.653,4.458,,,201.391,3.417
2011-10-23,186.292,14.875,7.264,8.472,1.208,,,201.167,3.083
2011-10-24,188.0,17.208,16.466,22.582,6.116,,,205.208,4.417
2011-10-25,189.375,9.083,8.944,10.805,1.861,,,198.458,3.125
2011-10-26,193.083,6.625,9.263,10.884,1.621,,,199.708,3.0
2011-10-27,190.043,11.739,17.083,21.931,4.847,,,201.783,2.917
2011-10-28,189.333,15.0,18.972,23.5,4.528,,,204.333,3.083
2011-10-29,186.833,12.75,14.889,17.583,2.694,,,199.583,3.375
2011-10-30,186.708,11.583,11.75,13.403,1.653,,,198.292,2.708
2011-10-31,186.333,12.167,9.321,12.124,2.803,,,198.5,2.75
2011-11-01,187.87,12.13,14.57,18.958,4.389,,,200.0,3.375
2011-11-02,187.792,14.125,17.235,21.057,3.822,,,201.917,3.917
2011-11-03,189.625,19.0,19.278,25.278,6.0,,,208.625,4.458
2011-11-04,188.75,15.875,16.5,22.625,6.125,,,204.625,3.875
2011-11-05,187.25,18.917,19.361,25.972,6.611,,,206.167,2.917
2011-11-06,186.913,16.043,11.486,15.528,4.042,,,202.957,3.042
2011-11-07,187.833,10.708,6.361,7.404,1.043,,,198.542,3.042
2011-11-08,189.625,13.667,8.208,10.778,2.569,,,203.292,3.0
2011-11-09,190.13,9.043,10.293,13.826,3.533,,,199.174,2.696
2011-11-10,191.25,11.167,13.931,18.125,4.194,,,202.417,2.25
2011-11-11,190.875,16.0,15.903,24.875,8.972,,,206.875,2.792
2011-11-12,192.167,20.75,20.167,28.375,8.208,,,212.917,5.083
2011-11-13,191.542,18.25,11.667,15.055,3.389,,,209.792,3.917
2011-11-14,192.435,14.087,12.535,16.2,3.665,,,206.522,4.667
2011-11-15,191.167,7.417,9.944,12.444,2.5,,,198.583,3.667
2011-11-16,192.917,12.625,16.867,23.271,6.404,,,205.542,4.0
2011-11-17,194.458,16.5,20.236,29.555,9.32,,,210.958,3.958
2011-11-18,194.917,23.875,21.43,31.667,10.236,,,218.792,3.792
2011-11-19,188.0,18.087,18.653,26.694,8.041,,,206.087,2.042
2011-11-20,189.25,7.25,6.639,8.25,1.611,,,196.5,3.083
2011-11-21,191.75,5.292,10.138,13.651,3.513,,,197.042,2.833
2011-11-22,193.458,15.167,20.014,29.659,9.646,,,208.625,3.292
2011-11-23,193.792,24.417,21.712,35.592,13.88,,,218.208,4.792
2011-11-24,190.913,6.174,9.417,12.306,2.889,,,197.087,3.136
2011-11-25,192.958,15.25,15.486,21.708,6.222,,,208.208,2.708
2011-11-26,193.083,20.958,19.903,27.556,7.653,,,214.042,3.417
2011-11-27,193.375,14.833,16.361,21.986,5.625,,,208.208,3.583
2011-11-28,195.583,26.708,20.111,42.007,21.896,,,222.292,3.667
2011-11-29,193.783,43.391,27.167,63.625,36.458,,,237.174,5.75
2011-11-30,190.0,23.125,19.11,40.777,21.667,,,213.125,4.542
2011-12-01,188.625,3.875,6.195,7.68,1.486,,,192.5,3.042
2011-12-02,188.958,7.167,13.055,17.889,4.833,,,196.125,2.958
2011-12-03,186.958,11.625,12.583,19.917,7.333,,,198.583,2.583
2011-12-04,190.565,9.0,9.736,12.319,2.584,,,199.565,2.792
2011-12-05,192.458,15.625,15.625,24.02,8.395,,,208.083,2.917
2011-12-06,193.167,14.375,20.653,33.417,12.764,,,207.542,3.417
2011-12-07,192.167,19.917,17.983,34.318,16.336,,,212.083,3.167
2011-12-08,192.522,18.0,20.278,29.792,9.514,,,210.522,3.174
2011-12-09,192.375,6.375,8.014,10.5,2.486,,,198.75,2.917
2011-12-10,193.333,11.333,13.181,19.111,5.931,,,204.667,2.667
2011-12-11,193.417,9.792,13.722,17.695,3.972,,,203.208,3.0
2011-12-12,194.375,20.875,20.288,36.051,15.764,,,215.25,3.333
2011-12-13,192.783,27.696,23.292,47.597,24.306,,,220.478,3.667
2011-12-14,192.292,24.375,27.129,48.824,21.696,,,216.667,5.542
2011-12-15,193.667,23.292,17.18,37.305,20.125,,,216.958,4.542
2011-12-16,190.917,6.125,10.889,14.972,4.083,,,197.042,2.958
2011-12-17,192.042,9.292,11.208,15.528,4.319,,,201.333,2.417
2011-12-18,191.13,7.0,12.681,16.583,3.903,,,198.13,2.917
2011-12-19,190.917,8.333,14.413,21.136,6.723,,,199.25,3.042
2011-12-20,190.292,13.25,17.986,25.861,7.875,,,203.542,3.125
2011-12-21,193.25,22.083,26.296,47.416,21.12,,,215.333,5.417
2011-12-22,192.545,19.136,17.972,36.042,18.069,,,211.682,4.957
2011-12-23,187.583,6.0,10.319,13.833,3.514,,,193.583,3.583
2011-12-24,188.083,7.292,11.097,15.333,4.236,,,195.375,4.0
2011-12-25,189.125,4.292,7.361,9.528,2.167,,,193.417,3.083
2011-12-26,189.5,5.0,10.393,14.405,4.012,,,194.5,3.25
2011-12-27,190.739,11.13,17.028,24.361,7.333,,,201.87,3.542
2011-12-28,192.5,26.458,28.365,52.819,24.454,,,218.958,5.958
2011-12-29,190.542,19.167,17.417,28.944,11.528,,,209.708,5.0
2011-12-30,189.542,4.083,5.431,6.444,1.014,,,193.625,3.542
2011-12-31,191.042,11.583,13.569,17.583,4.014,,,202.625,4.042
2012-01-01,196.667,8.0,11.736,13.736,2.0,,,204.667,4.917
2012-01-02,196.708,7.333,8.991,11.799,2.809,,,204.042,4.833
2012-01-03,194.667,3.125,5.653,6.584,0.931,,,197.792,4.042
2012-01-04,195.375,8.25,11.111,14.055,2.945,,,203.625,3.708
2012-01-05,194.217,11.696,20.889,29.347,8.458,,,205.913,5.292
2012-01-06,193.958,13.917,18.125,24.389,6.264,,,207.875,4.833
2012-01-07,193.458,17.667,24.478,36.693,12.216,,,211.125,5.458
2012-01-08,193.208,21.167,24.75,37.472,12.722,,,214.375,5.792
2012-01-09,192.364,13.455,16.082,24.156,8.075,,,205.818,4.783
2012-01-10,192.208,6.583,13.875,17.653,3.778,,,198.792,3.625
