date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-02-23,27.51,40.823,13.312,12.0,2.319,192.565,5.042,25.348,217.913
2011-02-24,27.542,47.379,19.838,17.633,3.417,195.417,6.913,23.667,219.083
2011-02-25,25.844,34.562,8.719,13.475,2.445,193.417,6.125,20.917,214.333
2011-02-26,20.094,25.375,5.281,10.075,1.986,193.792,4.667,14.708,208.5
2011-02-27,22.81,30.846,8.036,9.75,2.208,194.684,4.667,16.947,211.632
2011-02-28,31.292,42.0,10.708,10.4,2.528,197.0,4.625,17.208,214.208
2011-03-01,25.584,40.042,14.458,8.258,2.542,193.87,5.792,20.043,213.913
2011-03-02,35.711,61.463,25.752,11.808,2.139,194.042,6.174,26.208,220.25
2011-03-03,21.722,27.925,6.204,11.097,2.043,192.955,4.87,17.091,210.045
2011-03-04,19.698,24.073,4.375,20.875,2.167,195.833,4.5,14.375,210.208
2011-03-05,26.314,36.358,10.044,8.971,1.709,193.75,5.708,21.417,215.167
2011-03-06,20.99,31.458,10.469,14.575,2.958,188.083,4.875,22.708,210.792
2011-03-07,23.314,32.403,9.089,17.408,3.597,189.75,5.25,18.875,208.625
2011-03-08,24.812,33.25,8.438,19.125,3.438,195.435,5.0,18.304,213.739
2011-03-09,23.952,33.835,9.882,10.258,2.542,195.375,5.348,17.5,212.875
2011-03-10,13.132,17.538,4.406,4.567,2.097,194.458,4.208,11.875,206.333
2011-03-11,13.51,17.98,4.47,10.433,3.222,195.375,3.958,15.292,210.667
2011-03-12,21.173,27.321,6.148,8.337,3.056,196.25,3.792,15.667,211.917
2011-03-13,21.583,31.063,9.479,8.275,2.972,198.792,3.958,17.042,215.833
2011-03-14,26.099,36.932,10.833,8.933,3.403,198.542,4.208,17.417,215.958
2011-03-15,23.479,34.781,11.302,16.555,4.134,195.304,4.75,33.478,228.783
2011-03-16,25.553,35.378,9.825,12.65,3.5,196.375,4.391,15.292,211.667
2011-03-17,33.556,48.889,15.333,18.458,2.833,193.208,6.583,32.917,226.125
2011-03-18,25.846,39.466,13.62,20.45,2.944,192.0,6.833,30.375,222.375
2011-03-19,21.504,28.819,7.316,9.287,3.29,189.818,4.565,14.864,204.682
2011-03-20,21.427,27.781,6.354,10.867,3.611,190.667,3.958,28.25,218.917
2011-03-21,21.002,27.984,6.982,9.808,3.222,191.458,3.917,16.75,208.208
2011-03-22,20.146,27.416,7.271,12.5,3.597,192.125,3.75,28.917,221.042
2011-03-23,31.879,40.972,9.093,12.85,2.736,190.208,4.304,18.708,208.917
2011-03-24,13.896,20.208,6.312,7.65,2.958,187.75,4.333,24.0,211.75
2011-03-25,7.396,10.354,2.958,7.425,3.111,190.333,3.792,11.833,202.167
2011-03-26,22.055,29.561,7.505,9.267,2.972,198.348,4.208,16.739,215.087
2011-03-27,23.625,32.354,8.729,12.572,3.482,199.583,4.083,24.083,223.667
2011-03-28,22.395,33.093,10.698,21.525,4.667,196.25,4.833,29.583,225.833
2011-03-29,19.677,26.922,7.244,11.533,4.0,194.417,4.167,23.833,218.25
2011-03-30,21.895,30.932,9.036,15.333,3.986,192.917,3.435,20.208,213.125
2011-03-31,7.708,11.222,3.514,11.008,2.445,186.375,2.208,12.083,198.458
2011-04-01,19.292,26.989,7.697,17.539,4.055,193.381,4.318,16.571,209.952
2011-04-02,18.136,24.042,5.906,27.3,4.556,191.167,4.583,23.792,214.958
2011-04-03,14.146,18.656,4.51,16.85,3.236,191.708,4.125,11.25,202.958
2011-04-04,19.068,24.286,5.217,14.631,3.361,193.208,3.875,10.708,203.917
2011-04-05,21.782,28.798,7.016,13.383,3.583,194.583,4.208,17.875,212.458
2011-04-06,21.829,29.709,7.88,18.567,4.153,193.167,3.522,16.417,209.583
2011-04-07,19.01,28.979,9.969,19.608,4.319,190.708,3.542,18.625,209.333
2011-04-08,15.26,21.229,5.969,19.522,4.264,188.217,2.708,14.13,202.348
2011-04-09,14.021,19.99,5.969,14.075,3.167,187.6,3.208,23.25,210.85
2011-04-10,13.948,21.698,7.75,18.675,3.43,190.583,3.917,14.375,204.958
2011-04-11,15.43,21.552,6.122,28.242,4.153,189.208,4.125,14.458,203.667
2011-04-12,15.997,21.159,5.162,19.608,3.18,190.125,3.042,15.417,205.542
2011-04-13,18.172,25.001,6.83,22.608,3.542,191.667,4.391,17.542,209.208
2011-04-14,20.49,28.406,7.916,28.717,4.361,191.417,4.417,20.0,211.417
2011-04-15,18.332,28.132,9.8,31.647,4.362,191.81,4.304,22.571,214.381
2011-04-16,15.99,22.208,6.219,31.067,3.736,188.792,3.917,23.875,212.667
2011-04-17,14.156,20.136,5.979,18.083,3.194,191.5,3.542,14.958,206.458
2011-04-18,13.285,20.6,7.315,16.767,2.708,189.917,3.708,14.875,204.792
2011-04-19,13.358,19.273,5.915,13.133,2.445,189.708,4.0,14.875,204.583
2011-04-20,17.458,24.434,6.977,13.992,3.291,193.5,4.652,15.917,209.417
2011-04-21,19.125,27.427,8.302,16.233,3.403,193.625,4.208,12.917,206.542
2011-04-22,15.993,25.055,9.062,18.646,3.153,190.609,4.458,17.13,207.739
2011-04-23,15.271,22.744,7.473,15.125,1.847,188.0,4.292,19.167,207.167
2011-04-24,8.479,11.531,3.052,17.575,3.181,187.917,3.833,9.0,196.917
2011-04-25,13.184,21.271,8.087,17.568,3.07,191.708,4.625,12.792,204.5
2011-04-26,14.178,24.106,9.928,21.508,3.639,191.625,4.667,23.0,214.625
2011-04-27,7.276,12.46,5.185,38.317,2.833,186.833,3.565,8.875,195.708
2011-04-28,7.717,12.148,4.431,18.642,3.25,186.125,2.708,10.958,197.083
2011-04-29,12.037,17.494,5.457,11.192,3.111,193.043,4.25,13.087,206.13
2011-04-30,8.373,13.66,5.287,16.575,3.014,193.5,3.958,17.583,211.083
2011-05-01,10.474,14.007,3.533,15.993,1.914,189.75,3.182,12.167,201.917
2011-05-02,17.103,26.504,9.401,50.119,3.778,191.417,4.083,14.083,205.5
2011-05-03,16.026,23.097,7.071,58.05,2.889,195.542,4.417,14.25,209.792
2011-05-04,12.158,18.218,6.06,34.95,2.764,192.917,3.13,13.083,206.0
2011-05-05,16.125,24.306,8.181,29.283,2.958,204.125,4.667,15.417,219.542
2011-05-06,20.903,31.083,10.18,30.4,3.097,196.417,4.042,14.0,210.417
2011-05-07,16.028,24.028,8.0,17.525,2.361,191.792,2.958,10.25,202.042
2011-05-08,14.732,23.127,8.395,24.341,3.653,189.217,2.958,13.478,202.696
2011-05-09,20.548,30.945,10.397,33.292,4.181,192.542,3.292,18.458,211.0
2011-05-10,13.99,23.838,9.847,37.708,3.361,182.167,1.542,24.167,206.333
2011-05-11,22.351,31.152,8.801,9.541,1.667,190.542,3.609,14.375,204.917
2011-05-12,23.5,33.736,10.236,10.092,1.57,191.625,3.667,17.792,209.417
2011-05-13,15.958,25.292,9.333,36.383,3.25,186.083,2.583,16.042,202.125
2011-05-14,14.042,22.625,8.584,30.567,3.542,191.333,3.167,17.333,208.667
2011-05-15,12.153,16.528,4.375,23.025,3.472,191.826,2.375,13.565,205.391
2011-05-16,19.321,30.736,11.416,28.73,3.058,192.227,2.435,17.0,209.227
2011-05-17,17.216,24.343,7.128,26.033,2.917,188.583,2.167,13.75,202.333
2011-05-18,19.419,32.287,12.868,28.525,3.556,192.833,3.522,20.417,213.25
2011-05-19,16.584,26.722,10.139,31.638,4.236,191.458,3.25,15.5,206.958
2011-05-20,14.93,22.361,7.431,39.067,3.958,187.958,2.625,17.042,205.0
2011-05-21,11.681,18.694,7.014,28.375,3.764,184.792,2.292,11.667,196.458
2011-05-22,7.903,12.778,4.875,16.067,2.472,184.826,1.958,9.217,194.043
2011-05-23,17.516,24.539,7.023,11.027,2.028,192.208,2.792,11.708,203.917
2011-05-24,16.991,23.388,6.397,11.517,1.958,192.542,2.5,10.333,202.875
2011-05-25,18.099,29.447,11.348,16.442,3.444,194.917,1.304,20.583,215.5
2011-05-26,16.139,27.111,10.972,17.208,3.25,193.0,1.208,10.75,203.75
2011-05-27,17.236,23.806,6.569,13.008,2.111,190.75,1.083,8.458,199.208
2011-05-28,17.611,27.722,10.111,14.425,1.833,191.375,1.75,14.542,205.917
2011-05-29,14.667,23.333,8.666,10.392,1.667,192.0,1.375,15.609,207.609
2011-05-30,15.565,27.364,11.799,16.575,2.639,185.333,1.0,10.333,195.667
2011-05-31,17.852,27.066,9.214,16.808,2.93,189.583,1.042,12.167,201.75
2011-06-01,27.287,35.469,8.182,27.907,2.319,191.727,1.227,11.227,202.955
2011-06-02,23.097,42.944,19.847,22.696,1.806,191.583,2.708,16.708,208.292
2011-06-03,18.556,35.236,16.681,22.6,3.042,188.708,2.333,19.667,208.375
2011-06-04,13.611,24.681,11.069,34.067,3.361,187.292,2.125,13.75,201.042
2011-06-05,11.639,17.75,6.111,32.45,3.153,187.174,1.875,12.739,199.913
2011-06-06,16.608,28.575,11.967,27.167,4.111,189.292,1.833,16.083,205.375
2011-06-07,18.623,30.396,11.773,28.342,3.083,190.458,1.875,14.083,204.542
2011-06-08,19.594,26.531,6.938,16.398,2.861,188.75,1.696,13.0,201.75
2011-06-09,14.875,22.403,7.528,24.558,3.847,189.125,1.542,16.167,205.292
2011-06-10,15.278,22.611,7.334,27.058,3.347,186.292,1.208,17.083,203.375
2011-06-11,9.736,16.167,6.43,25.717,1.583,182.167,1.917,12.458,194.625
2011-06-12,11.25,15.972,4.722,30.217,2.417,191.478,2.792,16.522,208.0
2011-06-13,20.053,29.726,9.673,21.117,1.931,190.667,3.0,23.0,213.667
2011-06-14,20.247,30.688,10.44,33.817,2.861,193.708,3.0,18.0,211.708
2011-06-15,18.318,25.477,7.159,20.55,3.29,193.167,,11.417,204.583
2011-06-16,20.288,32.856,12.569,19.25,2.361,191.87,,11.522,203.391
2011-06-17,16.278,23.764,7.486,12.417,1.986,189.75,,10.75,200.5
2011-06-18,17.083,26.611,9.528,15.858,1.958,191.958,,15.458,207.417
2011-06-19,12.5,18.569,6.07,17.367,1.93,189.826,,20.435,210.261
2011-06-20,15.488,25.751,10.264,20.667,1.792,186.708,,24.5,211.208
2011-06-21,10.835,17.43,6.596,17.067,2.0,180.25,,16.5,196.75
2011-06-22,15.641,26.867,11.226,32.705,3.278,182.9,,28.55,211.45
2011-06-23,10.32,18.708,8.389,26.312,2.097,176.542,,11.583,188.125
2011-06-24,6.736,13.486,6.75,22.812,2.069,174.833,,19.542,194.375
2011-06-25,12.944,17.819,4.875,24.51,3.208,180.583,,15.917,196.5
2011-06-26,10.25,19.389,9.139,23.812,2.569,184.957,,19.261,204.217
2011-06-27,6.063,16.762,10.699,15.031,2.25,178.0,,15.708,193.708
2011-06-28,9.556,16.415,6.859,17.614,2.792,177.5,,12.667,190.167
2011-06-29,16.65,28.375,11.725,27.441,4.986,183.333,,17.667,201.0
2011-06-30,16.542,24.25,7.708,31.552,4.611,186.417,,30.25,216.667
2011-07-01,16.598,28.913,12.314,32.74,4.247,187.923,,19.308,207.231
2011-07-02,12.75,20.722,7.972,30.042,3.958,,,,
2011-07-03,10.069,16.347,6.278,32.208,4.208,,,,
2011-07-04,6.863,13.189,6.326,39.796,3.666,,,,
2011-07-05,15.347,19.563,4.216,25.0,3.444,187.429,,21.571,209.0
2011-07-06,15.334,23.349,8.015,28.188,4.82,193.208,,19.625,212.833
2011-07-07,10.972,19.236,8.264,17.594,2.528,182.167,,14.917,197.083
2011-07-08,7.912,14.728,6.816,20.67,2.847,177.652,,18.0,195.652
2011-07-09,8.302,14.438,6.136,21.292,3.375,177.375,,19.667,197.042
2011-07-10,5.938,12.865,6.927,17.146,3.681,180.167,,13.833,194.0
2011-07-11,6.847,15.713,8.866,13.698,4.0,180.25,,14.25,194.5
2011-07-12,5.965,17.536,11.571,16.093,4.014,184.417,,22.083,206.5
2011-07-13,6.43,15.861,9.431,13.812,3.986,181.292,,16.833,198.125
2011-07-14,7.156,15.646,8.49,15.094,4.444,181.542,,13.375,194.917
2011-07-15,8.816,17.926,9.111,16.656,4.812,181.455,,16.455,197.909
2011-07-16,8.281,16.104,7.823,21.479,5.125,181.87,,20.478,202.348
2011-07-17,5.208,11.052,5.844,16.927,4.472,180.25,,16.833,197.083
2011-07-18,7.81,18.743,10.933,22.364,3.986,180.417,,17.083,197.5
2011-07-19,8.619,22.239,13.62,16.104,2.175,180.167,2.667,12.5,192.667
2011-07-20,7.61,16.507,8.896,11.334,1.639,177.875,2.174,9.125,187.0
2011-07-21,6.844,10.01,3.166,12.323,2.815,183.167,1.958,6.708,189.875
2011-07-22,13.208,18.427,5.219,16.298,4.194,187.913,2.417,12.609,200.522
2011-07-23,13.146,18.531,5.385,22.062,4.306,189.917,3.0,18.667,208.583
2011-07-24,10.5,14.312,3.812,31.528,4.042,189.333,3.208,21.167,210.5
2011-07-25,10.754,18.164,7.409,22.386,3.361,184.417,2.792,22.167,206.583
2011-07-26,13.498,20.82,7.322,19.75,2.75,184.667,3.0,25.25,209.917
2011-07-27,12.574,20.666,8.093,16.719,2.778,180.875,1.957,23.417,204.292
2011-07-28,14.271,27.937,13.667,23.729,2.819,182.875,2.417,25.542,208.417
2011-07-29,16.104,28.469,12.364,28.031,3.791,189.13,4.292,34.304,223.435
2011-07-30,14.792,23.229,8.437,26.375,3.069,189.917,3.417,20.458,210.375
2011-07-31,9.698,16.125,6.427,15.206,2.611,189.042,2.208,15.458,204.5
2011-08-01,14.671,22.58,7.908,25.949,3.536,189.682,3.217,15.045,204.727
2011-08-02,14.499,27.08,12.581,24.468,3.25,191.0,2.958,17.042,208.042
2011-08-03,9.886,19.827,9.94,17.76,3.736,185.958,2.565,15.375,201.333
2011-08-04,9.479,20.781,11.302,13.969,3.486,182.333,1.542,12.375,194.708
2011-08-05,10.24,22.927,12.687,14.5,3.222,179.13,1.917,15.087,194.217
2011-08-06,8.031,15.292,7.26,16.448,3.32,177.833,1.458,23.875,201.708
2011-08-07,8.958,17.75,8.792,20.125,3.278,180.792,2.208,19.5,200.292
2011-08-08,10.994,21.0,10.006,23.041,3.472,181.458,2.458,18.667,200.125
2011-08-09,9.181,18.32,9.138,20.271,3.75,179.208,1.917,21.583,200.792
2011-08-10,9.774,15.808,6.034,28.004,4.583,178.208,1.217,23.625,201.833
2011-08-11,11.625,15.229,3.604,37.219,4.736,179.5,1.125,24.375,203.875
2011-08-12,11.635,16.104,4.469,39.125,4.847,184.652,1.417,22.739,207.391
2011-08-13,9.698,13.01,3.312,40.969,4.32,185.875,1.792,24.5,210.375
2011-08-14,6.146,9.792,3.646,37.24,4.597,183.583,1.375,23.5,207.083
2011-08-15,5.809,8.865,3.056,25.979,4.639,179.583,1.125,21.167,200.75
2011-08-16,8.581,12.46,3.879,31.177,4.431,185.762,1.708,24.714,210.476
2011-08-17,9.492,13.692,4.201,33.036,4.246,185.15,,20.0,205.15
2011-08-18,8.983,14.986,6.003,35.625,3.833,178.0,,13.667,191.667
2011-08-19,11.916,17.938,6.021,24.677,3.055,184.826,,17.043,201.87
2011-08-20,13.052,18.271,5.219,10.594,2.528,190.917,,12.208,203.125
2011-08-21,10.5,15.906,5.406,9.792,1.972,193.458,,14.792,208.25
2011-08-22,16.788,25.781,8.992,10.51,1.972,194.125,,18.292,212.417
2011-08-23,12.442,24.008,11.565,25.021,2.972,190.292,,33.167,223.458
2011-08-24,8.024,20.897,12.873,15.396,2.361,182.0,,16.5,198.5
2011-08-25,10.938,28.177,17.24,10.479,2.028,186.458,,28.958,215.417
2011-08-26,8.656,21.885,13.229,14.302,2.667,183.696,,25.043,208.739
2011-08-27,9.917,17.26,7.344,13.292,2.236,186.5,,13.042,199.542
2011-08-28,9.927,15.198,5.271,22.302,3.097,191.292,,18.75,210.042
2011-08-29,12.914,19.809,6.895,22.552,4.014,189.333,,16.0,205.333
2011-08-30,12.97,19.486,6.517,14.698,4.264,186.208,,15.542,201.75
2011-08-31,6.641,14.417,7.776,13.783,3.194,179.167,3.0,9.208,188.375
2011-09-01,15.877,28.426,12.549,14.517,2.29,175.81,2.739,7.857,183.667
2011-09-02,3.14,7.862,4.722,18.269,2.028,176.458,1.565,5.833,182.292
2011-09-03,5.208,13.347,8.139,18.883,1.889,178.042,2.167,11.292,189.333
2011-09-04,5.875,12.764,6.889,13.158,2.695,178.667,1.75,16.208,194.875
2011-09-05,14.416,33.884,19.469,12.575,2.236,184.208,3.167,24.292,208.5
2011-09-06,13.111,25.069,11.958,14.981,3.167,186.042,3.125,20.417,206.458
2011-09-07,13.419,23.46,10.041,20.008,3.583,192.917,3.583,26.5,219.417
2011-09-08,13.222,21.597,8.375,19.478,3.917,193.043,3.333,20.348,213.391
2011-09-09,11.667,20.722,9.056,20.267,3.403,187.583,3.522,20.25,207.833
2011-09-10,8.333,19.806,11.472,19.25,3.653,186.958,4.0,19.375,206.333
2011-09-11,5.361,13.667,8.305,12.492,3.556,184.125,3.167,13.833,197.958
2011-09-12,8.509,22.324,13.816,15.092,3.972,184.125,3.875,32.75,216.875
2011-09-13,7.694,19.917,12.222,17.333,4.194,183.208,3.542,19.125,202.333
2011-09-14,9.11,20.149,11.039,17.995,4.153,183.435,3.609,33.13,216.565
2011-09-15,8.87,21.5,12.63,24.417,5.916,183.174,3.125,28.391,211.565
2011-09-16,8.07,23.75,15.68,20.95,4.75,184.458,3.478,17.833,202.292
2011-09-17,7.028,22.623,15.594,15.242,2.681,183.609,3.913,19.913,203.522
2011-09-18,4.472,12.5,8.028,13.175,3.445,183.375,2.917,19.542,202.917
2011-09-19,6.379,15.876,9.497,16.9,3.403,183.87,2.958,17.391,201.261
2011-09-20,10.694,24.07,13.375,12.325,2.57,182.739,4.042,24.348,207.087
2011-09-21,9.148,18.077,8.928,10.839,1.674,182.417,2.708,15.958,198.375
2011-09-22,10.889,16.542,5.653,10.833,2.916,186.783,2.833,21.217,208.0
2011-09-23,11.958,19.889,7.931,8.967,2.764,193.167,3.565,33.125,226.292
2011-09-24,12.375,20.597,8.222,11.858,3.236,197.0,3.875,19.958,216.958
2011-09-25,11.792,17.069,5.278,12.45,3.25,199.0,3.917,18.458,217.458
2011-09-26,19.348,31.096,11.747,14.458,2.444,198.958,4.958,23.625,222.583
2011-09-27,17.083,28.32,11.236,12.091,2.834,196.625,3.917,19.792,216.417
2011-09-28,16.832,24.493,7.661,15.167,3.542,196.333,3.792,21.583,217.917
2011-09-29,15.469,24.406,8.938,20.623,3.5,191.0,4.208,52.739,243.739
2011-09-30,12.903,17.666,4.764,32.637,3.583,184.667,1.087,19.333,204.0
2011-10-01,13.042,19.292,6.25,11.942,3.681,190.25,1.417,16.667,206.917
2011-10-02,16.948,21.15,4.202,13.867,3.764,190.917,1.25,18.25,209.167
2011-10-03,18.122,25.289,7.167,10.182,2.884,190.565,1.174,14.652,205.217
2011-10-04,22.305,29.944,7.639,12.671,3.208,192.875,1.083,19.958,212.833
2011-10-05,24.964,35.745,10.781,10.25,2.25,192.208,2.083,21.333,213.542
2011-10-06,18.866,30.998,12.132,10.242,2.208,190.87,1.458,19.522,210.391
2011-10-07,17.188,25.839,8.651,21.95,3.153,191.333,3.957,21.917,213.25
2011-10-08,16.123,22.623,6.5,21.9,3.014,193.542,3.958,17.375,210.917
2011-10-09,9.834,12.906,3.073,21.413,2.82,193.0,3.75,13.583,206.583
2011-10-10,12.475,18.146,5.67,28.608,2.903,192.792,3.917,25.833,218.625
2011-10-11,19.382,28.493,9.111,33.971,3.014,193.292,4.417,28.875,222.167
2011-10-12,18.396,27.912,9.516,41.575,3.167,194.625,4.958,21.292,215.917
2011-10-13,20.774,28.941,8.167,44.732,3.055,193.478,4.708,27.043,220.522
2011-10-14,21.81,33.052,11.242,40.475,3.111,192.375,5.174,23.083,215.458
2011-10-15,8.804,12.975,4.171,15.65,2.042,180.958,2.958,23.292,204.25
2011-10-16,7.978,10.98,3.002,14.425,2.899,183.261,3.217,27.652,210.913
2011-10-17,18.932,24.224,5.292,26.477,3.464,190.792,4.0,18.958,209.75
2011-10-18,23.396,36.344,12.948,19.825,3.25,193.75,4.792,25.292,219.042
2011-10-19,21.444,30.028,8.584,14.717,2.806,194.625,3.875,19.25,213.875
2011-10-20,14.646,22.062,7.417,11.025,2.833,188.826,3.167,13.522,202.348
2011-10-21,19.713,29.375,9.662,11.75,2.542,188.708,5.087,24.625,213.333
2011-10-22,17.823,28.052,10.229,9.708,1.903,186.583,5.333,32.125,218.708
2011-10-23,10.729,19.271,8.542,11.805,2.5,182.625,3.917,20.333,202.958
2011-10-24,14.276,26.462,12.186,19.45,3.292,185.583,4.958,31.667,217.25
2011-10-25,16.935,25.029,8.094,18.0,3.611,186.083,4.917,19.958,206.042
2011-10-26,17.628,28.895,11.266,10.492,3.236,190.375,4.875,15.042,205.417
2011-10-27,20.222,32.778,12.556,16.032,3.069,194.522,5.542,19.304,213.826
2011-10-28,18.875,32.667,13.792,17.302,3.111,191.958,5.391,18.25,210.208
2011-10-29,22.444,32.986,10.541,21.515,3.458,193.583,5.583,22.042,215.625
2011-10-30,14.639,20.486,5.847,21.375,2.681,189.792,5.167,16.375,206.167
2011-10-31,24.829,37.777,12.948,19.166,3.125,191.042,5.583,21.625,212.667
2011-11-01,30.913,44.438,13.524,15.425,3.301,194.955,5.682,22.864,217.818
2011-11-02,23.958,36.762,12.803,18.685,3.021,192.792,5.875,24.75,217.542
2011-11-03,21.614,35.312,13.698,23.929,2.93,193.0,6.25,27.652,220.652
2011-11-04,23.444,39.696,16.252,28.17,3.514,193.292,4.826,27.875,221.167
2011-11-05,20.542,32.031,11.49,27.763,3.264,190.917,4.333,30.167,221.083
2011-11-06,14.573,23.229,8.657,16.233,2.222,186.375,3.75,25.833,212.208
2011-11-07,19.495,31.742,12.248,21.872,3.292,188.333,4.125,18.75,207.083
2011-11-08,25.608,33.628,8.021,11.81,2.806,189.875,3.5,18.25,208.125
2011-11-09,28.684,34.763,6.079,11.017,2.792,189.542,2.458,17.292,206.833
2011-11-10,36.468,48.354,11.886,17.008,2.833,193.13,3.542,22.478,215.609
2011-11-11,22.992,30.761,7.769,10.569,1.695,192.0,4.478,20.75,212.75
2011-11-12,16.812,27.25,10.438,10.358,2.514,190.217,4.5,21.696,211.913
2011-11-13,13.312,22.521,9.208,14.427,2.639,191.292,4.958,23.125,214.417
2011-11-14,19.277,32.932,13.655,22.172,2.722,192.542,5.042,28.333,220.875
2011-11-15,26.456,35.68,9.224,23.392,2.536,193.87,4.783,18.565,212.435
2011-11-16,23.608,41.196,17.588,13.273,2.431,197.125,5.417,23.167,220.292
2011-11-17,25.594,40.74,15.146,16.782,2.903,194.478,5.208,35.826,230.304
2011-11-18,29.506,45.885,16.38,22.398,3.0,195.208,6.957,30.292,225.5
2011-11-19,15.114,20.534,5.42,15.55,1.695,186.042,4.333,18.292,204.333
2011-11-20,7.354,10.896,3.542,11.7,2.75,184.375,4.208,15.75,200.125
2011-11-21,18.057,27.692,9.635,7.565,2.403,191.333,4.875,15.5,206.833
2011-11-22,24.479,42.125,17.646,10.073,2.25,196.958,6.625,25.5,222.458
