date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean,HUM_max,HUM_mean,HUM_min,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-21,13.698,17.74,4.042,10.51,,0.194,95.0,87.375,78.0,17.0,2.1,1.4,0.8,189.625,8.604,198.229,3.516
2011-01-22,14.786,23.437,8.651,9.714,,0.167,96.0,92.333,84.0,8.0,5.4,2.946,1.4,192.519,13.635,206.154,4.722
2011-01-23,28.731,84.974,56.243,19.245,,0.333,96.0,88.625,63.0,19.0,7.1,2.629,-1.0,206.562,31.854,238.416,8.208
2011-01-24,27.11,43.839,16.728,10.995,,0.577,95.0,70.5,43.0,11.0,4.2,0.717,-2.8,195.558,14.91,210.468,5.5
2011-01-25,36.145,80.166,44.021,24.896,,1.293,90.0,64.125,30.0,0.0,6.6,1.792,-2.8,200.062,30.396,230.458,7.43
2011-01-26,24.442,35.998,11.556,12.686,,0.78,91.0,54.083,27.0,0.0,4.5,0.642,-2.8,194.646,13.834,208.479,5.093
2011-01-27,30.886,66.938,36.052,16.724,,1.111,78.0,58.75,34.0,0.0,5.4,0.567,-4.5,203.014,26.074,229.09,6.757
2011-01-28,23.125,38.557,15.432,17.406,,1.209,80.0,50.542,27.0,0.0,4.5,0.158,-3.7,198.042,19.125,217.167,5.57
2011-01-29,6.604,8.365,1.76,6.156,,1.0,45.0,37.083,24.0,0.0,4.7,1.008,-1.1,190.875,6.375,197.25,3.306
2011-01-30,26.338,51.776,25.437,10.606,,1.0,61.0,39.958,24.0,0.0,4.6,0.821,-3.9,202.11,19.956,222.067,6.444
2011-01-31,34.406,70.036,35.63,15.44,,1.583,70.0,48.125,28.0,0.0,6.5,1.488,-4.4,199.521,24.625,224.146,6.986
2011-02-01,24.031,46.604,22.573,14.912,,2.194,70.0,46.958,30.0,0.0,10.7,3.562,-3.2,200.958,18.104,219.062,5.993
2011-02-02,12.847,18.479,5.631,6.906,,1.169,49.0,31.167,15.0,0.0,3.8,0.708,-2.1,191.25,6.166,197.417,3.909
2011-02-03,35.375,84.354,48.979,17.339,,2.125,68.0,41.25,16.0,0.0,5.5,0.538,-4.8,203.903,25.538,229.441,9.167
2011-02-04,36.573,83.562,46.99,20.531,,2.403,74.0,43.583,22.0,0.0,8.7,3.108,-4.0,205.604,30.521,236.125,8.875
2011-02-05,17.198,21.323,4.125,18.057,,1.972,79.0,52.167,33.0,0.0,7.3,3.754,-1.2,195.413,12.525,207.938,5.764
2011-02-06,38.693,67.013,28.32,48.83,,1.181,94.0,84.542,72.0,5.0,3.5,2.188,-0.2,197.824,25.973,223.796,7.083
2011-02-07,32.829,57.94,25.111,43.351,,0.826,96.0,94.458,92.0,34.0,7.3,5.329,3.0,195.438,25.625,221.062,7.156
2011-02-08,19.207,30.369,11.162,9.247,,0.79,92.0,51.792,33.0,0.0,6.9,4.933,1.2,190.228,12.574,202.801,4.735
2011-02-09,22.982,35.551,12.569,8.167,,0.803,59.0,36.75,16.0,0.0,7.1,2.6,-2.1,191.65,10.532,202.182,4.805
2011-02-10,32.292,60.583,28.292,17.229,,1.597,81.0,53.917,24.0,0.0,7.9,3.112,-1.5,196.438,19.208,215.646,6.486
2011-02-11,18.13,25.312,7.182,13.766,,0.93,88.0,50.583,26.0,0.0,7.1,3.375,-2.1,194.133,10.117,204.25,4.833
2011-02-12,13.656,16.464,2.807,10.427,,0.764,62.0,38.667,25.0,0.0,7.5,2.908,-2.1,193.0,7.125,200.125,4.097
2011-02-13,25.646,35.76,10.115,19.017,,1.708,63.0,48.958,31.0,0.0,7.5,3.679,-0.7,195.0,12.5,207.5,5.484
2011-02-14,36.443,58.042,21.599,45.295,,1.222,94.0,79.542,50.0,6.0,4.5,3.096,2.0,195.792,23.021,218.812,5.992
2011-02-15,33.281,60.49,27.208,41.986,,1.083,93.0,70.583,40.0,0.0,8.9,5.246,3.0,195.36,25.306,220.666,6.68
2011-02-16,20.651,28.271,7.62,17.989,,0.903,90.0,62.0,43.0,0.0,3.3,1.296,-0.4,192.334,8.667,201.0,4.625
2011-02-17,22.604,35.327,12.723,24.8,,0.93,92.0,74.625,38.0,4.0,6.5,1.825,-1.3,191.881,11.568,203.45,4.861
2011-02-18,11.547,15.083,3.536,10.469,,0.694,91.0,50.542,20.0,4.0,4.4,0.354,-3.3,191.375,4.771,196.146,3.597
2011-02-19,21.24,27.463,6.224,15.427,,1.028,68.0,44.125,20.0,0.0,5.4,0.946,-4.3,197.75,10.0,207.75,4.996
2011-02-20,34.256,54.035,19.779,19.136,,1.736,70.0,45.708,15.0,0.0,8.4,3.275,-3.1,201.324,18.66,219.984,6.179
2011-02-21,42.8,71.634,28.834,26.43,,3.129,75.0,43.583,17.0,0.0,10.6,5.829,-1.3,198.625,22.789,221.414,6.528
2011-02-22,19.359,25.135,5.777,24.76,,2.495,70.0,57.25,49.0,0.0,8.4,5.75,2.0,192.062,9.666,201.729,4.653
2011-02-23,34.871,62.662,27.791,45.026,,1.433,96.0,88.0,55.0,25.0,8.5,5.171,3.0,200.362,25.34,225.702,6.069
2011-02-24,17.13,20.885,3.755,27.771,,2.931,61.0,43.625,23.0,0.0,13.1,9.642,7.1,192.458,9.729,202.188,5.069
2011-02-25,15.745,20.188,4.443,19.422,,0.639,95.0,87.708,71.0,22.0,7.5,3.712,1.7,191.042,8.938,199.979,4.569
2011-02-26,8.182,10.557,2.375,9.38,,0.583,73.0,51.917,35.0,0.0,8.0,4.429,2.3,189.834,6.021,195.854,4.022
2011-02-27,10.604,14.818,4.214,9.719,,0.681,42.0,30.625,21.0,0.0,6.9,3.212,-0.5,190.684,5.32,196.004,3.555
2011-02-28,12.266,17.614,5.349,10.333,,0.861,60.0,45.083,28.0,0.0,4.8,2.075,-1.8,193.08,6.837,199.916,4.042
2011-03-01,26.849,39.458,12.61,25.068,,0.625,93.0,81.083,61.0,5.0,10.7,6.383,0.6,192.75,16.916,209.666,5.333
2011-03-02,21.604,28.823,7.219,22.318,,0.764,95.0,88.0,75.0,17.0,7.3,5.188,2.0,189.5,11.229,200.729,4.315
2011-03-03,10.792,14.073,3.281,16.005,,0.778,95.0,69.958,47.0,0.0,9.3,5.329,1.4,189.958,6.812,196.771,4.395
2011-03-04,7.635,9.703,2.068,16.963,,0.778,84.0,66.0,59.0,1.0,5.3,3.796,2.3,191.18,4.377,195.556,3.972
2011-03-05,30.018,48.322,18.305,18.663,,0.194,96.0,94.708,89.0,37.0,6.7,3.521,0.9,195.87,18.203,214.074,5.732
2011-03-06,30.73,64.786,34.056,31.545,,1.08,96.0,91.167,77.0,4.0,13.4,9.358,6.5,202.136,27.604,229.74,7.295
2011-03-07,17.918,24.835,6.917,34.333,,1.034,95.0,72.917,53.0,0.0,14.0,10.775,8.9,190.516,12.027,202.542,5.542
2011-03-08,12.334,16.47,4.136,19.902,,0.911,83.0,71.5,57.0,0.0,8.7,7.446,5.7,189.771,6.646,196.416,4.667
2011-03-09,20.557,28.886,8.328,24.266,,0.306,95.0,93.5,85.0,30.0,6.9,5.492,3.2,191.375,10.416,201.792,4.848
2011-03-10,12.609,15.734,3.125,7.724,,0.014,95.0,88.542,75.0,20.0,5.6,3.262,0.7,191.973,6.423,198.396,4.5
2011-03-11,13.891,17.203,3.312,15.672,,0.93,93.0,74.375,49.0,0.0,10.4,5.479,0.6,193.625,8.458,202.084,4.77
2011-03-12,15.172,21.193,6.021,8.146,,0.764,89.0,45.167,15.0,0.0,11.9,5.617,0.8,190.829,5.988,196.817,4.188
2011-03-13,13.438,17.133,3.695,7.323,,0.597,70.0,38.875,16.0,0.0,9.6,5.004,0.8,191.958,5.75,197.708,3.758
2011-03-14,21.44,26.554,5.113,13.78,,1.194,76.0,53.25,27.0,0.0,10.1,5.475,-0.1,195.562,9.708,205.271,5.625
2011-03-15,25.677,44.742,19.064,23.563,,1.072,90.0,48.708,19.0,0.0,12.5,5.792,0.6,196.875,14.479,211.354,5.652
2011-03-16,21.896,29.464,7.568,20.537,,1.247,62.0,41.5,26.0,0.0,9.7,4.257,-0.5,194.16,8.784,202.945,5.5
2011-03-17,39.2,55.017,15.817,39.283,,1.208,,,,,,,,196.229,20.729,216.958,7.5
2011-03-18,26.283,42.667,16.383,45.667,,1.625,,,,,,,,198.411,20.461,218.872,7.958
2011-03-19,18.942,27.491,8.549,12.609,,0.625,,,,,,,,192.908,10.62,203.526,4.389
2011-03-20,20.262,24.339,4.077,19.47,,1.792,,,,,,,,192.042,10.166,202.208,4.875
2011-03-21,14.206,17.898,3.692,12.718,,0.903,46.0,25.786,17.0,0.0,9.9,6.707,2.4,189.742,14.741,204.484,3.86
2011-03-22,55.191,100.999,45.807,38.661,,2.633,70.0,46.542,28.0,0.0,11.6,6.483,-0.7,206.166,41.61,247.777,8.208
2011-03-23,40.207,61.699,21.492,45.903,,1.191,95.0,77.125,47.0,16.0,9.2,6.492,4.7,195.672,28.973,224.646,6.958
2011-03-24,26.63,39.406,12.776,18.479,,0.472,96.0,92.25,81.0,5.0,6.6,4.712,3.0,194.848,22.326,217.173,7.0
2011-03-25,18.912,32.01,13.099,12.76,,0.778,93.0,53.25,26.0,0.0,12.4,6.096,0.0,201.666,23.542,225.208,6.23
2011-03-26,24.065,35.72,11.656,14.097,,0.819,74.0,42.625,17.0,0.0,11.1,5.458,-0.4,197.88,15.522,213.402,5.271
2011-03-27,26.782,36.222,9.44,17.325,,1.583,74.0,47.833,15.0,0.0,12.5,7.392,0.2,198.303,17.038,215.341,4.711
2011-03-28,31.588,46.26,14.672,32.338,,2.167,83.0,50.625,23.0,0.0,16.2,9.079,2.6,198.654,21.1,219.754,5.958
2011-03-29,15.828,20.104,4.276,16.031,,1.472,65.0,39.958,14.0,0.0,15.6,10.067,4.2,193.083,7.979,201.062,3.77
2011-03-30,17.052,20.62,3.568,19.708,,1.889,66.0,56.958,41.0,0.0,17.6,13.571,10.3,191.954,9.236,201.19,3.854
2011-03-31,8.844,11.099,2.255,19.51,,0.931,91.0,65.292,40.0,10.0,18.7,12.396,6.3,185.438,6.396,191.834,3.021
2011-04-01,22.839,30.11,7.271,20.266,,2.097,73.0,51.542,21.0,0.0,15.0,9.817,2.6,,,,4.361
2011-04-02,29.234,37.812,8.578,34.573,,3.153,80.0,52.542,29.0,0.0,18.0,12.112,6.5,,,,6.18
2011-04-03,10.604,12.427,1.823,15.662,,0.958,77.0,48.125,30.0,0.0,8.4,6.662,4.4,,,,4.094
2011-04-04,14.814,18.117,3.304,15.701,,0.917,75.0,45.625,18.0,0.0,12.9,7.7,4.2,,,,3.847
2011-04-05,22.257,27.636,5.378,16.846,,2.275,66.0,40.167,15.0,0.0,14.4,8.821,0.7,,,,4.383
2011-04-06,32.659,47.153,14.494,27.126,,2.942,81.0,49.958,15.0,0.0,18.3,12.312,4.4,,,,5.319
2011-04-07,25.236,34.181,8.945,26.048,,2.669,79.0,59.583,42.0,0.0,18.1,14.342,9.9,,,,4.083
2011-04-08,12.865,15.036,2.172,18.724,,1.217,76.0,62.417,44.0,0.0,18.2,15.729,13.9,,,,3.097
2011-04-09,13.797,16.411,2.614,23.521,,1.0,90.0,83.958,66.0,0.0,16.1,14.604,10.7,,,,3.554
2011-04-10,8.407,10.16,1.753,19.27,,0.847,88.0,63.125,34.0,0.0,16.8,12.646,8.6,,,,4.684
2011-04-11,22.099,32.078,9.979,30.943,,1.597,90.0,67.667,31.0,9.0,19.4,12.608,6.5,,,,5.215
2011-04-12,10.245,12.625,2.38,15.438,,0.444,87.0,38.333,12.0,1.0,15.2,10.092,5.7,,,,3.695
2011-04-13,27.781,35.219,7.438,27.401,,2.125,72.0,51.0,29.0,0.0,17.9,12.571,4.8,,,,4.875
2011-04-14,28.74,36.068,7.328,38.104,,2.889,79.0,51.833,15.0,0.0,21.8,15.075,7.5,,,,5.875
2011-04-15,19.938,25.234,5.297,36.807,,3.403,87.0,63.625,40.0,0.0,21.6,17.062,13.8,,,,3.873
2011-04-16,14.484,18.594,4.109,25.948,,1.472,90.0,62.042,34.0,0.0,22.7,17.446,12.0,,,,4.033
2011-04-17,8.599,10.792,2.193,17.916,,0.903,70.0,44.208,22.0,0.0,16.8,12.688,8.1,,,,4.131
2011-04-18,11.878,15.814,3.936,18.443,,0.694,77.0,61.167,42.0,0.0,16.6,13.462,10.1,188.091,20.364,208.455,3.931
2011-04-19,14.23,19.296,5.065,15.0,,0.282,96.0,79.5,52.0,24.0,17.0,10.158,5.1,188.25,15.208,203.458,3.917
2011-04-20,14.395,20.346,5.951,9.68,,0.499,89.0,63.083,41.0,0.0,15.4,9.604,3.3,191.68,12.556,204.236,4.375
2011-04-21,14.766,20.114,5.348,15.978,,0.938,81.0,72.0,57.0,0.0,14.8,11.017,7.5,190.824,12.48,203.304,4.357
2011-04-22,21.588,27.849,6.26,27.771,,1.903,89.0,71.917,55.0,0.0,17.4,14.362,9.9,189.271,15.166,204.438,4.37
2011-04-23,11.745,14.562,2.818,20.698,,1.153,95.0,89.708,77.0,39.0,17.7,15.233,13.8,183.042,8.0,191.042,3.448
2011-04-24,8.078,10.26,2.182,13.755,,1.167,93.0,59.042,29.0,0.0,19.1,15.167,9.8,185.688,9.0,194.688,3.903
2011-04-25,20.417,25.885,5.469,19.702,,1.333,94.0,59.625,26.0,1.0,19.1,13.538,7.8,190.297,15.508,205.805,5.125
2011-04-26,26.589,36.717,10.129,23.437,,1.931,84.0,55.5,32.0,0.0,19.4,14.729,7.7,190.438,19.562,210.0,5.25
2011-04-27,10.703,13.562,2.859,46.227,,1.833,94.0,73.583,56.0,4.0,22.5,18.962,15.6,185.522,8.984,194.508,3.776
2011-04-28,14.229,17.99,3.76,23.214,,1.625,95.0,63.125,33.0,2.0,23.2,18.167,12.8,186.75,12.492,199.244,4.282
2011-04-29,10.74,13.656,2.917,13.969,,1.291,82.0,56.875,41.0,0.0,17.6,13.929,9.5,190.208,11.458,201.666,4.486
2011-04-30,15.927,20.073,4.146,26.458,,1.819,94.0,68.458,47.0,0.0,19.8,15.767,9.3,192.562,13.458,206.02,4.625
2011-05-01,10.136,12.25,2.115,23.505,,1.264,95.0,75.875,54.0,3.0,20.3,17.142,14.7,190.375,10.0,200.375,3.486
2011-05-02,21.791,26.471,4.68,67.239,,1.727,95.0,52.125,22.0,1.0,23.9,18.558,12.6,192.229,15.688,207.916,5.025
2011-05-03,11.587,14.427,2.839,42.188,,0.678,96.0,73.625,55.0,17.0,17.5,14.321,11.9,191.949,14.648,206.597,4.485
2011-05-04,9.74,11.703,1.964,21.74,,1.056,96.0,69.417,43.0,0.0,21.3,16.371,11.6,186.72,9.964,196.684,3.651
2011-05-05,6.453,8.349,1.896,19.042,,0.82,87.0,68.167,55.0,0.0,16.0,13.992,12.0,189.542,8.521,198.062,3.69
2011-05-06,12.466,16.428,3.961,19.596,,0.618,88.0,74.292,55.0,0.0,18.2,14.362,11.1,189.604,11.27,200.875,4.379
2011-05-07,18.948,25.802,6.854,24.734,,0.75,93.0,87.042,79.0,0.0,17.3,15.571,13.7,193.375,18.688,212.062,4.819
2011-05-08,19.37,23.552,4.182,36.396,,2.417,96.0,62.792,28.0,0.0,24.6,19.562,13.4,194.568,18.722,213.29,5.416
2011-05-09,23.906,31.234,7.328,27.734,,2.347,80.0,53.083,27.0,0.0,22.9,18.442,12.9,190.623,14.077,204.7,4.881
2011-05-10,27.078,36.063,8.984,43.345,,2.291,90.0,73.208,48.0,4.0,26.1,21.05,15.6,188.762,20.302,209.063,5.174
2011-05-11,17.609,22.318,4.708,17.588,,0.583,96.0,92.042,86.0,43.0,15.6,13.4,12.3,188.708,12.0,200.708,4.708
2011-05-12,16.214,20.703,4.49,16.755,,0.236,97.0,95.792,92.0,22.0,15.7,14.171,12.5,189.042,12.917,201.958,4.458
2011-05-13,22.151,32.104,9.953,30.776,,1.167,98.0,83.667,65.0,1.0,23.1,18.408,14.4,190.896,16.834,207.729,5.07
2011-05-14,19.151,23.885,4.734,52.094,,2.236,86.0,57.042,31.0,0.0,22.8,18.525,13.6,188.438,13.666,202.104,5.028
2011-05-15,13.734,16.766,3.031,21.927,,2.347,68.0,36.708,12.0,0.0,24.6,19.4,13.1,189.136,9.57,198.708,3.697
2011-05-16,16.481,19.681,3.2,32.541,,3.055,78.0,60.708,30.0,0.0,22.4,19.267,16.6,186.273,9.704,195.978,3.717
2011-05-17,24.756,30.065,5.309,33.536,,1.961,91.0,74.708,59.0,11.0,20.3,16.962,13.8,189.166,15.5,204.667,4.583
2011-05-18,25.991,35.086,9.094,45.672,,2.439,94.0,69.042,36.0,0.0,22.8,18.225,13.2,195.057,20.854,215.911,5.764
2011-05-19,27.824,36.411,8.588,43.471,,2.853,88.0,63.167,32.0,0.0,24.6,19.683,14.0,197.916,16.896,214.812,4.722
2011-05-20,21.901,27.031,5.13,42.016,,3.0,80.0,66.208,46.0,0.0,24.5,20.629,17.2,189.334,12.354,201.688,3.944
2011-05-21,15.49,19.578,4.088,33.052,,1.764,88.0,72.583,50.0,0.0,25.5,21.175,17.8,184.541,10.424,194.964,3.283
2011-05-22,8.052,11.386,3.333,21.193,,0.722,94.0,81.667,58.0,14.0,25.7,18.762,13.4,182.996,7.516,190.512,2.99
2011-05-23,9.817,13.642,3.825,13.979,,0.056,94.0,78.833,58.0,10.0,16.9,14.067,11.3,188.458,8.916,197.375,3.431
2011-05-24,17.239,22.116,4.878,14.214,,0.143,97.0,86.5,64.0,22.0,16.6,12.638,10.5,190.958,12.688,203.646,4.181
2011-05-25,24.793,37.337,12.544,21.12,,1.838,95.0,63.958,30.0,0.0,22.7,17.425,10.5,199.104,19.771,218.875,5.028
2011-05-26,15.038,19.932,4.894,22.923,,0.852,90.0,74.75,57.0,0.0,20.7,17.7,14.5,191.916,13.166,205.083,4.208
2011-05-27,19.292,25.136,5.844,22.0,,0.931,94.0,79.0,57.0,2.0,20.1,17.55,15.7,191.516,13.801,205.316,4.355
2011-05-28,12.589,17.172,4.583,13.719,,0.194,97.0,95.417,93.0,25.0,18.9,17.625,16.0,188.815,12.671,201.486,4.317
2011-05-29,6.271,9.286,3.016,7.198,,0.0,98.0,97.0,96.0,67.0,17.5,16.567,14.9,185.896,8.0,193.896,3.375
2011-05-30,6.51,9.578,3.068,7.005,,0.028,97.0,80.417,63.0,5.0,20.2,16.025,14.3,181.104,6.0,187.104,2.972
2011-05-31,5.453,9.167,3.714,17.034,,0.028,71.0,62.083,53.0,0.0,17.0,13.892,11.0,183.958,6.36,190.318,2.986
2011-06-01,11.229,16.328,5.099,32.417,,0.681,75.0,63.542,51.0,0.0,17.3,14.312,10.8,187.834,8.958,196.792,3.708
2011-06-02,25.542,42.198,16.656,37.708,,0.639,96.0,90.125,76.0,17.0,16.1,14.629,13.5,194.678,21.568,216.246,5.391
2011-06-03,27.427,35.818,8.391,35.781,,1.944,98.0,76.792,55.0,0.0,23.0,18.908,14.1,189.786,20.763,210.548,5.411
2011-06-04,18.484,24.01,5.526,39.182,,2.278,94.0,75.75,54.0,0.0,24.9,21.067,17.6,185.77,11.042,196.812,3.944
2011-06-05,16.057,19.969,3.912,40.453,,1.764,92.0,77.583,59.0,5.0,24.3,20.9,17.4,190.208,14.0,204.208,4.111
2011-06-06,17.757,21.997,4.24,40.146,,1.666,96.0,66.875,35.0,0.0,27.7,22.038,16.1,186.888,13.02,199.908,4.57
2011-06-07,21.028,25.948,4.92,41.495,,4.725,86.0,72.208,59.0,0.0,23.4,20.642,18.9,186.396,13.334,199.73,4.931
2011-06-08,14.583,18.498,3.916,17.446,,0.489,93.0,82.958,67.0,1.0,22.5,18.612,16.6,187.144,12.68,199.824,3.969
2011-06-09,18.048,23.223,5.175,23.551,,2.285,94.0,70.542,48.0,0.0,24.5,20.712,15.6,187.979,13.584,201.562,4.371
2011-06-10,19.104,24.453,5.349,21.714,,2.167,89.0,80.25,64.0,0.0,25.7,22.0,19.8,183.309,10.378,193.687,3.347
2011-06-11,16.927,21.531,4.604,36.518,,0.875,97.0,87.375,73.0,41.0,23.3,20.875,19.5,187.604,14.334,201.938,4.57
2011-06-12,14.526,17.401,2.875,38.297,,1.611,90.0,74.708,50.0,0.0,25.2,21.767,18.6,197.104,15.792,212.896,5.417
2011-06-13,20.349,25.516,5.167,27.781,,1.528,97.0,85.917,75.0,33.0,22.4,19.762,17.1,190.75,16.23,206.979,5.097
2011-06-14,20.495,26.021,5.526,26.365,,1.694,93.0,77.5,65.0,0.0,23.2,20.442,17.8,192.128,17.142,209.27,5.058
2011-06-15,16.338,21.589,5.25,16.375,,1.403,78.0,63.417,52.0,0.0,22.5,20.021,18.2,191.729,13.5,205.229,4.596
2011-06-16,20.182,26.615,6.432,20.875,,1.236,94.0,78.875,66.0,5.0,23.2,19.867,16.9,196.844,16.482,213.326,4.541
2011-06-17,10.458,14.588,4.13,13.995,,0.056,97.0,93.167,86.0,18.0,19.5,17.954,16.8,187.625,9.896,197.52,3.694
2011-06-18,19.849,25.604,5.755,22.438,,0.986,96.0,86.292,72.0,5.0,21.2,18.925,17.0,192.146,16.979,209.125,5.542
2011-06-19,11.188,14.177,2.99,29.177,,1.083,96.0,82.458,64.0,0.0,23.6,20.612,17.8,191.604,11.812,203.416,4.667
2011-06-20,21.246,28.475,7.229,18.604,,2.305,91.0,83.292,63.0,0.0,25.8,22.529,20.3,181.648,13.358,195.006,3.286
2011-06-21,22.404,34.072,11.669,18.062,,1.655,90.0,80.0,62.0,1.0,26.9,23.579,21.3,186.083,14.938,201.02,3.48
2011-06-22,31.674,48.213,16.538,39.252,,2.838,95.0,72.833,51.0,0.0,29.8,25.671,20.5,191.04,25.796,216.835,5.222
2011-06-23,22.461,35.836,13.376,34.651,,2.48,85.0,74.958,63.0,0.0,28.9,26.025,23.7,185.396,21.416,206.812,3.542
2011-06-24,12.568,20.76,8.193,28.442,,1.097,80.0,69.208,53.0,0.0,31.5,27.212,24.6,179.709,10.812,190.52,2.403
2011-06-25,10.432,17.078,6.646,27.338,,0.764,86.0,78.958,68.0,0.0,24.6,22.108,19.3,184.834,9.98,194.812,3.667
2011-06-26,7.281,10.802,3.521,24.396,,0.167,94.0,90.417,86.0,0.0,20.9,19.55,18.3,192.165,9.65,201.814,4.264
2011-06-27,18.38,30.705,12.325,41.426,,0.236,95.0,91.958,87.0,1.0,22.1,20.65,18.9,195.451,19.842,215.294,5.209
2011-06-28,26.444,44.45,18.007,49.176,,1.752,96.0,76.333,54.0,0.0,31.7,26.238,20.8,196.644,28.059,224.702,6.347
2011-06-29,17.223,21.938,4.715,33.498,,1.492,89.0,63.833,44.0,0.0,34.1,28.679,23.0,191.12,20.018,211.138,4.514
2011-06-30,31.548,43.504,11.956,36.543,,3.103,85.0,70.125,45.0,2.0,32.8,27.804,24.7,199.75,25.208,224.958,5.236
2011-07-01,27.354,38.948,11.594,41.922,,2.208,89.0,69.542,35.0,3.0,33.7,27.625,24.0,195.812,20.438,216.25,4.556
2011-07-02,11.552,16.625,5.073,40.625,,1.68,92.0,79.958,67.0,1.0,28.2,25.046,22.7,184.104,11.714,195.818,4.064
2011-07-03,8.958,11.63,2.672,31.63,,1.097,91.0,74.792,57.0,0.0,30.4,26.517,22.5,179.917,10.208,190.125,3.02
2011-07-04,11.552,16.411,4.858,48.946,,1.583,90.0,74.375,60.0,0.0,30.3,27.275,24.6,177.87,9.332,187.201,2.551
2011-07-05,15.072,19.397,4.325,31.32,,1.898,85.0,70.458,53.0,2.0,30.9,27.004,23.8,181.928,13.274,195.203,3.847
2011-07-06,15.487,19.084,3.597,32.177,,1.589,84.0,64.083,41.0,0.0,31.8,27.092,23.3,193.935,14.941,208.876,4.444
2011-07-07,14.104,20.8,6.696,22.521,,1.666,89.0,77.667,65.0,1.0,28.7,25.379,23.3,179.52,9.229,188.75,2.764
2011-07-08,16.264,33.153,16.889,27.036,,2.275,84.0,74.458,64.0,0.0,29.6,26.992,25.5,180.206,13.718,193.923,2.923
2011-07-09,14.167,32.286,18.12,27.927,,2.139,87.0,74.625,55.0,0.0,31.5,27.621,25.1,177.354,13.416,190.771,3.015
2011-07-10,10.25,19.849,9.599,21.677,,2.93,88.0,68.958,46.0,0.0,32.4,28.175,24.3,176.737,13.779,190.516,2.528
2011-07-11,11.386,24.318,12.932,21.001,,3.305,89.0,69.958,42.0,0.0,32.9,28.362,24.8,181.166,11.146,192.312,3.093
2011-07-12,9.208,19.563,10.354,20.906,,1.319,90.0,72.833,54.0,0.0,32.3,27.804,25.0,177.25,8.25,185.5,2.472
