date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CO_mean,SO2_mean
2011-04-22,13.573,24.98975,11.41675,,13.22925,4.625,0.0
2011-04-23,11.2915,17.32275,6.03125,,18.448,3.625,0.0
2011-04-24,4.948,7.21875,2.27075,,8.7605,2.583,0.167
2011-04-25,9.3,13.519250000000001,4.21925,,13.42725,3.5,0.091
2011-04-26,15.22925,19.79175,4.5625,,17.81275,4.625,0.458
2011-04-27,15.321250000000001,21.76775,6.44675,,34.586,5.087,0.458
2011-04-28,6.927,10.65625,3.729,,16.302,3.333,0.0
2011-04-29,8.45825,12.375,3.9165,,6.6875,3.583,0.0
2011-04-30,9.9895,13.1145,3.12525,,18.5835,4.042,0.917
2011-05-01,11.844000000000001,15.39575,3.55225,,29.9375,4.375,0.75
2011-05-02,3.8202499999999997,6.57025,2.75,,13.781500000000001,2.708,0.0
2011-05-03,5.78125,7.5,1.71875,,10.34375,2.833,0.0
2011-05-04,5.848,7.468,1.62,,16.698,3.174,0.0
2011-05-05,4.812250000000001,6.40625,1.59375,,11.968499999999999,3.083,0.0
2011-05-06,5.625249999999999,7.59375,1.96875,,9.375,2.75,0.0
2011-05-07,7.84375,10.375,2.53125,,19.32275,3.125,0.0
2011-05-08,5.302,7.021,1.71875,,18.4895,3.292,0.25
2011-05-09,10.416,13.124749999999999,2.70875,,10.620750000000001,3.957,0.0
2011-05-10,9.99125,14.325499999999998,4.33425,,14.71225,4.708,0.0
2011-05-11,13.268,17.161749999999998,3.8935,,14.604,4.826,0.292
2011-05-12,12.3855,17.0625,4.677,,11.07275,4.25,0.0
2011-05-13,6.8645,10.69775,3.8335,,51.9375,3.167,0.0
2011-05-14,5.0625,7.239749999999999,2.177,,33.552,2.708,0.167
2011-05-15,6.25,7.729,1.47925,,18.8125,3.042,0.208
2011-05-16,10.280000000000001,13.116,2.8360000000000003,,24.42725,3.875,0.545
2011-05-17,11.91,14.937750000000001,3.02775,,27.94475,4.292,0.958
2011-05-18,11.77175,15.7715,3.9995,,11.00225,3.696,0.273
2011-05-19,20.708750000000002,26.21675,5.508,,28.31525,5.864,1.208
2011-05-20,20.5125,23.651249999999997,3.13875,,32.5,5.958,1.609
