date,PM25_mean,SO2_mean
2013-02-11,5.625,2.667
2013-02-12,8.217,3.125
2013-02-13,7.667,2.875
2013-02-14,3.625,3.667
2013-02-15,3.667,2.708
2013-02-16,20.083,4.458
2013-02-17,18.167,3.708
2013-02-18,10.292,3.167
2013-02-19,9.833,3.13
2013-02-20,18.167,3.917
2013-02-21,13.125,3.833
2013-02-22,12.625,3.5
2013-02-23,10.208,2.958
2013-02-24,11.167,3.0
2013-02-25,29.792,4.417
2013-02-26,41.542,4.167
2013-02-27,10.417,3.375
2013-02-28,8.417,2.917
2013-03-01,15.25,2.292
2013-03-02,10.625,2.417
2013-03-03,6.083,2.958
2013-03-04,8.083,2.75
2013-03-05,11.5,2.478
2013-03-06,10.917,3.083
2013-03-07,11.125,3.708
2013-03-08,10.333,3.5
2013-03-09,24.875,5.042
2013-03-10,10.875,3.125
2013-03-11,7.556,3.292
2013-03-12,18.5,4.917
2013-03-13,5.667,2.792
2013-03-14,6.542,3.125
2013-03-15,20.167,3.542
2013-03-16,32.625,4.792
2013-03-17,40.125,5.167
2013-03-18,37.167,3.042
2013-03-19,42.273,3.261
2013-03-20,17.958,3.625
2013-03-21,5.708,2.875
2013-03-22,8.333,3.0
2013-03-23,20.708,4.208
2013-03-24,22.417,4.208
2013-03-25,28.25,6.125
2013-03-26,24.0,2.417
2013-03-27,12.208,3.708
2013-03-28,21.333,3.708
2013-03-29,19.458,2.375
2013-03-30,3.125,2.583
2013-03-31,12.125,3.5
2013-04-01,13.292,4.042
2013-04-02,14.083,2.652
2013-04-03,16.042,4.125
2013-04-04,13.565,4.111
2013-04-05,15.083,4.5
2013-04-06,8.583,2.125
2013-04-07,2.042,3.25
2013-04-08,11.5,3.522
2013-04-09,19.833,4.708
2013-04-10,15.958,5.208
2013-04-11,23.042,5.458
2013-04-12,26.25,6.167
2013-04-13,20.125,4.625
2013-04-14,22.125,5.458
2013-04-15,15.833,4.792
2013-04-16,27.167,6.125
2013-04-17,27.625,2.565
2013-04-18,14.833,3.458
2013-04-19,17.75,3.958
2013-04-20,17.042,3.583
2013-04-21,3.917,2.708
2013-04-22,16.042,3.792
2013-04-23,15.417,3.583
2013-04-24,7.542,2.125
2013-04-25,17.708,2.667
2013-04-26,22.917,4.75
2013-04-27,19.125,3.583
