date,SO2_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-02-19,1.583,5.938,6.844,0.906,,,3.2,0.892,-2.3
2011-02-20,2.018,9.938,11.781,1.844,,,6.1,2.954,0.0
2011-02-21,2.333,14.24,16.104,1.865,,,6.8,4.879,2.7
2011-02-22,2.27,16.237,17.933,1.696,,,8.0,5.8,3.4
2011-02-23,2.47,15.042,18.854,3.813,,,12.4,9.488,6.3
2011-02-24,2.911,10.146,10.969,0.823,,,9.0,6.862,4.6
2011-02-25,1.81,14.656,16.094,1.437,,,8.4,5.529,4.5
2011-02-26,1.286,5.812,6.24,0.427,,,4.4,2.746,-0.5
2011-02-27,1.381,7.552,8.646,1.094,,,3.8,0.458,-2.1
2011-02-28,1.381,10.636,11.656,1.021,,,6.1,2.054,-3.2
2011-03-01,2.881,19.104,24.76,5.656,,,12.8,9.212,4.7
2011-03-02,1.833,16.208,18.896,2.688,,,12.8,10.025,6.6
2011-03-03,1.571,6.146,6.719,0.573,,,9.5,6.75,4.7
2011-03-04,1.184,5.948,6.583,0.636,,,9.2,5.062,2.6
2011-03-05,1.594,23.225,31.222,7.996,,,14.1,12.0,8.2
2011-03-06,2.607,16.438,20.531,4.094,,,14.9,12.75,9.5
2011-03-07,2.875,14.056,15.474,1.418,,,10.0,8.679,7.1
2011-03-08,2.209,12.958,14.8,1.841,,,10.3,7.421,4.5
2011-03-09,0.964,9.416,10.354,0.938,,,7.0,4.271,2.9
2011-03-10,1.083,6.25,7.021,0.771,,,7.7,5.288,2.8
2011-03-11,2.554,5.24,6.031,0.792,,,8.3,3.588,0.8
2011-03-12,1.654,4.438,4.99,0.552,,,4.3,2.15,0.4
2011-03-13,1.446,6.636,7.583,0.948,,,4.7,2.254,-0.7
2011-03-14,2.519,8.526,9.942,1.416,,,7.0,4.838,2.2
2011-03-15,2.528,8.146,9.323,1.177,,,7.8,5.462,1.8
2011-03-16,2.804,12.167,14.542,2.375,,,10.6,6.042,0.0
2011-03-17,2.095,6.073,6.594,0.521,,,18.6,13.617,8.9
2011-03-18,2.488,10.26,12.438,2.177,,,12.9,10.992,8.6
2011-03-19,1.387,6.583,7.594,1.01,,,8.9,6.271,3.3
2011-03-20,2.095,6.74,7.604,0.864,,,8.3,5.533,0.4
2011-03-21,1.857,6.13,6.971,0.841,,,7.8,5.558,2.4
2011-03-22,4.107,10.698,12.25,1.552,,,13.2,10.171,5.8
2011-03-23,1.898,9.094,10.188,1.094,,,17.3,11.396,6.2
2011-03-24,2.625,6.438,7.271,0.834,,,10.5,8.762,5.5
2011-03-25,2.084,4.177,4.708,0.531,,,7.5,5.2,3.4
2011-03-26,1.621,4.916,5.688,0.771,,,7.0,4.625,2.5
2011-03-27,2.521,8.284,9.28,0.996,,,11.9,7.388,2.9
2011-03-28,2.722,7.996,8.941,0.944,,,12.5,9.692,6.3
2011-03-29,2.304,6.938,8.094,1.156,,,14.6,8.908,4.3
2011-03-30,2.161,4.24,4.688,0.448,,,17.4,14.021,10.0
2011-03-31,1.655,4.542,5.073,0.531,,,15.8,9.479,3.8
2011-04-01,3.827,10.896,13.031,2.136,,,17.9,13.1,8.8
2011-04-02,3.589,9.323,11.031,1.708,,,15.9,12.333,5.6
2011-04-03,1.458,4.552,6.042,1.49,,,8.0,5.05,2.9
2011-04-04,1.333,6.156,7.865,1.708,,,11.1,5.958,1.2
2011-04-05,2.401,10.49,12.416,1.927,,,12.3,7.621,2.0
2011-04-06,3.071,9.142,11.119,1.977,,,17.2,12.233,8.6
2011-04-07,1.506,5.219,7.031,1.812,,,18.2,14.483,11.0
2011-04-08,1.244,2.854,4.531,1.677,,,17.0,14.521,13.5
2011-04-09,2.15,10.76,13.354,2.594,,,16.5,13.671,10.4
2011-04-10,2.161,5.979,7.699,1.72,,,15.6,12.729,8.9
2011-04-11,3.81,8.708,10.719,2.01,,,16.2,11.896,5.2
2011-04-12,1.745,7.188,8.948,1.76,,,11.6,8.496,4.3
2011-04-13,3.28,6.818,8.495,1.677,,,18.3,13.108,9.7
2011-04-14,4.196,6.906,7.917,1.01,,,19.8,14.879,11.7
2011-04-15,4.428,5.906,7.24,1.334,,,20.2,15.683,13.1
2011-04-16,2.633,9.781,11.854,2.073,,,16.5,13.208,6.5
2011-04-17,2.589,8.164,9.79,1.626,,,14.5,9.712,3.8
2011-04-18,2.375,9.208,11.458,2.25,,,16.6,11.979,8.5
2011-04-19,1.562,5.458,7.01,1.552,,,12.5,9.171,5.8
2011-04-20,1.452,5.427,6.75,1.323,,,11.0,8.688,7.0
2011-04-21,2.77,8.798,11.247,2.449,,,16.8,12.846,9.2
2011-04-22,1.149,3.76,4.021,0.26,,,15.8,13.446,12.1
2011-04-23,1.171,4.802,5.073,0.271,,,15.0,12.546,9.1
2011-04-24,1.381,4.796,5.142,0.346,,,15.9,11.971,8.5
2011-04-25,1.816,5.99,6.396,0.406,,,15.5,12.371,9.9
2011-04-26,2.077,4.467,4.897,0.431,,,19.3,16.208,12.1
2011-04-27,1.111,3.16,3.504,0.344,,,19.4,16.262,10.8
2011-04-28,1.56,6.427,6.854,0.427,,,15.0,11.8,8.7
2011-04-29,1.881,5.427,5.917,0.49,,,16.5,12.371,8.6
2011-04-30,2.018,2.74,2.99,0.25,,,19.8,16.588,12.9
2011-05-01,1.03,3.542,3.896,0.354,,,21.8,17.471,14.6
2011-05-02,1.762,8.073,8.708,0.636,,,19.4,15.938,12.6
2011-05-03,2.232,12.031,12.969,0.938,,,16.5,14.179,11.8
2011-05-04,3.403,9.484,10.271,0.787,,,18.6,15.321,11.8
2011-05-05,2.482,7.292,7.75,0.458,,,18.8,15.092,11.0
2011-05-06,1.571,5.594,6.156,0.562,,,21.6,17.554,14.2
2011-05-07,2.565,8.281,9.364,1.083,,,22.0,17.338,13.8
2011-05-08,2.244,6.781,7.531,0.75,,,23.4,19.688,16.5
2011-05-09,2.268,7.542,8.74,1.198,,,26.0,20.946,16.4
2011-05-10,1.731,2.781,3.636,0.854,,,24.2,21.283,20.3
2011-05-11,0.884,2.816,3.577,0.76,,,22.2,20.808,19.6
2011-05-12,1.687,11.582,15.165,3.583,,,22.4,19.758,17.9
2011-05-13,1.903,7.365,8.021,0.656,,,18.6,16.929,15.2
2011-05-14,2.389,6.927,7.386,0.458,,,20.6,17.7,14.8
2011-05-15,2.076,4.625,5.073,0.448,,,22.0,18.864,15.5
2011-05-16,1.91,3.656,3.906,0.25,,,23.0,18.838,15.7
2011-05-17,3.281,6.49,6.796,0.306,,,21.1,17.317,14.0
2011-05-18,2.333,7.94,8.477,0.537,,,21.0,17.15,14.5
2011-05-19,2.024,3.504,3.759,0.255,,,23.5,19.158,15.7
2011-05-20,1.166,2.958,3.361,0.403,,,24.4,19.467,15.6
2011-05-21,0.764,2.181,2.764,0.583,,,25.1,21.067,18.0
2011-05-22,0.799,3.306,3.889,0.583,,,21.0,18.325,14.7
2011-05-23,0.604,11.375,11.986,0.611,,,14.1,13.538,13.2
2011-05-24,0.618,5.906,6.667,0.76,,,17.1,14.467,12.5
2011-05-25,2.04,6.949,8.072,1.123,,,20.1,16.912,13.7
2011-05-26,2.002,8.51,9.502,0.992,,,18.5,16.65,14.6
2011-05-27,0.66,9.812,10.531,0.719,,,15.6,14.967,13.8
2011-05-28,0.778,16.157,19.74,3.584,,,18.8,17.5,15.6
2011-05-29,0.615,5.854,6.927,1.073,,,19.7,17.488,14.5
2011-05-30,1.18,3.948,4.375,0.427,,,16.3,15.238,13.9
2011-05-31,1.106,5.0,5.729,0.729,,,20.4,16.55,12.9
2011-06-01,0.688,4.956,5.685,0.73,,,17.9,16.617,15.8
2011-06-02,1.03,5.957,6.881,0.924,,,21.4,18.267,16.6
2011-06-03,2.078,8.25,9.979,1.729,,,22.8,19.362,17.7
2011-06-04,1.743,4.552,5.5,0.948,,,25.3,20.775,17.5
2011-06-05,1.222,4.198,4.812,0.614,,,22.5,19.038,16.9
2011-06-06,2.502,7.656,8.646,0.99,,,22.8,19.738,16.8
2011-06-07,1.507,5.979,6.656,0.677,,,21.6,19.35,17.5
2011-06-08,1.624,6.716,7.522,0.806,,,21.0,18.417,15.7
2011-06-09,1.215,4.927,5.885,0.958,,,24.8,21.288,18.5
2011-06-10,1.479,9.052,10.458,1.406,,,23.2,20.979,19.6
2011-06-11,1.57,8.604,9.823,1.219,,,21.9,20.271,19.1
2011-06-12,1.632,9.25,10.416,1.167,,,22.0,20.1,18.8
2011-06-13,1.708,7.854,8.677,0.823,,,21.2,18.996,17.5
2011-06-14,1.993,8.864,9.781,0.917,,,22.5,19.804,18.1
2011-06-15,1.834,10.128,11.306,1.178,,,23.3,19.567,18.0
2011-06-16,0.799,5.75,6.417,0.667,,,18.3,17.321,16.6
2011-06-17,1.951,9.958,10.937,0.979,,,22.2,19.108,16.9
2011-06-18,1.208,11.885,13.427,1.542,,,21.1,19.779,18.8
2011-06-19,1.59,9.302,10.292,0.99,,,20.9,19.833,19.0
2011-06-20,0.994,5.048,6.053,1.004,,,21.5,20.804,19.9
2011-06-21,1.16,3.302,4.344,1.042,,,25.8,23.05,21.1
2011-06-22,2.923,5.162,8.36,3.198,,,28.6,24.783,22.3
2011-06-23,0.935,2.121,3.354,1.233,,,27.8,25.229,23.8
2011-06-24,0.91,2.114,3.427,1.312,,,28.7,25.875,24.1
2011-06-25,0.91,2.042,3.302,1.26,,,30.4,26.896,24.5
2011-06-26,0.917,1.396,2.146,0.75,,,29.1,26.025,23.9
2011-06-27,0.892,1.704,2.967,1.263,,,28.4,25.933,24.1
2011-06-28,1.021,2.021,3.406,1.385,,,29.7,26.554,24.5
2011-06-29,3.096,8.156,11.136,2.979,,,29.6,26.383,23.9
2011-06-30,3.511,9.49,12.021,2.531,,,28.4,25.717,23.4
2011-07-01,1.278,7.354,9.0,1.646,,,25.4,22.954,21.9
2011-07-02,2.167,8.844,10.323,1.479,,,26.7,23.221,21.4
2011-07-03,1.938,4.031,4.916,0.885,,,28.0,25.442,22.9
2011-07-04,1.792,2.604,3.427,0.823,,,27.5,25.083,23.3
2011-07-05,2.256,6.871,7.771,0.9,,,26.6,24.408,22.5
2011-07-06,1.194,4.5,5.389,0.889,,,28.4,24.054,22.1
2011-07-07,1.299,2.583,3.729,1.146,,,24.7,23.292,21.2
2011-07-08,1.042,2.115,3.365,1.25,,,28.8,26.271,24.6
2011-07-09,0.84,1.979,3.24,1.26,,,30.4,26.879,24.4
2011-07-10,2.153,3.927,5.344,1.416,,,29.5,26.025,23.4
2011-07-11,1.59,4.24,6.26,2.021,,,27.8,25.383,23.1
2011-07-12,0.917,6.497,11.319,4.822,,,25.4,23.15,20.8
2011-07-13,0.981,2.945,5.346,2.402,,,27.8,24.7,20.9
2011-07-14,1.104,2.834,4.208,1.375,,,29.0,25.304,22.2
2011-07-15,2.57,6.188,7.979,1.792,,,28.5,25.529,22.7
2011-07-16,2.139,5.792,7.364,1.573,,,29.0,25.804,23.1
2011-07-17,2.306,5.886,7.031,1.146,,,28.2,25.975,23.9
2011-07-18,1.056,2.865,4.208,1.344,,,26.0,24.004,22.9
2011-07-19,0.687,2.654,3.752,1.098,,,26.2,23.275,21.1
2011-07-20,1.758,6.805,8.05,1.245,,,25.2,23.946,23.1
2011-07-21,1.931,7.74,8.854,1.114,,,24.4,22.896,21.1
2011-07-22,1.306,5.688,6.708,1.021,,,23.2,21.575,20.8
2011-07-23,2.208,4.917,5.771,0.854,,,25.7,23.171,21.3
2011-07-24,1.833,4.125,4.854,0.729,,,26.5,23.604,21.8
2011-07-25,1.034,3.074,4.035,0.961,,,26.4,23.742,22.1
2011-07-26,1.486,3.921,5.105,1.184,,,27.4,24.121,22.4
2011-07-27,1.106,2.06,3.344,1.284,,,26.6,24.242,23.1
2011-07-28,2.625,5.854,7.292,1.438,,,28.5,25.312,23.0
2011-07-29,3.674,7.979,9.646,1.667,,,26.9,24.958,23.1
2011-07-30,3.326,7.469,8.76,1.292,,,26.3,24.533,23.5
2011-07-31,1.979,5.312,6.01,0.698,,,26.7,24.192,22.7
2011-08-01,2.806,7.646,8.594,0.948,,,27.0,24.362,22.5
2011-08-02,2.257,5.898,7.05,1.152,,,26.5,23.608,22.1
2011-08-03,2.351,7.054,8.878,1.824,,,27.5,24.562,22.7
2011-08-04,2.243,7.51,9.438,1.927,,,28.0,24.6,21.9
2011-08-05,1.188,4.75,6.552,1.802,,,27.5,23.65,22.4
2011-08-06,1.083,2.688,4.094,1.406,,,28.1,24.625,22.2
2011-08-07,1.292,2.562,3.51,0.948,,,28.5,25.167,22.3
2011-08-08,1.444,3.594,4.677,1.083,,,29.7,25.65,22.7
2011-08-09,3.626,6.73,8.228,1.498,,,29.7,25.983,23.5
2011-08-10,2.721,5.24,6.377,1.136,,,30.3,26.275,23.9
2011-08-11,2.743,6.073,7.25,1.177,,,29.7,26.383,24.6
2011-08-12,3.91,7.781,8.865,1.083,,,29.5,26.45,24.3
2011-08-13,3.639,5.792,6.636,0.844,,,30.6,26.654,24.6
2011-08-14,2.694,2.354,3.073,0.719,,,29.7,26.208,24.0
2011-08-15,2.09,2.781,3.438,0.656,,,29.7,26.212,24.2
2011-08-16,2.298,4.198,5.094,0.896,,,29.8,25.992,24.0
2011-08-17,1.477,3.431,4.394,0.963,,,29.5,26.488,24.6
2011-08-18,1.604,3.76,4.781,1.021,,,29.8,26.225,24.2
2011-08-19,1.458,7.74,8.562,0.823,,,26.4,24.162,22.6
2011-08-20,1.861,10.562,11.688,1.125,,,25.0,22.617,21.1
2011-08-21,1.441,7.668,8.513,0.845,,,24.0,22.079,20.7
2011-08-22,2.118,8.227,9.243,1.016,,,25.6,22.775,20.4
2011-08-23,1.208,2.822,4.06,1.238,,,27.3,23.879,21.3
2011-08-24,1.538,4.111,6.081,1.97,,,29.5,24.95,22.2
2011-08-25,0.889,2.886,5.292,2.406,,,25.0,23.242,21.9
2011-08-26,1.819,3.917,5.979,2.062,,,28.7,24.788,21.8
2011-08-27,1.542,5.031,6.573,1.542,,,28.4,24.983,23.3
2011-08-28,1.847,4.573,5.416,0.844,,,26.9,25.025,23.3
2011-08-29,2.312,6.406,7.406,1.0,,,28.4,25.275,23.6
2011-08-30,2.493,8.041,8.948,0.906,,,28.4,25.571,23.2
2011-08-31,1.718,5.38,6.69,1.31,,,30.1,25.671,22.8
2011-09-01,0.947,3.833,5.886,2.052,,,26.0,24.225,23.1
2011-09-02,0.819,3.281,4.438,1.156,,,24.1,23.079,21.8
2011-09-03,0.847,0.823,1.125,0.302,,,24.1,23.317,22.9
2011-09-04,1.056,2.458,2.938,0.479,,,26.6,24.283,23.0
2011-09-05,1.5,6.26,6.98,0.719,,,25.4,22.529,19.6
2011-09-06,1.269,5.175,5.846,0.672,,,22.4,20.804,18.4
2011-09-07,1.954,6.528,7.489,0.961,,,25.7,21.667,19.0
2011-09-08,1.312,4.281,5.042,0.76,,,27.5,23.329,19.3
2011-09-09,0.944,3.24,4.354,1.114,,,29.6,25.621,23.4
2011-09-10,1.389,3.708,5.229,1.521,,,29.2,25.454,22.9
2011-09-11,1.416,3.604,4.958,1.354,,,29.4,25.254,23.5
2011-09-12,1.868,5.323,7.365,2.042,,,26.2,24.129,22.6
2011-09-13,1.812,5.758,7.408,1.651,,,27.9,24.571,22.7
2011-09-14,2.594,6.439,7.855,1.416,,,27.5,24.612,23.0
2011-09-15,2.306,6.646,8.177,1.531,,,26.4,25.004,23.3
2011-09-16,1.507,5.99,9.146,3.156,,,27.4,24.308,22.8
2011-09-17,0.882,1.948,3.198,1.25,,,26.0,23.671,22.8
2011-09-18,0.958,2.5,3.708,1.208,,,28.4,24.788,22.5
2011-09-19,1.208,4.708,6.104,1.396,,,28.0,23.646,21.4
2011-09-20,1.042,5.701,7.566,1.865,,,24.0,22.612,21.1
2011-09-21,0.982,4.674,5.638,0.964,,,21.3,20.45,18.3
2011-09-22,1.278,3.948,4.625,0.677,,,20.1,17.871,15.5
2011-09-23,1.208,4.312,4.994,0.682,,,18.9,16.379,13.6
2011-09-24,1.083,5.177,5.896,0.719,,,20.3,17.238,14.6
2011-09-25,1.798,5.636,6.51,0.875,,,21.7,19.346,17.1
2011-09-26,0.861,5.886,7.281,1.396,,,19.6,18.425,16.3
2011-09-27,1.146,6.917,8.552,1.636,,,23.1,19.55,15.8
2011-09-28,2.515,8.338,9.408,1.071,,,22.6,19.958,17.9
2011-09-29,1.361,4.24,4.99,0.75,,,24.8,20.896,17.4
2011-09-30,1.174,5.01,5.75,0.74,,,24.1,21.262,17.9
2011-10-01,1.028,5.01,5.781,0.771,,,18.5,16.562,12.4
2011-10-02,1.188,4.781,5.375,0.594,,,17.0,15.038,12.3
2011-10-03,0.91,5.104,5.75,0.646,,,16.3,14.108,12.0
2011-10-04,0.903,5.068,5.865,0.796,,,17.3,14.421,10.8
2011-10-05,1.087,10.875,12.582,1.708,,,17.7,16.442,14.7
2011-10-06,1.403,5.854,6.75,0.896,,,19.3,17.729,15.8
2011-10-07,1.757,5.885,6.51,0.625,,,17.9,16.85,15.3
2011-10-08,1.5,6.364,7.042,0.677,,,19.8,17.2,14.0
2011-10-09,2.757,6.386,6.938,0.552,,,20.8,18.183,16.6
2011-10-10,2.611,5.229,5.896,0.666,,,23.0,19.646,16.9
2011-10-11,2.862,9.395,10.68,1.285,,,20.3,18.962,18.0
2011-10-12,2.531,9.03,10.882,1.851,,,20.9,19.038,17.3
2011-10-13,1.09,9.146,10.344,1.198,,,19.5,17.958,15.8
2011-10-14,0.91,4.76,6.188,1.427,,,22.4,19.425,17.9
2011-10-15,1.34,5.333,6.312,0.979,,,23.9,20.579,19.2
2011-10-16,1.722,4.354,5.01,0.656,,,20.7,18.525,16.5
2011-10-17,2.354,7.521,8.448,0.927,,,18.7,17.15,15.6
2011-10-18,1.243,6.982,7.8,0.818,,,18.4,15.542,11.5
2011-10-19,1.613,9.598,10.605,1.007,,,19.3,15.346,9.6
2011-10-20,2.458,10.917,12.76,1.844,,,21.6,18.854,16.2
2011-10-21,1.889,9.625,11.708,2.083,,,21.8,19.421,17.6
2011-10-22,0.931,2.479,3.156,0.677,,,22.8,19.621,17.5
2011-10-23,1.562,5.094,6.052,0.958,,,20.0,18.492,16.6
2011-10-24,2.333,8.846,10.578,1.732,,,22.2,18.358,15.3
2011-10-25,1.472,6.042,7.24,1.198,,,19.0,16.462,11.6
2011-10-26,1.393,5.734,6.439,0.705,,,14.1,11.383,8.9
2011-10-27,1.132,6.177,6.854,0.677,,,16.5,12.833,8.3
2011-10-28,1.812,10.427,11.636,1.208,,,20.2,17.079,14.4
2011-10-29,1.792,10.25,11.354,1.104,,,20.2,17.271,15.3
2011-10-30,0.792,5.146,5.698,0.552,,,17.5,15.892,14.8
2011-10-31,1.104,5.752,6.579,0.826,,,18.3,15.667,13.5
2011-11-01,1.486,8.344,9.667,1.323,,,19.8,16.321,13.0
2011-11-02,0.888,7.925,9.247,1.322,,,19.1,17.838,16.3
2011-11-03,0.757,6.9,9.262,2.363,,,19.4,18.179,17.1
2011-11-04,1.347,8.99,11.864,2.875,,,22.1,19.367,17.8
2011-11-05,0.84,5.281,7.625,2.344,,,20.5,18.817,17.6
2011-11-06,1.446,5.271,6.635,1.364,,,21.1,19.158,17.4
2011-11-07,0.991,5.083,5.896,0.812,,,17.6,15.55,12.1
2011-11-08,1.183,5.796,6.436,0.641,,,14.6,12.642,10.9
2011-11-09,1.347,6.587,7.383,0.796,,,13.8,11.304,9.3
2011-11-10,1.382,7.104,8.073,0.969,,,14.1,11.488,8.4
2011-11-11,0.914,10.536,13.08,2.545,,,14.1,12.562,10.5
2011-11-12,1.397,9.544,11.291,1.747,,,18.3,15.604,13.5
2011-11-13,2.424,8.063,9.49,1.427,,,17.9,16.608,13.3
2011-11-14,2.736,7.854,8.688,0.834,,,15.7,14.25,13.1
2011-11-15,1.833,5.396,5.964,0.568,,,13.5,12.238,9.2
2011-11-16,1.203,7.611,8.407,0.796,,,11.3,9.629,6.2
2011-11-17,2.292,9.708,10.75,1.042,,,13.4,11.65,9.9
2011-11-18,1.376,6.492,7.863,1.371,,,17.5,14.967,11.9
2011-11-19,1.131,6.781,7.802,1.021,,,21.0,18.196,15.7
2011-11-20,1.232,3.927,4.719,0.792,,,18.8,13.788,8.2
2011-11-21,1.381,4.492,5.063,0.572,,,9.2,8.033,6.3
2011-11-22,1.238,7.73,9.082,1.352,,,10.1,8.004,6.1
2011-11-23,1.092,5.384,6.196,0.813,,,14.3,11.158,8.1
2011-11-24,1.53,3.667,4.281,0.614,,,12.3,8.133,6.1
2011-11-25,1.512,5.958,6.812,0.854,,,8.5,7.288,6.1
2011-11-26,1.053,6.896,7.916,1.021,,,10.4,8.033,5.9
2011-11-27,1.905,7.771,9.042,1.271,,,16.0,12.071,8.4
2011-11-28,0.964,11.521,18.729,7.208,,,16.4,14.642,13.0
2011-11-29,1.488,15.417,22.614,7.198,,,15.9,14.067,12.1
2011-11-30,2.083,16.726,20.73,4.004,,,17.5,14.896,13.0
2011-12-01,0.75,7.115,7.938,0.823,,,11.9,8.858,5.9
2011-12-02,0.881,7.604,8.938,1.333,,,9.6,6.9,4.8
2011-12-03,1.304,9.75,12.948,3.198,,,16.8,12.104,9.1
2011-12-04,1.274,4.229,4.834,0.604,,,10.5,9.679,8.5
2011-12-05,1.244,8.896,10.614,1.719,,,10.5,8.4,5.2
2011-12-06,2.691,11.886,13.886,2.0,,,10.0,7.446,3.2
2011-12-07,1.829,10.992,14.252,3.26,,,12.1,10.604,9.5
2011-12-08,1.411,10.417,11.625,1.208,,,10.2,8.5,7.0
2011-12-09,1.577,6.469,7.448,0.979,,,8.9,4.604,1.8
2011-12-10,1.679,6.229,8.031,1.802,,,9.0,6.046,2.1
2011-12-11,1.774,5.052,5.563,0.511,,,7.5,6.483,5.2
2011-12-12,1.899,9.281,12.062,2.781,,,10.1,8.3,6.4
2011-12-13,1.122,10.729,14.084,3.354,,,10.9,8.758,7.3
2011-12-14,1.174,10.152,13.262,3.111,,,11.4,9.929,7.9
2011-12-15,2.466,9.104,11.333,2.229,,,11.1,9.625,7.7
2011-12-16,1.679,4.208,5.042,0.833,,,7.2,4.608,1.9
2011-12-17,1.5,4.698,5.51,0.813,,,4.8,3.579,2.1
2011-12-18,1.869,4.333,4.854,0.521,,,6.3,5.138,3.6
2011-12-19,2.042,5.188,6.01,0.823,,,6.5,5.854,5.0
2011-12-20,1.476,7.219,8.198,0.979,,,6.6,5.742,5.0
2011-12-21,3.356,12.186,14.046,1.86,,,8.4,7.017,5.7
2011-12-22,3.768,9.5,11.219,1.719,,,9.3,7.058,4.0
2011-12-23,1.399,4.979,5.614,0.635,,,4.5,2.958,1.4
2011-12-24,2.081,7.094,8.604,1.51,,,5.6,3.067,1.8
2011-12-25,2.066,3.448,3.782,0.333,,,3.4,2.467,1.9
2011-12-26,1.94,4.562,5.219,0.656,,,3.7,2.592,1.9
2011-12-27,1.573,7.198,8.76,1.562,,,4.5,3.154,1.9
2011-12-28,1.116,9.576,11.382,1.806,,,6.3,4.171,2.4
2011-12-29,3.154,7.823,9.958,2.135,,,8.1,6.288,4.6
2011-12-30,1.363,4.698,5.25,0.552,,,5.0,3.333,1.8
2011-12-31,1.0,5.146,5.844,0.698,,,5.5,3.575,1.5
2012-01-01,1.595,3.979,4.584,0.604,11.292,,,,
2012-01-02,2.318,3.885,4.296,0.411,19.667,,,,
2012-01-03,1.429,2.229,2.531,0.302,8.833,,,,
2012-01-04,1.048,4.958,6.062,1.104,4.826,,,,
2012-01-05,1.119,5.604,6.458,0.854,5.583,,,,
2012-01-06,1.518,6.344,7.136,0.792,9.833,,,,
2012-01-07,1.462,10.079,13.279,3.201,14.375,,,,
2012-01-08,1.625,12.979,16.833,3.854,16.417,,,,
2012-01-09,2.162,8.868,11.4,2.532,16.083,,,,
2012-01-10,1.518,5.396,6.698,1.302,6.792,,,,
