date,CH4_mean,NMHC_mean,SO2_mean,SPM_mean,THC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-02-20,189.667,15.375,1.542,14.188,205.042,26.833,53.25,26.417,
2011-02-21,189.0,10.75,2.783,18.938,199.75,16.375,33.25,16.875,
2011-02-22,189.083,12.083,1.542,15.105,201.167,21.417,40.542,19.125,
2011-02-23,186.957,12.696,1.5,20.086,199.652,27.208,56.5,29.292,
2011-02-24,188.375,11.042,2.25,21.562,199.417,13.875,25.375,11.5,
2011-02-25,188.083,9.667,1.042,14.688,197.75,26.043,50.304,24.261,
2011-02-26,187.667,7.792,1.083,13.666,195.458,13.875,25.125,11.25,
2011-02-27,190.609,7.348,1.083,12.75,197.957,16.208,29.25,13.042,
2011-02-28,192.458,14.5,1.167,13.23,206.958,28.167,52.917,24.75,
2011-03-01,190.833,15.958,1.708,20.604,206.792,26.292,41.042,14.75,
2011-03-02,191.042,16.75,1.75,21.312,207.792,33.5,69.625,36.125,
2011-03-03,190.5,6.833,1.125,15.604,197.333,13.458,21.208,7.75,
2011-03-04,191.542,7.792,1.125,11.646,199.333,12.5,17.708,5.208,
2011-03-05,190.792,12.458,1.042,14.708,203.25,29.083,52.25,23.167,
2011-03-06,186.708,10.458,1.0,6.542,197.167,19.5,33.083,13.583,
2011-03-07,187.364,8.364,1.0,7.454,195.727,11.783,20.478,8.696,
2011-03-08,189.667,13.417,1.625,16.375,203.083,22.542,42.417,19.875,
2011-03-09,190.5,9.583,1.667,21.229,200.083,19.25,34.667,15.417,
2011-03-10,188.708,8.083,1.0,11.604,196.792,16.957,26.565,9.609,
2011-03-11,187.417,5.625,1.0,10.166,193.042,9.833,16.708,6.875,
2011-03-12,186.958,7.333,0.917,8.271,194.292,16.417,29.042,12.625,
2011-03-13,188.375,9.875,1.083,7.042,198.25,18.25,32.125,13.875,
2011-03-14,189.542,9.125,1.333,10.438,198.667,20.125,37.958,17.833,
2011-03-15,189.708,8.667,1.667,20.458,198.375,16.208,26.292,10.083,
2011-03-16,190.042,7.375,1.417,15.312,197.417,15.583,25.417,9.833,
2011-03-17,188.167,9.958,1.417,24.396,198.125,23.583,41.708,18.125,
2011-03-18,187.25,8.625,1.792,26.812,195.875,12.542,19.875,7.333,
2011-03-19,186.25,6.5,1.0,7.021,192.75,8.083,16.958,8.875,
2011-03-20,186.5,6.917,1.0,8.771,193.417,12.833,22.833,10.0,
2011-03-21,187.042,7.5,1.0,12.604,194.542,13.708,24.083,10.375,
2011-03-22,187.167,9.0,1.458,24.02,196.167,15.0,23.792,8.792,
2011-03-23,187.292,9.25,1.417,21.125,196.542,23.625,44.083,20.458,
2011-03-24,184.875,7.708,1.0,4.625,192.583,16.739,27.739,11.0,
2011-03-25,185.583,7.5,1.0,5.146,193.083,9.875,17.333,7.458,
2011-03-26,187.833,10.333,1.125,11.896,198.167,21.333,35.833,14.5,
2011-03-27,189.833,9.583,1.125,12.167,199.417,19.667,31.458,11.792,
2011-03-28,189.208,10.542,1.375,19.98,199.75,17.958,28.625,10.667,
2011-03-29,190.261,10.913,1.565,17.978,201.174,22.833,41.792,18.958,
2011-03-30,187.417,13.625,1.958,24.708,201.042,24.417,41.583,17.167,
2011-03-31,184.458,11.375,1.542,19.458,195.833,16.25,26.542,10.292,
2011-04-01,184.75,8.75,0.708,16.188,193.5,18.458,40.917,22.458,
2011-04-02,183.75,7.083,0.625,14.188,190.833,12.478,24.348,11.87,
2011-04-03,184.583,5.708,0.167,7.834,190.292,9.042,15.292,6.25,
2011-04-04,185.375,7.542,0.458,7.292,192.917,16.333,32.417,16.083,
2011-04-05,185.958,7.458,0.792,14.521,193.417,18.583,35.833,17.25,
2011-04-06,184.125,8.25,1.083,15.208,192.375,20.792,35.833,15.042,
2011-04-07,185.043,9.783,1.348,18.608,194.826,27.043,52.957,25.913,
2011-04-08,182.0,8.75,0.0,10.25,190.75,,,,
2011-04-09,183.208,8.667,0.333,16.042,191.875,16.5,28.292,11.792,
2011-04-10,183.042,7.458,0.75,16.292,190.5,9.708,15.333,5.625,
2011-04-11,183.0,11.083,0.625,17.625,194.083,21.0,35.208,14.208,
2011-04-12,183.5,9.083,0.75,16.916,192.583,17.333,32.583,15.25,
2011-04-13,184.85,9.75,0.909,27.909,194.6,22.043,42.304,20.261,
2011-04-14,187.045,16.636,3.174,53.771,203.682,29.25,48.208,18.958,
2011-04-15,186.542,17.208,2.083,42.312,203.75,34.292,57.458,23.167,
2011-04-16,185.167,14.708,0.917,24.354,199.875,16.652,29.957,13.304,
2011-04-17,185.5,10.125,0.208,10.604,195.625,7.958,13.167,5.208,
2011-04-18,185.292,11.542,0.958,15.416,196.833,13.167,24.75,11.583,
2011-04-19,184.375,9.875,0.5,5.729,194.25,11.083,20.333,9.25,
2011-04-20,185.583,9.625,0.083,3.48,195.208,13.083,24.917,11.833,
2011-04-21,186.958,11.083,0.792,10.084,198.042,17.042,41.167,24.125,
2011-04-22,185.917,12.167,0.542,12.834,198.083,18.25,40.958,22.708,
2011-04-23,183.25,10.083,0.0,17.52,193.333,16.458,39.958,23.5,
2011-04-24,183.458,9.292,0.083,8.625,192.75,10.542,17.917,7.375,
2011-04-25,185.5,11.875,0.458,15.729,197.375,18.125,37.625,19.5,
2011-04-26,183.792,11.458,0.833,19.833,195.25,22.625,45.083,22.458,
2011-04-27,182.792,14.333,0.708,32.208,197.125,17.458,34.625,17.167,
2011-04-28,184.13,9.348,0.5,16.584,193.478,12.667,24.042,11.375,
2011-04-29,188.833,8.458,0.125,4.583,197.292,12.625,25.708,13.083,
2011-04-30,189.583,11.125,0.833,22.854,200.708,20.217,36.565,16.348,
2011-05-01,189.083,14.042,0.667,41.938,203.125,15.5,27.875,12.375,
2011-05-02,186.042,8.0,0.042,9.916,194.042,7.833,15.417,7.583,
2011-05-03,185.875,8.125,0.667,14.188,194.0,11.458,19.083,7.625,
2011-05-04,182.792,8.083,0.458,21.188,190.875,9.0,15.958,6.958,
2011-05-05,186.417,8.792,0.292,13.292,195.208,7.125,12.458,5.333,
2011-05-06,187.75,9.542,0.667,12.646,197.292,13.375,28.417,15.042,
2011-05-07,183.333,8.583,0.417,19.396,191.917,12.958,28.542,15.583,
2011-05-08,179.292,10.25,0.458,17.479,189.542,8.125,14.25,6.125,
2011-05-09,178.083,9.625,0.833,11.688,187.708,15.208,28.625,13.417,
2011-05-10,176.708,12.542,0.375,12.23,189.25,13.292,20.292,7.0,
2011-05-11,177.455,12.727,0.682,15.543,190.182,18.909,36.136,17.227,
2011-05-12,180.043,14.391,0.292,12.916,194.435,16.545,37.818,21.273,
2011-05-13,177.5,12.833,0.0,43.19,190.333,17.0,34.542,17.542,
2011-05-14,172.875,12.833,0.083,35.958,185.708,11.0,19.208,8.208,
2011-05-15,167.542,12.958,0.167,20.292,180.5,8.792,15.958,7.167,
2011-05-16,157.167,15.667,0.917,20.625,172.833,16.833,33.25,16.417,
2011-05-17,145.333,17.375,0.583,23.771,162.708,20.958,38.375,17.417,
2011-05-18,146.833,17.5,0.25,12.5,164.333,18.667,35.792,17.125,
2011-05-19,138.167,21.5,0.792,23.584,159.667,27.708,49.958,22.25,
2011-05-20,122.708,24.167,1.708,36.312,146.875,26.25,43.458,17.208,
2011-05-21,106.917,24.583,0.458,26.5,131.5,15.208,26.5,11.292,
2011-05-22,149.542,15.0,0.0,8.146,164.542,10.75,16.875,6.125,
2011-05-23,145.042,16.458,0.042,10.458,161.5,15.792,28.292,12.5,
2011-05-24,186.045,11.409,0.125,14.042,197.455,19.083,40.667,21.583,
2011-05-25,204.792,10.667,0.042,13.958,215.458,17.875,36.375,18.5,
2011-05-26,187.783,8.522,0.083,13.438,196.304,20.565,43.696,23.13,
2011-05-27,185.083,8.542,0.208,15.271,193.625,20.125,41.167,21.042,
2011-05-28,183.25,9.833,0.167,15.105,193.083,16.083,29.125,13.042,
2011-05-29,183.0,10.792,0.0,5.916,193.792,12.458,22.792,10.333,
2011-05-30,182.333,7.833,0.0,10.48,190.167,10.25,17.5,7.25,
2011-05-31,184.917,7.167,0.167,20.354,192.083,12.292,30.042,17.75,
2011-06-01,186.417,9.333,0.458,29.52,195.75,15.75,41.75,26.0,
2011-06-02,186.292,12.5,0.083,29.938,198.792,18.583,51.667,33.083,
2011-06-03,186.792,12.667,0.083,18.834,199.458,16.458,33.542,17.083,
2011-06-04,189.0,11.083,0.542,29.542,200.083,15.375,32.5,17.125,
2011-06-05,189.083,12.125,0.167,46.542,201.208,12.542,19.375,6.833,
2011-06-06,185.083,11.167,0.333,24.271,196.25,16.583,29.125,12.542,
2011-06-07,186.25,13.25,2.0,30.166,199.5,18.458,33.25,14.792,
2011-06-08,184.667,15.619,1.273,28.928,200.286,18.909,36.318,17.409,
2011-06-09,184.913,12.043,0.875,14.542,196.957,20.826,43.87,23.043,
2011-06-10,186.833,13.458,1.083,26.896,200.292,20.0,37.833,17.833,
2011-06-11,187.958,16.125,0.625,31.0,204.083,17.625,28.792,11.167,
2011-06-12,189.5,13.0,0.583,22.75,202.5,11.458,19.792,8.333,
2011-06-13,190.958,13.833,0.583,25.375,204.792,15.125,29.167,14.042,
2011-06-14,186.0,12.583,0.083,11.562,198.583,15.417,33.708,18.292,
2011-06-15,188.125,11.833,0.125,5.508,199.958,11.167,23.0,11.833,
2011-06-16,191.542,11.833,0.792,9.5,203.375,13.208,28.625,15.417,
2011-06-17,185.583,11.917,0.292,9.812,197.5,20.25,46.0,25.75,
2011-06-18,191.75,12.542,0.208,13.729,204.292,,,,
2011-06-19,196.833,13.792,0.542,15.675,210.625,,,,
2011-06-20,199.5,15.292,0.917,21.75,214.792,,,,
2011-06-21,200.875,18.5,0.75,30.178,219.375,,,,
2011-06-22,195.667,18.083,0.583,24.646,213.75,,,,
2011-06-23,191.826,15.217,0.0,11.816,207.043,,,,
2011-06-24,184.0,12.792,0.0,7.476,196.792,15.273,27.455,12.182,
2011-06-25,191.682,9.318,0.0,8.458,201.0,10.087,20.739,10.652,
2011-06-26,190.042,9.958,0.0,6.292,200.0,5.792,10.292,4.5,
2011-06-27,191.833,10.75,0.0,5.0,202.583,13.833,34.417,20.583,
2011-06-28,196.958,12.917,0.083,10.708,209.875,12.542,27.25,14.708,
2011-06-29,200.833,15.458,0.625,36.208,216.292,13.708,23.875,10.167,
2011-06-30,197.458,15.542,0.0,16.458,213.0,8.167,19.375,11.208,
2011-07-01,185.917,18.833,0.167,13.946,204.75,8.625,15.208,6.583,
2011-07-02,186.125,12.875,0.375,17.5,199.0,9.208,18.833,9.625,
2011-07-03,183.792,13.25,0.167,12.23,197.042,5.792,13.875,8.083,
2011-07-04,189.208,14.875,0.5,23.562,204.083,13.625,28.875,15.25,
2011-07-05,202.083,15.708,0.333,16.334,217.792,13.0,23.458,10.458,
2011-07-06,212.6,15.9,0.636,15.586,228.5,12.565,20.739,8.174,
2011-07-07,,,0.375,27.084,,15.042,28.458,13.417,
2011-07-08,,,0.333,26.666,,12.833,34.0,21.167,
2011-07-09,,,0.792,20.188,,8.667,25.542,16.875,
2011-07-10,,,0.333,22.375,,6.458,12.917,6.458,
2011-07-11,,,0.542,19.75,,11.167,23.25,12.083,
2011-07-12,,,0.833,25.625,,11.958,24.75,12.792,
2011-07-13,,,0.625,24.479,,12.083,24.042,11.958,
2011-07-14,,,0.583,23.188,,11.292,22.458,11.167,
2011-07-15,,,0.625,17.391,,9.0,22.667,13.667,
2011-07-16,,,0.917,24.27,,11.292,25.417,14.125,
2011-07-17,,,0.583,25.896,,6.167,10.542,4.375,
2011-07-18,,,0.583,22.729,,7.435,16.783,9.348,
2011-07-19,179.909,17.636,0.583,18.938,197.545,8.083,21.375,13.292,
2011-07-20,183.25,16.625,0.042,5.916,199.875,5.208,11.208,6.0,
2011-07-21,185.043,11.043,0.208,12.77,196.087,6.333,15.25,8.917,
2011-07-22,187.833,11.875,0.167,11.271,199.708,9.625,24.417,14.792,
2011-07-23,191.375,15.875,0.0,10.042,207.25,9.083,21.917,12.833,
2011-07-24,187.5,17.083,0.083,11.729,204.583,6.167,12.75,6.583,
2011-07-25,188.583,18.917,0.458,21.312,207.5,12.167,24.417,12.25,
2011-07-26,193.833,22.583,0.583,26.438,216.417,12.208,22.875,10.667,
2011-07-27,191.5,21.708,0.292,26.5,213.208,14.625,27.583,12.958,
2011-07-28,190.458,18.917,0.458,22.896,209.375,11.0,22.75,11.75,
2011-07-29,188.042,20.417,0.125,18.688,208.458,10.083,18.458,8.375,
2011-07-30,185.833,17.5,0.083,14.896,203.333,9.583,19.25,9.667,
2011-07-31,189.458,14.917,0.0,14.98,204.375,5.25,12.375,7.125,
2011-08-01,186.609,13.478,0.25,13.166,200.087,10.391,30.13,19.739,
2011-08-02,189.826,16.0,0.125,21.666,205.826,11.833,30.292,18.458,
2011-08-03,189.727,18.182,0.091,16.61,207.909,9.773,28.136,18.364,
2011-08-04,179.696,18.261,0.042,10.375,197.957,8.833,27.417,18.583,
2011-08-05,176.292,17.5,0.083,13.375,193.792,7.167,27.25,20.083,
2011-08-06,180.583,22.417,0.333,21.104,203.0,9.167,20.625,11.458,
2011-08-07,187.0,24.2,0.667,25.688,211.2,7.792,16.042,8.25,
2011-08-08,186.652,23.087,1.208,25.208,209.739,11.458,24.958,13.5,
2011-08-09,188.826,26.435,0.667,27.271,215.261,13.167,27.708,14.542,
2011-08-10,188.636,25.636,0.542,24.73,214.273,10.417,26.5,16.083,
2011-08-11,183.0,22.826,0.333,18.704,205.826,12.292,26.0,13.708,
2011-08-12,187.944,24.389,0.458,32.5,212.333,12.375,25.333,12.958,
2011-08-13,193.167,21.542,0.708,34.229,214.708,11.083,20.958,9.875,
2011-08-14,189.208,23.5,0.792,32.708,212.708,5.833,11.042,5.208,
2011-08-15,181.042,25.167,0.792,31.125,206.208,6.826,13.391,6.565,
2011-08-16,194.87,24.652,0.625,25.583,219.522,9.667,22.042,12.375,
2011-08-17,193.0,23.739,1.125,33.771,216.739,11.583,23.792,12.208,
2011-08-18,197.783,23.652,1.083,26.188,221.435,11.333,24.542,13.208,
2011-08-19,189.125,18.458,0.5,8.02,207.583,10.875,20.042,9.167,
2011-08-20,193.25,17.875,0.333,11.5,211.125,10.625,24.125,13.5,
2011-08-21,189.208,17.542,0.375,9.042,206.75,9.542,18.417,8.875,
2011-08-22,190.217,17.696,0.0,6.479,207.913,12.625,22.083,9.458,
2011-08-23,193.045,19.545,0.375,10.083,212.591,15.708,32.583,16.875,
2011-08-24,192.174,22.087,0.208,13.211,214.261,13.042,25.417,12.375,
2011-08-25,197.048,21.714,0.0,16.49,218.762,13.292,26.708,13.417,
2011-08-26,190.522,17.913,0.208,11.354,208.435,11.208,26.542,15.333,
2011-08-27,195.045,19.318,0.083,13.542,214.364,11.667,22.875,11.208,
2011-08-28,192.708,18.542,0.042,11.812,211.25,7.417,14.208,6.792,
2011-08-29,190.389,19.333,0.208,10.77,209.722,10.0,24.652,14.652,
2011-08-30,189.889,20.056,0.292,11.938,209.944,9.167,24.208,15.042,
2011-08-31,187.227,20.545,0.208,13.396,207.773,8.75,28.708,19.958,
2011-09-01,176.087,21.217,0.75,9.996,197.304,6.25,21.458,15.208,
2011-09-02,174.167,19.125,0.083,10.396,193.292,3.5,9.625,6.125,
2011-09-03,173.75,15.708,0.292,17.188,189.458,3.833,15.417,11.583,
2011-09-04,177.125,15.583,0.083,14.688,192.708,2.583,5.458,2.875,
2011-09-05,179.609,18.609,0.75,12.333,198.217,9.125,24.875,15.75,
2011-09-06,183.375,19.167,0.167,8.938,202.542,12.792,24.583,11.792,
2011-09-07,199.2,16.8,0.136,11.478,216.0,12.565,31.652,19.087,
2011-09-08,,,1.208,19.875,,19.208,36.542,17.333,
2011-09-09,,,1.708,32.779,,16.625,28.042,11.417,
2011-09-10,,,0.458,29.875,,13.417,24.208,10.792,
2011-09-11,,,0.042,20.812,,12.25,25.625,13.375,
2011-09-12,,,0.542,27.917,,12.652,29.565,16.913,
2011-09-13,,,1.083,25.562,,13.625,33.667,20.042,
2011-09-14,,,0.583,16.562,,13.25,33.083,19.833,
2011-09-15,184.318,31.5,1.333,24.062,215.818,13.208,27.458,14.25,
2011-09-16,182.913,33.565,1.208,31.354,216.478,16.042,31.833,15.792,
2011-09-17,179.708,30.458,1.125,16.062,210.167,9.0,24.667,15.667,
2011-09-18,180.208,32.25,1.125,14.708,212.458,9.417,20.417,11.0,
2011-09-19,185.167,22.083,0.042,4.583,207.25,8.458,15.875,7.417,
2011-09-20,187.435,18.522,0.0,4.875,205.957,14.833,27.458,12.625,
2011-09-21,184.13,16.565,0.042,2.458,200.696,11.0,18.417,7.417,
2011-09-22,181.545,18.909,0.25,4.458,200.455,12.583,26.042,13.458,
2011-09-23,186.292,20.208,0.083,4.416,206.5,12.167,28.167,16.0,
2011-09-24,189.522,18.217,0.042,4.438,207.739,11.333,27.417,16.083,
2011-09-25,191.833,17.458,0.292,6.666,209.292,8.5,23.208,14.708,
2011-09-26,191.091,19.273,0.458,10.312,210.364,15.522,41.435,25.913,
2011-09-27,190.25,20.875,0.458,12.917,211.125,13.833,30.292,16.458,
2011-09-28,190.391,19.13,0.708,17.354,209.522,14.917,36.542,21.625,
2011-09-29,186.043,17.609,0.417,12.729,203.652,14.875,33.0,18.125,
2011-09-30,185.125,19.5,0.458,13.916,204.625,17.125,39.958,22.833,
2011-10-01,185.083,13.292,0.0,5.062,198.375,10.292,18.208,7.917,
2011-10-02,186.583,11.542,0.125,6.334,198.125,10.125,21.458,11.333,
2011-10-03,186.917,11.458,0.0,4.958,198.375,12.25,24.792,12.542,
2011-10-04,190.917,15.875,0.083,10.5,206.792,14.333,36.042,21.708,
2011-10-05,186.318,14.864,0.727,14.168,201.182,17.478,42.478,25.0,
2011-10-06,181.75,19.0,0.167,6.792,200.75,18.583,36.708,18.125,
2011-10-07,182.958,15.417,0.5,15.544,198.375,14.0,23.958,9.958,
2011-10-08,188.667,16.792,0.292,20.625,205.458,14.833,34.667,19.833,
2011-10-09,190.167,15.917,0.417,23.062,206.083,11.042,25.125,14.083,
2011-10-10,186.696,17.304,0.542,31.562,204.0,13.783,26.783,13.0,
2011-10-11,186.15,16.75,0.292,20.854,202.9,16.5,36.792,20.292,
2011-10-12,188.182,16.545,0.083,19.52,204.727,18.667,46.25,27.583,
2011-10-13,188.783,21.13,0.667,26.584,209.913,20.625,54.0,33.375,
2011-10-14,187.522,17.826,1.625,40.812,205.348,17.458,32.042,14.583,
2011-10-15,179.913,21.043,0.667,19.521,200.957,15.292,36.083,20.792,
2011-10-16,178.913,18.391,0.417,15.188,197.304,12.417,23.75,11.333,
2011-10-17,183.913,18.826,0.542,19.208,202.739,17.75,42.75,25.0,
2011-10-18,183.391,13.478,0.042,8.125,196.87,13.625,30.792,17.167,
2011-10-19,188.739,15.304,0.542,13.763,204.043,16.167,50.25,34.083,
2011-10-20,187.458,16.625,0.458,13.084,204.083,12.958,45.583,32.625,
2011-10-21,185.958,18.917,0.375,14.875,204.875,14.083,43.958,29.875,
2011-10-22,182.542,23.25,0.167,21.208,205.792,17.875,48.25,30.375,
2011-10-23,174.25,17.292,0.292,16.5,191.542,8.333,17.083,8.75,
2011-10-24,179.783,14.217,0.208,4.833,194.0,16.478,42.174,25.696,
2011-10-25,180.875,14.083,0.125,8.384,194.958,11.833,29.708,17.875,
2011-10-26,184.0,11.417,0.0,7.334,195.417,11.375,24.5,13.125,
2011-10-27,184.682,13.045,0.292,14.25,197.727,17.75,36.125,18.375,
2011-10-28,187.583,14.833,0.75,18.896,202.417,21.375,53.333,31.958,
2011-10-29,184.583,14.708,0.417,20.979,199.292,14.583,37.958,23.375,
2011-10-30,188.792,16.125,0.208,25.75,204.917,12.792,32.792,20.0,
2011-10-31,183.542,16.75,0.542,17.931,200.292,17.458,37.458,20.0,
2011-11-01,185.417,17.125,0.75,18.375,202.542,16.5,45.917,29.417,
2011-11-02,185.875,18.375,0.625,26.958,204.25,17.458,52.292,34.833,
2011-11-03,182.375,15.583,0.5,21.875,197.958,13.917,34.542,20.625,
2011-11-04,183.833,21.375,0.75,26.084,205.208,18.292,49.25,30.958,
2011-11-05,187.583,17.542,0.792,49.771,205.125,19.542,42.292,22.75,
2011-11-06,187.208,16.167,0.375,40.812,203.375,15.917,33.292,17.375,
2011-11-07,181.25,11.417,0.25,7.271,192.667,15.652,33.0,17.348,
2011-11-08,182.917,11.167,0.125,5.146,194.083,13.792,27.458,13.667,
2011-11-09,187.0,17.136,0.409,8.05,204.136,18.304,48.957,30.652,
2011-11-10,184.652,16.826,0.375,11.0,201.478,16.167,55.292,39.125,
2011-11-11,189.792,14.042,0.708,17.292,203.833,20.333,70.542,50.208,
2011-11-12,183.625,13.083,0.625,22.531,196.708,20.292,41.25,20.958,
2011-11-13,182.75,13.958,0.375,19.916,196.708,16.167,39.792,23.625,
2011-11-14,183.625,12.208,0.917,21.01,195.833,17.5,41.292,23.792,
2011-11-15,185.708,8.708,0.632,8.99,194.417,14.833,36.25,21.417,
2011-11-16,187.875,7.625,0.391,6.671,195.5,17.208,33.0,15.792,
2011-11-17,188.25,8.417,0.792,9.25,196.667,17.167,34.917,17.75,
2011-11-18,189.5,14.583,1.417,19.342,204.083,23.708,71.0,47.292,
2011-11-19,189.833,18.292,1.333,39.834,208.125,22.167,66.333,44.167,
2011-11-20,183.458,10.917,0.708,16.688,194.375,10.625,21.25,10.625,
2011-11-21,187.583,7.667,0.625,6.062,195.25,12.333,23.111,10.778,
2011-11-22,188.522,9.826,1.042,8.208,198.348,,,,
2011-11-23,189.125,8.542,1.0,11.396,197.667,,,,
2011-11-24,189.087,11.304,0.792,7.996,200.391,,,,
2011-11-25,191.522,6.435,0.417,6.104,197.957,,,,
2011-11-26,194.542,11.125,0.875,12.75,205.667,,,,
2011-11-27,196.667,14.208,1.083,19.542,210.875,,,,
2011-11-28,198.917,31.542,2.25,42.625,230.458,,,,
2011-11-29,198.875,26.208,1.478,44.854,225.083,,,,
2011-11-30,194.167,10.542,0.875,15.521,204.708,,,,
2011-12-01,194.208,9.542,0.667,6.5,203.75,,,,
2011-12-02,196.125,10.5,1.333,9.938,206.625,22.429,44.571,22.143,
2011-12-03,192.625,10.292,0.917,9.0,202.917,18.0,37.652,19.652,
2011-12-04,190.042,4.958,0.625,6.166,195.0,5.0,8.958,3.958,
2011-12-05,194.333,6.75,0.958,9.75,201.083,9.875,19.917,10.042,
2011-12-06,196.083,14.875,1.5,19.562,210.958,28.542,63.833,35.292,
2011-12-07,196.409,15.045,2.375,23.044,211.455,22.826,65.13,42.304,
2011-12-08,190.913,12.435,1.5,14.396,203.348,20.083,41.042,20.958,
2011-12-09,190.708,13.208,1.083,13.188,203.917,21.0,46.792,25.792,
2011-12-10,191.875,15.125,1.375,14.292,207.0,20.958,63.0,42.042,
2011-12-11,190.458,9.792,1.0,9.542,200.25,11.333,23.167,11.833,
2011-12-12,191.458,10.417,1.417,9.708,201.875,20.417,40.417,20.0,
2011-12-13,192.125,12.458,1.043,9.271,204.583,18.0,38.25,20.25,
2011-12-14,193.208,23.875,2.833,17.084,217.083,24.75,79.292,54.542,
2011-12-15,191.75,13.917,1.583,16.688,205.667,19.542,53.792,34.25,
2011-12-16,190.792,11.167,1.0,7.312,201.958,22.292,50.583,28.292,
2011-12-17,191.458,12.708,1.0,6.771,204.167,21.87,42.435,20.565,
2011-12-18,191.042,12.708,0.958,8.208,203.75,18.292,37.75,19.458,
2011-12-19,191.75,11.458,1.5,8.938,203.208,23.833,53.792,29.958,
2011-12-20,191.542,10.792,0.833,7.229,202.333,21.542,40.625,19.083,
2011-12-21,193.583,13.958,1.25,15.792,207.542,26.667,69.083,42.417,
