date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-27,20.178,32.714,12.536,,6.281,,6.889,193.0,15.625,208.625
2011-01-28,17.649,27.048,9.399,,7.594,,6.389,192.667,10.458,203.125
2011-01-29,14.583,22.274,7.69,,5.698,,4.903,192.625,10.625,203.25
2011-01-30,15.321,25.792,10.47,,6.406,,5.736,192.19,12.048,204.238
2011-01-31,16.991,26.736,9.745,,5.386,,6.028,189.667,11.667,201.333
2011-02-01,10.632,15.132,4.5,,5.688,,5.222,190.208,9.208,199.417
2011-02-02,7.062,9.986,2.924,,4.011,,3.931,188.958,5.458,194.417
2011-02-03,15.111,23.042,7.931,,4.167,,5.944,190.708,12.083,202.792
2011-02-04,9.757,12.854,3.097,,6.646,,4.542,190.125,6.167,196.292
2011-02-05,16.972,22.5,5.528,,6.76,,6.917,194.458,12.75,207.208
2011-02-06,23.264,34.167,10.903,,5.604,,8.02,190.714,13.857,204.571
2011-02-07,18.654,26.577,7.922,,5.307,,6.458,188.292,9.833,198.125
2011-02-08,7.347,10.084,2.736,,4.864,,4.097,187.0,5.042,192.042
2011-02-09,9.375,12.542,3.167,,4.927,,4.389,188.458,6.0,194.458
2011-02-10,15.736,23.75,8.014,,6.052,,5.611,189.25,10.458,199.708
2011-02-11,11.097,16.312,5.215,,4.271,,4.32,189.25,8.167,197.417
2011-02-12,12.354,15.986,3.632,,5.073,,4.889,189.792,6.625,196.417
2011-02-13,20.784,27.862,7.077,,3.729,,7.15,189.667,20.952,210.619
2011-02-14,28.499,52.388,23.889,,4.656,,7.625,188.208,15.5,203.708
2011-02-15,23.729,37.979,14.25,,5.958,,6.889,188.458,15.917,204.375
2011-02-16,12.187,17.188,5.0,,4.635,,5.014,186.292,8.167,194.458
2011-02-17,9.792,13.988,4.196,,4.927,,4.181,186.75,4.458,191.208
2011-02-18,11.952,17.946,5.994,,3.906,,4.778,188.917,6.125,195.042
2011-02-19,10.262,14.827,4.565,,3.25,,4.375,189.042,5.667,194.708
2011-02-20,20.053,31.964,11.911,,6.438,,6.295,190.85,15.45,206.3
2011-02-21,33.149,62.125,28.976,,8.771,,6.833,192.708,19.542,212.25
2011-02-22,27.143,39.53,12.387,,4.614,,6.194,190.708,19.917,210.625
2011-02-23,21.494,36.024,14.53,,4.864,,5.847,189.958,16.542,206.5
2011-02-24,15.423,22.845,7.423,,6.396,,5.597,190.417,13.167,203.583
2011-02-25,20.036,30.125,10.089,,6.062,,5.681,189.087,12.043,201.13
2011-02-26,8.696,11.345,2.649,,3.573,,3.528,188.208,5.667,193.875
2011-02-27,14.482,23.929,9.446,,3.698,,5.208,191.545,14.545,206.091
2011-02-28,15.286,23.893,8.607,,3.656,,5.458,191.087,14.739,205.826
2011-03-01,28.992,49.963,20.97,,6.255,,6.222,189.083,16.75,205.833
2011-03-02,29.036,47.411,18.375,,6.834,,5.542,187.833,13.25,201.083
2011-03-03,11.054,16.107,5.054,,4.219,,4.389,188.917,8.75,197.667
2011-03-04,12.762,18.012,5.25,,2.854,,4.833,190.708,13.333,204.042
2011-03-05,27.417,59.214,31.798,,4.886,,6.972,191.19,19.857,211.048
2011-03-06,19.625,45.619,25.994,,5.375,,6.583,190.583,17.208,207.792
2011-03-07,19.756,30.048,10.292,,6.99,,7.695,193.542,14.583,208.125
2011-03-08,28.178,42.381,14.203,,7.604,,8.903,193.417,15.458,208.875
2011-03-09,22.137,33.887,11.75,,3.677,,8.736,191.625,14.75,206.375
2011-03-10,15.536,25.149,9.613,,4.146,,5.944,192.0,11.333,203.333
2011-03-11,9.25,12.589,3.339,,4.188,,4.667,189.917,7.708,197.625
2011-03-12,8.941,12.524,3.583,,5.136,,4.73,189.545,6.818,196.364
2011-03-13,16.154,23.805,7.65,,5.177,,5.677,190.826,10.174,201.0
2011-03-14,21.387,32.804,11.417,,6.5,,5.347,191.542,14.708,206.25
2011-03-15,15.595,21.192,5.597,,7.135,,5.388,190.917,10.125,201.042
2011-03-16,25.815,35.798,9.982,,4.802,,5.153,190.917,15.25,206.167
2011-03-17,33.339,54.125,20.786,,6.323,,6.694,189.227,17.909,207.136
2011-03-18,21.458,33.631,12.173,,6.854,,6.472,190.5,12.333,202.833
2011-03-19,10.012,14.184,4.173,,4.481,,4.556,188.762,6.429,195.19
2011-03-20,13.583,21.125,7.542,,5.26,,4.764,190.542,7.25,197.792
2011-03-21,15.518,22.0,6.482,,5.452,,4.889,189.833,8.833,198.667
2011-03-22,27.262,40.083,12.821,,8.771,,6.141,191.542,16.75,208.292
2011-03-23,26.238,36.637,10.399,,4.427,,6.139,187.667,13.417,201.083
2011-03-24,7.155,9.464,2.31,,4.781,,5.306,187.708,7.167,194.875
2011-03-25,5.006,6.452,1.447,,4.646,,3.806,189.458,3.917,193.375
2011-03-26,11.892,16.581,4.689,,5.823,,4.972,190.667,7.143,197.81
2011-03-27,18.518,26.147,7.629,,6.021,,5.695,192.167,12.625,204.792
2011-03-28,14.095,18.601,4.506,,7.042,,5.097,189.292,9.0,198.292
2011-03-29,20.435,29.262,8.827,,6.135,,5.778,191.458,14.917,206.375
2011-03-30,24.434,36.982,12.548,,7.198,,5.472,191.0,16.75,207.75
2011-03-31,9.447,12.762,3.315,,4.094,,3.708,185.792,6.292,192.083
2011-04-01,29.16,41.424,12.264,,8.847,,7.236,197.125,21.292,218.417
2011-04-02,19.299,26.25,6.951,,8.319,,5.181,194.292,13.292,207.583
2011-04-03,6.667,9.57,2.903,,3.915,,3.486,192.042,7.625,199.667
2011-04-04,10.264,15.549,5.286,,4.444,,4.473,190.714,12.048,202.762
2011-04-05,19.242,30.419,11.177,,6.07,,5.333,192.042,14.833,206.875
2011-04-06,22.993,34.847,11.854,,8.306,,6.139,192.5,14.667,207.167
2011-04-07,23.757,34.618,10.861,,8.055,,5.0,190.708,14.625,205.333
2011-04-08,34.194,52.0,17.806,,7.431,,4.931,188.792,14.792,203.583
2011-04-09,16.055,24.125,8.069,,7.458,,4.444,187.625,9.333,196.958
2011-04-10,19.694,26.028,6.334,,11.569,,4.903,191.292,9.125,200.417
2011-04-11,14.0,18.951,4.952,,8.12,,5.195,192.286,8.905,201.19
2011-04-12,15.493,21.674,6.181,,6.514,,5.225,191.167,10.708,201.875
2011-04-13,16.174,21.618,5.444,,7.361,,5.292,191.375,13.458,204.833
2011-04-14,24.618,31.014,6.396,,13.806,,6.417,191.625,11.25,202.875
2011-04-15,31.375,42.375,11.0,,10.653,,7.0,191.609,15.696,207.304
2011-04-16,16.0,23.41,7.41,,5.986,,5.666,192.208,11.625,203.833
2011-04-17,9.5,12.729,3.229,,4.431,,4.07,189.917,8.625,198.542
2011-04-18,24.797,36.147,11.35,,4.931,,5.76,191.571,17.524,209.095
2011-04-19,7.217,11.399,4.182,,3.805,,3.861,189.25,7.458,196.708
2011-04-20,12.056,17.618,5.562,,5.222,,4.694,190.708,9.083,199.792
2011-04-21,23.681,35.68,12.0,,6.972,,5.75,193.667,18.417,212.083
2011-04-22,32.118,49.285,17.166,,6.361,,5.958,192.875,18.0,210.875
2011-04-23,20.368,33.792,13.424,,4.944,,5.722,190.542,13.5,204.042
2011-04-24,6.597,8.882,2.285,,4.417,,4.0,190.417,6.417,196.833
2011-04-25,10.166,13.708,3.542,,5.236,,4.566,190.0,13.6,203.6
2011-04-26,30.403,46.597,16.195,,9.917,,5.778,191.542,14.417,205.958
2011-04-27,14.917,21.924,7.007,,5.972,,4.514,186.792,16.458,203.25
2011-04-28,8.896,12.035,3.139,,4.903,,4.445,187.833,8.25,196.083
2011-04-29,13.757,17.618,3.861,,6.25,,4.236,190.167,8.167,198.333
2011-04-30,23.16,30.118,6.958,,8.597,,4.403,191.25,12.708,203.958
2011-05-01,13.806,18.667,4.861,,6.194,,3.583,186.542,7.792,194.333
2011-05-02,20.493,27.055,6.562,,11.25,,5.481,189.714,10.19,199.905
2011-05-03,19.264,26.208,6.945,,6.847,,5.403,191.792,13.333,205.125
2011-05-04,16.174,21.271,5.097,,9.153,,4.917,190.458,9.958,200.417
2011-05-05,12.389,15.653,3.264,,6.764,,4.722,189.792,10.833,200.625
2011-05-06,15.451,21.5,6.048,,5.609,,4.792,191.542,16.125,207.667
2011-05-07,9.542,12.375,2.834,,5.445,,3.528,185.625,10.375,196.0
2011-05-08,12.431,16.389,3.958,,7.569,,3.861,186.667,9.417,196.083
2011-05-09,24.547,33.119,8.572,,10.391,,5.649,189.826,10.609,200.435
2011-05-10,22.428,42.347,19.918,,10.055,,4.805,183.917,14.958,198.875
2011-05-11,14.445,29.84,15.396,,4.847,,5.78,179.583,16.708,196.292
2011-05-12,12.576,24.118,11.542,,4.542,,4.045,178.542,9.583,188.125
2011-05-13,6.687,9.139,2.452,,5.861,,4.042,185.583,9.792,195.375
2011-05-14,6.535,8.708,2.174,,6.681,,3.514,187.875,7.708,195.583
2011-05-15,15.66,20.187,4.528,,10.555,,4.208,191.667,10.625,202.292
2011-05-16,17.632,25.333,7.701,,9.625,,4.478,191.043,14.696,205.739
2011-05-17,12.486,16.035,3.548,,10.528,,4.189,187.917,12.333,200.25
2011-05-18,19.569,26.132,6.562,,10.361,,4.639,190.625,14.667,205.292
2011-05-19,21.465,29.014,7.548,,10.222,,5.208,189.958,14.375,204.333
2011-05-20,15.096,20.825,5.73,,9.167,,4.646,187.417,13.333,200.75
2011-05-21,19.167,28.625,9.458,,9.333,,3.562,184.25,10.75,195.0
2011-05-22,13.458,23.298,9.84,,7.861,,3.25,184.208,8.458,192.667
2011-05-23,8.22,11.41,3.19,,3.417,,4.123,186.455,9.955,196.409
2011-05-24,12.119,17.093,4.974,,3.93,,4.23,186.583,12.375,198.958
2011-05-25,17.241,23.33,6.09,,5.889,,4.354,188.217,11.0,199.217
2011-05-26,14.063,18.521,4.458,,4.68,,4.062,185.208,15.833,201.042
2011-05-27,11.83,15.665,3.835,,3.028,,4.604,184.917,14.417,199.333
2011-05-28,25.264,35.153,9.889,,3.833,,4.73,186.583,20.125,206.708
2011-05-29,16.125,24.59,8.465,,3.472,,3.771,182.375,8.292,190.667
2011-05-30,8.451,11.32,2.868,,4.387,,4.238,184.286,5.952,190.238
2011-05-31,13.986,19.632,5.646,,5.428,,4.604,186.0,13.125,199.125
2011-06-01,25.785,36.292,10.507,,7.306,,4.375,185.75,12.625,198.375
2011-06-02,21.896,30.396,8.5,,6.764,,4.583,186.292,11.042,197.333
2011-06-03,22.972,32.944,9.972,,8.694,,4.979,186.5,10.292,196.792
2011-06-04,23.678,34.516,10.839,,11.139,,4.562,187.792,11.708,199.5
2011-06-05,24.417,37.007,12.59,,11.028,,4.25,187.125,9.958,197.083
2011-06-06,26.891,36.924,10.032,,12.125,,4.942,184.0,8.5,192.5
2011-06-07,21.86,31.425,9.565,,6.972,,4.979,185.875,13.708,199.583
2011-06-08,23.444,31.458,8.014,,7.805,,4.042,183.087,24.0,207.087
2011-06-09,30.417,45.257,14.84,,12.75,,4.375,184.833,15.5,200.333
2011-06-10,27.715,47.514,19.798,,8.194,,5.812,186.5,18.292,204.792
2011-06-11,22.111,32.681,10.569,,5.514,,5.625,184.458,12.125,196.583
2011-06-12,23.465,33.972,10.507,,6.458,,5.292,187.042,12.333,199.375
2011-06-13,12.604,17.347,4.743,,5.514,,5.206,183.524,12.952,196.476
2011-06-14,20.354,25.812,5.458,,8.931,,5.354,187.0,16.917,203.917
2011-06-15,22.111,30.722,8.611,,8.512,,5.792,188.167,29.458,217.625
2011-06-16,17.822,23.272,5.45,,4.236,,5.333,187.25,15.625,202.875
2011-06-17,22.278,30.076,7.798,,8.069,,4.876,184.542,10.417,194.958
2011-06-18,33.312,52.882,19.569,,9.125,,5.5,185.417,11.5,196.917
2011-06-19,21.493,38.215,16.722,,7.403,,5.042,188.333,14.333,202.667
2011-06-20,27.593,46.914,19.32,,6.726,,5.835,183.368,17.105,200.474
2011-06-21,21.216,32.524,11.308,,6.051,,4.979,183.261,13.0,196.261
2011-06-22,24.694,49.465,24.771,,11.375,,5.462,184.583,20.167,204.75
2011-06-23,24.438,50.278,25.84,,13.653,,3.958,179.583,13.208,192.792
2011-06-24,22.111,47.361,25.25,,15.444,,4.188,176.875,12.667,189.542
2011-06-25,20.268,46.759,26.491,,12.583,,3.792,177.792,14.167,191.958
2011-06-26,12.062,26.764,14.702,,6.639,,3.084,176.833,6.417,183.25
2011-06-27,15.865,42.143,26.278,,7.667,,4.163,177.364,20.591,197.955
2011-06-28,24.705,52.748,27.336,,12.827,,4.646,177.783,10.696,188.478
2011-06-29,20.166,41.861,21.694,,13.639,,4.166,178.417,11.75,190.167
2011-06-30,15.361,32.472,17.111,,11.75,,3.542,178.042,13.792,191.833
2011-07-01,16.899,29.738,12.839,,7.354,,3.834,177.917,10.625,188.542
2011-07-02,21.729,32.384,10.654,,8.948,,5.042,182.708,9.708,192.417
2011-07-03,18.351,27.071,8.72,,6.375,,5.0,187.208,12.083,199.292
2011-07-04,17.294,28.019,10.724,,5.575,,4.288,186.632,19.0,205.632
2011-07-05,10.872,14.165,3.293,,4.697,,4.25,188.174,11.217,199.391
2011-07-06,18.298,24.202,5.905,,5.834,,4.486,190.917,14.042,204.958
2011-07-07,17.614,36.297,18.682,,4.154,,5.247,185.292,15.75,201.042
2011-07-08,23.53,55.219,31.689,,8.599,,3.744,179.208,13.958,193.167
2011-07-09,16.057,41.11,25.053,,7.74,,2.944,176.958,8.0,184.958
2011-07-10,11.685,20.199,8.513,,5.538,,2.852,178.0,6.913,184.913
2011-07-11,15.071,31.129,16.059,,6.323,,3.265,176.368,11.421,187.789
2011-07-12,12.762,33.482,20.72,,5.255,,4.236,181.357,12.714,194.071
2011-07-13,14.789,25.881,11.092,,5.448,,3.093,179.125,7.833,186.958
2011-07-14,15.899,29.494,13.594,,6.524,,3.399,177.13,8.696,185.826
2011-07-15,20.354,31.101,10.747,,8.602,,4.073,178.524,7.286,185.81
2011-07-16,19.786,29.958,10.172,,7.375,,3.722,182.5,10.5,193.0
2011-07-17,9.921,16.513,6.592,,4.643,,3.079,179.25,8.625,187.875
2011-07-18,6.059,10.179,4.12,,2.719,,2.945,173.136,18.955,192.091
2011-07-19,3.99,6.483,2.492,,2.104,,2.639,164.75,4.75,169.5
2011-07-20,8.591,14.564,5.973,,2.941,,3.736,,,
2011-07-21,12.863,18.6,5.737,,5.385,,3.894,184.0,7.333,191.333
2011-07-22,15.613,24.827,9.214,,5.771,,4.111,180.25,14.292,194.542
2011-07-23,16.601,22.623,6.022,,6.621,,4.029,182.25,10.292,192.542
2011-07-24,13.376,18.392,5.016,,5.397,,4.113,181.75,9.375,191.125
2011-07-25,14.321,22.964,8.643,,4.354,,5.368,186.857,23.619,210.476
2011-07-26,17.06,28.012,10.952,,5.281,,4.514,184.25,11.167,195.417
2011-07-27,17.052,28.872,11.82,,6.281,,4.917,185.435,19.435,204.87
2011-07-28,14.09,24.443,10.353,,6.421,,4.653,184.208,16.125,200.333
2011-07-29,13.547,21.542,7.994,,7.49,,3.986,176.583,14.458,191.042
2011-07-30,13.139,19.245,6.106,,6.554,,4.295,176.792,10.875,187.667
2011-07-31,17.118,26.33,9.212,,7.259,,4.756,183.727,10.273,194.0
2011-08-01,13.066,19.506,6.44,,4.698,,4.33,183.636,34.545,218.182
2011-08-02,8.97,14.31,5.34,,3.383,,3.694,181.913,14.174,196.087
2011-08-03,7.462,14.536,7.075,,3.106,,3.319,178.792,14.0,192.792
2011-08-04,9.79,15.775,5.985,,3.842,,3.361,176.667,14.5,191.167
2011-08-05,14.75,22.506,7.756,,4.011,,3.75,177.208,17.75,194.958
2011-08-06,12.619,25.393,12.774,,4.656,,2.861,174.292,10.5,184.792
2011-08-07,10.0,19.851,9.851,,4.135,,2.583,175.292,7.0,182.292
2011-08-08,15.815,25.367,9.552,,7.104,,4.381,176.455,13.727,190.182
2011-08-09,14.601,21.31,6.708,,7.26,,3.722,,,
2011-08-10,11.094,17.223,6.129,,6.703,,3.32,,,
2011-08-11,9.792,14.816,5.024,,5.552,,3.069,,,
2011-08-12,13.185,18.917,5.732,,7.042,,3.694,,,
2011-08-13,13.393,20.321,6.929,,6.864,,4.458,,,
2011-08-14,10.083,14.393,4.309,,4.5,,4.25,179.375,38.542,217.917
2011-08-15,7.798,11.994,4.197,,4.042,,3.342,180.818,36.455,217.273
2011-08-16,8.065,11.871,3.806,,4.0,,3.389,180.174,29.609,209.783
2011-08-17,10.775,17.334,6.559,,4.302,,4.0,182.792,34.25,217.042
2011-08-18,10.161,16.452,6.292,,4.771,,3.778,185.875,30.667,216.542
2011-08-19,11.749,16.387,4.638,,5.053,,4.626,187.227,28.136,215.364
2011-08-20,11.796,16.188,4.392,,3.841,,3.792,183.826,26.348,210.174
2011-08-21,10.161,15.47,5.309,,3.136,,4.472,190.333,27.5,217.833
2011-08-22,11.155,16.923,5.768,,3.358,,6.019,192.842,27.895,220.737
2011-08-23,14.161,22.25,8.089,,3.599,,6.57,191.125,23.5,214.625
2011-08-24,13.899,26.506,12.607,,4.396,,4.889,184.292,21.667,205.958
2011-08-25,11.298,21.22,9.923,,3.636,,4.431,183.833,22.208,206.042
2011-08-26,10.375,23.976,13.601,,3.688,,4.472,184.5,21.208,205.708
2011-08-27,10.25,17.625,7.375,,3.635,,4.069,185.625,18.292,203.917
2011-08-28,9.512,13.274,3.762,,3.99,,3.986,185.208,16.375,201.583
2011-08-29,14.351,20.708,6.357,,4.916,,4.424,185.591,21.5,207.091
2011-08-30,16.378,22.546,6.167,,5.604,,5.167,184.0,22.826,206.826
2011-08-31,12.642,18.34,5.698,,5.198,,4.167,179.391,20.13,199.522
2011-09-01,10.536,18.566,8.03,,3.552,,3.917,173.333,20.625,193.958
2011-09-02,4.53,8.018,3.488,,2.552,,3.07,171.875,12.375,184.25
2011-09-03,5.113,8.554,3.44,,1.969,,3.208,172.391,10.87,183.261
2011-09-04,5.143,8.238,3.095,,2.802,,2.958,174.625,9.625,184.25
2011-09-05,7.601,10.893,3.292,,4.198,,3.097,180.0,11.077,191.077
2011-09-06,12.048,17.827,5.78,,5.76,,3.903,188.458,18.542,207.0
2011-09-07,14.25,20.232,5.982,,7.084,,4.847,193.042,21.417,214.458
2011-09-08,12.75,17.69,4.941,,5.094,,4.625,190.75,20.583,211.333
2011-09-09,11.631,18.691,7.06,,3.969,,4.556,189.083,23.833,212.917
2011-09-10,10.077,17.512,7.434,,3.552,,3.833,184.875,15.25,200.125
2011-09-11,5.619,11.774,6.155,,3.042,,3.333,183.625,15.792,199.417
2011-09-12,9.477,15.764,6.288,,3.592,,3.912,182.048,17.857,199.905
2011-09-13,13.186,21.97,8.784,,4.364,,4.306,183.5,16.667,200.167
2011-09-14,13.688,21.505,7.817,,4.145,,4.25,183.542,14.625,198.167
2011-09-15,9.327,17.209,7.881,,3.188,,3.986,182.375,22.542,204.917
2011-09-16,9.631,16.81,7.179,,2.625,,3.819,177.333,13.875,191.208
2011-09-17,9.905,18.56,8.655,,1.938,,4.291,176.25,17.333,193.583
2011-09-18,5.131,11.589,6.458,,2.166,,3.57,177.458,10.5,187.958
2011-09-19,7.262,12.899,5.637,,2.948,,3.389,182.955,9.045,192.0
2011-09-20,11.69,16.893,5.202,,2.313,,4.556,179.789,11.158,190.947
2011-09-21,7.839,10.905,3.065,,3.427,,3.486,178.458,5.917,184.375
2011-09-22,7.744,11.018,3.274,,4.75,,3.5,181.708,7.75,189.458
2011-09-23,10.613,15.589,4.976,,5.5,,3.889,185.75,9.25,195.0
2011-09-24,11.345,16.958,5.613,,4.677,,4.972,189.292,13.667,202.958
2011-09-25,12.333,17.417,5.083,,4.677,,5.055,190.083,12.667,202.75
2011-09-26,17.51,25.136,7.626,,4.229,,5.563,187.818,22.682,210.5
2011-09-27,14.559,23.34,8.781,,4.146,,5.581,189.957,19.261,209.217
2011-09-28,16.617,24.091,7.473,,5.146,,5.403,187.913,12.696,200.609
2011-09-29,13.881,19.131,5.25,,4.584,,5.033,188.143,27.0,215.143
2011-09-30,14.583,21.262,6.679,,4.125,,4.691,184.462,11.923,196.385
2011-10-01,6.893,9.333,2.44,,3.906,,3.333,187.292,3.792,191.083
2011-10-02,8.006,11.488,3.482,,5.312,,3.778,189.583,6.667,196.25
2011-10-03,6.054,8.411,2.357,,4.261,,2.875,185.619,8.238,193.857
2011-10-04,13.274,21.095,7.821,,4.183,,4.583,189.333,20.444,209.778
2011-10-05,20.042,29.714,9.673,,3.146,,5.319,189.214,20.786,210.0
2011-10-06,11.411,15.173,3.762,,4.51,,3.805,187.667,10.25,197.917
2011-10-07,13.0,17.333,4.333,,5.74,,5.352,192.667,15.0,207.667
2011-10-08,15.226,22.542,7.315,,4.49,,6.07,196.333,16.75,213.083
2011-10-09,12.244,16.268,4.024,,5.135,,6.153,198.625,15.75,214.375
2011-10-10,12.363,16.833,4.47,,5.073,,4.703,189.5,15.591,205.091
2011-10-11,20.901,32.245,11.344,,6.802,,7.097,191.87,26.435,218.304
2011-10-12,19.988,30.341,10.352,,7.708,,7.431,191.583,22.042,213.625
2011-10-13,19.839,30.31,10.47,,5.135,,7.111,189.913,29.261,219.174
2011-10-14,15.161,23.345,8.185,,2.958,,5.542,,,
2011-10-15,15.369,23.804,8.434,,3.688,,4.764,,,
2011-10-16,6.107,8.155,2.048,,5.312,,3.667,,,
2011-10-17,11.464,16.214,4.75,,5.646,,3.982,187.75,7.875,195.625
2011-10-18,13.488,20.655,7.167,,4.854,,4.486,190.167,14.542,204.708
2011-10-19,14.315,21.167,6.851,,4.458,,4.306,190.208,17.375,207.583
2011-10-20,17.464,28.548,11.083,,4.771,,5.583,193.25,25.625,218.875
2011-10-21,13.78,18.839,5.06,,4.312,,4.028,188.045,24.864,212.909
2011-10-22,13.089,20.947,7.857,,2.771,,4.611,186.0,19.875,205.875
2011-10-23,10.792,15.429,4.637,,3.677,,3.305,185.583,8.75,194.333
2011-10-24,16.41,29.657,13.247,,4.412,,5.141,187.238,20.19,207.429
2011-10-25,11.12,18.629,7.51,,4.316,,3.792,186.667,8.667,195.333
2011-10-26,8.684,14.333,5.649,,3.469,,3.236,188.125,8.167,196.292
2011-10-27,17.934,30.887,12.952,,3.51,,5.694,193.292,31.542,224.833
2011-10-28,22.024,36.315,14.292,,4.115,,6.514,194.435,32.087,226.522
2011-10-29,18.702,29.75,11.048,,4.031,,5.556,193.833,32.0,225.833
2011-10-30,13.964,20.065,6.101,,2.771,,4.82,191.208,16.708,207.917
2011-10-31,11.601,16.72,5.119,,3.468,,4.78,185.762,14.19,199.952
2011-11-01,18.119,29.268,11.149,,3.708,,6.292,189.409,22.0,211.409
2011-11-02,17.595,25.565,7.97,,3.969,,5.778,187.542,17.792,205.333
2011-11-03,22.917,37.512,14.595,,4.5,,6.361,192.667,24.875,217.542
2011-11-04,20.863,36.012,15.149,,4.719,,7.694,195.458,30.958,226.417
2011-11-05,21.143,40.5,19.357,,3.042,,7.986,195.826,34.087,229.913
2011-11-06,11.934,19.167,7.232,,3.427,,4.569,187.792,12.75,200.542
2011-11-07,10.395,15.217,4.822,,3.823,,4.003,185.762,9.524,195.286
2011-11-08,10.715,18.508,7.792,,3.948,,4.194,188.792,8.958,197.75
2011-11-09,12.256,20.678,8.422,,3.573,,4.375,188.0,11.0,199.0
2011-11-10,14.074,21.998,7.924,,3.312,,4.555,190.304,18.913,209.217
2011-11-11,20.217,40.396,20.179,,3.438,,6.931,190.583,36.5,227.083
2011-11-12,22.399,42.934,20.536,,6.156,,7.778,194.667,29.167,223.833
2011-11-13,13.524,22.0,8.476,,4.729,,5.5,192.417,14.417,206.833
2011-11-14,15.827,23.709,7.881,,6.493,,6.402,191.905,19.524,211.429
2011-11-15,11.673,15.738,4.066,,5.97,,4.486,188.125,6.292,194.417
2011-11-16,19.103,31.828,12.725,,4.25,,5.764,192.304,17.087,209.391
2011-11-17,21.452,35.958,14.506,,4.875,,7.153,194.174,25.739,219.913
2011-11-18,26.655,47.798,21.143,,4.198,,8.833,192.375,25.917,218.292
2011-11-19,23.119,42.958,19.839,,2.438,,6.444,188.083,25.333,213.417
2011-11-20,5.887,7.774,1.887,,4.031,,3.75,187.167,4.958,192.125
2011-11-21,7.387,11.018,3.631,,3.864,,3.656,186.048,4.238,190.286
2011-11-22,18.937,33.704,14.767,,4.75,,5.903,189.042,14.0,203.042
2011-11-23,20.691,36.774,16.083,,5.24,,6.083,189.0,17.75,206.75
2011-11-24,6.083,9.524,3.44,,3.666,,3.806,186.5,4.458,190.958
2011-11-25,16.78,28.137,11.357,,3.875,,5.556,188.792,11.458,200.25
2011-11-26,19.411,35.816,16.405,,3.573,,6.0,189.875,14.375,204.25
2011-11-27,20.119,42.262,22.143,,3.875,,7.153,192.958,18.042,211.0
2011-11-28,25.113,74.446,49.333,,4.448,,11.776,198.857,57.143,256.0
2011-11-29,29.786,87.696,57.911,,7.021,,10.458,195.75,41.375,237.125
2011-11-30,24.095,55.887,31.792,,5.375,,7.667,191.435,30.739,222.273
2011-12-01,9.065,13.345,4.28,,2.9,,3.639,186.542,4.833,191.375
2011-12-02,11.833,16.935,5.101,,2.853,,4.431,186.652,17.87,204.522
2011-12-03,12.589,20.845,8.256,,2.854,,4.069,185.083,9.25,194.333
2011-12-04,10.345,15.059,4.714,,3.823,,3.625,186.875,5.292,192.167
2011-12-05,20.765,41.845,21.08,,4.674,,7.656,192.318,19.045,211.364
2011-12-06,19.771,35.774,16.003,,4.114,,6.514,191.435,19.826,211.261
