date,NO2_mean,NOX_mean,NO_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-17,19.278,35.174,15.896,,91.5,67.75,35.5,9.55,3.727,-0.35,,181.375,2.93,13.375,194.75
2011-01-18,27.646,56.826,29.18,,91.0,72.084,43.5,8.3,3.01,-1.8,,181.708,3.611,16.25,197.958
2011-01-19,28.306,61.465,33.16,,91.0,87.194,79.5,4.7,2.958,1.8,,185.773,4.145,28.727,214.5
2011-01-20,19.582,28.498,8.916,,96.0,94.333,85.0,9.4,6.625,4.4,,179.958,3.139,19.25,199.208
2011-01-21,19.875,28.048,8.174,,96.0,95.958,95.0,7.1,6.325,4.4,,181.333,3.375,20.417,201.75
2011-01-22,13.257,18.363,5.106,,96.0,92.292,65.0,10.5,5.758,2.3,,179.917,2.805,16.167,196.083
2011-01-23,9.74,12.311,2.571,,97.0,89.542,65.0,7.5,4.912,1.8,,181.708,2.764,14.167,195.875
2011-01-24,9.854,13.25,3.396,,96.0,75.833,53.0,4.4,1.708,0.0,,180.875,2.028,9.458,190.333
2011-01-25,11.088,14.196,3.108,,74.0,59.542,35.0,6.0,1.458,-0.8,,184.095,3.135,9.857,193.952
2011-01-26,11.451,14.986,3.535,,92.0,72.667,52.0,4.0,0.929,-1.0,,185.708,2.731,9.083,194.792
2011-01-27,13.889,19.174,5.285,,96.0,80.042,62.0,5.9,1.558,-1.3,,186.333,3.495,11.417,197.75
2011-01-28,12.514,16.861,4.347,,96.0,81.667,53.0,6.6,2.429,-0.8,,185.833,3.514,12.417,198.25
2011-01-29,8.444,12.229,3.785,,96.0,81.25,48.0,4.8,1.575,-1.4,,182.792,2.68,10.333,193.125
2011-01-30,17.131,25.938,8.807,,96.0,86.875,66.0,3.8,1.254,-1.6,,184.083,2.847,12.625,196.708
2011-01-31,16.278,26.604,10.326,,96.0,74.583,38.0,6.5,1.483,-2.0,,183.25,2.361,10.167,193.417
2011-02-01,17.935,30.053,12.118,,97.0,71.792,43.0,5.8,1.696,-2.7,,186.091,2.922,14.727,200.818
2011-02-02,7.841,10.031,2.19,,83.0,71.417,59.0,1.2,-0.908,-2.8,,183.333,2.404,8.292,191.625
2011-02-03,15.5,20.785,5.285,,96.0,70.375,33.0,5.7,-0.067,-4.3,,185.5,3.333,10.708,196.208
2011-02-04,14.07,17.771,3.701,,91.0,62.375,33.0,8.7,3.525,-0.4,,184.958,3.458,11.875,196.833
2011-02-05,12.602,14.967,2.366,,96.0,70.917,40.0,8.1,4.204,-1.0,,186.042,3.945,12.458,198.5
2011-02-06,22.994,34.994,12.0,,96.0,93.646,91.0,6.2,5.21,4.0,,185.292,5.167,18.917,204.208
2011-02-07,17.466,28.716,11.25,,96.5,81.812,61.5,9.7,7.021,4.35,,184.5,4.514,18.625,203.125
2011-02-08,9.118,11.701,2.584,,86.5,64.146,45.0,4.55,1.883,-0.95,,183.5,2.335,9.955,193.455
2011-02-09,13.551,19.714,6.162,,77.5,58.584,40.5,4.6,0.692,-2.6,,185.0,3.129,9.667,194.667
2011-02-10,14.271,20.528,6.257,,81.0,63.48,37.0,6.8,2.512,-0.75,,185.292,2.944,12.792,198.083
2011-02-11,7.618,9.639,2.021,,90.5,69.708,42.5,6.65,2.815,-1.1,,184.0,2.917,9.167,193.167
2011-02-12,8.922,12.077,3.155,,86.5,70.688,48.5,5.9,2.138,-1.0,,184.583,3.333,9.125,193.708
2011-02-13,23.224,36.492,13.268,,95.0,86.021,64.0,4.25,2.196,0.6,,185.625,4.097,13.375,199.0
2011-02-14,25.445,42.632,17.188,,95.0,94.062,92.0,5.9,4.517,3.1,,185.042,4.597,21.667,206.708
2011-02-15,21.18,34.799,13.618,,96.0,84.646,64.0,6.1,3.912,2.3,,185.455,4.191,17.773,203.227
2011-02-16,16.674,22.896,6.222,,86.0,63.604,36.5,8.05,3.635,0.8,,181.0,3.084,12.696,193.696
2011-02-17,8.318,10.54,2.223,,89.5,63.958,48.0,5.65,2.446,-0.9,,181.708,2.766,10.208,191.917
2011-02-18,11.305,15.986,4.681,,95.0,87.083,69.5,1.5,-0.56,-2.55,,183.0,2.764,9.458,192.458
2011-02-19,13.868,19.618,5.75,,93.0,80.479,54.0,4.3,-0.096,-4.15,,184.333,3.097,9.542,193.875
2011-02-20,19.72,32.243,12.522,,92.5,75.708,42.5,7.5,2.2,-2.1,,185.583,3.264,13.125,198.708
2011-02-21,32.013,59.121,27.109,,94.5,79.417,56.0,6.55,3.167,-1.1,,186.625,4.777,20.0,206.625
2011-02-22,25.035,39.187,14.153,,96.5,78.312,45.5,9.9,6.685,2.05,,184.182,4.278,20.136,204.318
2011-02-23,16.674,23.611,6.938,,96.5,86.146,61.0,11.75,8.983,7.35,,182.417,4.152,18.667,201.083
2011-02-24,14.43,20.938,6.507,,87.5,63.104,40.0,11.8,7.602,4.25,,183.792,4.072,14.208,198.0
2011-02-25,20.09,27.944,7.854,,92.0,87.104,77.0,6.85,5.533,3.15,,183.458,4.375,16.792,200.25
2011-02-26,8.299,11.919,3.62,,93.0,70.334,50.5,5.3,3.112,-0.2,,180.667,2.903,12.292,192.958
2011-02-27,12.375,18.472,6.097,,90.5,74.438,52.5,4.0,1.117,-1.05,,182.875,2.722,9.542,192.417
2011-02-28,17.486,28.091,10.604,,85.0,60.166,35.5,6.95,2.823,-2.5,,183.292,3.057,11.292,194.583
2011-03-01,22.958,41.604,18.646,,94.5,78.416,52.0,13.7,7.44,1.7,,181.875,3.167,17.0,198.875
2011-03-02,24.708,43.25,18.542,,97.5,92.27,78.5,9.6,8.135,6.85,,183.333,3.639,21.833,205.167
2011-03-03,10.604,13.847,3.243,,85.0,61.708,34.0,12.2,7.865,3.85,,181.917,2.708,12.792,194.708
2011-03-04,12.336,15.381,3.045,,95.0,87.104,67.5,8.1,5.206,1.45,,183.792,3.274,13.375,197.167
2011-03-05,19.579,26.578,6.998,,96.5,95.125,92.5,11.05,9.435,8.0,,182.542,3.903,18.583,201.125
2011-03-06,24.977,38.762,13.784,,97.0,89.958,67.0,17.0,11.762,8.45,,186.0,5.203,22.583,208.583
2011-03-07,19.056,29.09,10.035,,93.5,72.416,51.5,11.45,9.115,5.35,,186.955,5.389,17.455,204.409
2011-03-08,21.979,32.423,10.444,,91.0,69.812,45.5,13.0,8.129,3.65,,187.542,5.708,17.375,204.917
2011-03-09,18.688,23.215,4.528,,94.5,88.834,76.0,7.65,6.102,5.15,,184.0,4.403,16.125,200.125
2011-03-10,9.576,11.854,2.278,,94.5,68.354,45.5,10.5,7.05,4.5,,183.75,3.361,12.375,196.125
2011-03-11,5.851,6.464,0.613,,84.5,63.354,36.0,9.85,4.744,0.95,,183.792,2.653,9.083,192.875
2011-03-12,9.218,11.49,2.273,,94.0,78.666,50.0,5.95,1.983,-0.05,,184.833,2.681,8.417,193.25
2011-03-13,15.211,22.232,7.021,,93.5,72.25,43.5,7.05,2.323,-0.25,,184.708,2.861,9.958,194.667
2011-03-14,24.621,37.586,12.964,,90.0,66.667,39.0,9.45,3.696,-1.45,,182.864,3.259,13.955,196.818
2011-03-15,18.57,28.542,9.972,,91.5,64.666,31.0,9.65,4.604,0.55,,183.417,3.667,14.917,198.333
2011-03-16,20.028,28.597,8.569,,87.5,66.062,30.5,12.4,6.55,-0.25,,184.0,3.291,13.875,197.875
2011-03-17,20.535,28.167,7.632,,96.5,94.208,85.5,10.9,9.735,8.45,,182.875,4.125,18.542,201.417
2011-03-18,19.5,30.097,10.597,,97.0,92.416,80.5,11.95,10.402,8.15,,186.583,5.431,19.833,206.417
2011-03-19,9.657,14.085,4.428,,89.5,64.958,41.0,8.7,5.375,0.75,,181.417,2.472,8.708,190.125
2011-03-20,13.743,19.694,5.952,,90.5,65.438,34.5,11.9,5.227,-1.05,,181.0,2.597,11.083,192.083
2011-03-21,13.489,18.787,5.299,,92.0,59.354,26.5,10.75,5.44,1.0,,182.136,2.586,11.136,193.273
2011-03-22,26.236,40.396,14.16,,91.0,69.416,46.0,12.2,7.094,0.45,,185.167,3.556,15.25,200.417
2011-03-23,21.66,31.343,9.682,,97.5,93.416,85.5,9.3,8.16,6.75,,179.625,3.678,18.75,198.375
2011-03-24,11.868,14.437,2.57,,96.5,80.729,56.0,11.25,8.875,5.4,,178.875,3.861,14.708,193.583
2011-03-25,4.212,4.698,0.486,,89.5,69.958,45.5,8.6,5.048,2.95,,181.917,3.028,9.417,191.333
2011-03-26,9.488,11.939,2.451,,90.0,68.25,42.0,8.3,4.696,1.5,,183.875,2.653,10.042,193.917
2011-03-27,20.181,25.57,5.389,,88.5,66.146,35.0,13.25,7.077,1.0,,187.708,3.5,12.542,200.25
2011-03-28,22.391,31.408,9.018,,93.5,69.021,37.0,15.15,8.175,3.15,,186.182,4.028,14.591,200.773
2011-03-29,22.363,34.615,12.252,,89.5,52.542,12.0,17.85,9.242,2.45,,185.045,3.267,14.0,199.045
2011-03-30,23.25,35.59,12.34,,81.0,59.916,39.5,19.8,12.819,4.7,,184.25,2.847,18.083,202.333
2011-03-31,9.389,11.0,1.611,,96.0,81.354,55.5,14.55,9.188,2.6,,180.458,2.111,11.458,191.917
2011-04-01,24.5,34.43,9.93,,96.0,54.958,9.0,19.4,11.158,2.8,,187.833,3.264,14.667,202.5
2011-04-02,18.583,25.958,7.375,,96.0,65.708,29.0,18.9,10.746,5.9,,188.042,3.805,11.632,199.684
2011-04-03,8.251,10.877,2.626,,92.0,57.417,33.0,10.8,5.746,2.0,,186.526,2.509,6.917,193.053
2011-04-04,13.672,20.056,6.384,,96.0,60.5,15.0,14.3,6.325,0.5,,185.875,2.68,6.375,192.25
2011-04-05,21.748,31.58,9.833,,96.0,63.333,28.0,16.6,8.15,0.9,,189.042,2.984,11.083,200.125
2011-04-06,23.196,31.096,7.899,,97.0,53.667,12.0,20.1,11.621,3.5,,188.955,2.931,15.591,204.545
2011-04-07,24.281,33.732,9.451,,96.0,66.708,39.0,21.7,14.338,7.8,,188.739,2.899,18.043,206.783
2011-04-08,24.104,34.604,10.5,,96.0,91.917,66.0,15.3,12.742,10.1,,178.792,2.944,16.0,194.792
2011-04-09,14.507,20.66,6.152,,96.0,85.042,53.0,17.0,13.067,10.2,,185.333,3.167,14.625,199.958
2011-04-10,13.694,16.889,3.194,,97.0,60.333,23.0,21.2,12.629,5.7,,187.667,3.597,10.375,198.042
2011-04-11,18.376,25.116,6.739,,96.0,63.375,28.0,18.9,10.475,4.8,,188.833,3.458,13.75,202.583
2011-04-12,15.472,21.514,6.041,,91.0,55.708,19.0,16.5,9.342,3.9,,186.042,2.444,8.042,194.083
2011-04-13,23.653,32.708,9.056,,97.0,56.0,21.0,20.4,12.292,4.6,,187.4,3.271,17.0,204.4
2011-04-14,23.344,31.368,8.024,,96.0,58.917,25.0,22.5,15.046,7.2,,186.542,4.048,16.917,203.458
2011-04-15,23.979,30.993,7.014,,96.0,84.625,48.0,19.4,14.146,10.5,,187.875,3.958,18.792,206.667
2011-04-16,11.139,14.66,3.521,,96.0,72.875,43.0,17.4,12.425,5.1,,186.667,3.278,8.833,195.5
2011-04-17,9.236,12.354,3.118,,97.0,64.542,25.0,17.4,10.538,2.7,,185.083,2.833,7.042,192.125
2011-04-18,13.963,20.268,6.305,,96.0,82.292,46.0,20.4,13.383,9.0,,184.455,3.195,11.5,195.955
2011-04-19,15.325,19.661,4.336,,97.0,84.042,39.0,15.0,9.312,6.9,,185.542,3.163,8.375,193.917
2011-04-20,11.25,16.583,5.333,,97.0,84.292,60.0,10.7,8.067,4.8,,186.955,2.458,5.0,191.955
2011-04-21,21.382,32.785,11.403,,97.0,64.292,21.0,20.1,11.733,3.4,,188.45,3.224,13.4,201.85
2011-04-22,28.639,42.507,13.868,,96.0,90.417,71.0,15.2,12.233,10.1,,189.042,4.75,23.333,212.375
2011-04-23,17.979,26.347,8.368,,96.0,96.0,96.0,15.0,11.95,6.7,,184.0,3.722,12.208,196.208
2011-04-24,12.514,16.222,3.708,,97.0,85.167,54.0,13.5,9.171,5.2,,187.042,3.681,9.583,196.625
2011-04-25,16.935,26.297,7.927,,97.0,83.042,45.0,15.6,9.988,5.3,,186.75,2.889,11.958,198.708
2011-04-26,24.6,36.408,9.84,,96.0,74.125,41.0,18.9,12.783,8.3,,187.583,2.75,18.917,206.5
2011-04-27,18.204,30.34,11.971,,97.0,82.958,45.0,25.3,17.758,12.9,,183.208,3.066,16.708,199.917
2011-04-28,14.104,18.201,4.097,,97.0,87.583,50.0,17.3,11.95,7.6,,185.773,3.347,7.5,193.273
2011-04-29,14.424,20.229,5.805,,97.0,76.917,41.0,16.1,10.933,5.4,,189.261,3.561,9.783,199.043
2011-04-30,21.688,30.111,8.423,,96.0,72.042,40.0,23.8,14.671,9.0,,190.875,5.083,18.25,209.125
2011-05-01,14.771,18.896,4.125,,96.0,93.583,80.0,17.4,15.108,13.0,,187.458,3.945,12.5,199.958
2011-05-02,13.477,19.704,6.227,,96.0,63.917,33.0,22.4,15.817,10.0,,187.083,4.324,9.083,196.167
2011-05-03,16.298,20.361,4.062,,96.0,67.875,45.0,17.3,13.788,9.9,,189.417,4.75,12.417,201.833
2011-05-04,11.965,15.209,3.243,,96.0,65.5,39.0,21.9,14.975,8.5,,190.458,4.694,12.292,202.75
2011-05-05,9.91,11.528,1.618,,96.0,64.375,33.0,22.1,15.2,9.7,,185.0,3.703,9.455,194.455
2011-05-06,12.486,17.715,5.229,,96.0,75.917,49.0,22.5,16.95,11.5,,186.208,3.653,10.542,196.75
2011-05-07,8.674,11.188,2.514,,96.0,73.833,42.0,26.0,19.758,16.3,,182.333,2.861,8.292,190.625
2011-05-08,8.847,9.944,1.097,,96.0,70.0,40.0,25.5,19.988,15.1,,183.458,3.292,7.208,190.667
2011-05-09,18.156,22.734,4.578,,90.0,69.417,37.0,28.4,20.325,12.0,,185.208,3.75,12.333,197.542
2011-05-10,15.535,23.389,7.854,,96.0,95.667,92.0,22.6,21.033,19.4,,178.273,2.765,15.682,193.955
2011-05-11,16.542,23.979,7.438,,96.0,96.0,96.0,20.5,17.838,16.8,,181.708,3.097,13.917,195.625
2011-05-12,16.319,25.486,9.167,,96.0,95.292,89.0,20.1,18.342,16.5,,184.091,3.401,17.727,201.818
2011-05-13,13.229,17.909,4.68,,96.0,68.917,27.0,23.4,18.183,11.6,,182.958,3.028,10.333,193.292
2011-05-14,14.882,18.465,3.583,,96.0,52.292,27.0,22.7,17.125,11.0,,185.125,3.611,9.417,194.542
2011-05-15,11.507,14.097,2.59,,96.0,82.833,65.0,12.5,11.117,10.5,,186.333,3.153,8.75,195.083
2011-05-16,19.179,23.666,4.487,,95.0,60.727,40.0,25.1,20.927,16.0,,186.5,3.181,11.667,198.167
2011-05-17,16.924,22.104,5.18,,96.0,88.583,52.0,23.1,15.9,11.3,,186.391,3.457,11.0,197.391
2011-05-18,16.896,23.729,6.834,,96.0,62.125,30.0,25.5,17.325,10.0,,187.083,3.625,11.958,199.042
2011-05-19,20.972,25.958,4.986,,96.0,64.708,39.0,26.9,19.342,11.7,,186.182,3.488,13.273,199.455
2011-05-20,18.611,24.785,6.174,,96.0,69.75,38.0,27.8,20.675,13.4,,184.042,2.986,12.0,196.042
2011-05-21,12.66,17.056,4.396,,96.0,77.0,49.0,28.2,22.617,16.0,,179.75,2.583,11.875,191.625
2011-05-22,8.097,9.847,1.75,,96.0,91.0,61.0,22.9,18.867,13.6,,178.5,2.319,7.792,186.292
2011-05-23,14.51,18.77,4.261,,96.0,95.875,95.0,15.6,14.158,12.6,,181.958,2.583,8.75,190.708
2011-05-24,11.104,14.118,3.014,,96.0,80.792,42.0,22.5,16.65,12.9,,180.792,2.279,6.0,186.792
2011-05-25,17.931,24.667,6.736,,96.0,70.083,37.0,27.0,19.467,13.0,,182.957,2.873,10.957,193.913
2011-05-26,14.292,19.07,4.778,,96.0,81.083,55.0,22.0,18.696,16.4,,181.455,2.486,8.818,190.273
2011-05-27,13.431,18.111,4.681,,96.0,89.625,76.0,21.3,16.492,14.6,,181.292,2.583,8.875,190.167
2011-05-28,13.937,18.563,4.625,,96.0,95.792,95.0,19.0,17.554,15.7,,182.667,3.556,11.625,194.292
2011-05-29,8.688,11.083,2.396,,96.0,95.875,95.0,19.2,18.038,15.9,,179.292,2.875,7.833,187.125
2011-05-30,7.136,8.697,1.561,,96.0,88.833,60.0,19.8,16.592,14.6,,175.375,2.042,3.042,178.417
2011-05-31,11.861,16.202,4.34,,96.0,78.417,45.0,21.6,17.317,12.5,,178.542,2.431,6.208,184.75
2011-06-01,18.083,28.083,10.0,,96.0,95.792,95.0,17.1,15.942,15.0,,176.583,2.611,12.5,189.083
2011-06-02,16.507,27.57,11.062,,96.0,89.542,64.0,22.5,17.396,14.7,,176.833,3.082,11.083,187.917
2011-06-03,15.5,23.278,7.778,,96.0,80.333,48.0,25.9,20.188,16.5,,178.261,3.477,13.913,192.174
2011-06-04,13.16,18.09,4.931,,96.0,74.417,43.0,28.0,22.421,16.6,,176.917,3.472,15.875,192.792
2011-06-05,11.174,12.722,1.549,,96.0,82.583,65.0,24.5,20.962,17.5,,174.333,3.208,10.333,184.667
2011-06-06,16.629,22.859,6.23,,96.0,69.333,37.0,27.8,20.938,14.9,,177.609,3.409,11.292,189.0
2011-06-07,20.771,28.514,7.743,,96.0,77.958,51.0,26.2,20.746,17.7,,179.083,3.32,13.708,192.792
2011-06-08,15.722,19.576,3.854,,96.0,77.333,45.0,27.3,22.083,17.9,,174.875,2.583,12.333,187.208
2011-06-09,15.507,19.792,4.285,,96.0,80.042,54.0,26.9,23.229,19.9,,179.083,3.014,14.208,193.292
2011-06-10,20.583,26.618,6.035,,96.0,89.167,69.0,25.4,22.433,20.4,,180.292,3.375,17.458,197.75
2011-06-11,12.708,16.097,3.389,,96.0,88.833,64.0,24.3,20.825,17.7,,179.917,3.208,11.292,191.208
2011-06-12,10.389,12.625,2.236,,96.0,88.625,65.0,23.1,19.146,16.7,,181.375,3.736,10.625,192.0
2011-06-13,13.723,16.766,3.042,,96.0,84.417,51.0,25.7,20.567,16.5,,179.417,3.264,10.25,189.667
2011-06-14,14.868,22.069,7.201,,96.0,75.167,39.0,26.8,21.012,16.1,,180.208,3.055,9.042,189.25
2011-06-15,17.875,27.868,9.993,,96.0,71.708,38.0,25.5,20.554,15.0,,183.043,3.028,10.696,193.739
2011-06-16,16.958,24.708,7.75,,96.0,94.583,85.0,21.2,18.871,17.4,,180.4,3.217,14.8,195.2
2011-06-17,13.25,17.688,4.437,,96.0,85.875,64.0,24.9,21.296,17.6,,180.833,3.32,13.792,194.625
2011-06-18,13.569,18.785,5.215,,96.0,95.125,90.0,22.1,20.95,20.1,,184.917,3.847,15.125,200.042
2011-06-19,10.062,13.298,3.236,,96.0,90.042,69.0,25.3,22.004,19.9,,184.375,3.736,11.958,196.333
2011-06-20,16.599,26.417,9.818,,96.0,95.25,93.0,23.7,21.446,19.8,,181.208,3.25,16.583,197.792
2011-06-21,15.729,24.784,9.056,,96.0,82.792,54.0,29.6,24.725,20.9,,175.958,2.75,14.583,190.542
2011-06-22,16.944,27.195,10.25,,95.0,84.458,65.0,30.0,25.95,22.2,,176.0,3.153,18.5,194.5
2011-06-23,10.132,18.153,8.021,,96.0,83.375,53.0,32.3,27.492,24.5,,171.4,2.246,11.421,182.526
2011-06-24,8.976,15.486,6.51,,95.0,79.917,52.0,32.7,28.292,24.9,,170.583,1.866,10.5,181.083
2011-06-25,7.195,12.111,4.917,,95.0,75.125,43.0,34.7,29.296,24.9,,171.083,2.222,9.292,180.375
2011-06-26,7.034,11.826,4.792,,95.0,82.542,53.0,32.3,27.458,24.2,,177.75,2.208,10.917,188.667
2011-06-27,7.251,14.296,7.106,,95.0,75.0,55.0,31.7,28.362,24.6,,172.125,1.611,11.5,183.625
2011-06-28,10.09,18.271,8.18,,95.0,72.667,42.0,34.3,29.412,25.2,,170.458,1.986,10.708,181.167
2011-06-29,11.804,23.243,11.438,,95.0,75.125,45.0,33.4,28.283,23.2,,173.167,2.431,11.292,184.458
2011-06-30,15.951,26.222,10.271,,85.5,74.896,53.0,32.8,28.517,25.25,,175.478,2.556,14.727,190.182
2011-07-01,18.026,29.157,11.131,,90.0,83.292,63.5,29.65,26.279,24.45,,173.591,2.437,15.273,188.864
2011-07-02,11.222,15.82,4.597,,91.5,78.625,54.5,31.05,27.058,24.15,,176.75,2.445,18.125,194.875
2011-07-03,10.882,13.014,2.132,,90.5,78.208,57.0,31.35,27.452,23.55,,178.208,2.958,11.875,190.083
2011-07-04,13.83,20.42,6.59,,93.5,81.125,63.0,31.05,27.49,23.3,,175.667,2.333,12.125,187.792
2011-07-05,13.632,19.222,5.59,,94.5,79.312,50.0,30.5,25.729,22.15,,182.583,2.444,9.458,192.042
2011-07-06,16.056,21.658,5.602,,95.5,80.438,52.0,31.05,25.427,21.45,,186.292,2.986,13.0,199.292
2011-07-07,12.575,24.048,11.474,,95.5,94.312,92.5,24.9,23.89,22.85,,173.833,1.931,11.25,185.083
2011-07-08,10.736,24.062,13.326,,96.0,76.166,52.5,34.4,28.81,23.85,,173.091,2.238,13.864,186.955
2011-07-09,8.937,19.097,10.16,,92.0,68.312,38.5,35.9,29.852,25.45,,171.75,2.403,10.708,182.458
2011-07-10,8.736,14.375,5.639,,90.5,69.52,47.0,34.8,29.419,24.15,,174.958,2.597,13.083,188.042
2011-07-11,8.589,17.23,8.641,,91.5,76.708,47.5,34.45,28.375,24.95,,172.542,2.07,10.792,183.333
2011-07-12,11.979,25.549,13.569,,92.5,83.271,61.5,30.4,27.167,24.45,,174.833,2.46,18.042,192.875
2011-07-13,11.335,21.472,10.136,,91.5,69.188,42.0,34.8,28.771,23.2,,173.792,2.278,11.75,185.542
2011-07-14,11.934,20.208,8.274,,89.5,65.562,41.0,34.45,28.96,23.6,,173.75,1.982,9.917,183.667
2011-07-15,15.299,22.736,7.438,,87.5,67.5,40.0,34.5,28.879,23.45,,175.136,2.222,10.636,185.773
2011-07-16,15.292,21.812,6.521,,91.5,68.604,38.0,35.35,29.358,24.45,,176.667,2.458,14.417,191.083
2011-07-17,6.327,10.82,4.493,,88.0,72.208,48.5,34.35,29.038,24.5,,173.375,1.694,7.208,180.583
2011-07-18,5.393,11.279,5.886,,96.5,91.48,86.5,28.1,26.56,24.6,,170.875,1.82,7.75,178.625
2011-07-19,3.035,7.16,4.125,,95.0,91.458,87.0,27.0,25.642,23.75,,168.542,1.514,7.708,176.25
2011-07-20,7.07,12.722,5.653,,93.5,85.375,63.0,30.75,27.171,25.35,,168.583,1.937,7.75,176.333
2011-07-21,10.417,15.757,5.34,,92.0,86.188,75.5,27.3,25.602,23.25,,173.292,1.999,8.708,182.0
2011-07-22,12.296,20.233,7.937,,95.5,88.188,71.5,26.05,23.808,22.2,,178.682,2.25,10.818,189.5
2011-07-23,9.694,16.236,6.542,,91.5,75.583,54.0,30.2,25.642,21.7,,178.417,2.236,11.625,190.042
2011-07-24,9.288,12.287,3.0,,91.0,75.666,54.5,30.15,25.542,20.55,,179.542,2.361,9.125,188.667
2011-07-25,10.977,15.141,4.164,,92.5,79.604,51.5,31.35,25.944,22.7,,178.5,2.32,12.458,190.958
2011-07-26,13.306,21.729,8.423,,95.0,76.979,56.5,31.05,27.069,22.95,,179.083,2.408,15.333,194.417
2011-07-27,13.069,23.007,9.938,,92.0,80.333,58.5,31.05,27.233,24.55,,172.625,1.903,12.0,184.625
2011-07-28,11.542,19.708,8.167,,94.5,86.292,66.0,30.85,26.65,24.0,,171.292,2.181,10.75,182.042
2011-07-29,11.136,23.508,12.372,,95.0,81.042,56.0,31.35,26.769,23.1,,177.682,2.109,14.318,192.0
2011-07-30,9.368,16.632,7.264,,94.0,81.375,61.5,31.0,26.583,23.9,,,2.028,,
2011-07-31,9.438,13.486,4.049,,92.0,77.729,43.0,32.5,26.565,22.6,,,2.653,,
2011-08-01,11.546,19.272,7.726,,96.0,79.812,57.5,30.0,25.992,23.3,,183.5,2.555,18.4,201.9
2011-08-02,11.868,18.951,7.083,,90.0,79.604,62.0,29.55,26.156,24.2,,183.333,2.25,14.583,197.917
2011-08-03,9.833,19.924,10.09,,92.5,74.042,46.0,32.75,27.675,24.1,,178.333,1.583,14.875,193.208
2011-08-04,9.896,21.729,11.833,,92.0,71.188,41.5,33.2,28.188,23.75,,178.958,1.581,16.708,195.667
2011-08-05,10.611,21.535,10.924,,94.5,86.354,71.5,29.55,26.577,24.6,,177.652,1.94,12.087,189.739
2011-08-06,8.132,17.972,9.84,,95.0,71.938,43.5,35.2,28.912,24.0,,175.5,2.194,11.167,186.667
2011-08-07,8.222,12.667,4.444,,89.0,70.062,45.0,34.8,29.481,24.45,,173.542,2.389,11.333,184.875
2011-08-08,13.624,20.985,7.362,,89.0,69.417,43.5,36.05,30.033,25.0,,174.818,2.722,14.773,189.591
2011-08-09,16.111,25.118,9.007,,90.5,72.229,44.5,35.9,30.115,25.4,,178.708,3.043,17.708,196.417
2011-08-10,16.854,23.062,6.208,,90.5,70.542,44.5,36.35,30.802,25.75,,176.667,3.442,13.792,190.458
2011-08-11,13.785,21.229,7.444,,94.0,86.0,67.0,31.35,27.794,25.1,,178.25,2.895,11.333,189.583
2011-08-12,11.347,17.535,6.188,,94.0,80.667,56.0,33.05,28.027,23.8,,179.75,2.764,11.167,190.917
2011-08-13,8.368,11.236,2.868,,92.0,74.958,48.5,34.75,29.635,25.0,,177.667,2.792,10.542,188.208
