date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-02-18,193.208,85.0,70.375,53.0,1.792,11.052,15.219,4.167,7.625,1.0,0.608,3.7,0.462,-2.4,195.0,3.375
2011-02-19,196.125,87.0,68.625,41.0,1.792,11.672,14.589,2.917,9.812,0.0,1.142,7.1,1.638,-4.3,197.917,3.542
2011-02-20,195.792,91.0,64.667,33.0,4.625,22.229,33.078,10.849,12.604,0.0,2.041,9.4,2.625,-4.0,200.417,4.625
2011-02-21,195.875,82.0,68.792,49.0,10.458,32.522,53.188,20.667,31.292,0.0,4.192,8.6,4.033,-1.9,206.333,5.917
2011-02-22,194.042,90.0,74.292,47.0,8.25,24.214,31.109,6.896,25.542,11.0,2.192,11.9,7.354,3.0,202.292,4.417
2011-02-23,190.783,91.0,77.167,51.0,6.783,22.529,37.833,15.304,18.48,17.0,1.748,12.6,9.471,7.3,197.565,5.783
2011-02-24,193.208,66.0,51.458,33.0,0.375,7.08,7.604,0.524,27.042,0.0,1.589,13.7,8.192,4.7,193.583,3.25
2011-02-25,193.083,87.0,77.0,65.0,1.208,15.984,19.547,3.562,23.979,3.0,0.833,9.3,6.433,4.4,194.292,4.083
2011-02-26,193.292,86.0,61.25,41.0,0.333,5.412,5.813,0.401,10.688,0.0,0.35,6.5,4.117,-0.6,193.625,2.5
2011-02-27,196.739,85.0,64.625,39.0,0.652,9.272,11.639,2.367,12.296,0.0,0.3,7.2,1.442,-2.6,197.391,2.375
2011-02-28,197.292,86.0,61.167,37.0,0.833,12.303,14.777,2.474,11.146,0.0,0.667,8.6,2.958,-2.8,198.125,2.333
2011-03-01,194.348,86.0,70.333,49.0,5.391,27.321,36.766,9.445,18.25,0.0,2.722,13.9,8.1,2.1,199.739,4.565
2011-03-02,191.708,90.0,80.625,72.0,10.042,20.754,33.855,13.101,17.562,14.0,1.529,11.9,9.725,7.5,201.75,4.458
2011-03-03,192.667,82.0,63.708,47.0,1.667,6.74,7.708,0.969,17.166,0.0,0.808,12.0,7.817,4.2,194.333,3.0
2011-03-04,193.417,90.0,76.792,54.0,1.125,4.875,5.042,0.167,12.646,13.0,0.65,9.1,6.346,3.0,194.542,2.875
2011-03-05,192.417,91.0,89.208,85.0,7.458,19.823,31.338,11.516,7.792,29.0,1.117,12.9,10.438,7.7,199.875,4.375
2011-03-06,194.417,92.0,79.0,59.0,9.25,25.514,47.944,22.431,18.271,15.0,3.367,16.6,12.054,9.1,203.667,6.917
2011-03-07,195.333,77.0,62.042,49.0,5.0,15.38,19.76,4.38,29.896,0.0,2.367,12.1,10.125,6.3,200.333,5.042
2011-03-08,193.609,78.0,59.5,44.0,2.652,9.278,9.756,0.478,27.98,0.0,1.391,13.3,9.054,4.4,196.261,5.0
2011-03-09,192.958,88.0,77.083,59.0,3.375,10.206,11.755,1.549,21.542,12.0,0.635,8.7,7.208,6.0,196.333,4.667
2011-03-10,192.0,86.0,63.875,43.0,2.333,9.245,10.667,1.422,13.48,0.0,0.375,11.3,7.658,4.0,194.333,3.583
2011-03-11,192.875,85.0,59.917,40.0,2.583,10.438,13.078,2.641,16.271,0.0,1.917,10.8,4.412,-0.3,195.458,4.25
2011-03-12,193.958,73.0,54.875,31.0,1.167,10.387,14.517,4.13,12.161,0.0,1.025,10.0,4.146,0.2,195.125,3.5
2011-03-13,196.75,87.0,64.833,36.0,4.333,17.153,24.402,7.249,11.271,0.0,1.025,8.2,3.388,-1.7,201.083,3.375
2011-03-14,195.833,86.0,57.292,27.0,6.417,23.359,32.49,9.13,14.604,0.0,2.167,11.0,4.858,-1.2,202.25,4.917
2011-03-15,197.0,81.0,58.292,28.0,7.304,17.368,26.656,9.288,19.084,0.0,1.252,12.3,5.712,0.4,204.304,3.609
2011-03-16,194.375,77.0,53.75,28.0,11.583,25.836,30.748,4.912,14.688,0.0,1.629,12.7,6.738,-0.5,205.958,3.792
2011-03-17,192.792,91.0,87.25,79.0,14.917,30.948,38.088,7.14,18.625,19.0,1.575,15.9,11.15,6.6,207.708,5.292
2011-03-18,194.0,92.0,88.292,83.0,11.208,21.776,27.406,5.63,19.25,1.0,2.016,13.2,10.679,6.7,205.208,6.25
2011-03-19,189.083,85.0,60.625,43.0,1.042,5.614,6.344,0.729,4.27,1.0,0.375,11.4,7.421,2.3,190.125,2.333
2011-03-20,190.958,80.0,54.208,21.0,1.833,13.812,17.469,3.656,11.396,0.0,2.208,11.2,6.008,-0.6,192.792,4.25
2011-03-21,190.958,78.0,56.625,37.0,3.667,18.708,23.26,4.552,13.271,0.0,2.008,11.4,7.2,2.4,194.625,3.583
2011-03-22,195.478,81.0,60.75,42.0,9.957,31.989,48.043,16.054,25.188,0.0,5.243,13.8,8.483,1.0,205.435,5.522
2011-03-23,189.458,91.0,84.875,56.0,4.5,17.266,20.428,3.161,11.416,38.0,0.834,11.6,9.133,6.7,193.958,3.375
2011-03-24,190.958,90.0,64.583,44.0,2.125,14.578,18.51,3.932,19.812,2.0,2.933,12.7,9.938,6.3,193.083,5.333
2011-03-25,192.167,65.0,48.292,29.0,0.125,7.745,9.536,1.792,14.48,0.0,1.267,9.8,6.829,3.7,192.292,3.625
2011-03-26,194.083,75.0,56.167,38.0,0.625,13.162,19.156,5.995,12.076,0.0,1.383,9.5,5.833,1.8,194.708,3.667
2011-03-27,196.75,81.0,56.958,34.0,4.292,26.089,35.125,9.036,22.628,0.0,3.567,12.3,7.092,0.7,201.042,4.583
2011-03-28,195.875,84.0,59.0,30.0,6.292,19.969,29.401,9.432,29.292,0.0,2.825,15.4,9.179,3.5,202.167,4.375
2011-03-29,197.261,84.0,50.083,19.0,6.087,26.995,35.609,8.614,23.354,0.0,2.913,17.3,9.621,2.4,203.348,4.652
2011-03-30,190.958,69.0,55.125,41.0,4.542,26.061,35.052,8.991,15.854,0.0,3.61,19.7,13.617,6.0,195.5,3.75
2011-03-31,185.75,84.0,68.25,36.0,1.125,10.995,13.172,2.177,9.375,12.0,1.3,16.4,10.571,3.3,186.875,2.917
2011-04-01,191.625,78.0,45.375,15.0,7.667,25.136,29.69,4.554,28.792,0.0,3.614,19.3,11.671,3.8,199.292,4.458
2011-04-02,191.167,76.0,57.292,36.0,7.833,18.651,22.521,3.87,31.375,0.0,3.4,18.0,10.588,6.3,199.0,4.375
2011-04-03,189.417,60.0,41.75,30.0,0.458,3.136,3.693,0.557,6.667,0.0,0.083,12.9,7.825,4.7,189.875,2.0
2011-04-04,190.375,70.0,39.333,16.0,1.25,7.479,9.693,2.213,8.333,0.0,0.317,15.5,8.554,1.6,191.625,2.167
2011-04-05,191.167,66.0,44.5,28.0,3.542,14.86,19.964,5.104,13.25,0.0,2.15,15.3,9.742,2.7,194.708,3.167
2011-04-06,192.5,76.0,47.75,21.0,8.292,25.414,32.445,7.031,19.917,0.0,4.208,18.9,11.738,3.0,200.792,4.167
2011-04-07,189.304,69.0,56.125,41.0,6.609,24.051,31.179,7.128,13.875,0.0,4.009,20.3,15.208,9.0,195.913,3.0
2011-04-08,186.208,90.0,76.5,59.0,2.0,19.189,25.615,6.426,12.667,13.0,3.16,17.8,15.7,14.2,188.208,2.792
2011-04-09,187.5,91.0,70.875,49.0,2.708,11.166,15.719,4.552,13.375,2.0,1.517,20.0,15.4,11.2,190.208,3.25
2011-04-10,191.042,85.0,50.375,16.0,5.167,15.776,18.646,2.87,26.333,0.0,2.433,19.1,13.4,8.3,196.208,5.292
2011-04-11,194.417,78.0,61.792,32.0,5.75,16.916,22.592,5.676,25.25,2.0,2.784,18.6,10.308,4.9,200.167,4.125
2011-04-12,192.292,83.0,52.083,23.0,7.5,23.576,32.892,9.316,23.5,0.0,1.881,15.8,9.596,2.8,199.792,4.708
2011-04-13,193.304,76.0,48.0,18.0,9.522,29.109,39.504,10.394,27.292,0.0,3.786,19.1,12.292,4.1,202.826,4.652
2011-04-14,192.565,72.0,43.958,16.0,9.913,32.031,39.27,7.239,42.2,0.0,6.756,22.8,14.329,6.3,202.478,6.304
2011-04-15,192.417,84.0,70.542,45.0,8.458,30.491,37.694,7.203,35.375,2.0,2.916,18.8,14.342,10.9,200.875,4.458
2011-04-16,190.208,89.0,62.792,36.0,4.708,13.49,19.99,6.5,27.25,0.0,1.817,19.1,13.467,7.3,194.917,3.708
2011-04-17,190.125,68.0,47.167,30.0,1.292,6.781,8.021,1.24,12.375,0.0,1.325,16.2,11.15,4.3,191.417,2.917
2011-04-18,189.875,90.0,72.75,49.0,4.375,20.301,26.392,6.091,19.542,14.0,1.66,18.2,11.921,7.4,194.25,3.875
2011-04-19,189.708,86.0,69.583,48.0,1.917,13.411,18.967,5.556,9.708,4.0,1.577,14.0,10.429,7.9,191.625,3.864
2011-04-20,190.167,74.0,60.0,38.0,2.25,8.309,10.988,2.685,6.958,0.0,0.432,16.0,11.062,7.6,192.417,2.5
2011-04-21,193.217,85.0,57.833,29.0,3.652,21.672,28.604,6.932,17.545,0.0,3.061,19.6,12.271,4.9,196.87,4.478
2011-04-22,189.792,87.0,77.0,66.0,7.25,27.89,33.877,5.987,19.625,8.0,1.623,16.0,13.525,9.4,197.042,3.833
2011-04-23,185.958,90.0,85.375,76.0,2.292,13.765,16.906,3.141,9.333,25.0,1.175,15.7,13.483,7.8,188.25,3.417
2011-04-24,190.042,94.0,66.333,36.0,2.25,13.109,16.412,3.302,18.875,0.0,2.883,17.2,11.6,4.7,192.292,4.5
2011-04-25,190.083,83.0,59.25,40.0,3.708,20.612,30.126,9.515,23.125,1.0,4.014,17.5,13.079,6.9,193.792,4.708
2011-04-26,186.909,79.0,64.583,39.0,5.091,22.211,28.009,5.798,28.909,1.0,2.906,22.2,15.862,8.5,192.0,3.708
2011-04-27,180.333,89.0,77.917,64.0,2.042,15.367,20.197,4.831,23.75,11.0,2.031,23.8,18.0,12.1,182.375,3.667
2011-04-28,183.304,90.0,76.25,58.0,4.13,15.426,21.343,5.917,17.792,1.0,2.054,17.1,12.783,10.6,187.435,4.087
2011-04-29,190.875,93.0,63.917,33.0,4.917,17.009,20.912,3.903,14.667,0.0,2.422,20.5,13.129,6.3,195.792,4.792
2011-04-30,189.0,83.0,67.792,49.0,4.042,16.135,19.052,2.917,19.292,0.0,2.531,21.7,16.783,9.3,193.042,3.333
2011-05-01,184.5,89.0,74.833,66.0,4.042,12.698,14.604,1.906,17.75,8.0,2.375,20.3,17.496,14.4,188.542,3.125
2011-05-02,191.0,88.0,55.875,29.0,7.208,14.297,19.364,5.067,54.167,0.0,1.75,22.3,16.779,10.9,198.208,4.875
2011-05-03,190.75,72.0,54.917,37.0,5.667,15.201,18.56,3.36,74.167,0.0,1.885,20.9,16.046,12.2,196.417,4.958
2011-05-04,192.542,81.0,55.708,32.0,5.417,12.971,16.94,3.969,42.667,0.0,2.948,22.8,16.017,9.8,197.958,5.292
2011-05-05,189.435,68.0,49.458,25.0,3.435,6.868,8.322,1.453,16.125,0.0,1.696,24.5,16.862,11.5,192.87,2.696
2011-05-06,189.25,76.0,60.0,41.0,1.833,14.472,17.904,3.432,20.958,0.0,2.302,23.4,17.867,11.2,191.083,3.042
2011-05-07,186.458,87.0,60.708,40.0,2.75,16.662,20.219,3.557,16.042,7.0,2.885,25.8,20.646,16.2,189.208,3.333
2011-05-08,184.5,89.0,67.25,41.0,4.0,13.469,16.474,3.005,23.875,2.0,4.479,26.8,20.975,16.5,188.5,5.042
2011-05-09,187.0,77.0,54.333,29.0,3.125,18.854,23.016,4.162,35.75,0.0,3.635,27.7,20.642,13.9,190.125,3.917
2011-05-10,183.522,89.0,85.083,78.0,11.957,27.882,49.234,21.352,40.25,14.0,5.375,22.8,20.892,18.1,195.478,5.125
2011-05-11,180.083,92.0,90.083,86.0,8.042,15.394,24.269,8.876,9.75,51.0,1.43,21.9,19.608,16.7,188.125,2.875
2011-05-12,181.826,92.0,89.0,86.0,8.696,19.71,31.252,11.542,9.042,24.0,1.163,22.6,20.525,18.4,190.522,3.304
2011-05-13,187.458,85.0,57.5,30.0,1.792,15.141,22.695,7.554,23.292,0.0,3.039,22.1,18.771,15.5,189.25,3.75
2011-05-14,191.25,66.0,42.75,16.0,3.333,17.203,23.812,6.61,22.167,0.0,3.833,24.7,18.838,13.5,194.583,4.792
2011-05-15,193.75,70.0,45.458,24.0,2.5,14.625,19.026,4.401,21.875,0.0,4.033,25.1,18.804,10.4,196.25,3.167
2011-05-16,194.167,77.0,55.875,26.0,3.917,19.662,26.104,6.443,27.625,0.0,3.917,25.9,19.696,13.2,198.083,3.667
2011-05-17,192.583,82.0,65.542,38.0,5.083,17.021,22.474,5.453,23.792,0.0,2.217,24.5,18.425,13.9,197.667,3.708
2011-05-18,193.917,90.0,52.125,19.0,5.667,20.969,26.422,5.453,20.458,0.0,3.109,25.9,18.488,11.1,199.583,4.458
2011-05-19,193.304,73.0,58.792,45.0,5.043,20.956,24.93,3.973,28.25,0.0,3.809,26.5,20.188,12.9,198.348,3.087
2011-05-20,187.542,84.0,61.958,39.0,6.583,21.772,27.375,5.604,25.125,0.0,3.423,27.2,21.775,16.5,194.125,2.958
2011-05-21,183.417,84.0,71.333,55.0,5.583,16.656,20.635,3.979,18.0,0.0,3.208,27.7,22.617,16.7,189.0,2.833
2011-05-22,182.125,86.0,70.125,48.0,2.542,5.552,7.188,1.635,7.625,9.0,0.783,23.3,20.133,15.4,184.667,2.167
2011-05-23,185.5,90.0,81.583,70.0,2.042,4.406,5.167,0.76,6.0,40.0,0.0,16.9,15.017,12.5,187.542,2.0
2011-05-24,186.125,91.0,73.0,49.0,4.125,11.406,14.136,2.729,5.708,27.0,1.283,23.3,17.392,12.8,190.25,3.125
2011-05-25,189.625,86.0,62.417,40.0,8.458,21.406,27.021,5.615,13.792,0.0,3.35,23.6,19.7,14.1,198.083,4.292
2011-05-26,188.364,87.0,67.958,50.0,9.455,21.853,26.554,4.701,18.348,5.0,2.531,22.6,19.321,16.5,197.818,3.435
2011-05-27,186.667,89.0,76.333,59.0,2.875,12.511,13.777,1.265,8.542,15.0,0.522,22.1,18.05,15.6,189.542,2.208
2011-05-28,187.792,91.0,88.542,85.0,6.333,15.292,19.724,4.432,8.417,21.0,0.7,21.2,18.675,16.2,194.125,3.25
2011-05-29,182.292,91.0,84.167,69.0,0.375,2.766,2.875,0.109,1.917,84.0,0.2,19.9,18.45,16.6,182.667,1.708
2011-05-30,182.292,84.0,63.708,49.0,1.083,5.797,7.224,1.427,2.75,7.0,0.508,23.9,19.762,15.3,183.375,2.042
2011-05-31,185.417,82.0,65.542,52.0,3.583,15.135,18.745,3.609,7.25,0.0,2.084,22.8,19.062,14.1,189.0,2.458
2011-06-01,186.125,81.0,73.5,64.0,4.167,15.927,18.495,2.568,9.417,0.0,1.525,21.9,19.342,17.2,190.292,2.667
2011-06-02,186.522,82.0,73.042,57.0,4.087,19.185,24.745,5.56,18.667,0.0,3.218,25.6,20.683,17.1,190.609,3.043
2011-06-03,188.292,86.0,70.958,48.0,5.708,20.008,24.192,4.184,34.333,0.0,3.623,27.2,21.521,16.1,194.0,4.217
2011-06-04,187.208,83.0,68.667,49.0,1.875,18.417,23.115,4.698,40.125,0.0,5.0,27.9,22.867,19.0,189.083,4.75
2011-06-05,186.792,85.0,71.792,48.0,1.042,15.458,18.203,2.745,32.375,0.0,3.858,24.2,21.196,18.5,187.833,4.208
2011-06-06,189.375,86.0,59.792,34.0,2.833,20.536,25.432,4.896,31.25,0.0,3.083,26.5,21.692,14.9,192.208,4.292
2011-06-07,187.833,78.0,70.042,47.0,3.292,19.318,22.625,3.307,29.0,0.0,2.55,26.1,21.554,19.5,191.125,3.833
2011-06-08,183.375,88.0,72.125,57.0,0.958,15.417,19.016,3.599,11.792,5.0,2.867,24.9,21.038,16.9,184.333,3.25
2011-06-09,185.652,80.0,71.208,60.0,1.652,21.234,27.81,6.576,19.583,1.0,5.026,27.0,23.508,20.4,187.304,3.478
2011-06-10,188.136,90.0,81.708,72.0,4.818,24.126,32.226,8.1,25.042,17.0,3.156,24.9,22.321,20.0,192.955,3.333
2011-06-11,183.056,91.0,80.625,66.0,0.333,9.359,10.896,1.537,13.292,26.0,0.967,24.2,21.633,19.7,183.389,2.917
2011-06-12,,90.0,81.958,71.0,,11.812,13.427,1.614,23.333,20.0,1.958,23.1,20.296,18.2,,3.958
2011-06-13,185.286,91.0,76.75,56.0,2.714,17.484,24.286,6.802,17.25,1.0,2.279,26.3,21.442,17.7,188.0,4.5
2011-06-14,188.208,87.0,67.458,50.0,2.083,15.036,19.44,4.405,20.583,0.0,1.383,27.4,22.671,19.3,190.292,3.542
2011-06-15,189.667,75.0,57.25,34.0,3.458,19.351,23.565,4.214,14.25,0.0,1.908,26.1,21.683,17.6,193.125,3.75
2011-06-16,191.348,91.0,83.333,64.0,3.826,14.683,16.292,1.609,15.542,29.0,0.417,21.7,19.279,17.5,195.174,2.739
2011-06-17,186.792,91.0,77.625,62.0,5.458,15.066,19.114,4.048,9.417,2.0,2.433,24.8,21.504,17.5,192.25,3.458
2011-06-18,191.125,90.0,85.625,79.0,9.333,18.484,21.094,2.609,15.5,6.0,1.267,23.3,21.525,19.6,200.458,4.25
2011-06-19,188.125,91.0,82.25,68.0,7.292,18.024,21.934,3.91,20.0,1.0,3.573,25.9,22.2,19.6,195.417,4.875
2011-06-20,183.75,91.0,87.625,80.0,5.958,18.863,25.962,7.099,10.895,27.0,2.384,24.5,22.392,20.5,189.708,3.208
2011-06-21,182.917,90.0,75.292,57.0,4.417,18.41,25.886,7.476,14.5,9.0,3.525,29.4,25.121,20.7,187.333,3.042
2011-06-22,185.0,85.0,73.917,58.0,6.458,19.318,31.61,12.292,24.25,0.0,4.533,30.2,26.021,22.1,191.458,3.292
2011-06-23,180.478,82.0,69.542,51.0,6.783,13.391,26.647,13.255,17.625,0.0,5.426,32.8,27.958,24.5,187.261,2.087
2011-06-24,185.208,80.0,66.125,47.0,2.292,12.26,23.138,10.879,17.458,0.0,4.91,34.0,28.742,24.0,187.5,2.25
2011-06-25,188.833,82.0,64.875,43.0,2.083,10.62,19.198,8.578,16.875,0.0,3.783,35.7,29.417,24.9,190.917,3.167
2011-06-26,180.833,86.0,76.667,66.0,0.042,4.693,8.781,4.089,8.667,4.0,3.375,28.7,26.938,25.4,180.875,1.708
2011-06-27,178.389,82.0,74.917,64.0,0.5,8.599,19.557,10.958,13.391,1.0,4.267,31.0,27.242,24.6,178.889,1.917
2011-06-28,182.167,81.0,63.292,46.0,1.583,12.412,22.885,10.474,18.708,0.0,3.691,34.7,29.442,25.2,183.75,2.0
2011-06-29,187.333,79.0,62.417,43.0,3.542,16.813,29.542,12.729,25.625,0.0,3.9,34.9,29.65,26.1,190.875,4.0
2011-06-30,182.217,80.0,64.833,38.0,1.826,16.342,27.777,11.435,23.958,0.0,4.304,34.0,28.712,25.4,184.043,3.522
2011-07-01,181.708,87.0,79.708,72.0,2.875,19.476,33.944,14.467,21.583,7.0,3.285,27.7,25.342,23.4,184.583,3.583
2011-07-02,182.875,85.0,72.917,60.0,2.417,15.307,23.833,8.526,19.667,0.0,2.492,29.6,26.929,23.9,185.292,4.5
2011-07-03,191.958,83.0,76.625,63.0,1.542,13.422,17.995,4.573,35.458,2.0,3.408,29.3,26.575,24.2,193.5,4.25
2011-07-04,179.375,90.0,75.333,57.0,0.917,16.818,27.146,10.328,28.292,25.0,4.05,31.6,26.796,21.8,180.292,3.167
2011-07-05,186.292,90.0,70.708,50.0,2.75,18.74,27.36,8.62,29.042,0.0,3.942,30.9,26.204,21.9,189.042,4.667
2011-07-06,193.667,89.0,72.167,51.0,2.25,17.833,25.458,7.625,29.625,24.0,3.108,30.3,26.204,22.6,195.917,3.583
2011-07-07,181.652,91.0,89.167,88.0,7.826,16.994,33.636,16.641,16.083,36.0,1.783,26.1,24.108,22.4,189.478,2.435
2011-07-08,184.583,90.0,73.333,56.0,4.0,11.714,25.475,13.761,15.667,0.0,2.651,33.8,28.458,23.1,188.583,1.917
2011-07-09,179.625,79.0,66.708,52.0,2.042,8.521,14.932,6.412,12.167,0.0,2.725,34.0,29.558,26.3,181.667,1.875
2011-07-10,183.292,81.0,63.375,46.0,1.417,9.021,14.01,4.989,12.542,0.0,4.342,34.9,30.0,25.6,184.708,2.5
2011-07-11,183.0,78.0,63.208,48.0,1.75,10.094,17.99,7.896,10.083,0.0,2.627,33.7,29.558,25.8,184.75,2.167
2011-07-12,192.708,85.0,77.958,71.0,6.333,11.953,25.662,13.708,9.875,10.0,1.975,28.7,25.85,23.7,199.042,2.458
