date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2017-09-09,197.6875,97.0,78.111,47.666666666666664,13.479,15.027666666666667,22.528000000000002,7.5,16.542,0.5,20.055666666666667,299.6666666666667,237.52800000000002,199.0,211.16649999999998,2.417
2017-09-10,200.16649999999998,95.66666666666667,78.31933333333333,56.666666666666664,13.5835,13.889000000000001,17.388666666666666,3.5,21.0,1.083,21.930333333333333,309.0,249.44433333333333,198.66666666666666,213.75,2.5
2017-09-11,193.659,97.0,78.625,49.333333333333336,10.659500000000001,17.787666666666667,33.0,15.212000000000002,9.75,1.0,18.208333333333332,296.3333333333333,254.91666666666666,212.33333333333334,204.31799999999998,2.182
2017-09-12,194.6955,97.66666666666667,96.08333333333333,92.33333333333333,18.196,21.246333333333336,37.550666666666665,16.304333333333332,6.208,0.0,18.388666666666666,251.33333333333334,239.88866666666664,227.66666666666666,212.8915,2.0
2017-09-13,198.70850000000002,97.66666666666667,75.625,49.666666666666664,17.75,17.305666666666667,35.25033333333334,17.944333333333333,13.708,0.25,14.430333333333332,311.0,256.1666666666667,221.0,216.458,2.25
2017-09-14,192.08350000000002,90.0,74.764,52.333333333333336,6.5,13.638666666666666,20.930666666666667,7.291666666666667,9.875,0.458,14.513666666666666,300.6666666666667,247.81933333333333,221.0,198.583,1.208
2017-09-15,194.8125,82.33333333333333,59.958333333333336,35.0,6.854,17.708333333333332,28.596999999999998,10.889000000000001,5.667,0.625,13.416666666666666,280.0,232.72199999999998,201.0,201.667,1.625
2017-09-16,193.083,97.66666666666667,81.083,69.33333333333333,4.5625,11.694666666666668,19.944333333333333,8.249666666666664,3.917,0.25,11.986333333333334,222.0,199.68066666666667,178.66666666666666,197.6455,1.292
2017-09-17,192.58350000000002,98.66666666666667,97.86133333333333,95.66666666666667,2.875,5.694333333333333,8.347,2.6526666666666667,2.5,0.0,6.472333333333334,213.66666666666666,190.30566666666667,175.66666666666666,195.458,0.792
2017-09-18,187.5,98.66666666666667,67.20833333333333,41.0,4.6665,8.041666666666666,11.722333333333333,3.6806666666666668,22.5,0.042,11.861333333333334,333.3333333333333,271.93066666666664,215.66666666666666,192.16649999999998,0.75
2017-09-19,192.3915,85.33333333333333,70.56933333333333,53.0,8.826,17.275333333333332,26.695666666666668,9.420333333333334,5.583,0.696,12.180666666666667,286.0,241.09733333333335,207.33333333333334,201.2175,1.087
2017-09-20,201.6045,94.66666666666667,83.91666666666667,74.0,22.8335,30.444333333333333,43.236,12.791666666666666,16.625,1.5,30.736,250.0,222.083,200.33333333333334,224.4375,2.583
2017-09-21,196.9375,95.33333333333333,58.541666666666664,38.0,12.771,19.096999999999998,27.333333333333332,8.235999999999999,13.75,0.292,14.847333333333333,288.6666666666667,240.68066666666667,195.66666666666666,209.708,1.667
2017-09-22,197.0625,98.0,87.83366666666666,72.33333333333333,10.458,19.611333333333334,34.55566666666667,14.944666666666668,7.458,0.417,19.013666666666666,247.33333333333334,212.625,185.33333333333334,207.52100000000002,1.792
2017-09-23,191.83350000000002,98.0,85.81933333333332,66.33333333333333,5.7295,10.236333333333334,14.014000000000001,3.778,3.25,0.042,8.027666666666667,239.33333333333334,202.08333333333334,176.66666666666666,197.5625,1.208
2017-09-24,198.45850000000002,94.33333333333333,78.55533333333334,59.666666666666664,10.9375,12.624666666666664,16.527666666666665,3.903,15.125,0.75,12.764000000000001,268.0,218.69433333333333,177.0,209.39600000000002,1.917
2017-09-25,198.5165,95.66666666666667,78.645,55.666666666666664,11.0125,17.051666666666666,30.54133333333333,13.49,14.417,0.524,20.486,287.3333333333333,230.36533333333333,185.33333333333334,209.529,1.625
2017-09-26,194.427,95.66666666666667,80.878,58.666666666666664,12.2545,18.37333333333333,31.34,12.966333333333331,15.833,1.214,20.904666666666667,281.3333333333333,230.75033333333332,187.0,206.68200000000002,1.826
2017-09-27,196.27100000000002,96.33333333333333,82.361,63.666666666666664,13.9375,21.528000000000002,41.75,20.222333333333335,12.292,1.458,18.361,266.3333333333333,229.486,195.0,210.20850000000002,2.458
2017-09-28,190.20850000000002,98.33333333333333,92.84733333333334,78.0,7.2295,13.444333333333333,22.096999999999998,8.653,-3.75,0.083,7.014,248.33333333333334,189.68066666666667,156.0,197.4375,0.792
2017-09-29,194.0625,97.33333333333333,77.94433333333333,51.0,10.479,18.111333333333334,26.388666666666666,8.278,9.875,0.792,10.708333333333334,244.33333333333334,193.31933333333333,151.0,204.54149999999998,1.25
2017-09-30,197.875,94.66666666666667,80.95866666666667,59.0,11.1665,16.542,24.055666666666667,7.513666666666666,12.458,0.708,17.208,241.33333333333334,194.70833333333334,158.66666666666666,209.04149999999998,1.625
2017-10-01,199.833,96.33333333333333,74.917,53.333333333333336,11.208,11.652666666666667,14.375,2.7223333333333333,16.75,0.833,16.694333333333333,252.0,196.236,137.66666666666666,211.042,1.833
2017-10-02,202.167,97.66666666666667,80.264,56.333333333333336,15.792000000000002,23.403000000000002,41.764,18.361,18.708,1.083,21.083333333333332,256.0,215.764,181.0,217.958,2.0
2017-10-03,195.78050000000002,97.66666666666667,86.51400000000001,68.33333333333333,13.544,16.666666666666668,24.797,8.130666666666666,15.042,0.667,24.846999999999998,269.6666666666667,219.55566666666667,186.0,209.3255,1.609
2017-10-04,191.5,88.0,71.04133333333333,59.333333333333336,6.396,13.222333333333333,22.819666666666667,9.597,-0.625,0.75,10.125,202.0,180.26366666666664,149.0,197.8955,0.75
2017-10-05,194.0205,86.0,65.41666666666667,44.0,8.9375,17.069333333333333,30.847333333333335,13.777666666666667,5.25,0.792,7.680666666666667,201.0,158.528,128.0,202.95850000000002,1.042
2017-10-06,197.8955,98.33333333333333,84.94433333333333,63.666666666666664,15.4165,22.111,34.889,12.777666666666667,11.292,1.0,19.916666666666668,182.33333333333334,148.75033333333332,127.33333333333333,213.3125,1.625
2017-10-07,193.5625,98.66666666666667,94.79166666666667,81.66666666666667,9.125,14.430666666666667,22.875,8.444666666666668,12.542,0.5,10.652666666666667,226.0,184.95833333333334,153.66666666666666,202.6875,1.5
2017-10-08,198.66649999999998,98.66666666666667,89.45866666666666,69.33333333333333,12.1875,8.763666666666667,16.569333333333333,7.805333333333333,9.458,0.542,12.917000000000002,251.33333333333334,197.73633333333336,164.33333333333334,210.85399999999998,1.958
2017-10-09,196.3955,98.33333333333333,80.72233333333334,59.333333333333336,10.5415,14.028,21.319333333333333,7.2913333333333314,15.167,1.292,13.472,259.6666666666667,209.18066666666667,162.33333333333334,206.9375,1.917
2017-10-10,204.4025,97.33333333333333,82.486,56.333333333333336,16.948999999999998,21.695666666666668,37.73933333333333,16.043666666666663,24.792,1.333,32.30566666666667,288.0,229.25,181.0,221.352,2.739
2017-10-11,197.8125,98.0,92.625,84.66666666666667,10.146,14.680666666666667,28.180333333333333,13.500333333333336,14.833,0.708,40.19433333333333,229.0,203.22233333333335,187.33333333333334,207.958,1.708
2017-10-12,193.45850000000002,98.66666666666667,83.79166666666667,63.333333333333336,10.7915,14.75,23.541666666666668,8.791666666666666,16.208,0.792,35.347,280.6666666666667,217.29166666666666,180.33333333333334,204.25,1.542
2017-10-13,189.9375,98.33333333333333,95.86099999999999,87.33333333333333,5.9375,14.875,27.875,13.0,-5.625,0.833,7.111,180.33333333333334,151.125,143.33333333333334,195.875,0.75
2017-10-14,191.75,98.66666666666667,96.26366666666667,93.0,6.2085,12.166333333333332,18.916666666666668,6.75,5.208,1.0,7.847333333333334,153.0,146.81933333333333,138.33333333333334,197.95850000000002,0.667
2017-10-15,195.6875,98.66666666666667,96.75,93.33333333333333,7.375,9.652666666666667,13.375,3.7223333333333333,6.5,0.917,12.097333333333333,155.66666666666666,147.38866666666667,141.0,203.0625,1.208
2017-10-16,194.16649999999998,98.66666666666667,98.375,98.0,5.6875,14.902666666666667,30.263666666666666,15.360999999999999,2.875,1.0,9.889000000000001,136.66666666666666,122.22233333333334,112.33333333333333,199.8545,1.0
2017-10-17,196.9645,99.0,96.04166666666667,86.33333333333333,14.794,20.290000000000003,39.318666666666665,19.029,10.083,1.0,12.652666666666667,157.0,129.736,112.66666666666667,211.75900000000001,1.696
2017-10-18,200.72899999999998,99.0,81.097,56.333333333333336,16.021,15.819333333333333,39.486333333333334,23.667,13.25,1.0,15.514000000000001,188.66666666666666,130.59733333333335,84.66666666666667,216.75,1.75
2017-10-19,194.708,98.66666666666667,97.375,92.0,8.1665,15.541666666666666,29.472333333333335,13.930333333333332,3.417,1.0,9.291666666666666,117.33333333333333,109.13900000000001,98.33333333333333,202.875,1.25
2017-10-20,193.54149999999998,98.66666666666667,96.45833333333333,87.33333333333333,9.125,15.347333333333333,25.014,9.666666666666666,6.667,1.0,3.9583333333333335,173.0,142.95833333333334,115.0,202.66649999999998,1.417
2017-10-21,193.8125,99.0,98.70833333333333,98.66666666666667,8.1875,13.333333333333334,23.847333333333335,10.513666666666666,5.458,0.875,5.333666666666666,172.0,164.04166666666666,149.66666666666666,202.0,1.625
2017-10-22,192.25,98.66666666666667,98.66666666666667,98.66666666666667,5.979,6.458333333333333,8.569333333333333,2.111333333333333,2.208,0.958,3.361333333333333,178.33333333333334,172.05566666666667,167.0,198.22899999999998,0.958
2017-10-23,189.72899999999998,98.66666666666667,67.30533333333334,42.0,6.5205,8.777666666666667,14.319666666666668,5.541666666666667,1.792,1.0,7.3823333333333325,224.33333333333334,184.27800000000002,133.33333333333334,196.25,0.833
2017-10-24,195.348,88.0,70.861,54.0,10.630500000000001,19.0,37.884,18.884333333333334,11.583,0.478,13.805666666666667,167.66666666666666,139.958,120.33333333333333,205.9785,1.826
2017-10-25,199.833,98.33333333333333,92.38900000000001,83.66666666666667,15.646,20.819666666666667,37.09733333333333,16.277666666666665,11.75,0.917,18.083333333333332,143.0,123.83333333333333,102.33333333333333,215.47899999999998,2.0
2017-10-26,202.39600000000002,99.0,82.028,46.333333333333336,17.104,21.861,52.18066666666667,30.319333333333333,14.875,0.875,16.861333333333334,196.33333333333334,129.63866666666667,77.66666666666667,219.5,2.292
2017-10-27,200.35399999999998,98.33333333333333,81.66633333333333,51.333333333333336,18.979,20.583333333333332,38.486,17.902666666666665,19.583,0.958,19.888666666666666,205.0,139.361,83.0,219.333,2.167
2017-10-28,201.35399999999998,98.66666666666667,93.11133333333333,80.66666666666667,20.521,21.208333333333332,27.763666666666666,6.5553333333333335,21.5,0.833,35.847,158.0,134.12466666666668,121.33333333333333,221.875,2.542
2017-10-29,196.20850000000002,98.66666666666667,98.65266666666666,98.33333333333333,6.8125,9.333333333333334,11.667000000000002,2.3333333333333335,7.042,0.292,9.527666666666667,154.0,141.958,133.66666666666666,203.02100000000002,1.708
2017-10-30,192.6875,97.33333333333333,56.0,35.666666666666664,4.0835,11.791666666666666,18.791666666666668,7.0,2.208,0.583,4.166666666666667,178.0,147.75,95.66666666666667,196.7705,1.292
