date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean,PM25_mean,TEMP_max,TEMP_mean,TEMP_min
2011-03-02,30.792,57.438,26.646,1.0,19.084,5.708,,9.9,8.983,7.9
2011-03-03,27.062,46.25,19.188,1.708,23.646,6.292,,12.2,9.246,7.2
2011-03-04,19.646,30.208,10.562,0.208,21.562,5.542,,8.2,6.233,5.5
2011-03-05,29.458,67.104,37.646,0.292,13.958,8.333,,11.3,8.812,6.5
2011-03-06,14.229,22.354,8.125,0.542,25.104,5.292,,12.3,10.283,8.2
2011-03-07,29.687,47.886,18.2,3.167,55.688,9.609,,10.0,8.254,6.6
2011-03-08,36.375,67.688,31.312,3.75,67.438,12.667,,11.3,8.65,5.7
2011-03-09,26.5,44.75,18.25,1.792,31.095,6.583,,10.0,8.271,6.5
2011-03-10,19.834,31.75,11.917,1.0,21.521,4.958,,9.7,7.421,4.1
2011-03-11,12.521,16.167,3.646,2.375,27.312,4.208,,8.6,5.538,3.3
2011-03-12,19.584,32.208,12.625,0.958,13.106,4.13,,3.6,2.35,0.2
2011-03-13,27.741,47.775,20.034,1.261,21.354,5.958,,8.0,3.954,0.2
2011-03-14,25.688,53.938,28.25,2.292,27.334,5.875,,10.8,7.212,1.7
2011-03-15,23.375,38.083,14.708,4.208,39.562,5.917,,11.8,9.188,6.0
2011-03-16,32.875,59.916,27.042,2.167,34.208,5.708,,9.0,7.804,6.6
2011-03-17,17.688,23.771,6.084,0.542,33.604,5.417,,16.4,13.379,9.2
2011-03-18,13.375,16.688,3.312,0.25,25.771,4.792,,12.5,11.429,10.7
2011-03-19,22.292,40.021,17.729,1.208,19.125,5.167,,10.6,8.15,5.6
2011-03-20,25.896,42.666,16.77,1.0,21.146,5.667,,10.8,7.429,4.9
2011-03-21,27.47,42.406,14.936,1.042,24.667,4.957,,11.2,7.917,5.3
2011-03-22,37.896,74.688,36.792,2.125,25.0,7.417,,13.7,9.133,4.8
2011-03-23,24.896,55.666,30.771,0.292,15.479,5.833,,11.9,9.546,6.6
2011-03-24,10.896,14.188,3.292,2.042,33.812,4.917,,9.5,8.038,7.3
2011-03-25,9.188,11.084,1.896,1.208,16.584,3.042,,8.7,7.033,5.2
2011-03-26,14.405,21.586,7.182,1.13,14.458,3.375,,7.9,6.371,4.7
2011-03-27,21.896,37.792,15.895,2.583,29.23,5.25,,14.9,10.654,6.0
2011-03-28,19.042,24.854,5.812,3.167,45.98,5.0,,15.8,12.421,9.8
2011-03-29,44.417,75.708,31.292,3.333,38.125,7.333,,18.0,13.108,7.2
2011-03-30,6.854,8.854,2.0,5.875,33.188,2.667,,21.1,17.812,15.4
2011-03-31,10.896,15.688,4.792,1.5,25.125,3.125,,14.9,10.075,8.5
2011-04-01,35.916,53.167,17.25,2.583,38.688,6.583,,18.7,12.158,6.9
2011-04-02,16.062,18.834,2.771,1.25,35.729,4.333,,15.0,11.912,8.7
2011-04-03,15.604,18.958,3.354,1.167,20.188,4.208,,12.7,9.375,6.5
2011-04-04,20.0,29.333,9.334,0.87,12.458,4.333,,12.5,8.404,5.2
2011-04-05,27.125,40.521,13.396,2.042,15.188,4.875,,13.9,9.192,6.2
2011-04-06,33.872,49.161,15.29,4.292,23.188,5.696,,17.8,12.071,5.9
2011-04-07,18.48,28.312,9.834,3.208,17.104,3.583,,20.8,16.692,12.2
2011-04-08,16.042,21.77,5.73,0.917,27.834,4.5,,14.7,12.87,11.6
2011-04-09,14.895,17.792,2.896,0.667,39.083,4.958,,15.9,12.421,9.9
2011-04-10,17.521,20.854,3.334,2.875,35.25,5.0,,20.2,13.988,8.6
2011-04-11,15.189,18.778,3.589,1.955,35.062,4.542,,15.0,11.004,7.2
2011-04-12,20.333,35.396,15.062,0.583,28.104,5.292,,15.2,10.9,6.5
2011-04-13,8.5,9.604,1.104,4.333,33.729,3.792,,16.8,13.012,9.6
2011-04-14,18.416,23.166,4.75,3.0,32.416,4.375,,18.8,14.392,9.2
2011-04-15,27.417,40.604,13.188,1.75,40.646,5.667,,21.8,17.392,14.3
2011-04-16,19.125,25.0,5.875,0.792,47.25,5.0,,18.2,12.879,8.7
2011-04-17,24.625,31.25,6.625,1.25,17.562,4.833,,16.2,12.017,7.6
2011-04-18,13.812,16.104,2.292,0.833,24.188,3.375,,15.6,12.079,9.2
2011-04-19,11.02,14.875,3.854,0.0,11.646,3.458,,9.6,8.162,6.0
2011-04-20,18.854,26.167,7.312,0.417,18.354,4.435,,14.2,10.729,8.2
2011-04-21,32.834,51.125,18.292,1.333,31.708,5.875,,18.0,13.55,8.2
2011-04-22,33.812,55.146,21.334,2.208,44.02,5.917,,16.3,14.771,13.2
2011-04-23,10.753,13.619,2.866,0.333,29.946,3.75,,14.0,12.275,11.1
2011-04-24,5.125,5.375,0.25,0.833,29.02,3.375,,14.2,12.425,10.5
2011-04-25,8.029,9.079,1.05,1.391,26.804,3.542,,16.7,13.775,10.9
2011-04-26,11.562,16.27,4.708,0.625,26.77,3.167,,23.9,18.796,12.3
2011-04-27,7.854,10.021,2.167,0.458,30.834,3.542,,21.3,16.383,11.6
2011-04-28,8.521,10.708,2.188,0.333,23.771,3.333,,13.3,11.742,10.1
2011-04-29,14.416,17.396,2.979,2.25,19.292,4.167,,19.6,14.879,10.7
2011-04-30,12.562,16.334,3.771,2.917,34.166,3.583,,24.5,20.304,17.1
2011-05-01,4.5,4.98,0.479,0.458,77.75,2.833,,21.4,18.188,14.0
2011-05-02,12.229,16.396,4.167,0.458,176.666,4.958,,18.1,15.029,11.9
2011-05-03,21.979,26.542,4.562,1.583,148.146,6.375,,17.3,14.396,11.7
2011-05-04,18.125,20.854,2.73,1.125,76.958,5.348,,18.9,16.029,12.8
2011-05-05,17.375,20.833,3.458,2.583,50.5,4.875,,21.0,17.183,13.6
2011-05-06,27.312,37.646,10.334,0.833,36.875,4.75,,20.7,17.583,14.5
2011-05-07,26.708,39.062,12.355,0.958,31.458,5.458,,21.8,18.817,16.0
2011-05-08,19.604,24.021,4.416,0.417,47.75,4.958,,22.6,18.925,16.5
2011-05-09,16.848,32.587,15.739,0.87,40.584,4.783,,28.6,22.625,15.2
2011-05-10,6.438,13.292,6.854,0.0,12.354,2.667,,23.7,22.221,21.2
2011-05-11,16.292,42.75,26.458,0.167,33.104,5.583,,24.9,21.925,20.0
2011-05-12,16.479,44.312,27.834,0.0,60.604,4.417,,21.4,18.288,14.7
2011-05-13,6.604,7.5,0.896,1.083,52.542,3.0,,19.7,16.8,13.8
2011-05-14,6.188,6.646,0.458,3.0,33.438,3.542,,22.0,18.7,15.1
2011-05-15,9.604,10.354,0.75,1.25,28.396,3.5,,23.7,19.521,15.4
2011-05-16,18.334,22.104,3.771,2.125,38.5,4.458,,21.9,18.904,16.1
2011-05-17,12.292,14.02,1.729,1.417,40.75,3.833,,20.1,17.588,14.2
2011-05-18,32.25,42.5,10.25,1.875,33.604,5.739,,24.0,18.475,13.5
2011-05-19,30.27,40.104,9.833,3.458,39.562,5.25,,24.5,20.242,16.6
2011-05-20,26.792,44.0,17.208,2.208,32.729,5.208,,23.9,20.509,16.8
2011-05-21,22.646,42.021,19.375,2.208,30.542,5.125,,25.6,22.525,19.5
2011-05-22,14.062,16.896,2.834,0.333,26.042,3.917,,20.4,17.679,16.2
2011-05-23,27.583,40.438,12.854,0.042,17.146,5.25,,17.0,14.221,12.8
2011-05-24,25.02,36.542,11.521,0.083,10.542,4.583,,19.9,16.662,13.1
2011-05-25,24.34,32.66,8.318,1.174,16.875,4.167,,20.7,18.629,16.6
2011-05-26,23.854,31.958,8.104,0.75,22.02,4.0,,18.5,16.333,15.0
2011-05-27,31.75,53.375,21.625,0.583,35.104,6.083,,18.5,17.192,16.2
2011-05-28,29.667,52.75,23.084,0.167,18.25,7.292,,17.7,17.075,16.7
2011-05-29,11.854,15.229,3.375,0.0,26.167,3.5,,17.2,16.121,14.2
2011-05-30,14.75,20.104,5.354,0.083,31.804,3.583,,16.6,14.771,13.1
2011-05-31,27.166,43.688,16.52,1.542,18.083,4.958,,18.9,16.325,13.5
2011-06-01,24.125,34.292,10.166,2.375,25.958,4.696,,23.1,19.796,16.4
2011-06-02,23.366,38.738,15.37,1.375,41.75,5.208,,23.2,20.167,17.9
2011-06-03,26.625,33.042,6.417,4.208,73.958,6.167,,23.2,19.979,17.3
2011-06-04,14.458,16.125,1.667,2.167,35.688,4.542,,26.2,21.467,18.4
2011-06-05,18.542,21.75,3.208,3.0,41.584,5.042,,24.3,20.371,18.2
2011-06-06,26.696,31.174,4.478,2.435,44.042,6.458,,25.6,21.2,17.1
2011-06-07,11.5,12.375,0.875,1.375,31.25,4.917,,20.0,18.471,16.9
2011-06-08,18.0,20.5,2.5,1.458,32.312,6.292,,23.1,19.654,17.5
2011-06-09,24.25,27.417,3.167,3.833,55.23,6.458,,26.6,21.683,17.8
2011-06-10,22.75,28.75,6.0,1.792,42.333,7.208,,23.7,21.083,19.4
2011-06-11,17.375,18.583,1.208,0.542,19.042,4.542,,22.6,19.975,18.9
2011-06-12,13.292,15.917,2.625,0.25,25.48,5.458,,20.5,19.333,18.3
2011-06-13,6.208,6.458,0.25,0.042,37.375,3.792,,22.0,20.079,18.5
2011-06-14,17.125,18.5,1.375,2.333,66.875,6.333,,22.6,20.092,18.1
2011-06-15,24.583,29.708,5.125,2.708,53.292,6.783,,22.1,20.142,18.4
2011-06-16,17.208,18.417,1.208,0.0,11.708,4.958,,18.5,18.05,17.8
2011-06-17,28.0,33.25,5.25,0.625,30.938,7.5,,20.9,19.658,18.3
2011-06-18,23.875,28.042,4.167,1.0,36.771,6.125,,20.6,19.833,19.4
2011-06-19,16.042,17.667,1.625,0.0,19.646,5.167,,20.4,19.429,18.4
2011-06-20,17.652,22.0,4.348,0.478,14.605,4.792,,24.7,21.896,19.9
2011-06-21,25.667,33.917,8.25,3.917,32.625,6.917,,26.5,23.462,20.4
2011-06-22,11.208,27.667,16.458,1.875,23.25,4.292,,28.0,25.708,23.2
2011-06-23,2.25,3.0,0.75,0.333,15.458,1.417,,31.0,27.633,24.5
2011-06-24,10.208,17.375,7.167,2.542,24.208,4.125,,30.4,27.471,24.5
2011-06-25,12.708,21.042,8.333,1.042,29.73,4.875,,27.9,25.308,23.6
2011-06-26,9.458,18.458,9.0,0.292,18.73,3.917,,27.6,25.271,22.3
2011-06-27,9.25,11.125,1.875,0.0,11.896,3.917,,26.1,23.025,20.3
2011-06-28,1.917,2.75,0.833,0.0,33.156,4.708,,28.6,25.838,23.7
2011-06-29,18.466,30.812,12.347,2.7,33.653,4.609,,30.5,26.429,23.8
2011-06-30,16.614,43.133,26.519,1.792,29.542,4.833,,30.5,25.146,22.9
2011-07-01,5.958,10.688,4.729,0.5,31.958,2.167,,25.0,24.038,22.7
2011-07-02,6.834,10.77,3.938,0.667,39.271,3.125,,26.7,25.708,24.7
2011-07-03,2.27,4.312,2.042,0.0,36.27,1.792,,28.7,27.033,25.5
2011-07-04,6.188,10.312,4.125,0.083,28.312,2.417,,27.1,25.004,22.1
2011-07-05,8.479,12.125,3.646,1.5,29.354,3.583,,28.5,24.412,21.6
2011-07-06,20.23,42.524,22.294,0.739,26.502,4.792,,24.3,22.742,20.6
2011-07-07,2.458,4.812,2.354,0.0,13.479,1.333,,29.7,26.033,22.9
2011-07-08,11.042,26.834,15.792,1.375,25.792,3.792,,31.3,27.588,25.3
2011-07-09,16.812,45.104,28.292,2.0,29.938,4.792,,32.0,27.704,24.6
2011-07-10,13.354,28.354,15.0,1.625,27.666,3.708,,29.0,25.704,22.7
2011-07-11,20.896,46.52,25.625,1.667,24.229,4.5,,29.4,25.725,22.9
2011-07-12,17.354,39.584,22.229,1.375,20.979,4.375,,28.8,26.288,23.2
2011-07-13,15.138,40.09,24.951,0.75,18.062,4.609,,27.9,25.792,24.5
2011-07-14,15.167,38.771,23.604,2.417,21.25,4.417,,28.8,26.329,24.3
2011-07-15,19.562,44.125,24.562,2.208,27.125,5.0,,29.2,26.658,24.1
2011-07-16,18.604,36.334,17.729,2.292,25.812,4.458,,29.9,26.992,24.2
2011-07-17,13.271,22.916,9.646,1.292,22.438,3.708,,30.3,27.533,24.3
2011-07-18,12.792,24.229,11.438,1.375,21.688,4.0,,27.3,26.062,24.7
2011-07-19,11.082,25.761,14.678,1.348,29.354,3.5,,28.2,26.283,24.3
2011-07-20,7.979,14.375,6.396,0.417,43.812,2.333,,24.3,22.638,21.2
2011-07-21,11.625,20.73,9.104,0.583,24.062,3.083,,22.1,21.412,20.9
2011-07-22,16.354,27.729,11.375,1.458,26.958,3.958,,25.1,22.512,20.9
2011-07-23,10.916,16.479,5.562,1.25,23.625,2.75,,26.3,22.462,19.8
2011-07-24,25.666,35.271,9.604,3.875,31.375,4.875,,28.8,23.946,18.8
2011-07-25,22.875,39.396,16.521,2.625,50.354,5.333,,28.1,25.362,23.5
2011-07-26,19.271,39.375,20.104,1.5,29.812,4.417,,28.5,25.846,23.4
2011-07-27,8.462,17.224,8.761,1.292,19.0,3.174,,28.9,26.888,25.7
2011-07-28,11.062,22.604,11.542,2.375,22.604,3.042,,30.5,27.1,24.6
2011-07-29,9.625,20.27,10.646,0.833,20.584,2.958,,30.6,27.096,24.0
2011-07-30,7.188,12.458,5.271,0.917,21.0,2.792,,29.8,27.1,25.2
2011-07-31,8.666,12.834,4.167,1.125,29.334,2.917,,29.6,26.258,24.1
2011-08-01,26.792,47.396,20.604,2.417,42.562,5.708,,29.0,26.196,23.6
2011-08-02,21.812,37.458,15.645,2.208,50.688,4.917,,29.8,27.162,25.2
2011-08-03,12.873,32.28,19.407,1.087,17.833,3.625,,29.4,27.196,24.9
2011-08-04,15.396,30.5,15.104,1.083,17.312,3.583,,30.0,27.5,25.4
2011-08-05,18.834,33.812,14.979,1.708,23.521,4.417,,29.2,27.092,25.4
2011-08-06,10.083,26.854,16.77,0.292,19.896,3.792,,27.0,25.625,24.8
2011-08-07,7.834,16.021,8.188,0.667,17.354,2.875,,29.0,27.05,25.3
2011-08-08,9.971,21.595,11.624,1.042,26.244,3.391,,31.7,28.05,25.3
2011-08-09,16.771,33.854,17.084,1.833,32.896,4.375,,31.0,27.312,24.7
2011-08-10,8.918,19.096,10.178,0.583,21.833,3.087,,29.9,26.825,24.0
2011-08-11,4.916,8.854,3.938,0.167,15.084,1.667,,30.4,27.012,25.1
2011-08-12,7.125,12.188,5.062,0.75,15.334,2.458,,30.9,27.525,25.1
2011-08-13,7.417,12.25,4.834,0.792,16.646,2.667,,32.7,28.033,24.6
2011-08-14,2.896,4.166,1.271,0.0,10.48,1.958,,29.3,26.529,24.4
2011-08-15,3.334,4.438,1.104,0.0,23.146,2.167,,30.2,26.65,25.0
2011-08-16,5.166,7.896,2.73,0.0,24.875,2.375,,30.9,26.996,25.1
2011-08-17,4.025,5.658,1.633,0.0,28.125,1.958,,31.1,27.933,25.5
2011-08-18,7.354,9.375,2.021,0.167,24.354,2.875,,28.7,26.017,24.0
2011-08-19,10.05,13.262,3.212,0.583,19.746,3.917,,28.6,25.471,23.6
2011-08-20,14.271,19.375,5.104,0.833,17.458,3.875,,26.8,24.038,21.9
2011-08-21,9.25,11.042,1.792,0.417,12.938,3.083,,24.3,22.904,21.8
2011-08-22,19.104,27.438,8.334,0.375,18.25,5.042,,26.4,22.75,20.2
2011-08-23,17.521,39.334,21.812,0.0,20.0,5.583,,23.2,22.329,20.6
2011-08-24,13.354,28.416,15.062,1.083,25.542,4.652,,27.6,24.508,22.1
2011-08-25,18.833,36.77,17.938,1.833,34.042,5.333,,29.5,26.1,23.3
2011-08-26,17.658,34.551,16.894,1.542,23.0,4.917,,29.1,25.329,23.5
2011-08-27,17.021,34.688,17.667,1.75,27.02,4.917,,29.9,26.5,24.3
2011-08-28,15.25,22.542,7.292,2.417,28.896,4.25,,30.0,26.85,24.8
2011-08-29,19.492,34.102,14.608,2.217,31.438,4.708,,30.0,27.012,24.4
2011-08-30,23.146,38.0,14.854,3.667,41.396,5.292,,29.8,26.729,23.6
2011-08-31,25.604,36.625,11.021,3.667,44.083,6.25,,29.6,26.708,24.0
2011-09-01,21.917,33.104,11.188,2.708,38.771,5.458,,29.6,26.675,24.3
2011-09-02,11.584,25.312,13.729,2.25,23.188,3.25,,28.1,26.112,24.8
2011-09-03,5.646,8.604,2.958,0.292,26.146,1.958,,25.2,23.8,22.9
2011-09-04,7.0,8.917,1.916,0.667,26.0,2.333,,23.8,23.183,22.5
2011-09-05,14.625,21.292,6.667,1.125,18.896,3.25,,24.1,22.471,19.4
2011-09-06,19.938,30.521,10.583,1.833,20.834,4.667,,26.0,21.558,18.6
2011-09-07,20.595,32.814,12.22,1.417,24.958,4.217,,26.4,22.262,18.7
2011-09-08,22.312,31.292,8.979,2.833,35.916,4.875,,27.7,23.933,20.2
2011-09-09,22.271,40.958,18.688,2.125,40.646,5.417,,27.1,25.167,22.1
2011-09-10,14.708,28.938,14.229,1.417,26.104,4.25,,28.4,26.6,24.7
2011-09-11,10.417,21.23,10.812,1.25,14.458,3.583,,28.8,26.167,23.2
2011-09-12,15.623,33.636,18.013,1.304,20.282,4.292,,28.9,25.908,22.8
2011-09-13,16.812,31.02,14.208,1.542,20.938,4.083,,29.1,25.871,23.2
2011-09-14,20.479,40.604,20.125,1.667,22.229,4.5,,28.7,25.638,22.2
2011-09-15,17.75,34.896,17.146,1.458,24.396,4.417,,28.5,25.921,22.3
2011-09-16,14.625,39.167,24.542,1.167,19.604,4.625,,26.6,24.858,23.9
2011-09-17,13.105,30.208,17.104,0.875,16.25,4.208,,26.5,25.121,24.1
2011-09-18,8.792,15.396,6.604,0.583,21.02,2.75,,27.1,24.483,22.1
2011-09-19,12.729,20.125,7.396,0.958,11.812,3.458,,22.8,21.2,20.0
2011-09-20,23.312,37.52,14.208,0.917,13.458,5.292,,20.4,19.592,18.6
2011-09-21,8.102,13.823,5.721,0.625,16.729,1.913,,21.4,19.646,18.7
2011-09-22,15.105,23.48,8.375,1.0,12.27,3.125,,20.4,18.608,15.7
2011-09-23,21.396,36.292,14.896,1.583,18.917,4.708,,22.3,18.133,15.2
2011-09-24,27.271,42.916,15.646,1.958,22.875,5.458,,22.7,19.033,15.3
2011-09-25,21.875,29.708,7.834,2.417,21.334,4.708,,23.0,19.008,15.2
2011-09-26,28.5,43.271,14.771,3.042,29.542,5.833,,23.6,20.575,18.0
2011-09-27,26.31,42.168,15.858,2.364,29.312,6.25,,24.9,21.567,19.0
2011-09-28,29.292,45.23,15.938,2.958,32.875,5.708,,24.8,21.954,19.8
2011-09-29,21.375,32.708,11.333,2.583,30.688,4.083,,25.4,23.012,20.3
2011-09-30,13.458,18.125,4.666,1.375,23.896,3.792,,23.9,20.754,17.8
2011-10-01,19.958,30.125,10.166,1.958,21.458,4.792,,22.1,18.733,16.8
2011-10-02,12.271,15.458,3.188,1.292,15.396,3.333,,19.3,17.971,16.5
2011-10-03,18.958,31.062,12.104,1.875,15.104,4.25,,19.4,17.4,15.4
2011-10-04,21.333,37.771,16.438,1.917,14.417,4.583,,19.7,17.25,14.4
2011-10-05,27.081,51.052,23.972,1.208,18.062,5.652,,17.9,17.071,16.3
2011-10-06,17.75,30.583,12.834,2.125,31.167,4.5,,21.2,18.488,16.1
2011-10-07,23.25,32.375,9.125,2.583,41.396,6.0,,21.0,17.8,14.2
2011-10-08,28.834,47.958,19.125,2.458,32.666,7.708,,21.0,16.8,13.7
2011-10-09,24.666,29.896,5.23,3.5,49.666,6.333,,22.5,18.779,15.1
2011-10-10,27.02,35.584,8.562,3.167,49.0,6.208,,23.7,19.55,17.2
2011-10-11,26.13,40.915,14.784,2.348,49.13,6.25,,22.9,19.8,18.2
2011-10-12,31.792,47.062,15.27,2.292,59.812,7.333,,22.6,19.512,17.0
2011-10-13,28.98,40.688,11.708,3.667,56.354,6.25,,23.6,20.25,16.7
2011-10-14,21.25,43.875,22.625,1.583,34.729,6.125,,21.2,20.408,19.1
2011-10-15,11.084,15.834,4.75,1.167,19.75,4.125,,21.6,19.429,17.9
2011-10-16,5.625,6.375,0.75,3.25,32.625,3.333,,19.5,18.142,16.4
2011-10-17,20.438,29.27,8.834,2.958,27.63,5.167,,18.6,16.9,14.3
2011-10-18,26.084,45.334,19.25,2.708,23.25,6.125,,19.8,16.325,13.2
2011-10-19,26.6,45.827,19.228,2.167,22.98,6.174,,19.2,16.404,13.8
2011-10-20,32.042,56.021,23.979,2.542,30.042,6.333,,21.4,18.662,14.7
2011-10-21,28.756,50.824,22.068,2.182,30.638,6.875,,19.6,18.55,17.8
2011-10-22,9.23,13.105,3.875,1.0,11.834,2.792,,20.2,18.088,16.0
2011-10-23,12.958,16.417,3.458,1.833,14.271,3.542,,19.7,17.192,15.2
2011-10-24,22.532,42.012,19.48,2.0,20.0,5.792,,21.0,17.746,15.4
2011-10-25,14.25,22.167,7.917,1.583,15.333,4.0,,17.0,15.496,13.6
2011-10-26,19.666,31.25,11.584,2.167,16.125,4.833,,16.6,13.254,11.1
2011-10-27,24.875,48.708,23.834,1.708,19.208,5.364,,16.4,14.3,11.7
2011-10-28,28.958,51.125,22.166,2.667,29.708,7.25,,16.4,15.104,13.1
2011-10-29,26.27,48.146,21.875,2.375,45.312,6.75,,18.7,17.525,15.8
2011-10-30,21.958,30.208,8.25,1.417,25.646,5.625,,17.3,16.762,16.0
2011-10-31,22.334,35.188,12.854,2.0,18.666,5.875,,19.3,16.592,14.5
2011-11-01,24.792,44.562,19.77,2.208,18.125,5.292,,20.8,18.004,14.1
2011-11-02,25.68,43.66,17.98,2.167,23.062,5.217,,21.1,19.608,18.5
2011-11-03,28.479,45.708,17.23,3.583,30.458,6.042,,21.5,19.783,18.5
2011-11-04,29.042,59.666,30.625,3.417,42.396,7.042,,21.1,19.629,17.8
2011-11-05,18.938,33.166,14.23,1.417,20.604,4.875,,21.7,20.088,19.0
2011-11-06,19.708,27.75,8.042,1.833,19.354,6.208,,20.0,18.654,17.1
2011-11-07,21.494,33.814,12.32,2.167,18.584,5.875,,20.0,16.846,14.3
2011-11-08,26.678,52.856,26.178,2.304,17.896,7.083,,17.8,15.429,13.6
2011-11-09,26.292,45.521,19.229,1.417,14.146,5.5,,16.2,15.038,13.9
2011-11-10,26.75,51.667,24.916,1.667,14.688,5.417,,15.0,14.271,13.5
