date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-05-09,10.822,12.83,2.007,,41.875,83.0,53.208,18.0,7.833,27.2,20.646,14.9
2011-05-10,16.188,22.75,6.562,,53.062,99.0,87.458,71.0,5.625,26.3,22.438,19.4
2011-05-11,12.979,15.271,2.292,,10.354,99.0,97.75,90.0,3.167,20.4,17.962,17.1
2011-05-12,15.104,19.438,4.334,,15.396,99.0,98.292,92.0,2.958,20.2,18.504,17.0
2011-05-13,8.646,10.542,1.896,,66.104,99.0,56.25,25.0,5.792,24.4,20.396,16.3
2011-05-14,11.688,14.854,3.166,,39.583,74.0,44.625,28.0,6.792,25.6,19.792,13.1
2011-05-15,9.312,11.542,2.23,,34.146,76.0,51.833,26.0,7.083,26.2,19.879,12.9
2011-05-16,7.871,9.408,1.536,,37.688,88.0,69.792,40.0,5.167,25.0,20.392,16.0
2011-05-17,14.127,18.71,4.584,,41.004,89.0,63.333,35.0,6.043,26.0,20.388,16.0
2011-05-18,15.585,19.63,4.044,,27.812,82.0,51.875,20.0,6.917,27.8,20.383,13.0
2011-05-19,13.938,16.333,2.396,,36.958,88.0,61.792,30.0,7.167,26.8,20.571,13.7
2011-05-20,13.521,16.416,2.896,,48.896,87.0,67.583,44.0,7.333,27.4,21.812,16.5
2011-05-21,11.646,14.062,2.416,,40.938,91.0,72.833,46.0,7.417,30.3,23.55,17.5
2011-05-22,7.104,9.042,1.938,,19.125,97.0,83.833,68.0,4.875,26.7,21.417,18.0
2011-05-23,19.992,26.085,6.093,,22.438,99.0,85.458,71.0,5.042,18.6,16.888,14.4
2011-05-24,10.646,13.208,2.562,,11.875,99.0,84.25,61.0,4.583,20.6,16.25,12.6
2011-05-25,11.354,13.604,2.25,,23.396,88.0,64.25,39.0,6.333,25.5,20.225,16.1
2011-05-26,10.396,12.52,2.125,,19.25,95.0,69.167,52.0,4.833,24.1,20.179,16.6
