date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-05-08,12.291599999999999,14.1166,1.8252,8.958375,,,183.333,3.542,10.708,194.042
2011-05-09,20.1488,25.285800000000002,5.1372,10.20475,,,186.958,3.875,13.625,200.583
2011-05-10,20.2502,41.1332,20.8834,11.697875,,,181.261,2.739,14.13,195.391
2011-05-11,16.5112,34.063,17.5516,6.49475,,,177.208,1.875,10.417,187.625
2011-05-12,16.3416,28.825,12.4834,5.01025,,,178.542,2.375,10.792,189.333
2011-05-13,7.1334,8.5668,1.4332,6.906375,,,185.042,2.667,9.833,194.875
2011-05-14,8.1682,9.4332,1.2648,8.802125,,,186.13,2.375,9.391,195.522
2011-05-15,18.5834,22.3832,3.8,12.047,,,188.042,2.958,11.208,199.25
2011-05-16,17.315,22.7316,5.4166,11.843625,,,187.917,3.042,11.792,199.708
2011-05-17,16.6832,19.8336,3.1498,9.791625,,,187.917,3.739,12.833,200.75
2011-05-18,16.6946,22.1326,5.438,11.239625,,,187.783,3.208,13.261,201.043
2011-05-19,19.9334,25.6918,5.7582,9.360375,,,187.696,3.417,14.304,202.0
2011-05-20,17.8834,26.2332,8.35,10.347999999999999,,,185.292,2.958,11.833,197.125
2011-05-21,15.3232,19.6984,4.3748000000000005,8.463625,,,182.708,2.542,10.167,192.875
2011-05-22,9.758199999999999,12.658199999999999,2.9,5.5575,,,183.522,2.167,10.739,194.261
2011-05-23,10.75,15.2888,4.5388,3.61225,,,184.917,2.875,8.25,193.167
2011-05-24,11.592600000000001,16.3522,4.7598,4.351375,,,184.167,2.87,9.458,193.625
2011-05-25,14.1958,18.4818,4.2862,6.614625,,,185.958,3.083,11.208,197.167
2011-05-26,17.3666,23.0084,5.6418,6.093625,,,185.087,3.833,11.696,196.783
2011-05-27,14.725,21.05,6.325,4.161375,,,184.208,3.583,10.333,194.542
2011-05-28,17.0192,23.672800000000002,6.6536,3.479125,,,185.917,4.833,13.75,199.667
2011-05-29,6.766800000000001,8.7666,2.0002,2.484375,,,183.833,2.958,11.167,195.0
2011-05-30,4.045,6.6584,2.6134,3.057375,,,183.652,2.25,8.304,191.957
2011-05-31,12.708400000000001,19.677799999999998,6.9696,5.70825,,,184.333,2.435,9.958,194.292
2011-06-01,15.4248,24.2736,8.849,5.479125,,,184.0,2.917,11.792,195.792
2011-06-02,16.214,22.9914,6.7780000000000005,6.783125,,,185.333,2.913,12.833,198.167
