date,NO2_mean,NOX_mean,NO_mean,SO2_mean,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-31,28.861,57.994,29.133,1.417,196.64,5.909,73.0,52.083,30.0,20.776,,0.0,7.5,3.625,0.4,217.417
2011-02-01,23.671,55.08,31.409,2.847,196.288,6.005,74.0,48.083,24.0,20.059,,0.0,9.3,4.642,0.6,216.347
2011-02-02,12.631,24.185,11.554,1.347,191.355,3.943,60.0,46.417,26.0,8.02,,0.0,4.8,1.162,-1.1,199.375
2011-02-03,26.936,51.827,24.891,1.889,196.886,5.76,72.0,51.125,32.0,16.289,,0.0,5.6,1.658,-3.3,213.175
2011-02-04,21.148,38.333,17.185,3.639,193.865,5.25,67.0,44.375,27.0,10.916,,0.0,7.7,5.171,2.6,204.781
2011-02-05,21.838,31.958,10.12,4.472,198.615,5.969,62.0,47.5,31.0,15.75,,0.0,9.0,6.008,2.0,214.364
2011-02-06,30.428,49.245,18.817,2.329,198.761,6.937,92.0,77.583,59.0,30.828,,11.0,9.8,7.55,5.1,229.589
2011-02-07,29.167,55.04,25.873,1.5,195.472,6.78,93.0,76.25,50.0,21.875,,25.0,10.3,8.783,6.1,217.347
2011-02-08,15.446,31.714,16.268,1.389,191.138,4.033,59.0,43.625,28.0,9.731,,0.0,6.9,3.833,0.1,200.869
2011-02-09,20.367,38.753,18.386,2.489,193.794,5.088,63.0,47.125,31.0,10.944,,0.0,6.2,2.771,-0.4,204.738
2011-02-10,24.769,47.226,22.457,2.083,194.478,5.132,59.0,49.792,38.0,16.358,,0.0,6.8,3.888,0.2,210.836
2011-02-11,16.208,25.028,8.819,1.375,193.406,4.292,62.0,51.375,40.0,12.125,,0.0,7.1,4.662,1.7,205.531
2011-02-12,15.0,22.38,7.38,1.18,195.052,4.74,65.0,52.125,33.0,11.813,,0.0,9.4,4.612,1.8,206.865
2011-02-13,28.842,47.013,18.171,0.946,196.912,5.843,87.0,71.667,49.0,22.02,,12.0,5.9,4.45,2.8,218.932
2011-02-14,34.778,69.269,34.491,0.75,198.677,7.572,90.0,86.917,83.0,37.667,,11.0,7.4,6.108,4.5,236.344
2011-02-15,26.618,59.471,32.854,1.056,196.64,7.15,93.0,75.292,59.0,29.448,,0.0,7.8,5.104,2.9,226.087
2011-02-16,26.699,48.974,22.275,1.558,192.77,5.087,67.0,51.667,39.0,16.381,,0.0,7.4,4.342,1.5,209.151
2011-02-17,18.548,36.95,18.402,1.74,191.446,4.733,62.0,47.125,27.0,11.382,,0.0,7.8,4.217,1.6,202.828
2011-02-18,11.69,20.236,8.546,0.764,192.839,3.99,73.0,54.708,33.0,9.43,,0.0,6.0,2.133,-0.1,202.269
2011-02-19,17.213,26.134,8.921,1.292,196.812,4.638,76.0,60.833,40.0,14.125,,0.0,7.2,2.45,-2.1,210.938
2011-02-20,32.088,61.329,29.241,1.528,199.938,6.219,76.0,54.708,35.0,24.031,,0.0,8.3,4.104,-0.4,223.969
2011-02-21,46.667,111.66,64.993,4.694,205.932,9.833,67.0,57.208,45.0,51.962,,0.0,8.6,5.5,1.4,257.894
2011-02-22,26.422,38.566,12.144,1.831,193.692,6.038,88.0,60.75,37.0,23.284,,7.0,11.8,8.746,5.3,216.976
2011-02-23,24.891,52.931,28.04,1.203,194.296,6.625,91.0,78.125,52.0,26.204,,18.0,12.5,10.617,8.5,220.501
2011-02-24,16.099,26.393,10.294,1.542,195.704,5.051,66.0,47.75,29.0,13.87,,0.0,13.2,9.104,6.3,209.574
2011-02-25,24.083,40.468,16.384,1.143,196.396,6.065,83.0,69.75,59.0,18.302,,3.0,8.9,7.4,6.5,214.698
2011-02-26,9.579,13.806,4.227,0.611,192.573,3.646,74.0,55.75,39.0,9.354,,0.0,7.4,5.096,1.8,201.927
2011-02-27,15.651,27.087,11.436,0.681,195.312,4.281,76.0,56.083,31.0,12.177,,0.0,7.4,3.067,1.1,207.49
2011-02-28,23.375,37.657,14.281,0.931,196.677,4.823,72.0,47.75,24.0,19.588,,0.0,9.3,4.783,-0.7,216.265
2011-03-01,38.847,72.629,33.782,1.927,199.126,6.8,77.0,65.0,52.0,35.75,,0.0,14.1,9.75,5.1,234.875
2011-03-02,31.556,66.523,34.968,1.542,195.296,6.521,92.0,75.917,62.0,29.87,,5.0,11.5,10.512,8.6,225.166
2011-03-03,13.25,20.838,7.588,0.959,191.7,4.608,66.0,50.667,32.0,12.257,,0.0,12.9,9.317,6.9,203.956
2011-03-04,12.185,16.921,4.736,0.764,193.636,4.583,86.0,69.917,48.0,12.416,,8.0,9.8,7.833,5.2,206.052
2011-03-05,26.359,51.683,25.324,1.136,195.029,6.399,93.0,87.917,82.0,26.227,,47.0,13.0,10.992,9.8,221.256
2011-03-06,34.928,81.813,46.885,2.805,200.997,8.435,94.0,78.042,60.0,34.171,,10.0,16.7,13.154,11.2,235.168
2011-03-07,20.139,33.195,13.056,2.014,196.437,7.44,75.0,54.625,41.0,17.073,,0.0,13.1,11.208,8.4,213.51
2011-03-08,20.485,33.691,13.206,1.697,196.619,7.404,68.0,52.125,34.0,18.176,,0.0,14.7,10.162,6.7,214.795
2011-03-09,23.252,35.658,12.406,0.972,194.977,6.667,84.0,75.125,52.0,20.212,,19.0,9.1,7.375,6.3,215.19
2011-03-10,14.958,23.282,8.324,0.792,192.708,5.15,79.0,57.167,43.0,12.802,,0.0,10.8,8.258,5.9,205.51
2011-03-11,12.333,18.171,5.838,1.458,192.427,4.375,65.0,49.0,30.0,10.281,,0.0,9.5,5.904,2.6,202.708
2011-03-12,14.361,25.987,11.627,0.861,193.092,4.531,74.0,52.833,34.0,9.254,,1.0,7.9,4.188,1.7,202.347
2011-03-13,20.732,37.698,16.965,0.93,192.934,4.698,65.0,52.042,36.0,12.898,,0.0,7.7,4.558,2.0,205.832
2011-03-14,34.139,59.497,25.357,2.208,197.692,5.39,71.0,49.167,30.0,22.814,,0.0,9.4,5.862,1.1,220.506
2011-03-15,24.775,41.686,16.911,1.756,195.689,5.87,65.0,46.958,25.0,20.262,,0.0,11.3,6.892,3.3,215.95
2011-03-16,35.367,55.796,20.428,1.472,197.781,6.26,64.0,40.667,17.0,25.96,,0.0,13.1,8.175,1.8,223.742
2011-03-17,34.106,60.319,26.213,1.25,199.594,6.911,90.0,82.042,57.0,35.594,,12.0,15.3,12.054,9.5,235.188
2011-03-18,31.662,72.204,40.542,2.528,206.114,9.062,92.0,84.75,74.0,35.667,,4.0,12.8,11.679,9.6,241.781
2011-03-19,12.474,21.321,8.848,0.667,190.048,4.044,79.0,52.792,33.0,10.209,,0.0,10.4,7.604,4.0,200.257
2011-03-20,20.954,32.071,11.117,1.797,192.102,4.19,64.0,49.75,33.0,15.806,,0.0,10.7,6.921,2.4,207.908
2011-03-21,20.692,33.157,12.465,1.311,191.834,4.425,65.0,43.875,21.0,13.573,,0.0,12.5,7.958,3.9,205.408
2011-03-22,39.395,69.061,29.667,4.515,198.504,6.692,63.0,50.208,34.0,27.693,,0.0,13.1,9.592,3.5,226.197
2011-03-23,25.412,35.631,10.218,0.736,190.782,5.031,93.0,80.958,48.0,22.236,,33.0,11.8,10.283,8.1,213.018
2011-03-24,20.505,30.148,9.643,2.458,190.677,6.295,89.0,67.5,50.0,12.542,,10.0,12.9,10.321,7.4,203.219
2011-03-25,9.884,14.116,4.232,1.514,191.916,4.51,65.0,46.458,30.0,8.469,,0.0,11.3,7.712,5.1,200.386
2011-03-26,21.295,34.759,13.464,1.001,195.177,5.335,71.0,57.25,36.0,16.393,,0.0,8.6,6.092,3.0,211.57
2011-03-27,34.927,55.251,20.324,2.896,199.086,5.792,69.0,50.958,31.0,22.814,,0.0,13.4,8.562,3.3,221.9
2011-03-28,27.592,47.588,19.997,2.653,198.75,6.553,73.0,53.292,25.0,26.76,,0.0,15.6,10.504,6.2,225.51
2011-03-29,30.997,48.05,17.053,2.862,195.898,5.599,74.0,43.042,14.0,19.099,,0.0,16.5,11.021,4.8,214.996
2011-03-30,32.421,55.504,23.083,2.903,197.706,5.606,69.0,48.333,36.0,27.806,,0.0,19.7,14.679,9.0,225.512
2011-03-31,19.213,29.537,10.324,1.042,189.823,4.768,91.0,71.708,49.0,12.76,,20.0,16.4,11.35,4.8,202.583
2011-04-01,33.852,49.299,15.447,3.0,192.51,5.978,63.0,44.625,15.0,20.452,,0.0,18.8,13.088,5.8,212.962
2011-04-02,28.014,40.741,12.727,3.597,193.49,5.908,71.0,53.792,39.0,24.156,,0.0,17.9,12.388,7.4,217.646
2011-04-03,7.194,10.426,3.231,0.903,188.666,3.198,54.0,38.958,29.0,7.834,,0.0,11.3,7.829,5.7,196.5
2011-04-04,14.054,22.673,8.619,0.792,190.312,3.833,54.0,34.667,14.0,11.146,,0.0,14.6,9.221,4.5,201.458
2011-04-05,24.741,37.315,12.574,1.542,191.948,4.648,48.0,32.5,20.0,16.064,,0.0,16.7,10.954,5.6,208.012
2011-04-06,30.237,44.238,14.001,2.361,191.61,4.487,64.0,45.708,19.0,18.44,,0.0,18.8,12.817,5.6,210.05
2011-04-07,34.671,53.6,18.929,3.125,195.249,5.578,62.0,52.167,39.0,27.06,,0.0,20.1,15.912,11.3,222.308
2011-04-08,34.71,56.459,21.749,1.727,192.5,4.908,94.0,76.0,52.0,22.47,,25.0,17.7,15.479,14.6,214.969
2011-04-09,17.555,28.102,10.546,0.944,188.238,4.74,94.0,71.542,50.0,18.59,,17.0,19.0,15.354,13.2,206.828
2011-04-10,22.268,27.908,5.639,2.472,192.281,5.281,71.0,43.75,24.0,15.594,,0.0,17.9,14.708,9.9,207.875
2011-04-11,25.831,39.492,13.662,3.038,191.5,5.519,70.0,48.667,25.0,18.066,,0.0,18.3,12.083,7.9,209.566
2011-04-12,27.416,42.687,15.271,1.812,191.185,4.386,63.0,44.375,32.0,16.031,,0.0,14.4,11.021,6.8,207.216
2011-04-13,36.292,56.595,20.303,3.611,194.26,5.996,62.0,43.958,13.0,27.271,,0.0,20.0,13.912,6.9,221.531
2011-04-14,31.472,45.777,14.305,5.019,190.724,5.511,68.0,45.917,20.0,23.822,,0.0,22.5,15.9,9.4,214.546
2011-04-15,33.463,48.309,14.846,4.653,189.874,5.938,72.0,64.208,52.0,24.115,,1.0,19.5,17.067,15.5,213.989
2011-04-16,19.014,31.592,12.579,1.75,190.198,4.948,89.0,57.875,36.0,18.49,,0.0,18.3,14.675,8.5,208.688
2011-04-17,14.454,18.949,4.495,1.347,189.188,3.829,57.0,39.792,22.0,12.323,,0.0,18.3,13.096,7.0,201.51
2011-04-18,24.605,36.813,12.208,1.764,189.24,4.673,85.0,65.042,41.0,19.844,,7.0,21.8,14.788,11.2,209.085
2011-04-19,20.482,33.542,13.06,1.373,188.75,4.594,84.0,65.333,38.0,13.927,,2.0,14.5,11.367,9.8,202.677
2011-04-20,16.478,28.187,11.709,0.719,188.824,4.38,69.0,56.458,43.0,11.588,,0.0,13.8,11.004,8.3,200.412
2011-04-21,29.313,45.108,15.796,2.842,192.48,5.088,74.0,53.875,23.0,20.885,,0.0,19.5,13.271,6.2,213.366
2011-04-22,41.899,64.044,22.145,1.639,196.809,7.271,90.0,74.083,51.0,47.602,,10.0,16.1,14.062,12.2,244.41
2011-04-23,27.241,41.009,13.768,0.722,191.802,6.188,94.0,83.375,71.0,27.688,,42.0,15.3,13.45,10.4,219.49
2011-04-24,18.268,24.218,5.949,1.653,190.834,4.812,86.0,59.667,30.0,15.104,,0.0,18.0,12.9,7.4,205.938
2011-04-25,28.874,45.416,16.542,1.818,192.039,5.171,78.0,58.375,38.0,22.348,,2.0,16.8,13.062,8.7,214.386
2011-04-26,27.312,41.435,14.123,2.25,189.656,5.069,69.0,57.708,40.0,21.51,,0.0,22.5,17.042,11.0,211.167
2011-04-27,25.054,39.561,14.506,2.027,187.521,4.596,89.0,73.375,54.0,15.271,,8.0,24.0,18.967,13.5,202.792
2011-04-28,21.38,34.024,12.644,2.139,187.118,4.879,87.0,68.75,44.0,14.8,,0.0,17.9,13.938,10.9,201.919
2011-04-29,20.065,28.171,8.106,2.639,191.396,4.712,79.0,57.0,34.0,14.867,,0.0,18.6,14.054,8.8,206.263
2011-04-30,26.005,36.042,10.037,2.778,193.792,5.386,67.0,51.5,32.0,21.302,,0.0,22.7,18.008,12.2,215.094
2011-05-01,21.744,30.85,9.106,1.681,192.896,5.312,90.0,77.125,60.0,20.864,,7.0,19.3,17.479,15.3,213.76
2011-05-02,20.06,31.644,11.583,1.333,191.771,5.278,80.0,43.917,24.0,17.083,,0.0,21.9,18.296,13.5,208.854
2011-05-03,25.986,34.023,8.037,2.625,195.379,6.146,63.0,45.042,29.0,20.914,,0.0,20.4,17.112,13.9,216.293
2011-05-04,19.347,27.125,7.778,3.25,193.719,5.857,67.0,47.5,29.0,16.792,,0.0,21.9,17.442,12.8,210.51
2011-05-05,15.704,20.261,4.557,2.111,190.416,3.971,59.0,41.792,19.0,11.833,,0.0,23.3,17.758,12.9,202.25
2011-05-06,24.694,34.87,10.176,2.056,190.95,5.062,63.0,52.917,33.0,19.79,,0.0,23.9,18.904,13.6,210.74
2011-05-07,12.005,16.153,4.148,1.597,185.396,3.625,90.0,59.75,31.0,14.386,,1.0,26.3,20.796,17.8,199.781
2011-05-08,12.748,17.275,4.526,3.208,186.062,4.08,89.0,59.667,31.0,10.823,,1.0,26.4,21.538,17.6,196.886
2011-05-09,22.024,32.592,10.568,2.889,189.089,4.784,76.0,51.958,23.0,16.444,,0.0,25.9,21.492,16.6,205.533
2011-05-10,19.362,45.471,26.109,4.403,182.156,3.958,94.0,87.875,73.0,14.75,,9.0,25.0,21.629,20.3,196.906
2011-05-11,21.341,44.256,22.915,1.923,183.585,4.778,95.0,93.792,86.0,22.704,,67.0,22.2,20.6,19.5,206.29
2011-05-12,20.521,30.701,10.18,0.949,186.276,5.042,95.0,85.083,64.0,29.207,,22.0,22.9,20.858,19.3,215.483
2011-05-13,23.991,38.221,14.23,3.22,187.72,5.073,87.0,51.5,29.0,14.129,,0.0,22.9,20.421,18.0,201.849
2011-05-14,21.06,29.583,8.523,3.458,189.844,4.91,60.0,37.5,21.0,12.083,,0.0,24.4,20.271,16.6,201.927
2011-05-15,16.949,22.44,5.491,2.833,191.792,4.479,54.0,38.0,20.0,14.01,,0.0,24.3,19.829,13.2,205.802
2011-05-16,28.612,41.211,12.599,3.653,193.048,5.192,67.0,53.167,35.0,17.346,,0.0,24.1,20.842,17.7,210.394
2011-05-17,28.958,43.173,14.215,3.671,191.75,5.24,75.0,55.333,30.0,17.35,,0.0,24.9,20.162,15.9,209.1
2011-05-18,36.214,51.545,15.331,3.958,194.774,5.776,74.0,47.375,23.0,24.006,,0.0,25.1,20.021,13.8,218.781
2011-05-19,29.56,42.246,12.686,3.51,193.687,5.59,60.0,52.042,41.0,21.781,,0.0,26.1,21.138,16.2,215.469
2011-05-20,22.463,36.759,14.296,3.209,186.974,4.438,73.0,60.0,41.0,11.992,,0.0,24.9,21.65,18.9,198.966
2011-05-21,18.648,32.537,13.889,3.389,185.74,4.542,79.0,67.958,55.0,14.864,,0.0,26.7,23.312,20.0,200.604
2011-05-22,9.653,14.671,5.019,1.889,184.542,4.135,90.0,67.583,43.0,9.719,,25.0,23.1,20.579,16.5,194.26
2011-05-23,14.919,24.111,9.192,0.477,186.679,4.187,93.0,80.0,64.0,14.649,,49.0,17.2,15.5,14.0,201.328
2011-05-24,20.556,30.468,9.912,1.445,187.146,4.292,92.0,69.125,43.0,18.938,,26.0,24.2,18.446,14.1,206.084
2011-05-25,30.514,43.874,13.36,2.861,190.346,4.892,77.0,56.75,36.0,21.778,,0.0,25.7,20.304,15.6,212.124
2011-05-26,18.123,23.865,5.742,1.701,189.313,4.498,82.0,55.5,33.0,24.188,,3.0,24.8,20.921,18.0,213.5
2011-05-27,13.209,17.521,4.312,0.778,187.408,4.01,90.0,69.458,54.0,21.924,,8.0,20.1,18.408,17.1,209.332
2011-05-28,19.417,26.82,7.403,0.583,190.26,5.281,93.0,88.5,83.0,23.75,,20.0,20.3,19.325,17.6,214.011
2011-05-29,9.208,13.398,4.19,0.347,184.476,3.627,95.0,89.25,78.0,14.16,,119.0,20.0,19.025,16.8,198.636
2011-05-30,8.802,14.388,5.586,0.361,182.61,3.498,81.0,68.125,55.0,9.681,,13.0,21.8,18.483,16.8,192.292
2011-05-31,18.368,28.409,10.041,1.25,186.021,4.33,75.0,58.875,44.0,17.122,,0.0,24.0,19.312,15.5,203.143
2011-06-01,18.467,26.048,7.581,0.778,188.828,4.84,92.0,79.292,65.0,29.11,,29.0,20.9,18.367,16.8,217.939
2011-06-02,22.195,34.575,12.381,1.576,188.104,5.11,88.0,75.333,58.0,22.979,,4.0,24.4,20.138,17.1,211.083
2011-06-03,26.971,43.969,16.999,2.472,190.216,5.771,85.0,67.792,45.0,26.225,,0.0,26.1,22.146,18.2,216.442
2011-06-04,20.282,32.704,12.421,3.472,187.094,4.81,77.0,65.667,48.0,15.51,,0.0,27.2,23.346,21.0,202.604
2011-06-05,18.944,25.801,6.857,3.903,185.386,4.208,80.0,68.667,55.0,12.334,,0.0,24.6,22.154,20.0,197.718
2011-06-06,34.361,49.395,15.034,4.216,190.928,5.711,78.0,55.875,35.0,20.668,,0.0,27.2,22.833,17.6,211.596
2011-06-07,27.55,39.215,11.665,2.278,192.073,6.589,69.0,55.833,40.0,32.604,,0.0,25.7,22.996,21.0,224.677
2011-06-08,22.172,30.686,8.513,2.417,185.352,3.798,82.0,67.0,47.0,17.011,,3.0,27.0,22.283,18.7,202.363
2011-06-09,22.586,37.327,14.741,3.361,184.521,4.578,84.0,72.458,56.0,13.135,,0.0,26.6,23.5,21.2,197.656
2011-06-10,28.84,50.171,21.331,3.028,190.062,5.214,94.0,78.625,64.0,20.482,,20.0,25.1,23.212,20.9,210.544
2011-06-11,19.065,31.662,12.597,1.472,185.958,5.24,95.0,77.875,56.0,16.646,,45.0,25.1,22.633,21.0,202.604
2011-06-12,19.546,24.898,5.352,1.542,192.844,5.979,93.0,75.458,53.0,21.5,,19.0,24.6,21.392,19.5,214.344
2011-06-13,28.574,46.607,18.033,2.554,190.199,5.392,91.0,72.833,56.0,20.69,,1.0,24.5,22.021,19.3,210.889
2011-06-14,19.396,30.267,10.872,1.68,188.01,5.125,83.0,56.083,32.0,17.604,,0.0,27.8,23.5,20.9,205.614
2011-06-15,21.742,33.345,11.603,2.028,188.57,4.939,69.0,47.458,25.0,20.616,,0.0,28.2,23.254,18.9,209.185
2011-06-16,20.252,29.487,9.235,1.375,190.289,5.065,93.0,79.875,69.0,24.888,,24.0,22.1,20.367,18.3,215.177
2011-06-17,27.957,39.314,11.357,2.016,189.1,5.042,94.0,73.625,55.0,22.677,,5.0,26.2,22.421,18.6,211.776
2011-06-18,30.032,43.81,13.778,1.833,193.479,6.865,94.0,86.25,71.0,36.334,,11.0,24.3,22.133,21.1,229.812
2011-06-19,21.537,30.634,9.097,1.764,195.552,6.147,93.0,80.375,60.0,24.073,,4.0,26.0,23.033,21.2,219.625
2011-06-20,27.824,46.779,18.955,1.583,191.875,6.521,93.0,87.083,73.0,32.5,,23.0,24.8,22.654,21.2,224.375
2011-06-21,23.231,45.486,22.255,2.403,184.802,4.875,93.0,77.042,58.0,20.719,,7.0,28.9,25.112,22.1,205.521
2011-06-22,20.773,47.406,26.633,4.914,183.283,5.153,85.0,73.042,61.0,21.114,,0.0,29.3,26.542,23.8,204.398
2011-06-23,10.891,30.094,19.203,3.278,178.179,3.651,90.0,74.208,59.0,14.39,,0.0,30.5,27.342,24.7,192.569
2011-06-24,10.336,30.334,19.998,3.424,177.971,3.594,84.0,72.792,60.0,14.351,,0.0,31.1,27.854,25.0,192.322
2011-06-25,9.116,26.028,16.912,2.972,177.886,3.102,87.0,69.917,54.0,13.698,,0.0,31.9,28.775,25.7,191.583
2011-06-26,8.269,18.718,10.449,1.986,181.302,3.76,90.0,65.375,45.0,15.25,,7.0,33.3,28.996,25.8,196.552
2011-06-27,9.934,27.814,17.88,1.903,180.25,3.302,75.0,63.333,52.0,15.229,,0.0,31.1,29.1,27.0,195.479
2011-06-28,11.301,30.601,19.301,3.639,177.832,3.639,85.0,65.875,51.0,13.324,,0.0,32.1,29.0,25.9,191.156
2011-06-29,20.314,39.716,19.402,4.746,179.75,3.886,76.0,62.0,41.0,17.281,,0.0,34.8,29.783,26.6,197.031
2011-06-30,28.376,51.465,23.089,6.13,183.074,4.749,76.0,60.292,43.0,21.234,,0.0,33.5,29.633,26.6,204.308
2011-07-01,24.648,52.884,28.236,4.889,181.8,3.814,89.0,76.583,65.0,18.978,,4.0,27.8,26.146,24.9,200.778
2011-07-02,22.523,39.583,17.06,3.5,183.802,4.562,84.0,69.833,57.0,19.677,,0.0,29.6,27.204,25.1,203.479
2011-07-03,15.32,22.44,7.12,3.639,183.438,5.156,82.0,70.875,51.0,16.198,,0.0,31.2,27.646,25.5,199.636
2011-07-04,17.535,33.666,16.131,3.322,178.38,4.082,91.0,75.458,61.0,14.625,,14.0,29.9,27.204,23.7,193.005
2011-07-05,26.481,40.483,14.002,3.458,187.238,5.133,91.0,68.292,51.0,19.207,,1.0,30.1,27.342,23.9,206.446
2011-07-06,22.175,34.512,12.337,1.875,189.185,4.965,89.0,66.792,37.0,22.218,,4.0,31.7,26.933,24.6,211.404
2011-07-07,16.629,43.072,26.443,2.179,178.364,4.27,93.0,90.917,87.0,15.655,,40.0,25.8,24.975,23.4,194.019
2011-07-08,13.275,37.932,24.656,3.569,176.585,3.999,91.0,73.083,55.0,15.91,,0.0,32.9,28.792,25.4,192.495
2011-07-09,10.69,27.75,17.06,2.792,177.0,3.751,75.0,61.083,46.0,14.552,,0.0,33.7,30.025,27.5,191.552
2011-07-10,9.5,21.156,11.656,2.431,178.864,3.708,79.0,58.083,32.0,15.063,,0.0,35.4,30.008,27.2,193.927
2011-07-11,11.955,28.438,16.483,2.453,178.949,3.583,77.0,61.25,43.0,13.662,,0.0,34.1,29.688,27.4,192.611
2011-07-12,16.106,48.54,32.435,2.917,182.979,4.647,86.0,73.292,55.0,22.073,,3.0,30.2,27.229,24.9,205.052
2011-07-13,13.691,37.185,23.494,2.933,181.03,3.687,80.0,63.375,50.0,18.641,,0.0,32.3,28.288,24.4,199.67
2011-07-14,13.298,33.739,20.442,2.885,177.086,3.34,72.0,58.833,36.0,14.483,,0.0,33.0,29.038,26.6,191.569
2011-07-15,22.156,42.981,20.825,2.819,179.981,3.926,73.0,54.917,27.0,19.579,,0.0,33.4,29.662,25.6,199.56
2011-07-16,22.708,36.875,14.167,4.681,179.125,4.417,75.0,58.75,42.0,18.0,,0.0,34.5,29.812,26.7,197.125
2011-07-17,11.019,16.389,5.37,1.75,179.133,3.573,76.0,54.75,38.0,17.254,,0.0,35.4,30.962,26.7,196.387
2011-07-18,6.991,13.704,6.713,0.667,176.521,2.551,89.0,79.083,64.0,17.323,,28.0,29.0,27.633,26.3,193.844
2011-07-19,6.774,13.1,6.326,0.569,174.648,2.745,86.0,75.0,67.0,21.303,,29.0,27.9,26.954,24.6,195.951
2011-07-20,7.474,14.553,7.079,0.391,173.954,2.866,73.0,63.208,53.0,15.41,,0.0,32.3,29.396,27.3,189.365
2011-07-21,11.701,24.15,12.45,0.42,180.842,3.829,69.0,63.625,57.0,15.596,,0.0,29.0,27.171,25.6,196.438
