date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean,TEMP_max,TEMP_mean,TEMP_min,SO2_mean,CO_mean
2011-01-23,190.609,6.391,9.578,11.785,2.208,,5.32,197.0,9.0,6.604,2.8,1.25,4.542
2011-01-24,188.739,5.739,11.694,13.942,2.248,,8.25,194.478,5.1,2.862,1.2,1.5,3.958
2011-01-25,190.19,7.048,14.797,18.855,4.058,,16.417,197.238,4.5,1.962,-0.1,2.391,4.826
2011-01-26,189.522,4.174,10.606,12.681,2.075,,8.5,193.696,5.6,2.088,-0.9,1.583,3.696
2011-01-27,190.727,5.273,15.848,18.8,2.952,,23.25,196.0,7.5,4.004,0.9,4.292,5.75
2011-01-28,189.667,4.875,10.473,12.077,1.603,,20.0,194.542,8.0,5.042,3.4,3.333,4.625
2011-01-29,189.167,5.083,7.896,9.363,1.467,,6.806,194.25,5.6,3.808,2.1,1.875,3.833
2011-01-30,191.25,10.708,18.299,23.606,5.306,,7.956,201.958,6.4,3.488,1.4,1.625,4.75
2011-01-31,188.542,4.875,15.328,18.861,3.533,,8.875,193.417,5.9,3.392,0.8,2.0,4.583
2011-02-01,188.458,4.958,13.986,17.002,3.016,,18.055,193.417,7.2,4.579,0.5,3.391,5.261
2011-02-02,189.4,7.35,8.201,9.593,1.392,,7.134,196.75,2.3,0.296,-1.9,1.208,3.75
2011-02-03,190.667,7.667,13.62,17.403,3.783,,10.375,198.333,4.0,1.192,-2.3,1.591,5.167
2011-02-04,190.542,8.042,14.673,17.188,2.514,,20.361,198.583,6.8,4.292,2.0,3.875,5.5
2011-02-05,192.083,8.75,14.305,17.389,3.083,,35.778,200.833,7.5,5.654,3.3,6.5,5.875
2011-02-06,192.583,16.042,31.351,47.466,16.115,,27.368,208.625,9.6,7.842,5.7,4.125,7.318
2011-02-07,194.708,18.292,25.667,44.514,18.847,,18.986,213.0,10.3,8.408,5.3,2.708,6.792
2011-02-08,188.826,7.174,11.153,13.384,2.231,,10.584,196.0,4.8,2.804,-0.5,1.826,4.043
2011-02-09,189.696,6.174,14.252,17.605,3.353,,11.918,195.87,4.5,1.658,-1.4,1.875,4.875
2011-02-10,188.792,6.958,14.786,18.001,3.215,,10.958,195.75,6.1,3.571,0.8,2.167,4.458
2011-02-11,188.875,6.25,10.533,12.595,2.062,,10.306,195.125,7.1,4.338,1.6,1.5,4.292
2011-02-12,189.625,5.792,9.847,11.472,1.625,,11.375,195.417,7.6,4.275,1.4,1.667,4.417
2011-02-13,191.375,12.25,26.556,40.014,13.458,,14.0,203.625,6.4,5.054,4.0,2.958,6.0
2011-02-14,195.625,20.417,37.635,83.365,45.73,,20.397,216.042,7.0,6.196,5.4,2.714,7.542
2011-02-15,194.542,17.042,28.611,69.486,40.875,,21.07,211.583,7.8,5.567,2.9,3.304,6.565
2011-02-16,189.905,7.429,17.244,22.115,4.871,,11.306,197.333,6.4,3.692,1.4,2.208,4.25
2011-02-17,189.583,6.042,13.484,16.485,3.001,,11.861,195.625,6.5,3.642,0.9,2.417,4.458
2011-02-18,190.917,5.583,8.86,10.541,1.681,,4.459,196.5,3.3,1.333,-0.3,1.083,3.75
2011-02-19,192.125,6.458,13.403,16.639,3.236,,9.195,198.583,6.8,2.775,-0.5,2.667,4.542
2011-02-20,191.417,8.375,22.167,28.875,6.708,,11.097,199.792,7.6,4.333,0.9,2.417,4.917
2011-02-21,197.583,22.417,44.333,98.319,53.986,,30.764,220.0,8.2,5.8,2.9,10.042,8.417
2011-02-22,190.208,10.333,27.517,36.841,9.325,,23.526,200.542,11.1,8.612,5.9,4.565,5.75
2011-02-23,193.174,14.391,23.945,35.921,11.976,,18.065,207.565,12.6,10.708,8.7,2.375,6.4
2011-02-24,192.478,9.739,16.855,19.272,2.417,,28.236,202.217,11.8,9.062,7.4,3.167,5.696
2011-02-25,195.125,13.375,25.766,36.187,10.42,,26.736,208.5,8.5,7.529,6.7,2.375,6.435
2011-02-26,191.375,6.125,4.805,4.958,0.153,,10.639,197.5,6.9,4.75,2.6,1.208,3.261
2011-02-27,192.583,5.958,9.797,11.644,1.847,,9.806,198.542,5.7,3.175,1.7,1.909,4.087
2011-02-28,194.167,8.417,19.833,25.153,5.319,,10.889,202.583,8.3,4.6,0.8,3.167,4.826
2011-03-01,194.565,25.261,44.389,84.196,39.807,,23.583,219.826,11.8,9.008,6.2,6.0,7.5
2011-03-02,191.727,15.818,29.007,54.749,25.742,,19.987,207.545,12.3,10.75,9.2,3.833,6.458
2011-03-03,191.75,5.458,9.053,10.156,1.104,,19.486,197.208,11.3,9.2,7.5,1.75,4.125
2011-03-04,193.667,7.875,13.764,15.847,2.083,,15.625,201.542,10.4,8.212,6.0,2.125,4.75
2011-03-05,194.875,17.667,29.264,54.125,24.861,,11.764,212.542,12.9,11.221,10.1,2.083,6.167
2011-03-06,198.292,22.0,30.972,71.042,40.069,,21.361,220.292,16.9,12.858,10.5,4.083,8.083
2011-03-07,194.958,9.292,19.247,23.667,4.419,,31.176,204.25,12.2,11.0,9.4,4.0,6.227
2011-03-08,194.619,10.81,27.029,35.49,8.461,,29.333,205.429,12.6,10.175,8.1,4.542,6.917
2011-03-09,193.708,12.458,33.417,43.361,9.945,,22.556,206.167,10.0,7.292,6.0,2.917,7.0
2011-03-10,190.208,5.708,9.007,10.026,1.019,,11.583,195.917,10.3,8.05,5.7,1.25,4.167
2011-03-11,190.625,5.333,8.336,9.279,0.943,,15.445,195.958,8.7,5.55,2.2,1.833,3.917
2011-03-12,192.083,5.333,10.708,12.43,1.722,,10.222,197.417,6.9,3.412,1.3,1.417,4.0
2011-03-13,192.083,6.292,15.542,18.417,2.875,,10.042,198.375,7.4,4.321,1.5,2.375,4.208
2011-03-14,192.261,8.435,24.608,31.998,7.39,,13.194,200.696,9.0,6.067,2.4,3.652,5.261
2011-03-15,190.304,7.957,13.468,14.471,1.002,,19.222,198.261,10.0,7.079,4.3,3.125,4.583
2011-03-16,192.208,15.042,30.746,40.774,10.028,,14.938,207.25,12.0,7.954,2.8,4.227,6.25
2011-03-17,193.292,27.0,39.37,69.394,30.024,,25.514,220.292,14.5,12.383,9.9,3.125,9.042
2011-03-18,196.042,22.167,30.833,58.07,27.236,,29.903,218.208,13.1,11.962,10.0,4.417,9.875
2011-03-19,189.333,7.958,8.556,10.0,1.444,,5.625,197.292,10.5,7.496,4.8,1.208,3.875
2011-03-20,191.417,11.333,18.529,22.686,4.156,,13.695,202.75,9.7,6.408,3.4,2.75,4.583
2011-03-21,189.833,8.042,14.293,15.717,1.424,,16.042,197.875,10.3,7.55,4.6,1.957,4.182
2011-03-22,193.227,18.227,41.724,67.012,25.288,,26.014,211.455,14.4,10.138,5.9,8.5,6.958
2011-03-23,189.5,13.083,30.449,39.776,9.327,,13.014,202.583,12.7,10.546,7.8,2.375,5.75
2011-03-24,189.417,8.083,15.529,17.467,1.938,,18.889,197.5,11.7,10.383,7.1,3.042,6.583
2011-03-25,191.625,5.375,9.18,10.153,0.972,,15.472,197.0,9.8,7.171,4.6,1.667,4.625
2011-03-26,192.542,6.375,12.459,13.764,1.306,,12.417,198.917,9.4,6.204,3.4,1.875,4.208
2011-03-27,192.25,8.042,19.278,22.097,2.819,,19.153,200.292,11.2,8.471,4.7,3.5,4.708
2011-03-28,190.826,6.913,20.118,23.011,2.893,,31.237,197.739,14.5,10.879,8.5,4.143,5.478
2011-03-29,192.435,7.087,20.877,24.594,3.717,,19.917,199.522,14.9,10.646,6.7,3.833,5.0
2011-03-30,190.167,10.042,27.037,42.023,14.986,,18.722,200.208,16.8,14.117,10.5,5.292,5.625
2011-03-31,186.917,4.625,11.555,12.833,1.278,,16.583,191.542,15.3,10.979,5.3,1.458,4.333
2011-04-01,187.5,10.25,27.428,35.097,7.669,,29.639,197.75,16.9,12.912,7.9,,6.292
2011-04-02,184.833,9.5,20.847,24.597,3.75,,36.403,194.333,18.5,13.167,7.6,,6.625
2011-04-03,187.375,5.292,5.754,6.174,0.42,,8.903,192.667,10.4,7.767,6.2,,3.625
2011-04-04,188.833,5.667,10.931,12.625,1.694,,8.972,194.5,12.8,8.567,4.6,,3.917
2011-04-05,190.667,10.292,25.682,31.136,5.455,,17.514,200.958,16.4,10.542,6.1,,5.0
2011-04-06,189.5,13.375,29.376,36.217,6.842,,17.75,202.875,17.5,12.796,7.5,5.348,5.13
2011-04-07,187.067,12.467,23.889,30.472,6.583,,15.111,199.533,17.7,15.271,12.6,5.542,5.0
2011-04-08,187.222,13.444,22.938,27.33,4.392,,25.288,200.667,16.1,14.962,14.2,1.833,5.435
2011-04-09,188.542,13.75,26.061,37.869,11.809,,20.417,202.292,16.2,14.846,13.3,2.75,6.083
2011-04-10,189.75,8.417,18.394,20.358,1.964,,30.861,198.167,17.3,13.892,10.3,3.875,5.625
2011-04-11,189.667,7.875,21.792,27.0,5.208,,28.278,197.542,18.6,12.204,7.5,4.833,5.875
2011-04-12,189.167,6.75,18.787,21.036,2.248,,25.319,195.917,14.2,10.054,5.9,2.917,4.875
2011-04-13,187.833,8.417,25.5,34.736,9.236,,28.347,196.25,18.1,13.883,9.1,6.043,5.696
2011-04-14,184.696,11.522,32.375,42.125,9.75,,40.319,196.217,21.1,15.775,11.5,7.917,5.75
2011-04-15,186.905,12.238,27.285,32.495,5.21,,35.634,199.143,18.0,16.525,15.3,6.682,6.375
2011-04-16,188.917,10.917,15.624,22.046,6.423,,32.722,199.833,17.6,14.225,8.6,2.833,5.542
2011-04-17,189.667,11.25,16.583,19.329,2.746,,15.333,200.917,17.2,12.0,6.7,3.125,4.292
2011-04-18,187.583,11.667,19.667,23.583,3.917,,22.514,199.25,17.9,14.283,11.4,2.833,5.167
2011-04-19,189.208,8.917,14.687,16.268,1.582,,13.472,198.125,12.8,10.617,8.3,1.958,4.917
2011-04-20,188.75,7.833,11.375,12.792,1.417,,7.139,196.583,13.5,10.708,7.8,1.957,4.348
2011-04-21,189.083,13.0,25.028,33.056,8.028,,17.222,202.083,17.5,12.971,8.1,4.5,5.458
2011-04-22,188.619,17.286,39.641,56.499,16.858,,26.792,205.905,16.0,14.788,13.9,5.917,7.304
2011-04-23,185.833,9.833,22.624,29.247,6.622,,24.194,195.667,15.6,13.958,10.2,2.167,5.042
2011-04-24,196.818,7.182,14.77,16.523,1.752,,23.472,204.0,16.5,12.892,8.7,2.292,4.583
2011-04-25,197.292,7.958,20.548,22.299,1.751,,24.833,205.25,16.9,13.642,10.9,3.682,5.042
2011-04-26,193.632,10.421,21.851,27.165,5.314,,30.972,204.053,19.6,16.133,11.9,4.208,5.083
2011-04-27,185.958,9.458,16.037,18.653,2.616,,32.84,195.417,20.5,17.392,12.7,2.609,5.0
2011-04-28,189.45,8.55,16.031,18.1,2.07,,22.25,198.0,16.9,13.538,11.5,2.917,5.083
2011-04-29,186.478,8.217,15.611,17.445,1.833,,16.167,194.696,16.5,13.604,9.5,3.125,5.208
2011-04-30,184.263,11.316,19.864,22.891,3.027,,23.847,195.579,20.3,17.4,13.8,3.917,5.292
2011-05-01,,,17.144,20.01,2.865,,29.653,,19.1,17.579,16.5,2.083,5.125
2011-05-02,187.5,12.083,21.694,25.417,3.722,,94.194,199.583,21.1,18.062,15.4,3.5,5.25
2011-05-03,189.292,14.167,27.938,33.916,5.978,,121.25,203.458,19.2,16.738,14.7,5.125,6.125
2011-05-04,187.042,10.708,20.0,22.958,2.958,,84.653,197.75,21.3,17.45,13.4,5.478,6.174
2011-05-05,184.375,8.583,15.611,17.25,1.639,,25.514,192.958,21.0,17.262,14.5,4.708,4.792
2011-05-06,186.304,10.783,19.486,22.194,2.708,,34.722,197.087,20.8,18.179,15.5,3.417,5.0
2011-05-07,183.333,9.958,15.518,16.888,1.37,,23.805,193.292,24.5,19.954,17.5,3.125,4.083
2011-05-08,183.375,10.667,15.534,17.336,1.802,,33.889,194.042,24.7,20.762,17.0,4.292,4.708
2011-05-09,185.375,12.75,21.667,25.556,3.889,,45.819,198.125,22.4,20.525,17.3,4.417,5.292
2011-05-10,177.333,11.25,16.292,25.845,9.554,,47.971,188.583,22.3,20.958,19.6,2.636,4.542
2011-05-11,175.292,10.958,16.056,28.792,12.736,,21.625,186.25,22.0,20.212,19.2,1.696,4.609
2011-05-12,178.55,16.2,26.271,40.083,13.812,,21.764,194.75,22.7,20.812,19.4,2.667,5.333
2011-05-13,188.826,12.261,14.819,16.472,1.653,,50.813,201.087,21.2,19.568,17.0,2.667,5.25
2011-05-14,190.0,10.304,15.202,16.119,0.917,,32.806,200.304,23.2,19.561,15.6,3.333,4.958
2011-05-15,197.042,12.125,19.373,21.755,2.382,,29.361,209.167,22.9,20.339,15.4,4.417,5.042
2011-05-16,193.417,12.417,16.333,17.639,1.306,,35.208,205.833,22.3,19.863,17.8,4.0,4.875
2011-05-17,194.542,14.292,23.173,26.798,3.624,,38.847,208.833,23.0,20.0,17.1,4.458,4.958
2011-05-18,198.417,19.333,31.635,37.573,5.938,,32.429,217.75,24.2,19.432,15.5,7.261,6.182
2011-05-19,192.917,13.0,21.153,25.389,4.236,,31.978,205.917,22.8,21.387,19.9,5.375,5.292
2011-05-20,182.864,9.318,15.661,17.466,1.804,,22.942,192.182,23.4,21.342,20.1,3.667,4.167
2011-05-21,178.583,8.625,14.08,18.254,4.174,,18.472,187.208,24.4,22.576,20.8,2.875,4.5
2011-05-22,181.0,7.917,10.84,12.495,1.656,,14.628,188.917,21.3,20.341,18.7,1.958,3.708
2011-05-23,184.333,8.5,18.875,23.232,4.357,,8.671,192.833,16.2,15.911,15.5,1.762,4.417
2011-05-24,184.333,9.25,18.644,21.506,2.862,,6.875,193.583,21.5,20.14,18.2,2.917,4.333
2011-05-25,182.417,14.292,26.819,30.5,3.681,,14.959,196.708,,,,4.652,5.0
2011-05-26,178.75,8.75,23.5,26.889,3.389,,19.583,187.5,23.2,20.493,17.8,5.333,4.542
2011-05-27,184.25,4.5,19.596,21.851,2.255,,8.899,188.75,19.0,17.95,17.2,3.458,4.333
2011-05-28,182.125,11.5,24.796,34.503,9.707,,7.792,193.625,20.7,19.853,19.1,3.167,6.125
2011-05-29,177.667,4.25,6.14,7.303,1.163,,7.903,181.917,21.8,19.796,16.9,1.375,3.667
2011-05-30,179.833,3.208,5.042,5.764,0.722,,5.805,183.042,21.1,18.654,16.2,0.958,3.292
2011-05-31,181.0,5.542,17.192,20.264,3.071,,7.417,186.542,21.6,18.983,16.0,3.208,4.375
2011-06-01,180.208,11.042,29.361,41.292,11.93,,14.822,191.25,20.3,18.39,16.9,6.348,5.783
2011-06-02,181.417,7.958,19.264,25.389,6.125,,16.542,189.375,22.0,19.892,17.8,3.542,5.125
2011-06-03,185.429,14.714,23.005,29.068,6.063,,34.134,200.143,25.3,21.625,19.2,5.125,5.391
2011-06-04,182.625,11.208,16.336,19.065,2.73,,33.896,193.833,25.4,22.433,20.7,5.833,4.333
2011-06-05,181.167,8.542,14.566,16.045,1.48,,25.292,189.708,23.6,21.767,19.7,5.5,4.083
2011-06-06,184.043,12.174,21.948,27.223,5.276,,34.818,196.217,26.1,21.883,17.9,5.826,5.125
2011-06-07,182.833,13.458,26.449,30.543,4.094,,25.849,196.292,24.4,22.47,21.1,5.708,5.458
2011-06-08,178.708,9.958,18.18,20.069,1.889,,14.931,188.667,25.2,22.681,20.8,3.87,4.652
2011-06-09,177.375,10.208,15.75,17.236,1.486,,19.095,187.583,25.5,23.494,22.3,4.75,4.333
2011-06-10,184.304,11.696,20.361,25.597,5.236,,26.361,196.0,24.8,22.604,20.8,3.458,5.333
2011-06-11,185.292,11.583,20.481,24.229,3.748,,21.0,196.875,23.5,22.129,20.7,3.167,5.0
2011-06-12,191.125,16.417,27.821,32.32,4.498,,38.188,207.542,23.7,21.238,19.9,3.458,6.25
2011-06-13,187.0,11.917,22.389,26.597,4.208,,26.23,198.917,25.0,21.733,19.5,3.417,5.042
2011-06-14,185.5,10.958,17.82,19.298,1.478,,27.917,196.458,24.6,22.875,20.7,3.833,4.417
2011-06-15,186.182,12.864,27.099,35.806,8.707,,15.355,199.045,26.4,22.861,19.9,5.0,5.478
2011-06-16,185.833,10.542,21.597,27.472,5.875,,22.042,196.375,21.3,19.981,18.5,2.5,5.333
2011-06-17,182.522,15.522,23.381,27.459,4.078,,12.771,198.043,25.3,21.821,18.6,3.0,5.609
2011-06-18,182.625,15.875,32.745,43.687,10.941,,29.354,198.5,23.5,21.325,20.4,3.75,7.125
2011-06-19,183.833,13.625,19.793,24.889,5.096,,22.854,197.458,24.3,22.271,20.7,2.792,5.792
2011-06-20,178.75,13.542,24.818,41.167,16.349,,16.438,192.292,24.3,22.279,21.4,2.217,5.417
2011-06-21,171.708,13.167,15.396,23.166,7.771,,19.271,184.875,27.7,24.504,21.7,2.792,3.458
2011-06-22,170.875,10.958,12.979,20.604,7.625,,33.25,181.833,28.6,25.867,23.9,4.565,4.522
2011-06-23,169.0,7.091,9.589,19.598,10.01,,34.438,176.091,27.2,25.042,23.4,2.417,3.917
2011-06-24,,,8.462,16.437,7.975,,37.792,,27.5,25.796,24.3,2.708,3.583
2011-06-25,,,8.649,16.763,8.113,,31.958,,29.7,27.1,25.0,3.0,3.583
2011-06-26,,,8.791,15.644,6.853,,20.042,,30.5,27.546,25.7,1.875,3.667
2011-06-27,,,8.266,15.176,6.91,,27.584,,29.3,27.447,25.7,1.333,3.208
2011-06-28,,,9.667,17.528,7.861,,28.625,,29.6,27.338,25.1,2.25,3.292
2011-06-29,,,18.388,29.566,11.178,,33.188,,34.4,28.954,25.0,4.957,4.136
2011-06-30,,,22.636,30.587,7.95,,39.896,,33.0,29.388,26.6,7.25,5.042
2011-07-01,,,18.712,27.865,9.153,,31.354,,27.7,25.642,24.5,4.542,4.708
2011-07-02,,,19.394,27.52,8.126,,29.438,,29.1,26.854,25.0,3.875,5.167
2011-07-03,,,16.101,19.73,3.629,,53.312,,30.1,26.9,24.8,5.083,5.0
2011-07-04,,,13.111,17.486,4.375,,45.292,,28.6,26.083,23.0,2.708,3.833
2011-07-05,,,17.859,20.091,2.232,,35.292,,30.0,26.742,23.7,3.917,5.333
2011-07-06,,,19.738,23.126,3.389,,37.87,,29.6,26.088,24.3,3.826,5.217
2011-07-07,,,13.07,23.681,10.611,,30.708,,25.4,24.479,22.9,1.917,4.583
2011-07-08,,,8.886,16.589,7.703,,32.145,,29.1,27.225,25.3,2.273,3.667
2011-07-09,,,8.315,14.36,6.045,,17.68,,30.7,28.288,26.3,2.458,3.667
2011-07-10,,,7.517,11.557,4.039,,13.945,,33.5,28.979,26.9,3.083,3.0
2011-07-11,,,10.903,17.486,6.583,,15.514,,31.6,28.454,26.5,2.958,3.208
2011-07-12,,,13.625,32.305,18.681,,15.931,,29.9,26.567,24.6,3.583,4.75
2011-07-13,,,11.153,21.0,9.847,,17.0,,29.9,27.112,24.1,3.739,3.957
2011-07-14,,,11.139,17.445,6.306,,16.653,,31.4,27.962,26.1,4.333,3.375
2011-07-15,,,19.806,26.407,6.601,,20.736,,31.8,28.225,25.8,5.542,3.739
2011-07-16,,,15.997,20.123,4.126,,24.681,,32.6,28.821,25.7,5.625,4.333
2011-07-17,,,13.189,15.501,2.312,,23.833,,35.5,29.883,25.9,3.458,4.208
2011-07-18,,,6.055,10.403,4.347,,17.01,,29.2,27.758,26.3,1.25,3.167
2011-07-19,,,6.952,10.78,3.828,,10.091,,27.9,26.654,24.4,0.667,3.042
2011-07-20,174.909,6.545,5.531,7.287,1.755,,13.102,181.455,31.9,29.217,27.3,1.333,2.87
2011-07-21,182.0,8.348,17.959,23.431,5.472,,15.667,190.348,28.6,26.583,23.3,3.542,4.083
2011-07-22,182.208,10.625,21.611,31.375,9.764,,22.486,192.833,25.8,23.988,22.0,4.042,4.0
2011-07-23,181.75,7.125,18.768,21.371,2.603,,37.042,188.875,30.4,26.571,23.9,6.0,3.708
2011-07-24,181.609,8.826,13.465,15.73,2.265,,32.52,190.435,31.0,26.796,24.5,5.0,3.583
2011-07-25,180.708,7.875,13.681,17.875,4.195,,26.222,188.583,28.9,26.942,25.9,3.458,3.667
2011-07-26,180.042,10.25,14.764,20.333,5.569,,20.694,190.292,29.8,27.025,25.3,4.042,3.895
2011-07-27,174.478,9.391,9.571,15.866,6.294,,20.189,183.87,28.5,27.004,26.0,3.478,3.5
2011-07-28,176.292,13.833,16.792,27.736,10.945,,26.167,190.125,30.8,27.971,25.9,6.042,3.625
2011-07-29,178.364,14.136,25.193,31.999,6.805,,37.506,192.5,31.7,28.942,25.9,7.25,4.75
2011-07-30,180.783,12.0,18.159,22.58,4.421,,35.125,192.783,30.9,28.479,26.7,4.917,4.958
2011-07-31,183.25,10.167,10.393,11.972,1.579,,30.611,193.417,32.0,28.133,25.4,3.292,4.167
2011-08-01,183.75,12.25,16.18,19.305,3.125,,34.32,196.0,32.0,28.308,25.9,3.542,4.208
2011-08-02,182.087,12.0,15.68,18.958,3.278,,28.291,194.087,32.3,27.958,25.5,3.25,3.833
2011-08-03,178.542,11.292,13.097,18.18,5.083,,20.014,189.833,32.8,29.004,26.1,3.565,3.773
2011-08-04,178.0,10.792,14.278,21.431,7.153,,17.5,188.792,33.3,29.704,26.4,4.333,4.042
2011-08-05,176.25,13.5,14.615,25.302,10.686,,15.816,189.75,30.0,27.854,26.3,2.667,4.458
2011-08-06,174.625,12.667,11.323,22.423,11.1,,19.028,187.292,31.0,28.575,26.7,2.917,4.125
2011-08-07,173.333,8.0,7.382,10.317,2.934,,15.597,181.333,32.2,28.954,27.2,3.333,3.125
2011-08-08,174.609,11.435,12.5,18.167,5.667,,19.278,186.043,32.6,29.058,27.0,3.458,3.875
2011-08-09,178.167,14.875,22.958,30.861,7.903,,36.75,193.042,34.4,29.733,26.6,4.625,4.625
2011-08-10,176.125,11.583,18.111,22.361,4.25,,47.389,187.708,33.7,30.025,27.5,3.435,4.286
2011-08-11,176.667,10.375,16.75,20.82,4.069,,30.778,187.042,33.5,30.358,27.8,3.5,4.375
2011-08-12,178.273,11.727,17.841,20.8,2.959,,36.278,190.0,34.2,30.5,28.1,3.375,4.522
2011-08-13,177.292,12.583,14.17,16.321,2.151,,40.931,189.875,35.4,30.617,28.3,3.25,4.125
2011-08-14,174.208,7.083,6.462,7.94,1.478,,48.407,181.292,31.1,29.112,27.7,2.583,3.0
2011-08-15,177.043,9.261,10.792,12.653,1.861,,36.612,186.304,32.5,29.338,27.3,3.125,3.542
2011-08-16,178.792,9.625,11.553,14.235,2.682,,40.181,188.417,33.1,29.525,27.7,3.125,3.75
2011-08-17,174.727,10.045,14.416,18.677,4.261,,50.192,184.773,31.8,29.525,27.9,3.143,3.87
2011-08-18,174.5,10.833,13.472,17.625,4.153,,58.035,185.333,31.7,29.067,27.6,2.375,3.458
2011-08-19,185.417,10.458,12.695,14.153,1.459,,20.944,195.875,30.9,28.462,27.1,2.5,4.208
2011-08-20,186.875,14.917,19.042,22.37,3.328,,20.403,201.792,27.7,25.7,23.8,2.25,5.042
2011-08-21,187.167,13.917,14.742,17.122,2.38,,24.069,201.083,25.8,24.596,23.9,2.375,5.375
2011-08-22,186.696,11.522,20.306,24.93,4.625,,18.944,198.217,30.0,26.733,23.6,4.083,4.667
2011-08-23,177.333,6.667,12.357,17.968,5.611,,31.847,184.0,29.8,27.362,24.9,3.083,4.0
2011-08-24,176.0,7.458,11.833,19.944,8.111,,22.833,183.458,32.5,28.9,26.5,3.696,3.957
2011-08-25,178.909,12.909,12.869,25.874,13.005,,17.059,191.818,29.8,27.779,26.3,3.875,4.824
2011-08-26,176.455,9.273,13.247,22.146,8.898,,20.366,185.727,32.3,28.621,26.6,4.958,3.542
2011-08-27,177.333,11.083,14.932,18.03,3.098,,24.632,188.417,32.6,28.0,24.9,3.333,3.792
2011-08-28,181.25,9.75,12.681,14.241,1.561,,33.653,191.0,33.5,29.017,26.0,3.5,3.708
2011-08-29,179.957,13.174,18.055,22.014,3.959,,36.158,193.13,33.2,29.604,26.9,3.917,3.958
2011-08-30,179.958,10.833,18.416,21.236,2.819,,24.833,190.792,33.3,30.217,26.9,4.542,4.042
2011-08-31,176.5,8.833,13.5,17.722,4.222,,21.861,185.333,31.6,29.158,26.6,2.826,4.261
2011-09-01,173.682,6.5,8.658,16.057,7.399,,22.417,180.182,29.8,28.025,26.5,2.083,3.833
2011-09-02,174.708,4.917,5.39,7.796,2.406,,21.008,179.625,29.3,28.379,26.9,2.333,3.292
2011-09-03,176.375,5.375,7.301,8.362,1.062,,17.195,181.75,28.0,25.896,22.1,1.833,3.542
2011-09-04,180.833,11.625,17.608,23.278,5.67,,13.278,192.458,26.1,24.05,21.9,2.0,5.458
2011-09-05,182.0,10.652,16.097,22.25,6.153,,10.236,192.652,26.5,24.921,21.8,2.708,4.708
2011-09-06,185.522,13.261,11.777,12.801,1.024,,14.251,198.783,27.7,24.088,20.8,3.958,3.667
2011-09-07,188.625,14.083,23.319,30.736,7.417,,20.347,202.708,29.6,25.184,21.4,5.348,4.87
2011-09-08,185.875,11.667,22.165,25.597,3.433,,23.27,197.542,29.5,27.1,24.0,5.833,5.304
