date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean,HUM_max,HUM_mean,HUM_min,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min
2011-01-29,196.292,9.5,20.389,35.153,14.764,9.958,2.312,8.347,205.792,3.542,87.0,69.042,50.0,,-0.6,-4.296,-7.3
2011-01-30,209.75,23.542,38.889,106.917,68.028,29.083,3.438,17.097,233.292,4.5,84.0,60.542,33.0,,-1.7,-5.338,-8.0
2011-01-31,199.848,12.326,28.055,49.486,21.43,19.208,2.366,12.889,212.174,3.458,82.0,57.833,34.0,,-3.0,-5.733,-9.1
2011-02-01,199.208,12.834,29.264,51.945,22.68,13.375,3.688,11.514,212.042,3.625,85.0,64.25,43.0,,-5.5,-8.146,-12.9
2011-02-02,194.021,9.084,21.707,34.979,13.272,8.667,1.771,6.639,203.104,2.458,84.0,63.292,42.0,,-6.0,-7.754,-10.3
2011-02-03,194.521,11.334,24.185,44.548,20.363,10.708,2.342,8.042,205.854,3.957,81.0,62.208,49.0,,-4.3,-6.338,-7.9
2011-02-04,195.834,12.229,26.111,45.014,18.903,15.708,3.75,11.805,208.062,3.5,85.0,66.042,44.0,,-0.7,-5.842,-8.3
2011-02-05,195.292,7.521,16.472,22.625,6.153,9.333,2.0,8.319,202.812,2.833,78.0,58.542,47.0,,-0.9,-2.992,-6.5
2011-02-06,194.538,12.479,26.429,39.25,12.821,13.174,2.666,12.008,207.017,3.0,79.0,70.75,55.0,,3.3,0.854,-2.8
2011-02-07,198.44,17.124,27.458,47.334,19.875,20.792,3.504,18.899,215.564,4.917,90.0,81.292,67.0,,2.1,0.367,-2.5
2011-02-08,191.438,6.084,8.375,10.972,2.597,11.417,2.25,8.834,197.521,2.458,75.0,54.25,42.0,,-2.2,-4.742,-7.0
2011-02-09,193.542,7.5,14.861,24.208,9.347,8.833,2.229,6.764,201.042,3.0,69.0,53.333,40.0,,-2.1,-5.625,-7.7
2011-02-10,192.606,5.256,8.783,11.678,2.895,7.917,2.176,8.74,197.862,2.13,82.0,57.792,46.0,,-6.2,-7.338,-8.3
2011-02-11,192.688,4.125,9.903,13.292,3.389,5.167,1.708,6.833,196.812,2.292,82.0,60.833,40.0,,-5.8,-7.242,-8.5
2011-02-12,192.792,3.229,6.051,8.131,2.081,5.708,1.479,6.667,196.02,2.0,78.0,61.708,44.0,,-6.2,-7.808,-9.5
2011-02-13,193.208,6.312,14.014,18.541,4.528,6.958,2.188,7.861,199.521,2.5,81.0,56.042,37.0,,0.2,-2.712,-7.3
2011-02-14,201.186,18.312,36.486,60.986,24.5,27.792,6.458,31.586,219.498,5.917,85.0,69.625,52.0,,4.0,0.538,-2.9
2011-02-15,195.736,11.125,15.25,20.208,4.958,15.542,2.854,18.097,206.862,2.958,91.0,74.0,53.0,,0.7,-4.083,-7.2
2011-02-16,193.993,7.674,13.573,18.228,4.655,10.333,2.104,9.292,201.666,2.708,81.0,56.833,39.0,,-3.1,-5.508,-7.8
2011-02-17,203.167,18.104,34.24,66.25,32.011,17.167,2.875,11.389,221.271,4.217,67.0,53.708,36.0,,-2.8,-6.729,-10.5
2011-02-18,200.438,15.75,33.583,55.028,21.444,17.917,3.77,11.347,216.188,3.75,82.0,67.958,51.0,,-5.9,-8.267,-11.5
2011-02-19,203.666,16.75,31.514,60.194,28.68,14.583,2.875,12.361,220.416,4.917,83.0,70.583,41.0,,-1.2,-6.979,-12.8
2011-02-20,199.146,16.188,27.271,46.032,18.761,15.435,3.029,11.819,215.334,4.429,85.0,59.125,35.0,,0.7,-2.438,-7.3
2011-02-21,192.666,6.125,7.954,10.097,2.143,14.125,1.686,13.083,198.792,2.222,86.0,60.125,41.0,,-0.8,-4.408,-6.2
2011-02-22,196.25,9.688,20.319,26.264,5.944,11.625,1.75,6.778,205.938,2.792,62.0,47.958,35.0,,1.3,-2.004,-5.0
2011-02-23,194.277,9.559,23.014,29.153,6.139,23.833,3.875,23.986,203.836,3.375,91.0,77.0,55.0,,3.0,-0.175,-2.9
2011-02-24,193.125,7.438,17.478,22.279,4.801,10.375,1.538,7.488,200.562,2.478,91.0,68.25,48.0,,-1.0,-3.1,-7.6
2011-02-25,195.23,7.375,21.208,30.014,8.806,7.25,4.146,10.18,202.604,2.708,84.0,72.875,62.0,,-5.7,-7.617,-10.2
2011-02-26,194.021,6.625,17.679,22.947,5.268,5.458,2.938,7.502,200.646,2.25,81.0,69.625,48.0,,-0.6,-4.392,-8.7
2011-02-27,192.917,7.354,17.347,24.069,6.722,4.542,1.604,6.458,200.27,2.792,84.0,64.667,51.0,,-2.8,-4.533,-6.4
2011-02-28,199.91,14.106,33.5,55.861,22.361,14.667,2.604,13.986,214.016,4.083,84.0,63.5,42.0,,-0.9,-4.121,-9.4
2011-03-01,194.022,12.932,29.016,39.308,10.292,19.375,3.5,22.403,206.954,4.0,80.0,64.25,51.0,,4.9,2.329,0.0
2011-03-02,193.125,5.584,10.591,13.033,2.442,15.375,1.388,14.46,198.708,2.478,61.0,49.0,40.0,,1.3,-0.675,-4.1
2011-03-03,193.938,7.438,13.958,19.472,5.514,13.833,1.896,11.903,201.375,2.375,81.0,68.958,53.0,,-1.7,-4.267,-6.8
2011-03-04,192.834,6.23,15.222,19.111,3.889,8.708,1.666,7.625,199.062,2.5,86.0,66.083,47.0,,-2.5,-4.771,-7.3
2011-03-05,198.125,11.271,29.789,42.886,13.097,9.083,7.021,15.014,209.396,3.833,88.0,69.792,48.0,,-1.4,-5.404,-11.4
2011-03-06,194.625,16.312,30.056,45.306,15.25,7.542,3.088,12.583,210.938,4.125,89.0,78.0,50.0,,6.3,1.6,-2.5
2011-03-07,190.625,8.958,17.681,24.417,6.736,6.25,1.542,6.706,199.583,2.458,87.0,72.208,57.0,,5.5,3.558,1.2
2011-03-08,192.718,10.434,17.583,22.819,5.236,7.87,1.083,7.437,203.152,3.0,84.0,72.75,60.0,,1.7,0.412,-1.2
2011-03-09,194.438,9.375,17.086,21.807,4.721,8.542,1.521,7.945,203.812,2.696,76.0,63.833,50.0,,2.4,-0.15,-1.8
2011-03-10,199.438,12.146,24.472,32.722,8.25,12.833,4.104,11.32,211.583,3.208,75.0,64.792,44.0,,3.2,-0.858,-4.6
2011-03-11,196.979,8.542,14.25,18.028,3.778,13.625,1.417,11.722,205.52,2.708,79.0,61.708,48.0,,1.8,-1.367,-5.3
2011-03-12,193.625,6.792,15.236,19.236,4.0,13.375,1.834,12.736,200.416,2.375,64.0,56.25,47.0,,0.6,-1.521,-3.8
2011-03-13,194.519,9.054,17.389,21.847,4.459,10.833,1.354,8.472,203.574,2.875,81.0,61.625,49.0,,0.0,-2.038,-4.3
2011-03-14,197.646,8.916,19.0,24.833,5.833,15.167,2.0,13.653,206.562,2.667,85.0,61.583,43.0,,2.4,-1.012,-5.7
2011-03-15,192.142,6.634,11.286,14.257,2.971,17.333,2.021,17.819,198.776,2.708,86.0,67.208,41.0,,2.3,0.479,-0.7
2011-03-16,196.0,9.438,20.243,28.7,8.457,13.833,2.502,11.542,205.438,3.174,66.0,47.458,38.0,,3.6,1.279,-1.6
2011-03-17,192.708,7.229,15.611,19.82,4.208,13.167,1.48,13.625,199.938,2.75,84.0,69.5,60.0,,4.6,2.771,1.4
2011-03-18,194.062,7.562,9.625,11.681,2.055,12.833,0.646,13.695,201.625,2.708,87.0,75.042,57.0,,2.9,-0.979,-4.8
2011-03-19,191.271,5.042,7.215,9.65,2.435,11.333,1.271,9.583,196.312,2.042,81.0,65.917,40.0,,-1.9,-4.421,-6.1
2011-03-20,191.0,5.021,8.708,11.361,2.653,10.125,1.408,9.847,196.021,2.25,78.0,61.625,52.0,,-1.4,-3.7,-5.6
2011-03-21,192.938,8.375,18.055,24.5,6.444,12.708,1.584,11.306,201.312,2.667,68.0,50.208,39.0,,2.1,-0.633,-5.1
2011-03-22,193.926,13.422,27.042,34.375,7.333,18.875,1.812,22.611,207.348,3.667,89.0,66.292,50.0,,4.4,2.15,-0.1
2011-03-23,193.708,10.0,17.455,22.277,4.831,16.958,1.354,17.458,203.708,2.913,88.0,63.375,46.0,,4.0,2.267,0.5
2011-03-24,192.625,8.292,17.646,22.375,3.194,10.292,1.292,10.611,200.917,2.5,88.0,78.417,59.0,,0.4,-0.558,-1.8
2011-03-25,191.25,5.75,11.688,14.875,2.125,8.917,1.125,7.0,197.0,2.333,84.0,72.167,51.0,,0.1,-1.492,-3.5
2011-03-26,194.042,8.0,12.976,16.964,3.783,12.87,1.333,10.056,202.042,2.458,84.0,61.042,31.0,,2.2,-0.896,-3.0
2011-03-27,193.786,9.589,17.819,23.958,6.139,11.667,0.98,10.736,203.374,3.042,87.0,54.042,39.0,,2.5,0.1,-2.9
2011-03-28,198.062,13.75,23.875,31.694,7.82,14.167,2.5,16.833,211.812,3.917,76.0,62.042,48.0,,5.7,0.883,-3.4
2011-03-29,198.586,13.331,22.813,28.887,6.074,21.583,2.042,23.417,211.916,3.458,68.0,51.542,30.0,,11.1,5.483,-1.9
2011-03-30,189.771,6.146,8.843,10.269,1.426,25.333,1.511,31.631,195.916,2.652,64.0,55.542,43.0,,13.8,9.408,5.4
2011-03-31,189.438,5.188,7.528,9.417,1.889,12.167,0.188,12.806,194.625,2.042,89.0,79.25,63.0,,5.8,1.717,-0.6
2011-04-01,190.266,6.322,10.931,13.365,2.434,21.417,0.572,21.778,196.588,2.913,88.0,70.792,39.0,,9.8,4.788,1.0
2011-04-02,189.354,4.042,5.111,6.264,1.153,6.333,0.188,6.875,193.396,2.042,88.0,66.875,53.0,,2.9,1.3,-1.1
2011-04-03,190.146,3.5,6.569,7.958,1.389,6.25,0.27,7.083,193.646,2.167,88.0,72.583,51.0,,2.1,0.512,-0.3
2011-04-04,193.625,9.708,18.981,25.297,6.316,8.5,0.854,8.139,203.333,3.292,74.0,50.0,35.0,,4.3,1.258,-3.1
2011-04-05,198.996,18.82,29.528,40.75,11.222,20.083,1.291,22.333,217.816,4.5,68.0,49.792,33.0,,11.7,5.838,-0.4
2011-04-06,202.292,19.854,30.764,40.361,9.597,26.917,1.729,35.041,222.146,5.5,75.0,46.958,17.0,,15.3,8.458,0.5
2011-04-07,191.812,9.354,15.209,17.722,2.514,16.917,1.23,24.611,201.166,3.042,82.0,50.75,36.0,,14.4,9.288,3.7
2011-04-08,192.31,10.19,17.73,23.131,5.402,15.0,0.625,16.806,202.5,3.304,83.0,57.917,33.0,,10.2,7.254,2.9
2011-04-09,197.167,11.708,18.278,23.18,4.903,15.417,0.688,14.056,208.875,3.708,79.0,46.792,27.0,,10.3,5.433,1.0
2011-04-10,192.188,6.625,10.417,12.167,1.75,19.583,0.917,20.417,198.812,2.917,88.0,61.583,32.0,,12.6,6.25,-0.5
2011-04-11,189.852,7.444,10.249,12.029,1.781,16.636,0.542,20.541,197.296,2.583,86.0,54.833,32.0,,7.9,5.271,2.7
2011-04-12,189.484,5.898,7.486,8.597,1.111,13.833,0.688,13.938,195.383,2.25,58.0,37.292,20.0,,10.3,6.225,1.5
2011-04-13,190.979,10.312,17.389,20.333,2.944,22.083,0.979,24.458,201.292,3.625,84.0,65.792,45.0,,9.1,6.329,4.4
2011-04-14,195.375,14.625,21.864,27.197,5.333,38.167,1.48,37.57,210.0,3.792,78.0,56.667,38.0,,13.0,8.496,3.4
2011-04-15,190.027,7.842,12.108,13.433,1.326,48.917,2.593,51.083,197.87,3.87,86.0,60.375,38.0,,15.2,10.738,5.9
2011-04-16,188.125,6.208,8.416,9.958,1.542,20.0,0.917,18.639,194.333,2.792,89.0,78.667,61.0,,11.6,7.45,2.4
2011-04-17,188.646,2.854,2.792,3.556,0.764,8.917,0.104,10.514,191.5,2.0,86.0,65.458,36.0,,6.3,3.938,1.4
2011-04-18,189.479,5.021,8.111,10.08,1.969,7.917,0.188,7.055,194.5,2.208,78.0,70.125,62.0,,6.7,5.129,3.7
2011-04-19,190.771,7.021,10.736,13.222,2.486,8.0,0.556,6.722,197.792,2.083,64.0,53.833,39.0,,10.8,6.288,3.1
2011-04-20,191.042,5.208,8.889,11.764,2.875,8.167,0.667,9.583,196.25,2.125,78.0,54.292,31.0,,10.5,5.721,2.2
2011-04-21,190.292,5.52,8.847,11.181,2.334,10.167,0.458,11.542,195.812,2.167,81.0,74.083,65.0,,7.2,5.279,4.1
2011-04-22,188.513,4.11,7.611,9.916,2.304,11.083,0.625,9.167,192.622,2.0,84.0,71.917,61.0,,6.6,4.838,3.5
2011-04-23,187.271,5.021,9.125,11.319,2.194,6.083,0.542,5.972,192.292,2.0,87.0,79.75,72.0,,10.0,8.088,5.3
2011-04-24,187.375,6.042,9.445,11.222,1.778,6.25,0.062,5.791,193.416,2.5,90.0,71.25,41.0,,12.2,8.538,6.2
2011-04-25,189.902,7.508,11.125,13.625,2.5,13.087,0.334,11.75,197.409,2.5,75.0,67.917,49.0,,10.8,7.529,5.8
2011-04-26,189.245,8.423,12.403,14.944,2.542,20.333,0.542,19.18,197.668,3.0,80.0,59.583,38.0,,14.6,10.338,6.3
2011-04-27,191.86,12.99,14.264,17.083,2.82,24.5,0.562,28.721,204.85,3.542,88.0,75.375,62.0,,12.4,8.938,6.0
2011-04-28,189.5,8.854,12.9,17.006,4.106,10.167,0.542,10.542,198.354,2.792,89.0,79.458,57.0,,14.4,8.842,4.2
2011-04-29,188.271,5.604,6.04,7.492,1.452,7.25,0.322,6.709,193.875,2.0,80.0,55.083,32.0,,13.1,8.821,4.2
2011-04-30,190.792,9.208,8.958,10.542,1.583,20.75,1.062,19.639,200.0,2.75,66.0,44.958,22.0,,18.4,13.342,7.2
2011-05-01,187.771,6.875,6.653,7.569,0.917,10.875,0.542,8.389,194.646,2.875,85.0,81.375,76.0,,12.2,10.758,9.3
2011-05-02,186.771,4.916,5.268,6.633,1.365,8.083,0.271,5.583,191.688,2.042,85.0,80.167,61.0,,9.3,6.121,3.7
2011-05-03,188.5,4.334,4.292,5.097,0.806,10.125,0.315,8.889,192.834,2.167,83.0,68.625,56.0,,9.2,6.712,4.5
2011-05-04,189.484,6.22,10.833,13.083,2.25,7.333,0.125,7.445,195.704,2.417,89.0,81.625,73.0,,6.3,5.279,3.7
2011-05-05,188.52,5.396,6.18,7.07,0.889,9.583,0.334,7.361,193.917,2.25,81.0,68.0,50.0,,10.1,7.229,5.3
2011-05-06,193.354,9.0,10.039,13.701,3.661,14.042,0.875,12.819,202.354,2.391,82.0,64.458,44.0,,14.5,9.292,3.9
2011-05-07,187.0,5.333,6.611,8.264,1.653,9.792,0.042,6.667,192.334,2.125,87.0,79.417,69.0,,12.4,10.35,8.0
2011-05-08,187.084,5.416,5.57,6.764,1.195,4.875,0.104,4.57,192.5,2.167,88.0,79.958,57.0,,12.1,9.275,6.7
2011-05-09,188.237,8.034,8.694,10.764,2.069,7.609,0.27,5.232,196.271,2.208,87.0,58.25,39.0,,13.4,10.304,7.1
2011-05-10,189.072,7.687,7.93,9.722,1.792,11.5,0.396,10.18,196.759,2.167,88.0,77.833,53.0,,12.5,9.183,6.7
2011-05-11,188.661,6.301,6.514,8.528,2.014,6.792,0.333,4.73,194.962,2.167,84.0,64.75,48.0,,11.8,8.8,6.4
2011-05-12,194.521,11.166,12.444,17.946,5.502,9.958,0.812,10.194,205.688,2.75,74.0,41.458,19.0,,19.2,12.046,5.5
2011-05-13,185.77,5.042,6.473,7.934,1.461,6.458,0.127,5.052,190.812,2.0,83.0,69.208,35.0,,11.9,9.821,7.4
2011-05-14,186.584,4.021,5.167,6.764,1.597,5.042,0.084,3.75,190.604,2.0,76.0,64.083,48.0,,11.2,8.217,6.2
2011-05-15,189.666,4.896,6.292,7.736,1.444,7.625,0.104,6.125,194.562,2.292,88.0,69.542,56.0,,8.6,6.454,4.7
2011-05-16,191.188,6.833,9.444,11.4,1.956,10.625,0.542,12.334,198.021,2.292,84.0,67.958,43.0,,14.1,10.796,4.3
2011-05-17,189.75,6.625,9.764,11.903,2.139,9.333,0.275,9.583,196.375,2.208,86.0,65.5,44.0,,13.5,10.558,7.2
2011-05-18,191.309,10.924,16.125,19.875,3.75,16.083,1.084,16.028,202.234,3.042,74.0,48.875,20.0,,19.9,14.079,7.2
2011-05-19,194.396,15.584,20.292,24.528,4.236,22.292,1.334,25.236,209.979,3.625,83.0,66.625,50.0,,16.0,13.467,10.6
2011-05-20,189.083,9.896,14.081,16.537,2.456,37.042,1.0,43.264,198.98,3.522,87.0,75.125,57.0,,18.9,13.388,11.6
2011-05-21,192.042,13.875,16.68,21.069,4.389,26.833,0.48,33.944,205.917,3.667,91.0,88.292,84.0,,14.8,12.567,10.6
2011-05-22,188.396,4.854,4.931,5.778,0.847,18.917,0.083,18.597,193.25,2.042,87.0,79.875,69.0,,12.7,10.367,8.7
2011-05-23,189.0,5.958,6.472,9.0,2.528,6.913,0.042,6.528,194.958,2.042,88.0,79.042,70.0,,9.3,8.362,7.6
2011-05-24,187.97,8.076,7.695,10.236,2.542,14.333,0.396,11.958,196.046,2.125,87.0,73.417,51.0,,16.3,11.3,7.0
2011-05-25,187.92,9.016,10.25,12.82,2.569,13.875,0.562,12.264,196.937,2.25,84.0,71.083,53.0,,16.9,12.696,9.7
2011-05-26,190.062,12.812,15.053,19.15,4.097,16.792,1.396,14.972,202.875,2.708,89.0,62.75,28.0,,23.3,14.5,7.6
2011-05-27,187.917,8.646,8.652,10.578,1.927,15.458,0.902,14.236,196.562,2.0,81.0,61.667,30.0,,20.7,15.433,8.6
2011-05-28,186.479,9.146,10.375,12.181,1.806,16.833,0.479,17.972,195.625,2.375,86.0,71.75,51.0,,21.8,16.392,14.4
2011-05-29,189.062,9.958,10.069,11.903,1.833,13.0,0.125,13.403,199.021,2.25,89.0,79.542,64.0,,19.5,15.342,12.7
2011-05-30,190.666,9.229,11.032,14.111,3.079,7.667,0.312,7.111,199.896,2.167,82.0,58.333,44.0,,18.6,15.038,11.2
2011-05-31,188.771,6.896,9.486,12.417,2.93,15.917,1.462,15.472,195.667,2.0,75.0,56.917,26.0,,18.2,12.096,8.0
2011-06-01,187.294,5.985,6.82,9.472,2.653,28.625,2.084,25.333,193.279,2.0,76.0,55.833,35.0,,16.8,11.425,6.8
2011-06-02,185.354,7.542,5.667,7.958,2.292,20.583,0.188,16.597,192.896,1.792,79.0,67.375,58.0,,14.7,12.383,8.0
2011-06-03,185.792,10.166,11.307,14.791,3.484,14.208,0.584,13.694,195.958,2.261,87.0,74.875,63.0,,18.5,15.021,12.0
2011-06-04,185.542,8.812,11.722,14.111,2.389,16.958,0.084,15.236,194.354,2.667,87.0,79.958,68.0,,15.7,13.496,10.9
2011-06-05,187.792,9.375,9.972,11.555,1.583,18.208,0.646,15.917,197.166,2.875,80.0,63.917,49.0,,21.3,16.892,13.6
2011-06-06,192.729,12.77,11.938,15.145,3.208,25.958,0.52,23.88,205.5,3.375,84.0,73.0,55.0,,20.6,15.121,11.8
2011-06-07,190.097,12.646,12.986,15.958,2.972,26.542,1.084,26.736,202.744,3.292,87.0,68.417,45.0,,24.0,17.046,12.3
2011-06-08,187.722,9.532,9.847,11.792,1.944,26.042,1.27,24.57,197.254,2.583,69.0,55.292,40.0,,25.6,20.392,16.3
2011-06-09,185.25,9.521,10.494,12.956,2.461,20.174,0.708,18.342,194.771,2.25,84.0,67.042,54.0,,22.9,18.979,14.8
2011-06-10,187.456,9.915,12.412,15.124,2.712,22.375,0.448,23.045,197.371,2.739,86.0,75.708,61.0,,21.6,17.688,15.2
2011-06-11,189.417,9.812,8.542,10.542,2.0,32.917,0.375,35.208,199.23,3.0,89.0,78.833,64.0,,21.0,17.325,15.5
2011-06-12,187.625,5.146,3.625,4.653,1.028,13.417,0.0,9.736,192.771,2.083,88.0,80.375,72.0,,17.5,15.383,13.7
2011-06-13,189.666,9.27,11.831,15.19,3.36,15.25,0.428,12.722,198.938,2.667,90.0,83.0,71.0,,17.8,15.012,13.8
2011-06-14,189.202,12.036,10.911,14.371,3.461,7.375,0.0,6.236,201.238,2.25,91.0,88.417,83.0,,14.4,13.492,12.2
2011-06-15,187.021,4.77,4.097,6.097,2.0,5.833,0.0,4.389,191.792,2.0,87.0,76.167,64.0,,15.9,13.542,11.8
2011-06-16,188.5,6.479,7.25,10.0,2.75,9.917,0.146,8.458,194.979,2.083,82.0,67.875,46.0,,21.8,16.079,12.7
2011-06-17,186.504,7.136,8.057,10.744,2.687,11.917,0.458,10.389,193.642,2.087,81.0,65.833,46.0,,24.8,18.479,12.7
2011-06-18,189.584,11.042,14.305,20.694,6.389,18.0,0.729,17.333,200.625,3.0,83.0,75.083,67.0,,19.0,16.775,14.6
2011-06-19,191.188,8.688,7.097,8.569,1.472,23.375,0.666,24.069,199.875,2.167,85.0,74.5,58.0,,22.8,18.042,15.4
2011-06-20,189.75,11.875,16.222,20.68,4.458,24.042,1.458,24.889,201.625,2.625,84.0,69.583,49.0,,24.6,19.779,16.2
2011-06-21,190.772,12.763,14.82,18.069,3.25,22.0,1.98,21.403,203.536,2.625,76.0,56.0,38.0,,28.3,23.233,16.6
2011-06-22,188.646,11.854,13.403,16.0,2.597,25.208,0.916,31.819,200.5,2.917,84.0,71.208,45.0,,29.1,21.946,17.7
2011-06-23,187.354,8.583,9.67,12.298,2.628,20.522,0.062,23.278,195.938,2.417,91.0,83.458,75.0,,17.7,16.238,15.3
2011-06-24,187.539,5.696,6.214,9.239,3.024,6.042,0.065,6.014,193.234,1.739,91.0,76.917,62.0,,16.0,14.225,11.7
2011-06-25,187.084,3.688,4.097,5.694,1.597,5.833,0.0,4.889,190.77,1.292,72.0,61.5,50.0,,16.2,13.767,11.0
2011-06-26,191.792,8.146,7.93,10.806,2.875,8.167,0.229,7.333,199.938,2.208,74.0,55.042,35.0,,23.1,16.358,10.0
2011-06-27,188.0,5.5,6.672,9.317,2.645,9.625,0.084,6.458,193.5,1.833,79.0,72.458,61.0,,19.4,16.746,12.7
2011-06-28,186.666,6.562,7.736,10.111,2.375,12.833,0.428,11.306,193.229,2.042,81.0,71.083,57.0,,24.5,20.4,17.2
2011-06-29,191.808,11.375,12.639,15.744,3.104,23.167,0.788,23.653,203.183,3.292,84.0,62.417,42.0,,28.6,22.783,16.7
2011-06-30,191.125,11.146,13.75,16.958,3.208,30.583,1.166,33.097,202.27,3.125,79.0,69.25,54.0,,25.4,20.988,17.9
2011-07-01,185.166,5.627,5.224,6.436,1.212,20.5,0.0,20.861,190.792,2.043,91.0,82.458,64.0,,23.2,18.204,16.1
2011-07-02,187.208,5.792,7.417,9.5,2.083,11.625,0.021,10.528,193.0,2.333,91.0,79.5,59.0,,23.6,18.15,15.4
2011-07-03,184.146,5.562,5.083,6.778,1.694,12.083,0.104,10.736,189.708,2.042,84.0,73.167,60.0,,26.2,21.458,15.9
2011-07-04,181.854,6.812,9.97,17.099,7.129,9.833,0.5,8.097,188.667,1.958,90.0,81.833,76.0,,22.2,20.95,19.3
2011-07-05,187.976,7.816,8.208,10.361,2.153,10.083,0.229,9.041,195.792,2.125,87.0,67.375,46.0,,27.1,22.008,18.1
2011-07-06,193.458,10.938,13.208,17.014,3.806,15.5,1.146,15.708,204.396,2.458,82.0,67.417,53.0,,26.8,22.862,18.7
2011-07-07,188.21,6.888,7.58,9.664,2.085,17.391,0.979,16.717,195.098,2.0,78.0,65.25,46.0,,27.5,23.762,18.5
