date,SO2_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean
2011-12-21,5.25,27.084,42.542,105.375,62.833
2011-12-22,6.25,34.542,34.458,90.292,55.833
2011-12-23,1.958,5.792,16.375,29.5,13.125
2011-12-24,3.167,10.75,31.167,92.333,61.167
2011-12-25,2.125,7.938,15.583,26.375,10.792
2011-12-26,1.792,6.604,22.625,44.542,21.917
2011-12-27,1.348,8.521,28.333,74.708,46.375
2011-12-28,2.375,18.458,43.292,136.083,92.792
2011-12-29,4.5,26.146,32.417,104.125,71.708
2011-12-30,3.167,7.25,12.25,19.792,7.542
2011-12-31,2.375,9.625,26.125,53.5,27.375
2012-01-01,3.708,16.584,22.833,36.542,13.708
2012-01-02,3.833,22.938,20.75,33.875,13.125
2012-01-03,2.708,9.48,12.042,18.25,6.208
2012-01-04,1.708,7.833,18.75,31.042,12.292
2012-01-05,2.875,13.75,36.625,82.667,46.042
2012-01-06,2.375,18.042,29.167,63.417,34.25
2012-01-07,3.875,30.75,45.792,136.333,90.542
2012-01-08,3.542,33.583,44.958,132.833,87.875
2012-01-09,3.542,24.792,39.917,115.542,75.625
2012-01-10,2.333,9.666,29.458,54.625,25.167
2012-01-11,2.542,13.812,35.583,75.667,40.083
2012-01-12,4.875,30.896,41.875,91.0,49.125
2012-01-13,4.125,43.521,37.458,75.375,37.917
2012-01-14,1.833,14.792,17.875,26.042,8.167
2012-01-15,2.917,15.334,21.708,39.583,17.875
2012-01-16,5.375,23.208,43.958,105.25,61.292
2012-01-17,5.087,21.065,23.043,40.304,17.261
2012-01-18,1.833,9.375,23.042,43.625,20.583
2012-01-19,3.833,21.25,37.208,98.292,61.083
2012-01-20,4.25,27.625,13.792,19.458,5.667
2012-01-21,3.625,31.044,39.364,86.182,46.818
2012-01-22,2.208,26.292,28.0,70.083,42.083
2012-01-23,2.875,10.938,27.625,57.542,29.917
2012-01-24,4.833,21.625,35.955,98.636,62.682
2012-01-25,3.625,18.625,18.75,31.125,12.375
2012-01-26,2.5,7.792,14.75,24.208,9.458
2012-01-27,2.792,11.104,19.625,31.125,11.5
2012-01-28,2.208,8.458,24.542,43.792,19.25
2012-01-29,5.25,26.729,48.292,124.792,76.5
2012-01-30,5.478,37.478,37.478,88.522,51.043
2012-01-31,4.875,28.792,44.917,128.083,83.167
2012-02-01,4.042,34.833,46.667,98.375,51.708
2012-02-02,2.292,37.604,30.667,60.125,29.458
2012-02-03,5.625,14.625,11.5,15.833,4.333
2012-02-04,3.708,31.875,33.583,75.0,41.417
2012-02-05,4.125,15.645,17.333,25.917,8.583
2012-02-06,2.417,19.312,36.25,80.042,43.792
2012-02-07,3.417,23.218,32.348,96.957,64.609
2012-02-08,2.125,7.188,15.125,27.75,12.625
2012-02-09,2.958,12.792,22.958,39.125,16.167
2012-02-10,4.5,23.188,29.042,57.417,28.375
2012-02-11,5.792,23.167,15.042,21.292,6.25
2012-02-12,3.348,20.364,32.545,65.409,32.864
2012-02-13,3.167,21.06,24.75,47.417,22.667
2012-02-14,4.333,20.25,41.958,92.083,50.125
2012-02-15,2.333,18.583,36.083,89.25,53.167
2012-02-16,3.042,7.521,10.625,16.75,6.125
2012-02-17,2.708,12.0,23.458,38.75,15.292
2012-02-18,2.0,17.042,32.708,75.583,42.875
2012-02-19,3.75,16.105,22.333,39.208,16.875
2012-02-20,2.917,14.73,29.792,67.917,38.125
2012-02-21,3.458,15.666,29.75,60.333,30.583
2012-02-22,5.417,32.125,44.333,99.458,55.125
2012-02-23,4.083,23.334,24.458,37.875,13.417
2012-02-24,3.167,11.271,13.0,19.917,6.917
2012-02-25,2.833,10.625,18.792,33.0,14.208
