date,SPM_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-04-19,11.29025,98.0,95.083,84.0,6.5205,8.2705,1.75,,0.0715,79.0,51.542,29.0
2011-04-20,10.90625,98.0,80.875,51.0,9.3535,13.157,3.8034999999999997,,0.35450000000000004,111.0,60.667,23.0
2011-04-21,20.875,94.0,86.625,72.0,11.146,15.479,4.333,,0.6345,99.0,69.042,34.0
2011-04-22,28.39575,97.0,84.958,67.0,9.7925,12.935500000000001,3.1435,,0.625,143.0,109.458,76.0
2011-04-23,19.07275,100.0,97.542,94.0,7.1875,9.271,2.0835,,0.20850000000000002,142.0,121.208,81.0
2011-04-24,12.573,98.0,64.792,32.0,3.9165,4.6875,0.771,,0.45799999999999996,173.0,104.25,51.0
2011-04-25,16.14575,94.0,64.625,22.0,7.6875,9.479,1.7915,,0.5625,146.0,80.875,35.0
2011-04-26,17.45825,97.0,60.5,26.0,10.5625,12.8335,2.271,,0.8125,147.0,92.208,31.0
2011-04-27,36.302,96.0,71.042,45.0,8.0335,10.04,2.0060000000000002,,1.021,218.0,151.458,63.0
2011-04-28,12.198,100.0,64.625,31.0,4.354,5.292,0.9375,,0.10949999999999999,206.0,139.583,51.0
2011-04-29,14.41675,91.0,61.625,38.0,6.136,7.223,1.087,,0.6455,150.0,99.0,45.0
2011-04-30,20.62525,85.0,70.792,45.0,8.3335,9.4375,1.104,,1.5205000000000002,164.0,118.292,61.0
2011-05-01,26.4585,100.0,79.208,50.0,6.229,7.4795,1.25,,0.583,197.0,146.708,113.0
2011-05-02,76.96725,88.0,39.667,24.0,5.2669999999999995,5.9755,0.7085,,0.125,198.0,147.625,84.0
2011-05-03,47.9585,100.0,66.042,35.0,5.979,6.875,0.896,,0.47950000000000004,178.0,120.167,76.0
2011-05-04,23.75025,100.0,61.083,17.0,5.356,6.2935,0.9375,,0.22899999999999998,207.0,135.625,83.0
2011-05-05,20.46875,81.0,64.833,49.0,5.604,6.4585,0.854,,0.591,145.0,106.417,67.0
2011-05-06,26.3655,96.0,76.0,57.0,8.5235,10.588999999999999,2.065,,0.4165,159.0,120.083,76.0
2011-05-07,23.79175,98.0,87.333,62.0,7.0625,8.4585,1.396,,0.10400000000000001,164.0,136.708,111.0
2011-05-08,22.0105,93.0,49.917,18.0,4.729,5.625,0.896,,0.8125,243.0,171.0,110.0
2011-05-09,23.37525,89.0,50.75,25.0,10.957999999999998,12.4375,1.479,,1.1045,226.0,159.917,99.0
2011-05-10,22.4375,97.0,78.333,33.0,9.7915,12.5835,2.7915,,0.229,231.0,179.458,123.0
2011-05-11,14.82275,100.0,96.125,87.0,10.593,13.157,2.563,,0.167,145.0,122.208,110.0
2011-05-12,11.3335,100.0,95.583,81.0,8.7085,11.5415,2.8335,,0.065,165.0,140.0,117.0
2011-05-13,31.427,100.0,66.375,21.0,5.527,7.7345,2.2075,,0.0,235.0,173.375,102.0
2011-05-14,32.64575,85.0,45.125,21.0,5.0415,5.9375,0.896,,0.41700000000000004,219.0,153.083,84.0
2011-05-15,19.21875,69.0,38.083,18.0,4.8545,5.542,0.6875,,0.6665,230.0,162.458,84.0
2011-05-16,26.15625,72.0,51.958,35.0,10.8335,12.5625,1.729,,1.4375,202.0,155.875,103.0
2011-05-17,32.823,92.0,70.875,46.0,9.646,11.479,1.8330000000000002,,0.979,184.0,145.333,110.0
2011-05-18,27.9065,87.0,54.125,31.0,9.79,11.3105,1.521,,0.9165,206.0,157.667,96.0
2011-05-19,35.0065,91.0,59.958,28.0,11.2045,12.409,1.2045,,1.2195,243.0,176.875,102.0
2011-05-20,39.76175,81.0,53.292,28.0,12.758,14.235499999999998,1.4774999999999998,,1.4905,265.0,204.458,134.0
2011-05-21,44.3985,89.0,62.25,34.0,11.271,12.354,1.0835,,1.8125,278.0,208.875,137.0
