date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,SO2_mean
2011-04-06,193.455,80.0,58.792,33.0,18.5,19.358,26.958,7.6,25.959,18.9,11.896,3.9,211.955,8.114
2011-04-07,194.826,83.0,64.625,34.0,21.261,16.678,23.723,7.045,24.622,21.0,13.796,8.4,216.087,6.368
2011-04-08,190.533,91.0,70.417,53.0,9.867,7.7,9.567,1.867,21.017,18.8,15.85,11.7,200.4,4.729
2011-04-09,187.87,96.0,76.5,49.0,11.783,9.792,13.75,3.958,21.517,19.5,15.238,11.9,199.652,4.74
2011-04-10,190.478,84.0,49.583,27.0,7.391,6.492,8.058,1.567,30.009,20.4,14.729,9.1,197.87,8.198
2011-04-11,195.652,89.0,58.083,27.0,13.739,12.727,17.759,5.032,30.46,20.6,12.408,7.1,209.391,8.451
2011-04-12,190.174,59.0,32.125,19.0,4.609,7.55,9.242,1.692,20.492,16.5,11.279,6.2,194.783,6.24
2011-04-13,196.652,74.0,51.125,28.0,26.478,24.467,34.667,10.2,28.35,20.6,12.067,3.0,223.13,10.271
2011-04-14,198.391,81.0,51.625,22.0,22.478,23.767,33.546,9.78,33.101,24.3,15.046,6.3,220.87,11.312
2011-04-15,196.261,83.0,64.958,32.0,26.652,19.125,24.967,5.842,36.208,22.0,15.671,9.0,222.913,8.824
2011-04-16,192.043,84.0,62.958,45.0,10.391,11.325,14.283,2.958,36.842,18.5,14.158,8.8,202.435,7.302
2011-04-17,190.043,82.0,56.625,30.0,6.652,5.667,7.1,1.433,16.883,17.7,12.129,2.9,196.696,6.614
2011-04-18,190.435,93.0,75.375,51.0,11.87,11.011,15.743,4.733,25.161,18.9,14.1,9.5,202.304,5.762
2011-04-19,188.913,93.0,72.25,49.0,9.478,9.022,11.204,2.182,7.528,16.9,11.312,9.1,198.391,4.743
2011-04-20,188.609,78.0,61.292,49.0,4.435,6.495,8.189,1.694,3.914,15.7,11.467,6.6,193.043,4.698
2011-04-21,192.348,86.0,61.25,25.0,11.261,17.314,23.205,5.892,14.86,19.8,12.596,5.0,203.609,7.844
2011-04-22,194.565,89.0,73.667,63.0,21.261,21.208,29.7,8.492,30.4,17.5,14.412,10.7,215.826,7.833
2011-04-23,186.565,96.0,84.958,61.0,5.478,5.692,6.942,1.25,19.375,17.0,14.7,11.4,192.043,4.458
2011-04-24,191.217,89.0,62.292,40.0,8.565,8.642,10.192,1.55,14.45,18.2,12.592,8.0,199.783,6.636
2011-04-25,193.455,91.0,72.333,47.0,14.591,15.636,19.234,3.598,19.228,18.2,11.533,6.7,208.045,6.171
2011-04-26,195.391,89.0,67.75,45.0,22.304,21.842,28.041,6.2,28.417,18.8,13.904,7.2,217.696,7.729
2011-04-27,192.609,96.0,86.292,68.0,18.783,8.375,10.417,2.042,46.825,23.2,17.354,13.1,211.391,5.802
2011-04-28,190.13,96.0,69.125,54.0,7.478,8.827,10.487,1.661,14.428,17.9,14.421,11.4,197.609,6.201
2011-04-29,191.13,80.0,54.5,40.0,6.87,9.767,11.55,1.783,13.883,18.5,13.742,9.6,198.0,7.125
2011-04-30,195.783,87.0,69.042,53.0,22.391,19.733,25.55,5.817,29.975,19.2,14.488,8.7,218.174,8.802
2011-05-01,188.087,95.0,88.25,59.0,7.609,6.259,7.125,0.867,30.616,17.4,15.942,14.8,195.696,4.469
2011-05-02,190.391,69.0,51.208,34.0,5.565,7.332,9.558,2.226,122.11,22.7,17.508,13.0,195.957,6.924
2011-05-03,197.609,90.0,67.0,42.0,16.217,17.8,21.592,3.792,103.367,17.7,14.671,9.7,213.826,8.521
2011-05-04,194.696,87.0,57.417,37.0,12.565,14.017,17.833,3.817,51.45,23.0,16.942,11.1,207.261,9.219
2011-05-05,195.217,86.0,55.875,23.0,9.13,10.95,13.042,2.092,24.35,22.8,16.533,10.3,204.348,9.24
2011-05-06,190.364,87.0,72.043,63.0,9.455,6.901,8.953,2.052,37.709,20.6,17.348,14.7,199.818,7.235
2011-05-07,186.304,84.0,69.75,56.0,11.739,5.292,6.9,1.608,18.117,22.0,18.688,15.6,198.043,8.25
2011-05-08,191.783,88.0,55.083,28.0,11.174,7.517,9.042,1.525,32.6,27.5,21.542,16.5,202.957,11.604
2011-05-09,194.273,85.0,56.125,31.0,13.682,14.832,17.577,2.745,42.72,24.3,19.625,14.3,207.955,11.258
2011-05-10,189.609,96.0,85.417,71.0,22.826,18.433,24.95,6.517,45.817,25.8,21.471,18.6,212.435,8.906
2011-05-11,190.522,97.0,93.333,88.0,12.957,16.875,19.15,2.275,13.942,18.7,17.446,16.5,203.478,5.292
2011-05-12,189.304,97.0,95.083,91.0,13.391,15.346,19.158,3.811,15.495,19.5,17.692,16.5,202.696,4.071
2011-05-13,189.957,94.0,57.542,28.0,7.391,8.783,10.417,1.633,61.275,22.5,19.204,15.2,197.348,7.677
2011-05-14,190.043,84.0,46.958,29.0,9.043,10.85,13.3,2.45,38.05,24.7,19.092,12.4,199.087,9.083
2011-05-15,192.783,82.0,53.708,24.0,12.348,9.95,11.925,1.975,32.458,25.1,18.921,11.0,205.13,9.708
2011-05-16,191.478,86.0,70.583,44.0,13.565,9.984,13.558,3.574,36.533,23.4,19.096,14.6,205.043,7.744
2011-05-17,192.0,87.0,71.5,56.0,13.909,12.783,15.917,3.133,35.65,24.4,18.8,14.5,205.909,8.167
2011-05-18,193.652,90.0,57.0,25.0,15.043,17.233,22.134,4.9,29.55,25.3,18.888,11.8,208.696,10.167
2011-05-19,192.739,86.0,64.958,42.0,16.435,17.405,24.091,6.687,39.366,26.0,19.604,12.5,209.174,11.087
2011-05-20,194.391,91.0,71.833,49.0,16.783,14.905,19.771,4.867,46.675,26.1,20.667,14.7,211.174,11.177
2011-05-21,190.13,91.0,71.25,47.0,14.652,12.425,15.45,3.025,37.025,28.8,22.738,16.5,204.783,11.01
2011-05-22,187.261,90.0,80.208,64.0,10.13,7.942,9.583,1.642,16.7,24.4,20.483,16.1,197.391,7.302
2011-05-23,192.261,95.0,84.583,70.0,13.87,19.415,23.911,4.495,16.702,17.7,16.062,14.4,206.13,6.916
2011-05-24,188.826,95.0,82.458,66.0,9.043,11.95,14.483,2.533,11.858,18.9,15.712,13.2,197.87,4.625
2011-05-25,189.0,89.0,66.375,45.0,9.261,10.183,12.083,1.9,18.342,24.1,19.1,15.3,198.261,8.042
2011-05-26,190.696,90.0,71.417,61.0,10.957,9.568,11.438,1.869,20.539,21.8,19.121,15.3,201.652,5.755
2011-05-27,187.609,96.0,84.167,65.0,8.0,7.842,8.9,1.058,21.233,20.4,17.483,15.2,195.609,4.438
2011-05-28,193.13,99.0,95.833,94.0,16.739,22.467,28.0,5.533,28.642,18.9,17.967,16.4,209.87,5.938
2011-05-29,186.652,98.0,96.625,94.0,17.217,10.475,14.308,3.833,20.858,22.4,20.342,18.8,203.87,3.094
2011-05-30,186.087,97.0,76.542,51.0,3.87,4.576,6.32,1.744,7.305,23.4,18.883,16.7,189.957,4.859
2011-05-31,184.696,78.0,66.667,47.0,3.087,6.875,9.158,2.283,9.392,24.4,19.392,16.0,187.783,7.094
2011-06-01,188.391,94.0,89.0,78.0,8.609,6.9,8.375,1.475,36.591,17.7,15.825,15.0,197.0,3.74
2011-06-02,188.739,96.0,93.208,89.0,17.261,16.707,22.689,5.982,24.779,19.2,17.375,15.6,206.0,4.159
2011-06-03,193.429,97.0,81.708,66.0,17.524,21.327,31.383,10.056,37.408,23.4,19.821,16.5,210.952,9.51
2011-06-04,200.696,95.0,79.708,56.0,18.043,13.508,17.942,4.433,60.094,26.9,21.167,15.6,218.739,10.468
2011-06-05,197.739,95.0,81.458,69.0,12.435,10.892,13.183,2.292,53.417,23.8,20.896,18.0,210.174,9.76
2011-06-06,192.217,93.0,62.667,37.0,13.261,11.937,13.975,2.038,31.323,29.0,22.979,16.5,205.478,11.741
2011-06-07,200.435,85.0,76.208,64.0,15.522,13.542,18.083,4.542,35.073,23.9,20.567,18.1,215.957,8.188
2011-06-08,194.217,93.0,75.833,59.0,8.348,7.942,9.592,1.65,22.792,25.7,21.45,18.5,202.565,8.292
2011-06-09,192.652,90.0,77.083,59.0,9.435,7.453,8.709,1.256,28.323,26.6,22.667,19.2,202.087,10.378
2011-06-10,193.217,97.0,87.083,78.0,9.957,14.809,18.132,3.323,40.469,24.6,22.371,20.8,203.174,8.251
2011-06-11,189.478,97.0,86.208,71.0,7.565,9.083,11.75,2.666,21.656,25.1,22.208,20.7,197.043,6.271
2011-06-12,195.913,96.0,79.458,57.0,11.043,12.5,14.658,2.158,29.271,24.6,21.162,17.6,206.957,9.583
2011-06-13,185.818,97.0,75.375,59.0,9.409,9.073,11.365,2.291,15.893,27.0,22.321,17.2,195.227,7.113
2011-06-14,189.13,79.0,60.125,45.0,7.522,8.842,10.675,1.833,19.438,27.5,23.6,20.8,196.652,9.146
2011-06-15,196.435,87.0,68.75,49.0,9.217,13.392,17.833,4.442,20.031,26.0,21.7,18.5,205.652,10.323
2011-06-16,196.0,97.0,89.625,75.0,12.217,10.992,13.56,2.567,28.003,22.3,19.675,18.2,208.217,5.116
2011-06-17,187.826,97.0,88.792,79.0,11.13,12.161,15.303,3.142,15.018,23.1,20.725,18.4,198.957,5.615
2011-06-18,198.783,98.0,92.833,84.0,11.609,9.75,11.6,1.85,29.45,22.3,20.967,20.4,210.391,4.563
2011-06-19,195.522,99.0,93.75,87.0,14.609,10.533,13.325,2.792,36.842,22.7,21.488,20.1,210.13,6.802
2011-06-20,196.304,99.0,95.708,90.0,10.957,9.829,11.782,1.952,27.184,23.8,22.079,21.0,207.261,4.404
2011-06-21,191.435,99.0,85.708,71.0,11.043,9.617,12.317,2.7,20.108,28.2,24.304,21.2,202.478,6.896
2011-06-22,218.348,96.0,82.167,67.0,20.522,17.558,26.1,8.541,36.175,29.9,25.688,21.0,238.87,10.667
2011-06-23,218.913,95.0,75.375,54.0,12.609,11.581,17.728,6.147,32.308,33.6,28.379,23.7,231.522,8.872
2011-06-24,189.609,88.0,69.792,50.0,11.565,8.35,12.242,3.892,23.842,34.1,29.292,24.0,201.174,8.52
2011-06-25,191.913,91.0,72.625,57.0,21.565,7.888,10.378,2.49,27.065,35.0,29.533,24.6,213.478,9.042
2011-06-26,184.13,97.0,84.208,71.0,4.087,3.725,5.517,1.792,23.467,30.2,26.996,25.0,188.217,5.5
2011-06-27,180.826,96.0,83.542,70.0,5.435,3.797,5.584,1.787,22.179,30.6,27.554,25.1,186.261,4.471
2011-06-28,187.304,96.0,75.458,57.0,8.609,7.457,10.815,3.358,25.908,33.6,29.271,25.1,195.913,7.375
2011-06-29,187.957,89.0,64.042,43.0,11.304,13.275,18.317,5.042,25.534,35.9,31.058,25.4,199.261,11.125
2011-06-30,196.783,84.0,68.875,51.0,16.217,14.697,23.611,8.914,38.159,35.0,29.912,26.0,213.0,11.126
2011-07-01,188.826,92.0,75.25,65.0,9.0,11.017,16.592,5.575,23.708,29.9,27.533,24.2,197.826,9.552
2011-07-02,189.609,93.0,75.708,50.0,15.304,9.95,13.675,3.725,24.2,33.6,28.333,23.9,204.913,7.49
2011-07-03,195.13,95.0,78.25,58.0,11.522,8.842,11.025,2.183,41.542,32.5,28.308,25.7,206.652,7.24
2011-07-04,190.0,96.0,78.958,57.0,8.783,5.985,7.936,1.951,38.628,33.9,28.492,23.8,198.783,5.986
2011-07-05,192.429,96.0,69.958,45.0,7.286,6.277,8.043,1.766,19.574,33.3,27.788,23.5,199.714,6.677
2011-07-06,206.043,97.0,73.75,53.0,12.913,11.508,15.292,3.783,27.642,31.3,26.225,22.1,218.957,7.812
2011-07-07,194.652,99.0,97.75,96.0,9.826,9.578,13.039,3.461,19.202,24.7,24.154,23.4,204.478,3.485
2011-07-08,195.913,98.0,84.875,66.0,14.739,9.65,15.309,5.658,24.308,32.4,27.692,23.7,210.652,4.51
2011-07-09,193.478,97.0,81.0,62.0,11.696,10.0,15.067,5.067,28.802,34.3,28.967,25.4,205.174,6.694
2011-07-10,182.565,92.0,82.083,68.0,5.913,5.517,8.058,2.542,20.927,32.9,28.3,26.0,188.478,5.111
2011-07-11,192.565,94.0,80.583,62.0,8.217,5.625,9.946,4.322,11.288,32.4,28.117,24.6,200.783,6.113
2011-07-12,193.217,93.0,80.042,65.0,8.522,6.65,11.316,4.667,13.498,31.7,27.767,25.2,201.739,5.312
2011-07-13,189.652,94.0,79.042,59.0,6.609,5.483,8.658,3.175,15.208,33.0,27.925,24.3,196.261,4.948
2011-07-14,191.565,96.0,76.125,51.0,8.043,7.266,11.844,4.578,15.321,33.2,27.946,23.6,199.609,6.044
2011-07-15,188.286,90.0,74.958,53.0,9.714,8.158,11.643,3.486,20.942,33.9,28.308,24.0,198.0,6.406
2011-07-16,186.087,95.0,76.292,57.0,8.739,5.858,8.567,2.708,16.675,33.2,28.462,24.3,194.826,6.031
2011-07-17,187.435,92.0,79.0,63.0,11.13,5.575,7.742,2.167,20.25,33.0,28.275,25.0,198.565,5.334
2011-07-18,179.087,90.0,78.625,69.0,6.957,3.415,5.349,1.934,21.592,31.2,28.692,26.6,186.043,3.458
2011-07-19,174.435,97.0,91.958,80.0,2.826,1.777,2.852,1.074,26.386,28.1,26.179,25.0,177.261,2.397
2011-07-20,177.913,99.0,92.833,80.0,5.609,3.667,4.858,1.192,14.658,28.5,26.096,24.8,183.522,2.792
2011-07-21,199.696,97.0,87.5,79.0,11.0,8.452,11.921,3.469,18.593,28.7,25.246,21.0,210.696,4.248
2011-07-22,189.957,91.0,81.333,67.0,7.435,6.858,8.558,1.7,23.0,25.7,22.762,20.7,197.391,4.823
2011-07-23,197.652,93.0,77.208,58.0,10.87,11.692,14.675,2.984,37.383,32.0,26.504,21.9,208.522,8.667
2011-07-24,192.913,93.0,80.0,71.0,9.609,8.5,10.6,2.1,38.942,29.3,26.246,24.0,202.522,7.604
2011-07-25,186.478,99.0,86.458,72.0,9.174,8.732,11.227,2.495,24.649,29.9,26.0,23.0,195.652,5.58
2011-07-26,198.0,99.0,88.542,78.0,9.522,7.917,10.358,2.442,20.542,28.5,25.829,23.3,207.522,4.906
2011-07-27,195.696,95.0,85.333,74.0,10.174,10.033,13.983,3.95,19.858,30.6,26.942,24.5,205.87,5.479
2011-07-28,201.696,96.0,77.5,60.0,19.304,13.095,22.357,9.262,21.76,32.7,28.438,25.0,221.0,7.258
2011-07-29,182.957,82.0,70.667,55.0,7.87,9.742,16.509,6.767,18.283,32.3,28.379,25.7,190.826,7.51
2011-07-30,182.826,87.0,72.333,54.0,12.87,7.2,9.525,2.325,24.425,33.4,28.567,25.4,195.696,6.208
2011-07-31,192.957,91.0,80.0,68.0,8.609,5.025,6.242,1.216,21.392,29.9,26.617,24.6,201.565,5.438
2011-08-01,194.739,87.0,72.625,62.0,9.043,5.783,7.235,1.452,23.155,29.1,26.421,24.0,203.783,5.046
2011-08-02,195.087,95.0,86.125,74.0,13.826,11.2,13.8,2.6,30.833,26.7,24.733,23.0,208.913,4.604
2011-08-03,197.227,97.0,83.739,67.0,13.545,8.785,12.837,4.053,28.683,30.8,26.444,22.5,210.773,7.187
2011-08-04,193.957,97.0,78.125,62.0,11.739,8.664,12.257,3.593,21.388,32.1,27.904,23.6,205.696,5.193
2011-08-05,183.087,92.0,80.625,69.0,8.261,6.85,8.975,2.125,14.225,31.0,27.838,26.3,191.348,4.386
2011-08-06,181.957,94.0,81.375,67.0,7.174,6.717,8.975,2.258,20.398,32.9,29.004,25.7,189.13,4.385
2011-08-07,192.783,92.0,75.25,51.0,11.304,9.283,11.575,2.292,25.116,35.0,29.712,26.0,204.087,6.198
2011-08-08,189.609,91.0,77.375,53.0,12.174,10.205,13.39,3.185,31.601,35.1,29.575,25.9,201.783,6.297
2011-08-09,200.043,91.0,76.833,62.0,14.957,13.125,17.65,4.525,38.783,34.3,29.933,26.1,215.0,8.75
2011-08-10,185.261,92.0,74.208,50.0,13.13,10.801,13.902,3.101,46.489,36.7,31.038,26.6,198.391,8.352
2011-08-11,182.174,75.0,62.625,52.0,6.652,7.725,10.2,2.475,23.275,35.0,31.358,28.7,188.826,8.156
2011-08-12,184.435,75.0,64.125,49.0,7.87,9.916,12.242,2.325,30.833,35.2,30.808,26.9,192.304,9.552
2011-08-13,188.174,84.0,67.875,50.0,7.739,6.825,8.583,1.758,27.883,36.3,30.971,27.6,195.913,8.469
2011-08-14,193.739,94.0,79.208,56.0,10.043,4.733,5.8,1.067,54.475,34.5,29.796,26.4,203.783,7.25
2011-08-15,200.043,91.0,79.458,63.0,8.304,6.119,7.849,1.73,39.334,33.6,29.325,26.1,208.348,6.398
2011-08-16,201.217,97.0,85.25,61.0,15.652,10.771,12.906,2.136,35.802,32.6,27.825,24.9,216.87,6.722
2011-08-17,214.87,98.0,81.875,59.0,14.522,10.778,13.586,2.807,46.135,34.4,28.946,24.8,229.391,5.583
2011-08-18,210.217,96.0,73.625,52.0,17.391,12.934,18.471,5.538,40.782,36.4,30.842,26.1,227.609,6.473
2011-08-19,185.87,94.0,75.125,59.0,10.261,9.417,10.969,1.552,21.417,32.5,28.688,24.9,196.13,5.694
2011-08-20,193.348,98.0,92.625,82.0,12.304,11.51,13.271,1.76,21.844,25.4,23.671,21.8,205.652,3.792
2011-08-21,200.522,98.0,95.792,92.0,13.696,9.24,10.854,1.614,29.385,25.0,23.867,22.5,214.217,2.819
2011-08-22,189.87,98.0,85.042,64.0,11.522,9.392,11.998,2.606,18.339,31.1,26.071,22.9,201.391,4.972
2011-08-23,183.609,93.0,84.75,63.0,6.217,5.305,6.875,1.569,36.819,32.1,27.521,25.2,189.826,5.188
2011-08-24,185.304,98.0,83.792,67.0,5.348,6.792,10.125,3.333,17.292,30.6,27.438,24.7,190.652,5.042
2011-08-25,186.957,99.0,90.208,79.0,7.478,6.958,10.449,3.491,11.228,27.9,25.933,24.8,194.435,4.12
2011-08-26,195.304,97.0,86.333,72.0,15.696,13.041,23.486,10.444,20.833,31.1,27.1,24.3,211.0,7.146
2011-08-27,190.478,97.0,89.167,75.0,8.696,5.222,8.306,3.083,19.083,29.4,26.412,25.2,199.174,4.0
2011-08-28,202.043,97.0,85.208,71.0,9.652,6.278,8.111,1.833,35.514,29.7,26.325,23.8,211.696,6.542
2011-08-29,212.739,97.0,81.542,65.0,14.043,9.364,12.89,3.526,28.636,32.0,27.117,23.1,226.783,6.731
2011-08-30,194.261,91.0,75.083,61.0,11.304,11.681,15.569,3.889,30.695,32.7,28.4,24.5,205.565,8.146
2011-08-31,190.609,81.0,70.125,60.0,15.391,13.041,16.403,3.361,18.653,32.1,28.65,26.1,206.0,7.5
2011-09-01,180.143,80.0,72.667,65.0,6.762,4.854,7.399,2.545,13.446,31.6,29.083,27.2,186.905,4.754
