date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,PM25_mean
2011-02-10,73.0,55.125,32.0,22.333,44.021,21.688,0.0,10.875,7.5,2.688,-1.7,14.375
2011-02-11,76.0,60.042,37.0,11.916,19.166,7.25,0.0,10.334,6.4,3.05,-0.3,12.792
2011-02-12,80.0,60.667,39.0,12.916,20.916,8.0,0.0,11.23,8.7,3.121,-0.8,13.917
2011-02-13,91.0,79.417,59.0,29.375,54.77,25.396,9.0,15.437,5.6,2.862,0.3,18.542
2011-02-14,92.0,90.917,90.0,33.726,69.962,36.236,13.0,15.562,6.4,4.825,3.4,18.25
2011-02-15,92.0,83.5,68.0,25.25,56.792,31.542,0.0,16.52,6.0,3.975,1.0,19.583
2011-02-16,78.0,62.875,32.0,25.584,44.604,19.021,0.0,14.666,9.0,3.096,-0.1,16.75
2011-02-17,82.0,59.083,39.0,16.479,34.292,17.812,0.0,8.792,6.2,2.808,-0.9,12.458
2011-02-18,85.0,68.667,46.0,11.5,22.188,10.688,0.0,8.0,4.7,0.808,-2.4,9.708
2011-02-19,88.0,69.125,38.0,13.771,20.73,6.958,0.0,9.208,7.5,0.846,-4.2,12.917
2011-02-20,88.0,62.458,29.0,25.084,48.98,23.896,0.0,13.958,9.9,3.008,-2.5,17.087
2011-02-21,86.0,62.958,43.0,36.565,70.615,34.05,0.0,23.542,8.5,4.154,-1.5,27.375
2011-02-22,91.0,68.375,35.0,27.938,46.917,18.979,13.0,22.938,11.0,7.467,3.0,26.458
2011-02-23,92.0,84.083,66.0,22.065,42.0,19.936,24.0,15.875,11.6,9.412,7.2,16.083
2011-02-24,77.0,54.458,34.0,16.25,28.396,12.146,0.0,28.688,13.7,8.246,4.5,30.458
2011-02-25,87.0,78.917,70.0,25.188,45.792,20.604,2.0,23.75,7.5,5.829,4.6,23.917
2011-02-26,85.0,63.75,44.0,9.292,14.271,4.979,0.0,10.271,7.0,3.979,0.3,12.0
2011-02-27,82.0,63.583,32.0,16.396,27.042,10.645,0.0,12.438,8.4,2.192,-1.3,16.13
2011-02-28,84.0,54.083,25.0,23.625,39.02,15.395,0.0,11.25,9.4,3.388,-3.2,13.5
2011-03-01,88.0,69.625,44.0,30.896,50.979,20.084,0.0,15.916,16.0,8.979,2.4,16.042
2011-03-02,91.0,83.875,73.0,27.77,57.188,29.417,11.0,15.771,10.4,8.983,7.1,15.667
2011-03-03,78.0,56.0,30.0,10.402,18.894,8.492,0.0,15.584,14.2,8.696,5.4,18.042
2011-03-04,90.0,78.542,52.0,15.708,21.104,5.396,11.0,15.895,8.3,6.038,1.9,18.333
2011-03-05,92.0,91.667,90.0,32.229,58.042,25.812,55.0,10.542,11.6,10.096,8.2,9.417
2011-03-06,93.0,78.375,60.0,32.521,62.646,30.125,14.0,16.396,18.0,13.142,10.6,15.042
2011-03-07,78.0,59.625,44.0,21.426,39.844,18.418,0.0,29.25,12.7,10.079,6.9,32.083
2011-03-08,85.0,59.125,35.0,19.792,30.521,10.73,0.0,27.596,15.1,8.962,3.8,32.792
2011-03-09,91.0,82.042,57.0,22.396,35.146,12.75,17.0,20.521,8.1,6.375,5.2,19.708
2011-03-10,89.0,65.5,41.0,11.75,19.416,7.666,0.0,11.938,11.7,7.421,4.8,12.875
2011-03-11,76.0,57.042,27.0,10.292,15.75,5.458,1.0,12.958,10.2,4.638,1.2,15.542
2011-03-12,71.0,59.083,33.0,12.635,24.343,11.708,0.0,12.271,8.9,3.279,0.0,15.0
2011-03-13,74.0,56.167,31.0,17.604,33.208,15.604,0.0,9.875,9.5,3.6,0.2,14.0
2011-03-14,85.0,51.542,14.0,27.084,43.52,16.438,0.0,13.042,11.3,5.033,-1.8,16.333
2011-03-15,70.0,52.75,27.0,23.146,49.562,26.416,0.0,17.812,10.6,4.95,1.2,19.125
2011-03-16,73.0,50.125,16.0,25.667,45.979,20.312,0.0,14.77,14.2,6.992,-0.2,15.667
2011-03-17,91.0,88.0,66.0,30.042,54.875,24.833,11.0,16.75,12.4,10.342,8.4,15.708
2011-03-18,92.0,88.375,82.0,26.146,59.5,33.354,4.0,25.666,12.7,10.942,7.6,21.75
2011-03-19,88.0,58.708,35.0,10.438,19.396,8.958,0.0,7.126,10.1,6.442,1.9,6.696
2011-03-20,84.0,56.625,30.0,15.438,22.917,7.479,0.0,11.021,12.0,5.792,-0.8,11.625
2011-03-21,75.0,47.292,20.0,14.494,27.468,12.974,0.0,10.582,13.8,6.9,1.4,12.458
2011-03-22,79.0,55.458,38.0,30.292,46.792,16.5,0.0,18.875,14.0,8.162,0.4,20.792
2011-03-23,92.0,86.167,63.0,32.354,53.375,21.021,36.0,15.5,10.5,9.029,7.2,17.917
2011-03-24,92.0,78.75,56.0,18.271,26.604,8.334,8.0,13.125,11.5,9.096,6.4,13.333
2011-03-25,71.0,56.5,28.0,6.958,10.958,4.0,0.0,11.75,10.4,6.083,3.2,14.583
2011-03-26,78.0,61.792,37.0,17.834,34.479,16.646,0.0,10.167,9.8,5.092,1.3,12.864
2011-03-27,86.0,53.958,29.0,29.75,46.896,17.146,0.0,22.354,14.5,8.054,1.2,26.25
2011-03-28,80.0,60.292,31.0,26.479,48.292,21.812,0.0,30.458,15.5,8.8,3.8,32.333
2011-03-29,86.0,44.75,10.0,25.021,39.916,14.895,0.0,19.938,17.9,9.875,2.1,25.333
2011-03-30,67.0,49.375,32.0,20.933,36.586,15.653,0.0,17.333,19.8,13.2,4.9,20.333
2011-03-31,91.0,75.875,51.0,13.812,23.292,9.479,32.0,10.0,15.2,9.621,3.3,11.583
2011-04-01,76.0,47.083,10.0,27.812,36.917,9.104,0.0,27.208,20.0,11.575,2.5,
2011-04-02,75.0,53.042,29.0,21.042,31.792,10.75,0.0,32.458,19.5,11.196,5.9,
2011-04-03,57.0,41.0,25.0,6.875,10.834,3.958,0.0,12.542,12.1,6.992,4.1,
2011-04-04,72.0,43.75,15.0,13.292,20.438,7.146,0.0,12.417,15.5,7.467,0.4,
2011-04-05,67.0,42.625,17.0,18.479,27.936,9.456,0.0,16.125,19.8,9.454,0.8,
2011-04-06,80.0,46.833,8.0,25.48,34.417,8.938,0.0,19.375,20.6,12.012,2.8,
2011-04-07,65.0,49.542,33.0,27.729,42.688,14.958,0.0,18.75,21.4,15.008,8.5,
2011-04-08,92.0,77.708,54.0,31.666,54.542,22.875,17.0,20.792,15.2,13.896,11.2,
2011-04-09,93.0,74.417,50.0,17.084,29.0,11.916,17.0,13.667,17.8,14.146,11.9,
2011-04-10,88.0,49.917,19.0,12.833,16.021,3.188,0.0,33.417,21.0,13.888,7.2,
2011-04-11,72.0,53.167,23.0,20.167,31.084,10.916,0.0,32.0,19.9,11.033,5.6,
2011-04-12,76.0,45.958,15.0,26.146,38.562,12.417,0.0,31.25,18.0,10.321,4.0,
2011-04-13,78.0,43.333,12.0,26.292,39.021,12.729,0.0,29.542,20.5,12.862,4.0,
2011-04-14,73.0,45.667,15.0,29.794,40.491,10.696,0.0,34.5,22.8,14.983,6.9,
2011-04-15,83.0,69.333,48.0,30.375,45.708,15.333,1.0,34.5,20.0,14.608,10.7,
2011-04-16,81.0,60.125,38.0,15.52,24.979,9.458,0.0,32.833,18.0,13.612,6.7,
2011-04-17,75.0,46.083,15.0,10.417,14.562,4.146,0.0,17.167,19.9,11.812,3.6,
2011-04-18,89.0,69.333,41.0,14.333,19.479,5.146,12.0,22.375,21.0,14.254,9.4,
2011-04-19,91.0,75.667,39.0,20.592,31.394,10.801,7.0,14.174,15.0,9.642,7.3,
2011-04-20,84.0,70.833,55.0,16.334,29.396,13.062,1.0,7.208,12.1,8.904,5.2,
2011-04-21,90.0,56.583,15.0,24.604,38.25,13.646,0.0,17.25,21.1,12.175,3.2,
2011-04-22,92.0,80.75,56.0,37.583,67.188,29.604,12.0,27.75,15.5,12.258,9.5,
2011-04-23,92.0,89.958,85.0,24.302,46.198,21.895,27.0,15.542,14.9,12.046,8.0,
2011-04-24,92.0,70.125,31.0,16.021,23.208,7.188,0.0,19.083,17.6,10.9,6.2,
2011-04-25,90.0,76.083,40.0,21.542,32.916,11.375,2.0,17.792,15.8,10.258,6.1,
2011-04-26,90.0,65.5,38.0,29.417,44.208,14.792,0.0,25.708,22.5,14.467,7.9,
2011-04-27,89.0,71.167,47.0,20.334,34.334,14.0,22.0,29.125,24.1,18.233,13.1,
2011-04-28,90.0,79.75,51.0,21.542,35.542,14.0,9.0,23.167,17.1,12.283,8.5,
2011-04-29,92.0,63.833,35.0,21.625,30.75,9.125,0.0,18.958,17.8,12.396,6.5,
2011-04-30,87.0,58.708,24.0,25.167,36.25,11.084,0.0,27.167,23.8,15.779,8.2,
2011-05-01,91.0,87.292,72.0,16.812,25.208,8.396,5.0,26.375,17.1,15.212,13.4,
2011-05-02,79.0,51.417,26.0,16.782,29.717,12.934,0.0,144.542,23.9,17.054,11.8,
2011-05-03,77.0,56.417,40.0,18.062,23.372,5.309,0.0,119.583,18.8,14.958,10.5,
2011-05-04,85.0,50.417,25.0,13.562,20.479,6.917,0.0,64.667,23.6,16.454,10.2,
2011-05-05,72.0,48.958,22.0,11.458,15.167,3.708,0.0,20.042,24.9,16.583,10.6,
2011-05-06,78.0,58.958,38.0,12.854,16.708,3.854,0.0,33.042,24.1,17.558,10.4,
2011-05-07,80.0,58.375,34.0,7.417,9.354,1.938,0.0,15.958,27.3,20.696,17.2,
2011-05-08,83.0,58.917,33.0,10.021,12.625,2.604,4.0,31.042,26.9,21.075,15.3,
2011-05-09,68.0,54.375,25.0,21.0,28.042,7.042,0.0,40.208,28.1,20.5,12.9,
2011-05-10,91.0,85.125,71.0,21.938,44.646,22.708,17.0,37.833,23.8,21.725,20.1,
2011-05-11,93.0,91.917,91.0,24.456,46.403,21.948,115.0,8.208,21.2,19.433,18.0,
2011-05-12,93.0,88.333,77.0,20.25,35.625,15.375,23.0,9.5,21.4,19.796,18.9,
2011-05-13,92.0,58.667,28.0,19.292,28.625,9.334,2.0,47.042,23.4,19.533,14.2,
2011-05-14,77.0,40.75,22.0,19.084,26.834,7.75,0.0,35.583,23.7,18.433,13.5,
2011-05-15,75.0,41.542,15.0,13.771,17.208,3.438,0.0,32.0,24.9,18.404,9.9,
2011-05-16,69.0,48.875,21.0,24.916,35.875,10.958,0.0,36.292,26.0,19.625,13.4,
2011-05-17,82.0,61.417,30.0,21.385,32.761,11.377,0.0,36.043,24.9,18.083,12.7,
2011-05-18,89.0,50.333,16.0,19.271,27.208,7.938,0.0,27.25,27.6,18.892,11.0,
2011-05-19,71.0,47.583,25.0,23.708,31.166,7.458,0.0,34.792,28.0,20.154,12.3,
2011-05-20,76.0,55.583,27.0,21.432,32.218,10.788,0.0,32.5,28.5,21.15,14.8,
2011-05-21,81.0,63.75,43.0,15.812,23.396,7.584,0.0,18.292,29.0,23.05,16.9,
2011-05-22,86.0,72.917,59.0,8.416,11.834,3.417,31.0,11.708,23.0,19.275,15.0,
2011-05-23,92.0,85.0,72.0,20.542,33.438,12.895,54.0,10.5,16.0,14.629,13.4,
2011-05-24,92.0,71.917,45.0,13.646,22.208,8.562,31.0,5.833,23.8,17.208,13.5,
2011-05-25,86.0,57.0,20.0,25.625,36.166,10.542,0.0,16.292,29.0,20.142,12.9,
2011-05-26,86.0,65.125,44.0,12.538,16.215,3.678,2.0,23.542,23.1,19.233,16.4,
2011-05-27,91.0,78.75,61.0,13.042,17.458,4.416,12.0,11.708,18.7,16.958,15.9,
2011-05-28,92.0,91.0,87.0,22.167,33.604,11.438,32.0,7.25,19.7,18.288,16.4,
2011-05-29,93.0,90.583,87.0,8.652,12.054,3.403,91.0,4.833,19.9,18.417,16.1,
2011-05-30,88.0,79.333,63.0,9.458,17.479,8.021,28.0,7.833,19.9,16.621,14.9,
2011-05-31,88.0,68.375,49.0,17.77,29.998,12.228,0.0,8.667,22.6,17.792,13.1,
2011-06-01,92.0,86.292,79.0,22.416,37.104,14.688,32.0,13.083,17.9,16.783,15.8,
2011-06-02,92.0,84.375,66.0,22.938,40.542,17.604,2.0,12.375,23.1,18.45,15.7,
2011-06-03,90.0,69.417,39.0,20.0,29.708,9.708,0.0,33.417,26.8,21.558,17.4,
2011-06-04,87.0,64.875,36.0,17.625,27.312,9.688,0.0,47.0,28.9,22.862,18.0,
2011-06-05,86.0,67.417,55.0,14.854,18.208,3.354,0.0,31.542,24.8,21.729,18.9,
2011-06-06,87.0,57.083,29.0,23.625,33.833,10.208,0.0,32.833,28.6,22.308,16.1,
2011-06-07,74.0,61.417,45.0,17.726,23.83,6.104,0.0,30.5,26.6,21.329,18.2,
2011-06-08,87.0,65.708,47.0,20.666,27.875,7.208,1.0,18.5,26.4,22.133,17.7,
2011-06-09,80.0,66.75,49.0,19.417,25.938,6.521,0.0,17.958,27.3,23.688,21.1,
2011-06-10,90.0,77.833,59.0,25.521,33.396,7.875,19.0,35.333,25.5,22.75,20.9,
2011-06-11,92.0,83.583,65.0,15.604,25.104,9.5,86.0,15.042,24.1,21.054,18.6,
2011-06-12,91.0,83.792,68.0,14.229,18.208,3.979,23.0,30.042,22.9,19.65,17.5,
2011-06-13,92.0,75.542,49.0,19.875,28.771,8.895,2.0,18.083,25.8,21.012,17.5,
2011-06-14,87.0,61.708,37.0,17.562,28.25,10.688,0.0,19.375,27.3,22.254,17.7,
2011-06-15,80.0,60.75,36.0,19.498,28.595,9.098,0.0,14.957,25.6,20.825,16.2,
2011-06-16,92.0,84.583,75.0,21.706,32.435,10.729,28.0,20.667,20.7,19.104,17.7,
2011-06-17,92.0,78.333,61.0,14.938,22.729,7.792,6.0,10.958,25.6,21.833,17.8,
2011-06-18,91.0,87.125,77.0,20.583,29.25,8.666,9.0,21.25,22.5,21.304,20.6,
2011-06-19,92.0,84.625,68.0,9.416,12.334,2.917,4.0,14.833,25.1,21.938,20.4,
2011-06-20,92.0,89.792,79.0,23.958,40.646,16.688,28.0,14.417,23.5,21.6,20.2,
2011-06-21,92.0,75.792,50.0,19.458,28.042,8.584,6.0,16.583,29.7,24.775,20.9,
2011-06-22,89.0,71.875,53.0,20.625,36.416,15.792,0.0,30.375,30.6,26.4,22.2,
2011-06-23,84.0,68.958,49.0,12.938,26.146,13.208,0.0,26.167,32.8,27.967,24.9,
2011-06-24,81.0,65.708,47.0,12.625,27.271,14.645,0.0,25.625,32.9,28.692,25.1,
2011-06-25,81.0,60.625,39.0,9.595,20.074,10.479,0.0,19.417,34.7,29.788,25.9,
2011-06-26,89.0,64.458,40.0,9.0,16.75,7.75,2.0,16.542,33.8,28.442,24.6,
2011-06-27,77.0,59.667,44.0,7.979,15.042,7.062,0.0,17.083,32.3,28.779,25.0,
2011-06-28,78.0,58.5,36.0,13.248,28.11,14.862,0.0,20.083,34.5,29.829,26.3,
2011-06-29,80.0,57.0,36.0,17.334,28.417,11.084,0.0,31.0,36.7,30.521,25.0,
2011-06-30,81.0,61.583,39.0,20.479,30.604,10.125,0.0,34.0,35.0,29.358,25.0,
2011-07-01,88.0,76.417,63.0,22.271,34.98,12.708,7.0,26.375,28.1,25.925,24.6,
2011-07-02,84.0,67.25,48.0,16.958,25.771,8.812,0.0,20.125,31.1,27.367,24.3,
2011-07-03,84.0,69.0,49.0,14.666,18.604,3.938,0.0,37.375,31.1,27.333,23.8,
2011-07-04,89.0,72.125,56.0,17.362,27.369,10.006,8.0,37.917,30.7,27.354,23.2,
2011-07-05,91.0,68.333,46.0,19.416,27.875,8.458,2.0,27.458,31.4,26.658,23.0,
2011-07-06,90.0,74.458,47.0,17.166,23.73,6.562,17.0,26.375,29.7,25.054,21.5,
2011-07-07,91.0,90.542,89.0,15.896,27.334,11.438,37.0,20.916,25.1,24.062,22.9,
2011-07-08,92.0,71.583,48.0,13.839,29.763,15.924,1.0,19.062,33.9,28.467,23.8,
2011-07-09,85.0,59.875,36.0,10.833,21.708,10.875,0.0,11.583,35.6,29.933,25.4,
2011-07-10,85.0,59.042,29.0,8.292,14.458,6.167,0.0,13.292,37.2,29.717,24.5,
2011-07-11,81.0,60.333,40.0,11.146,21.354,10.208,0.0,11.025,34.5,29.375,25.2,
2011-07-12,83.0,76.292,61.0,14.37,31.196,16.826,0.0,14.01,29.0,26.454,24.8,
2011-07-13,86.0,62.208,41.0,13.11,24.042,10.932,0.0,13.25,34.3,28.292,23.2,
2011-07-14,74.0,54.792,30.0,15.042,26.604,11.562,0.0,14.354,34.3,29.342,26.1,
2011-07-15,77.0,51.875,28.0,18.562,30.146,11.584,0.0,16.208,35.9,29.6,24.7,
2011-07-16,75.0,55.625,35.0,19.375,28.729,9.354,0.0,23.188,36.0,29.633,23.9,
2011-07-17,79.0,58.667,38.0,6.23,8.875,2.646,0.0,12.854,36.2,29.817,23.8,
2011-07-18,90.0,82.5,68.0,7.042,14.708,7.666,35.0,15.792,27.7,26.6,24.9,
2011-07-19,90.0,85.75,75.0,4.396,7.958,3.562,25.0,8.628,27.3,24.958,23.1,
2011-07-20,82.0,72.25,59.0,8.667,15.646,6.979,0.0,10.688,31.1,27.779,25.7,
2011-07-21,74.0,71.083,64.0,10.292,22.562,12.27,0.0,12.146,27.9,25.75,23.8,
2011-07-22,90.0,76.833,64.0,18.194,30.593,12.4,10.0,13.062,27.1,24.388,22.5,
2011-07-23,91.0,70.958,43.0,11.458,17.25,5.792,3.0,18.812,32.4,25.667,22.1,
2011-07-24,84.0,66.583,42.0,9.062,12.354,3.292,0.0,27.125,31.2,25.746,20.4,
2011-07-25,87.0,69.833,47.0,10.666,14.792,4.125,0.0,23.708,31.3,26.379,23.1,
2011-07-26,87.0,67.125,45.0,14.158,21.326,7.168,0.0,14.733,32.6,27.108,22.2,
2011-07-27,78.0,65.792,47.0,12.792,24.479,11.688,0.0,13.667,31.7,27.612,24.8,
2011-07-28,91.0,73.042,48.0,17.021,30.833,13.812,67.0,18.625,33.0,27.05,23.5,
2011-07-29,91.0,74.042,43.0,14.562,23.896,9.334,0.0,23.438,33.9,26.883,23.1,
2011-07-30,87.0,75.583,58.0,12.938,19.896,6.958,8.0,19.625,30.5,26.146,24.0,
2011-07-31,88.0,70.75,45.0,8.228,12.039,3.812,0.0,24.229,31.6,26.671,22.8,
2011-08-01,90.0,71.417,51.0,8.812,15.02,6.208,5.0,32.521,31.6,26.638,23.4,
2011-08-02,80.0,67.583,51.0,9.354,13.958,4.604,0.0,19.584,32.4,26.942,23.6,
2011-08-03,76.0,58.917,38.0,6.646,11.146,4.5,0.0,15.75,35.2,28.717,24.5,
2011-08-04,80.0,57.833,35.0,7.483,18.195,10.712,0.0,14.292,35.3,28.971,23.7,
2011-08-05,91.0,79.958,67.0,13.938,28.354,14.417,25.0,12.396,29.4,26.092,24.5,
2011-08-06,91.0,67.833,40.0,10.708,24.334,13.625,0.0,10.396,34.5,28.346,24.1,
2011-08-07,85.0,60.167,38.0,10.208,19.229,9.02,0.0,12.604,35.5,29.488,24.5,
2011-08-08,80.0,59.583,33.0,16.982,30.038,13.056,0.0,17.275,36.4,29.95,25.5,
2011-08-09,82.0,58.167,31.0,20.871,30.724,9.852,0.0,30.11,37.6,30.925,25.3,
2011-08-10,80.0,58.583,40.0,21.396,29.375,7.98,0.0,39.708,36.2,30.954,26.1,
2011-08-11,86.0,75.542,52.0,22.416,35.104,12.688,9.0,34.667,31.8,27.912,26.0,
2011-08-12,86.0,75.375,43.0,15.436,22.48,7.044,18.0,28.312,34.5,27.646,24.9,
2011-08-13,86.0,63.917,37.0,10.812,13.438,2.625,0.0,26.146,36.8,30.017,25.2,
2011-08-14,80.0,60.333,39.0,8.25,10.833,2.584,0.0,30.084,35.4,30.217,26.7,
2011-08-15,88.0,68.083,45.0,9.916,13.52,3.604,12.0,20.75,34.1,28.55,24.7,
2011-08-16,88.0,69.542,46.0,15.458,20.938,5.479,21.0,30.688,33.6,28.821,25.4,
2011-08-17,84.0,65.875,45.0,16.0,23.416,7.416,0.0,31.52,34.0,29.758,26.3,
2011-08-18,82.0,66.083,42.0,17.171,27.672,10.5,0.0,36.604,35.1,30.038,26.7,
2011-08-19,79.0,64.292,50.0,16.27,26.688,10.417,0.0,14.875,31.5,27.808,25.4,
2011-08-20,90.0,72.75,52.0,15.917,23.584,7.666,6.0,14.646,28.2,24.525,22.6,
2011-08-21,92.0,89.125,82.0,14.166,22.062,7.896,19.0,12.875,25.2,23.1,22.2,
2011-08-22,91.0,77.167,51.0,16.96,24.865,7.905,0.0,13.524,29.7,25.175,21.9,
2011-08-23,90.0,73.458,48.0,15.562,26.25,10.688,2.0,21.25,31.7,26.979,24.0,
2011-08-24,88.0,68.708,42.0,7.938,14.646,6.708,1.0,17.292,34.4,28.204,23.9,
2011-08-25,89.0,78.458,52.0,9.438,18.812,9.375,4.0,8.5,31.4,26.625,24.8,
2011-08-26,89.0,75.083,42.0,12.958,24.646,11.688,4.0,12.479,34.5,27.183,24.2,
2011-08-27,90.0,74.75,46.0,15.351,22.326,6.975,0.0,19.354,34.5,27.342,24.1,
2011-08-28,87.0,66.833,44.0,5.979,7.875,1.896,0.0,33.834,33.7,28.079,23.4,
2011-08-29,83.0,62.042,40.0,9.042,12.688,3.646,0.0,27.0,34.8,28.183,23.3,
2011-08-30,79.0,58.75,41.0,13.98,20.75,6.771,0.0,23.468,34.2,28.338,23.5,
2011-08-31,89.0,64.667,52.0,11.104,17.604,6.5,6.0,19.208,31.4,28.0,24.6,
2011-09-01,91.0,81.375,68.0,9.375,22.5,13.125,36.0,21.556,29.1,26.521,24.8,
2011-09-02,90.0,75.75,63.0,5.812,11.438,5.625,12.0,20.021,28.0,26.683,24.7,
2011-09-03,90.0,72.417,62.0,0.916,1.458,0.542,26.0,18.396,28.0,26.25,21.9,
2011-09-04,92.0,89.583,81.0,7.208,10.604,3.396,67.0,9.416,24.9,23.162,21.1,
2011-09-05,92.0,85.292,76.0,15.192,27.813,12.622,22.0,10.214,24.8,23.267,20.9,
2011-09-06,85.0,62.625,32.0,16.968,29.383,12.415,0.0,10.504,29.3,22.875,19.2,
2011-09-07,89.0,57.167,19.0,21.5,28.938,7.438,0.0,14.979,30.7,22.821,16.2,
2011-09-08,83.0,56.583,29.0,21.458,30.667,9.208,0.0,23.354,32.2,24.583,17.2,
2011-09-09,78.0,63.708,42.0,22.521,37.312,14.792,0.0,22.938,33.3,27.479,23.7,
2011-09-10,87.0,66.583,40.0,16.188,25.312,9.125,0.0,24.042,34.7,28.238,23.1,
2011-09-11,85.0,66.458,43.0,5.104,8.584,3.479,0.0,11.792,33.8,27.638,23.8,
2011-09-12,83.0,66.208,45.0,8.333,14.855,6.52,0.0,11.77,32.6,26.962,22.6,
2011-09-13,85.0,62.125,36.0,13.625,21.416,7.792,0.0,14.812,34.3,28.15,22.9,
2011-09-14,85.0,62.292,39.0,13.888,22.625,8.737,0.0,20.666,34.9,28.483,23.8,
2011-09-15,83.0,63.0,37.0,9.042,15.416,6.375,0.0,14.542,34.1,27.608,22.1,
2011-09-16,90.0,72.208,51.0,9.062,22.042,12.979,12.0,10.396,31.3,26.717,24.4,
2011-09-17,91.0,86.167,62.0,13.396,29.416,16.02,31.0,9.188,30.6,25.579,24.1,
2011-09-18,92.0,73.458,52.0,7.625,15.521,7.896,0.0,11.792,32.1,27.25,23.5,
