date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean,SO2_mean
2011-04-17,187.739,12.348,7.417,8.604,1.188,22.104,200.087,0.792
2011-04-18,189.261,13.783,13.426,17.142,3.716,27.0,203.043,0.783
2011-04-19,188.304,10.739,10.229,11.5,1.271,10.917,199.043,0.083
2011-04-20,187.522,9.826,7.572,8.824,1.251,5.25,197.348,0.0
2011-04-21,188.727,16.0,17.0,23.896,6.896,17.458,204.727,0.917
2011-04-22,188.217,14.174,15.896,20.625,4.73,21.271,202.391,0.625
2011-04-23,185.391,8.957,8.0,9.104,1.104,15.708,194.348,0.0
2011-04-24,189.478,13.435,8.916,10.458,1.542,18.0,202.913,0.208
2011-04-25,193.304,20.957,16.695,22.347,5.652,20.875,214.261,0.565
2011-04-26,188.333,26.0,16.688,24.146,7.458,32.562,214.333,1.042
2011-04-27,179.385,8.923,8.478,9.895,1.416,44.646,188.308,0.652
2011-04-28,188.522,10.478,10.5,11.312,0.812,18.104,199.0,0.292
2011-04-29,190.348,12.739,11.958,14.75,2.792,17.084,203.087,0.417
2011-04-30,193.167,34.833,13.25,16.458,3.208,24.583,228.0,0.75
2011-05-01,,,8.292,9.396,1.104,23.042,,0.0
2011-05-02,,,8.962,10.358,1.398,120.083,,0.261
2011-05-03,,,15.375,18.958,3.584,109.958,,0.417
2011-05-04,,,8.375,9.812,1.438,44.854,,0.667
2011-05-05,,,10.604,11.854,1.25,25.854,,0.792
2011-05-06,,,10.98,13.188,2.208,40.52,,0.667
2011-05-07,,,11.479,12.312,0.834,24.854,,2.792
2011-05-08,,,7.812,8.48,0.666,35.438,,1.667
2011-05-09,,,13.737,16.02,2.284,45.839,,1.227
2011-05-10,,,22.208,32.854,10.646,44.042,,0.333
2011-05-11,,,19.416,21.688,2.27,13.5,,0.0
2011-05-12,,,22.646,28.416,5.77,14.104,,0.083
2011-05-13,,,10.438,11.938,1.5,63.646,,0.25
2011-05-14,,,10.292,12.896,2.604,45.854,,0.542
2011-05-15,,,9.604,11.062,1.458,32.73,,0.958
2011-05-16,,,10.698,12.594,1.896,37.416,,0.87
2011-05-17,,,12.271,15.188,2.916,36.5,,0.625
2011-05-18,,,15.229,19.021,3.792,29.0,,1.042
2011-05-19,,,14.895,19.083,4.188,39.958,,1.583
2011-05-20,,,15.542,18.396,2.854,47.521,,1.875
2011-05-21,,,12.625,14.166,1.542,43.854,,1.292
2011-05-22,,,9.166,10.312,1.146,20.25,,0.167
2011-05-23,,,24.382,33.308,8.926,19.479,,0.591
2011-05-24,,,12.666,15.479,2.812,9.416,,0.625
2011-05-25,184.714,12.857,16.771,19.25,2.479,24.875,197.571,1.125
2011-05-26,186.318,12.818,13.521,16.666,3.146,24.438,199.136,0.833
2011-05-27,187.227,12.591,15.875,17.896,2.021,23.792,199.818,0.375
2011-05-28,189.364,25.091,22.104,26.625,4.52,24.25,214.455,0.0
2011-05-29,186.5,15.0,9.229,12.145,2.916,12.458,201.5,0.0
2011-05-30,185.364,6.682,6.976,7.905,0.93,8.646,192.045,0.318
2011-05-31,186.545,7.273,9.312,11.375,2.062,10.5,193.818,0.792
2011-06-01,187.364,10.5,11.771,16.146,4.375,24.146,197.864,0.083
2011-06-02,187.182,13.364,12.958,20.188,7.229,10.333,200.545,0.0
2011-06-03,189.045,16.455,20.5,26.271,5.771,28.98,205.5,1.333
2011-06-04,192.455,14.455,12.834,17.292,4.458,47.084,206.909,1.208
2011-06-05,192.545,15.318,11.521,12.916,1.396,49.458,207.864,1.417
2011-06-06,191.0,12.81,13.262,15.976,2.714,31.64,203.81,0.714
2011-06-07,191.913,15.0,16.479,20.646,4.166,35.104,206.913,0.625
2011-06-08,190.696,18.826,16.312,20.125,3.812,35.062,209.522,1.542
2011-06-09,187.652,12.435,12.5,14.438,1.938,26.312,200.087,1.5
2011-06-10,189.522,13.696,15.188,18.688,3.5,35.542,203.217,0.958
2011-06-11,187.043,13.435,11.854,13.792,1.938,26.062,200.478,0.583
2011-06-12,190.0,14.913,11.292,12.666,1.375,27.834,204.913,0.5
2011-06-13,186.261,16.261,11.236,13.106,1.87,20.334,202.522,0.739
2011-06-14,185.826,12.217,10.625,11.708,1.083,21.708,198.043,0.75
2011-06-15,191.696,12.391,14.646,18.646,4.0,24.854,204.087,1.375
2011-06-16,192.348,14.13,14.812,19.021,4.208,27.167,206.478,0.417
2011-06-17,188.13,13.696,15.188,17.521,2.334,19.708,201.826,0.542
2011-06-18,191.261,14.043,14.105,17.521,3.416,25.312,205.304,0.042
2011-06-19,194.304,13.913,10.792,12.354,1.562,24.542,208.217,0.333
2011-06-20,188.087,14.087,15.229,20.252,5.022,17.875,202.174,0.087
