date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean,PM25_mean
2011-09-21,7.299,9.034,1.735,4.99,0.708,
2011-09-22,4.042,4.646,0.604,7.312,0.889,
2011-09-23,2.834,3.25,0.417,7.469,1.333,
2011-09-24,3.146,3.562,0.417,7.375,1.367,
2011-09-25,3.667,3.98,0.312,16.364,1.68,
2011-09-26,6.896,8.146,1.25,18.192,1.892,
2011-09-27,5.682,6.736,1.054,19.958,1.703,
2011-09-28,6.198,7.092,0.894,20.636,1.75,
2011-09-29,5.375,5.917,0.542,20.886,2.958,
2011-09-30,6.021,6.73,0.708,17.312,1.496,
2011-10-01,2.5,2.938,0.438,8.0,1.028,
2011-10-02,2.292,2.542,0.25,7.948,1.028,
2011-10-03,3.938,4.729,0.792,7.583,1.25,
2011-10-04,5.567,6.642,1.076,9.525,1.76,
2011-10-05,10.067,12.06,1.994,18.865,1.458,
2011-10-06,5.729,6.77,1.042,14.458,1.431,
2011-10-07,5.896,6.396,0.5,32.99,1.453,
2011-10-08,4.812,5.146,0.333,29.229,1.694,
2011-10-09,3.458,3.604,0.146,30.208,1.75,
2011-10-10,3.875,4.062,0.188,34.875,2.097,
2011-10-11,6.895,7.908,1.013,39.854,1.75,
2011-10-12,6.958,7.716,0.758,34.573,1.903,
2011-10-13,9.354,10.729,1.375,30.875,1.816,
2011-10-14,9.708,13.229,3.521,31.929,1.25,
2011-10-15,4.25,5.271,1.02,9.396,0.681,
2011-10-16,2.875,3.375,0.5,20.01,1.222,
2011-10-17,5.188,5.812,0.625,22.188,1.694,
2011-10-18,5.536,7.148,1.612,13.333,1.227,
2011-10-19,6.233,7.824,1.59,12.948,1.347,
2011-10-20,7.875,9.438,1.562,20.469,1.625,
2011-10-21,8.146,9.521,1.375,23.93,1.813,
2011-10-22,5.604,7.0,1.396,17.523,1.062,
2011-10-23,2.708,3.166,0.458,8.608,0.736,
2011-10-24,4.646,5.542,0.896,8.408,1.0,
2011-10-25,5.882,6.934,1.052,13.917,0.96,
2011-10-26,6.554,8.084,1.53,10.984,0.75,
2011-10-27,6.021,7.396,1.375,14.15,1.431,
2011-10-28,7.584,10.146,2.562,16.108,1.718,
2011-10-29,6.062,6.854,0.792,18.942,1.611,
2011-10-30,4.625,5.146,0.52,17.45,0.847,
2011-10-31,5.792,6.854,1.062,9.192,0.861,
2011-11-01,7.922,9.644,1.721,14.8,1.905,
2011-11-02,9.598,12.752,3.154,17.935,2.041,
2011-11-03,6.625,7.48,0.854,19.555,1.486,
2011-11-04,6.666,7.98,1.312,18.175,1.156,
2011-11-05,10.104,13.688,3.584,26.225,1.097,
2011-11-06,5.896,7.75,1.854,10.183,0.681,
2011-11-07,4.188,5.021,0.834,8.075,0.695,
2011-11-08,6.133,7.642,1.508,8.808,0.98,
2011-11-09,7.348,9.411,2.062,9.842,1.083,
2011-11-10,7.834,10.562,2.73,11.308,1.347,
2011-11-11,11.416,15.292,3.875,13.375,0.778,
2011-11-12,5.458,8.52,3.062,8.667,0.708,
2011-11-13,4.77,6.896,2.125,16.2,0.722,
2011-11-14,6.875,8.416,1.542,24.958,1.333,
2011-11-15,6.774,7.975,1.201,11.392,0.714,
2011-11-16,5.841,7.192,1.352,8.683,1.139,
2011-11-17,8.708,10.292,1.584,12.833,1.278,
2011-11-18,10.771,14.688,3.916,16.425,2.213,
2011-11-19,12.583,17.146,4.562,11.675,0.875,
2011-11-20,2.188,2.438,0.25,9.908,0.528,
2011-11-21,5.144,5.81,0.666,5.831,0.556,
2011-11-22,5.918,6.966,1.049,6.875,0.809,
2011-11-23,4.008,5.08,1.072,8.442,2.903,
2011-11-24,3.438,3.854,0.416,8.75,0.778,
2011-11-25,6.834,8.188,1.354,4.283,0.681,
2011-11-26,4.75,5.938,1.188,5.742,1.139,
2011-11-27,5.625,7.23,1.604,16.817,1.833,
2011-11-28,10.854,20.438,9.583,32.858,1.792,
2011-11-29,11.945,17.706,5.762,24.875,2.208,
2011-11-30,8.804,14.072,5.268,16.49,1.583,
2011-12-01,5.646,6.688,1.042,3.367,1.167,
2011-12-02,10.542,13.834,3.292,11.367,1.589,
2011-12-03,9.042,12.938,3.896,8.791,1.333,
2011-12-04,3.792,4.208,0.416,5.217,0.944,
2011-12-05,7.344,9.008,1.664,6.7,1.097,
2011-12-06,9.98,15.286,5.306,11.079,1.668,
2011-12-07,11.874,18.013,6.139,10.1,1.347,
2011-12-08,8.909,10.354,1.445,9.98,1.722,
2011-12-09,4.782,5.978,1.196,3.117,0.958,
2011-12-10,5.25,6.334,1.084,5.025,1.18,
2011-12-11,4.312,4.562,0.25,7.925,0.972,
2011-12-12,8.02,9.146,1.125,11.158,1.5,
2011-12-13,8.916,10.896,1.979,8.375,0.976,
2011-12-14,7.751,11.072,3.32,8.492,1.403,
2011-12-15,8.417,9.834,1.416,14.962,1.736,
2011-12-16,4.779,5.593,0.814,3.667,0.417,
2011-12-17,8.146,9.625,1.479,3.825,0.5,
2011-12-18,4.021,4.27,0.25,3.583,0.847,
2011-12-19,7.188,8.416,1.23,3.152,0.652,
2011-12-20,8.083,9.312,1.23,3.657,0.657,
2011-12-21,8.557,9.632,1.076,6.508,1.25,
2011-12-22,9.042,10.833,1.792,18.233,1.667,
2011-12-23,5.088,5.867,0.779,4.667,0.375,
2011-12-24,6.625,7.77,1.146,5.083,0.833,
2011-12-25,5.604,6.542,0.938,3.867,0.43,
2011-12-26,8.021,9.166,1.146,3.138,0.417,
2011-12-27,13.312,16.792,3.48,6.808,0.639,
2011-12-28,13.642,18.74,5.098,11.275,0.861,
2011-12-29,10.396,12.5,2.104,12.433,1.236,
2011-12-30,5.483,6.404,0.921,8.792,0.576,
2011-12-31,4.375,5.104,0.729,9.358,0.681,
2012-01-01,3.23,3.666,0.438,7.9,1.042,
2012-01-02,2.542,2.625,0.084,19.083,2.177,
2012-01-03,2.854,3.208,0.354,3.908,0.611,
2012-01-04,6.021,6.938,0.917,3.417,0.431,
2012-01-05,8.326,10.283,1.956,5.3,1.083,
2012-01-06,8.062,9.5,1.438,10.0,0.667,
2012-01-07,11.333,14.208,2.875,14.467,1.111,
2012-01-08,10.98,14.083,3.104,12.883,1.056,
2012-01-09,7.438,8.375,0.938,10.383,0.848,
2012-01-10,10.084,11.73,1.646,6.525,0.681,
2012-01-11,8.062,9.688,1.625,7.958,0.715,
2012-01-12,7.24,8.783,1.544,11.967,1.139,
2012-01-13,5.938,6.896,0.958,20.075,1.056,
2012-01-14,4.375,4.875,0.5,11.075,0.611,
2012-01-15,6.333,7.48,1.146,10.85,1.042,
2012-01-16,6.75,7.771,1.021,9.683,1.31,
2012-01-17,5.0,6.062,1.062,9.1,0.903,
2012-01-18,6.458,7.625,1.166,5.258,0.543,
2012-01-19,11.456,13.782,2.326,10.15,0.736,
2012-01-20,6.688,7.396,0.708,21.242,0.903,
2012-01-21,12.354,16.458,4.104,11.7,1.292,
2012-01-22,13.396,16.229,2.834,6.158,0.611,
2012-01-23,7.896,9.688,1.792,5.283,0.738,
2012-01-24,5.562,6.416,0.854,8.308,1.708,
2012-01-25,2.604,3.167,0.562,8.919,0.883,
2012-01-26,2.282,2.782,0.5,4.233,0.458,
2012-01-27,4.48,5.188,0.708,4.767,0.5,
2012-01-28,10.042,12.25,2.208,6.875,0.597,
2012-01-29,13.958,17.5,3.542,11.35,0.819,
2012-01-30,16.479,21.584,5.104,22.692,1.171,
2012-01-31,14.416,20.52,6.104,19.458,1.417,
2012-02-01,14.458,19.25,4.792,16.35,2.355,
2012-02-02,14.761,22.87,8.108,13.05,1.25,
2012-02-03,4.042,4.562,0.52,12.65,0.694,
2012-02-04,14.792,21.021,6.23,14.833,1.083,
2012-02-05,5.938,7.042,1.104,13.283,1.375,
2012-02-06,12.334,14.854,2.521,10.925,0.752,
2012-02-07,5.958,6.75,0.792,10.367,1.486,
2012-02-08,3.312,4.208,0.896,7.125,0.704,
2012-02-09,6.37,7.304,0.935,8.25,0.694,
2012-02-10,4.625,5.166,0.542,14.467,1.667,
2012-02-11,5.812,6.438,0.625,16.833,1.236,
2012-02-12,12.667,14.875,2.208,13.483,1.236,
2012-02-13,11.271,12.604,1.333,11.834,0.986,
2012-02-14,11.734,15.03,3.297,8.0,0.861,
2012-02-15,9.375,12.416,3.042,8.933,0.864,
2012-02-16,4.0,5.044,1.044,7.0,0.875,
2012-02-17,5.5,6.438,0.938,5.067,0.806,
2012-02-18,13.25,19.542,6.292,9.942,0.917,
2012-02-19,5.229,6.5,1.271,9.492,1.014,
2012-02-20,7.583,10.125,2.542,8.558,0.935,
2012-02-21,7.625,8.604,0.979,9.0,1.194,
2012-02-22,6.334,7.458,1.125,13.874,1.46,
2012-02-23,4.044,4.63,0.587,12.492,1.111,
