date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-28,194.208,18.125,21.208,28.875,7.666,2.792,18.75,212.333,4.208
2011-01-29,191.542,10.375,8.688,11.042,2.354,2.0,9.854,201.917,2.667
2011-01-30,193.542,17.167,20.98,27.875,6.896,2.833,12.52,210.708,4.042
2011-01-31,193.667,18.708,23.479,33.938,10.458,2.783,13.792,212.375,4.917
2011-02-01,189.75,12.542,12.208,16.958,4.75,3.417,19.792,202.292,4.167
2011-02-02,193.318,17.182,19.587,25.913,6.326,2.391,12.164,210.5,4.739
2011-02-03,196.042,20.125,22.792,33.812,11.02,2.542,13.0,216.167,6.542
2011-02-04,199.0,24.0,26.688,39.416,12.729,2.0,16.396,223.0,6.5
2011-02-05,196.417,21.333,25.708,32.584,6.875,4.083,22.27,217.75,6.708
2011-02-06,197.958,27.875,36.125,49.271,13.146,2.583,38.75,225.833,7.083
2011-02-07,195.625,27.958,26.792,50.146,23.354,1.917,42.271,223.583,6.0
2011-02-08,189.333,17.042,19.166,23.875,4.708,4.292,15.458,206.375,4.708
2011-02-09,189.739,13.783,16.169,24.274,8.104,2.087,11.056,203.522,4.652
2011-02-10,194.208,23.167,26.604,42.582,15.77,3.0,18.146,217.375,5.875
2011-02-11,194.958,20.75,24.358,30.59,6.231,2.958,21.729,215.708,5.25
2011-02-12,193.125,15.042,13.372,16.473,3.101,2.542,16.042,208.167,3.417
2011-02-13,195.625,24.25,30.992,42.329,11.336,6.5,26.584,219.875,6.125
2011-02-14,193.292,23.083,29.046,36.896,7.85,2.304,40.604,216.375,5.042
2011-02-15,195.542,26.708,28.24,42.56,14.32,3.542,38.834,222.25,5.625
2011-02-16,189.864,17.773,15.932,19.524,3.592,3.545,21.016,207.636,4.087
2011-02-17,193.917,22.875,26.396,34.916,8.521,3.25,30.854,216.792,4.833
2011-02-18,191.667,11.792,10.604,13.458,2.854,2.208,15.208,203.458,3.625
2011-02-19,195.292,13.458,14.521,17.708,3.188,2.792,16.834,208.75,4.5
2011-02-20,196.417,18.542,23.938,32.396,8.458,3.375,21.958,214.958,5.75
2011-02-21,195.542,26.583,31.73,43.958,12.229,4.042,25.917,222.125,6.417
2011-02-22,192.417,16.833,19.02,22.042,3.021,6.0,34.812,209.25,4.708
2011-02-23,192.304,24.826,24.356,33.145,8.788,3.0,34.828,217.13,5.818
2011-02-24,191.333,14.75,15.562,17.584,2.021,4.227,32.042,206.083,4.917
2011-02-25,191.875,16.417,19.084,22.375,3.292,1.909,24.417,208.292,4.625
2011-02-26,189.708,11.125,11.104,13.188,2.084,2.739,13.771,200.833,3.542
2011-02-27,190.292,11.333,9.52,11.854,2.333,1.75,14.979,201.625,3.25
2011-02-28,192.583,13.458,16.708,21.021,4.312,4.042,18.188,206.042,4.208
2011-03-01,193.333,21.958,22.938,36.312,13.375,1.917,21.167,215.292,4.958
2011-03-02,194.0,31.333,29.913,50.304,20.392,1.565,24.283,225.333,5.864
2011-03-03,190.5,21.458,11.708,13.625,1.916,3.125,22.021,211.958,4.458
2011-03-04,193.042,23.25,14.458,16.354,1.896,4.625,26.0,216.292,4.833
2011-03-05,192.375,26.625,18.417,22.584,4.166,1.0,14.875,219.0,5.208
2011-03-06,190.5,38.625,27.938,47.25,19.312,3.042,31.75,229.125,7.042
2011-03-07,193.208,31.542,26.292,34.916,8.625,5.13,39.146,224.75,6.042
2011-03-08,195.136,27.182,22.913,26.5,3.587,3.565,24.98,222.318,
2011-03-09,197.708,25.833,20.666,26.479,5.812,1.458,24.062,223.542,
2011-03-10,197.458,21.292,13.0,16.145,3.146,1.0,10.5,218.75,
2011-03-11,197.917,22.167,13.458,17.042,3.584,2.792,20.834,220.083,
2011-03-12,196.25,21.333,11.771,16.625,4.854,1.958,13.834,217.583,
2011-03-13,198.5,24.5,13.958,17.062,3.104,2.417,13.584,223.0,
2011-03-14,200.5,29.042,22.604,28.25,5.646,3.292,19.146,229.542,
2011-03-15,200.391,28.174,19.218,25.718,6.5,2.783,22.077,228.565,
2011-03-16,198.458,21.083,13.312,17.375,4.062,3.375,21.125,219.542,
2011-03-17,195.667,23.625,16.77,20.958,4.188,3.417,28.979,219.292,
2011-03-18,204.625,37.417,30.562,41.083,10.521,3.667,48.958,242.042,
2011-03-19,198.083,27.125,18.438,21.208,2.771,3.208,20.438,225.208,
2011-03-20,197.458,23.708,16.834,19.916,3.084,3.042,20.938,221.167,
2011-03-21,196.417,21.0,12.812,15.875,3.062,2.667,15.062,217.417,
2011-03-22,204.043,39.217,37.5,54.682,17.182,4.957,30.562,243.261,
2011-03-23,199.542,36.0,36.083,46.229,10.146,2.833,37.896,235.542,
2011-03-24,197.917,31.917,26.25,33.708,7.458,2.208,26.125,229.833,
2011-03-25,196.833,22.417,12.084,15.625,3.542,2.583,15.562,219.25,
2011-03-26,201.583,30.042,21.438,25.52,4.083,3.625,16.375,231.625,
2011-03-27,201.833,28.5,20.208,24.208,4.0,3.625,21.438,230.333,
2011-03-28,199.478,29.391,18.044,23.0,4.956,3.957,30.044,228.87,
2011-03-29,197.125,21.542,12.416,16.271,3.854,3.958,19.604,218.667,
2011-03-30,192.75,17.625,5.688,8.375,2.688,2.565,22.916,210.375,
2011-03-31,188.708,19.958,5.458,7.104,1.646,2.167,19.938,208.667,
2011-04-01,189.542,13.583,14.688,18.708,4.02,4.417,21.896,203.125,4.042
2011-04-02,186.792,11.708,13.292,15.646,2.354,4.708,30.729,198.5,4.75
2011-04-03,189.25,10.667,8.75,9.916,1.166,4.583,19.25,199.917,3.667
2011-04-04,189.583,13.125,11.334,13.416,2.084,3.625,16.708,202.708,3.0
2011-04-05,190.875,14.0,19.771,25.812,6.042,4.917,19.625,204.875,4.417
2011-04-06,189.739,15.478,16.913,22.217,5.304,4.696,23.152,205.217,4.565
2011-04-07,184.458,7.625,8.0,11.604,3.604,3.708,21.77,192.083,3.458
2011-04-08,183.292,6.833,4.604,7.625,3.021,2.958,21.125,190.125,2.75
2011-04-09,182.625,7.917,4.938,7.312,2.375,2.375,23.812,190.542,3.042
2011-04-10,188.333,12.917,11.042,13.375,2.334,5.167,21.208,201.25,4.5
2011-04-11,188.292,14.125,13.812,18.416,4.604,4.833,29.042,202.417,4.583
2011-04-12,187.0,10.25,10.396,13.062,2.666,4.625,24.062,197.25,3.375
2011-04-13,186.682,14.727,17.493,20.917,3.424,4.87,27.104,201.409,5.043
2011-04-14,186.125,18.125,21.604,25.771,4.166,6.917,36.834,204.25,5.917
2011-04-15,179.125,6.375,6.812,9.917,3.104,4.333,33.542,185.5,3.875
2011-04-16,179.833,8.333,7.979,10.208,2.229,3.833,27.708,188.167,4.083
2011-04-17,184.167,9.375,6.875,8.188,1.312,4.958,21.271,193.542,3.583
2011-04-18,187.167,16.542,13.042,15.208,2.167,4.792,21.688,203.708,3.542
2011-04-19,183.75,13.0,12.083,15.312,3.229,3.458,18.958,196.75,4.167
2011-04-20,188.292,18.667,16.5,20.566,4.067,5.5,19.021,206.958,4.696
2011-04-21,186.87,14.478,13.048,16.736,3.688,4.565,19.188,201.348,4.75
2011-04-22,184.5,13.0,13.77,18.584,4.812,4.125,25.812,197.5,4.917
2011-04-23,178.542,6.25,3.854,6.562,2.708,2.833,21.854,184.792,3.042
2011-04-24,182.167,8.833,7.812,10.479,2.666,4.5,22.438,191.0,4.167
2011-04-25,186.792,12.917,12.666,17.875,5.208,4.25,23.438,199.708,5.083
2011-04-26,185.917,14.542,14.875,20.271,5.396,4.917,25.896,200.458,4.75
2011-04-27,180.9,6.1,6.001,8.817,2.816,3.348,48.842,187.0,3.955
2011-04-28,187.9,10.8,7.562,10.458,2.896,3.375,27.604,198.7,4.208
2011-04-29,191.917,13.958,13.438,15.854,2.416,5.792,18.77,205.875,4.75
2011-04-30,193.375,14.417,12.104,15.458,3.354,4.708,28.792,207.792,5.208
2011-05-01,185.542,7.417,4.458,6.562,2.104,2.792,23.146,192.958,3.542
2011-05-02,190.957,15.13,13.87,19.478,5.608,4.826,59.479,206.087,4.826
2011-05-03,194.917,16.833,13.938,16.479,2.542,4.25,55.5,211.75,4.375
2011-05-04,189.833,11.083,8.542,11.062,2.521,4.083,29.75,200.917,4.583
2011-05-05,193.25,13.792,10.604,12.354,1.75,4.667,31.188,207.042,4.125
2011-05-06,193.083,14.458,12.416,14.938,2.521,5.292,30.771,207.542,5.208
2011-05-07,194.542,20.792,17.667,21.896,4.229,3.25,31.688,215.333,5.0
2011-05-08,191.0,15.042,9.917,13.312,3.396,3.958,30.062,206.042,4.917
2011-05-09,191.833,13.25,13.166,18.062,4.896,4.667,33.979,205.083,4.958
2011-05-10,183.583,13.167,10.292,14.667,4.375,3.292,38.625,196.75,4.167
2011-05-11,190.136,15.727,13.307,15.336,2.029,2.913,19.248,205.864,3.261
2011-05-12,194.958,23.167,25.396,31.5,6.104,2.5,25.271,218.125,4.292
2011-05-13,184.917,13.958,13.042,18.334,5.292,3.417,30.062,198.875,4.208
2011-05-14,189.958,15.583,14.625,18.75,4.125,5.167,42.458,205.542,4.458
2011-05-15,190.167,11.833,10.125,13.021,2.896,5.167,28.458,202.0,3.542
2011-05-16,186.875,7.833,9.208,12.834,3.625,4.375,31.896,194.708,3.167
2011-05-17,186.5,10.75,10.334,14.167,3.834,3.292,28.646,197.25,3.333
2011-05-18,191.217,17.565,16.826,22.044,5.217,5.391,40.761,208.783,4.565
2011-05-19,187.75,11.167,9.666,12.562,2.896,4.375,37.834,198.917,3.583
2011-05-20,184.625,8.25,7.021,10.5,3.479,3.565,39.875,192.875,3.208
2011-05-21,181.696,7.478,5.502,8.212,2.71,2.739,29.84,189.174,2.625
2011-05-22,183.083,8.417,5.584,7.521,1.938,2.375,19.208,191.5,2.417
2011-05-23,190.667,13.5,13.562,16.104,2.542,2.958,18.708,204.167,2.917
2011-05-24,193.375,16.917,16.125,19.27,3.146,2.292,16.896,210.292,3.333
2011-05-25,194.167,14.208,12.566,18.238,5.671,3.25,19.771,208.375,4.174
2011-05-26,194.125,17.792,14.833,18.479,3.646,3.583,23.104,211.917,3.625
2011-05-27,191.739,17.435,14.016,17.406,3.39,2.13,21.542,209.174,2.958
2011-05-28,195.583,21.125,18.75,22.146,3.396,1.042,18.875,216.708,4.083
2011-05-29,193.792,14.125,12.188,14.062,1.875,1.0,13.271,207.917,2.458
2011-05-30,186.75,11.042,8.188,10.375,2.188,1.583,9.625,197.792,1.875
2011-05-31,189.292,13.167,9.875,11.708,1.834,3.208,19.979,202.458,2.083
2011-06-01,192.636,11.864,10.413,14.066,3.652,3.87,36.208,204.5,3.565
2011-06-02,199.333,25.0,21.312,31.562,10.25,2.5,30.458,224.333,4.25
2011-06-03,195.958,18.167,17.271,24.771,7.5,3.208,28.834,214.125,5.458
2011-06-04,191.583,11.417,8.23,11.792,3.562,2.5,34.521,203.0,4.333
2011-06-05,188.667,8.25,5.292,7.916,2.625,2.583,36.375,196.917,3.458
2011-06-06,194.333,14.833,13.208,16.062,2.854,4.75,42.396,209.167,4.708
2011-06-07,191.333,11.042,10.604,13.605,3.0,5.042,39.875,202.375,4.083
2011-06-08,190.045,22.045,19.818,22.934,3.116,3.391,23.822,212.091,3.522
2011-06-09,187.0,20.083,14.354,19.896,5.542,5.708,29.208,207.083,4.75
2011-06-10,179.167,7.875,8.75,12.688,3.938,3.167,22.562,187.042,3.333
2011-06-11,182.208,15.333,15.292,19.896,4.604,2.5,40.229,197.542,4.542
2011-06-12,192.125,19.208,18.208,21.792,3.583,4.792,48.271,211.333,5.625
2011-06-13,185.542,19.958,17.542,22.354,4.812,3.208,28.646,205.5,4.5
2011-06-14,187.458,18.583,15.208,19.146,3.938,3.708,35.062,206.042,3.708
2011-06-15,188.75,16.5,12.771,15.625,2.854,4.458,23.166,205.25,3.667
2011-06-16,186.522,19.304,15.324,21.774,6.45,3.13,22.708,205.826,3.696
2011-06-17,186.042,17.792,15.271,18.584,3.312,2.458,17.188,203.833,2.75
2011-06-18,185.208,14.625,13.104,17.625,4.521,2.458,21.688,199.833,4.25
2011-06-19,190.583,18.708,15.375,19.188,3.812,2.667,34.771,209.292,4.5
2011-06-20,177.583,8.5,8.083,12.375,4.292,2.375,19.292,186.083,2.333
2011-06-21,175.167,8.708,5.625,10.938,5.312,1.917,21.334,183.875,2.125
2011-06-22,180.042,17.958,11.208,18.083,6.875,2.917,36.0,198.0,3.833
2011-06-23,173.478,9.435,5.229,11.809,6.58,2.478,33.695,182.913,2.348
2011-06-24,171.917,8.25,3.354,9.292,5.938,2.0,38.479,180.167,2.083
2011-06-25,179.75,14.333,10.542,14.229,3.688,4.375,31.416,194.083,2.917
2011-06-26,188.583,15.167,12.562,15.875,3.312,4.125,40.396,203.75,3.5
2011-06-27,181.375,15.708,9.833,20.021,10.188,3.208,35.562,197.083,3.125
2011-06-28,172.708,9.875,6.5,13.25,6.75,2.792,32.812,182.583,2.792
2011-06-29,180.875,19.625,18.521,26.375,7.854,6.5,47.25,200.5,4.708
2011-06-30,175.875,13.833,13.916,21.479,7.562,5.292,42.333,189.708,3.458
2011-07-01,174.25,11.45,11.344,17.992,6.648,4.696,48.292,185.7,3.478
2011-07-02,179.542,19.0,14.792,19.854,5.062,6.25,32.166,198.542,2.333
2011-07-03,178.333,13.042,11.646,17.98,6.333,5.208,38.521,191.375,3.208
2011-07-04,172.875,7.125,4.812,9.688,4.875,3.583,54.271,180.0,1.917
2011-07-05,177.917,9.417,9.875,13.625,3.75,3.875,38.166,187.333,2.75
2011-07-06,188.75,19.333,17.584,20.562,2.979,7.458,46.75,208.083,4.25
2011-07-07,173.522,6.826,4.609,9.804,5.196,3.043,27.706,180.348,1.727
2011-07-08,170.875,7.458,6.646,14.354,7.708,2.25,28.312,178.333,
2011-07-09,170.958,7.833,8.167,15.917,7.75,2.792,32.042,178.792,
2011-07-10,171.042,7.083,5.792,11.458,5.667,2.708,25.458,178.125,
2011-07-11,172.458,7.792,6.354,15.125,8.771,3.042,22.458,180.25,
2011-07-12,172.208,6.458,6.75,14.605,7.854,3.125,25.396,178.667,
2011-07-13,172.333,6.042,6.688,14.188,7.5,3.208,24.875,178.375,
2011-07-14,172.609,6.217,6.783,14.5,7.718,3.636,23.336,178.826,3.1
2011-07-15,172.667,7.375,7.75,16.083,8.333,3.667,26.354,180.042,3.292
2011-07-16,172.792,6.375,7.584,14.458,6.875,6.458,34.938,179.167,3.25
2011-07-17,170.458,4.875,4.104,10.02,5.917,2.625,26.708,175.333,2.667
2011-07-18,168.583,4.042,3.5,9.604,6.104,2.542,42.166,172.625,2.708
2011-07-19,168.542,6.667,2.334,6.604,4.27,1.958,43.958,175.208,1.625
2011-07-20,172.043,10.261,4.117,7.517,3.4,1.478,42.614,182.304,1.957
2011-07-21,180.958,13.458,9.334,12.958,3.625,2.167,26.812,194.417,2.417
2011-07-22,184.125,13.542,10.688,14.77,4.084,2.5,22.979,197.667,2.25
2011-07-23,183.083,15.958,12.146,15.854,3.708,2.292,20.084,199.042,2.333
2011-07-24,179.5,12.208,9.562,14.145,4.584,2.667,26.958,191.708,3.583
2011-07-25,175.708,7.792,7.438,12.416,4.979,2.417,32.75,183.5,3.208
2011-07-26,176.125,7.625,6.312,11.75,5.438,2.0,29.583,183.75,3.375
2011-07-27,173.792,8.458,6.271,13.354,7.084,2.0,26.625,182.25,3.167
2011-07-28,181.522,21.739,15.152,20.718,5.565,2.0,42.142,203.261,3.286
2011-07-29,186.583,21.25,16.084,21.77,5.688,3.542,59.833,207.833,5.5
2011-07-30,181.208,19.917,16.77,21.667,4.896,2.667,38.458,201.125,4.208
2011-07-31,183.125,15.333,10.438,14.458,4.021,2.083,36.375,198.458,3.167
2011-08-01,185.417,17.042,12.25,16.145,3.896,3.208,42.5,202.458,3.667
2011-08-02,185.333,17.958,12.75,16.979,4.23,3.25,41.875,203.292,4.958
2011-08-03,183.958,21.167,12.771,20.458,7.688,2.958,33.938,205.125,3.375
2011-08-04,178.318,19.5,10.486,17.881,7.396,2.652,33.066,197.818,1.913
2011-08-05,173.0,11.833,8.312,16.167,7.854,2.042,24.708,184.833,2.542
2011-08-06,170.0,9.917,9.896,18.166,8.271,3.042,29.146,179.917,2.583
2011-08-07,177.792,19.583,14.645,18.52,3.875,3.417,44.542,197.375,4.083
2011-08-08,176.833,17.583,12.792,18.542,5.75,3.458,39.417,194.417,4.0
2011-08-09,171.792,12.25,9.584,15.854,6.27,3.0,38.562,184.042,2.833
2011-08-10,170.13,9.565,7.5,13.26,5.761,2.913,45.182,179.696,2.522
2011-08-11,171.792,11.75,9.416,15.271,5.854,3.375,58.958,183.542,3.167
2011-08-12,177.083,15.792,13.458,19.562,6.104,4.083,67.167,192.875,4.583
2011-08-13,177.417,15.292,11.604,16.104,4.5,4.417,62.188,192.708,3.667
2011-08-14,173.042,10.833,6.125,11.23,5.104,3.417,68.77,183.875,3.375
2011-08-15,170.875,9.25,4.979,10.708,5.729,3.042,46.375,180.125,2.458
2011-08-16,175.333,12.708,8.333,13.479,5.146,3.0,49.708,188.042,3.042
2011-08-17,176.875,12.833,8.688,14.396,5.708,2.958,51.875,189.708,3.542
2011-08-18,170.217,9.348,5.894,12.195,6.302,2.304,57.432,179.565,2.348
2011-08-19,176.792,13.333,10.792,15.146,4.354,2.167,43.688,190.125,2.292
2011-08-20,186.583,21.958,17.416,22.229,4.812,2.292,29.042,208.542,3.625
2011-08-21,186.292,29.5,10.792,14.417,3.625,2.0,22.792,215.792,2.708
2011-08-22,192.917,26.542,23.166,34.875,11.708,1.917,26.688,219.458,3.792
2011-08-23,184.167,19.583,15.708,27.854,12.145,1.958,44.375,203.75,4.042
2011-08-24,171.667,9.75,7.125,17.729,10.605,2.958,28.042,181.417,2.667
2011-08-25,170.636,8.955,7.152,16.5,9.348,2.13,25.688,179.591,2.739
2011-08-26,173.958,11.875,10.354,18.25,7.896,2.208,24.542,185.833,3.0
2011-08-27,183.708,18.25,16.875,21.146,4.271,3.25,33.875,201.958,3.292
2011-08-28,186.042,17.167,12.77,15.562,2.792,3.792,32.688,203.208,3.833
2011-08-29,183.583,17.75,15.666,19.854,4.188,4.417,34.146,201.333,3.125
2011-08-30,182.25,16.875,14.438,18.916,4.479,3.75,27.104,199.125,2.417
2011-08-31,179.042,20.875,13.125,19.896,6.771,3.083,26.812,199.917,2.5
2011-09-01,173.652,20.435,6.824,12.937,6.113,1.87,29.375,194.087,1.522
2011-09-02,173.708,16.708,4.104,9.208,5.104,1.417,37.646,190.417,1.417
2011-09-03,170.958,8.042,1.146,4.0,2.854,1.792,42.958,179.0,1.083
2011-09-04,171.75,8.583,2.021,4.77,2.75,2.0,31.73,180.333,0.833
2011-09-05,173.833,14.042,7.5,13.48,5.979,2.083,28.396,187.875,2.417
2011-09-06,180.75,16.208,12.521,17.27,4.75,3.292,24.042,196.958,2.625
2011-09-07,186.409,15.864,16.478,20.848,4.37,3.565,33.282,202.273,3.909
2011-09-08,186.208,14.708,12.771,17.562,4.792,2.833,35.271,200.917,4.042
2011-09-09,178.833,8.917,9.146,15.334,6.188,2.792,33.458,187.75,3.458
2011-09-10,175.167,7.708,6.333,12.48,6.146,2.25,29.042,182.875,3.083
2011-09-11,176.0,12.042,6.604,13.562,6.958,2.208,24.125,188.042,2.958
2011-09-12,176.792,11.875,6.375,15.708,9.333,2.125,23.771,188.667,3.208
2011-09-13,176.208,8.25,5.604,12.458,6.854,3.792,27.416,184.458,2.875
2011-09-14,176.167,8.25,6.521,13.75,7.229,2.833,25.312,184.417,3.0
2011-09-15,175.5,9.042,6.25,14.98,8.73,2.625,21.354,184.542,3.042
2011-09-16,172.455,10.227,5.068,10.932,5.864,1.87,24.066,182.682,2.478
2011-09-17,169.708,9.667,3.521,8.666,5.146,1.708,28.0,179.375,2.5
2011-09-18,171.083,10.0,4.542,9.375,4.833,2.75,24.02,181.083,2.75
2011-09-19,176.292,14.417,8.521,13.562,5.042,2.625,34.896,190.708,3.083
2011-09-20,186.167,25.875,22.854,36.0,13.146,2.208,32.792,212.042,4.083
2011-09-21,176.333,14.292,7.979,11.938,3.958,1.375,38.708,190.625,2.417
2011-09-22,176.783,15.652,11.948,16.886,4.938,2.043,26.146,192.435,3.609
2011-09-23,185.583,23.083,19.062,23.312,4.25,2.208,21.792,208.667,4.292
2011-09-24,186.917,18.417,13.979,16.75,2.771,2.625,20.688,205.333,3.5
2011-09-25,188.583,18.542,12.73,14.667,1.938,2.583,21.688,207.125,3.25
2011-09-26,191.292,26.75,28.729,36.292,7.562,2.042,25.5,218.042,4.875
2011-09-27,186.875,19.5,15.625,20.146,4.521,1.958,23.916,206.375,3.5
2011-09-28,187.208,19.875,18.062,21.688,3.625,2.208,24.312,207.083,3.375
2011-09-29,184.87,18.435,16.134,19.853,3.718,2.348,27.75,203.304,4.087
2011-09-30,179.75,13.792,9.292,13.312,4.021,1.375,39.312,193.542,3.75
2011-10-01,186.625,16.833,12.875,15.042,2.167,3.458,25.188,203.458,3.958
2011-10-02,186.083,16.125,10.916,12.688,1.771,3.792,24.688,202.208,3.542
2011-10-03,187.25,17.833,14.104,17.729,3.625,3.167,17.75,205.083,3.458
2011-10-04,189.708,18.875,14.458,17.25,2.792,3.25,18.417,208.583,3.292
2011-10-05,189.792,23.833,21.125,25.292,4.166,1.458,19.77,213.625,4.083
2011-10-06,185.773,17.364,14.217,18.066,3.848,1.435,15.538,203.136,3.435
2011-10-07,188.042,18.958,15.146,18.062,2.916,2.625,22.917,207.0,3.708
2011-10-08,191.458,22.25,18.0,21.146,3.146,3.792,30.979,213.708,4.375
2011-10-09,194.625,29.792,14.708,16.479,1.771,2.458,40.875,224.417,4.708
2011-10-10,191.0,27.125,12.354,15.208,2.854,1.5,42.584,218.125,5.0
2011-10-11,196.542,42.458,30.438,38.521,8.083,2.917,49.771,239.0,6.5
2011-10-12,192.708,31.292,17.73,21.917,4.188,3.083,49.292,224.0,4.833
2011-10-13,194.1,29.8,22.524,27.976,5.452,4.87,53.002,223.9,5.435
2011-10-14,,,20.458,28.666,8.208,5.458,55.375,,5.417
2011-10-15,,,4.042,6.896,2.854,2.125,28.084,,2.208
2011-10-16,,,4.52,6.938,2.417,2.583,25.958,,2.583
2011-10-17,,,12.521,18.375,5.854,3.958,33.312,,4.417
2011-10-18,,,13.375,16.0,2.625,3.833,24.354,,2.833
2011-10-19,,,17.416,21.125,3.708,3.458,19.958,,2.875
2011-10-20,,,15.674,19.261,3.587,2.826,22.658,,2.87
2011-10-21,,,20.833,25.75,4.917,2.583,24.118,,3.0
2011-10-22,,,10.812,16.188,5.375,1.417,16.021,,2.75
2011-10-23,,,7.354,11.146,3.792,1.333,20.084,,2.667
2011-10-24,,,25.292,37.604,12.312,3.292,33.583,,4.75
2011-10-25,,,10.292,15.646,5.354,2.542,23.104,,3.583
2011-10-26,,,9.771,12.25,2.479,4.333,13.416,,2.042
2011-10-27,,,17.239,20.652,3.413,4.696,23.0,,3.591
2011-10-28,,,25.604,30.271,4.666,4.458,29.742,,3.333
2011-10-29,,,22.583,26.146,3.562,4.042,34.312,,3.333
2011-10-30,,,15.084,17.146,2.062,2.542,37.229,,3.0
2011-10-31,,,20.917,26.896,5.979,3.542,35.312,,2.917
2011-11-01,,,20.229,24.625,4.396,3.917,21.584,,2.708
2011-11-02,,,26.61,36.728,10.118,3.826,34.05,,5.455
2011-11-03,,,34.542,53.562,19.021,4.417,52.02,,7.083
2011-11-04,,,32.916,50.604,17.688,4.917,61.916,,6.833
2011-11-05,,,22.771,36.521,13.75,3.542,51.75,,6.125
2011-11-06,,,30.396,42.188,11.792,2.292,83.562,,6.167
2011-11-07,,,16.25,21.625,5.375,3.208,32.375,,3.708
2011-11-08,,,13.542,16.542,3.0,3.5,21.188,,2.833
2011-11-09,,,19.917,24.542,4.625,3.375,22.042,,3.208
2011-11-10,,,25.202,36.196,10.994,4.65,26.358,,4.217
2011-11-11,,,22.48,27.167,4.688,2.25,23.562,,4.0
2011-11-12,,,19.0,25.062,6.062,2.833,22.625,,4.208
2011-11-13,,,23.666,32.958,9.292,3.125,36.125,,6.667
2011-11-14,,,24.042,29.854,5.812,4.667,41.375,,5.542
2011-11-15,,,17.854,22.062,4.208,3.833,26.542,,4.583
2011-11-16,,,15.271,18.875,3.604,3.167,15.566,,3.667
2011-11-17,,,27.9,36.357,8.457,3.217,20.003,,5.348
2011-11-18,,,27.166,40.604,13.438,3.5,25.479,,5.083
2011-11-19,,,3.25,5.77,2.52,1.167,38.0,,2.792
2011-11-20,,,11.438,15.855,4.416,2.417,22.167,,4.625
2011-11-21,,,16.438,22.02,5.584,3.292,14.229,,4.292
2011-11-22,,,25.646,37.854,12.208,2.667,16.083,,5.333
2011-11-23,,,20.132,34.652,14.52,2.353,21.048,,5.708
2011-11-24,,,9.841,13.454,3.614,2.348,19.027,,3.826
2011-11-25,,,22.542,30.23,7.688,2.458,15.042,,4.75
2011-11-26,,,22.708,31.104,8.396,3.292,20.688,,5.708
2011-11-27,,,23.438,33.562,10.125,2.333,29.916,,6.375
2011-11-28,,,37.646,85.479,47.833,3.292,50.438,,9.667
2011-11-29,,,49.548,132.339,82.791,5.957,60.189,,10.913
2011-11-30,,,28.334,49.646,21.312,4.083,52.896,,7.958
2011-12-01,,,10.416,12.896,2.479,2.458,16.73,,3.417
