date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean
2011-07-26,16.208,21.861,5.653,15.389,,3.458
2011-07-27,26.417,35.292,8.876,24.716,,3.542
2011-07-28,17.889,21.194,3.305,24.25,,3.042
2011-07-29,20.458,27.25,6.792,25.195,,3.375
2011-07-30,11.75,14.417,2.667,13.361,,3.167
2011-07-31,6.708,8.861,2.153,17.181,,3.167
2011-08-01,12.098,18.028,5.93,20.736,,3.391
2011-08-02,16.097,22.042,5.944,27.069,,3.542
2011-08-03,15.734,23.255,7.521,21.882,,3.333
2011-08-04,12.222,22.417,10.195,17.514,,2.833
2011-08-05,10.458,18.125,7.667,13.764,,3.208
2011-08-06,12.333,16.695,4.361,17.514,,3.208
2011-08-07,7.917,9.028,1.111,16.861,,3.458
2011-08-08,15.299,17.545,2.246,24.611,,3.304
2011-08-09,18.278,21.542,3.264,28.695,,3.5
2011-08-10,16.75,19.166,2.417,32.959,,3.333
2011-08-11,16.99,19.574,2.584,39.22,,4.043
2011-08-12,15.944,18.139,2.195,34.431,,3.667
2011-08-13,11.819,13.403,1.583,46.055,,3.542
2011-08-14,7.639,8.486,0.847,47.542,,3.292
2011-08-15,11.212,13.168,1.956,26.236,,3.87
2011-08-16,11.708,13.139,1.431,33.597,,3.625
2011-08-17,15.722,18.333,2.611,30.504,,3.833
2011-08-18,16.222,20.347,4.125,43.0,,3.75
2011-08-19,14.459,18.806,4.347,15.389,,3.375
2011-08-20,11.083,12.958,1.875,11.5,,3.125
2011-08-21,7.236,8.458,1.222,9.222,,3.5
2011-08-22,13.894,18.174,4.279,10.278,,3.261
2011-08-23,21.0,26.778,5.778,35.417,,3.5
2011-08-24,13.348,23.833,10.484,27.676,,3.625
2011-08-25,12.93,31.278,18.347,9.959,,3.583
2011-08-26,13.403,30.236,16.833,18.097,,3.25
2011-08-27,12.292,17.792,5.5,12.875,,3.25
2011-08-28,8.125,10.181,2.056,11.028,,3.5
2011-08-29,11.236,15.669,4.433,12.569,,3.087
2011-08-30,12.306,17.0,4.694,12.041,,3.583
2011-08-31,11.916,18.708,6.792,14.208,,3.125
2011-09-01,9.444,20.568,11.124,15.237,,3.167
2011-09-02,7.847,15.569,7.722,17.833,,3.375
2011-09-03,5.194,8.194,3.0,19.334,,3.5
2011-09-04,6.25,8.75,2.5,15.986,,3.542
2011-09-05,18.096,27.037,8.941,15.903,,3.783
2011-09-06,11.708,14.584,2.875,8.75,,3.542
2011-09-07,16.514,19.014,2.5,16.042,,3.708
2011-09-08,20.335,24.49,4.154,27.409,,3.783
2011-09-09,17.68,21.236,3.556,28.389,,3.958
