date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,CO2_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-26,17.792,30.001,12.208,,12.338,193.615,4138.696,66.0,42.25,21.0,10.62,1.077,3.9,-0.204,-3.6,204.235,4.708
2011-01-27,23.121,45.485,22.364,,16.657,199.798,4277.917,67.0,50.5,27.0,14.069,1.789,4.9,-0.675,-5.8,213.867,5.562
2011-01-28,15.788,24.738,8.95,,15.236,195.264,4218.333,63.0,42.958,24.0,9.667,1.389,3.0,-0.45,-3.1,204.931,4.23
2011-01-29,15.542,22.803,7.262,,11.972,197.194,4329.167,61.0,39.833,18.0,11.528,1.944,4.5,-0.592,-4.9,208.722,4.062
2011-01-30,22.036,41.371,19.335,,13.792,197.444,4303.333,67.0,43.125,25.0,12.778,1.389,3.3,-0.662,-5.0,210.222,4.832
2011-01-31,20.369,35.798,15.429,,12.333,197.573,4245.417,63.0,42.292,17.0,11.889,1.778,7.0,0.142,-5.3,209.463,4.352
2011-02-01,20.448,35.915,15.467,,12.868,193.861,4174.583,65.0,42.792,26.0,11.861,2.069,7.6,0.858,-4.9,205.722,4.27
2011-02-02,12.302,19.218,6.916,,10.241,193.297,4093.913,49.0,28.375,12.0,11.06,1.232,3.4,0.192,-2.0,204.357,3.5
2011-02-03,25.104,52.463,27.359,,15.366,200.563,4387.083,66.0,42.25,21.0,19.746,2.11,5.1,-0.271,-5.6,220.309,5.75
2011-02-04,19.353,38.719,19.366,,15.944,197.903,4342.083,63.0,38.667,17.0,17.264,2.264,9.3,2.079,-5.0,215.167,4.916
2011-02-05,16.488,25.0,8.512,,20.537,199.042,4330.417,67.0,50.792,27.0,15.014,2.125,7.7,2.85,-2.2,214.056,4.771
2011-02-06,22.349,34.407,12.058,,28.433,195.756,4253.5,98.0,73.833,53.0,15.044,1.53,6.7,3.271,-0.8,210.8,5.31
2011-02-07,22.607,45.786,23.179,,20.778,194.707,4221.667,100.0,96.375,88.0,16.849,0.694,9.1,6.179,3.7,211.556,6.671
2011-02-08,13.08,23.646,10.566,,10.149,192.458,4116.25,100.0,44.875,16.0,10.167,1.22,8.1,4.233,-1.1,202.625,3.95
2011-02-09,17.112,29.851,12.739,,10.44,193.69,4102.174,68.0,50.792,31.0,10.981,1.517,4.7,0.112,-3.1,204.671,3.804
2011-02-10,20.982,37.662,16.68,,13.765,197.933,4149.583,69.0,50.333,24.0,14.533,2.056,7.0,1.492,-3.1,212.467,4.354
2011-02-11,14.609,21.648,7.039,,12.319,194.611,4122.917,71.0,42.708,24.0,11.917,1.705,6.3,1.725,-1.7,206.528,3.938
2011-02-12,13.053,17.982,4.929,,13.153,195.056,4066.667,62.0,39.25,19.0,10.944,1.847,6.0,1.0,-3.6,206.0,3.521
2011-02-13,21.488,39.087,17.599,,18.167,197.764,4257.5,58.0,44.417,28.0,17.861,3.144,6.2,2.492,-2.2,215.625,5.052
2011-02-14,22.232,36.25,14.018,,29.287,194.736,4216.667,95.0,68.542,53.0,17.25,2.528,6.2,3.929,1.8,211.986,5.0
2011-02-15,18.654,36.357,17.703,,30.519,196.32,4170.417,97.0,68.208,39.0,19.597,2.937,9.9,4.742,0.8,215.917,5.5
2011-02-16,18.499,28.334,9.835,,18.653,195.065,4190.87,69.0,49.375,31.0,17.512,2.181,4.1,1.354,0.2,212.577,4.521
2011-02-17,15.112,25.65,10.538,,18.787,194.198,4185.0,92.0,62.208,28.0,14.448,1.677,5.4,1.238,-1.2,208.647,4.03
2011-02-18,10.756,15.327,4.572,,11.005,193.792,4210.833,73.0,41.333,21.0,11.333,0.868,2.5,-0.342,-3.3,205.125,3.27
2011-02-19,14.967,21.229,6.262,,11.861,197.486,4325.833,61.0,39.25,19.0,11.847,1.125,5.5,0.008,-5.7,209.333,3.812
2011-02-20,22.568,38.296,15.728,,15.065,198.264,4326.667,57.0,38.625,22.0,14.236,1.323,8.1,2.796,-3.2,212.5,4.556
2011-02-21,22.708,37.707,14.999,,18.694,197.889,4322.5,59.0,41.375,22.0,15.514,2.125,11.4,5.017,-1.5,213.403,4.5
2011-02-22,13.381,21.035,7.654,,26.969,164.857,4217.0,62.0,48.167,30.0,9.834,2.436,9.9,5.071,0.9,174.691,4.429
2011-02-23,16.141,24.21,8.069,,27.514,127.743,4186.087,100.0,91.792,42.0,11.525,0.586,8.8,5.625,3.0,139.268,5.492
2011-02-24,13.354,19.271,5.917,,20.222,129.083,4182.083,82.0,50.75,27.0,9.833,1.816,12.2,7.229,2.8,138.917,4.917
2011-02-25,12.261,17.248,4.987,,15.57,127.931,4205.0,100.0,91.042,62.0,7.333,0.083,4.1,2.108,0.4,135.264,4.084
2011-02-26,10.292,13.583,3.292,,11.31,128.264,4260.833,85.0,61.25,36.0,7.82,0.5,5.6,3.133,0.8,136.083,4.053
2011-02-27,28.318,43.376,15.058,,13.144,129.403,4228.75,68.0,42.25,21.0,35.635,0.694,6.2,1.638,-2.0,136.25,3.708
2011-02-28,38.038,63.488,25.45,,13.769,195.944,4288.333,62.0,46.667,26.0,49.42,1.083,5.3,0.692,-4.3,210.264,4.1
2011-03-01,24.02,41.971,17.951,,13.889,194.313,4245.652,99.0,80.917,60.0,16.737,0.542,11.5,6.196,0.8,211.051,4.739
2011-03-02,21.124,32.417,11.293,,18.005,192.472,4188.75,99.0,94.458,88.0,13.569,0.111,4.8,3.258,1.1,206.042,3.625
2011-03-03,12.054,17.023,4.969,,13.954,192.305,4156.667,98.0,62.375,38.0,9.555,0.653,9.5,4.262,0.9,201.861,3.786
2011-03-04,8.809,11.345,2.536,,16.627,193.597,4131.667,100.0,60.208,41.0,8.847,0.389,7.2,2.8,0.2,202.445,3.146
2011-03-05,18.232,26.5,8.268,,12.046,191.18,4000.0,100.0,99.083,94.0,10.903,0.014,8.3,4.117,0.3,202.083,3.452
2011-03-06,19.871,31.471,11.599,,19.61,189.692,4097.0,100.0,91.958,68.0,15.373,0.584,15.4,9.829,5.5,205.065,4.125
2011-03-07,15.649,24.019,8.37,,20.649,191.261,3997.083,100.0,64.917,33.0,14.853,0.806,14.2,10.558,7.0,206.114,4.536
2011-03-08,17.95,25.709,7.759,,23.612,192.819,4136.522,63.0,54.708,44.0,13.444,0.666,10.7,8.175,6.0,206.264,4.742
2011-03-09,15.045,20.441,5.396,,15.415,190.194,4132.917,98.0,91.875,63.0,10.583,0.042,6.9,4.367,2.1,200.778,3.52
2011-03-10,8.109,10.896,2.786,,7.088,188.861,4133.75,99.0,82.833,65.0,7.875,0.014,6.1,3.254,1.3,196.736,2.955
2011-03-11,9.006,12.036,3.03,,10.5,188.514,4112.5,99.0,80.542,56.0,8.847,0.097,7.5,3.638,1.8,197.361,3.166
2011-03-12,12.893,17.797,4.905,,8.889,188.639,4040.417,96.0,56.25,25.0,10.792,0.458,9.1,3.704,-0.2,199.43,3.266
2011-03-13,11.875,16.479,4.604,,7.287,190.583,4112.5,69.0,39.542,18.0,10.417,0.458,8.5,3.975,0.2,201.0,3.0
2011-03-14,19.226,28.401,9.175,,13.264,193.295,4152.5,64.0,44.5,22.0,13.941,0.5,9.5,4.412,-0.3,207.236,3.661
2011-03-15,17.204,28.633,11.429,,17.273,192.269,4157.391,85.0,47.375,16.0,10.078,1.111,9.5,4.304,-0.1,202.347,3.604
2011-03-16,21.625,30.572,8.947,,21.44,193.292,4248.75,56.0,40.75,24.0,13.375,1.299,9.3,4.554,0.0,206.667,4.048
2011-03-17,24.816,35.474,10.657,,29.477,192.764,4293.75,100.0,87.792,56.0,14.361,0.403,7.2,5.121,3.3,207.125,5.356
2011-03-18,20.065,30.298,10.232,,24.44,194.222,4352.083,100.0,98.875,93.0,19.083,0.111,9.7,7.508,4.4,213.306,5.482
2011-03-19,11.322,16.066,4.744,,12.19,187.611,3830.833,100.0,44.708,22.0,8.306,0.236,9.3,6.121,2.4,195.916,3.125
2011-03-20,13.778,17.978,4.2,,17.046,190.083,4061.25,58.0,37.375,17.0,10.125,0.486,11.6,5.808,-0.3,200.208,3.193
2011-03-21,14.954,21.964,7.01,,11.243,191.448,4122.917,49.0,33.417,18.0,10.526,0.82,10.7,5.271,0.8,201.975,3.688
2011-03-22,27.916,45.899,17.983,,29.125,196.426,4297.391,60.0,40.292,23.0,20.235,2.203,11.7,6.042,-1.2,216.661,5.858
2011-03-23,26.902,43.756,16.854,,37.645,195.93,4242.5,100.0,74.0,39.0,18.153,1.551,10.7,6.912,4.7,214.084,5.438
2011-03-24,14.84,20.479,5.639,,9.255,186.528,4088.75,96.0,67.0,24.0,9.75,0.569,13.5,6.425,3.0,196.278,3.998
2011-03-25,11.229,14.208,2.979,,9.106,189.417,4088.261,75.0,41.208,14.0,7.903,0.5,11.7,6.2,1.4,197.319,3.312
2011-03-26,18.667,28.34,9.674,,11.787,194.5,4181.667,64.0,35.542,13.0,10.611,1.153,8.8,4.962,0.0,205.111,3.938
2011-03-27,22.155,31.204,9.049,,17.972,195.056,4168.261,56.0,36.458,16.0,12.25,0.833,13.7,6.9,0.4,207.306,4.042
2011-03-28,20.086,29.554,9.468,,21.398,194.52,4106.25,58.0,40.0,22.0,13.51,1.333,15.4,8.137,2.8,208.03,3.938
2011-03-29,22.148,29.797,7.649,,19.245,193.364,4160.0,52.0,32.958,13.0,15.603,1.033,16.3,9.654,2.8,208.966,4.024
2011-03-30,26.94,40.008,13.069,,26.296,193.871,4195.833,64.0,48.167,24.0,19.14,1.469,18.4,11.542,5.4,213.011,4.625
2011-03-31,12.278,14.806,2.528,,24.445,185.801,4030.435,92.0,60.792,42.0,12.246,0.305,17.2,11.129,4.9,198.047,3.286
2011-04-01,24.917,34.003,9.085,,18.412,193.587,4219.13,69.0,42.583,17.0,14.437,1.022,15.6,8.854,0.9,208.024,4.042
2011-04-02,19.336,27.319,7.983,,26.787,193.139,4175.833,71.0,46.583,24.0,12.93,1.632,17.5,9.675,3.7,206.069,4.208
2011-04-03,9.44,11.486,2.046,,14.227,190.333,4061.667,51.0,35.583,24.0,7.444,0.43,10.2,6.75,4.1,197.778,2.708
2011-04-04,11.256,17.02,5.764,,11.296,191.347,4040.417,45.0,29.417,16.0,6.153,0.983,11.6,6.3,2.8,197.5,2.552
2011-04-05,24.067,36.261,12.194,,15.593,194.18,4192.083,51.0,28.542,12.0,12.208,1.306,17.0,8.733,-0.1,206.389,3.875
2011-04-06,26.17,36.935,10.766,,21.551,192.861,4206.667,53.0,28.583,10.0,13.61,1.515,19.6,12.021,1.9,206.472,3.812
2011-04-07,32.019,45.235,13.216,,30.03,195.007,4257.5,60.0,43.083,20.0,20.52,3.573,19.3,12.738,6.4,215.527,4.562
2011-04-08,24.814,35.118,10.304,,25.877,192.639,4096.25,82.0,54.625,31.0,18.058,1.333,18.9,13.946,6.7,210.697,3.791
2011-04-09,15.881,22.493,6.612,,16.731,191.722,4119.167,100.0,90.083,64.0,12.111,0.139,12.4,10.979,9.7,203.833,3.792
2011-04-10,10.259,12.867,2.608,,20.158,190.459,4081.667,94.0,65.542,43.0,9.917,0.293,16.3,11.912,8.4,200.375,3.646
2011-04-11,16.188,23.905,7.717,,26.911,190.875,4049.583,91.0,67.583,39.0,11.167,0.847,18.3,10.517,6.4,202.042,3.843
2011-04-12,12.228,17.252,5.024,,17.185,190.083,4000.0,49.0,24.708,13.0,8.139,0.611,13.3,8.975,6.0,198.222,2.976
2011-04-13,27.708,40.476,12.768,,25.986,192.871,4163.333,62.0,35.125,11.0,15.176,1.542,21.4,12.367,2.3,208.046,4.375
2011-04-14,26.507,35.224,8.718,,31.278,192.193,4200.87,45.0,27.417,12.0,16.669,1.859,22.8,15.471,6.5,208.862,4.333
2011-04-15,27.46,36.405,8.944,,36.912,192.55,4257.917,55.0,42.333,15.0,17.737,2.676,24.2,16.796,9.8,210.288,4.375
2011-04-16,14.823,21.264,6.441,,23.704,190.07,4188.75,77.0,44.625,20.0,13.459,1.028,23.9,15.812,8.8,203.528,3.396
2011-04-17,9.184,11.649,2.464,,15.662,190.694,4127.083,60.0,35.75,15.0,10.403,0.67,18.1,11.596,6.2,201.097,2.688
2011-04-18,13.953,20.516,6.563,,18.977,189.125,4035.833,71.0,57.917,47.0,9.514,0.944,15.1,11.967,8.8,198.639,3.063
2011-04-19,13.173,18.256,5.084,,10.764,188.764,4003.75,97.0,88.125,77.0,8.25,0.111,10.1,6.729,3.6,197.014,2.598
2011-04-20,15.988,25.667,9.678,,7.991,191.609,4091.667,86.0,66.708,37.0,9.016,0.417,14.0,7.575,3.6,200.625,3.042
2011-04-21,16.254,26.412,10.158,,19.161,192.523,4081.304,93.0,68.417,59.0,9.318,0.604,12.3,8.958,5.8,201.841,3.416
2011-04-22,20.64,30.385,9.745,,33.426,192.363,4158.75,98.0,83.5,65.0,13.826,0.758,15.6,12.438,8.7,206.189,4.312
2011-04-23,12.753,16.923,4.17,,17.653,187.25,4087.083,100.0,97.708,95.0,11.236,0.25,15.6,13.983,11.2,198.486,2.77
2011-04-24,7.964,9.786,1.822,,11.157,187.722,3995.417,98.0,58.292,16.0,8.069,0.292,20.3,13.117,8.7,195.792,2.812
2011-04-25,17.317,26.657,9.34,,16.864,191.397,4176.667,89.0,57.208,20.0,11.03,0.588,16.8,11.196,5.8,202.427,3.739
2011-04-26,22.114,30.654,8.54,,18.848,191.236,4206.25,76.0,49.667,21.0,12.792,1.417,17.2,11.725,4.9,204.028,3.911
2011-04-27,18.298,26.065,7.768,,41.014,189.986,4200.417,87.0,64.958,40.0,13.625,1.25,24.2,17.104,9.7,203.611,3.666
2011-04-28,11.74,16.884,5.143,,16.259,186.812,4019.565,100.0,56.458,27.0,8.75,0.596,23.4,16.733,10.8,195.562,3.084
2011-04-29,11.195,15.277,4.082,,14.255,191.219,4160.417,83.0,49.125,27.0,7.424,0.452,18.4,12.712,8.6,198.643,3.23
2011-04-30,20.989,26.094,5.105,,28.319,196.778,4418.333,89.0,62.042,41.0,13.75,1.292,19.5,14.638,8.6,210.528,4.646
2011-05-01,14.012,17.298,3.286,,28.056,192.528,4278.75,90.0,69.542,36.0,12.722,0.209,21.2,16.454,13.3,205.25,3.812
2011-05-02,13.244,17.706,4.462,,70.936,191.421,4008.75,93.0,36.125,17.0,8.698,0.339,22.9,17.812,12.9,200.119,3.813
2011-05-03,12.474,15.833,3.359,,45.324,193.93,4200.417,97.0,62.417,28.0,8.889,0.25,18.4,13.408,8.9,202.819,3.634
2011-05-04,10.143,12.405,2.262,,27.852,193.264,4230.0,99.0,60.875,13.0,9.166,0.208,23.2,16.208,11.3,202.431,3.396
2011-05-05,10.002,12.544,2.543,,20.565,193.121,4069.565,64.0,56.333,49.0,7.27,0.154,14.7,11.912,10.0,200.391,2.938
2011-05-06,13.166,19.107,5.942,,22.208,191.563,4023.333,85.0,64.375,46.0,11.636,0.286,17.6,13.762,9.7,203.2,3.312
2011-05-07,17.482,23.309,5.827,,26.051,191.181,4064.167,98.0,92.667,84.0,14.125,0.042,16.1,14.854,14.0,205.306,3.792
2011-05-08,11.077,14.107,3.03,,24.81,191.972,4070.833,100.0,55.25,16.0,12.042,0.613,26.6,18.8,12.4,204.014,3.354
2011-05-09,19.102,25.124,6.022,,23.004,192.957,4093.333,82.0,44.667,23.0,12.799,1.347,23.9,17.888,11.6,205.756,4.037
2011-05-10,23.67,32.851,9.181,,45.772,193.392,4131.818,97.0,80.208,31.0,29.961,0.674,24.7,18.6,14.7,223.353,4.782
2011-05-11,18.382,26.297,7.915,,19.98,191.323,3980.0,100.0,91.0,77.0,13.317,0.319,14.7,13.729,12.7,204.64,4.307
2011-05-12,18.148,28.228,10.079,,14.596,189.991,4025.217,100.0,93.583,75.0,17.114,0.285,17.9,15.321,12.9,207.105,4.095
2011-05-13,18.025,29.732,11.707,,33.488,189.486,4091.667,100.0,66.083,25.0,15.847,0.44,25.2,19.204,14.7,205.333,3.812
2011-05-14,14.851,19.821,4.97,,45.018,191.806,4127.5,92.0,43.75,22.0,13.792,0.694,23.8,18.283,12.6,205.597,3.542
2011-05-15,12.268,14.548,2.28,,21.329,193.5,4210.417,51.0,30.208,13.0,11.069,1.18,25.9,19.217,12.3,204.57,3.166
2011-05-16,21.117,28.127,7.01,,32.769,194.82,4296.25,73.0,47.875,25.0,13.278,1.944,23.3,17.921,12.6,208.097,3.718
2011-05-17,19.458,27.035,7.577,,38.745,195.042,4199.583,90.0,70.417,33.0,14.806,0.75,21.7,16.758,14.0,209.847,3.854
2011-05-18,18.488,25.696,7.208,,31.167,195.634,4165.0,93.0,55.958,29.0,14.501,0.958,23.3,17.992,12.8,210.135,3.542
2011-05-19,24.78,31.441,6.66,,37.671,195.226,4150.87,87.0,52.292,27.0,14.576,2.047,26.3,19.783,12.0,209.802,4.208
2011-05-20,24.807,30.524,5.717,,46.916,193.678,4140.833,75.0,49.958,24.0,16.231,2.542,28.4,21.962,15.6,209.909,4.417
2011-05-21,17.441,21.857,4.417,,52.986,189.083,4055.833,92.0,65.0,33.0,14.708,1.792,29.3,22.45,16.8,203.792,3.958
2011-05-22,10.762,13.512,2.75,,37.408,186.764,4032.083,98.0,86.917,65.0,10.139,0.563,23.9,18.208,13.0,196.903,3.25
2011-05-23,15.297,25.025,9.728,,15.347,189.514,3996.667,99.0,75.917,33.0,8.806,0.375,19.6,15.129,13.0,198.319,3.195
2011-05-24,15.629,21.719,6.089,,12.499,188.792,3964.762,98.0,75.708,48.0,8.968,0.153,18.1,14.233,11.5,197.76,2.979
2011-05-25,21.618,29.473,7.856,,25.963,194.525,4042.5,92.0,61.25,33.0,19.417,0.944,24.4,18.221,12.4,213.942,3.646
2011-05-26,15.683,23.509,7.826,,25.889,192.696,4020.435,93.0,74.792,51.0,13.49,0.603,20.3,16.604,13.2,206.187,3.042
2011-05-27,15.557,21.511,5.955,,23.222,190.807,4016.667,99.0,78.375,50.0,14.411,0.368,19.9,17.388,15.6,205.219,3.125
2011-05-28,13.703,20.413,6.71,,16.736,189.222,3990.0,100.0,96.875,82.0,14.486,0.083,20.2,17.375,15.2,203.708,3.604
2011-05-29,8.369,11.786,3.417,,9.653,188.458,3936.667,100.0,99.917,98.0,11.361,0.0,18.7,17.3,15.4,199.819,2.771
2011-05-30,7.341,10.987,3.646,,7.204,183.82,3812.917,99.0,71.625,48.0,8.083,0.0,19.1,16.179,14.2,191.903,1.866
2011-05-31,10.62,17.77,7.149,,15.416,187.222,3902.5,66.0,55.917,38.0,8.792,0.097,18.3,14.162,10.7,196.014,2.157
2011-06-01,12.292,21.56,9.268,,31.352,188.274,3968.75,89.0,62.625,51.0,8.203,0.25,15.6,12.625,10.2,196.477,2.73
2011-06-02,23.72,38.073,14.354,,32.403,191.817,4143.913,100.0,96.833,89.0,17.427,0.225,15.1,13.625,11.6,209.244,4.646
2011-06-03,19.569,28.48,8.91,,28.398,192.808,4054.583,100.0,73.0,42.0,14.013,0.638,24.5,19.383,14.2,206.821,4.104
2011-06-04,17.198,22.672,5.474,,45.611,194.097,4150.0,96.0,69.708,33.0,14.972,0.944,27.0,21.379,16.3,209.07,4.188
2011-06-05,12.238,14.345,2.107,,58.134,193.139,4003.333,100.0,79.0,46.0,11.375,1.081,26.2,20.971,17.3,204.514,3.896
2011-06-06,15.569,21.187,5.618,,42.588,191.264,4002.083,100.0,61.167,27.0,10.111,0.611,28.4,22.383,16.4,201.375,3.915
2011-06-07,19.368,25.925,6.557,,41.793,196.059,4122.381,83.0,62.083,42.0,16.018,2.663,25.9,20.958,17.5,212.078,4.044
2011-06-08,20.744,30.746,10.002,,25.172,194.604,3975.0,89.0,72.833,57.0,14.822,0.791,23.0,19.417,15.8,209.425,3.784
2011-06-09,19.642,28.066,8.424,,29.216,199.607,4060.87,95.0,70.0,44.0,17.286,0.623,25.1,20.833,16.2,216.893,3.506
2011-06-10,21.854,29.94,8.086,,48.457,197.793,4018.333,95.0,80.708,65.0,19.508,1.086,24.7,21.738,18.8,217.3,4.084
2011-06-11,14.499,20.188,5.688,,40.551,193.305,3937.083,100.0,83.125,57.0,15.555,0.417,25.2,22.167,19.8,208.861,4.042
2011-06-12,10.792,13.214,2.423,,38.864,198.597,3987.083,93.0,68.708,40.0,13.834,0.432,26.5,22.704,20.0,212.431,3.562
2011-06-13,14.226,19.959,5.733,,36.231,196.847,3945.833,100.0,80.417,56.0,13.611,0.445,25.3,21.358,17.4,210.458,3.508
2011-06-14,13.703,20.17,6.467,,20.569,191.972,3929.583,100.0,78.125,52.0,13.306,0.264,25.2,20.521,17.7,205.278,3.612
2011-06-15,14.505,21.824,7.318,,15.523,198.037,3948.333,83.0,62.0,44.0,11.287,0.444,22.6,19.379,16.1,209.323,3.0
2011-06-16,16.771,27.496,10.725,,23.495,203.34,3986.957,99.0,86.417,67.0,12.676,0.454,22.8,18.892,15.9,216.015,3.396
2011-06-17,13.779,21.524,7.746,,15.079,189.058,3828.75,100.0,91.0,73.0,10.729,0.333,20.9,18.338,16.6,199.787,3.02
2011-06-18,15.085,20.631,5.546,,29.051,193.972,3957.083,100.0,96.875,86.0,13.778,0.18,19.6,17.967,16.8,207.75,3.75
2011-06-19,10.155,13.065,2.911,,24.532,202.667,3987.5,100.0,81.375,58.0,13.055,0.516,25.4,20.758,16.2,215.722,3.521
2011-06-20,19.003,23.655,4.652,,47.616,198.75,4129.583,100.0,79.333,52.0,18.445,0.611,28.2,23.617,19.2,217.195,4.06
2011-06-21,24.757,35.259,10.502,,41.618,197.347,4202.917,100.0,88.25,50.0,23.75,0.889,29.6,23.462,21.4,221.097,4.462
2011-06-22,19.524,26.293,6.77,,37.103,205.113,4122.917,100.0,65.625,28.0,21.163,0.947,33.5,26.521,19.4,226.276,3.91
2011-06-23,24.242,30.528,6.285,,64.417,209.257,4269.13,93.0,67.375,44.0,27.598,0.884,32.6,27.638,23.8,236.855,4.126
2011-06-24,17.25,25.238,7.988,,32.021,187.806,4052.5,90.0,58.208,25.0,22.18,0.997,37.3,29.688,24.1,209.986,2.688
2011-06-25,11.154,17.469,6.315,,16.81,191.042,4042.5,96.0,87.0,75.0,14.32,0.472,26.4,21.533,18.5,205.361,3.542
2011-06-26,7.935,12.506,4.571,,14.949,194.805,4039.583,100.0,94.917,90.0,12.417,0.028,20.8,19.588,18.3,207.222,3.417
2011-06-27,13.033,21.487,8.454,,27.657,195.945,4129.583,98.0,91.5,81.0,15.583,0.25,23.0,21.433,19.8,211.528,3.446
2011-06-28,14.447,22.316,7.868,,42.704,200.625,4172.917,99.0,77.5,58.0,19.32,0.666,31.0,26.392,21.2,219.944,3.788
2011-06-29,15.197,22.827,7.631,,29.634,196.624,4272.917,95.0,76.375,44.0,18.459,1.347,33.6,27.621,24.7,215.083,3.604
2011-06-30,19.642,29.921,10.279,,36.819,214.767,4296.087,98.0,85.292,44.0,23.141,0.557,32.2,25.838,23.2,237.909,4.416
2011-07-01,16.926,24.433,7.507,,38.903,207.597,4175.0,100.0,77.542,36.0,19.875,0.691,33.1,26.279,23.1,227.472,3.75
2011-07-02,11.047,16.529,5.482,,34.949,193.694,4032.083,96.0,79.792,61.0,14.931,0.389,29.8,25.721,22.7,208.625,3.166
2011-07-03,9.5,13.161,3.661,,32.417,190.778,3957.917,95.0,79.958,62.0,15.334,0.722,29.7,26.308,23.3,206.111,2.938
2011-07-04,14.056,17.654,3.599,,52.949,188.18,3969.167,97.0,72.458,36.0,18.847,0.917,35.6,28.417,24.2,207.028,3.09
2011-07-05,15.631,22.946,7.314,,20.81,194.819,4025.0,93.0,77.625,48.0,16.667,0.653,31.3,25.821,23.1,211.486,3.318
2011-07-06,14.651,20.95,6.298,,21.034,203.82,3972.273,94.0,59.333,39.0,15.448,0.828,31.2,25.929,21.6,219.268,3.125
