date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean
2011-06-27,3.826,7.348,3.522,29.583,
2011-06-28,7.208,10.792,3.583,33.708,
2011-06-29,11.083,14.375,3.292,32.333,
2011-06-30,15.174,20.435,5.261,43.542,
2011-07-01,10.75,14.417,3.667,27.958,
2011-07-02,9.458,12.208,2.75,28.458,
2011-07-03,9.125,11.0,1.875,46.167,
2011-07-04,7.261,10.391,3.13,43.167,
2011-07-05,6.375,7.542,1.167,22.333,
2011-07-06,10.958,13.167,2.208,32.875,
2011-07-07,11.087,17.0,5.913,21.455,
2011-07-08,9.542,18.167,8.625,33.25,
2011-07-09,10.333,14.458,4.125,31.208,
2011-07-10,4.5,6.583,2.083,19.958,
2011-07-11,5.391,11.261,5.87,13.125,
2011-07-12,6.625,12.042,5.417,14.917,
2011-07-13,5.042,8.458,3.417,14.708,
2011-07-14,6.833,10.375,3.542,14.167,
2011-07-15,10.5,14.792,4.292,23.833,
2011-07-16,5.542,7.583,2.042,17.167,
2011-07-17,6.042,8.458,2.417,22.208,
2011-07-18,4.174,7.609,3.435,33.5,
2011-07-19,3.0,6.542,3.542,46.958,
2011-07-20,5.417,7.875,2.458,24.0,
2011-07-21,9.083,13.208,4.125,22.792,
2011-07-22,8.478,10.826,2.348,24.25,
2011-07-23,10.125,12.083,1.958,39.333,
2011-07-24,9.375,11.083,1.708,45.208,
2011-07-25,7.391,11.783,4.391,23.958,
2011-07-26,6.917,9.542,2.625,22.25,
2011-07-27,6.25,10.167,3.917,18.958,
2011-07-28,7.667,11.542,3.875,22.667,
2011-07-29,5.913,9.217,3.304,20.083,
2011-07-30,4.625,6.125,1.5,26.917,
2011-07-31,4.833,6.042,1.208,25.542,
2011-08-01,8.174,11.0,2.826,25.417,
2011-08-02,9.25,11.667,2.417,32.042,
2011-08-03,8.542,13.042,4.5,30.583,
2011-08-04,10.13,13.957,3.826,20.957,
2011-08-05,5.958,9.292,3.333,12.917,
2011-08-06,5.667,9.125,3.458,15.625,
2011-08-07,9.333,11.542,2.208,32.292,
2011-08-08,9.348,11.826,2.478,28.125,
2011-08-09,11.833,14.292,2.458,42.958,
2011-08-10,8.583,10.458,1.875,50.125,
2011-08-11,4.792,5.792,1.0,25.708,
2011-08-12,6.458,7.5,1.042,34.875,
2011-08-13,5.375,6.583,1.208,30.708,
2011-08-14,5.5,6.75,1.25,63.167,
2011-08-15,7.348,8.652,1.304,42.875,
2011-08-16,9.667,10.75,1.083,41.375,
2011-08-17,11.25,14.417,3.167,50.625,
2011-08-18,9.0,11.292,2.292,42.667,
2011-08-19,9.348,10.261,0.913,22.87,
2011-08-20,9.417,10.292,0.875,20.958,
2011-08-21,8.25,8.833,0.583,23.958,
2011-08-22,10.217,12.826,2.609,30.708,
2011-08-23,8.917,13.5,4.583,38.667,
2011-08-24,7.292,12.083,4.792,21.042,
2011-08-25,6.167,9.917,3.75,10.833,
2011-08-26,10.25,15.75,5.5,22.167,
2011-08-27,5.583,7.5,1.917,27.792,
2011-08-28,6.292,7.208,0.917,38.042,
2011-08-29,8.955,10.318,1.364,37.083,
2011-08-30,10.167,11.542,1.375,39.625,
2011-08-31,10.833,14.25,3.417,21.458,
2011-09-01,5.25,9.5,4.25,18.875,
2011-09-02,4.25,6.875,2.625,38.958,
2011-09-03,1.583,3.25,1.667,67.5,
2011-09-04,2.708,3.833,1.125,44.667,
2011-09-05,7.409,8.636,1.227,18.87,
2011-09-06,6.167,6.375,0.208,16.417,
2011-09-07,13.5,15.875,2.375,21.542,
2011-09-08,14.667,18.542,3.875,32.5,
2011-09-09,13.0,14.542,1.542,35.542,
2011-09-10,9.167,13.208,4.042,33.958,
2011-09-11,4.417,6.208,1.792,20.917,
2011-09-12,7.652,12.261,4.609,23.792,
2011-09-13,10.833,14.625,3.792,27.5,
2011-09-14,11.25,15.5,4.25,30.667,
2011-09-15,8.458,14.542,6.083,24.261,
2011-09-16,6.542,11.375,4.833,21.833,
2011-09-17,3.708,6.958,3.25,27.958,
2011-09-18,3.875,5.5,1.625,22.458,
2011-09-19,9.391,14.043,4.652,31.042,
2011-09-20,7.5,12.708,5.208,31.25,
2011-09-21,3.583,4.583,1.0,24.792,
2011-09-22,5.909,6.727,0.818,14.042,
2011-09-23,5.652,6.261,0.609,14.125,
2011-09-24,11.917,13.583,1.667,20.333,
2011-09-25,12.208,13.625,1.417,22.333,
2011-09-26,22.25,28.042,5.792,33.583,
2011-09-27,20.458,31.083,10.625,40.125,
2011-09-28,16.957,20.957,4.0,29.917,
2011-09-29,14.083,16.292,2.208,35.208,
2011-09-30,15.458,17.25,1.792,38.25,
2011-10-01,4.125,4.542,0.417,13.792,
2011-10-02,7.417,8.708,1.292,15.125,
2011-10-03,5.565,6.652,1.087,10.083,
2011-10-04,11.75,13.625,1.875,15.458,
2011-10-05,24.25,28.375,4.125,33.125,
2011-10-06,10.609,11.826,1.217,16.909,
2011-10-07,6.083,6.5,0.417,32.917,
2011-10-08,16.125,18.167,2.042,35.875,
2011-10-09,13.75,16.0,2.25,44.833,
2011-10-10,14.913,17.087,2.174,48.292,
2011-10-11,23.458,28.375,4.917,59.708,
2011-10-12,22.833,30.875,8.042,64.75,
2011-10-13,40.625,59.417,18.792,76.25,
2011-10-14,17.5,35.591,18.091,62.087,
2011-10-15,8.125,9.875,1.75,17.667,
2011-10-16,6.167,7.375,1.208,25.5,
2011-10-17,9.652,11.087,1.435,29.958,
2011-10-18,9.583,11.0,1.417,16.0,
2011-10-19,18.25,23.333,5.083,25.458,
2011-10-20,22.957,28.348,5.391,43.083,
2011-10-21,21.708,27.5,5.792,50.25,
2011-10-22,9.0,11.042,2.042,20.542,
2011-10-23,5.583,6.625,1.042,11.125,
2011-10-24,13.261,16.13,2.87,13.5,
2011-10-25,11.25,13.583,2.333,22.708,
2011-10-26,5.375,5.708,0.333,8.792,
2011-10-27,16.292,19.792,3.5,21.958,
2011-10-28,25.917,31.125,5.208,30.364,
2011-10-29,22.708,29.75,7.042,,
2011-10-30,18.958,21.042,2.083,,
2011-10-31,9.636,11.045,1.409,8.583,
2011-11-01,19.333,23.5,4.167,17.042,
2011-11-02,29.708,38.417,8.708,36.625,
2011-11-03,24.667,44.583,19.917,51.0,
2011-11-04,22.682,36.227,13.545,55.136,
2011-11-05,28.75,35.125,6.375,78.333,
2011-11-06,11.833,14.292,2.458,28.792,
2011-11-07,5.0,5.565,0.565,5.0,
2011-11-08,7.292,7.875,0.583,7.625,
2011-11-09,12.667,14.583,1.917,12.0,
2011-11-10,25.458,31.667,6.208,24.25,
2011-11-11,26.875,33.542,6.667,23.875,
