date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CO_mean
2011-08-14,5.698,7.01,1.312,0.291,10.812,,2.542
2011-08-15,7.219,8.573,1.354,0.347,23.51,,3.208
2011-08-16,10.844,15.094,4.25,0.625,26.136,,3.792
2011-08-17,9.5,15.24,5.74,0.125,26.771,,4.0
2011-08-18,14.154,19.796,5.642,0.702,25.042,,5.208
2011-08-19,14.656,20.094,5.438,1.972,21.083,,6.208
2011-08-20,16.938,21.323,4.386,2.028,17.834,,5.0
2011-08-21,14.135,17.208,3.073,0.764,12.688,,4.958
2011-08-22,21.708,28.198,6.49,1.667,19.427,,6.208
2011-08-23,18.979,26.848,7.868,0.836,20.894,,5.042
2011-08-24,13.738,24.469,10.731,2.167,24.104,,5.333
2011-08-25,12.033,19.624,7.591,3.081,26.24,,2.652
2011-08-26,12.636,16.989,4.354,3.417,15.552,,2.333
2011-08-27,11.115,16.906,5.792,2.708,19.125,,2.208
2011-08-28,11.354,13.719,2.364,3.18,25.604,,2.417
2011-08-29,12.688,16.896,4.208,3.458,27.802,,3.0
2011-08-30,15.135,22.133,6.997,3.039,33.181,,3.625
2011-08-31,15.408,18.299,2.891,2.784,33.885,,3.875
2011-09-01,15.875,22.667,6.792,2.611,29.406,,3.667
2011-09-02,7.416,12.34,4.924,0.746,11.906,,3.417
2011-09-03,3.323,4.886,1.562,0.028,10.406,,3.125
2011-09-04,4.562,5.656,1.094,0.472,18.437,,3.375
2011-09-05,9.948,13.094,3.146,0.694,11.042,,4.167
2011-09-06,16.99,23.083,6.094,2.125,12.052,,6.083
2011-09-07,22.156,27.852,5.696,2.209,17.167,,7.208
2011-09-08,16.48,21.022,4.542,3.548,32.042,,2.783
2011-09-09,13.302,17.479,4.177,2.694,32.188,,2.458
2011-09-10,9.583,14.26,4.677,3.306,20.011,,2.042
2011-09-11,7.24,11.198,3.958,2.653,12.188,,2.0
2011-09-12,9.979,13.979,4.0,2.75,14.073,,2.542
2011-09-13,10.969,14.573,3.604,2.68,14.823,,3.083
2011-09-14,13.378,19.26,5.882,2.926,16.04,,3.167
2011-09-15,11.188,14.812,3.625,3.028,16.594,,3.542
2011-09-16,10.094,14.489,4.396,2.153,15.552,,4.333
2011-09-17,9.969,14.375,4.406,2.43,11.146,,4.25
2011-09-18,8.122,11.211,3.09,1.874,16.118,,3.917
2011-09-19,6.354,7.302,0.948,0.889,5.208,,5.5
2011-09-20,8.177,9.406,1.229,0.597,3.167,,6.25
2011-09-21,8.888,12.697,3.809,0.542,6.573,,6.958
2011-09-22,12.666,17.834,5.168,0.691,6.802,,2.609
2011-09-23,18.177,23.875,5.698,1.778,11.958,,3.083
2011-09-24,15.729,19.677,3.948,1.875,13.688,,2.292
2011-09-25,15.927,19.344,3.417,3.472,15.698,,2.375
2011-09-26,18.292,22.302,4.011,3.5,20.406,,3.083
2011-09-27,15.552,19.948,4.396,2.25,20.646,,2.417
2011-09-28,17.844,21.302,3.458,2.861,23.531,,2.458
2011-09-29,16.684,20.801,4.118,3.079,26.029,,2.042
2011-09-30,14.302,20.198,5.896,1.805,18.51,,3.5
2011-10-01,14.854,18.219,3.364,1.389,12.208,,3.167
2011-10-02,11.25,12.708,1.458,1.347,12.562,,4.458
2011-10-03,11.729,14.75,3.021,1.111,8.208,,3.5
2011-10-04,11.01,13.562,2.552,2.0,9.865,,3.5
2011-10-05,13.875,15.719,1.844,1.139,11.042,,4.25
2011-10-06,22.417,30.65,8.232,2.583,22.604,,4.391
2011-10-07,18.448,23.125,4.677,2.347,33.302,,4.083
2011-10-08,18.323,23.656,5.333,2.389,21.896,,3.917
2011-10-09,14.5,17.323,2.823,3.736,39.656,,3.708
2011-10-10,16.573,22.479,5.906,2.889,49.479,,4.167
2011-10-11,26.166,42.531,16.365,4.625,48.198,,5.625
2011-10-12,22.185,33.006,10.821,2.134,48.979,,6.042
2011-10-13,19.528,24.306,4.778,3.986,46.666,,5.125
2011-10-14,13.592,17.676,4.084,2.125,29.281,,5.208
2011-10-15,16.177,23.656,7.479,1.667,16.49,,7.25
2011-10-16,10.708,11.584,0.875,3.625,28.084,,7.792
2011-10-17,17.781,24.084,6.302,2.833,20.135,,7.792
2011-10-18,18.507,28.065,9.558,1.583,13.946,,4.217
2011-10-19,18.167,26.021,7.854,2.097,15.625,,2.292
2011-10-20,20.412,27.759,7.348,3.304,22.177,,2.565
2011-10-21,19.616,22.846,3.229,1.622,20.254,,3.667
2011-10-22,9.396,12.188,2.792,0.93,8.188,,3.5
2011-10-23,10.688,12.99,2.302,1.153,7.802,,2.833
2011-10-24,21.01,42.042,21.032,2.514,15.208,,4.917
2011-10-25,12.573,19.698,7.125,1.694,10.906,,5.375
2011-10-26,15.012,23.266,8.254,1.407,9.114,,5.333
2011-10-27,15.021,19.364,4.344,2.361,12.24,,5.333
2011-10-28,24.688,37.542,12.854,2.181,21.729,,5.125
2011-10-29,23.094,32.812,9.719,3.028,31.364,,5.583
2011-10-30,16.292,19.042,2.75,1.708,17.76,,4.167
2011-10-31,12.948,19.271,6.323,1.347,11.958,,4.333
2011-11-01,15.552,25.042,9.49,2.264,13.729,,4.042
2011-11-02,14.604,17.677,3.073,3.153,16.604,,3.571
2011-11-03,21.453,29.93,8.477,3.998,23.542,,2.957
2011-11-04,19.296,26.299,7.003,4.07,28.473,,1.958
2011-11-05,14.937,20.688,5.75,1.931,17.25,,0.875
2011-11-06,14.979,18.875,3.896,1.153,8.5,,0.75
2011-11-07,15.312,22.083,6.771,0.931,12.031,,0.917
