date,PM25_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-07-13,,5.125,6.917,1.792,0.0,25.5
2011-07-14,,5.5,6.875,1.375,0.0,21.667
2011-07-15,,3.083,4.583,1.5,0.0,15.739
2011-07-16,,4.542,6.792,2.25,0.0,8.625
2011-07-17,,6.583,8.583,2.0,0.0,9.25
2011-07-18,,5.773,7.5,1.727,0.0,8.042
2011-07-19,,3.417,6.083,2.667,0.083,9.458
2011-07-20,,2.25,3.583,1.333,0.0,8.292
2011-07-21,,3.75,5.625,1.875,0.0,8.958
2011-07-22,,3.792,5.625,1.833,0.0,7.5
2011-07-23,,4.042,5.333,1.292,0.0,7.792
2011-07-24,,3.583,4.958,1.375,0.25,9.792
2011-07-25,,8.5,12.909,4.409,0.087,17.958
2011-07-26,,6.25,11.667,5.417,0.0,22.083
2011-07-27,,6.875,10.208,3.333,0.083,26.875
2011-07-28,,5.917,7.667,1.75,0.083,33.458
2011-07-29,,5.167,6.917,1.75,0.0,37.875
2011-07-30,,3.458,4.792,1.333,0.0,27.75
2011-07-31,,2.75,3.958,1.208,0.0,23.875
2011-08-01,,2.409,3.682,1.273,0.0,24.583
2011-08-02,,2.792,4.25,1.458,0.0,29.208
2011-08-03,,3.167,4.708,1.542,0.0,30.5
2011-08-04,,3.25,4.542,1.292,0.0,25.458
2011-08-05,,4.042,5.542,1.5,0.0,30.708
2011-08-06,,5.708,7.583,1.875,0.0,30.292
2011-08-07,,4.458,5.875,1.417,0.0,34.875
2011-08-08,,3.455,4.818,1.364,0.0,30.875
2011-08-09,,5.917,7.833,1.917,0.0,31.0
2011-08-10,,7.833,11.833,4.0,0.042,33.042
2011-08-11,,5.375,7.292,1.917,0.0,33.792
2011-08-12,,5.958,7.583,1.625,0.0,31.875
2011-08-13,,7.208,9.625,2.417,0.0,27.792
2011-08-14,,6.75,9.292,2.542,0.0,38.167
2011-08-15,,5.727,7.182,1.455,0.0,38.917
2011-08-16,,5.375,6.667,1.292,0.0,15.826
2011-08-17,,4.917,6.25,1.333,0.0,8.625
2011-08-18,,4.292,5.417,1.125,0.0,8.75
2011-08-19,,3.667,4.958,1.292,0.0,8.708
2011-08-20,,3.167,4.292,1.125,0.0,8.667
2011-08-21,,2.333,3.417,1.083,0.0,8.458
2011-08-22,,2.864,4.0,1.136,0.0,8.875
2011-08-23,,5.333,6.583,1.25,0.0,8.0
2011-08-24,,4.458,6.125,1.667,0.0,9.042
2011-08-25,,6.958,8.833,1.875,0.0,8.542
2011-08-26,,6.25,8.375,2.125,0.0,8.625
2011-08-27,,6.542,8.042,1.5,0.0,8.5
2011-08-28,,5.708,9.125,3.417,0.167,9.125
2011-08-29,,4.864,8.864,4.0,0.13,8.333
2011-08-30,,4.083,5.333,1.25,0.0,8.458
2011-08-31,,5.75,7.375,1.625,0.0,9.583
2011-09-01,,5.708,7.75,2.042,0.0,9.417
2011-09-02,,6.042,9.667,3.625,0.0,12.75
2011-09-03,,4.833,6.792,1.958,0.0,15.667
2011-09-04,,2.75,3.917,1.167,0.0,20.167
2011-09-05,,2.364,3.364,1.0,0.0,22.375
2011-09-06,,3.5,4.792,1.292,0.0,21.458
2011-09-07,,8.292,10.167,1.875,0.0,23.5
2011-09-08,,9.875,13.375,3.5,0.0,23.958
2011-09-09,,11.083,15.875,4.792,0.125,31.5
2011-09-10,,4.583,5.917,1.333,0.0,27.667
2011-09-11,,5.083,6.458,1.375,0.125,25.75
2011-09-12,,7.909,11.182,3.273,0.087,29.417
2011-09-13,,6.958,9.375,2.417,0.0,31.792
2011-09-14,,6.0,7.917,1.917,0.0,33.625
2011-09-15,,6.375,8.875,2.5,0.042,31.042
2011-09-16,,8.0,10.25,2.25,0.0,22.174
2011-09-17,,9.208,13.583,4.375,0.083,9.083
2011-09-18,,3.583,4.75,1.167,0.0,7.75
2011-09-19,,4.273,5.864,1.591,0.0,8.917
2011-09-20,,6.917,12.167,5.25,0.0,8.125
2011-09-21,,9.875,17.375,7.5,0.042,8.542
2011-09-22,,5.25,6.708,1.458,0.042,7.792
2011-09-23,,5.083,6.542,1.458,0.0,8.5
2011-09-24,,6.458,8.25,1.792,0.0,8.417
2011-09-25,,5.792,8.0,2.208,0.0,8.583
2011-09-26,,9.136,16.364,7.227,0.0,9.0
2011-09-27,,9.5,14.708,5.208,0.0,7.833
2011-09-28,,8.458,13.667,5.208,0.042,9.292
2011-09-29,,5.25,6.625,1.375,0.0,11.875
2011-09-30,,7.958,10.083,2.125,0.0,23.042
2011-10-01,,3.083,4.5,1.417,0.0,20.667
2011-10-02,,4.292,6.333,2.042,0.0,23.958
2011-10-03,,3.5,4.682,1.182,0.0,21.458
2011-10-04,,12.917,20.875,7.958,0.25,25.583
2011-10-05,,13.542,30.0,16.458,0.0,33.5
2011-10-06,,15.667,25.125,9.458,0.0,33.208
2011-10-07,,12.583,15.0,2.417,0.0,27.167
2011-10-08,,9.75,12.083,2.333,0.042,27.333
2011-10-09,,10.208,13.708,3.5,0.083,37.542
2011-10-10,,13.375,18.5,5.125,0.217,35.583
2011-10-11,,9.792,12.25,2.458,0.0,31.042
2011-10-12,,9.792,15.125,5.333,0.083,27.792
2011-10-13,,12.792,18.083,5.292,0.0,35.708
2011-10-14,,17.875,38.333,20.458,0.304,24.455
2011-10-15,,13.792,18.25,4.458,0.042,10.458
2011-10-16,,5.833,7.333,1.5,0.125,12.542
2011-10-17,,6.167,7.792,1.625,0.043,10.417
2011-10-18,,3.792,4.625,0.833,0.208,10.792
2011-10-19,,11.167,14.292,3.125,0.208,11.625
2011-10-20,,13.458,22.792,9.333,0.25,16.292
2011-10-21,,11.792,20.083,8.292,0.167,29.125
2011-10-22,,16.833,26.625,9.792,0.0,39.708
2011-10-23,,10.25,12.75,2.5,0.0,27.625
2011-10-24,,9.458,14.167,4.708,0.043,21.042
2011-10-25,,12.125,14.333,2.208,0.0,22.833
2011-10-26,,6.208,8.458,2.25,0.083,24.125
2011-10-27,,8.125,10.667,2.542,0.083,24.708
2011-10-28,,10.958,23.042,12.083,0.375,28.167
2011-10-29,,13.667,25.75,12.083,0.333,32.208
2011-10-30,,11.333,14.917,3.583,0.542,36.042
2011-10-31,,14.542,27.667,13.125,0.261,39.208
2011-11-01,,17.042,34.0,16.958,0.5,35.167
2011-11-02,,18.875,51.458,32.583,0.333,49.75
2011-11-03,,10.75,13.583,2.833,0.208,36.917
2011-11-04,,14.167,29.333,15.167,0.208,29.625
2011-11-05,,18.625,36.0,17.375,1.292,39.583
2011-11-06,,8.375,10.958,2.583,0.375,27.458
2011-11-07,,11.833,15.0,3.167,0.478,31.083
2011-11-08,,11.75,16.792,5.042,0.292,26.667
2011-11-09,,16.167,32.583,16.417,0.833,27.625
2011-11-10,,17.875,47.833,29.958,0.625,32.625
2011-11-11,,21.417,54.708,33.292,1.417,33.417
2011-11-12,,19.25,39.042,19.792,1.167,30.5
2011-11-13,,11.167,18.417,7.25,0.917,33.792
2011-11-14,,5.042,5.958,0.917,0.13,33.25
2011-11-15,,6.583,8.75,2.167,0.125,21.391
2011-11-16,,7.542,9.667,2.125,0.208,8.583
2011-11-17,,7.042,9.917,2.875,0.042,8.417
2011-11-18,,21.083,54.417,33.333,2.167,8.708
2011-11-19,,21.792,53.25,31.458,0.75,8.667
2011-11-20,,6.833,11.667,4.833,0.042,8.375
2011-11-21,,5.682,7.273,1.591,0.478,9.167
2011-11-22,,8.208,11.833,3.625,0.667,17.583
2011-11-23,,13.208,20.5,7.292,1.042,26.958
2011-11-24,,16.5,27.875,11.375,0.208,28.375
2011-11-25,,8.708,11.417,2.708,0.458,22.5
2011-11-26,,8.458,10.792,2.333,0.375,23.625
2011-11-27,,18.958,27.625,8.667,0.75,28.917
2011-11-28,,15.091,34.727,19.636,1.348,32.375
2011-11-29,,10.958,24.458,13.5,0.833,33.833
2011-11-30,,4.125,5.708,1.583,0.167,24.5
2011-12-01,,7.292,11.208,3.917,1.25,24.458
2011-12-02,,17.0,38.083,21.083,1.667,26.542
2011-12-03,,21.167,38.25,17.083,0.5,26.125
2011-12-04,,13.583,20.625,7.042,0.083,23.5
2011-12-05,,10.455,14.364,3.909,0.652,20.0
2011-12-06,,17.875,33.083,15.208,1.333,28.042
2011-12-07,,18.25,35.708,17.458,2.083,28.833
2011-12-08,,14.75,21.375,6.625,1.083,23.208
2011-12-09,,23.0,45.125,22.125,1.458,30.125
2011-12-10,,31.333,67.208,35.875,2.5,32.833
2011-12-11,,16.125,31.417,15.292,1.042,30.542
2011-12-12,,12.364,18.864,6.5,1.043,25.708
2011-12-13,,12.333,18.375,6.042,1.083,23.542
2011-12-14,,31.25,64.25,33.0,3.5,36.542
2011-12-15,,19.125,36.917,17.792,1.833,36.792
2011-12-16,,15.292,25.25,9.958,1.0,16.043
2011-12-17,,20.125,36.083,15.958,1.0,9.25
2011-12-18,,16.042,26.792,10.75,0.833,8.208
2011-12-19,,27.045,60.364,33.318,2.304,8.375
2011-12-20,,23.125,47.208,24.083,1.458,8.375
2011-12-21,,28.708,70.417,41.708,2.375,8.333
2011-12-22,,27.667,70.5,42.833,0.417,11.667
2011-12-23,,27.292,57.667,30.375,0.292,19.417
2011-12-24,,25.333,44.75,19.417,0.917,26.792
2011-12-25,,23.625,38.792,15.167,1.625,26.917
2011-12-26,,14.955,36.5,21.545,1.304,27.375
2011-12-27,,4.292,6.167,1.875,0.583,22.333
2011-12-28,,11.583,17.667,6.083,0.708,21.667
2011-12-29,,32.833,65.708,32.875,3.958,34.833
2011-12-30,,14.042,18.25,4.208,1.5,25.542
2011-12-31,,9.875,12.125,2.25,0.917,21.333
2012-01-01,,8.583,11.458,2.875,1.958,29.583
2012-01-02,,14.542,17.292,2.75,1.667,29.667
2012-01-03,,10.958,14.375,3.417,1.542,30.417
2012-01-04,,20.542,39.875,19.333,1.375,33.083
2012-01-05,,31.167,55.333,24.167,2.167,38.125
2012-01-06,,19.875,31.167,11.292,0.75,34.708
2012-01-07,,28.25,55.875,27.625,1.13,34.25
2012-01-08,,38.042,81.25,43.208,2.042,42.042
2012-01-09,,42.125,95.583,53.458,1.667,47.958
2012-01-10,,42.833,96.125,53.292,1.042,46.583
2012-01-11,,27.292,55.667,28.375,0.667,40.0
2012-01-12,,42.375,92.875,50.5,2.125,35.667
2012-01-13,,18.125,28.125,10.0,1.292,38.417
2012-01-14,,34.708,54.25,19.542,2.261,40.625
2012-01-15,,11.125,14.708,3.583,0.75,31.917
2012-01-16,,35.792,67.083,31.292,1.667,35.833
2012-01-17,,33.792,62.292,28.5,0.417,41.25
2012-01-18,,29.417,49.375,19.958,0.542,21.652
2012-01-19,,15.25,25.375,10.125,0.667,8.708
2012-01-20,,7.25,10.208,2.958,0.875,7.5
2012-01-21,,18.25,28.292,10.042,0.913,11.25
2012-01-22,,35.75,70.208,34.458,0.708,29.458
2012-01-23,,36.667,73.25,36.583,0.917,40.583
2012-01-24,,42.208,79.292,37.083,0.792,52.0
2012-01-25,,24.125,42.583,18.458,0.75,36.958
2012-01-26,,35.167,63.458,28.292,1.958,36.5
2012-01-27,,11.417,14.625,3.208,0.708,29.333
2012-01-28,,30.958,57.792,26.833,0.957,33.75
2012-01-29,,21.417,44.292,22.875,0.875,35.833
2012-01-30,,18.458,29.583,11.125,0.917,26.0
2012-01-31,,39.917,78.0,38.083,1.375,40.458
2012-02-01,,31.958,59.5,27.542,0.833,40.625
2012-02-02,,16.917,26.875,9.958,0.708,58.833
2012-02-03,,4.042,5.125,1.083,0.667,28.875
2012-02-04,,8.708,10.875,2.167,1.261,29.625
2012-02-05,,2.625,3.792,1.167,0.792,30.292
2012-02-06,,21.042,32.75,11.708,1.875,30.167
2012-02-07,,29.625,41.417,11.792,0.125,38.125
2012-02-08,,19.958,38.542,18.583,0.792,32.292
2012-02-09,,7.875,9.667,1.792,0.292,29.75
2012-02-10,,29.042,43.417,14.375,0.625,34.333
2012-02-11,,20.625,29.583,8.958,0.174,33.208
2012-02-12,,29.375,55.667,26.292,0.333,38.75
2012-02-13,,29.042,47.583,18.542,0.25,39.708
2012-02-14,,33.167,53.25,20.083,0.75,42.875
2012-02-15,,26.708,46.875,20.167,0.708,46.792
2012-02-16,,9.917,13.417,3.5,0.958,33.125
2012-02-17,,5.083,6.042,0.958,0.542,28.417
2012-02-18,,24.083,35.042,10.958,0.957,21.783
2012-02-19,,14.909,18.0,3.091,0.333,7.208
2012-02-20,,12.625,15.625,3.0,1.05,7.65
2012-02-21,,23.85,40.5,16.65,1.13,17.714
2012-02-22,,21.765,34.882,13.118,0.609,20.818
2012-02-23,,21.292,29.792,8.5,0.792,7.125
2012-02-24,,10.583,12.292,1.708,0.333,7.583
2012-02-25,,18.682,26.636,7.955,1.565,7.125
2012-02-26,,22.167,30.417,8.25,1.167,11.875
2012-02-27,,28.042,45.5,17.458,1.292,29.125
2012-02-28,,20.042,26.625,6.583,0.833,36.583
2012-02-29,,,,,,
2012-03-01,,21.792,25.833,4.042,0.75,26.375
2012-03-02,,19.25,25.875,6.625,0.292,29.583
2012-03-03,,2.625,3.542,0.917,0.042,26.292
2012-03-04,,23.421,30.158,6.737,1.478,27.083
2012-03-05,,25.917,39.0,13.083,1.333,38.667
2012-03-06,,18.542,25.583,7.042,1.5,38.208
2012-03-07,,24.333,32.75,8.417,1.917,35.208
2012-03-08,,14.708,18.458,3.75,1.208,39.792
2012-03-09,,2.625,3.5,0.875,0.083,24.375
2012-03-10,,5.333,6.667,1.333,0.083,21.875
2012-03-11,,4.136,5.545,1.409,0.043,22.292
2012-03-12,,17.042,21.25,4.208,1.25,28.208
2012-03-13,,14.542,16.875,2.333,0.25,31.917
2012-03-14,,3.667,4.833,1.167,0.208,29.625
2012-03-15,,15.792,19.875,4.083,2.042,29.125
2012-03-16,,7.333,9.083,1.75,0.292,26.5
2012-03-17,,7.417,8.917,1.5,0.875,27.417
2012-03-18,,27.909,34.545,6.636,2.174,47.696
2012-03-19,,14.5,20.125,5.625,0.75,44.25
2012-03-20,,7.958,9.375,1.417,0.292,28.458
2012-03-21,,3.083,4.625,1.542,0.0,24.792
2012-03-22,,10.917,13.083,2.167,0.708,27.208
2012-03-23,,3.417,4.542,1.125,0.0,28.792
2012-03-24,,4.75,5.875,1.125,0.5,27.958
2012-03-25,,8.455,10.364,1.909,0.478,27.833
2012-03-26,,7.083,8.958,1.875,0.208,29.25
2012-03-27,,11.417,13.75,2.333,0.667,30.75
2012-03-28,,16.75,19.417,2.667,1.083,37.333
2012-03-29,,4.667,5.833,1.167,0.25,32.667
2012-03-30,,5.75,7.0,1.25,0.5,29.125
2012-03-31,,6.625,8.042,1.417,0.292,28.208
2012-04-01,,3.375,4.542,1.167,0.0,27.083
2012-04-02,,7.5,9.091,1.591,0.087,30.75
2012-04-03,,18.875,23.375,4.5,0.583,38.75
2012-04-04,,9.083,11.708,2.625,0.167,27.542
2012-04-05,,5.875,7.708,1.833,0.208,33.167
2012-04-06,,7.333,9.083,1.75,0.167,36.5
2012-04-07,,3.708,5.125,1.417,0.125,28.042
2012-04-08,,10.0,12.042,2.042,0.417,31.542
2012-04-09,,6.818,8.318,1.5,0.261,36.5
2012-04-10,,6.0,7.167,1.167,0.333,41.292
2012-04-11,,13.375,16.583,3.208,0.5,50.75
2012-04-12,,8.75,10.125,1.375,0.333,36.042
2012-04-13,,6.75,8.083,1.333,0.208,29.5
2012-04-14,,5.667,7.167,1.5,0.333,31.708
2012-04-15,,3.75,5.042,1.292,0.125,31.417
2012-04-16,,5.182,6.273,1.091,0.174,34.375
2012-04-17,,7.292,8.792,1.5,0.042,22.957
2012-04-18,,12.958,15.875,2.917,0.0,8.583
2012-04-19,,5.792,7.0,1.208,0.042,7.75
2012-04-20,,5.167,6.708,1.542,0.75,7.917
2012-04-21,,5.25,6.583,1.333,0.208,8.0
2012-04-22,,5.875,7.833,1.958,0.792,11.833
2012-04-23,,7.0,8.091,1.091,0.174,30.917
2012-04-24,,10.208,12.417,2.208,0.125,33.833
2012-04-25,,6.125,7.792,1.667,0.0,28.583
2012-04-26,,5.458,6.708,1.25,0.0,29.458
2012-04-27,,5.083,6.375,1.292,0.042,32.458
2012-04-28,,4.875,6.125,1.25,0.042,29.042
2012-04-29,,2.792,3.917,1.125,0.0,37.25
2012-04-30,,4.682,5.773,1.091,0.217,51.167
2012-05-01,,4.5,5.792,1.292,0.0,39.042
2012-05-02,,3.542,4.792,1.25,0.0,39.042
2012-05-03,,2.833,3.75,0.917,0.042,34.292
2012-05-04,,3.792,4.667,0.875,0.0,25.542
2012-05-05,,7.333,8.958,1.625,0.0,30.917
2012-05-06,,3.875,4.875,1.0,0.0,30.583
2012-05-07,,6.091,7.091,1.0,0.174,30.792
2012-05-08,,6.167,7.417,1.25,0.125,35.208
2012-05-09,,3.583,4.542,0.958,0.0,34.25
2012-05-10,,4.625,5.917,1.292,0.125,28.125
2012-05-11,,4.417,5.667,1.25,0.042,27.708
2012-05-12,,2.75,3.875,1.125,0.0,27.125
2012-05-13,,2.042,2.958,0.917,0.0,28.958
2012-05-14,,4.273,5.455,1.182,0.174,28.167
2012-05-15,,7.583,9.167,1.583,0.083,32.875
2012-05-16,,4.125,5.083,0.958,0.0,29.083
