date,PM25_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,SO2_mean,THC_mean
2011-04-05,11.917,12.478,17.719,25.08,7.361,178.13,8.957,1.292,187.087
2011-04-06,18.208,19.367,20.63,25.793,5.164,179.391,11.913,2.125,191.304
2011-04-07,28.0,30.56,28.762,36.832,8.07,181.0,19.9,2.087,200.9
2011-04-08,19.875,27.43,21.903,29.82,7.917,193.478,63.0,1.667,256.478
2011-04-09,12.25,15.257,9.406,11.844,2.438,175.043,7.696,1.042,182.739
2011-04-10,14.375,19.308,8.708,11.136,2.427,176.217,6.087,1.333,182.304
2011-04-11,14.542,21.767,10.774,12.627,1.852,177.348,7.304,1.583,184.652
2011-04-12,14.833,19.8,10.01,12.552,2.542,176.696,4.87,1.625,181.565
2011-04-13,28.625,37.483,15.489,18.788,3.3,177.0,8.13,2.542,185.13
2011-04-14,28.208,40.733,25.354,30.344,4.99,178.696,26.087,3.375,204.783
2011-04-15,39.396,51.968,24.937,28.708,3.771,179.273,27.5,3.87,206.773
2011-04-16,22.828,30.287,14.354,18.073,3.719,177.609,12.174,2.208,189.783
2011-04-17,10.417,11.217,4.063,4.958,0.896,175.13,2.435,2.0,177.565
2011-04-18,11.542,13.675,8.706,11.542,2.836,174.435,4.043,2.0,178.478
2011-04-19,4.812,8.686,8.064,11.51,3.445,174.286,6.095,1.957,180.381
2011-04-20,2.748,6.719,4.919,6.033,1.114,174.522,1.957,1.958,176.478
2011-04-21,7.188,12.383,9.76,13.429,3.669,173.913,3.043,2.0,176.957
2011-04-22,7.125,14.267,10.875,13.625,2.75,173.913,4.783,2.0,178.696
2011-04-23,10.062,24.417,11.438,16.281,4.844,172.13,7.478,1.958,179.609
2011-04-24,8.244,10.553,5.24,6.125,0.886,174.81,3.143,2.0,177.952
2011-04-25,14.042,17.064,11.441,14.813,3.372,175.348,4.391,0.714,179.739
2011-04-26,15.188,20.258,17.636,21.729,4.094,176.13,12.217,0.583,188.348
2011-04-27,29.262,43.219,18.158,23.461,5.302,176.522,15.652,0.913,192.174
2011-04-28,11.758,18.275,7.416,10.083,2.666,174.5,3.7,0.333,178.2
2011-04-29,6.666,9.475,9.729,12.229,2.5,175.348,4.174,0.125,179.522
2011-04-30,15.542,21.3,11.531,13.75,2.219,175.087,4.783,0.917,179.87
2011-05-01,26.458,39.058,15.042,18.333,3.292,174.957,17.913,1.208,192.87
2011-05-02,9.208,16.742,3.962,5.476,1.513,175.696,2.348,0.0,178.043
2011-05-03,9.666,13.567,6.219,7.812,1.594,174.217,3.174,0.0,177.391
2011-05-04,12.938,20.292,5.418,6.849,1.432,172.522,2.87,0.042,175.391
2011-05-05,9.584,15.192,4.0,5.438,1.438,173.913,2.261,0.0,176.174
2011-05-06,7.666,10.983,6.854,10.49,3.636,172.174,2.391,0.0,174.565
2011-05-07,12.292,23.167,6.781,9.187,2.406,171.087,4.043,0.0,175.13
2011-05-08,16.354,23.0,6.136,7.354,1.219,173.826,4.739,0.292,178.565
2011-05-09,10.479,13.892,10.937,13.584,2.646,176.087,7.565,0.0,183.652
2011-05-10,11.896,15.093,8.97,11.594,2.624,175.304,6.391,0.0,181.696
2011-05-11,13.0,19.3,16.619,21.469,4.85,175.609,8.522,0.042,184.13
2011-05-12,7.922,12.786,13.404,17.269,3.866,176.8,7.35,0.0,184.15
2011-05-13,32.375,59.367,7.386,9.354,1.969,176.727,4.5,0.0,181.227
2011-05-14,23.0,43.558,6.427,7.459,1.031,175.13,3.565,0.083,178.696
2011-05-15,13.646,25.075,6.114,7.125,1.01,174.652,4.043,0.25,178.696
2011-05-16,16.208,28.268,11.117,14.816,3.699,174.13,7.174,0.087,181.304
2011-05-17,25.562,34.841,14.76,18.166,3.406,176.217,7.826,0.542,184.043
2011-05-18,10.062,13.533,13.652,17.734,4.082,176.348,7.652,0.042,184.0
2011-05-19,27.894,35.793,23.166,27.172,4.006,180.611,23.333,0.85,203.944
2011-05-20,32.562,40.042,27.469,31.677,4.208,179.696,25.391,1.042,205.087
2011-05-21,33.334,43.783,20.25,23.844,3.594,176.826,17.217,0.708,194.043
2011-05-22,16.375,23.358,10.416,12.386,1.969,176.087,9.913,0.042,186.0
2011-05-23,7.542,11.472,12.358,16.808,4.449,175.0,5.217,0.0,180.217
2011-05-24,9.729,15.199,8.964,12.043,3.079,174.043,4.435,0.0,178.478
2011-05-25,14.042,18.483,12.114,16.082,3.968,175.13,7.565,0.042,182.696
2011-05-26,9.956,14.717,9.073,12.094,3.021,173.217,3.391,0.0,176.609
2011-05-27,13.0,19.342,7.864,10.948,3.083,172.043,3.739,0.0,175.783
2011-05-28,11.292,17.958,10.906,14.334,3.427,171.478,4.913,0.0,176.391
2011-05-29,3.812,6.342,6.417,8.552,2.136,172.696,5.696,0.042,178.391
2011-05-30,1.521,4.2,3.665,4.214,0.549,170.565,4.0,0.0,174.565
2011-05-31,18.416,23.075,6.104,10.448,4.344,172.739,2.565,0.167,175.304
2011-06-01,26.125,32.173,9.344,14.288,4.944,171.913,3.391,0.042,175.304
2011-06-02,23.625,36.375,15.614,22.979,7.364,173.13,8.522,0.083,181.652
2011-06-03,16.36,26.129,15.844,22.916,7.073,174.391,8.043,0.0,182.435
2011-06-04,25.614,34.367,14.719,20.906,6.188,176.652,10.217,0.5,186.87
2011-06-05,45.958,56.8,11.239,13.281,2.042,177.783,8.565,0.625,186.348
2011-06-06,30.764,36.132,12.786,16.428,3.643,178.391,10.913,0.174,189.304
2011-06-07,29.88,36.768,13.273,16.566,3.293,180.273,6.864,1.5,187.136
2011-06-08,26.083,32.85,9.954,13.482,3.528,173.478,5.87,0.792,179.348
2011-06-09,12.854,16.817,8.188,12.083,3.896,171.652,3.087,0.0,174.739
2011-06-10,18.979,25.967,10.698,14.916,4.219,174.783,6.348,0.25,181.13
2011-06-11,20.584,28.067,8.354,10.188,1.834,175.739,6.348,0.0,182.087
2011-06-12,20.812,24.592,8.208,9.708,1.5,175.87,5.565,0.125,181.435
2011-06-13,21.812,25.642,8.638,11.173,2.535,175.522,4.304,0.174,179.826
2011-06-14,10.271,13.117,8.438,11.396,2.958,174.304,4.304,0.0,178.609
2011-06-15,5.375,7.741,8.116,11.064,2.948,174.609,3.739,0.0,178.348
