date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-04-20,191.083,10.958,7.889,14.708,6.819,,1.087,,202.042,
2011-04-21,190.958,14.208,9.667,15.889,6.222,,1.625,,205.167,
2011-04-22,188.542,13.375,9.995,16.269,6.274,,2.373,,201.917,2.714
2011-04-23,187.458,12.792,4.736,7.055,2.319,,1.104,,200.25,3.125
2011-04-24,192.0,11.333,6.278,9.514,3.236,,1.166,,203.333,3.75
2011-04-25,191.667,15.542,8.972,15.333,6.361,,1.812,,207.208,3.625
2011-04-26,186.696,9.435,7.042,11.819,4.778,,1.584,,196.13,2.917
2011-04-27,184.609,14.391,8.313,12.835,4.522,,1.246,,199.0,3.478
2011-04-28,187.583,19.792,6.472,9.389,2.917,,1.208,,207.375,3.167
2011-04-29,189.5,9.917,7.708,11.819,4.111,,1.445,,199.417,3.542
2011-04-30,186.583,9.375,7.945,12.68,4.736,,2.688,,195.958,3.625
2011-05-01,184.375,8.458,4.222,6.361,2.139,,1.375,,192.833,3.417
2011-05-02,190.125,11.333,8.444,14.375,5.931,,1.25,,201.458,3.792
2011-05-03,192.739,13.826,8.416,12.278,3.861,,1.084,,206.565,3.5
2011-05-04,192.167,13.917,6.028,9.014,2.986,,1.728,,206.083,2.833
2011-05-05,190.167,12.625,6.097,8.486,2.389,,2.833,,202.792,2.609
2011-05-06,197.444,14.778,10.736,15.958,5.222,,2.766,,212.222,3.375
2011-05-07,,,9.389,15.542,6.153,,1.417,,,2.833
2011-05-08,,,6.319,9.611,3.292,,1.375,,,3.0
2011-05-09,,,5.917,11.07,5.153,,1.271,,,2.792
2011-05-10,,,5.971,13.703,7.733,,1.0,,,2.682
2011-05-11,,,5.317,13.138,7.822,,1.0,,,2.292
2011-05-12,,,6.805,14.639,7.834,,1.0,,,2.542
2011-05-13,,,6.555,10.945,4.389,,1.827,,,2.958
2011-05-14,,,8.25,13.028,4.778,,2.084,,,3.583
2011-05-15,,,5.806,8.222,2.417,,1.875,,,3.458
2011-05-16,,,8.986,13.403,4.417,,2.084,,,3.458
2011-05-17,,,7.722,12.292,4.569,,1.562,,,2.417
2011-05-18,,,8.625,13.625,5.0,,1.682,,,2.75
2011-05-19,,,8.958,14.305,5.347,,3.0,,,2.652
2011-05-20,,,8.403,14.236,5.833,,2.299,,,2.125
2011-05-21,,,5.819,11.417,5.597,,2.521,,,1.875
2011-05-22,,,3.847,6.486,2.639,,1.042,,,1.792
2011-05-23,,,6.361,9.653,3.292,,1.0,,,2.261
2011-05-24,,,5.264,8.583,3.319,,1.084,,,2.792
2011-05-25,,,8.029,13.246,5.217,,1.068,,,3.043
2011-05-26,,,8.444,13.611,5.167,,1.0,,,3.083
2011-05-27,,,11.958,20.139,8.181,,1.173,,,4.75
2011-05-28,,,12.292,19.375,7.083,,1.0,,,4.667
2011-05-29,,,3.792,5.361,1.57,,1.0,,,2.583
2011-05-30,,,4.07,6.097,2.028,,1.062,,,3.083
2011-05-31,,,11.208,18.18,6.972,,1.416,,,4.292
2011-06-01,,,8.75,14.25,5.5,,1.739,,,4.042
2011-06-02,,,6.694,10.639,3.944,,1.25,,,3.958
2011-06-03,,,8.194,13.222,5.028,,1.514,,,3.957
2011-06-04,,,7.958,12.403,4.444,,1.584,,,3.292
2011-06-05,,,5.458,7.903,2.444,,2.021,,,3.042
2011-06-06,,,8.412,12.587,4.175,,2.924,,,4.292
2011-06-07,,,8.519,12.917,4.397,,1.042,,,2.625
2011-06-08,,,8.338,14.124,5.786,,1.056,,,2.909
2011-06-09,,,8.764,14.653,5.889,,1.042,,,4.375
2011-06-10,,,8.125,14.625,6.5,,1.0,,,3.625
2011-06-11,,,7.708,13.195,5.486,,1.0,,,2.625
2011-06-12,,,7.625,10.931,3.306,,1.0,,,3.125
2011-06-13,,,8.847,15.542,6.695,,1.0,,,3.583
2011-06-14,,,8.097,12.93,4.833,,1.0,,,4.75
2011-06-15,,,10.722,18.639,7.917,,1.084,,,5.696
2011-06-16,,,12.43,21.542,9.111,,1.0,,,3.667
2011-06-17,,,9.917,18.445,8.528,,1.0,,,3.542
2011-06-18,,,11.917,20.139,8.222,,1.0,,,4.0
2011-06-19,,,7.153,10.375,3.222,,1.0,,,2.75
2011-06-20,,,8.32,16.278,7.958,,1.0,,,2.792
2011-06-21,,,8.308,16.48,8.172,,1.0,,,3.625
2011-06-22,177.0,19.167,6.447,14.869,8.422,,1.043,,196.167,2.826
2011-06-23,177.958,16.167,4.097,10.208,6.111,,1.046,,194.125,2.167
2011-06-24,178.292,16.583,4.486,10.222,5.736,,1.5,,194.875,2.208
2011-06-25,187.458,19.208,7.347,19.236,11.889,,2.521,,206.667,3.125
2011-06-26,183.625,14.333,3.083,6.555,3.472,,1.021,,197.958,2.292
2011-06-27,187.792,18.875,8.528,13.833,5.306,,1.0,,206.667,4.292
2011-06-28,180.208,16.75,4.82,11.056,6.236,,1.0,,196.958,2.083
2011-06-29,189.913,15.87,6.43,17.278,10.847,,1.812,,205.783,2.348
2011-06-30,186.083,14.417,7.194,17.722,10.528,,1.47,,200.5,2.417
2011-07-01,179.0,12.958,6.25,13.709,7.458,,0.875,,191.958,2.167
2011-07-02,180.75,11.25,6.875,16.306,9.43,,1.0,,192.0,2.75
2011-07-03,178.542,8.0,3.875,6.667,2.792,,1.0,,186.542,2.292
2011-07-04,178.0,8.708,6.042,11.5,5.458,,1.0,,186.708,2.583
2011-07-05,190.708,12.25,7.32,11.903,4.583,,1.021,,202.958,3.333
2011-07-06,187.773,15.227,7.727,14.818,7.091,,1.0,,203.0,3.261
2011-07-07,180.208,16.667,5.694,14.056,8.361,,0.739,,196.875,2.458
2011-07-08,179.833,11.792,4.653,10.514,5.861,,1.234,,191.625,2.25
2011-07-09,184.458,13.833,4.958,10.736,5.778,,2.312,,198.292,2.292
2011-07-10,202.333,15.75,5.125,9.167,4.042,,1.25,,218.083,2.583
2011-07-11,189.25,15.25,6.278,12.306,6.028,,1.229,,204.5,2.583
2011-07-12,197.667,16.25,7.028,13.57,6.542,,1.292,,213.917,2.333
2011-07-13,195.522,18.957,7.834,15.417,7.583,,1.271,,214.478,2.583
2011-07-14,198.167,19.6,7.0,16.18,9.181,,1.193,,220.0,2.333
2011-07-15,201.875,21.208,7.139,13.32,6.181,,1.638,,223.083,2.522
2011-07-16,200.333,20.583,7.083,12.736,5.653,,1.542,,220.917,2.625
2011-07-17,201.417,16.458,4.528,7.069,2.542,,1.312,,217.875,2.292
2011-07-18,181.958,12.583,4.139,7.306,3.167,,1.0,,194.542,1.958
2011-07-19,172.75,12.208,2.875,5.236,2.361,,0.958,,184.958,1.375
2011-07-20,180.136,12.636,2.091,3.091,1.0,,1.0,,192.773,1.636
2011-07-21,185.75,12.958,2.458,3.778,1.319,,0.542,,198.708,1.75
2011-07-22,196.042,19.167,5.0,8.764,3.764,,0.812,,215.208,2.417
2011-07-23,201.5,21.792,6.5,11.167,4.667,,1.0,,223.292,2.667
2011-07-24,206.5,19.125,4.972,7.111,2.139,,1.416,,225.625,2.875
2011-07-25,215.333,20.917,7.056,11.875,4.82,,1.104,,236.25,3.083
2011-07-26,205.125,17.708,6.458,12.611,6.153,,2.0,,222.833,2.652
2011-07-27,182.261,15.217,5.266,11.252,5.986,,1.021,,197.478,2.042
2011-07-28,186.042,15.625,6.045,13.173,7.127,,1.086,,201.667,2.25
2011-07-29,197.083,17.375,6.458,12.125,5.667,,1.0,,214.458,2.25
2011-07-30,184.875,17.792,6.944,12.236,5.292,,0.979,,202.667,2.583
2011-07-31,186.208,17.167,4.653,7.528,2.875,,0.979,,203.375,1.917
2011-08-01,192.958,18.333,8.056,13.195,5.139,,1.021,,211.292,3.167
2011-08-02,197.458,19.0,8.57,14.111,5.542,,1.542,,216.458,3.167
2011-08-03,187.545,14.318,6.921,13.55,6.629,,2.0,,201.864,2.043
2011-08-04,183.167,13.208,5.819,10.528,4.708,,1.062,,196.375,1.75
2011-08-05,179.833,12.667,5.666,9.986,4.32,,1.0,,192.5,1.792
2011-08-06,181.875,13.542,5.917,11.791,5.875,,1.416,,195.417,1.792
2011-08-07,179.458,11.75,3.555,7.153,3.597,,1.646,,191.208,1.708
2011-08-08,177.292,12.208,4.889,10.403,5.514,,1.312,,189.5,1.833
2011-08-09,179.708,14.583,6.403,13.014,6.611,,1.0,,194.292,2.13
2011-08-10,178.174,17.304,6.167,11.57,5.403,,1.208,,195.478,1.958
2011-08-11,179.458,16.042,6.014,10.75,4.736,,1.044,,195.5,2.042
2011-08-12,178.625,15.833,6.931,11.875,4.944,,1.146,,194.458,2.0
2011-08-13,181.167,14.667,4.945,8.875,3.931,,1.042,,195.833,2.125
2011-08-14,186.458,13.0,4.25,6.75,2.5,,1.0,,199.458,2.417
2011-08-15,187.75,14.667,5.792,8.722,2.931,,1.0,,202.417,2.625
2011-08-16,185.208,16.292,5.625,10.167,4.542,,1.0,,201.5,1.542
2011-08-17,177.826,13.13,5.778,11.083,5.306,,1.0,,190.957,1.25
2011-08-18,186.261,13.261,7.299,11.697,4.398,,0.75,,199.522,2.208
2011-08-19,193.833,15.458,6.654,10.603,3.949,,0.854,,209.292,3.0
2011-08-20,195.083,16.083,6.361,10.375,4.014,,0.875,,211.167,3.417
2011-08-21,191.333,12.917,4.583,6.667,2.083,,1.0,,204.25,2.625
2011-08-22,198.833,15.208,7.75,12.986,5.236,,1.0,,214.042,3.833
2011-08-23,186.25,14.292,8.097,18.153,10.056,,1.0,,200.542,3.583
2011-08-24,185.261,17.478,8.097,18.0,9.903,,1.5,,202.739,3.174
2011-08-25,190.833,19.083,7.25,14.014,6.764,,1.0,,209.917,2.625
2011-08-26,188.917,18.167,7.667,14.389,6.722,,1.062,,207.083,2.292
2011-08-27,187.917,19.583,5.486,11.056,5.569,,1.479,,207.5,1.958
2011-08-28,189.208,18.083,4.042,6.125,2.084,,1.52,,207.292,2.042
2011-08-29,194.565,19.696,6.174,11.014,4.841,,1.09,,214.261,2.261
2011-08-30,190.042,19.625,6.319,9.778,3.458,,1.279,,209.667,2.792
2011-08-31,188.13,18.522,6.32,9.903,3.584,,1.271,,206.652,3.167
2011-09-01,184.792,17.667,5.597,8.403,2.806,,1.208,,202.458,2.708
2011-09-02,176.458,12.875,3.111,6.472,3.361,,1.0,,189.333,1.417
2011-09-03,176.792,11.542,1.222,2.111,0.889,,1.0,,188.333,1.208
2011-09-04,179.625,12.167,1.486,2.542,1.055,,1.0,,191.792,1.25
2011-09-05,184.083,13.167,2.625,4.056,1.431,,1.0,,197.25,1.792
