date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2011-09-01,5.4585,8.0,2.5415,0.167,16.0835,,,,
2011-09-02,3.116,6.509,3.393,0.0,18.3425,,,,
2011-09-03,3.542,4.604,1.0625,0.5,21.6875,,,,
2011-09-04,2.0415,2.75,0.7085,0.25,19.958,,,,
2011-09-05,9.1665,11.5,2.333,0.208,20.9165,,,,
2011-09-06,8.542,10.1875,1.646,0.375,12.4375,,,,
2011-09-07,13.565,18.845,5.28,0.583,18.7705,,,,
2011-09-08,15.875,20.042,4.167,0.958,33.7085,,,,
2011-09-09,14.9545,17.9835,3.029,0.609,37.8125,,,,
2011-09-10,12.8955,17.021,4.125,0.5,39.229,,,,
2011-09-11,5.625,6.021,0.396,1.167,29.542,,,,
2011-09-12,12.146,16.354,4.208,0.375,22.521,,,,
2011-09-13,11.1875,16.708,5.5205,0.833,23.2085,,,,
2011-09-14,10.343,15.6385,5.2955,1.583,32.125,,,,
2011-09-15,12.0415,16.7295,4.6875,1.25,24.146,,,,
2011-09-16,11.285499999999999,21.288,10.0025,0.889,16.4545,,,,
2011-09-17,7.792,14.458,6.667,,14.958,,,,
2011-09-18,7.958,11.25,3.292,,13.625,,,,
2011-09-19,6.292,11.583,5.292,,17.125,,,,
2011-09-20,9.875,11.792,1.917,,7.292,,,,
2011-09-21,8.652,10.13,1.478,,7.167,,,,
2011-09-22,14.333,27.875,13.542,,9.542,,,,
2011-09-23,12.25,20.333,8.083,,11.917,,,,
2011-09-24,11.667,22.083,10.417,,12.417,,,,
2011-09-25,8.625,10.333,1.708,,13.708,,,,
2011-09-26,17.0275,34.1595,17.131999999999998,1.0,23.5815,,,,
2011-09-27,12.146,23.875,11.729,0.917,20.8545,,,,
2011-09-28,14.246500000000001,24.358,10.1115,0.958,27.0625,,,,
2011-09-29,13.9795,21.625,7.646,1.167,28.7705,,,,
2011-09-30,21.4585,30.5625,9.104,0.958,41.292,,,,
2011-10-01,9.6665,15.104500000000002,5.4375,0.625,24.5,,,,
2011-10-02,6.667,7.792,1.125,0.875,20.0625,,,,
2011-10-03,14.23,23.1675,8.9375,0.957,15.5415,,,,
2011-10-04,16.2045,29.8125,13.608,6.714,24.3085,,,,
2011-10-05,18.6765,35.5005,16.824,3.708,25.083,,,,
2011-10-06,11.2915,15.5,4.2085,0.917,13.0,,,,
2011-10-07,13.125,21.4585,8.3335,2.125,18.896,,,,
2011-10-08,17.104,26.7915,9.6875,5.583,30.6875,,,,
2011-10-09,11.75,13.854,2.104,5.583,39.896,,,,
2011-10-10,11.73,14.761,3.0305,4.0,33.354,,,,
2011-10-11,13.753,24.765,11.012,5.364,43.104,,,,
2011-10-12,19.709,24.267,4.558,3.125,44.3125,,,,
2011-10-13,20.7915,37.4165,16.625,7.917,52.1665,,,,
2011-10-14,20.985,38.0595,17.073999999999998,5.0,56.125,,,,
2011-10-15,20.75,42.208,21.458,1.208,26.4585,,,,
2011-10-16,8.083,15.0,6.917,1.25,13.5835,,,,
2011-10-17,21.292,43.083,21.792,3.739,19.4375,,,,
2011-10-18,13.708,25.833,12.125,1.833,15.625,,,,
2011-10-19,14.087,20.913,6.826,2.792,14.271,,,,
2011-10-20,20.0795,40.8695,20.79,4.875,20.341,,,,
2011-10-21,15.5205,30.4795,14.957999999999998,5.5,19.75,,,,
2011-10-22,18.0,31.375,13.375,0.375,24.417,,,,
2011-10-23,13.2705,19.167,5.8955,1.917,28.9165,,,,
2011-10-24,15.0835,20.4375,5.354,1.348,17.604,,,,
2011-10-25,17.7915,28.75,10.9585,1.083,29.125,,,15.083,
2011-10-26,16.0605,25.4955,9.434999999999999,1.792,11.979,,,3.375,
2011-10-27,18.489,31.913,13.424,6.375,22.9375,,,16.5,
2011-10-28,22.354,42.083,19.729,6.417,29.3125,,,20.625,
2011-10-29,17.0625,31.021,13.9585,6.583,33.125,,,25.042,
2011-10-30,12.3545,17.271,4.9165,4.792,32.4375,,,25.375,
2011-10-31,17.7085,31.5415,13.8335,3.348,20.4165,,,14.625,
2011-11-01,19.271,38.792,19.521,7.542,22.9585,,,17.667,
2011-11-02,23.113500000000002,48.248000000000005,25.1345,5.826,36.563,,,25.667,
2011-11-03,22.0,46.25,24.25,4.792,43.792,,,33.792,
2011-11-04,19.167,41.2295,22.0625,6.125,33.375,,,23.208,
2011-11-05,22.146,43.9375,21.7915,4.375,73.7085,,,46.167,
2011-11-06,13.75,19.729,5.979,1.208,59.6455,,,35.458,
2011-11-07,13.8125,20.625,6.8125,0.913,15.5,,,7.083,
2011-11-08,14.0,17.4165,3.4165,1.0,18.9375,,,9.417,
2011-11-09,18.390500000000003,34.4975,16.1065,3.417,23.3125,,,13.542,
2011-11-10,18.1455,36.229,18.0835,7.0,23.1665,,,14.708,
2011-11-11,20.782,48.942,28.1605,4.348,21.6495,,,13.478,
2011-11-12,12.6045,28.0,15.395499999999998,1.667,16.958,,,8.208,
2011-11-13,10.333,20.3125,9.979,4.208,26.2085,,,17.25,
2011-11-14,11.271,26.9165,15.645499999999998,3.217,24.979,,,19.042,
2011-11-15,16.625,26.896,10.271,0.958,20.25,,,11.25,
2011-11-16,14.761,20.564999999999998,5.8045,0.478,14.044,,,6.0,
2011-11-17,18.4375,27.3125,8.875,1.125,18.3125,,,10.667,
2011-11-18,22.174500000000002,52.548,30.373,1.458,34.896,,,24.417,
2011-11-19,20.2735,67.03,46.756,1.0,35.4375,,,25.792,
2011-11-20,12.271,24.0625,11.792,0.333,15.2915,,,8.042,
2011-11-21,18.521,32.7915,14.270499999999998,0.261,13.1455,,,0.958,
2011-11-22,19.979,36.729,16.75,0.5,15.25,,,4.708,
2011-11-23,17.6875,28.833,11.1455,1.458,25.4165,,,17.167,
2011-11-24,18.271,36.75,18.479,0.417,19.8335,,,8.875,
2011-11-25,17.3335,33.1045,15.771,0.542,13.4585,,,4.182,
2011-11-26,15.019,20.597,5.578,0.792,19.1875,,,11.042,
2011-11-27,16.5835,25.125,8.5415,1.0,34.229,,,26.875,
2011-11-28,24.5,74.8125,50.3125,1.435,42.6665,,,29.25,
2011-11-29,24.4795,60.375,35.8955,1.25,34.4585,,,23.708,
2011-11-30,19.6665,43.7085,24.0415,1.25,32.625,,,24.583,
