date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-20,3.519,18.246,24.974,6.728,20.582,190.913,97.0,92.417,77.0,6.652,,0.682,4.8,2.396,1.8,197.565
2011-01-21,3.24,17.562,22.666,5.104,9.938,190.667,94.0,84.0,72.0,7.0,,0.75,3.3,2.842,2.4,197.667
2011-01-22,4.562,18.104,32.792,14.688,9.625,195.583,95.0,88.75,79.0,12.375,,0.136,6.9,4.45,2.9,207.958
2011-01-23,8.188,35.375,125.75,90.375,21.604,208.455,97.0,84.708,55.0,34.864,,0.958,8.6,4.183,0.3,243.318
2011-01-24,4.167,28.386,45.865,17.478,7.082,197.833,96.0,65.042,49.0,16.25,,0.5,4.5,2.283,-0.6,214.083
2011-01-25,6.394,38.566,84.196,45.63,21.333,209.0,85.0,59.75,34.0,27.583,,2.0,7.4,3.35,0.1,236.583
2011-01-26,4.479,28.896,45.938,17.042,11.021,196.583,87.0,48.75,26.0,14.542,,0.958,6.0,2.288,-0.5,211.125
2011-01-27,6.327,37.896,86.344,48.448,17.388,202.333,68.0,55.083,37.0,25.6,,1.333,7.4,2.458,-1.8,227.933
2011-01-28,4.396,25.458,40.542,15.084,14.166,195.667,69.0,48.375,32.0,15.083,,1.292,5.6,1.938,-1.1,210.75
2011-01-29,3.125,9.542,11.083,1.542,6.542,192.167,47.0,39.792,29.0,9.833,,0.875,6.0,2.604,0.8,202.0
2011-01-30,4.334,26.729,46.584,19.854,8.094,196.208,54.0,40.75,31.0,15.875,,1.0,6.0,2.854,-0.6,212.083
2011-01-31,5.875,33.125,54.25,21.125,14.083,198.417,65.0,49.375,37.0,21.208,,1.652,7.8,3.296,-1.2,219.625
2011-02-01,4.769,28.754,61.968,33.214,15.517,201.55,71.0,46.083,27.0,12.65,,2.667,12.3,6.204,-1.0,214.2
2011-02-02,3.625,17.896,24.5,6.604,6.125,192.083,40.0,27.458,14.0,7.5,,1.167,6.0,2.983,0.3,199.583
2011-02-03,6.667,37.062,82.333,45.271,13.167,201.125,74.0,38.167,19.0,18.333,,2.458,6.0,2.042,-1.8,219.458
2011-02-04,7.792,38.625,100.25,61.625,18.292,206.625,77.0,44.0,23.0,29.542,,2.667,10.7,4.792,-2.2,236.167
2011-02-05,5.104,20.166,23.458,3.292,17.875,196.375,82.0,54.125,39.0,12.667,,2.042,8.7,4.983,0.9,209.042
2011-02-06,6.458,41.146,70.479,29.334,47.229,197.958,95.0,84.542,72.0,20.125,,1.167,4.9,3.817,1.8,218.083
2011-02-07,6.565,36.565,74.608,38.044,55.944,201.864,96.0,91.625,83.0,29.5,,0.682,8.8,6.988,4.5,231.364
2011-02-08,3.946,22.604,38.292,15.688,7.396,197.217,87.0,43.375,31.0,20.087,,0.875,8.6,6.596,3.2,217.304
2011-02-09,3.562,26.167,39.25,13.084,6.771,197.958,50.0,31.25,15.0,17.583,,0.792,8.7,4.6,0.6,215.542
2011-02-10,5.188,34.938,60.312,25.375,15.646,201.625,82.0,50.25,29.0,23.0,,1.875,8.4,4.483,0.2,224.625
2011-02-11,3.688,18.917,25.584,6.666,11.375,197.25,86.0,49.833,27.0,18.292,,1.125,8.9,4.742,-0.5,215.542
2011-02-12,3.521,14.979,17.146,2.167,9.312,196.708,51.0,37.625,29.0,15.708,,0.833,9.3,4.779,0.7,212.417
2011-02-13,4.246,30.761,43.225,12.464,20.335,193.409,68.0,50.083,36.0,16.409,,2.227,9.5,4.617,0.3,209.818
2011-02-14,5.396,37.368,62.483,25.116,43.833,194.417,95.0,83.333,53.0,24.25,,1.059,5.8,4.45,3.4,218.667
2011-02-15,5.848,34.0,64.854,30.854,39.82,196.524,92.0,64.042,38.0,25.286,,1.0,11.6,7.154,4.7,221.81
2011-02-16,3.5,20.292,26.27,5.979,14.771,194.292,96.0,62.25,39.0,13.667,,0.542,4.8,2.629,0.8,207.958
2011-02-17,4.083,24.562,38.479,13.917,24.416,191.417,96.0,74.667,31.0,17.167,,0.542,8.2,3.242,0.3,208.583
2011-02-18,3.188,14.042,17.875,3.834,8.0,190.917,90.0,46.417,18.0,11.417,,0.333,5.7,2.083,-1.1,202.333
2011-02-19,3.946,19.75,24.734,4.985,9.812,192.864,62.0,40.708,22.0,12.591,,1.682,6.6,2.604,-2.4,205.455
2011-02-20,5.125,33.667,54.708,21.042,14.458,198.333,79.0,49.917,22.0,20.542,,2.208,9.6,4.446,-1.1,218.875
2011-02-21,5.52,42.979,70.832,27.854,21.583,197.75,83.0,49.0,25.0,24.083,,3.875,12.0,6.758,0.6,221.833
2011-02-22,3.988,23.084,29.104,6.02,22.542,189.292,74.0,62.792,55.0,11.292,,2.833,9.3,6.3,2.7,200.583
2011-02-23,5.938,38.584,74.5,35.916,42.75,198.042,96.0,86.792,45.0,24.583,,1.583,10.3,6.738,4.4,222.625
2011-02-24,4.458,18.02,20.958,2.938,24.292,189.458,66.0,42.417,23.0,11.083,,3.375,15.2,11.104,8.8,200.542
2011-02-25,3.943,21.084,26.131,5.047,16.084,187.045,96.0,86.208,64.0,8.455,,0.045,9.0,5.362,3.4,195.5
2011-02-26,3.062,10.938,11.812,0.875,7.125,186.833,63.0,46.583,32.0,5.792,,0.333,8.9,5.854,4.1,192.625
2011-02-27,2.688,13.666,17.188,3.521,6.834,187.458,37.0,28.833,21.0,4.458,,0.25,8.6,4.717,1.1,191.917
2011-02-28,2.938,17.048,22.873,5.826,7.479,190.667,59.0,46.042,33.0,5.833,,0.667,7.2,3.2,-0.6,196.5
2011-03-01,4.183,29.23,44.396,15.167,23.052,188.318,90.0,77.333,54.0,12.636,,0.125,11.7,7.704,2.6,200.955
2011-03-02,3.518,28.575,39.188,10.612,19.166,187.636,96.0,87.542,69.0,12.864,,0.727,9.0,6.704,3.6,200.5
2011-03-03,3.646,13.146,16.292,3.146,11.854,190.125,96.0,65.167,41.0,7.833,,0.792,11.9,6.979,3.2,197.958
2011-03-04,3.188,10.708,11.312,0.604,15.23,191.667,88.0,64.875,57.0,7.917,,1.167,6.7,5.412,3.9,199.583
2011-03-05,4.917,33.125,57.75,24.625,17.146,225.667,97.0,95.042,92.0,18.458,,0.708,9.0,5.175,2.5,244.125
2011-03-06,6.146,33.543,71.345,37.802,39.916,209.333,94.0,87.375,71.0,22.917,,1.083,14.5,10.788,8.1,232.25
2011-03-07,4.418,20.333,27.312,6.98,33.292,190.917,92.0,67.667,46.0,11.625,,0.708,14.3,12.046,10.5,202.542
2011-03-08,3.473,22.822,31.231,8.41,18.667,189.909,88.0,71.458,53.0,8.5,,0.545,10.2,8.838,7.1,198.409
2011-03-09,4.021,25.334,37.146,11.812,21.417,190.917,96.0,94.042,89.0,12.375,,0.042,8.3,6.888,4.8,203.292
2011-03-10,3.521,17.438,21.438,4.0,4.792,189.458,95.0,85.333,68.0,8.542,,0.0,7.1,4.729,2.3,198.0
2011-03-11,3.792,15.562,18.521,2.958,12.833,193.042,84.0,65.958,46.0,10.5,,0.708,11.3,7.254,2.9,203.542
2011-03-12,3.416,22.292,30.854,8.562,5.464,190.208,84.0,41.083,16.0,8.875,,1.125,12.2,6.892,2.9,199.083
2011-03-13,2.979,19.09,23.837,4.748,4.396,191.167,70.0,39.833,23.0,7.458,,0.417,11.2,7.096,3.2,198.625
2011-03-14,3.826,22.728,29.042,6.313,9.938,191.909,76.0,57.0,33.0,10.773,,1.591,11.1,7.112,2.6,202.682
2011-03-15,4.453,29.796,50.03,20.234,18.016,195.095,87.0,48.696,23.0,18.524,,1.273,12.9,7.146,2.1,213.619
2011-03-16,3.708,20.312,26.0,5.688,17.812,194.417,64.0,43.0,27.0,11.667,,1.083,9.7,6.667,2.1,206.083
2011-03-17,6.104,41.75,64.458,22.708,38.708,195.333,95.0,86.792,62.0,24.125,,0.375,9.3,6.754,4.9,219.458
2011-03-18,6.458,29.52,49.812,20.292,46.312,195.083,94.0,87.625,76.0,23.417,,0.542,11.6,9.129,6.5,218.5
2011-03-19,3.833,23.542,39.292,15.75,10.396,190.458,93.0,38.208,20.0,13.583,,0.042,11.6,9.0,6.8,204.042
2011-03-20,3.948,22.674,26.196,3.522,12.938,192.045,66.0,42.042,28.0,11.682,,1.864,12.0,8.121,4.4,203.727
2011-03-21,2.885,18.646,22.271,3.625,8.25,190.042,42.0,30.75,20.0,7.083,,0.792,11.9,7.888,4.8,197.125
2011-03-22,6.646,58.562,103.5,44.938,28.979,204.5,57.0,44.583,35.0,29.333,,3.208,13.4,8.896,3.2,233.833
2011-03-23,5.729,46.25,64.125,17.875,39.916,193.875,95.0,77.0,52.0,20.875,,1.083,11.1,9.05,7.4,214.75
2011-03-24,5.583,31.292,47.646,16.354,13.729,191.333,95.0,87.25,57.0,15.958,,0.5,9.3,7.392,6.0,207.292
2011-03-25,4.854,23.417,42.938,19.521,9.375,193.958,84.0,46.333,27.0,16.917,,1.125,12.9,8.654,4.2,210.875
2011-03-26,3.708,28.6,42.047,13.448,8.166,193.364,67.0,38.125,22.0,15.909,,1.045,11.6,7.783,3.5,209.273
2011-03-27,4.083,27.971,38.298,10.327,13.729,197.042,77.0,48.125,21.0,16.458,,1.667,13.2,8.892,3.6,213.5
2011-03-28,4.988,37.053,53.234,16.182,28.148,198.739,80.0,53.667,35.0,22.304,,2.273,17.5,10.554,4.8,221.043
2011-03-29,3.166,17.812,20.688,2.875,10.875,193.042,68.0,45.583,19.0,9.125,,0.875,15.2,11.025,6.2,202.167
2011-03-30,3.0,14.02,14.854,0.834,16.146,189.292,72.0,63.833,50.0,10.042,,1.542,17.9,14.583,12.0,199.333
2011-03-31,2.688,9.104,9.666,0.562,21.042,184.458,95.0,69.208,37.0,8.167,,0.5,16.3,13.204,8.1,192.625
2011-04-01,3.938,24.208,33.146,8.938,17.771,191.583,72.0,54.917,30.0,12.167,,2.0,14.4,10.65,4.8,203.75
2011-04-02,5.375,35.604,48.25,12.646,32.562,199.75,80.0,57.708,36.0,16.917,,2.75,18.5,13.229,8.6,216.667
2011-04-03,3.125,11.458,12.98,1.521,13.896,189.708,72.0,53.917,39.0,8.292,,0.875,9.5,7.804,6.5,198.0
2011-04-04,3.062,18.917,23.52,4.604,12.688,190.417,72.0,51.333,23.0,9.625,,0.773,14.4,8.808,5.8,200.042
2011-04-05,3.666,25.667,33.146,7.479,15.375,191.227,73.0,47.125,26.0,13.773,,2.292,15.0,9.55,3.2,205.0
2011-04-06,4.792,33.604,54.547,20.943,24.625,195.375,90.0,58.5,25.0,18.958,,2.917,18.3,12.758,7.0,214.333
2011-04-07,3.354,26.354,38.146,11.792,25.625,189.875,83.0,70.458,58.0,14.292,,3.667,17.9,14.746,11.4,204.167
2011-04-08,2.625,12.02,13.354,1.334,23.562,185.25,87.0,73.542,58.0,9.792,,1.417,17.4,15.925,14.6,195.042
2011-04-09,2.979,14.0,15.916,1.916,26.396,184.667,96.0,89.417,81.0,11.792,,1.375,15.9,15.012,11.9,196.458
2011-04-10,3.834,7.792,8.812,1.02,20.938,188.25,84.0,59.75,34.0,12.542,,0.864,17.0,13.329,9.7,200.792
2011-04-11,4.074,25.568,37.837,12.269,28.375,194.0,93.0,72.625,46.0,16.045,,2.5,17.7,13.075,7.3,210.045
2011-04-12,2.976,14.63,18.413,3.783,13.98,190.208,91.0,39.458,14.0,7.625,,0.25,15.9,11.1,6.6,197.833
2011-04-13,3.902,26.824,34.894,8.07,25.449,191.333,69.0,54.81,33.0,12.19,,2.478,18.3,13.117,6.7,203.524
2011-04-14,4.903,33.812,46.25,12.438,33.708,189.375,81.0,54.458,23.0,15.417,,3.333,21.2,15.45,10.1,204.792
2011-04-15,3.084,18.521,21.542,3.02,35.958,185.125,92.0,71.167,52.0,7.75,,4.375,19.9,17.054,14.5,192.875
2011-04-16,3.167,15.604,18.084,2.479,23.5,182.333,91.0,63.75,28.0,8.25,,2.091,21.5,17.408,13.1,190.583
2011-04-17,3.084,7.708,9.062,1.354,14.562,190.455,70.0,46.167,33.0,10.455,,1.042,17.4,13.417,9.9,200.909
2011-04-18,3.375,13.814,17.946,4.132,16.146,191.083,78.0,62.167,45.0,10.792,,1.125,17.5,14.692,11.5,201.875
2011-04-19,3.5,20.491,27.294,6.804,13.312,190.125,95.0,74.75,34.0,12.417,,0.5,17.7,11.275,6.9,202.542
2011-04-20,3.476,16.75,22.583,5.834,8.604,190.333,71.0,57.083,38.0,10.708,,1.042,15.8,10.517,5.4,201.042
2011-04-21,3.729,17.208,22.084,4.875,13.666,192.375,82.0,70.917,52.0,11.542,,1.167,15.4,12.121,8.8,203.917
2011-04-22,3.729,24.708,31.354,6.646,26.062,191.833,93.0,72.875,53.0,18.208,,2.5,17.4,14.862,11.1,210.042
2011-04-23,2.916,9.958,12.062,2.104,21.084,184.227,95.0,88.25,69.0,6.409,,0.958,18.5,16.092,14.7,190.636
2011-04-24,3.312,9.416,10.25,0.833,12.854,187.5,91.0,53.083,28.0,6.375,,0.917,19.9,15.829,11.3,193.875
2011-04-25,4.352,26.224,33.374,7.15,18.324,191.391,87.0,58.458,32.0,11.652,,1.304,19.1,14.296,9.8,203.043
2011-04-26,4.217,27.036,36.625,9.59,23.48,191.833,81.0,58.208,37.0,11.625,,2.167,19.4,15.633,10.5,203.458
2011-04-27,3.396,9.958,11.396,1.438,55.354,185.542,95.0,78.833,66.0,5.333,,1.708,21.3,18.788,16.5,190.875
2011-04-28,3.375,14.36,16.123,1.761,25.812,186.042,92.0,60.417,32.0,8.708,,1.727,21.7,18.4,14.4,194.75
2011-04-29,3.416,12.333,13.646,1.312,13.271,189.773,79.0,53.917,37.0,12.5,,1.25,18.2,14.921,12.2,202.273
2011-04-30,3.666,16.458,19.396,2.938,25.166,191.208,87.0,68.375,55.0,14.0,,2.375,20.3,16.454,11.4,205.208
2011-05-01,3.0,10.354,11.396,1.042,26.146,188.792,95.0,77.5,54.0,11.458,,1.125,20.3,17.696,15.5,200.25
2011-05-02,4.034,27.75,35.52,7.771,72.354,191.75,90.0,49.458,20.0,15.667,,2.833,24.1,19.071,14.5,207.417
2011-05-03,3.672,13.587,15.99,2.403,47.062,191.208,93.0,74.667,58.0,15.0,,0.583,18.0,15.371,13.2,206.208
2011-05-04,3.0,10.042,11.084,1.042,23.188,187.5,92.0,67.917,38.0,11.375,,1.227,20.6,16.579,12.9,198.875
2011-05-05,3.416,8.792,9.646,0.854,21.021,189.773,83.0,64.375,51.0,6.273,,1.042,17.3,15.192,12.8,196.045
2011-05-06,3.75,16.584,19.458,2.875,22.938,190.042,87.0,70.625,53.0,7.958,,0.75,19.5,15.933,12.2,198.0
2011-05-07,3.729,18.666,20.708,2.042,24.479,191.708,94.0,87.125,78.0,12.583,,0.75,18.2,16.879,15.3,204.292
2011-05-08,5.03,19.91,23.412,3.502,34.896,208.375,94.0,62.208,27.0,12.75,,2.583,23.6,19.767,14.6,221.125
2011-05-09,4.167,26.48,36.438,9.958,27.13,190.958,83.0,53.5,29.0,9.083,,2.5,22.7,19.175,15.0,200.042
2011-05-10,4.577,25.084,32.022,6.94,44.23,186.708,95.0,77.208,45.0,11.25,,1.955,27.2,21.396,16.3,197.958
2011-05-11,3.608,16.346,17.482,1.136,14.068,189.35,96.0,92.75,86.0,12.15,,0.043,16.1,14.596,13.6,201.5
2011-05-12,3.91,25.583,33.506,7.922,15.131,189.7,95.0,91.826,79.0,15.3,,0.048,16.4,15.256,13.6,205.0
2011-05-13,4.416,22.334,29.646,7.312,32.562,191.583,92.0,76.333,58.0,16.0,,1.417,23.6,19.475,15.8,207.583
2011-05-14,4.822,21.646,25.666,4.021,53.458,189.208,76.0,54.208,34.0,13.5,,2.5,22.5,19.204,15.2,202.708
2011-05-15,3.104,17.666,20.979,3.312,22.375,190.042,73.0,43.792,24.0,10.917,,2.375,23.0,19.446,13.8,200.958
2011-05-16,3.479,16.75,18.312,1.562,32.084,187.083,80.0,66.833,42.0,10.167,,2.682,22.0,19.558,17.7,197.25
2011-05-17,3.582,22.814,25.946,3.132,29.021,188.182,93.0,78.708,61.0,17.318,,2.208,19.8,17.633,15.2,205.5
2011-05-18,4.708,27.152,39.248,12.096,40.062,194.625,89.0,67.5,42.0,18.708,,2.292,23.0,18.725,14.3,213.333
2011-05-19,4.104,27.917,35.292,7.375,40.646,204.958,80.0,64.667,41.0,14.917,,3.542,23.0,19.838,15.9,219.875
2011-05-20,3.184,18.875,21.083,2.208,39.0,186.917,84.0,72.375,61.0,9.458,,3.167,23.3,20.508,18.3,196.375
2011-05-21,2.396,12.625,14.27,1.646,27.792,183.625,93.0,79.458,64.0,11.0,,1.583,23.7,20.875,19.0,194.625
2011-05-22,2.27,7.938,9.438,1.5,17.542,183.25,96.0,83.125,62.0,7.667,,0.909,25.1,19.1,14.6,190.917
2011-05-23,2.688,17.958,22.875,4.916,10.834,187.545,92.0,72.792,48.0,7.818,,0.125,18.0,15.212,12.6,195.364
2011-05-24,3.138,22.269,27.817,5.548,12.542,188.708,96.0,80.75,52.0,10.958,,0.25,17.8,13.796,11.6,199.667
2011-05-25,4.29,25.683,44.494,18.812,22.354,197.286,92.0,65.217,29.0,17.19,,2.652,21.8,17.633,11.7,214.476
2011-05-26,3.666,16.875,21.166,4.292,21.146,191.5,87.0,72.292,53.0,12.875,,1.167,21.5,18.8,15.9,204.375
2011-05-27,3.48,18.729,21.292,2.562,18.604,190.917,94.0,77.042,56.0,11.25,,1.292,20.5,18.296,16.7,202.167
2011-05-28,3.854,24.291,30.494,6.204,14.084,191.167,94.0,91.292,89.0,13.917,,0.0,19.7,18.512,17.1,205.083
2011-05-29,2.875,9.334,10.542,1.208,6.812,187.682,92.0,91.583,89.0,9.955,,0.0,18.7,17.758,16.2,197.636
2011-05-30,2.625,11.542,14.521,2.979,9.75,183.667,91.0,71.458,50.0,7.625,,0.0,21.5,17.046,15.5,191.292
2011-05-31,2.479,9.248,12.522,3.275,16.417,186.542,62.0,53.875,44.0,6.667,,0.0,17.8,14.992,12.0,193.208
2011-06-01,3.042,12.229,16.105,3.875,30.583,189.625,72.0,58.417,44.0,7.958,,0.917,18.7,15.171,11.8,197.583
2011-06-02,4.333,26.938,48.646,21.708,36.354,195.25,93.0,87.458,73.0,16.875,,1.0,16.7,15.612,14.3,212.125
2011-06-03,4.812,29.292,37.458,8.167,33.396,192.208,91.0,71.458,46.0,16.542,,2.455,23.0,19.212,15.2,208.75
2011-06-04,3.125,17.292,20.416,3.125,35.604,189.0,91.0,74.125,51.0,10.909,,2.625,23.9,20.942,18.1,199.909
2011-06-05,3.084,16.084,18.104,2.021,37.312,199.917,93.0,73.875,53.0,11.25,,2.083,24.8,21.488,18.5,211.167
2011-06-06,4.104,22.312,24.834,2.521,37.246,189.375,92.0,67.375,34.0,13.833,,1.833,27.8,22.254,17.5,203.208
2011-06-07,4.044,19.193,21.247,2.054,38.413,187.571,87.0,72.261,58.0,13.333,,4.957,23.0,20.912,19.1,200.905
2011-06-08,2.979,20.292,24.25,3.958,14.083,186.417,92.0,78.0,55.0,12.667,,0.083,23.1,19.512,17.5,199.083
2011-06-09,3.625,19.479,22.958,3.479,20.854,187.667,89.0,70.25,45.0,12.667,,3.818,24.8,21.167,17.3,200.333
2011-06-10,2.666,17.958,21.042,3.083,18.292,183.091,93.0,83.542,68.0,13.636,,4.083,24.3,21.971,20.3,196.727
2011-06-11,3.938,17.875,21.834,3.958,31.708,188.708,97.0,85.042,71.0,16.417,,1.833,24.0,21.562,20.3,205.125
2011-06-12,4.416,16.167,17.584,1.416,34.333,196.417,91.0,71.458,43.0,17.417,,2.458,26.1,22.567,20.1,213.833
2011-06-13,4.144,20.458,23.375,2.916,23.084,190.958,97.0,83.583,71.0,16.208,,2.917,22.6,20.242,18.1,207.167
2011-06-14,3.966,19.634,23.157,3.522,21.666,192.5,91.0,73.917,60.0,19.042,,2.833,23.7,21.129,18.8,211.542
2011-06-15,3.542,13.458,15.395,1.938,12.25,191.583,77.0,61.0,48.0,14.917,,1.682,23.0,20.858,19.4,206.5
2011-06-16,3.833,19.729,23.916,4.188,17.438,194.0,95.0,78.25,64.0,14.727,,2.542,23.1,20.758,18.2,208.727
2011-06-17,2.938,18.668,23.162,4.494,11.438,186.708,95.0,89.708,82.0,11.583,,0.042,20.4,18.979,18.0,198.292
2011-06-18,3.73,17.792,20.666,2.875,18.188,189.125,94.0,81.417,59.0,15.208,,1.542,21.9,19.858,18.3,204.333
2011-06-19,3.886,12.834,14.479,1.646,26.0,192.625,93.0,77.375,53.0,13.417,,1.75,24.6,21.433,18.8,206.042
2011-06-20,2.521,15.857,19.458,3.602,14.188,181.5,92.0,83.75,69.0,8.958,,4.208,24.5,22.542,21.0,190.458
2011-06-21,2.408,19.438,28.362,8.925,15.521,184.75,93.0,80.875,64.0,11.375,,3.136,26.1,23.492,22.3,196.125
2011-06-22,3.792,31.146,47.146,16.0,33.0,187.591,94.0,73.5,52.0,20.636,,5.0,29.3,25.338,21.0,208.227
2011-06-23,2.44,18.638,27.034,8.395,29.292,180.217,92.0,78.417,65.0,11.957,,4.304,28.6,25.592,23.4,192.174
2011-06-24,1.875,10.875,16.375,5.5,23.375,179.625,84.0,72.333,53.0,7.792,,2.083,30.4,26.858,24.2,187.417
2011-06-25,2.908,11.021,14.292,3.271,21.521,183.375,92.0,78.667,59.0,7.958,,2.125,26.2,23.329,20.4,191.333
2011-06-26,3.646,12.416,13.75,1.333,23.916,194.125,97.0,89.583,78.0,11.5,,1.0,21.9,20.592,19.3,205.625
2011-06-27,4.688,26.684,47.618,20.934,42.958,197.458,95.0,90.625,83.0,20.5,,0.545,23.2,21.683,19.8,217.958
2011-06-28,4.876,24.564,42.953,18.388,38.875,192.545,94.0,72.75,50.0,22.136,,2.708,31.5,26.721,22.1,214.682
2011-06-29,3.854,22.333,29.417,7.083,28.73,197.417,87.0,65.083,46.0,21.417,,2.542,33.9,29.217,24.6,218.833
2011-06-30,3.625,33.771,46.75,12.979,29.208,213.458,94.0,72.208,45.0,21.292,,4.708,33.1,28.342,25.4,234.75
2011-07-01,3.618,28.958,43.604,14.646,34.375,203.042,93.0,71.583,46.0,22.708,,4.75,32.7,27.779,24.9,225.75
2011-07-02,3.104,13.312,18.0,4.688,27.479,182.042,89.0,76.208,59.0,12.25,,2.542,29.2,26.317,24.0,194.292
2011-07-03,2.312,8.896,10.792,1.896,25.646,180.75,94.0,77.667,57.0,10.792,,1.909,30.0,26.712,23.9,191.542
2011-07-04,1.75,9.25,12.688,3.438,42.766,177.409,94.0,78.667,64.0,9.818,,2.083,29.4,26.954,25.1,187.227
2011-07-05,3.432,17.332,20.432,3.098,26.979,184.708,88.0,75.375,62.0,15.75,,3.542,29.4,26.758,24.2,200.458
2011-07-06,3.23,16.75,20.062,3.312,27.334,197.292,87.0,66.375,44.0,16.375,,1.75,32.0,27.662,24.9,213.667
2011-07-07,2.04,12.248,16.835,4.587,16.364,181.571,96.0,81.391,66.0,10.0,,2.304,28.1,25.688,24.2,191.571
2011-07-08,2.104,14.354,27.812,13.458,21.396,186.917,91.0,78.417,69.0,13.167,,3.875,28.4,26.683,25.4,200.083
2011-07-09,1.75,12.416,25.875,13.458,21.604,177.917,90.0,78.625,64.0,9.583,,4.318,29.4,27.008,25.3,187.5
2011-07-10,1.562,8.792,16.27,7.48,12.666,175.318,92.0,75.417,51.0,14.318,,2.708,31.4,27.625,24.6,189.636
2011-07-11,2.292,10.354,21.666,11.312,14.666,186.292,92.0,74.333,49.0,11.667,,4.417,32.4,28.233,25.4,197.958
2011-07-12,1.709,8.127,17.39,9.263,14.666,178.042,94.0,77.375,56.0,10.208,,2.833,30.8,27.562,25.4,188.25
2011-07-13,1.782,9.125,16.792,7.667,13.312,177.708,90.0,75.5,57.0,12.5,,3.625,30.2,27.342,25.4,190.208
2011-07-14,1.812,10.417,17.417,7.0,12.375,177.833,89.0,74.25,52.0,9.583,,2.583,30.8,27.508,25.2,187.417
2011-07-15,2.062,15.0,22.084,7.084,13.833,179.542,91.0,71.875,50.0,15.125,,2.864,31.8,28.096,25.2,194.667
2011-07-16,1.812,11.021,16.104,5.083,19.396,176.727,94.0,75.625,45.0,8.818,,4.167,31.6,28.079,25.5,185.545
2011-07-17,1.542,7.984,12.13,4.146,16.896,174.875,92.0,76.083,54.0,7.792,,2.375,32.1,28.45,26.0,182.667
2011-07-18,1.542,7.084,13.146,6.062,27.584,172.875,93.0,82.25,66.0,8.958,,3.375,31.4,28.412,26.7,181.833
2011-07-19,2.284,7.717,14.845,7.128,21.805,178.458,96.0,90.333,82.0,10.208,,1.208,27.8,27.004,25.3,188.667
2011-07-20,2.841,9.286,13.189,3.904,20.931,181.048,96.0,84.333,68.0,9.19,,1.136,29.6,26.025,21.6,190.238
2011-07-21,2.271,11.292,16.854,5.562,13.646,184.273,93.0,70.208,51.0,9.273,,0.091,23.1,20.838,18.5,193.545
