date,PM25_mean,SO2_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean
2011-02-01,7.435,1.116,4.883,12.215,20.403,8.215
2011-02-02,8.375,0.833,4.725,15.097,27.236,12.167
2011-02-03,11.167,0.729,7.558,21.259,37.217,15.975
2011-02-04,12.208,0.958,9.883,15.625,28.5,12.958
2011-02-05,8.708,0.5,7.883,10.236,16.028,5.875
2011-02-06,19.708,1.375,14.15,35.632,73.011,37.422
2011-02-07,19.955,1.611,18.967,28.583,59.833,31.319
2011-02-08,8.292,0.931,8.967,11.278,17.833,6.597
2011-02-09,6.833,0.625,5.85,20.722,35.389,14.694
2011-02-10,7.208,0.944,7.85,19.056,30.833,11.847
2011-02-11,7.542,0.555,7.183,18.153,30.445,12.431
2011-02-12,6.167,0.333,6.108,9.597,14.292,4.653
2011-02-13,7.667,1.056,8.609,21.153,35.639,14.555
2011-02-14,31.042,2.875,25.55,42.181,104.236,62.014
2011-02-15,16.565,1.725,14.522,13.678,20.533,6.885
2011-02-16,11.667,1.111,7.575,19.514,33.319,13.945
2011-02-17,13.625,0.552,7.592,24.105,39.702,15.625
2011-02-18,8.625,0.333,5.792,18.514,29.292,10.82
2011-02-19,11.417,0.319,6.958,21.208,31.528,10.472
2011-02-20,13.583,1.043,11.008,18.798,31.183,12.343
2011-02-21,16.5,1.208,12.308,13.139,18.542,5.445
2011-02-22,16.125,1.069,12.0,27.292,46.319,19.042
2011-02-23,17.333,1.458,16.258,21.32,30.055,8.861
2011-02-24,13.417,0.847,9.633,19.625,30.028,10.528
2011-02-25,7.875,0.097,5.775,9.069,14.181,5.069
2011-02-26,6.25,0.097,4.3,9.708,15.486,5.778
2011-02-27,7.292,0.222,4.817,18.611,30.181,11.611
2011-02-28,12.667,0.639,7.417,27.944,48.931,20.972
2011-03-01,24.583,2.246,20.1,31.82,51.722,19.944
2011-03-02,22.875,1.3,20.929,20.468,32.652,12.2
2011-03-03,13.417,0.174,9.818,14.111,21.667,7.57
2011-03-04,10.708,0.069,7.212,13.692,19.64,6.006
2011-03-05,7.5,0.458,6.585,12.617,17.963,5.334
2011-03-06,8.917,0.347,8.325,19.757,37.202,17.506
2011-03-07,7.667,0.456,6.294,10.486,14.944,4.472
2011-03-08,15.958,0.76,11.15,22.754,35.018,12.394
2011-03-09,17.652,1.181,13.6,19.875,31.417,11.653
2011-03-10,9.083,0.014,8.617,6.986,10.278,3.403
2011-03-11,8.958,0.083,9.017,4.389,6.042,1.708
2011-03-12,8.917,0.708,7.258,12.667,17.667,5.014
2011-03-13,10.083,0.347,8.059,19.361,29.417,10.042
2011-03-14,15.0,1.319,13.775,20.482,29.397,9.015
2011-03-15,24.5,2.292,22.558,16.528,22.75,6.236
2011-03-16,9.5,0.868,9.667,19.38,29.716,10.448
2011-03-17,18.208,0.616,19.117,26.875,40.111,13.195
2011-03-18,14.833,0.097,12.825,14.0,20.139,6.195
2011-03-19,13.625,0.348,10.717,10.521,15.704,5.158
2011-03-20,12.25,0.097,10.533,9.292,13.083,3.792
2011-03-21,13.5,0.458,11.179,10.653,16.292,5.708
2011-03-22,22.25,0.847,23.992,12.708,18.125,5.403
2011-03-23,18.25,0.486,14.517,14.903,21.75,6.82
2011-03-24,10.417,0.028,8.442,14.139,20.055,5.931
2011-03-25,12.542,0.153,9.192,20.083,27.792,7.736
2011-03-26,16.875,0.347,12.867,20.722,30.153,9.5
2011-03-27,19.5,0.5,16.8,20.028,27.444,7.458
2011-03-28,19.864,0.174,15.109,20.572,28.349,7.847
2011-03-29,24.667,0.139,22.05,13.875,18.583,4.681
2011-03-30,24.958,0.255,31.208,8.769,11.086,2.33
2011-03-31,14.5,0.196,12.208,12.875,18.708,5.792
2011-04-01,22.667,0.056,21.592,13.246,16.984,3.738
2011-04-02,11.042,0.042,9.358,5.042,7.917,2.875
2011-04-03,8.958,0.125,5.592,7.958,11.445,3.486
2011-04-04,9.667,0.26,6.633,11.313,16.652,5.339
2011-04-05,19.75,0.597,16.883,14.75,19.5,4.75
2011-04-06,23.458,0.667,19.826,20.847,27.181,6.333
2011-04-07,19.0,0.181,18.465,14.722,19.972,5.25
2011-04-08,19.417,0.722,17.073,16.153,21.444,5.292
2011-04-09,22.917,0.014,19.017,15.056,19.806,4.75
2011-04-10,25.917,0.111,22.392,12.834,17.653,4.819
2011-04-11,27.75,0.32,29.908,11.428,15.861,4.434
2011-04-12,18.833,0.347,16.883,11.278,15.778,4.5
2011-04-13,32.87,0.783,31.762,16.361,21.319,4.958
2011-04-14,49.292,0.861,49.858,20.0,26.07,6.069
2011-04-15,44.375,1.085,46.825,13.557,15.975,2.418
2011-04-16,18.833,0.167,22.009,9.903,12.097,2.194
2011-04-17,12.458,0.333,7.575,9.264,12.361,3.097
2011-04-18,11.625,0.116,8.458,9.855,13.038,3.182
2011-04-19,11.958,0.069,8.45,3.764,5.514,1.75
2011-04-20,10.708,0.181,8.025,9.069,13.167,4.097
2011-04-21,11.125,0.208,7.6,11.361,15.403,4.042
2011-04-22,8.708,0.0,7.2,6.555,9.195,2.639
2011-04-23,8.708,0.0,7.083,6.931,9.695,2.764
2011-04-24,9.5,0.014,8.308,6.986,9.222,2.236
2011-04-25,18.167,0.097,16.867,12.098,15.805,3.708
2011-04-26,27.913,0.25,26.833,9.875,12.625,2.75
2011-04-27,27.875,0.389,27.933,11.389,15.472,4.084
2011-04-28,8.174,0.101,8.013,8.792,13.306,4.514
2011-04-29,11.167,0.014,7.941,6.702,9.477,2.775
2011-04-30,22.167,0.361,21.967,9.458,12.0,2.542
2011-05-01,14.333,0.0,14.602,7.528,9.056,1.528
2011-05-02,8.875,0.174,7.792,4.33,6.8,2.469
2011-05-03,12.458,0.195,10.108,6.528,8.667,2.139
2011-05-04,8.167,0.0,6.183,5.139,7.32,2.18
2011-05-05,12.208,0.07,7.95,7.903,11.097,3.194
2011-05-06,13.625,0.181,9.992,6.333,9.361,3.028
2011-05-07,16.25,0.708,15.758,11.236,15.778,4.542
2011-05-08,8.125,0.181,5.875,6.708,8.861,2.153
2011-05-09,16.917,0.333,14.035,11.547,14.873,3.325
2011-05-10,11.75,0.486,8.667,10.139,13.486,3.347
2011-05-11,12.304,0.333,8.713,11.319,14.111,2.792
2011-05-12,12.792,0.195,9.308,8.847,13.028,4.181
2011-05-13,6.708,0.0,6.191,5.251,6.992,1.74
2011-05-14,6.042,0.153,4.225,9.347,13.042,3.695
2011-05-15,7.958,0.208,5.858,7.056,9.556,2.5
2011-05-16,14.0,0.13,11.225,10.732,15.71,4.977
2011-05-17,11.75,0.125,10.059,10.736,15.042,4.306
2011-05-18,17.083,0.347,13.266,12.917,18.305,5.389
2011-05-19,26.667,0.347,24.783,13.18,17.472,4.292
2011-05-20,41.667,0.583,41.258,15.25,20.028,4.778
2011-05-21,17.458,0.305,16.735,16.0,21.222,5.222
2011-05-22,11.542,0.139,8.608,9.931,13.375,3.444
2011-05-23,15.583,0.333,11.8,9.847,14.172,4.325
2011-05-24,15.583,0.028,12.7,5.708,8.181,2.472
2011-05-25,15.87,0.362,12.058,10.167,14.806,4.639
2011-05-26,16.958,0.305,13.117,13.014,18.722,5.708
2011-05-27,18.5,0.574,14.55,12.505,17.262,4.757
2011-05-28,21.042,1.958,20.125,18.847,24.667,5.819
2011-05-29,9.208,0.069,7.75,7.486,9.722,2.236
2011-05-30,12.13,0.0,6.475,4.11,6.82,2.71
2011-05-31,23.5,0.333,18.35,4.972,7.861,2.889
2011-06-01,31.167,0.708,23.608,4.583,7.736,3.153
2011-06-02,24.083,0.195,21.366,7.972,11.944,3.972
2011-06-03,18.917,0.889,14.942,13.681,20.639,6.958
2011-06-04,25.792,0.194,23.017,8.597,11.75,3.153
2011-06-05,28.875,0.361,22.425,11.18,14.736,3.555
2011-06-06,26.417,0.278,22.042,10.895,15.336,4.441
2011-06-07,30.833,0.708,25.35,13.125,17.139,4.014
2011-06-08,28.826,0.754,22.158,16.666,21.583,4.917
2011-06-09,33.5,1.194,30.641,16.264,22.25,5.986
2011-06-10,38.167,0.432,36.754,11.0,14.282,3.283
2011-06-11,42.625,1.139,38.367,11.819,15.111,3.292
2011-06-12,18.917,0.333,14.1,9.083,12.764,3.68
2011-06-13,18.167,0.431,12.567,8.788,12.249,3.461
2011-06-14,10.625,0.472,7.683,9.847,14.903,5.056
2011-06-15,10.25,0.417,5.504,10.07,16.375,6.305
2011-06-16,10.375,0.445,5.733,9.972,15.903,5.931
2011-06-17,15.458,0.5,11.708,13.25,18.445,5.194
2011-06-18,18.375,0.639,12.483,14.805,24.028,9.222
2011-06-19,17.958,0.208,13.217,8.792,12.819,4.028
2011-06-20,20.25,0.475,15.55,11.064,14.057,2.992
2011-06-21,20.583,1.195,17.142,13.889,17.959,4.069
2011-06-22,25.609,0.188,21.23,11.922,17.677,5.755
2011-06-23,28.042,0.167,24.702,9.456,12.169,2.713
2011-06-24,8.708,0.14,6.025,8.832,12.117,3.286
2011-06-25,9.542,0.097,6.375,6.778,12.889,6.111
2011-06-26,9.083,0.167,5.533,5.736,10.319,4.583
2011-06-27,10.667,0.172,6.117,8.446,13.468,5.022
2011-06-28,23.125,0.556,20.767,12.055,18.709,6.653
2011-06-29,32.125,0.403,28.208,11.361,14.75,3.389
2011-06-30,30.75,0.486,26.758,14.208,19.375,5.167
2011-07-01,21.045,0.514,18.342,12.028,15.611,3.583
2011-07-02,18.833,0.417,15.183,10.667,15.403,4.736
2011-07-03,16.375,0.458,12.283,9.639,12.597,2.958
2011-07-04,13.167,0.222,10.425,8.385,12.765,4.381
2011-07-05,14.625,0.194,9.575,6.945,9.819,2.875
2011-07-06,20.739,0.695,14.683,11.917,16.208,4.291
2011-07-07,19.833,0.778,15.03,12.417,17.222,4.806
2011-07-08,18.708,0.264,13.25,11.628,17.84,6.212
2011-07-09,17.833,0.555,12.642,11.0,16.208,5.208
2011-07-10,13.75,0.361,10.15,8.083,11.426,3.343
2011-07-11,16.391,0.647,11.492,11.32,16.298,4.978
2011-07-12,20.417,1.5,16.592,13.333,19.695,6.361
2011-07-13,23.833,0.722,22.883,12.097,17.458,5.361
2011-07-14,22.217,1.07,18.675,15.306,22.972,7.667
2011-07-15,13.522,0.125,11.1,6.944,10.5,3.555
2011-07-16,11.5,0.264,8.417,11.056,19.389,8.333
2011-07-17,14.625,0.903,11.258,10.472,21.542,11.069
2011-07-18,9.542,0.361,5.825,7.451,13.96,6.509
2011-07-19,15.083,0.403,8.7,5.792,12.792,7.0
2011-07-20,13.913,0.0,10.302,3.403,7.736,4.333
2011-07-21,19.25,0.111,14.242,3.875,9.542,5.667
2011-07-22,12.708,0.056,8.633,3.836,9.062,5.226
2011-07-23,9.792,0.028,7.867,4.028,8.597,4.569
2011-07-24,8.583,0.403,4.341,5.194,9.181,3.986
2011-07-25,15.417,1.292,11.642,11.143,21.321,10.178
2011-07-26,16.625,1.542,11.533,12.0,19.097,7.097
2011-07-27,24.125,2.125,22.567,13.805,21.361,7.556
2011-07-28,25.875,0.611,23.085,7.014,10.25,3.236
2011-07-29,21.5,0.555,17.275,8.875,12.805,3.931
2011-07-30,20.0,0.222,15.55,5.722,9.5,3.778
2011-07-31,11.583,0.111,7.642,3.278,6.125,2.847
2011-08-01,13.833,0.097,7.825,4.428,8.002,3.574
2011-08-02,12.739,0.014,8.158,4.125,7.333,3.208
2011-08-03,13.667,0.083,7.7,5.153,9.042,3.889
2011-08-04,11.542,0.111,7.533,4.944,8.584,3.639
2011-08-05,14.875,1.396,10.275,10.835,19.791,8.957
2011-08-06,20.75,2.333,18.967,13.319,23.07,9.75
2011-08-07,20.25,0.861,18.617,8.945,13.667,4.722
2011-08-08,22.542,1.333,21.783,10.083,15.723,5.64
2011-08-09,25.958,1.861,26.425,13.153,19.805,6.653
2011-08-10,19.542,0.611,23.641,8.875,14.25,5.375
2011-08-11,20.25,0.625,21.425,8.806,13.792,4.986
2011-08-12,16.792,0.736,13.883,9.681,15.486,5.806
2011-08-13,16.958,0.945,13.133,9.681,13.944,4.264
2011-08-14,19.0,0.972,22.242,8.945,12.528,3.584
2011-08-15,24.958,0.569,30.683,10.782,15.064,4.283
2011-08-16,27.125,0.597,33.85,10.167,14.528,4.361
2011-08-17,10.913,0.319,9.775,9.583,13.944,4.361
2011-08-18,9.792,0.319,7.109,10.097,16.208,6.111
2011-08-19,12.958,0.45,8.566,8.305,14.493,6.188
2011-08-20,16.083,0.472,12.233,10.319,16.083,5.764
2011-08-21,11.625,0.139,9.575,5.87,8.977,3.107
2011-08-22,9.042,0.145,6.966,7.25,13.169,5.918
2011-08-23,8.042,0.139,3.575,8.854,13.625,4.771
2011-08-24,9.375,0.208,4.156,7.771,14.958,7.188
2011-08-25,9.833,0.375,5.45,14.042,25.938,11.895
2011-08-26,10.042,0.833,6.05,11.958,21.938,9.979
2011-08-27,11.833,0.653,7.892,9.916,17.792,7.875
2011-08-28,15.292,1.306,10.283,9.729,15.875,6.146
2011-08-29,13.833,0.764,10.609,9.25,16.792,7.542
2011-08-30,14.375,0.25,11.767,6.667,12.292,5.625
2011-08-31,16.708,0.708,13.967,9.208,15.855,6.646
2011-09-01,16.5,1.639,14.708,11.334,21.0,9.667
2011-09-02,15.591,0.908,12.467,9.236,21.204,11.968
2011-09-03,11.042,0.125,8.025,7.875,14.084,6.208
2011-09-04,12.458,0.083,13.458,3.584,7.0,3.416
2011-09-05,12.833,0.304,18.977,2.47,4.487,2.018
2011-09-06,10.583,0.478,7.857,11.606,19.758,8.153
2011-09-07,11.048,0.54,8.54,7.987,12.695,4.708
2011-09-08,14.333,0.76,10.599,12.121,18.228,6.107
2011-09-09,24.13,1.111,19.522,22.179,32.347,10.167
2011-09-10,13.917,0.542,8.781,12.458,18.597,6.139
2011-09-11,9.458,0.319,5.594,7.653,11.431,3.778
2011-09-12,16.333,0.472,10.49,17.305,30.472,13.167
2011-09-13,14.583,0.264,7.573,14.347,21.028,6.681
2011-09-14,16.0,0.638,8.747,12.644,20.295,7.651
2011-09-15,17.25,0.375,11.517,9.403,15.264,5.861
2011-09-16,24.667,0.597,17.867,10.505,16.689,6.184
2011-09-17,14.5,0.458,11.625,11.097,16.639,5.542
2011-09-18,9.292,0.139,5.792,7.764,13.903,6.139
2011-09-19,6.417,0.014,3.483,7.49,14.7,7.211
2011-09-20,7.708,0.203,4.658,11.611,25.055,13.445
2011-09-21,5.875,0.056,4.474,8.5,14.68,6.181
2011-09-22,7.125,0.056,4.242,10.486,18.403,7.916
2011-09-23,7.458,0.167,4.025,9.625,15.833,6.208
2011-09-24,7.875,0.292,4.733,12.236,20.18,7.944
2011-09-25,7.542,0.125,8.5,7.597,13.653,6.055
2011-09-26,11.5,0.181,9.071,9.528,15.181,5.653
2011-09-27,15.125,0.435,10.717,13.986,22.736,8.75
2011-09-28,19.81,0.348,12.011,11.444,17.394,5.945
2011-09-29,14.667,0.167,10.508,8.636,13.197,4.549
2011-09-30,13.292,0.319,10.442,12.833,19.204,6.371
2011-10-01,6.042,0.306,4.633,8.444,13.958,5.569
2011-10-02,6.583,0.292,4.567,9.125,15.111,6.028
2011-10-03,9.833,0.362,6.904,13.112,23.659,10.591
2011-10-04,14.174,0.458,9.742,17.556,32.514,15.056
2011-10-05,12.625,0.25,7.867,14.43,23.111,8.819
2011-10-06,9.542,0.32,7.1,12.306,16.986,4.639
2011-10-07,15.083,0.333,10.833,13.903,22.083,8.236
2011-10-08,29.167,0.736,24.359,17.32,26.875,9.611
2011-10-09,29.375,0.403,23.933,15.917,24.361,8.458
2011-10-10,32.958,0.792,28.5,13.931,17.833,3.931
2011-10-11,18.783,0.679,14.245,15.574,29.856,14.38
2011-10-12,25.043,0.455,18.707,15.788,25.476,9.71
2011-10-13,28.083,0.639,24.439,19.861,34.069,14.306
2011-10-14,29.458,1.674,22.836,17.933,29.06,11.154
2011-10-15,18.625,0.528,16.867,19.472,27.986,8.583
2011-10-16,16.958,0.333,14.175,8.167,10.555,2.389
2011-10-17,12.875,0.141,10.944,7.119,11.897,4.736
2011-10-18,10.625,0.111,6.1,6.639,11.278,4.611
2011-10-19,17.417,0.875,15.908,19.667,38.708,19.194
2011-10-20,16.0,0.445,12.25,15.5,27.5,12.097
2011-10-21,13.333,0.181,9.883,12.709,22.236,9.625
2011-10-22,9.167,0.069,6.025,7.861,10.444,2.514
2011-10-23,10.083,0.361,6.75,9.778,14.875,5.097
2011-10-24,10.75,0.278,5.075,9.014,14.736,5.695
2011-10-25,11.792,0.167,8.867,8.833,13.167,4.375
2011-10-26,13.261,0.362,8.166,10.484,18.093,7.637
2011-10-27,12.833,0.333,8.875,16.444,32.528,16.069
2011-10-28,19.917,0.46,14.3,18.73,35.196,16.478
2011-10-29,17.833,0.583,13.483,19.778,34.834,15.083
2011-10-30,14.375,0.069,10.067,13.75,19.153,5.431
2011-10-31,17.0,0.377,13.189,14.748,26.472,11.793
2011-11-01,21.25,1.153,15.692,22.805,43.0,20.264
2011-11-02,20.864,1.014,17.478,20.208,36.931,16.833
2011-11-03,16.833,0.514,13.633,15.667,25.542,9.889
2011-11-04,13.458,0.611,10.375,20.514,39.097,18.57
2011-11-05,20.25,1.236,19.075,26.722,48.792,22.069
2011-11-06,16.042,0.056,12.867,14.764,20.833,6.125
2011-11-07,8.667,0.208,8.392,11.306,19.333,7.958
2011-11-08,9.667,0.667,7.35,18.389,33.125,14.722
2011-11-09,12.261,0.478,9.087,19.076,38.514,19.452
2011-11-10,14.917,0.653,11.925,18.542,35.514,16.986
2011-11-11,20.25,0.995,16.165,23.255,47.823,24.554
2011-11-12,17.583,0.75,12.933,22.278,46.375,24.181
2011-11-13,21.583,1.514,19.316,19.042,32.681,13.68
2011-11-14,18.5,0.681,16.211,13.758,22.927,9.297
2011-11-15,9.292,0.167,7.508,10.084,15.861,5.833
2011-11-16,8.292,0.555,6.042,13.917,22.431,8.597
2011-11-17,13.833,0.444,8.883,17.139,36.736,19.597
2011-11-18,13.083,0.93,9.958,23.028,45.222,22.125
2011-11-19,10.833,0.5,10.633,15.209,22.764,7.569
2011-11-20,8.292,0.361,6.458,9.208,13.291,4.181
2011-11-21,6.458,0.62,5.624,10.472,15.958,5.583
2011-11-22,8.583,1.167,6.925,16.194,24.945,8.806
2011-11-23,9.542,0.486,7.092,15.134,27.859,12.653
2011-11-24,9.783,0.507,7.742,7.153,11.833,4.625
2011-11-25,8.125,0.808,6.117,8.822,13.629,4.847
2011-11-26,8.792,1.194,5.65,11.181,16.791,5.597
2011-11-27,14.167,1.0,9.392,23.57,42.333,18.806
2011-11-28,23.875,2.585,17.692,26.625,56.504,30.006
2011-11-29,16.833,0.639,14.183,16.709,27.167,10.486
2011-11-30,7.833,0.153,6.8,8.847,15.847,7.0
2011-12-01,5.958,0.528,5.8,11.097,18.972,7.986
2011-12-02,6.958,0.417,4.533,11.597,19.847,8.264
2011-12-03,4.625,0.0,3.925,5.181,7.959,2.764
2011-12-04,5.458,0.056,3.575,7.055,10.472,3.347
2011-12-05,15.042,0.903,10.467,11.389,16.875,5.57
2011-12-06,13.136,0.812,9.473,19.014,34.791,15.847
2011-12-07,11.292,0.75,8.383,15.519,26.315,10.698
2011-12-08,10.625,0.764,8.095,19.375,33.805,14.459
2011-12-09,7.708,0.687,5.725,23.725,48.808,25.141
2011-12-10,5.667,0.361,4.917,12.125,18.486,6.458
2011-12-11,8.542,0.139,6.4,11.083,15.583,4.611
2011-12-12,10.167,1.193,7.992,15.495,26.486,11.092
2011-12-13,10.083,1.014,7.758,14.195,24.972,10.847
2011-12-14,10.75,1.222,7.738,22.406,45.71,23.333
2011-12-15,17.875,2.348,15.121,15.006,21.942,6.983
2011-12-16,7.0,0.972,6.775,15.973,28.483,12.648
2011-12-17,6.833,0.528,5.392,15.945,24.5,8.639
2011-12-18,9.208,0.389,6.95,12.333,18.417,6.25
2011-12-19,10.417,1.278,9.258,21.417,37.208,15.778
2011-12-20,12.667,1.569,8.567,27.166,56.625,29.597
2011-12-21,13.261,1.29,7.967,29.601,66.658,37.156
2011-12-22,7.5,0.805,5.158,15.389,24.403,8.972
2011-12-23,11.292,0.939,8.467,6.798,10.373,3.574
2011-12-24,6.542,0.764,6.283,8.778,13.819,5.028
2011-12-25,7.875,0.639,5.583,9.833,15.292,5.583
2011-12-26,7.667,1.209,5.762,20.133,41.108,21.073
2011-12-27,8.167,0.778,5.008,16.222,25.972,9.778
2011-12-28,11.583,0.709,7.692,21.806,40.542,18.764
2011-12-29,14.667,1.028,10.425,16.333,25.347,9.083
2011-12-30,13.0,0.931,9.35,16.028,26.681,10.666
2011-12-31,8.167,0.43,6.658,19.792,36.125,16.445
2012-01-01,3.375,1.056,6.442,6.805,8.861,2.208
2012-01-02,6.417,1.56,7.617,9.549,13.122,3.644
2012-01-03,6.875,1.347,7.992,10.889,15.306,4.417
2012-01-04,2.958,1.181,6.375,16.583,25.681,9.209
2012-01-05,6.417,1.055,9.075,29.042,50.347,21.486
2012-01-06,6.5,1.111,7.525,8.975,12.139,3.136
2012-01-07,5.636,1.272,7.55,14.867,21.219,6.395
2012-01-08,3.75,0.986,7.175,22.208,32.528,10.333
2012-01-09,7.333,0.917,8.642,24.056,39.431,15.5
2012-01-10,9.167,0.903,7.842,21.236,33.181,11.861
2012-01-11,9.75,1.195,7.508,22.361,32.486,10.181
2012-01-12,22.708,1.472,19.683,35.361,71.0,35.681
2012-01-13,12.583,2.819,15.4,17.194,23.375,6.292
2012-01-14,9.625,1.056,8.575,30.903,53.167,22.278
2012-01-15,3.292,0.889,6.508,16.944,27.0,10.056
2012-01-16,5.333,1.351,6.35,23.014,39.903,16.902
2012-01-17,3.667,0.958,5.692,22.945,34.944,12.069
2012-01-18,5.167,0.861,5.592,24.306,39.347,15.014
2012-01-19,3.0,0.695,7.058,13.333,18.069,4.806
2012-01-20,5.25,0.694,5.575,16.534,26.897,10.419
2012-01-21,8.417,0.923,7.958,28.046,55.577,27.573
2012-01-22,11.708,1.361,11.617,31.084,63.361,32.389
2012-01-23,11.636,1.0,9.958,35.305,75.986,40.819
2012-01-24,8.625,1.208,8.55,20.708,35.056,14.361
2012-01-25,13.167,1.333,11.008,8.764,12.097,3.389
2012-01-26,10.458,1.472,9.167,11.542,17.32,5.847
2012-01-27,0.958,0.403,4.133,5.875,9.32,3.375
2012-01-28,5.333,1.056,5.8,23.097,36.181,13.139
2012-01-29,5.125,0.945,7.058,18.625,31.097,12.514
2012-01-30,5.087,0.827,5.109,10.588,16.169,5.764
2012-01-31,7.792,1.57,6.408,24.889,48.597,23.764
2012-02-01,23.875,1.653,18.483,25.444,43.486,18.014
2012-02-02,14.083,1.167,16.958,10.403,14.139,3.778
2012-02-03,6.542,0.667,6.667,5.523,7.924,2.514
2012-02-04,8.042,1.47,7.958,13.325,20.724,7.442
2012-02-05,10.125,1.25,10.383,12.722,17.945,5.236
2012-02-06,12.727,1.165,10.667,26.583,45.792,19.292
2012-02-07,10.583,0.847,9.108,10.611,14.889,4.319
2012-02-08,6.5,0.805,7.167,9.179,14.405,5.354
2012-02-09,8.542,0.903,7.417,16.403,24.153,7.792
2012-02-10,10.75,0.861,9.033,19.861,26.709,7.042
2012-02-11,11.375,0.778,6.508,19.903,29.556,9.736
2012-02-12,11.125,1.083,9.275,26.403,42.083,15.875
2012-02-13,11.708,1.42,10.689,18.32,25.693,7.543
2012-02-14,20.667,1.695,16.425,24.028,35.417,11.417
2012-02-15,22.833,2.014,19.642,22.472,34.778,12.306
2012-02-16,12.208,1.25,11.075,13.167,18.736,5.625
2012-02-17,10.708,1.153,9.233,17.742,24.469,6.74
2012-02-18,9.708,1.018,8.388,19.418,26.457,7.198
2012-02-19,15.417,1.649,12.637,15.904,23.948,8.086
2012-02-20,12.609,1.232,10.192,11.625,17.194,5.486
2012-02-21,12.083,1.256,11.142,15.722,24.556,8.903
2012-02-22,11.75,1.074,9.809,19.295,28.061,8.792
2012-02-23,13.609,0.775,11.821,22.097,30.195,8.25
2012-02-24,7.875,0.57,8.492,12.575,16.998,4.529
2012-02-25,8.542,1.084,6.983,22.458,36.389,14.083
2012-02-26,8.292,0.875,8.158,24.667,39.347,14.653
2012-02-27,7.75,1.181,8.1,17.207,26.011,8.875
2012-02-28,23.167,2.236,19.483,17.028,23.583,6.569
2012-02-29,,,,,,
2012-03-01,10.75,1.083,8.525,13.486,17.111,3.611
2012-03-02,5.25,0.555,5.642,4.986,7.903,2.945
2012-03-03,6.292,0.694,6.067,10.748,14.75,4.059
2012-03-04,12.417,1.401,8.608,26.536,40.919,14.375
2012-03-05,15.125,1.875,12.517,26.806,37.514,10.778
2012-03-06,23.273,1.927,21.965,25.667,35.917,10.264
2012-03-07,27.875,2.361,30.192,25.111,40.111,15.083
2012-03-08,34.625,2.486,35.267,20.778,32.264,11.5
2012-03-09,8.5,1.167,6.442,8.334,12.458,4.167
2012-03-10,12.417,1.208,12.542,5.542,7.5,2.028
2012-03-11,9.625,1.75,8.492,10.458,16.264,5.75
2012-03-12,12.75,1.278,13.534,11.806,16.611,4.889
2012-03-13,10.75,1.702,8.575,24.363,34.749,10.44
2012-03-14,11.708,1.625,9.758,7.514,11.444,3.875
2012-03-15,12.5,1.153,11.233,9.681,13.736,4.042
2012-03-16,16.417,1.5,18.383,12.083,15.861,3.764
2012-03-17,13.958,1.458,15.408,10.281,13.42,3.081
2012-03-18,20.75,2.36,24.275,31.1,48.492,17.364
2012-03-19,15.417,1.75,13.767,16.166,21.097,4.889
2012-03-20,7.25,0.875,7.6,12.792,17.819,5.083
2012-03-21,7.955,0.957,7.6,8.0,12.181,4.222
2012-03-22,12.625,1.111,15.508,13.847,19.639,5.75
2012-03-23,8.792,0.667,9.775,7.125,10.556,3.403
2012-03-24,11.042,0.555,10.283,12.764,17.569,4.847
