date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2011-06-14,22.569,28.222,5.653,,5.458,68.08,6.583
2011-06-15,31.493,54.188,22.696,,5.587,52.861,7.522
2011-06-16,26.542,46.931,20.389,,3.896,9.667,6.083
2011-06-17,27.861,42.292,14.431,,4.312,25.097,6.375
2011-06-18,26.514,44.5,17.986,,4.312,28.597,7.083
2011-06-19,22.514,33.111,10.597,,3.916,16.319,5.917
2011-06-20,19.889,35.694,15.805,,4.25,13.375,4.583
2011-06-21,18.014,30.708,12.695,,4.549,21.503,3.833
2011-06-22,9.106,23.801,14.694,,1.215,21.167,2.875
2011-06-23,6.792,14.945,8.153,,1.0,19.264,2.208
2011-06-24,11.917,26.778,14.861,,1.396,25.319,3.292
2011-06-25,15.917,42.833,26.917,,1.625,31.722,5.917
2011-06-26,7.333,22.028,14.694,,1.083,21.125,4.583
2011-06-27,13.236,23.056,9.819,,1.022,13.5,4.542
2011-06-28,15.847,35.195,19.347,,1.75,29.556,4.917
2011-06-29,12.594,26.058,13.464,,2.348,27.695,3.174
2011-06-30,13.944,30.125,16.18,,2.354,24.861,4.417
2011-07-01,9.889,19.069,9.181,,1.646,34.236,3.333
2011-07-02,9.958,15.5,5.541,,1.562,40.653,3.0
2011-07-03,5.667,9.111,3.444,,1.438,42.986,1.958
2011-07-04,9.4,15.395,5.995,,1.52,28.306,2.75
2011-07-05,14.055,18.736,4.68,,2.042,29.861,3.75
2011-07-06,19.57,33.43,13.861,,1.583,23.5,4.583
2011-07-07,6.417,13.32,6.903,,1.417,11.445,2.167
2011-07-08,8.416,19.028,10.611,,1.729,20.14,2.667
2011-07-09,14.819,36.93,22.111,,2.396,24.028,3.833
2011-07-10,15.417,34.583,19.167,,2.042,21.542,4.458
2011-07-11,18.889,42.097,23.208,,1.938,21.472,4.667
2011-07-12,18.986,42.75,23.764,,2.188,17.222,5.167
2011-07-13,14.507,40.681,26.174,,2.0,16.583,5.565
2011-07-14,18.319,47.75,29.43,,2.292,18.486,5.958
2011-07-15,23.806,50.403,26.597,,2.708,28.778,5.75
2011-07-16,22.917,42.18,19.264,,3.062,31.069,5.042
2011-07-17,16.972,30.931,13.958,,2.188,21.181,4.75
2011-07-18,15.875,33.819,17.944,,2.584,20.389,5.25
2011-07-19,8.931,17.25,8.32,,2.375,23.236,2.375
2011-07-20,6.292,11.5,5.208,,2.021,38.847,1.875
2011-07-21,8.847,15.333,6.486,,2.021,20.375,2.542
2011-07-22,13.375,22.736,9.361,,2.188,24.667,3.708
2011-07-23,12.708,19.986,7.278,,2.292,21.764,2.917
2011-07-24,20.833,27.75,6.917,,3.229,23.056,4.417
2011-07-25,23.43,40.139,16.708,,2.666,50.944,5.708
2011-07-26,19.764,44.264,24.5,,2.396,34.028,6.0
2011-07-27,9.174,16.507,7.333,,2.478,15.153,2.652
2011-07-28,11.528,23.82,12.292,,3.146,19.611,2.75
2011-07-29,11.083,22.986,11.903,,2.208,15.486,3.333
2011-07-30,10.25,20.125,9.875,,2.042,20.639,2.958
2011-07-31,11.514,18.069,6.555,,2.083,30.069,2.958
2011-08-01,23.198,41.289,18.091,,2.194,45.453,5.708
2011-08-02,24.161,47.022,22.861,,1.216,57.917,5.625
2011-08-03,15.167,42.75,27.583,,1.5,20.111,4.833
2011-08-04,16.542,41.903,25.361,,1.5,17.514,5.125
2011-08-05,22.333,46.597,24.264,,1.979,22.556,5.625
2011-08-06,10.694,34.791,24.097,,1.188,16.583,5.167
2011-08-07,7.57,19.986,12.417,,1.438,14.097,3.375
2011-08-08,10.265,23.621,13.357,,1.792,18.392,3.0
2011-08-09,15.708,30.875,15.167,,1.312,31.625,4.167
2011-08-10,11.101,23.174,12.072,,1.413,18.166,3.0
2011-08-11,8.347,18.222,9.875,,1.312,14.153,2.0
2011-08-12,10.542,22.569,12.028,,1.375,15.958,2.542
2011-08-13,9.292,16.597,7.306,,1.271,13.875,2.583
2011-08-14,5.875,9.875,4.0,,1.042,10.792,1.958
2011-08-15,6.972,10.361,3.389,,1.0,20.625,1.917
2011-08-16,7.903,13.347,5.444,,1.062,26.542,2.167
2011-08-17,8.569,14.68,6.111,,0.979,31.972,2.542
2011-08-18,11.056,16.028,4.972,,1.0,25.889,2.875
2011-08-19,13.361,20.444,7.083,,1.021,17.584,3.667
2011-08-20,14.347,19.347,5.0,,1.021,14.417,3.333
2011-08-21,12.333,17.181,4.847,,1.062,13.653,3.25
2011-08-22,16.389,24.18,7.792,,1.083,15.264,3.917
2011-08-23,17.556,41.82,24.264,,1.23,20.167,6.0
2011-08-24,15.768,31.594,15.826,,2.0,26.055,3.913
2011-08-25,20.93,46.097,25.167,,2.062,37.041,5.75
2011-08-26,19.306,40.805,21.5,,2.104,20.084,4.667
2011-08-27,16.972,35.472,18.5,,1.958,27.736,5.417
2011-08-28,16.819,28.222,11.403,,2.292,26.903,5.208
2011-08-29,21.097,40.097,19.0,,2.542,31.139,4.542
2011-08-30,23.014,34.319,11.306,,3.5,39.722,4.375
2011-08-31,22.986,31.667,8.681,,2.938,49.986,4.875
2011-09-01,20.0,31.111,11.111,,2.292,38.458,4.458
2011-09-02,10.139,18.069,7.931,,2.604,17.292,1.833
2011-09-03,5.18,8.833,3.653,,1.916,22.555,1.875
2011-09-04,6.792,10.292,3.5,,1.958,25.055,2.667
2011-09-05,12.264,17.125,4.861,,2.146,15.222,2.792
2011-09-06,19.986,29.68,9.694,,2.604,15.834,3.792
2011-09-07,19.623,28.261,8.638,,2.13,20.903,3.957
2011-09-08,21.528,30.667,9.139,,3.854,34.056,4.292
2011-09-09,23.528,45.25,21.722,,2.916,40.333,5.458
2011-09-10,16.028,38.319,22.292,,2.25,23.5,5.083
2011-09-11,12.167,25.764,13.597,,2.312,14.208,4.125
2011-09-12,18.195,38.667,20.472,,2.688,21.267,4.792
2011-09-13,16.852,27.963,11.111,,3.0,18.847,4.0
2011-09-14,26.819,53.799,26.98,,2.875,22.264,4.417
2011-09-15,19.055,41.333,22.278,,3.188,21.834,4.958
2011-09-16,14.697,43.655,28.958,,2.417,15.236,5.75
2011-09-17,14.709,38.903,24.194,,2.083,12.959,5.25
2011-09-18,9.514,20.43,10.917,,1.854,18.764,3.042
2011-09-19,9.5,13.236,3.736,,2.104,6.764,2.542
2011-09-20,13.375,16.889,3.514,,1.958,7.555,2.917
2011-09-21,7.029,9.275,2.246,,2.109,9.569,1.304
2011-09-22,12.667,17.292,4.625,,2.396,9.292,2.208
2011-09-23,17.444,22.833,5.389,,2.542,13.431,3.625
2011-09-24,23.236,33.694,10.458,,2.938,15.208,5.042
2011-09-25,21.361,29.958,8.597,,3.321,16.847,4.292
2011-09-26,30.416,47.639,17.222,,4.551,25.0,5.667
2011-09-27,28.333,44.181,15.847,,3.396,26.222,5.625
2011-09-28,27.222,38.93,11.708,,3.292,29.319,5.042
2011-09-29,19.833,29.417,9.583,,3.916,31.555,4.125
2011-09-30,16.597,23.889,7.292,,2.354,23.208,4.458
2011-10-01,17.361,24.847,7.486,,2.896,15.444,3.417
2011-10-02,10.917,13.194,2.278,,3.021,8.389,2.417
2011-10-03,16.82,28.449,11.63,,2.949,14.361,3.375
2011-10-04,25.361,49.042,23.681,,3.375,13.736,5.625
2011-10-05,26.406,51.58,25.174,,2.435,16.153,6.261
2011-10-06,19.514,26.958,7.444,,3.042,26.958,4.042
2011-10-07,22.972,30.834,7.861,,3.562,41.0,5.75
2011-10-08,28.264,39.486,11.222,,4.146,26.222,7.0
2011-10-09,24.292,31.986,7.695,,4.938,47.82,6.833
2011-10-10,23.875,33.042,9.167,,4.416,44.583,5.708
2011-10-11,24.625,36.805,12.18,,3.392,44.541,5.833
2011-10-12,31.625,42.097,10.472,,4.062,54.361,6.875
2011-10-13,29.167,42.375,13.208,,4.916,57.57,6.792
2011-10-14,22.917,48.444,25.528,,3.458,36.042,6.625
2011-10-15,14.014,19.847,5.833,,2.854,15.097,4.208
2011-10-16,10.417,13.417,3.0,,4.708,28.5,3.042
2011-10-17,19.972,27.569,7.597,,3.75,24.06,4.292
2011-10-18,23.153,33.986,10.833,,3.604,17.931,4.375
2011-10-19,27.768,46.449,18.681,,3.413,19.209,6.478
2011-10-20,31.778,52.875,21.097,,3.521,30.792,7.619
2011-10-21,32.583,59.264,26.681,,4.61,34.278,8.958
2011-10-22,12.236,20.389,8.153,,3.083,7.014,3.625
2011-10-23,13.167,18.236,5.069,,3.333,11.028,2.667
2011-10-24,19.125,31.458,12.333,,3.383,16.514,4.13
2011-10-25,11.834,16.847,5.014,,3.417,13.25,2.792
2011-10-26,20.653,39.347,18.694,,3.833,14.222,4.667
2011-10-27,27.234,54.067,26.833,,3.464,18.417,6.25
2011-10-28,29.667,49.611,19.944,,4.542,31.903,6.083
2011-10-29,27.139,46.931,19.792,,3.792,38.528,7.083
2011-10-30,22.649,33.967,11.318,,3.066,19.234,5.167
2011-10-31,21.056,34.611,13.556,,4.358,14.903,4.042
2011-11-01,26.722,45.819,19.097,,4.479,19.431,4.292
2011-11-02,27.001,48.698,21.697,,4.087,20.069,5.478
2011-11-03,24.917,40.583,15.667,,4.938,24.153,5.375
2011-11-04,27.583,54.389,26.805,,5.32,36.722,6.375
2011-11-05,18.417,32.833,14.417,,3.812,16.278,4.375
2011-11-06,16.778,25.097,8.319,,3.438,8.681,4.292
2011-11-07,19.279,28.261,8.981,,3.716,15.597,4.75
2011-11-08,26.874,56.741,29.867,,4.121,13.209,7.417
2011-11-09,27.958,60.459,32.5,,4.104,12.958,6.458
2011-11-10,26.347,53.431,27.083,,4.042,12.708,5.625
2011-11-11,28.0,46.514,18.514,,5.542,19.0,5.125
2011-11-12,21.57,40.097,18.528,,4.146,20.083,5.042
2011-11-13,15.875,18.861,2.986,,6.25,36.945,4.625
2011-11-14,22.097,28.764,6.667,,5.208,36.903,4.333
2011-11-15,22.625,35.181,12.555,,5.25,17.528,3.333
2011-11-16,31.362,58.985,27.623,,3.587,12.097,6.0
2011-11-17,29.903,54.986,25.083,,4.125,19.403,6.167
2011-11-18,22.389,41.278,18.889,,3.334,19.181,6.0
2011-11-19,15.611,24.806,9.195,,3.458,12.347,4.208
2011-11-20,11.68,17.111,5.431,,3.73,10.167,3.792
2011-11-21,17.986,27.472,9.486,,3.188,8.622,4.083
2011-11-22,24.0,36.555,12.555,,3.375,10.75,4.5
2011-11-23,16.708,25.708,9.0,,4.146,17.611,4.167
2011-11-24,16.903,27.332,10.43,,2.625,7.978,3.125
2011-11-25,23.583,36.583,13.0,,3.604,15.958,4.0
2011-11-26,25.236,43.528,18.292,,4.625,21.25,6.083
2011-11-27,25.861,45.903,20.042,,8.208,32.944,7.167
2011-11-28,25.375,56.597,31.222,,4.5,38.153,7.292
2011-11-29,28.139,58.291,30.153,,4.77,44.708,6.792
2011-11-30,21.754,52.087,30.333,,5.696,35.986,5.957
2011-12-01,15.069,26.792,11.722,,4.271,6.125,3.083
2011-12-02,26.569,63.542,36.972,,4.208,11.153,6.417
2011-12-03,15.347,24.597,9.25,,3.812,7.681,2.958
2011-12-04,13.264,18.069,4.805,,3.333,8.375,3.458
2011-12-05,22.819,42.653,19.833,,4.188,19.153,5.292
2011-12-06,28.945,52.459,23.514,,4.584,21.07,4.667
2011-12-07,24.876,40.521,15.645,,4.396,20.749,5.273
2011-12-08,21.153,35.403,14.25,,5.146,21.47,5.792
2011-12-09,16.5,27.778,11.278,,3.375,12.722,4.792
2011-12-10,10.639,15.5,4.861,,3.084,11.667,5.292
2011-12-11,12.333,16.403,4.07,,3.25,19.041,4.5
2011-12-12,20.803,28.289,7.486,,3.682,26.298,5.0
2011-12-13,29.917,60.681,30.764,,4.062,27.847,7.5
2011-12-14,23.609,37.623,14.014,,4.239,20.958,6.261
2011-12-15,18.555,26.75,8.194,,5.688,28.43,4.875
2011-12-16,14.361,24.514,10.153,,3.188,9.014,3.625
2011-12-17,14.75,20.417,5.667,,3.021,8.028,3.833
2011-12-18,14.778,18.445,3.667,,3.479,19.292,4.875
2011-12-19,19.82,29.306,9.486,,3.521,9.944,4.333
2011-12-20,26.25,41.792,15.542,,3.521,14.222,5.958
2011-12-21,27.694,40.944,13.25,,5.084,22.389,6.75
2011-12-22,16.111,24.153,8.041,,5.688,26.097,4.792
2011-12-23,17.028,25.291,8.264,,3.479,8.681,4.333
2011-12-24,15.306,22.889,7.583,,4.042,11.708,4.958
2011-12-25,9.069,13.986,4.917,,3.375,7.681,4.292
2011-12-26,16.889,26.806,9.916,,3.062,9.655,5.25
2011-12-27,26.458,45.834,19.375,,3.0,12.208,6.333
2011-12-28,30.015,54.724,24.71,,4.0,18.028,7.435
2011-12-29,26.0,41.222,15.222,,4.25,21.458,6.583
2011-12-30,21.014,35.583,14.569,,3.75,11.097,5.875
2011-12-31,15.236,21.292,6.056,,3.312,10.653,4.583
