date,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-03-27,15.438,18.562,3.125,,,,0.739,11.913,
2011-03-28,27.292,36.542,9.25,,,,2.042,18.375,
2011-03-29,25.146,31.438,6.292,,,,2.0,21.625,
2011-03-30,6.896,7.5,0.604,,,,1.417,31.833,
2011-03-31,9.166,10.375,1.208,,,,0.167,12.333,
2011-04-01,14.125,16.355,2.23,,,,1.208,22.458,
2011-04-02,4.938,5.792,0.854,,,,0.458,5.875,
2011-04-03,5.854,6.667,0.812,,,,0.167,6.792,
2011-04-04,14.292,18.042,3.75,,,,1.083,6.458,
2011-04-05,27.514,34.568,7.055,,,,1.958,17.792,
2011-04-06,35.288,48.398,13.11,,,,2.458,34.458,
2011-04-07,14.833,16.792,1.958,,,,0.174,21.875,
2011-04-08,13.229,14.667,1.438,,,,0.0,13.792,
2011-04-09,20.375,25.146,4.771,,,,0.167,13.708,
2011-04-10,12.854,14.208,1.354,,,,0.042,16.583,
2011-04-11,8.938,10.042,1.104,,,,0.0,21.957,
2011-04-12,6.208,6.812,0.604,,,,0.0,12.5,
2011-04-13,18.125,19.834,1.708,,,,0.0,20.333,
2011-04-14,19.812,23.188,3.375,,,,0.125,28.958,
2011-04-15,11.625,12.104,0.479,,,,1.292,45.75,
2011-04-16,8.562,9.208,0.646,,,,0.042,20.958,
2011-04-17,3.334,3.98,0.646,,,,0.0,10.458,
2011-04-18,7.083,8.042,0.958,,,,0.0,6.75,
2011-04-19,7.97,8.794,0.824,,,,0.0,4.833,
2011-04-20,10.915,12.456,1.542,,,,0.0,6.667,
2011-04-21,9.834,10.979,1.146,,,,0.304,9.75,
2011-04-22,4.854,5.562,0.708,,,,0.333,6.042,
2011-04-23,5.083,5.334,0.25,,,,0.417,5.375,
2011-04-24,8.02,8.438,0.416,,,,0.083,5.083,
2011-04-25,9.354,10.021,0.666,,,,0.292,10.333,
2011-04-26,9.688,10.562,0.875,,,,0.375,18.958,
2011-04-27,15.042,16.708,1.666,,,,0.5,26.542,
2011-04-28,13.146,14.604,1.458,,,,0.458,8.417,
2011-04-29,4.812,5.188,0.375,,,,0.167,5.792,
2011-04-30,6.292,6.916,0.625,,,,1.0,17.542,
2011-05-01,5.334,5.604,0.271,,,,0.542,7.917,
2011-05-02,4.875,5.625,0.75,,,,0.0,5.5,
2011-05-03,5.024,5.612,0.589,,,,0.125,7.042,
2011-05-04,10.22,11.184,0.964,,,,0.083,5.667,
2011-05-05,5.958,6.75,0.792,,,,0.0,7.625,
2011-05-06,8.75,11.166,2.416,,,,0.708,9.25,
2011-05-07,5.354,5.958,0.604,,,,0.167,5.75,
2011-05-08,6.333,6.958,0.625,,,,0.0,5.708,
2011-05-09,9.208,10.354,1.146,,,,0.167,7.652,
2011-05-10,9.312,10.667,1.354,,,,0.208,10.667,
2011-05-11,6.75,8.188,1.438,,,,0.0,5.5,
2011-05-12,9.916,12.646,2.729,,,,0.792,4.071,
2011-05-13,3.938,4.5,0.562,,,,0.0,2.5,
2011-05-14,4.958,6.146,1.188,,,,0.042,3.25,
2011-05-15,5.188,6.23,1.042,,,,0.0,6.708,
2011-05-16,8.542,9.917,1.375,,,,0.5,10.25,
2011-05-17,8.804,9.966,1.161,,,,0.125,9.125,
2011-05-18,13.41,15.442,2.032,,,,0.917,17.917,
2011-05-19,21.396,25.084,3.688,,,,1.261,24.25,
2011-05-20,15.896,17.042,1.146,,,,0.875,48.208,
2011-05-21,20.854,23.875,3.021,,,,0.125,42.583,
2011-05-22,4.729,5.042,0.312,,,,0.0,18.25,
2011-05-23,7.229,8.625,1.396,,,,0.0,5.875,
2011-05-24,8.729,10.584,1.854,,,,0.5,11.75,
2011-05-25,9.458,10.396,0.938,,,,0.292,12.208,
2011-05-26,16.646,19.646,3.0,,,,1.208,15.208,
2011-05-27,10.083,12.166,2.084,,,,3.958,13.083,
2011-05-28,10.438,11.0,0.562,,,,0.958,19.625,
2011-05-29,11.771,12.75,0.98,,,,0.208,18.375,
2011-05-30,8.938,10.333,1.396,,,,0.25,5.083,
2011-05-31,10.426,12.484,2.058,,,,1.417,14.417,
2011-06-01,6.782,8.261,1.478,,,,3.043,20.208,
2011-06-02,4.738,5.646,0.908,,,,0.947,16.417,
2011-06-03,13.333,15.896,2.562,,,,0.458,17.125,
2011-06-04,12.375,14.02,1.646,,,,0.208,16.167,
2011-06-05,9.083,9.958,0.875,,,,0.708,16.0,
2011-06-06,11.125,13.812,2.688,,,,0.5,22.208,
2011-06-07,13.666,15.645,1.979,,,,1.042,24.542,
2011-06-08,9.792,10.438,0.646,,,,1.542,22.375,
2011-06-09,10.688,11.584,0.896,,,,1.458,19.783,
2011-06-10,13.542,14.688,1.146,,,,1.0,22.292,
2011-06-11,9.125,10.02,0.896,,,,0.75,34.625,
2011-06-12,4.438,4.771,0.334,,,,0.167,11.25,
2011-06-13,12.479,14.021,1.542,,,,0.167,11.333,
2011-06-14,11.619,13.011,1.394,,,,0.0,7.917,
2011-06-15,4.386,5.416,1.029,,,,0.0,4.292,
2011-06-16,6.75,8.062,1.312,,,,0.609,8.792,
2011-06-17,8.604,9.916,1.312,,,,0.917,10.0,
2011-06-18,16.938,22.062,5.125,,,,1.375,18.708,
2011-06-19,6.25,6.75,0.5,,,,1.0,23.208,
2011-06-20,18.146,21.125,2.98,,,,1.625,25.167,
2011-06-21,13.438,14.958,1.521,,,,2.0,17.208,
2011-06-22,12.688,13.854,1.166,,,,1.417,27.583,
2011-06-23,10.375,11.625,1.25,,,,1.0,21.25,
2011-06-24,6.708,8.729,2.021,,,,0.5,5.375,
2011-06-25,3.75,4.896,1.146,,,,0.0,4.917,
2011-06-26,6.542,7.958,1.417,,,,0.75,6.042,
2011-06-27,4.729,5.792,1.062,,,,1.0,6.083,
2011-06-28,6.808,7.971,1.163,,,,1.0,15.042,
2011-06-29,14.913,16.76,1.848,,,,1.478,24.042,
2011-06-30,15.562,16.938,1.375,,,,0.957,31.833,
2011-07-01,6.25,6.938,0.688,,,,0.0,17.542,
2011-07-02,8.792,9.73,0.938,,,,0.042,9.625,
2011-07-03,5.479,6.0,0.52,,,,0.333,11.708,
2011-07-04,8.271,9.625,1.354,,,,0.0,6.417,
2011-07-05,7.834,9.104,1.27,,,,0.167,9.458,
2011-07-06,12.896,14.479,1.584,,,,0.917,10.208,
2011-07-07,7.52,8.416,0.896,,,,1.083,15.0,
2011-07-08,10.146,12.375,2.229,,,,0.583,8.0,
2011-07-09,13.583,15.167,1.583,,,,0.75,13.25,
2011-07-10,11.854,13.021,1.167,,,,0.0,10.458,
2011-07-11,12.771,17.396,4.625,,,,0.708,18.0,
2011-07-12,10.298,12.432,2.134,,,,0.708,10.25,
2011-07-13,11.232,12.904,1.672,,,,0.542,16.625,
2011-07-14,16.372,34.199,17.828,,,,0.435,14.75,
2011-07-15,13.804,19.108,5.304,,,,0.583,9.625,
2011-07-16,9.104,12.0,2.896,,,,0.0,3.5,
2011-07-17,10.521,14.375,3.854,,,,0.167,10.375,
2011-07-18,6.021,8.166,2.146,,,,0.0,5.917,
2011-07-19,9.271,12.5,3.23,,,,0.083,8.5,
2011-07-20,11.23,15.021,3.792,,,,0.667,15.208,
2011-07-21,8.812,11.917,3.104,,,,0.333,12.958,
2011-07-22,4.292,6.25,1.958,,,,0.583,9.292,
2011-07-23,3.062,4.104,1.042,,,,0.042,8.5,
2011-07-24,6.5,8.188,1.688,,,,0.167,6.958,
2011-07-25,10.062,12.292,2.229,,,,0.458,11.25,
2011-07-26,7.735,9.566,1.832,,,,0.167,11.875,
2011-07-27,16.267,20.37,4.102,,,,0.917,22.292,
2011-07-28,11.146,14.27,3.125,,,,0.087,28.208,
2011-07-29,11.688,15.562,3.875,,,,0.125,27.458,
2011-07-30,9.625,11.125,1.5,,,,0.0,18.583,
2011-07-31,6.208,7.771,1.562,,,,0.083,8.792,
2011-08-01,11.312,15.292,3.98,,,,0.0,8.833,
2011-08-02,11.208,14.438,3.229,,,,0.083,13.542,
2011-08-03,8.542,11.188,2.646,,,,0.042,11.125,
2011-08-04,3.521,4.48,0.958,,,,0.042,9.958,
2011-08-05,9.812,16.75,6.938,,,,0.125,9.25,
2011-08-06,10.438,14.542,4.104,,,,0.125,17.917,
2011-08-07,5.896,6.834,0.938,,,,0.0,16.417,
2011-08-08,9.062,12.104,3.042,,,,0.125,17.913,
2011-08-09,12.259,15.534,3.274,,,,0.125,18.625,
2011-08-10,9.498,14.478,4.979,,,,0.042,16.208,
2011-08-11,4.0,4.333,0.334,,,,0.043,13.167,
2011-08-12,4.084,4.812,0.729,,,,0.0,7.875,
2011-08-13,6.479,7.625,1.146,,,,0.875,9.125,
2011-08-14,8.458,9.062,0.604,,,,0.625,13.375,
2011-08-15,9.25,10.396,1.146,,,,0.0,12.833,
2011-08-16,13.854,15.0,1.146,,,,0.0,8.375,
2011-08-17,7.375,8.146,0.771,,,,0.083,6.042,
2011-08-18,8.75,10.771,2.021,,,,0.083,7.083,
2011-08-19,7.562,8.542,0.979,,,,0.042,8.167,
2011-08-20,7.688,8.5,0.812,,,,0.0,10.625,
2011-08-21,4.042,4.5,0.458,,,,0.0,8.917,
2011-08-22,6.354,7.125,0.771,,,,0.167,8.375,
2011-08-23,14.623,18.144,3.52,,,,0.583,7.667,
2011-08-24,10.315,12.792,2.478,,,,0.333,8.292,
2011-08-25,11.396,13.708,2.312,,,,0.391,12.5,
2011-08-26,9.771,11.542,1.771,,,,0.292,8.708,
2011-08-27,9.77,11.771,2.0,,,,0.333,9.125,
2011-08-28,8.208,10.416,2.208,,,,0.292,9.833,
2011-08-29,9.021,10.854,1.833,,,,1.25,15.125,
2011-08-30,4.708,5.479,0.771,,,,0.375,11.458,
2011-08-31,5.812,6.583,0.771,,,,0.417,11.583,
2011-09-01,6.562,8.334,1.771,,,,0.75,14.458,
2011-09-02,12.792,14.125,1.334,,,,0.083,8.417,
2011-09-03,11.416,12.396,0.979,,,,0.0,5.708,
2011-09-04,5.5,5.896,0.396,,,,0.167,9.0,
2011-09-05,3.98,4.729,0.75,,,,0.292,8.458,
2011-09-06,10.902,12.214,1.312,,,,0.333,7.792,
2011-09-07,4.47,5.15,0.68,,,,0.333,8.083,
2011-09-08,7.646,8.875,1.23,,,,0.304,6.652,
2011-09-09,13.438,14.625,1.188,,,,0.75,15.5,
2011-09-10,8.208,9.25,1.042,,,,0.0,8.708,
2011-09-11,5.625,6.52,0.896,,,,0.292,7.25,
2011-09-12,14.312,16.958,2.646,,,,0.0,10.5,
2011-09-13,13.125,17.292,4.166,,,,0.375,10.917,
2011-09-14,11.458,13.834,2.375,,,,0.25,12.292,
2011-09-15,11.062,13.584,2.521,,,,0.208,13.042,
2011-09-16,14.562,17.688,3.125,,,,0.375,19.333,
2011-09-17,12.125,15.521,3.396,,,,0.125,15.667,
2011-09-18,4.834,5.708,0.875,,,,0.0,6.458,
2011-09-19,5.792,7.062,1.271,,,,0.0,5.5,
2011-09-20,10.564,16.904,6.34,,,,0.167,5.917,
2011-09-21,15.568,22.748,7.18,,,,0.583,7.542,
2011-09-22,9.271,10.396,1.125,,,,0.0,4.958,
2011-09-23,7.938,9.146,1.208,,,,0.0,3.917,
2011-09-24,9.771,13.354,3.584,,,,0.0,6.167,
2011-09-25,6.166,7.354,1.188,,,,0.0,6.25,
2011-09-26,7.625,8.875,1.25,,,,0.0,9.0,
2011-09-27,11.396,14.75,3.354,,,,0.042,13.333,
2011-09-28,12.354,14.77,2.417,,,,0.0,13.708,
2011-09-29,9.146,10.958,1.812,,,,0.042,12.25,
2011-09-30,9.542,11.084,1.542,,,,0.0,10.625,
2011-10-01,4.958,6.166,1.208,,,,0.0,5.208,
2011-10-02,4.375,5.104,0.729,,,,0.0,3.833,
2011-10-03,6.688,8.938,2.25,,,,0.0,6.125,
2011-10-04,17.237,30.926,13.69,,,,0.167,9.125,
2011-10-05,14.42,17.131,2.711,,,,0.0,8.333,
2011-10-06,14.875,21.104,6.229,,,,0.391,9.565,
2011-10-07,11.146,12.708,1.562,,,,0.125,8.167,
2011-10-08,17.375,24.416,7.042,,,,0.625,20.583,
2011-10-09,11.021,13.521,2.5,,,,0.75,21.875,
2011-10-10,11.375,12.334,0.958,,,,0.5,23.167,
2011-10-11,9.02,10.521,1.5,,,,0.042,13.333,
2011-10-12,12.75,14.584,1.834,,,,0.25,13.083,
2011-10-13,9.688,11.188,1.5,,,,0.042,17.542,
2011-10-14,23.042,35.021,11.979,,,,1.667,23.792,
2011-10-15,25.354,32.666,7.312,,,,1.5,30.375,
2011-10-16,8.25,12.562,4.312,,,,0.833,17.417,
2011-10-17,4.271,4.958,0.688,,,,0.042,8.042,
2011-10-18,9.979,12.032,2.052,,,,0.167,7.417,
2011-10-19,15.784,21.829,6.044,,,,0.625,12.458,
2011-10-20,26.458,44.292,17.833,,,,1.348,15.792,
2011-10-21,15.833,22.479,6.646,,,,0.792,10.125,
2011-10-22,17.438,25.396,7.958,,,,0.375,11.833,
2011-10-23,9.167,10.396,1.23,,,,0.0,7.667,
2011-10-24,11.479,13.375,1.896,,,,0.333,4.542,
2011-10-25,6.812,8.125,1.312,,,,0.542,6.458,
2011-10-26,6.792,8.23,1.438,,,,0.0,6.375,
2011-10-27,11.708,16.355,4.646,,,,0.0,4.958,
2011-10-28,19.146,37.604,18.458,,,,0.708,12.208,
2011-10-29,25.0,49.542,24.542,,,,1.042,13.375,
2011-10-30,12.333,14.708,2.375,,,,0.667,15.5,
2011-10-31,15.875,24.979,9.104,,,,0.917,16.0,
2011-11-01,21.676,34.788,13.111,,,,0.833,13.708,
2011-11-02,21.78,27.778,5.998,,,,1.167,18.0,
2011-11-03,10.896,13.0,2.104,,,,0.565,14.083,
2011-11-04,20.271,32.375,12.105,,,,1.0,13.042,
2011-11-05,29.5,44.583,15.084,,,,1.167,16.083,
2011-11-06,9.77,11.416,1.646,,,,0.458,12.75,
2011-11-07,12.729,14.521,1.792,,,,0.5,8.609,
2011-11-08,13.125,16.834,3.708,,,,0.5,7.417,
2011-11-09,19.896,34.875,14.979,,,,1.125,11.75,
2011-11-10,23.0,40.458,17.458,,,,1.083,13.292,
2011-11-11,30.188,54.479,24.292,,,,1.958,15.708,
2011-11-12,23.875,41.229,17.354,,,,1.25,16.458,
2011-11-13,10.73,12.334,1.604,,,,1.417,15.5,
2011-11-14,7.125,8.625,1.5,,,,0.458,16.167,
2011-11-15,7.297,9.154,1.856,,,,0.167,8.125,
2011-11-16,6.082,7.665,1.582,,,,0.0,6.208,
2011-11-17,11.958,14.479,2.52,,,,0.0,10.5,
2011-11-18,35.812,68.896,33.083,,,,2.208,16.042,
2011-11-19,21.188,32.0,10.812,,,,0.875,14.875,
2011-11-20,6.146,7.271,1.125,,,,0.125,6.417,
2011-11-21,13.396,17.25,3.854,,,,0.042,5.167,
2011-11-22,20.271,25.604,5.334,,,,0.583,7.875,
2011-11-23,13.458,16.771,3.312,,,,0.792,8.375,
2011-11-24,7.312,8.854,1.542,,,,0.708,5.542,
2011-11-25,7.0,8.938,1.938,,,,0.0,5.875,
2011-11-26,14.646,16.917,2.271,,,,0.542,9.625,
2011-11-27,19.542,25.104,5.562,,,,1.083,8.917,
2011-11-28,20.75,33.729,12.979,,,,2.542,14.042,
2011-11-29,13.188,15.845,2.657,,,,1.333,14.625,
2011-11-30,8.285,10.408,2.122,,,,0.542,8.125,
2011-12-01,7.52,9.542,2.021,,,,0.739,6.375,
2011-12-02,32.73,61.5,28.771,,,,3.0,13.292,
2011-12-03,35.354,69.312,33.958,,,,3.875,12.75,
2011-12-04,16.146,20.771,4.625,,,,0.667,2.958,
2011-12-05,11.25,17.23,5.979,,,,0.458,6.625,
2011-12-06,19.521,26.416,6.896,,,,1.125,6.917,
2011-12-07,12.854,17.854,5.0,,,,1.0,7.542,
2011-12-08,19.562,29.646,10.084,,,,0.917,7.739,
2011-12-09,24.958,50.48,25.521,,,,1.875,8.417,
2011-12-10,21.042,33.833,12.792,,,,1.208,5.625,
2011-12-11,12.812,15.188,2.375,,,,0.625,9.417,
2011-12-12,13.979,19.458,5.48,,,,1.417,8.042,
2011-12-13,13.127,18.3,5.173,,,,0.917,8.708,
2011-12-14,18.142,24.572,6.43,,,,1.333,5.667,
2011-12-15,15.458,20.77,5.312,,,,2.565,12.958,
2011-12-16,8.312,10.625,2.312,,,,0.958,5.833,
2011-12-17,13.958,17.396,3.438,,,,0.75,6.208,
2011-12-18,13.562,16.458,2.896,,,,0.792,7.417,
2011-12-19,23.902,39.796,15.894,,,,0.565,7.208,
2011-12-20,20.93,34.902,13.972,,,,0.0,4.917,
2011-12-21,38.792,92.396,53.604,,,,2.417,18.708,
2011-12-22,40.125,95.979,55.854,,,,3.792,16.708,
2011-12-23,17.104,26.666,9.562,,,,0.542,7.542,
2011-12-24,5.458,6.02,0.562,,,,0.0,5.208,
2011-12-25,4.604,5.416,0.812,,,,0.0,4.458,
2011-12-26,6.792,8.584,1.792,,,,0.0,6.708,
2011-12-27,12.728,16.938,4.21,,,,0.0,5.708,
2011-12-28,15.698,20.22,4.521,,,,0.0,6.583,
2011-12-29,28.854,47.708,18.854,,,,1.783,8.542,
2011-12-30,19.396,30.312,10.917,,,,1.833,8.625,
2011-12-31,19.854,30.354,10.5,,,,0.875,9.417,
2012-01-01,11.312,12.77,1.458,,,8.167,1.625,,
2012-01-02,16.98,22.77,5.792,,,6.75,1.458,,
2012-01-03,4.938,6.083,1.146,,,7.375,1.458,,
2012-01-04,7.062,8.854,1.792,,,5.708,0.417,,
2012-01-05,18.062,26.23,8.167,,,5.375,0.917,,
2012-01-06,11.688,13.958,2.27,,,9.375,0.875,,
2012-01-07,14.542,18.688,4.146,,,4.958,0.167,,
2012-01-08,20.028,25.966,5.938,,,4.375,0.167,,
2012-01-09,23.736,38.218,14.482,,,5.708,0.333,,
2012-01-10,10.958,14.605,3.646,,,3.0,1.043,,
2012-01-11,16.375,18.688,2.312,,,4.208,1.208,,
2012-01-12,28.125,32.584,4.458,,,11.0,3.333,,
2012-01-13,14.312,16.5,2.188,,,11.125,3.208,,
2012-01-14,33.042,58.708,25.667,,,11.042,2.958,,
2012-01-15,18.854,24.854,6.0,,,3.75,1.917,,
2012-01-16,38.062,73.812,35.75,,,9.125,2.917,,
2012-01-17,39.0,67.25,28.25,,,8.042,6.542,,
2012-01-18,19.416,29.938,10.521,,,1.667,2.167,,
2012-01-19,9.396,10.77,1.375,,,1.708,1.292,,
2012-01-20,9.354,10.542,1.188,,,1.5,1.0,,
2012-01-21,24.062,34.125,10.062,,,5.167,2.958,,
2012-01-22,38.84,66.482,27.642,,,8.0,6.708,,
2012-01-23,45.943,98.534,52.591,,,13.583,8.348,,
2012-01-24,34.458,90.021,55.562,,,13.435,2.8,,
2012-01-25,12.042,13.916,1.875,,,5.208,0.792,,
2012-01-26,14.895,17.917,3.02,,,5.542,0.625,,
2012-01-27,8.375,10.375,2.0,,,0.583,0.0,,
2012-01-28,36.396,71.604,35.208,,,5.042,2.875,,
2012-01-29,29.042,56.23,27.188,,,3.042,1.458,,
2012-01-30,11.566,14.0,2.434,,,0.375,0.0,,
2012-01-31,30.52,41.979,11.458,,,3.5,1.5,,
2012-02-01,26.625,38.958,12.334,,,13.5,2.0,,
2012-02-02,8.229,11.042,2.812,,,7.417,0.375,,
2012-02-03,5.646,7.417,1.771,,,4.042,0.0,,
2012-02-04,17.375,22.084,4.708,,,4.708,0.625,,
2012-02-05,7.074,9.556,2.483,,,4.167,0.042,,
2012-02-06,36.76,63.598,26.839,,,12.167,2.333,,
2012-02-07,29.438,51.688,22.25,,,7.625,1.913,,
2012-02-08,17.375,24.834,7.458,,,7.217,1.333,,
2012-02-09,14.917,20.75,5.833,,,2.708,0.75,,
2012-02-10,31.125,48.48,17.354,,,6.875,1.75,,
2012-02-11,36.958,60.458,23.5,,,14.958,2.208,,
2012-02-12,40.396,71.458,31.062,,,13.792,3.958,,
2012-02-13,38.458,63.896,25.438,,,13.042,4.208,,
2012-02-14,37.416,55.521,18.104,,,11.583,1.917,,
2012-02-15,23.834,34.354,10.521,,,12.708,1.833,,
2012-02-16,17.042,20.666,3.625,,,9.792,1.375,,
2012-02-17,19.292,23.854,4.562,,,5.792,1.0,,
2012-02-18,41.0,71.25,30.25,,,12.958,5.25,,
2012-02-19,26.678,43.848,17.17,,,12.208,5.833,,
2012-02-20,8.383,10.208,1.826,,,9.208,1.458,,
2012-02-21,13.771,19.104,5.334,,,6.913,1.174,,
2012-02-22,15.52,19.354,3.834,,,5.542,1.25,,
2012-02-23,13.021,14.916,1.896,,,5.0,1.042,,
2012-02-24,27.646,41.75,14.104,,,5.542,1.792,,
2012-02-25,23.23,38.062,14.833,,,4.625,2.375,,
2012-02-26,18.479,23.229,4.75,,,2.542,1.042,,
2012-02-27,13.792,16.812,3.02,,,3.583,1.5,,
2012-02-28,18.062,24.812,6.75,,,7.5,1.625,,
2012-02-29,,,,,,,,,
2012-03-01,14.292,16.167,1.875,,,2.625,1.083,,
2012-03-02,7.312,9.771,2.458,,,3.625,0.542,,
2012-03-03,7.146,8.584,1.438,,,2.667,0.0,,
2012-03-04,27.604,39.854,12.25,,,4.833,1.792,,
2012-03-05,28.193,37.072,8.878,,,6.833,1.333,,
2012-03-06,21.34,26.348,5.008,,,12.042,1.875,,
2012-03-07,30.292,36.583,6.292,,,13.217,2.174,,
2012-03-08,27.52,40.834,13.312,,,8.875,2.042,,
2012-03-09,10.417,12.75,2.334,,,4.833,0.708,,
2012-03-10,7.854,9.98,2.125,,,1.417,1.083,,
2012-03-11,15.938,19.25,3.312,,,1.375,0.667,,
2012-03-12,37.625,58.979,21.354,,,8.875,2.208,,
2012-03-13,22.021,28.438,6.417,,,8.667,0.917,,
2012-03-14,11.584,13.708,2.125,,,6.625,1.125,,
2012-03-15,19.77,23.646,3.875,,,7.667,1.083,,
2012-03-16,18.708,21.625,2.917,,,8.5,1.25,,
2012-03-17,11.979,14.854,2.875,,,9.875,2.042,,
2012-03-18,23.896,27.875,3.98,,,10.208,1.917,,
2012-03-19,22.771,33.297,10.526,,,11.583,1.583,,
2012-03-20,11.002,12.407,1.404,,,5.0,0.833,,
2012-03-21,8.869,10.978,2.109,,,4.043,0.783,,
2012-03-22,18.125,22.396,4.27,,,5.958,1.417,,
