date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean
2011-05-14,5.639,6.528,0.889,1.263,
2011-05-15,4.412,4.822,0.41,2.179,
2011-05-16,5.0,5.791,0.792,2.187,
2011-05-17,6.944,8.208,1.264,1.388,
2011-05-18,7.681,9.278,1.597,1.761,
2011-05-19,5.307,6.095,0.788,1.248,
2011-05-20,5.444,6.556,1.111,0.99,
2011-05-21,4.903,6.958,2.056,0.708,
2011-05-22,3.542,4.389,0.847,0.339,
2011-05-23,3.639,4.125,0.486,0.399,
2011-05-24,5.417,6.111,0.694,0.584,
2011-05-25,5.996,7.283,1.288,1.185,
2011-05-26,7.555,8.458,0.903,0.921,
2011-05-27,6.986,7.833,0.847,0.666,
2011-05-28,11.75,13.25,1.5,0.405,
2011-05-29,4.774,5.389,0.615,0.059,
2011-05-30,2.208,2.75,0.542,0.53,
2011-05-31,5.694,6.667,0.972,1.428,
2011-06-01,3.403,4.014,0.611,0.423,
2011-06-02,5.875,7.764,1.889,0.637,
2011-06-03,4.208,5.528,1.319,1.112,
2011-06-04,4.546,6.083,1.537,1.47,
2011-06-05,6.069,7.806,1.736,0.727,
2011-06-06,7.846,10.014,2.168,2.084,
2011-06-07,7.194,8.722,1.528,1.032,
2011-06-08,5.202,5.904,0.702,0.8,
2011-06-09,3.528,4.319,0.792,0.971,
2011-06-10,4.708,5.875,1.167,0.994,
2011-06-11,5.944,7.042,1.097,0.53,
2011-06-12,8.083,9.347,1.264,0.905,
2011-06-13,7.167,8.597,1.43,1.548,
2011-06-14,6.158,7.224,1.066,0.833,
2011-06-15,7.25,9.111,1.861,1.309,
2011-06-16,7.5,8.111,0.611,0.376,
2011-06-17,6.055,6.986,0.931,0.675,
2011-06-18,11.258,12.719,1.461,0.882,
2011-06-19,6.055,7.069,1.014,0.533,
2011-06-20,5.458,6.403,0.944,0.458,
2011-06-21,5.639,7.32,1.681,0.621,
2011-06-22,5.917,9.403,3.486,1.341,
2011-06-23,2.625,5.084,2.458,0.707,
2011-06-24,1.927,3.672,1.745,0.238,
2011-06-25,3.611,7.611,4.0,0.578,
2011-06-26,0.972,1.75,0.778,0.322,
2011-06-27,2.57,5.361,2.792,0.345,
2011-06-28,4.025,6.384,2.36,0.423,
2011-06-29,4.694,7.833,3.139,1.404,
2011-06-30,6.153,8.5,2.347,1.292,
2011-07-01,4.75,6.25,1.5,0.594,
2011-07-02,6.292,8.153,1.861,1.179,
2011-07-03,4.736,7.042,2.306,1.005,
2011-07-04,4.207,5.784,1.578,0.595,
2011-07-05,5.389,6.875,1.486,0.873,
2011-07-06,4.097,6.125,2.028,0.877,
2011-07-07,4.542,7.111,2.569,0.62,
2011-07-08,4.039,6.97,2.931,0.518,
2011-07-09,2.917,4.861,1.945,0.552,
2011-07-10,3.708,7.278,3.57,0.97,
2011-07-11,2.792,5.528,2.736,0.542,
2011-07-12,4.764,8.57,3.806,0.56,
2011-07-13,2.944,5.972,3.028,0.38,
2011-07-14,3.188,5.487,2.3,0.667,
2011-07-15,5.347,8.167,2.82,1.306,
2011-07-16,4.236,7.639,3.403,0.955,
2011-07-17,5.208,7.5,2.292,1.32,
2011-07-18,2.852,4.031,1.179,0.363,
2011-07-19,0.562,0.956,0.394,0.066,
2011-07-20,2.639,3.403,0.764,0.179,
2011-07-21,3.583,4.291,0.708,0.417,
2011-07-22,4.056,4.806,0.75,0.482,
2011-07-23,4.5,6.278,1.778,0.907,
2011-07-24,3.183,4.67,1.486,0.78,
2011-07-25,3.667,4.972,1.305,0.458,
2011-07-26,3.167,4.584,1.417,0.5,
2011-07-27,2.806,4.833,2.028,0.417,
2011-07-28,4.067,7.397,3.33,1.073,
2011-07-29,6.334,9.07,2.736,1.421,
