date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,CO_mean
2011-06-23,13.15,33.875,20.725,2.5,16.25,3.083
2011-06-24,13.0,33.792,20.792,2.844,16.167,3.043
2011-06-25,10.555,25.659,15.104,2.229,13.833,3.125
2011-06-26,8.947,17.128,8.181,1.755,9.542,3.792
2011-06-27,12.992,34.567,21.575,2.85,14.417,4.13
2011-06-28,13.917,35.933,22.017,2.625,13.304,3.208
2011-06-29,23.716,45.442,21.725,5.875,23.292,4.833
2011-06-30,34.867,64.267,29.4,8.802,30.75,5.667
2011-07-01,29.816,64.192,34.375,7.323,27.25,5.87
2011-07-02,26.577,43.011,16.435,6.323,21.417,5.75
2011-07-03,19.058,25.118,6.06,5.158,33.667,4.917
2011-07-04,20.992,38.525,17.534,3.65,28.125,3.913
2011-07-05,30.575,46.191,15.617,4.51,28.208,6.375
2011-07-06,24.846,39.198,14.352,2.802,25.167,5.083
2011-07-07,18.732,45.523,26.792,2.875,17.542,4.625
2011-07-08,14.567,38.242,23.675,2.479,12.227,3.565
2011-07-09,10.851,25.314,14.462,2.542,8.0,4.0
2011-07-10,9.24,17.781,8.541,2.638,6.25,4.208
2011-07-11,15.225,34.917,19.692,2.103,9.583,3.522
2011-07-12,17.883,54.983,37.1,3.26,11.292,5.125
2011-07-13,15.286,41.816,26.53,2.115,9.0,3.458
2011-07-14,14.717,37.625,22.908,3.219,9.75,4.042
2011-07-15,23.592,45.292,21.7,4.125,13.083,4.391
2011-07-16,23.079,36.04,12.961,5.031,16.458,4.75
2011-07-17,11.798,15.319,3.521,1.863,11.917,2.667
2011-07-18,7.275,14.367,7.092,0.26,7.292,1.083
2011-07-19,9.208,18.958,9.75,0.25,3.292,1.087
2011-07-20,7.829,14.756,6.927,0.229,5.042,1.375
2011-07-21,19.333,36.225,16.892,1.427,8.417,3.25
2011-07-22,24.375,44.275,19.9,3.719,14.125,4.826
2011-07-23,23.37,34.675,11.304,5.594,24.833,4.958
2011-07-24,12.862,16.994,4.132,2.446,20.167,3.667
2011-07-25,19.692,35.465,15.774,2.935,18.708,4.417
2011-07-26,21.225,38.325,17.1,2.427,11.667,3.917
2011-07-27,15.783,40.012,24.229,3.458,11.818,3.478
2011-07-28,19.433,41.408,21.975,3.562,17.708,3.792
2011-07-29,28.058,48.233,20.175,3.469,23.167,4.957
2011-07-30,20.953,34.12,13.166,3.469,21.083,4.5
2011-07-31,12.374,15.164,2.774,1.595,20.75,3.667
2011-08-01,16.028,24.81,8.782,1.038,25.042,2.565
