date,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-04-14,10.854,41.75,185.5,29.208,13.583,15.0,1.416,,214.708
2011-04-15,9.432,50.447,186.375,38.833,31.042,36.875,5.834,,225.208
2011-04-16,6.212,60.703,187.542,33.625,18.562,27.146,8.584,,221.167
2011-04-17,5.942,20.797,185.458,20.25,11.625,13.312,1.688,,205.708
2011-04-18,4.687,25.781,185.083,22.333,16.173,20.12,3.946,,207.417
2011-04-19,2.611,10.846,184.875,11.583,3.426,5.36,1.933,,196.458
2011-04-20,3.26,9.333,184.87,15.348,7.375,9.27,1.896,,200.217
2011-04-21,7.245,27.543,186.75,30.542,18.982,23.271,4.289,,217.292
2011-04-22,6.807,46.74,186.0,35.125,24.25,29.958,5.708,,221.125
2011-04-23,3.232,27.599,184.25,25.75,12.896,15.125,2.23,,210.0
2011-04-24,4.261,24.073,185.583,14.667,3.584,4.084,0.5,,200.25
2011-04-25,5.099,22.132,186.261,15.261,4.332,4.916,0.584,,201.522
2011-04-26,8.48,24.774,185.833,34.0,16.416,19.146,2.73,,219.833
2011-04-27,7.344,28.755,183.958,36.458,16.792,21.146,4.354,,220.417
2011-04-28,4.089,21.64,185.5,29.375,5.312,5.917,0.604,,214.875
2011-04-29,4.677,17.161,186.708,28.167,8.229,9.125,0.896,,214.875
2011-04-30,9.222,35.281,189.625,36.0,20.021,23.542,3.52,,225.625
2011-05-01,5.474,57.469,186.917,26.667,9.646,11.208,1.562,,213.583
2011-05-02,5.797,133.792,187.87,24.652,10.718,13.044,2.326,,212.522
2011-05-03,5.405,104.422,187.5,27.625,16.625,19.854,3.229,,215.125
2011-05-04,5.755,73.5,187.458,25.708,12.084,14.271,2.188,,213.167
2011-05-05,6.698,42.338,186.875,25.958,12.354,13.979,1.625,,212.833
2011-05-06,6.049,38.76,186.542,28.125,12.949,14.92,1.972,,214.667
2011-05-07,5.787,19.479,182.792,30.958,11.875,13.396,1.521,,213.75
2011-05-08,6.297,30.323,184.167,35.333,13.312,15.812,2.5,,219.5
2011-05-09,9.392,43.832,188.125,49.208,18.18,21.456,3.275,,237.333
2011-05-10,12.168,27.947,180.591,47.727,14.084,22.917,8.834,,228.318
2011-05-11,4.458,21.812,180.667,54.542,14.479,27.875,13.396,,235.208
2011-05-12,3.464,13.776,181.958,45.458,18.646,25.875,7.229,,227.417
2011-05-13,4.465,35.844,186.625,19.083,4.229,4.896,0.666,,205.708
2011-05-14,5.401,29.453,192.75,19.0,3.834,4.354,0.521,,211.75
2011-05-15,8.208,29.766,195.167,28.375,12.666,14.375,1.708,,223.542
2011-05-16,9.526,34.104,192.045,44.273,16.522,18.892,2.37,,236.318
2011-05-17,6.473,35.052,190.042,28.875,10.208,11.5,1.292,,218.917
2011-05-18,7.724,27.984,192.292,34.958,18.091,22.066,3.976,,227.25
2011-05-19,9.329,33.537,190.875,27.625,14.378,16.836,2.458,,218.5
2011-05-20,8.99,36.969,188.583,29.542,16.188,19.521,3.333,,218.125
2011-05-21,9.713,41.526,185.958,36.875,17.5,21.042,3.542,,222.833
2011-05-22,5.177,18.359,185.292,23.292,11.771,14.958,3.188,,208.583
