date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,SO2_mean
2011-03-08,5.792,26.102,41.884,15.782,23.875,27.305,4.609
2011-03-09,5.292,25.125,39.708,14.583,19.958,21.375,3.708
2011-03-10,4.875,16.666,25.438,8.771,5.875,7.98,3.042
2011-03-11,5.333,18.292,25.125,6.834,18.083,16.312,4.083
2011-03-12,4.625,19.875,37.438,17.562,6.542,11.104,3.417
2011-03-13,4.261,19.449,32.01,12.56,2.545,10.382,3.583
2011-03-14,5.0,28.75,44.312,15.562,18.125,16.188,4.708
2011-03-15,4.833,23.036,46.234,23.198,18.417,22.345,4.217
2011-03-16,4.333,24.979,36.458,11.479,15.167,23.729,4.625
2011-03-17,7.792,40.062,67.521,27.458,58.875,45.354,4.208
2011-03-18,8.75,29.396,55.166,25.77,45.417,41.708,3.75
2011-03-19,4.545,19.095,33.278,14.184,8.5,13.277,3.292
2011-03-20,4.417,20.584,30.396,9.812,11.417,19.396,4.625
2011-03-21,4.125,20.396,28.166,7.77,7.375,13.896,3.667
2011-03-22,8.833,48.324,101.962,53.64,28.167,36.492,6.375
2011-03-23,7.292,38.854,66.208,27.354,30.167,33.771,4.125
2011-03-24,8.083,30.166,61.979,31.812,18.167,17.834,3.458
2011-03-25,6.458,21.0,34.125,13.125,9.125,12.792,3.875
2011-03-26,6.273,31.129,55.042,23.913,12.045,17.18,3.917
2011-03-27,5.208,27.334,45.438,18.104,13.042,18.812,4.375
2011-03-28,5.5,25.961,46.25,20.288,24.583,27.95,5.043
2011-03-29,4.333,18.875,29.25,10.375,13.292,21.334,4.583
2011-03-30,3.625,14.584,18.021,3.438,12.875,19.354,3.958
2011-03-31,3.667,7.708,10.584,2.875,9.917,20.146,3.0
2011-04-01,3.708,24.188,40.584,16.396,18.208,23.021,5.083
2011-04-02,6.125,35.646,53.812,18.167,29.75,34.458,6.292
2011-04-03,3.25,15.458,19.979,4.52,12.292,18.5,5.083
2011-04-04,2.636,16.212,25.962,9.75,8.833,15.962,3.875
2011-04-05,3.917,31.708,49.438,17.73,14.833,20.521,5.125
2011-04-06,4.417,30.308,53.949,23.642,16.208,24.562,5.75
2011-04-07,3.917,23.021,38.562,15.542,18.917,24.167,5.167
2011-04-08,2.5,7.812,9.375,1.562,12.667,22.125,3.542
2011-04-09,3.167,10.542,13.542,3.0,13.0,20.0,3.25
2011-04-10,3.958,11.416,14.292,2.875,13.375,18.917,4.792
2011-04-11,4.875,20.084,32.646,12.562,23.375,31.23,5.292
2011-04-12,3.304,17.83,25.62,7.791,18.5,25.613,4.542
2011-04-13,3.792,25.48,36.896,11.416,20.792,31.25,5.583
2011-04-14,4.5,28.416,41.238,12.823,26.625,39.396,6.739
2011-04-15,3.375,22.75,38.208,15.458,27.318,34.562,6.042
2011-04-16,3.083,9.146,11.792,2.646,21.0,28.416,4.333
2011-04-17,2.583,8.854,11.312,2.458,15.167,22.062,5.125
2011-04-18,3.478,22.775,31.368,8.593,15.792,22.939,5.958
2011-04-19,3.292,19.604,30.479,10.875,11.917,13.584,4.042
2011-04-20,4.125,25.822,45.484,19.662,11.292,13.452,5.13
2011-04-21,4.0,22.104,36.334,14.229,14.083,20.646,5.583
2011-04-22,3.75,18.104,27.938,9.834,19.125,24.938,4.667
2011-04-23,2.0,7.75,9.292,1.542,10.875,19.021,3.167
2011-04-24,3.583,11.479,14.5,3.021,14.292,16.583,4.667
2011-04-25,4.391,23.728,38.52,14.792,17.348,20.61,4.75
2011-04-26,3.583,20.464,35.16,14.695,19.625,25.37,4.913
2011-04-27,2.625,6.854,8.146,1.292,36.792,48.02,4.042
2011-04-28,3.083,10.938,14.229,3.292,17.917,24.625,4.083
2011-04-29,4.125,17.125,24.104,6.979,14.208,17.48,5.125
2011-04-30,3.833,14.312,21.188,6.875,23.375,27.708,5.625
2011-05-01,2.417,6.958,8.48,1.521,18.167,22.25,4.208
2011-05-02,4.478,17.774,30.68,12.906,44.348,81.282,5.0
2011-05-03,4.875,16.416,23.521,7.104,38.208,73.312,4.583
2011-05-04,3.542,10.854,14.021,3.166,23.25,32.084,4.833
2011-05-05,4.167,13.688,17.73,4.042,19.667,28.188,4.417
2011-05-06,4.583,23.479,34.062,10.583,22.75,30.875,4.917
2011-05-07,5.583,28.354,45.5,17.146,24.25,32.688,4.208
2011-05-08,4.625,12.167,19.292,7.125,23.875,30.208,4.625
2011-05-09,4.333,21.416,33.458,12.042,29.333,34.688,5.667
2011-05-10,4.783,27.318,37.574,10.254,28.522,35.454,5.292
2011-05-11,4.667,31.416,42.282,10.866,16.917,18.233,4.0
2011-05-12,4.625,24.125,37.166,13.042,10.292,13.0,3.792
2011-05-13,6.083,32.021,56.396,24.375,20.708,26.812,5.375
2011-05-14,4.083,18.938,27.958,9.021,41.143,53.666,5.75
2011-05-15,2.375,9.812,12.396,2.583,,27.729,5.333
2011-05-16,2.864,15.619,21.654,6.036,24.333,38.888,4.917
2011-05-17,4.042,25.021,36.188,11.166,26.417,38.521,4.625
2011-05-18,4.792,23.446,37.408,13.961,35.333,37.731,6.0
2011-05-19,4.417,20.646,33.542,12.896,33.333,37.48,5.611
2011-05-20,3.5,19.167,28.875,9.708,38.458,44.458,5.333
2011-05-21,2.667,12.021,15.438,3.416,30.417,36.042,4.583
2011-05-22,2.375,7.854,10.458,2.604,14.75,17.396,4.0
2011-05-23,3.682,22.644,37.5,14.856,13.318,16.405,4.042
2011-05-24,4.333,24.312,38.042,13.73,14.167,14.604,3.875
2011-05-25,3.833,17.9,39.933,22.034,16.958,19.771,4.333
2011-05-26,4.0,23.984,36.151,12.166,20.917,24.45,4.478
2011-05-27,5.542,25.0,37.229,12.229,19.083,22.834,4.625
2011-05-28,5.125,21.334,31.312,9.979,12.625,14.833,3.0
2011-05-29,4.625,15.895,21.334,5.438,8.875,10.042,2.667
2011-05-30,2.348,10.868,17.266,6.398,6.87,7.738,3.125
2011-05-31,2.75,14.438,23.271,8.834,14.583,18.666,3.167
2011-06-01,3.792,20.975,34.008,13.032,31.625,37.504,4.125
2011-06-02,5.042,27.166,51.438,24.271,25.667,32.334,3.375
2011-06-03,4.292,19.312,34.98,15.666,19.083,20.98,4.125
2011-06-04,4.25,15.521,25.166,9.645,32.542,36.979,4.25
2011-06-05,4.125,13.458,17.042,3.583,41.583,45.916,4.292
2011-06-06,3.913,19.034,27.91,8.877,34.136,37.9,4.833
2011-06-07,3.5,19.796,28.486,8.691,34.25,37.943,6.696
2011-06-08,4.583,28.771,40.646,11.875,17.667,19.542,4.167
2011-06-09,4.417,22.979,38.875,15.896,22.958,27.666,6.625
2011-06-10,2.875,18.762,27.854,9.092,23.792,28.86,4.913
2011-06-11,4.667,23.104,31.812,8.708,28.792,38.042,4.917
2011-06-12,5.208,16.25,20.479,4.229,31.417,39.584,5.792
2011-06-13,5.208,30.792,41.334,10.542,24.375,33.042,6.083
2011-06-14,4.545,28.8,42.272,13.472,25.19,30.644,6.304
2011-06-15,4.333,22.625,31.27,8.646,16.182,18.958,6.0
2011-06-16,4.458,25.084,41.75,16.666,19.708,24.542,4.625
2011-06-17,4.167,22.729,33.521,10.792,10.667,15.312,3.458
2011-06-18,3.917,19.708,25.542,5.834,16.667,22.271,4.167
2011-06-19,3.917,12.521,16.355,3.834,19.458,25.958,4.042
2011-06-20,2.375,14.416,21.98,7.562,13.792,18.812,3.417
2011-06-21,2.083,16.196,25.99,9.794,11.375,15.068,3.174
2011-06-22,4.409,24.155,40.786,16.63,25.909,31.124,4.708
2011-06-23,2.625,13.729,19.354,5.625,22.792,33.604,4.167
2011-06-24,1.583,7.646,11.958,4.312,17.375,28.292,3.708
2011-06-25,3.875,19.188,30.562,11.375,20.625,27.792,5.375
2011-06-26,5.792,18.229,24.167,5.938,33.292,44.688,5.292
2011-06-27,6.5,27.833,56.062,28.229,19.875,33.396,4.458
2011-06-28,5.783,24.99,48.214,23.225,24.783,40.296,5.375
2011-06-29,4.708,22.385,40.146,17.761,26.833,34.939,6.652
2011-06-30,3.958,23.521,37.646,14.125,22.583,28.688,5.083
2011-07-01,3.833,17.875,33.834,15.958,24.333,30.646,4.875
2011-07-02,3.958,17.708,25.5,7.792,29.625,39.271,5.25
2011-07-03,2.208,8.938,12.875,3.938,21.708,29.167,4.833
2011-07-04,1.565,6.576,9.356,2.782,28.364,45.092,4.208
2011-07-05,3.042,12.722,15.824,3.102,16.833,24.714,4.826
2011-07-06,4.542,18.542,27.271,8.73,25.917,34.125,7.083
2011-07-07,1.958,9.354,13.25,3.896,10.0,17.208,3.75
2011-07-08,2.958,14.354,29.062,14.708,12.583,20.542,3.25
2011-07-09,2.708,11.666,24.084,12.416,14.958,24.812,3.458
2011-07-10,1.833,6.812,10.458,3.646,11.417,17.542,3.333
2011-07-11,2.583,10.312,25.208,14.895,12.333,18.625,3.708
2011-07-12,2.043,8.832,22.422,13.59,10.571,18.4,3.304
2011-07-13,1.667,7.896,13.583,5.688,10.292,17.271,3.208
2011-07-14,2.083,9.958,17.417,7.458,12.292,17.708,3.667
2011-07-15,2.667,14.23,25.23,11.0,15.875,21.812,4.375
2011-07-16,2.292,10.375,16.73,6.354,18.333,26.396,7.667
2011-07-17,1.792,6.021,9.604,3.583,14.542,22.584,4.208
2011-07-18,1.5,4.542,8.02,3.479,12.708,32.416,4.75
2011-07-19,1.292,5.396,10.958,5.562,12.042,36.312,2.667
2011-07-20,2.042,7.604,12.27,4.667,14.667,36.666,3.167
2011-07-21,2.652,11.456,21.26,9.804,12.25,18.386,3.478
2011-07-22,3.708,16.125,32.438,16.312,13.545,20.104,3.958
2011-07-23,4.0,14.521,25.146,10.625,11.708,16.792,3.833
2011-07-24,2.75,8.292,13.188,4.896,14.417,21.084,4.208
2011-07-25,2.0,8.958,12.042,3.083,19.542,25.25,3.542
2011-07-26,3.182,15.169,24.948,9.778,16.304,21.116,3.042
2011-07-27,3.958,21.46,43.812,22.352,16.083,22.034,3.042
2011-07-28,6.25,30.875,43.666,12.792,25.875,36.188,4.958
2011-07-29,5.417,20.542,35.896,15.355,25.042,38.25,3.833
2011-07-30,5.792,23.854,37.271,13.416,18.958,25.542,3.5
2011-07-31,3.833,11.458,17.916,6.458,19.542,26.0,3.0
2011-08-01,4.958,19.584,35.271,15.688,24.333,31.458,4.042
2011-08-02,5.273,23.674,38.53,14.856,25.417,33.772,5.292
2011-08-03,6.125,24.958,45.77,20.812,23.913,35.292,4.667
2011-08-04,4.208,16.139,38.565,22.426,15.125,26.606,3.957
2011-08-05,2.917,10.062,24.584,14.521,9.875,18.938,3.167
2011-08-06,3.417,12.646,24.104,11.458,13.167,23.334,3.0
2011-08-07,5.958,15.375,23.604,8.23,25.5,37.708,4.417
2011-08-08,4.167,15.438,29.688,14.25,20.792,31.688,3.75
2011-08-09,3.565,16.0,28.304,12.304,23.909,32.904,3.913
2011-08-10,3.083,15.062,23.271,8.208,31.375,44.48,3.833
2011-08-11,4.708,23.833,34.666,10.834,32.708,47.875,5.292
2011-08-12,4.833,19.125,28.979,9.855,34.25,48.771,5.667
2011-08-13,4.208,12.979,16.646,3.667,40.792,59.229,5.792
2011-08-14,3.625,8.417,10.896,2.479,38.125,55.812,5.208
2011-08-15,2.792,10.062,14.562,4.5,26.292,35.77,4.875
2011-08-16,3.652,11.712,16.911,5.199,29.636,39.729,4.708
2011-08-17,3.667,12.375,17.708,5.334,28.375,37.688,4.75
2011-08-18,3.042,13.268,18.5,5.231,32.167,45.416,4.739
2011-08-19,3.958,19.812,31.0,11.188,18.125,24.458,4.042
2011-08-20,5.042,21.375,35.854,14.479,12.917,16.958,4.5
2011-08-21,3.708,11.125,16.396,5.27,10.0,12.938,4.0
2011-08-22,5.435,24.194,42.577,18.383,13.227,15.692,3.708
2011-08-23,4.542,15.792,32.208,16.416,23.25,31.875,3.375
2011-08-24,2.958,10.188,28.042,17.854,14.333,21.438,3.542
2011-08-25,2.458,10.652,21.017,10.366,8.25,14.272,3.0
2011-08-26,4.792,17.812,38.334,20.52,15.0,18.812,3.208
2011-08-27,5.208,21.604,40.792,19.188,16.783,23.982,3.583
2011-08-28,4.708,14.333,19.688,5.354,16.917,22.396,4.583
2011-08-29,4.583,19.188,31.604,12.416,16.792,21.589,4.125
2011-08-30,3.826,16.212,28.762,12.549,13.591,18.498,3.917
2011-08-31,3.458,15.375,30.312,14.938,14.583,19.312,4.0
2011-09-01,3.958,11.525,27.742,16.216,14.083,27.845,4.174
2011-09-02,3.125,7.75,23.521,15.771,16.792,29.646,3.542
2011-09-03,1.458,3.146,5.979,2.833,16.083,36.125,2.458
2011-09-04,1.333,4.562,7.416,2.854,12.042,25.458,3.167
2011-09-05,4.261,19.29,39.426,20.136,12.409,20.258,3.792
2011-09-06,4.125,19.292,31.208,11.917,11.125,14.812,3.708
2011-09-07,3.833,20.479,29.208,8.729,18.875,24.938,4.5
2011-09-08,4.333,18.892,33.256,14.364,24.917,29.038,4.435
2011-09-09,3.875,17.125,28.916,11.792,21.542,26.708,3.667
2011-09-10,3.5,12.25,25.084,12.834,16.5,23.958,3.167
2011-09-11,2.375,8.292,13.834,5.542,9.958,15.105,3.542
2011-09-12,2.667,9.792,25.521,15.729,11.0,17.166,3.042
2011-09-13,2.792,10.896,25.834,14.938,15.625,20.77,5.25
2011-09-14,3.455,15.364,32.675,17.311,19.739,24.998,5.042
2011-09-15,2.833,11.021,27.604,16.584,12.75,16.979,4.458
2011-09-16,2.083,8.163,17.989,9.826,8.875,15.55,3.0
2011-09-17,1.833,5.604,11.375,5.77,9.375,21.479,3.333
2011-09-18,1.958,4.729,8.084,3.354,10.042,15.271,3.208
2011-09-19,3.667,12.188,22.396,10.208,20.625,27.417,4.375
2011-09-20,4.13,21.145,39.119,17.974,7.913,11.93,3.429
2011-09-21,2.75,12.221,24.696,12.476,6.625,19.716,3.053
2011-09-22,4.958,22.024,47.256,25.231,13.667,18.562,4.0
2011-09-23,4.375,18.875,33.27,14.396,9.875,14.875,4.208
2011-09-24,4.583,18.666,34.584,15.916,11.708,17.375,5.458
2011-09-25,4.542,17.438,23.708,6.27,12.167,18.604,5.458
2011-09-26,5.417,27.979,49.292,21.312,17.292,21.854,4.391
2011-09-27,5.435,24.282,46.694,22.412,15.818,19.87,4.042
2011-09-28,4.958,24.694,40.484,15.791,18.25,23.598,4.435
2011-09-29,4.542,25.229,40.562,15.334,20.458,26.48,5.167
2011-09-30,6.25,29.854,47.479,17.625,31.292,37.084,5.083
2011-10-01,4.208,18.062,26.104,8.041,12.0,17.77,6.042
2011-10-02,4.542,14.583,20.812,6.229,17.042,21.771,5.5
2011-10-03,3.792,17.656,29.558,11.902,7.167,11.769,4.478
2011-10-04,4.143,20.542,34.223,13.682,9.591,15.942,6.167
2011-10-05,4.333,24.604,40.042,15.438,14.708,16.584,4.292
2011-10-06,4.042,21.312,32.792,11.479,9.625,12.166,3.708
2011-10-07,4.542,20.666,35.166,14.5,18.958,21.25,4.792
2011-10-08,6.333,29.312,48.896,19.584,26.833,30.688,5.708
2011-10-09,6.167,20.166,25.708,5.542,32.792,36.188,5.708
2011-10-10,6.792,18.979,27.729,8.75,35.833,39.562,4.292
2011-10-11,7.136,36.658,62.544,25.886,42.565,47.027,6.833
2011-10-12,5.5,26.47,41.266,14.797,42.167,49.307,6.043
2011-10-13,6.708,32.042,52.146,20.104,49.042,48.812,6.458
2011-10-14,5.958,23.062,50.958,27.896,46.75,48.854,6.75
2011-10-15,2.667,8.27,11.271,3.0,15.667,24.52,3.125
2011-10-16,3.458,7.521,10.625,3.104,13.667,17.916,4.083
2011-10-17,6.565,26.946,49.279,22.332,28.522,33.771,4.917
2011-10-18,4.625,22.521,36.625,14.104,17.167,21.458,5.333
2011-10-19,4.417,23.797,40.522,16.726,16.125,22.769,4.348
2011-10-20,4.708,23.688,36.667,12.979,22.833,25.125,4.375
2011-10-21,5.083,23.333,41.812,18.479,21.542,24.146,4.0
2011-10-22,4.167,16.229,26.438,10.208,8.125,10.729,2.917
2011-10-23,4.25,10.146,16.145,6.0,10.5,15.042,2.708
2011-10-24,6.125,27.875,48.666,20.792,20.417,27.354,4.0
2011-10-25,5.619,20.478,45.172,24.694,21.455,30.37,4.652
2011-10-26,3.208,13.854,25.02,11.166,8.375,11.458,4.333
2011-10-27,5.25,28.438,54.021,25.584,17.708,22.584,5.292
2011-10-28,6.75,32.834,64.75,31.917,22.583,27.27,4.917
2011-10-29,6.583,27.104,45.208,18.104,27.542,28.542,4.5
2011-10-30,5.5,16.52,21.52,5.0,32.75,31.292,4.375
2011-10-31,5.857,22.351,44.322,21.97,26.625,23.771,4.25
2011-11-01,5.708,32.438,58.812,26.375,16.208,20.479,4.875
2011-11-02,7.25,35.144,70.84,35.696,28.5,31.676,5.087
2011-11-03,10.75,40.479,79.312,38.833,55.083,51.25,5.083
2011-11-04,8.625,36.542,80.938,44.396,38.708,43.25,5.625
2011-11-05,9.542,37.125,68.75,31.625,63.75,61.417,6.292
2011-11-06,7.625,22.979,31.625,8.646,67.0,75.104,3.917
2011-11-07,6.174,27.508,48.536,21.027,15.045,18.866,5.0
2011-11-08,5.125,26.802,45.203,18.4,8.542,13.953,4.739
2011-11-09,6.5,31.646,65.146,33.5,14.875,19.25,4.333
2011-11-10,6.167,33.02,60.792,27.77,22.875,22.604,5.083
2011-11-11,5.417,26.396,43.688,17.292,15.417,18.916,3.5
2011-11-12,6.458,26.146,47.958,21.812,10.25,14.562,3.75
2011-11-13,9.5,27.229,49.5,22.271,27.25,28.042,4.417
2011-11-14,7.708,29.875,55.438,25.562,29.25,31.646,5.292
2011-11-15,6.435,28.544,54.348,25.804,19.609,22.782,4.565
2011-11-16,4.458,26.625,45.208,18.583,7.042,12.73,4.458
2011-11-17,6.292,32.688,66.02,33.334,12.875,18.375,4.208
2011-11-18,7.083,34.062,70.646,36.583,25.167,25.188,4.625
2011-11-19,4.833,17.771,34.688,16.916,13.583,22.188,2.25
2011-11-20,6.583,18.416,34.916,16.5,9.208,11.729,2.75
2011-11-21,5.167,25.375,50.208,24.834,3.333,9.73,3.542
2011-11-22,7.455,32.754,89.616,56.862,10.87,16.352,4.167
2011-11-23,6.333,34.375,58.666,24.292,22.333,22.646,5.375
2011-11-24,4.833,24.792,45.446,20.654,13.583,17.859,3.609
2011-11-25,5.958,28.521,67.979,39.458,6.583,12.208,3.125
2011-11-26,8.0,34.979,84.312,49.334,15.875,18.438,4.208
2011-11-27,8.542,30.084,53.542,23.458,33.208,28.438,3.917
2011-11-28,11.542,35.584,121.771,86.188,36.708,35.333,4.167
2011-11-29,12.0,40.688,138.896,98.208,37.542,38.354,4.667
2011-11-30,8.455,32.173,87.117,54.944,34.182,38.729,5.478
2011-12-01,4.292,24.708,48.625,23.916,7.625,11.438,2.917
2011-12-02,3.583,19.354,33.479,14.125,10.875,12.208,2.875
2011-12-03,5.0,18.771,35.052,16.282,3.167,11.979,1.875
2011-12-04,4.917,15.188,24.77,9.584,5.0,9.75,2.708
2011-12-05,6.182,22.826,64.957,42.13,8.476,11.62,3.0
2011-12-06,5.208,33.854,63.354,29.5,19.417,22.521,3.0
2011-12-07,8.417,41.688,103.062,61.375,42.583,35.646,4.583
2011-12-08,6.5,30.583,66.25,35.666,47.708,37.312,3.625
2011-12-09,7.333,27.625,72.396,44.771,15.083,13.979,3.125
2011-12-10,7.75,29.312,73.542,44.229,9.167,13.77,3.333
2011-12-11,8.917,28.562,63.104,34.542,16.792,19.042,3.708
2011-12-12,9.167,34.979,102.368,67.388,21.375,21.096,3.696
2011-12-13,8.174,34.284,92.228,57.945,16.136,16.165,3.458
2011-12-14,7.0,35.208,77.292,42.084,30.0,26.729,3.625
2011-12-15,7.958,32.167,91.729,59.562,24.792,25.483,4.333
2011-12-16,6.0,29.166,67.875,38.708,10.208,15.062,3.958
2011-12-17,6.542,28.312,62.896,34.584,8.292,11.458,3.125
2011-12-18,7.458,28.375,59.583,31.208,12.417,17.208,3.667
2011-12-19,7.783,37.302,98.422,61.12,21.591,21.53,3.75
2011-12-20,5.333,30.95,69.574,38.623,10.167,13.744,3.087
2011-12-21,7.167,40.562,93.084,52.521,29.458,27.48,4.208
2011-12-22,10.25,41.708,136.979,95.27,57.625,47.062,4.458
2011-12-23,4.375,19.48,32.896,13.416,7.208,10.812,3.375
2011-12-24,7.833,34.125,81.771,47.646,14.125,17.166,4.875
2011-12-25,6.708,25.125,44.812,19.688,10.083,13.104,3.792
2011-12-26,7.545,34.876,89.996,55.12,11.524,14.064,3.083
2011-12-27,5.917,32.792,83.416,50.625,8.625,11.792,2.917
2011-12-28,5.917,34.896,70.958,36.062,12.375,15.333,3.333
2011-12-29,6.75,33.562,62.604,29.042,25.625,24.104,4.0
2011-12-30,4.542,13.75,22.729,8.979,7.208,8.625,3.333
2011-12-31,6.333,22.021,38.25,16.229,15.333,18.771,3.542
2012-01-01,7.167,21.875,33.312,11.438,11.583,,0.25
2012-01-02,5.125,10.146,14.916,4.771,17.375,,0.958
2012-01-03,5.417,10.666,14.104,3.438,8.25,,0.417
2012-01-04,5.783,14.593,21.044,6.45,3.304,,0.083
2012-01-05,8.167,28.625,48.166,19.542,11.292,,0.583
2012-01-06,8.417,22.688,36.917,14.23,12.25,,0.333
2012-01-07,10.261,38.087,83.066,44.978,16.696,,1.609
2012-01-08,8.542,39.084,96.604,57.521,23.542,,1.25
2012-01-09,8.667,37.938,89.5,51.562,25.417,,1.0
2012-01-10,5.917,25.875,44.188,18.312,10.125,,0.542
2012-01-11,8.25,36.021,82.833,46.812,11.583,,0.708
2012-01-12,9.125,37.75,70.812,33.062,28.5,,0.875
2012-01-13,9.958,34.396,64.542,30.146,28.167,,1.833
2012-01-14,6.25,15.875,20.812,4.938,14.625,,0.125
2012-01-15,5.043,18.226,28.908,10.683,8.0,,0.5
2012-01-16,8.042,38.769,96.464,57.695,16.042,,0.739
2012-01-17,7.292,30.77,77.875,47.104,16.042,,0.833
2012-01-18,7.042,30.666,69.354,38.688,7.542,,0.875
2012-01-19,8.0,34.646,77.98,43.334,10.833,,0.958
2012-01-20,6.042,18.938,29.625,10.688,9.667,,0.417
2012-01-21,8.227,33.964,76.548,42.584,14.783,,0.818
2012-01-22,6.5,31.354,59.688,28.334,29.958,,0.833
2012-01-23,5.208,25.334,44.0,18.666,5.833,,0.083
2012-01-24,5.458,26.417,42.021,15.604,13.208,,0.708
2012-01-25,7.167,30.375,66.166,35.792,15.958,,0.667
2012-01-26,5.5,20.792,31.208,10.416,4.333,,0.0
2012-01-27,6.917,25.354,39.125,13.771,5.708,,0.167
2012-01-28,6.542,21.498,39.682,18.185,8.875,,0.217
2012-01-29,6.87,28.31,51.808,23.498,8.478,,0.5
2012-01-30,6.667,27.625,56.792,29.166,11.583,,0.75
2012-01-31,9.667,39.584,89.084,49.5,23.375,,1.125
2012-02-01,9.375,35.646,82.125,46.479,26.0,,1.292
2012-02-02,5.542,13.396,17.042,3.646,9.958,,0.0
2012-02-03,5.583,14.229,17.375,3.146,6.083,,0.5
2012-02-04,6.708,25.445,42.483,17.038,15.958,,0.391
