date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean
2011-07-25,14.542,16.375,1.834,5.381,20.204,2.958
2011-07-26,12.646,14.479,1.834,4.729,16.896,2.375
2011-07-27,14.458,21.271,6.812,5.0,14.729,2.458
2011-07-28,14.605,19.314,4.709,4.834,17.917,2.708
2011-07-29,20.538,25.766,5.229,5.69,26.347,3.583
2011-07-30,14.416,17.412,2.996,5.958,21.667,2.875
2011-07-31,7.142,8.14,0.998,4.688,25.5,2.478
2011-08-01,5.792,7.084,1.292,3.646,30.562,2.208
2011-08-02,6.229,7.5,1.27,3.458,20.396,2.167
2011-08-03,8.584,10.854,2.271,3.792,16.604,1.5
2011-08-04,5.444,7.233,1.79,3.646,13.166,1.167
2011-08-05,11.123,14.826,3.703,2.695,9.979,1.917
2011-08-06,10.945,17.468,6.524,4.312,16.604,2.75
2011-08-07,10.072,14.698,4.627,5.458,13.354,2.696
2011-08-08,16.708,21.708,5.0,5.345,16.166,2.375
2011-08-09,23.5,29.271,5.771,7.666,28.562,3.167
2011-08-10,17.667,20.834,3.166,7.792,34.125,2.75
2011-08-11,16.208,19.913,3.706,6.438,25.141,2.583
2011-08-12,13.299,15.34,2.042,5.334,27.334,2.5
2011-08-13,9.945,11.221,1.276,6.688,22.666,2.208
2011-08-14,8.894,10.302,1.408,7.75,28.396,2.391
2011-08-15,10.396,12.375,1.979,5.704,24.458,2.292
2011-08-16,11.271,13.02,1.75,6.52,29.042,2.5
2011-08-17,16.354,19.98,3.625,7.188,32.958,3.042
2011-08-18,14.856,18.653,3.796,6.23,32.958,2.667
2011-08-19,14.046,16.842,2.797,4.565,14.635,2.875
2011-08-20,12.342,13.782,1.44,4.125,12.062,2.917
2011-08-21,12.88,14.706,1.827,4.312,20.354,3.739
2011-08-22,17.938,20.812,2.875,5.292,17.034,3.292
2011-08-23,16.582,20.472,3.89,5.056,25.119,2.913
2011-08-24,12.396,16.75,4.354,4.062,20.125,2.208
2011-08-25,11.682,17.228,5.546,3.77,7.98,1.958
2011-08-26,13.327,17.896,4.57,4.062,13.688,2.083
2011-08-27,15.358,17.59,2.233,3.98,19.542,2.792
2011-08-28,5.544,6.94,1.396,4.75,26.25,1.957
2011-08-29,6.98,9.104,2.125,4.792,24.416,2.083
2011-08-30,8.721,10.294,1.572,4.768,16.22,2.042
2011-08-31,7.146,8.729,1.583,4.208,16.062,1.792
2011-09-01,7.07,10.631,3.56,2.875,16.938,1.583
2011-09-02,4.201,5.458,1.257,2.806,14.52,1.292
2011-09-03,3.043,3.739,0.696,3.062,9.438,1.5
2011-09-04,7.478,8.609,1.13,3.188,6.52,2.174
2011-09-05,16.917,23.833,6.917,3.614,13.834,2.917
2011-09-06,11.875,13.458,1.583,4.292,12.062,1.917
2011-09-07,25.792,30.167,4.375,6.771,17.688,3.792
2011-09-08,20.125,22.708,2.583,6.792,23.125,3.5
2011-09-09,14.875,17.708,2.833,5.146,22.56,2.625
2011-09-10,13.522,15.783,2.261,6.188,22.958,2.667
2011-09-11,6.87,8.435,1.565,5.042,11.458,1.696
2011-09-12,9.708,11.625,1.917,4.666,10.488,1.625
2011-09-13,13.208,15.917,2.708,5.542,15.5,2.125
2011-09-14,12.773,15.182,2.409,5.708,19.834,2.083
2011-09-15,8.083,9.833,1.75,3.938,13.834,1.5
2011-09-16,6.002,7.642,1.64,2.722,9.729,1.333
2011-09-17,13.653,17.76,4.107,2.938,11.5,2.417
2011-09-18,8.201,10.442,2.241,4.146,13.792,1.826
2011-09-19,9.458,12.833,3.375,4.729,12.396,1.833
2011-09-20,13.812,17.042,3.23,2.894,6.981,2.292
2011-09-21,11.625,16.0,4.375,2.334,5.833,1.417
2011-09-22,9.462,11.482,2.019,3.562,7.916,1.167
2011-09-23,10.168,12.228,2.06,4.166,9.875,1.667
2011-09-24,13.228,16.85,3.622,4.188,13.834,2.25
2011-09-25,7.788,8.653,0.866,3.812,14.729,1.957
2011-09-26,13.708,14.916,1.208,3.934,14.926,3.083
2011-09-27,16.125,19.521,3.396,4.188,15.417,3.0
2011-09-28,18.794,20.768,1.974,5.354,19.736,3.333
2011-09-29,21.506,24.054,2.549,5.812,25.271,3.625
2011-09-30,18.224,20.288,2.063,3.848,17.612,3.042
2011-10-01,4.768,5.126,0.358,3.792,12.916,2.125
2011-10-02,10.203,11.914,1.711,4.042,11.104,2.609
2011-10-03,8.458,9.312,0.854,3.377,8.512,2.125
2011-10-04,16.625,21.354,4.729,4.021,14.188,3.042
2011-10-05,16.5,18.167,1.666,3.458,12.688,3.083
2011-10-06,14.5,16.302,1.801,3.75,11.0,2.75
2011-10-07,14.872,16.169,1.296,5.396,28.292,3.833
2011-10-08,19.579,23.034,3.456,5.584,34.104,4.75
2011-10-09,14.182,15.18,0.998,6.667,36.125,4.261
2011-10-10,16.625,18.125,1.5,8.041,40.604,4.458
2011-10-11,30.208,36.562,6.354,6.72,51.402,6.083
2011-10-12,25.042,33.729,8.688,7.25,52.146,5.792
2011-10-13,27.884,31.013,3.128,6.521,49.084,5.0
2011-10-14,23.44,27.658,4.218,5.025,36.188,4.417
2011-10-15,25.828,31.856,6.028,4.857,15.248,4.304
2011-10-16,14.246,15.568,1.322,7.166,28.354,3.826
2011-10-17,22.771,26.771,4.0,6.547,28.69,4.792
2011-10-18,8.416,9.438,1.02,4.166,16.021,2.333
2011-10-19,14.864,17.298,2.434,4.464,15.688,3.0
2011-10-20,12.592,14.588,1.996,4.562,16.688,2.75
2011-10-21,8.75,10.226,1.476,3.75,12.458,2.292
2011-10-22,13.368,16.165,2.797,3.646,7.479,2.792
2011-10-23,13.984,17.416,3.432,3.75,8.729,3.261
2011-10-24,24.334,29.917,5.584,5.165,10.527,3.333
2011-10-25,18.812,24.958,6.146,5.458,17.208,3.333
2011-10-26,12.729,14.854,2.125,3.834,9.625,2.667
2011-10-27,20.315,30.122,9.807,4.23,17.479,3.75
2011-10-28,12.588,14.45,1.862,4.983,21.044,2.75
2011-10-29,20.928,23.079,2.152,5.604,23.146,3.5
2011-10-30,10.475,11.645,1.17,4.438,19.417,2.87
2011-10-31,17.479,23.25,5.771,3.742,11.646,3.542
2011-11-01,21.162,32.487,11.325,3.896,17.558,4.5
2011-11-02,13.292,15.25,1.958,4.542,19.333,
2011-11-03,22.174,26.087,3.913,7.0,29.792,
2011-11-04,24.348,33.391,9.043,5.13,29.292,
2011-11-05,20.625,23.125,2.5,4.667,35.083,
2011-11-06,19.667,24.292,4.625,4.833,20.083,
2011-11-07,11.083,12.583,1.5,3.75,9.5,
2011-11-08,15.125,20.042,4.917,3.875,12.75,
2011-11-09,17.25,22.042,4.792,3.917,12.0,
2011-11-10,18.783,23.043,4.261,4.0,15.125,
2011-11-11,23.217,30.478,7.261,3.542,12.75,
2011-11-12,27.292,51.167,23.875,4.542,17.458,
2011-11-13,17.75,24.542,6.792,5.708,26.958,
2011-11-14,24.958,35.125,10.167,6.708,43.125,
2011-11-15,15.125,17.833,2.708,4.5,20.042,
