date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-30,22.20266666666667,31.86966666666667,9.666333333333332,2.699333333333333,8.25,,196.435,88.0,76.417,60.0,15.304,42.0,14.542,-13.0,211.739
2011-01-31,21.622333333333334,27.836333333333332,6.2139999999999995,2.8746666666666667,8.208,,193.478,85.0,64.708,35.0,15.174,66.0,18.542,-19.0,208.652
2011-02-01,19.586,35.69733333333333,16.111333333333334,3.8713333333333337,13.667,,196.261,86.0,63.708,37.0,19.391,70.0,17.958,-30.0,215.652
2011-02-02,9.935,10.671333333333331,0.7360000000000001,2.655333333333333,8.708,,192.739,69.0,60.25,49.0,6.957,31.0,-4.208,-23.0,199.696
2011-02-03,26.969666666666665,33.19166666666667,6.222,3.519,13.217,,195.87,81.0,59.0,33.0,17.043,47.0,1.208,-43.0,212.913
2011-02-04,22.583333333333332,30.555333333333333,7.972,4.986,21.167,,195.304,79.0,52.667,28.0,16.174,82.0,32.083,-15.0,211.478
2011-02-05,19.764,23.305666666666667,3.5416666666666665,6.972333333333334,32.125,,196.087,81.0,55.458,34.0,13.565,86.0,45.583,-12.0,209.652
2011-02-06,25.407666666666668,28.657666666666668,3.25,5.242666666666667,22.333,,193.957,90.0,81.083,72.0,13.826,83.0,61.708,43.0,207.783
2011-02-07,17.542,20.833333333333332,3.2916666666666665,3.3193333333333332,9.833,,193.478,91.0,76.125,54.0,12.826,98.0,76.167,50.0,206.304
2011-02-08,10.597333333333333,12.319666666666668,1.7223333333333333,2.6666666666666665,5.542,,192.304,84.0,64.792,48.0,7.043,44.0,20.833,-8.0,199.348
2011-02-09,14.972,17.958,2.986,3.1533333333333338,8.478,,192.667,67.0,54.125,36.0,10.19,50.0,11.583,-23.0,202.857
2011-02-10,20.597333333333335,30.051666666666666,9.454333333333333,3.468666666666666,10.042,,193.174,80.0,60.083,33.0,13.261,68.0,24.958,-22.0,206.435
2011-02-11,9.208333333333334,10.208,1.0,2.9583333333333335,9.0,,192.043,87.0,64.333,35.0,8.783,74.0,30.125,-14.0,200.826
2011-02-12,12.194333333333333,13.472333333333333,1.278,3.097,11.667,,193.609,84.0,66.0,46.0,10.13,67.0,22.875,-19.0,203.739
2011-02-13,28.624333333333336,37.92066666666667,9.296666666666667,3.1946666666666665,12.583,,201.778,89.0,78.083,57.0,21.222,60.0,30.875,5.0,223.0
2011-02-14,30.652666666666665,46.139,15.485999999999999,2.9909999999999997,8.833,,199.556,92.0,88.958,86.0,31.667,65.0,50.917,38.0,231.222
2011-02-15,22.041666666666668,30.958333333333332,8.916666666666666,3.236,12.083,,195.739,91.0,77.167,61.0,17.174,68.0,45.458,29.0,212.913
2011-02-16,22.692666666666668,28.998,6.3053333333333335,3.389333333333333,9.957,,193.261,86.0,63.458,40.0,12.478,72.0,34.458,-2.0,205.739
2011-02-17,11.999666666666668,13.514000000000001,1.5136666666666667,3.25,6.875,,191.522,77.0,58.208,45.0,7.391,63.0,29.458,-4.0,198.913
2011-02-18,9.414666666666667,10.379,0.9643333333333333,2.428,5.083,,194.043,91.0,76.375,54.0,8.0,41.0,4.917,-30.0,202.043
2011-02-19,16.625,19.152666666666665,2.5276666666666667,2.6526666666666667,9.958,,196.13,89.0,72.042,41.0,12.391,71.0,9.042,-34.0,208.522
2011-02-20,29.630666666666666,43.91766666666666,14.286666666666667,3.5126666666666666,15.5,,197.435,90.0,68.083,36.0,19.522,86.0,26.417,-23.0,216.957
2011-02-21,38.916666666666664,66.986,28.069333333333333,5.208333333333333,21.0,,198.957,90.0,66.833,44.0,30.826,85.0,42.0,-13.0,229.783
2011-02-22,25.111,32.75,7.639,4.775333333333333,20.087,,194.727,88.0,66.708,34.0,19.409,112.0,76.625,26.0,214.136
2011-02-23,20.569666666666667,27.278000000000002,6.708333333333333,3.611,11.25,,193.087,90.0,78.125,55.0,14.609,124.0,98.0,80.0,207.696
2011-02-24,11.583333333333334,12.652666666666667,1.0696666666666668,5.083333333333333,26.5,,193.913,79.0,54.083,34.0,8.522,131.0,83.583,52.0,202.435
2011-02-25,21.0,24.916666666666668,3.9166666666666665,3.263666666666667,20.167,,196.304,88.0,77.917,68.0,17.261,76.0,60.042,32.0,213.565
2011-02-26,8.014000000000001,8.735999999999999,0.7223333333333333,2.597,9.875,,193.261,90.0,64.792,47.0,6.391,61.0,38.833,9.0,199.652
2011-02-27,15.978,17.948,1.9703333333333333,2.6813333333333333,11.722,,194.222,82.0,66.333,42.0,9.278,65.0,18.083,-13.0,203.5
2011-02-28,20.486,28.125333333333334,7.639,3.0693333333333332,10.0,,192.957,80.0,53.083,26.0,10.391,91.0,34.0,-27.0,203.348
2011-03-01,29.849666666666668,37.745,7.895666666666666,3.561,10.826,,191.696,90.0,68.458,43.0,16.261,158.0,90.042,23.0,207.957
2011-03-02,26.03,36.812666666666665,10.782666666666666,3.2920000000000003,9.125,,193.87,90.0,79.167,68.0,17.87,105.0,92.667,75.0,211.739
2011-03-03,8.708333333333334,9.403,0.6943333333333334,3.403,13.792,,192.304,79.0,56.75,32.0,7.391,135.0,86.5,41.0,199.696
2011-03-04,13.735999999999999,14.583333333333334,0.847,2.736,14.75,,193.565,85.0,76.792,57.0,9.304,93.0,61.75,24.0,202.87
2011-03-05,25.689666666666664,32.359,6.669333333333334,2.489666666666667,4.417,,192.174,90.0,86.833,82.0,13.217,120.0,103.458,90.0,205.391
2011-03-06,33.25,49.65266666666667,16.402666666666665,4.319333333333334,13.417,,197.043,90.0,77.583,63.0,24.913,170.0,129.792,100.0,221.957
2011-03-07,15.014000000000001,16.194333333333333,1.1806666666666665,4.666666666666667,27.792,,196.739,78.0,60.625,44.0,10.783,127.0,101.125,56.0,207.522
2011-03-08,19.791666666666668,24.374666666666666,4.583333333333333,4.451333333333333,28.957,,196.409,85.0,59.333,36.0,13.545,154.0,89.417,37.0,209.955
2011-03-09,19.986333333333334,21.652666666666665,1.6666666666666667,3.0693333333333332,17.167,,193.957,86.0,79.833,58.0,10.174,84.0,64.458,54.0,204.13
2011-03-10,10.153,10.847,0.6943333333333334,2.889,11.542,,192.957,87.0,64.292,45.0,8.0,111.0,75.208,52.0,200.957
2011-03-11,9.139000000000001,9.902666666666667,0.7639999999999999,3.6806666666666668,12.333,,192.217,76.0,57.167,34.0,6.217,104.0,49.042,14.0,198.435
2011-03-12,9.493,10.130666666666666,0.6376666666666667,2.9619999999999997,12.0,,193.13,83.0,65.25,45.0,5.174,74.0,28.125,1.0,198.304
2011-03-13,12.625333333333332,13.361333333333334,0.7360000000000001,2.6666666666666665,9.125,,192.565,82.0,60.167,34.0,7.652,86.0,33.917,-2.0,200.217
2011-03-14,30.596999999999998,38.19433333333333,7.597333333333334,4.083,13.833,,194.783,87.0,54.583,19.0,18.304,108.0,47.542,-16.0,213.087
2011-03-15,22.305666666666667,30.930333333333333,8.624666666666668,4.210999999999999,14.182,,194.522,71.0,53.167,25.0,14.522,105.0,50.0,4.0,209.043
2011-03-16,25.222333333333335,30.0,4.777666666666667,3.755333333333333,9.792,,192.348,79.0,50.083,16.0,12.478,149.0,76.25,-9.0,204.826
2011-03-17,30.347333333333335,40.19433333333333,9.847333333333333,3.278,9.583,,192.696,90.0,84.25,66.0,17.174,134.0,106.75,90.0,209.87
2011-03-18,26.25,52.0,25.75,3.8333333333333335,14.833,,200.348,91.0,83.5,69.0,29.304,130.0,111.375,79.0,229.652
2011-03-19,7.5073333333333325,8.029,0.5213333333333333,2.968666666666666,6.458,,192.348,83.0,57.542,40.0,6.043,94.0,63.833,6.0,198.391
2011-03-20,15.972333333333333,18.875,2.903,3.2916666666666665,9.875,,192.304,85.0,58.417,34.0,10.261,123.0,57.458,-13.0,202.565
2011-03-21,12.444333333333333,13.069666666666668,0.625,3.3056666666666668,11.458,,191.913,81.0,49.833,26.0,6.609,132.0,65.792,9.0,198.522
2011-03-22,35.389,48.44466666666667,13.055666666666667,5.541666666666667,18.292,,194.0,77.0,55.125,39.0,17.913,139.0,83.833,6.0,211.913
2011-03-23,24.583333333333332,25.916666666666668,1.3333333333333333,3.1643333333333334,8.875,,190.143,91.0,81.167,65.0,11.667,107.0,93.542,79.0,201.81
2011-03-24,15.013666666666666,15.847333333333333,0.8333333333333334,3.486,10.333,,193.609,90.0,72.625,54.0,10.957,116.0,94.833,57.0,204.565
2011-03-25,5.291666666666667,5.430666666666667,0.1386666666666667,3.2223333333333333,12.792,,193.522,75.0,61.25,41.0,5.435,85.0,56.208,35.0,198.957
2011-03-26,10.383666666666667,11.220333333333334,0.8373333333333334,2.840666666666667,10.208,,193.565,81.0,60.0,41.0,6.087,93.0,52.667,13.0,199.652
2011-03-27,27.180666666666667,33.916666666666664,6.7363333333333335,5.208666666666667,20.792,,196.478,88.0,57.792,34.0,16.304,133.0,76.625,7.0,212.783
2011-03-28,27.916666666666668,39.458333333333336,11.541666666666666,5.6113333333333335,28.458,,196.696,85.0,63.75,34.0,19.652,139.0,81.5,33.0,216.348
2011-03-29,29.847333333333335,40.875,11.028,4.905333333333334,19.958,,196.087,86.0,50.375,13.0,21.522,174.0,91.083,22.0,217.609
2011-03-30,28.416666666666668,48.625,20.20866666666667,4.985,14.696,,195.304,70.0,51.667,35.0,25.0,194.0,129.458,50.0,220.304
2011-03-31,12.125,12.944333333333333,0.8193333333333334,2.986,8.875,,190.652,89.0,74.375,50.0,7.609,162.0,97.125,25.0,198.261
2011-04-01,33.389,39.58833333333333,6.198666666666667,5.996333333333333,,,190.652,85.0,49.167,12.0,18.0,192.0,109.5,19.0,208.652
2011-04-02,28.233333333333334,36.458333333333336,8.225,5.9446666666666665,,,191.87,82.0,56.417,27.0,15.913,196.0,109.958,61.0,207.783
2011-04-03,5.861,6.514,0.6526666666666666,3.388666666666667,,,188.957,71.0,42.125,29.0,4.304,114.0,68.042,20.0,193.261
2011-04-04,18.81566666666667,21.827333333333332,3.0116666666666667,3.5453333333333332,,,190.522,80.0,49.917,18.0,9.696,151.0,68.0,0.0,200.217
2011-04-05,26.645666666666667,33.861,7.215333333333334,4.402666666666667,,,190.652,71.0,46.958,20.0,12.652,190.0,90.417,2.0,203.304
2011-04-06,28.754,33.84766666666667,5.093666666666667,5.411333333333334,,,190.348,84.0,49.25,15.0,16.391,197.0,113.833,25.0,206.739
2011-04-07,30.172666666666668,41.07,10.897666666666666,5.736999999999999,,,190.682,74.0,54.75,36.0,23.273,211.0,146.625,78.0,213.955
2011-04-08,32.47233333333333,40.916666666666664,8.444666666666667,3.847,,,188.913,90.0,74.458,55.0,20.043,163.0,138.833,109.0,208.957
2011-04-09,15.610999999999999,17.375333333333334,1.764,3.3473333333333333,,,188.174,91.0,75.5,56.0,15.0,180.0,139.667,112.0,203.174
2011-04-10,14.069333333333333,15.360999999999999,1.2916666666666667,5.833666666666666,,,190.0,89.0,53.167,22.0,11.609,207.0,132.083,61.0,201.609
2011-04-11,21.89833333333333,25.623333333333335,3.7243333333333335,5.645333333333333,,,192.478,76.0,54.0,27.0,15.304,192.0,107.458,55.0,207.783
2011-04-12,21.902666666666665,24.5,2.5973333333333333,4.528,,,189.826,78.0,46.917,18.0,12.478,177.0,98.167,29.0,202.304
2011-04-13,31.041666666666668,38.44433333333333,7.402666666666666,6.4303333333333335,,,192.217,78.0,45.667,17.0,21.783,198.0,122.5,43.0,214.0
2011-04-14,33.25033333333334,38.722,5.472333333333334,8.168,,,191.522,74.0,47.875,18.0,21.739,221.0,145.917,64.0,213.261
2011-04-15,32.416666666666664,37.263666666666666,4.847,7.194333333333333,,,191.391,83.0,70.833,49.0,25.304,198.0,145.667,103.0,216.696
2011-04-16,15.764000000000001,18.25,2.486,4.625,,,189.565,78.0,62.0,46.0,11.217,182.0,132.625,59.0,200.783
2011-04-17,9.458333333333334,9.972,0.5136666666666666,4.152666666666667,,,187.217,79.0,51.125,20.0,6.348,207.0,114.875,30.0,193.565
2011-04-18,16.029,17.971,1.9423333333333332,4.115333333333333,,,187.304,86.0,68.833,43.0,10.435,219.0,142.833,94.0,197.739
2011-04-19,16.566666666666666,18.066666666666666,1.5,3.361,,,189.522,89.0,75.417,45.0,9.391,148.0,98.708,78.0,198.913
2011-04-20,13.764000000000001,14.916666666666666,1.1526666666666667,2.3746666666666667,,,189.087,83.0,71.0,53.0,7.478,116.0,88.125,51.0,196.565
2011-04-21,26.403000000000002,34.361333333333334,7.958333333333333,4.88,,,189.783,90.0,58.75,20.0,17.13,197.0,117.792,33.0,206.913
2011-04-22,38.0,50.93066666666667,12.930666666666667,3.7260000000000004,,,192.318,89.0,80.458,60.0,25.864,162.0,125.708,95.0,218.182
2011-04-23,24.555333333333333,32.416666666666664,7.861,2.875,,,189.739,91.0,87.583,79.0,16.739,158.0,123.792,77.0,206.478
2011-04-24,15.472333333333333,17.180666666666667,1.7083333333333333,3.5833333333333335,,,191.0,92.0,75.708,53.0,12.348,153.0,98.792,55.0,203.348
2011-04-25,23.31866666666667,31.63766666666667,8.319,3.4873333333333334,,,190.957,90.0,76.917,43.0,14.565,160.0,100.375,50.0,205.522
2011-04-26,30.180666666666667,37.19433333333333,7.0136666666666665,4.875,,,189.087,90.0,67.583,40.0,18.087,217.0,138.375,74.0,207.174
2011-04-27,24.798000000000002,35.448,10.650333333333334,4.327000000000001,,,187.696,87.0,71.292,39.0,15.435,246.0,179.958,120.0,203.13
2011-04-28,14.722,15.819333333333333,1.097,3.5849999999999995,,,189.652,88.0,77.917,59.0,9.652,166.0,123.833,80.0,199.304
2011-04-29,18.680666666666667,21.611,2.9306666666666668,4.278,,,190.217,91.0,68.667,37.0,13.609,178.0,117.833,59.0,203.826
2011-04-30,28.902666666666665,35.833333333333336,6.9303333333333335,5.708333333333333,,,190.522,88.0,61.292,28.0,20.391,240.0,154.583,76.0,210.913
2011-05-01,16.166666666666668,18.221999999999998,2.0556666666666668,3.653,,,187.087,88.0,79.417,62.0,12.913,184.0,160.417,136.0,200.0
2011-05-02,13.681333333333333,15.362,1.6813333333333336,4.541666666666667,,,188.696,82.0,52.583,28.0,10.478,239.0,168.333,105.0,199.174
2011-05-03,19.152666666666665,20.055333333333333,0.9026666666666667,3.8473333333333333,,,191.13,74.0,56.875,39.0,15.391,188.0,146.333,105.0,206.522
2011-05-04,13.402666666666667,15.639000000000001,2.236,4.75,,,191.174,83.0,53.042,30.0,14.435,238.0,158.708,87.0,205.609
2011-05-05,7.930666666666667,8.153,0.22233333333333336,4.208333333333333,,,188.13,74.0,50.5,22.0,9.522,249.0,160.5,96.0,197.652
2011-05-06,13.038000000000002,14.519,1.4809999999999999,4.1946666666666665,,,187.435,77.0,58.792,46.0,11.304,237.0,176.583,101.0,198.739
2011-05-07,5.6386666666666665,5.972,0.3333333333333333,4.347333333333333,,,183.652,76.0,57.958,40.0,6.304,260.0,207.833,176.0,189.957
2011-05-08,8.222333333333333,8.805666666666667,0.5833333333333334,5.597,,,186.565,80.0,60.25,39.0,9.304,272.0,208.708,143.0,195.87
2011-05-09,19.97,21.487666666666666,1.5166666666666666,6.628,,,187.043,70.0,54.625,28.0,14.826,283.0,206.458,120.0,201.87
2011-05-10,20.718,27.57766666666667,6.858999999999999,4.972,,,183.261,90.0,82.458,69.0,19.087,234.0,217.75,197.0,202.348
2011-05-11,23.73,31.883,8.152666666666667,2.625,,,185.522,91.0,89.708,88.0,17.435,213.0,187.917,175.0,202.957
2011-05-12,21.241,27.030666666666665,5.79,2.736666666666667,,,185.043,91.0,84.833,72.0,16.391,215.0,195.125,177.0,201.435
2011-05-13,15.813333333333333,17.233666666666668,1.4203333333333334,4.608666666666667,,,187.087,89.0,60.375,26.0,12.478,239.0,193.375,129.0,199.565
2011-05-14,15.472333333333333,16.277666666666665,0.8053333333333333,5.416333333333334,,,188.261,81.0,43.667,23.0,11.0,239.0,182.875,122.0,199.261
2011-05-15,13.985999999999999,14.847,0.8613333333333334,5.3613333333333335,,,189.13,73.0,45.5,20.0,12.696,245.0,177.583,96.0,201.826
2011-05-16,22.463333333333335,26.232,3.768333333333333,6.452333333333333,,,188.217,73.0,51.125,25.0,14.957,251.0,192.208,119.0,203.174
2011-05-17,24.389,27.527666666666665,3.139,5.083333333333333,,,189.652,88.0,70.0,36.0,17.304,244.0,169.833,122.0,206.957
2011-05-18,20.291666666666668,25.069333333333333,4.777666666666667,5.222,,,188.826,90.0,52.875,20.0,15.261,266.0,181.25,106.0,204.087
2011-05-19,25.597333333333335,30.305666666666667,4.708333333333333,7.103333333333333,,,189.391,79.0,51.625,28.0,18.435,271.0,196.083,112.0,207.826
2011-05-20,21.583333333333332,25.444333333333333,3.861,6.575666666666667,,,187.5,84.0,57.875,25.0,18.0,274.0,208.75,138.0,205.5
2011-05-21,15.25,19.042,3.7916666666666665,5.611,,,183.783,85.0,65.667,47.0,15.783,291.0,229.75,169.0,199.565
2011-05-22,7.0136666666666665,8.333666666666666,1.3193333333333335,3.861,,,185.174,86.0,72.667,59.0,9.304,235.0,194.875,147.0,194.478
2011-05-23,15.463666666666667,16.696,1.232,2.485,,,186.739,89.0,82.583,74.0,9.522,164.0,148.167,136.0,196.261
2011-05-24,12.902666666666667,13.819333333333333,0.9166666666666666,3.097,,,184.609,88.0,71.75,50.0,7.13,234.0,171.5,136.0,191.739
2011-05-25,24.506666666666664,27.319333333333333,2.812333333333333,5.583333333333333,,,187.174,84.0,56.375,21.0,16.217,291.0,206.167,132.0,203.391
2011-05-26,12.625,13.347,0.7223333333333333,4.981000000000001,,,186.174,76.0,61.167,46.0,7.609,235.0,196.458,172.0,193.783
2011-05-27,11.333333333333334,11.736333333333334,0.4026666666666667,2.8523333333333327,,,185.217,88.0,72.792,60.0,7.13,194.0,175.25,158.0,192.348
2011-05-28,13.958333333333334,14.930333333333332,0.972,2.3336666666666663,,,186.913,89.0,87.042,79.0,11.13,206.0,184.0,166.0,198.043
2011-05-29,8.430333333333333,9.374666666666668,0.9443333333333334,2.0,,,184.87,90.0,88.458,84.0,7.652,209.0,185.667,164.0,192.522
2011-05-30,6.8406666666666665,7.261,0.4203333333333334,2.2083333333333335,,,185.783,86.0,77.625,64.0,7.348,192.0,168.833,149.0,193.13
2011-05-31,10.472,11.013666666666666,0.5416666666666666,2.9066666666666663,,,185.13,85.0,67.75,50.0,10.783,227.0,181.375,136.0,195.913
2011-06-01,13.319666666666668,14.638666666666666,1.3193333333333335,2.4446666666666665,,,185.609,89.0,80.75,69.0,9.217,188.0,170.125,158.0,194.826
2011-06-02,14.212000000000002,15.887333333333332,1.6753333333333333,2.811666666666667,,,185.739,88.0,79.167,62.0,12.522,240.0,187.625,158.0,198.261
2011-06-03,16.867333333333335,18.882666666666665,2.0156666666666667,4.966,,,187.909,88.0,68.25,43.0,18.364,270.0,216.583,168.0,206.273
2011-06-04,15.930666666666667,18.361,2.4303333333333335,6.069333333333333,,,187.87,88.0,65.958,42.0,18.826,281.0,228.333,174.0,206.696
2011-06-05,13.180666666666667,13.833333333333334,0.6526666666666666,5.847333333333334,,,186.348,87.0,70.792,57.0,17.565,249.0,214.0,176.0,203.913
2011-06-06,18.963333333333335,20.755666666666666,1.7926666666666666,6.487666666666667,,,188.696,90.0,60.875,32.0,19.087,279.0,218.333,153.0,207.783
2011-06-07,17.208,19.666666666666668,2.4583333333333335,5.516333333333333,,,189.217,74.0,60.917,49.0,16.261,264.0,214.708,181.0,205.478
2011-06-08,12.528,13.25,0.722,5.166666666666667,,,184.478,83.0,63.833,49.0,11.13,274.0,225.833,181.0,195.609
2011-06-09,17.430666666666667,19.041666666666668,1.611,5.440666666666666,,,186.0,80.0,67.167,51.0,17.087,272.0,236.5,208.0,203.087
2011-06-10,24.166666666666668,27.83366666666667,3.6666666666666665,5.317666666666667,,,188.565,90.0,77.083,62.0,22.957,258.0,229.417,207.0,211.522
2011-06-11,10.270666666666665,11.090333333333334,0.8193333333333334,3.375,,,187.261,91.0,80.625,63.0,13.261,244.0,212.667,179.0,200.522
2011-06-12,11.597333333333333,12.444666666666668,0.847,3.75,,,189.087,88.0,79.5,58.0,14.739,237.0,199.333,173.0,203.826
2011-06-13,15.975000000000001,17.134,1.1596666666666666,4.082999999999999,,,186.087,90.0,73.125,53.0,13.826,252.0,212.208,174.0,199.913
2011-06-14,10.513666666666667,11.714999999999998,1.2016666666666667,4.333,,,186.304,89.0,62.958,36.0,11.261,279.0,221.083,172.0,197.565
2011-06-15,17.028000000000002,19.069333333333333,2.0416666666666665,4.680666666666666,,,188.391,78.0,57.167,32.0,12.87,270.0,213.917,156.0,201.261
2011-06-16,17.194333333333333,18.430666666666667,1.236,3.2916666666666665,,,188.826,88.0,80.125,70.0,11.0,221.0,196.0,179.0,199.826
2011-06-17,13.722333333333333,15.0,1.278,3.405666666666667,,,185.045,90.0,75.5,58.0,11.455,269.0,222.667,181.0,196.5
2011-06-18,16.708333333333332,18.528000000000002,1.8193333333333335,3.0696666666666665,,,190.261,90.0,83.833,76.0,16.261,237.0,215.833,203.0,206.522
2011-06-19,10.735999999999999,12.180666666666667,1.4443333333333335,3.1803333333333335,,,189.217,90.0,79.583,62.0,13.174,260.0,225.167,203.0,202.391
2011-06-20,23.275333333333332,29.956666666666667,6.681,2.9723333333333333,,,188.048,90.0,86.083,76.0,22.143,246.0,220.875,201.0,210.19
2011-06-21,19.12,24.227666666666664,5.107666666666667,4.101,,,183.182,90.0,74.667,55.0,18.864,294.0,248.417,212.0,202.045
2011-06-22,19.25,28.180666666666667,8.930333333333333,5.375,,,184.522,89.0,74.833,58.0,24.0,298.0,259.167,217.0,208.522
2011-06-23,10.860999999999999,16.416666666666668,5.555666666666667,4.397333333333333,,,178.818,87.0,70.375,51.0,14.227,323.0,277.75,241.0,193.045
2011-06-24,9.847333333333333,14.722333333333333,4.875,4.25,,,178.174,79.0,66.417,51.0,13.043,326.0,286.625,252.0,191.217
2011-06-25,7.555666666666667,10.777666666666667,3.2223333333333333,4.389,,,177.842,78.0,61.875,43.0,12.789,340.0,297.625,265.0,190.632
2011-06-26,8.208333333333334,11.347333333333333,3.139,4.083333333333333,,,181.304,88.0,65.542,43.0,15.913,341.0,286.708,249.0,197.217
2011-06-27,9.869666666666667,14.594333333333333,4.724666666666667,3.8919999999999995,,,178.826,78.0,59.708,46.0,13.174,320.0,290.0,256.0,192.0
2011-06-28,10.125666666666667,13.619333333333335,3.4933333333333336,4.666666666666667,,,177.857,75.0,60.292,43.0,13.19,340.0,295.625,265.0,191.048
2011-06-29,13.464666666666666,18.58866666666667,5.124,5.8886666666666665,,,180.818,82.0,60.667,42.0,17.864,353.0,295.125,245.0,198.682
2011-06-30,15.822999999999999,22.55666666666667,6.733666666666667,5.550666666666667,,,181.952,77.0,63.292,44.0,20.762,345.0,287.208,242.0,202.714
2011-07-01,21.52,29.677666666666667,8.157666666666666,5.1003333333333325,,,184.667,86.0,75.583,65.0,22.286,289.0,261.292,247.0,206.952
2011-07-02,11.805666666666667,14.0,2.1946666666666665,4.527666666666667,,,184.348,82.0,67.75,52.0,18.0,306.0,274.458,246.0,202.348
