date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min
2011-02-24,36.146,72.688,36.542,2.084,40.667,5.75,68.0,51.083,35.0,14.7,10.508,7.6
2011-02-25,29.862,56.35,26.488,0.734,32.9,5.81,99.0,79.875,57.0,10.5,8.862,5.9
2011-02-26,19.042,29.666,10.625,0.166,13.958,3.917,86.0,58.125,38.0,7.8,4.929,2.2
2011-02-27,27.674,56.761,29.087,0.086,13.375,4.0,45.0,37.083,29.0,7.9,3.988,1.3
2011-02-28,37.566,80.794,43.229,0.604,20.792,5.0,66.0,42.625,29.0,9.8,5.092,-0.7
2011-03-01,44.104,125.417,81.312,1.208,32.958,7.167,90.0,73.792,46.0,17.0,10.779,5.7
2011-03-02,35.66,107.02,71.36,0.542,30.233,6.958,99.0,92.167,81.0,10.1,9.325,7.4
2011-03-03,24.375,44.042,19.666,0.584,14.604,4.5,85.0,57.542,28.0,14.7,9.608,5.8
2011-03-04,29.062,50.542,21.48,0.271,35.167,6.667,99.0,81.708,57.0,9.0,6.788,4.2
2011-03-05,43.826,117.522,73.696,0.413,24.667,7.522,99.0,99.0,99.0,12.3,10.629,8.2
2011-03-06,35.646,108.75,73.104,0.75,22.02,7.75,99.0,88.458,73.0,18.3,14.354,11.0
2011-03-07,30.604,59.458,28.854,0.958,32.0,5.625,64.0,52.917,40.0,13.2,11.712,8.9
2011-03-08,37.625,77.875,40.25,1.583,30.521,6.417,68.0,55.625,42.0,16.7,10.992,6.7
2011-03-09,36.125,77.416,41.292,0.646,27.666,5.792,99.0,89.458,67.0,9.5,8.55,7.2
2011-03-10,22.666,42.188,19.52,0.208,11.458,4.042,99.0,68.833,35.0,13.6,8.875,5.4
2011-03-11,15.058,20.704,5.646,0.396,8.25,3.476,65.0,52.458,36.0,11.9,6.575,2.1
2011-03-12,26.848,54.261,27.413,0.261,8.625,4.083,99.0,79.167,57.0,7.2,3.375,0.8
2011-03-13,32.084,64.354,32.271,0.292,12.5,4.208,80.0,52.625,32.0,7.9,4.212,0.7
2011-03-14,39.479,75.812,36.333,0.979,18.083,4.792,72.0,49.833,31.0,10.7,5.496,-0.3
2011-03-15,33.146,68.229,35.084,0.604,20.396,4.667,69.0,50.167,26.0,11.0,6.283,2.3
2011-03-16,34.625,71.354,36.729,1.062,22.73,4.625,73.0,55.5,41.0,13.5,8.075,1.2
2011-03-17,38.271,90.562,52.292,0.104,32.666,7.542,99.0,98.958,98.0,12.4,10.396,8.2
2011-03-18,23.042,50.562,27.521,0.312,23.938,6.125,99.0,90.125,74.0,14.5,11.967,9.6
2011-03-19,25.183,49.184,24.001,0.228,7.775,3.13,78.0,49.333,27.0,10.5,7.771,3.2
2011-03-20,26.521,47.896,21.375,0.312,11.271,3.542,67.0,48.5,30.0,13.5,7.192,1.0
2011-03-21,28.75,53.208,24.458,0.25,11.604,3.75,55.0,39.5,24.0,11.4,7.362,4.0
2011-03-22,37.5,81.583,44.083,1.584,27.75,4.583,66.0,52.0,24.0,15.3,9.246,2.2
2011-03-23,38.5,84.375,45.875,0.229,26.812,5.417,99.0,89.625,69.0,10.4,9.212,8.4
2011-03-24,25.304,54.562,29.258,0.229,13.4,4.381,99.0,77.958,40.0,13.4,9.992,7.2
2011-03-25,14.438,19.875,5.438,0.292,10.896,3.542,94.0,75.833,59.0,7.4,5.579,2.9
2011-03-26,29.396,59.089,29.694,0.386,12.375,4.208,96.0,67.333,33.0,10.3,5.762,2.0
2011-03-27,38.666,82.688,44.02,0.771,20.334,4.917,84.0,56.875,32.0,14.4,8.812,2.5
2011-03-28,35.584,73.104,37.52,1.25,28.854,4.667,90.0,58.25,36.0,14.0,9.171,4.1
2011-03-29,34.208,62.604,28.396,1.146,22.042,4.167,79.0,45.917,16.0,17.2,10.954,3.9
2011-03-30,28.688,54.875,26.188,1.479,22.896,3.667,78.0,58.167,30.0,19.1,13.354,6.3
2011-03-31,16.084,25.792,9.708,0.271,13.521,3.125,99.0,78.125,53.0,15.9,11.329,5.1
2011-04-01,38.852,76.848,37.996,1.952,16.216,4.958,65.0,40.083,16.0,18.7,11.471,3.8
2011-04-02,28.521,51.458,22.938,1.416,24.688,4.542,56.0,45.333,34.0,19.4,12.471,7.8
2011-04-03,12.666,19.833,7.166,0.292,7.062,2.958,53.0,35.417,23.0,13.2,8.967,5.9
2011-04-04,27.304,57.566,30.26,0.391,5.916,3.522,60.0,30.792,12.0,16.8,9.904,3.3
2011-04-05,30.146,61.334,31.188,1.062,16.729,3.833,68.0,34.333,17.0,19.0,11.771,4.3
2011-04-06,35.979,65.292,29.312,1.854,20.25,4.333,74.0,50.417,20.0,21.3,13.842,6.5
2011-04-07,30.25,54.729,24.479,1.646,21.25,3.625,69.0,53.75,33.0,21.3,15.788,10.2
2011-04-08,17.812,25.834,8.021,0.812,19.812,2.417,99.0,81.25,55.0,19.8,16.558,15.0
2011-04-09,18.958,34.438,15.479,0.604,16.812,3.667,99.0,81.0,53.0,19.4,15.671,11.6
2011-04-10,21.821,29.196,7.375,1.725,28.833,4.571,83.0,47.25,24.0,21.5,15.033,8.6
2011-04-11,31.391,55.978,24.587,1.328,28.4,4.458,75.0,53.833,27.0,20.1,13.046,8.8
2011-04-12,30.854,59.312,28.458,0.688,22.146,3.667,41.0,25.958,17.0,17.0,11.775,6.4
2011-04-13,41.375,73.312,31.938,2.542,30.75,4.75,56.0,38.417,23.0,21.8,14.104,5.5
2011-04-14,41.729,73.916,32.188,3.229,31.042,4.917,64.0,42.125,20.0,24.4,16.883,8.5
2011-04-15,43.085,72.061,28.976,2.464,37.646,4.875,90.0,63.417,33.0,22.7,16.542,11.9
2011-04-16,20.25,39.146,18.896,0.75,29.334,3.833,93.0,61.458,39.0,19.7,14.888,8.5
2011-04-17,15.584,23.292,7.708,0.75,16.708,3.875,76.0,48.958,24.0,19.5,13.65,6.8
2011-04-18,29.848,61.37,31.522,1.674,26.458,4.13,99.0,73.833,47.0,20.8,15.329,9.8
2011-04-19,28.021,56.104,28.084,0.583,10.312,3.542,99.0,80.25,53.0,14.8,10.858,8.8
2011-04-20,21.5,43.812,22.312,0.27,5.188,2.458,89.0,64.292,44.0,16.2,11.8,8.7
2011-04-21,31.312,71.271,39.958,1.834,12.604,4.0,83.0,56.167,22.0,21.2,14.196,7.2
2011-04-22,42.188,82.229,40.042,1.479,37.229,5.75,99.0,78.792,61.0,17.8,14.721,11.8
2011-04-23,14.062,20.792,6.729,0.062,16.938,2.625,99.0,93.625,78.0,16.9,14.738,10.0
2011-04-24,18.854,26.958,8.104,0.479,12.542,3.833,87.0,66.542,43.0,17.0,12.112,7.9
2011-04-25,31.976,61.784,29.808,0.942,17.366,4.381,88.0,69.042,38.0,16.2,12.242,7.8
2011-04-26,30.772,61.214,30.442,1.856,25.167,3.917,89.0,64.583,43.0,18.7,14.5,8.5
2011-04-27,12.584,19.666,7.083,0.562,44.542,2.5,99.0,87.083,64.0,23.6,19.033,14.4
2011-04-28,33.125,64.896,31.771,0.646,16.958,3.875,99.0,69.708,48.0,18.6,14.888,11.1
2011-04-29,28.771,49.646,20.875,0.542,13.062,4.167,82.0,55.333,35.0,17.7,13.492,8.1
2011-04-30,26.104,48.708,22.604,2.0,22.958,4.583,85.0,66.833,45.0,19.6,15.121,9.4
2011-05-01,16.062,21.792,5.729,0.084,22.666,2.708,99.0,95.458,80.0,17.7,16.292,14.1
2011-05-02,25.007,49.948,24.942,0.313,109.589,4.478,95.0,52.5,24.0,24.0,17.842,12.1
2011-05-03,27.584,44.896,17.312,1.354,102.104,5.917,78.0,56.375,40.0,19.4,16.417,11.6
2011-05-04,17.5,26.521,9.021,1.521,47.292,3.917,86.0,51.167,23.0,24.0,18.046,11.4
2011-05-05,19.521,29.5,9.98,1.333,21.084,3.708,71.0,45.333,27.0,24.0,18.133,12.5
2011-05-06,24.638,40.812,16.175,1.592,36.208,3.905,66.0,60.0,49.0,22.9,19.033,15.3
2011-05-07,24.729,42.688,17.958,2.396,20.25,3.625,71.0,62.375,49.0,24.4,20.929,18.1
2011-05-08,17.812,23.417,5.604,1.979,31.312,3.667,79.0,49.167,20.0,28.2,22.808,18.7
2011-05-09,29.956,46.978,17.022,2.0,42.27,4.292,95.0,49.625,22.0,27.9,21.133,14.2
2011-05-10,34.458,79.458,45.0,0.916,55.48,5.458,99.0,93.167,78.0,23.5,21.325,19.5
2011-05-11,41.916,85.604,43.688,0.146,25.583,4.792,99.0,98.958,98.0,19.1,17.942,17.2
2011-05-12,36.208,95.354,59.146,0.312,21.52,5.75,99.0,99.0,99.0,20.3,18.975,17.3
2011-05-13,28.104,56.646,28.542,0.542,63.438,3.5,99.0,53.083,23.0,23.5,20.4,16.2
2011-05-14,27.98,47.417,19.438,0.979,45.396,4.0,73.0,45.708,25.0,24.2,18.708,12.7
2011-05-15,18.0,22.979,4.979,1.666,31.5,3.583,72.0,45.5,22.0,26.6,20.033,12.3
2011-05-16,25.065,43.804,18.739,1.892,36.229,3.217,84.0,59.833,38.0,25.5,20.312,15.1
2011-05-17,31.03,49.74,18.709,1.214,34.542,3.042,86.0,64.125,40.0,25.2,19.725,14.5
2011-05-18,32.042,58.979,26.938,2.0,22.834,3.583,88.0,51.875,19.0,26.4,20.183,12.8
2011-05-19,31.583,48.98,17.396,2.75,32.271,3.25,78.0,54.458,26.0,27.8,21.308,14.3
2011-05-20,34.875,57.396,22.521,2.666,47.458,3.773,83.0,63.95,38.0,29.6,22.9,16.4
2011-05-21,25.016,38.175,13.158,1.888,38.184,4.286,81.0,62.375,43.0,30.9,24.725,17.8
2011-05-22,13.98,22.188,8.208,0.542,19.042,3.375,91.0,77.125,61.0,25.6,21.646,17.4
2011-05-23,34.63,81.956,47.326,0.978,13.854,4.625,99.0,83.125,67.0,19.0,16.775,14.8
2011-05-24,35.125,65.646,30.521,1.125,9.396,4.042,99.0,78.667,54.0,22.0,17.312,13.7
2011-05-25,34.646,52.188,17.542,2.104,22.562,4.208,81.0,58.25,41.0,25.5,21.079,17.3
2011-05-26,28.271,46.916,18.646,1.125,19.625,3.375,87.0,63.0,44.0,24.3,20.817,17.5
2011-05-27,34.347,67.763,33.416,0.853,30.646,4.292,98.0,83.417,70.0,20.2,18.362,17.0
2011-05-28,30.708,64.208,33.5,0.188,22.312,5.917,99.0,96.917,91.0,20.8,19.125,16.9
2011-05-29,10.979,19.042,8.062,0.0,20.5,2.833,99.0,97.333,89.0,23.7,21.304,19.6
2011-05-30,16.348,31.696,15.348,0.391,16.375,1.87,99.0,71.208,47.0,25.1,21.05,17.3
2011-05-31,22.292,43.812,21.52,0.958,12.792,2.458,88.0,65.208,43.0,26.1,20.271,15.8
2011-06-01,19.646,35.583,15.938,0.062,18.166,2.792,99.0,94.708,86.0,17.7,16.392,15.5
2011-06-02,32.192,77.176,44.984,0.13,12.042,4.333,99.0,97.958,96.0,19.0,17.479,15.7
2011-06-03,26.34,78.417,52.076,1.416,30.092,4.458,99.0,74.5,46.0,26.9,21.629,16.2
2011-06-04,24.458,34.875,10.416,2.062,49.792,4.65,93.0,70.25,42.0,29.3,23.262,17.4
2011-06-05,18.333,25.062,6.729,2.188,53.416,4.375,93.0,74.875,59.0,26.2,22.979,19.5
2011-06-06,30.587,57.74,27.152,1.391,34.896,4.417,99.0,58.0,32.0,29.5,23.904,17.7
2011-06-07,32.146,60.667,28.52,1.5,29.562,4.25,86.0,68.375,59.0,25.3,22.05,20.0
2011-06-08,32.044,53.158,21.113,1.854,31.812,4.0,96.0,72.083,52.0,27.1,22.833,18.9
2011-06-09,25.884,40.668,14.784,3.125,29.208,3.708,85.0,71.708,58.0,27.4,23.996,20.9
2011-06-10,31.958,52.125,20.166,2.604,43.438,3.917,99.0,80.958,65.0,26.7,23.867,21.4
2011-06-11,19.27,33.604,14.333,0.833,23.625,3.667,99.0,85.5,63.0,26.8,23.179,21.2
2011-06-12,20.083,29.229,9.146,0.834,24.938,4.708,99.0,75.833,51.0,26.2,22.354,18.4
2011-06-13,28.674,57.804,29.13,1.348,20.084,3.348,99.0,75.083,52.0,27.8,22.808,17.9
2011-06-14,26.542,50.229,23.688,1.104,16.02,2.625,85.0,58.208,32.0,29.3,24.496,20.8
2011-06-15,29.926,61.786,31.86,2.15,18.812,3.458,81.0,59.25,34.0,27.3,23.35,19.7
2011-06-16,25.334,38.375,13.042,1.604,30.27,3.25,99.0,86.292,65.0,24.4,21.217,18.8
2011-06-17,35.875,71.771,35.896,1.854,16.833,4.833,99.0,84.208,68.0,25.8,22.429,18.8
2011-06-18,25.679,42.732,17.052,0.607,13.978,4.095,99.0,96.333,85.0,22.8,21.792,21.0
2011-06-19,20.875,30.729,9.854,1.521,19.208,5.042,99.0,88.75,75.0,25.5,23.033,20.8
2011-06-20,20.978,34.305,13.326,0.5,12.854,3.167,99.0,91.667,82.0,25.4,23.579,22.3
2011-06-21,33.042,68.396,35.354,1.021,14.75,4.5,99.0,82.042,60.0,30.2,26.296,22.2
2011-06-22,34.438,70.084,35.646,1.812,38.333,4.833,97.0,75.417,57.0,32.9,28.242,22.8
2011-06-23,26.021,51.375,25.354,1.584,45.958,3.708,95.0,69.958,45.0,35.1,30.483,25.6
2011-06-24,20.646,50.25,29.604,1.646,29.583,3.0,83.0,62.708,43.0,35.3,31.062,26.7
2011-06-25,16.145,37.688,21.542,0.896,27.792,2.833,97.0,71.542,46.0,35.8,30.325,25.1
2011-06-26,3.334,5.625,2.292,0.021,16.667,1.083,92.0,75.667,58.0,32.0,28.95,27.0
2011-06-27,6.057,10.29,4.233,0.296,15.805,0.435,99.0,84.333,67.0,32.1,28.496,24.3
2011-06-28,21.688,48.917,27.229,1.396,18.146,2.833,98.0,69.917,47.0,36.0,31.008,26.4
2011-06-29,21.688,59.833,38.146,0.896,18.688,2.917,80.0,56.958,38.0,37.2,32.554,27.6
2011-06-30,22.834,59.688,36.854,1.646,19.529,3.042,80.0,61.125,45.0,35.8,31.638,27.0
2011-07-01,24.062,59.87,35.808,1.43,19.208,3.0,96.0,77.625,57.0,32.2,28.071,25.3
2011-07-02,18.771,44.666,25.896,0.938,19.208,3.167,95.0,70.0,51.0,34.2,29.604,24.8
2011-07-03,15.042,22.166,7.125,1.146,29.458,2.792,91.0,73.083,49.0,34.6,29.575,26.5
2011-07-04,17.782,31.804,14.022,1.087,39.666,2.5,99.0,76.75,51.0,35.0,29.8,24.5
2011-07-05,22.666,40.021,17.354,0.938,18.583,3.0,99.0,69.167,39.0,33.3,28.254,23.9
2011-07-06,23.125,43.271,20.146,1.292,24.75,2.792,99.0,66.833,41.0,34.7,27.846,22.5
2011-07-07,12.75,19.354,6.604,0.166,14.042,1.25,99.0,98.958,98.0,25.1,24.629,23.8
2011-07-08,26.25,68.438,42.188,1.02,24.917,3.75,99.0,79.375,56.0,34.5,29.479,24.4
2011-07-09,21.333,37.042,15.708,1.792,23.146,3.167,91.0,69.167,46.0,36.3,31.733,27.5
2011-07-10,8.25,12.166,3.917,0.688,15.958,1.833,88.0,71.042,49.0,35.7,30.592,27.2
2011-07-11,13.456,35.63,22.174,0.804,10.729,2.043,84.0,69.042,49.0,34.7,30.475,26.9
2011-07-12,16.229,37.833,21.604,1.188,15.292,2.208,99.0,77.417,59.0,32.8,29.112,26.8
2011-07-13,13.916,27.396,13.479,0.958,15.458,1.625,89.0,69.708,51.0,34.2,29.788,26.0
2011-07-14,16.646,31.77,15.125,1.666,12.5,2.208,89.0,66.333,31.0,35.6,30.133,26.2
2011-07-15,25.506,49.867,24.36,1.829,21.375,3.125,87.0,65.333,40.0,36.5,30.558,25.0
2011-07-16,17.025,28.029,11.004,1.408,24.912,2.762,88.0,67.917,48.0,34.7,30.75,27.1
2011-07-17,10.416,16.354,5.938,1.104,19.625,2.125,91.0,72.75,56.0,34.4,30.438,26.0
2011-07-18,5.717,9.826,4.108,0.239,11.958,0.917,95.0,74.792,53.0,33.9,30.133,27.1
2011-07-19,7.208,12.312,5.104,0.0,11.812,0.792,99.0,93.458,84.0,29.1,26.829,25.0
2011-07-20,12.979,25.479,12.5,0.458,8.354,2.0,99.0,91.417,74.0,31.2,27.792,24.6
2011-07-21,24.938,58.188,33.25,1.792,19.375,3.792,98.0,82.042,66.0,32.2,28.158,22.9
2011-07-22,22.333,45.0,22.666,2.042,28.875,3.25,99.0,85.125,71.0,26.5,23.562,20.6
2011-07-23,20.146,35.792,15.646,1.562,22.458,2.958,91.0,68.208,45.0,33.1,27.804,23.0
2011-07-24,16.834,25.104,8.271,1.708,33.938,3.167,89.0,75.875,57.0,32.0,27.442,23.4
2011-07-25,22.672,44.672,22.0,0.29,21.062,3.0,99.0,93.667,82.0,27.3,25.254,24.2
2011-07-26,17.792,32.292,14.5,0.542,19.292,2.292,99.0,84.917,66.0,31.0,27.321,24.0
2011-07-27,16.75,27.146,10.396,0.416,15.042,2.0,99.0,90.542,72.0,31.0,27.117,24.8
2011-07-28,19.154,60.062,40.908,1.184,23.021,3.5,99.0,75.792,51.0,33.5,29.158,25.4
2011-07-29,16.77,55.729,38.958,1.271,22.416,3.083,89.0,71.458,53.0,33.0,28.962,24.6
2011-07-30,20.208,44.562,24.354,1.312,25.646,3.125,86.0,72.667,57.0,33.3,29.625,26.7
2011-07-31,11.208,13.583,2.375,0.416,16.646,2.458,99.0,82.25,61.0,32.0,27.271,23.7
2011-08-01,25.657,50.78,25.122,1.422,23.015,3.917,96.0,76.542,60.0,31.3,27.946,25.1
2011-08-02,28.792,61.958,33.166,1.25,35.146,4.5,99.0,91.667,81.0,28.4,25.783,23.2
2011-08-03,18.792,39.458,20.667,3.042,26.562,3.083,99.0,77.75,58.0,32.4,28.612,24.3
2011-08-04,21.479,43.229,21.75,2.146,23.708,3.375,98.0,73.542,53.0,33.5,29.725,25.3
2011-08-05,16.292,33.666,17.375,0.75,14.292,2.25,93.0,77.0,57.0,35.2,29.808,27.0
2011-08-06,15.395,28.188,12.792,0.917,18.729,2.75,98.0,78.042,55.0,35.2,30.621,27.2
2011-08-07,14.0,19.708,5.708,0.854,18.334,2.917,85.0,71.625,54.0,35.8,31.338,27.3
2011-08-08,31.76,52.391,20.63,1.434,36.834,3.957,93.0,77.875,57.0,36.0,31.133,27.9
2011-08-09,28.729,52.771,24.042,1.708,32.354,3.333,94.0,73.708,55.0,36.2,31.625,26.5
2011-08-10,32.0,58.646,26.646,2.042,47.521,4.292,86.0,67.583,50.0,37.9,33.271,29.4
2011-08-11,20.779,45.862,25.084,0.479,24.016,2.857,72.0,61.625,45.0,35.9,32.129,29.3
2011-08-12,21.375,42.854,21.48,1.125,25.188,3.417,85.0,63.125,41.0,36.7,31.521,26.4
2011-08-13,14.27,25.584,11.312,1.23,22.438,3.083,84.0,65.333,47.0,37.0,32.046,27.2
2011-08-14,13.062,16.458,3.396,1.458,40.375,3.458,85.0,72.583,54.0,35.9,31.817,28.5
2011-08-15,14.174,21.565,7.392,0.934,35.02,3.167,99.0,79.125,57.0,34.6,30.312,27.3
2011-08-16,16.708,28.708,12.0,0.625,31.334,3.917,99.0,83.625,61.0,33.4,29.471,26.0
2011-08-17,23.104,35.167,12.062,0.792,32.771,3.625,99.0,85.917,59.0,35.7,29.554,27.0
2011-08-18,27.662,54.614,26.952,1.108,36.75,4.167,99.0,77.708,53.0,36.1,31.233,27.1
2011-08-19,24.125,49.584,25.458,0.896,20.125,3.75,99.0,81.542,60.0,32.8,28.925,26.6
2011-08-20,18.125,27.625,9.5,0.5,11.917,2.583,99.0,91.75,76.0,26.7,24.479,22.3
2011-08-21,18.25,27.52,9.27,0.334,19.0,3.833,99.0,99.0,99.0,26.4,24.212,22.2
2011-08-22,22.434,43.348,20.913,0.674,16.521,3.652,99.0,85.625,63.0,31.5,27.079,23.0
2011-08-23,12.729,21.396,8.666,0.521,33.604,2.0,99.0,86.167,66.0,31.8,28.312,24.2
2011-08-24,14.25,32.375,18.125,0.521,14.02,2.25,99.0,81.75,60.0,33.2,29.025,25.7
2011-08-25,9.432,17.633,8.201,0.256,7.085,1.25,99.0,89.75,76.0,29.3,27.683,26.1
2011-08-26,19.3,51.107,31.806,1.026,17.938,3.286,99.0,82.417,57.0,33.6,29.008,25.2
2011-08-27,15.916,34.042,18.125,0.98,16.438,3.667,99.0,85.958,70.0,32.4,28.596,25.5
2011-08-28,17.708,26.75,9.042,1.812,35.583,4.333,99.0,84.167,65.0,32.8,28.446,25.1
2011-08-29,30.456,53.0,22.544,2.152,36.333,4.708,98.0,78.042,58.0,33.3,29.221,25.2
2011-08-30,30.979,53.98,23.0,2.333,30.542,4.167,94.0,72.5,51.0,35.0,30.271,26.7
2011-08-31,24.854,53.166,28.312,1.062,30.166,4.0,90.0,73.375,53.0,34.2,30.167,27.4
2011-09-01,11.458,31.271,19.812,0.167,14.0,2.167,99.0,76.0,55.0,34.6,30.362,26.5
2011-09-02,8.43,31.292,22.864,0.35,17.053,1.792,99.0,82.125,46.0,34.7,29.175,27.1
2011-09-03,0.917,1.146,0.229,0.0,34.27,0.583,98.0,78.625,68.0,31.0,29.367,27.2
2011-09-04,2.646,3.25,0.604,0.0,18.666,0.708,99.0,94.625,83.0,28.2,26.058,24.5
2011-09-05,21.456,51.304,29.848,0.456,11.416,2.783,99.0,89.542,69.0,28.2,25.271,23.2
2011-09-06,28.721,52.741,24.02,0.638,12.654,2.429,84.0,58.417,33.0,29.7,25.0,21.6
2011-09-07,34.625,70.625,36.0,1.479,16.542,4.042,89.0,60.667,36.0,30.7,24.779,17.2
2011-09-08,22.354,36.938,14.584,1.042,21.354,2.958,89.0,70.417,46.0,31.5,26.083,20.1
