date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean
2011-08-16,5.104,5.7915,0.6875,12.4165,17.875
2011-08-17,4.9585,5.7705,0.8125,14.729,19.125
2011-08-18,5.771,6.271,0.5,12.2915,19.375
2011-08-19,6.833,8.1875,1.354,12.125,19.833
2011-08-20,8.854,10.354,1.5,15.354500000000002,23.167
2011-08-21,8.1455,8.771,0.625,4.0415,11.542
2011-08-22,15.0435,17.935,2.891,4.604,11.292
2011-08-23,11.521,18.521,7.0,5.3125,12.542
2011-08-24,13.625,19.146,5.521,13.8955,21.292
2011-08-25,12.341000000000001,16.4545,4.1135,18.109,24.318
2011-08-26,9.792,13.896,4.104,8.333,16.375
2011-08-27,10.5,13.4375,2.9375,11.2705,19.042
2011-08-28,9.125,11.0,1.875,15.5,23.333
2011-08-29,12.152000000000001,15.934999999999999,3.7824999999999998,15.3335,23.583
2011-08-30,14.562999999999999,19.8965,5.3335,20.292,28.667
2011-08-31,13.458,17.0835,3.625,24.7915,31.917
2011-09-01,11.3335,15.604,4.271,20.9585,28.333
2011-09-02,6.4375,11.2705,4.833,6.979,16.042
2011-09-03,4.875,6.125,1.25,12.583,13.583
2011-09-04,4.625,5.875,1.25,7.6455,13.375
2011-09-05,11.739,15.0655,3.3259999999999996,5.042,14.083
2011-09-06,12.625,15.646,3.0205,6.7085,14.375
2011-09-07,12.125,14.854,2.7295,11.75,20.273
2011-09-08,11.771,13.5,1.7295,20.5835,29.417
2011-09-09,17.8955,22.5835,4.6875,27.4375,35.0
2011-09-10,8.3125,11.3125,3.0,16.708,22.542
2011-09-11,6.9585,8.8125,1.8544999999999998,10.1455,17.75
2011-09-12,12.609,17.261,4.652,9.917,18.167
2011-09-13,13.104,17.0,3.896,15.396,24.083
2011-09-14,13.5835,16.917,3.3335,17.374499999999998,24.435
2011-09-15,10.625,13.917,3.292,8.479,16.0
2011-09-16,8.8545,15.2915,6.4375,4.542,13.292
2011-09-17,8.75,12.625,3.875,4.542,12.292
2011-09-18,6.521,9.521,3.0,3.3335,11.75
2011-09-19,7.087,9.5215,2.4345,0.646,7.125
2011-09-20,10.125,13.457999999999998,3.333,0.174,6.087
2011-09-21,7.5835,10.729,3.1455,4.1875,8.708
2011-09-22,14.104500000000002,18.5835,4.479,2.2705,9.25
2011-09-23,14.2085,17.479,3.2705,6.4375,14.5
2011-09-24,12.25,14.521,2.2705,10.479,16.75
2011-09-25,14.75,17.0,2.25,11.0,17.667
2011-09-26,18.064999999999998,21.7395,3.674,16.979,26.083
2011-09-27,15.582999999999998,18.3545,2.7705,17.5625,26.583
2011-09-28,16.3125,19.875,3.5625,17.2085,26.417
2011-09-29,8.875,9.6875,0.8125,16.208,24.542
2011-09-30,11.083,13.104,2.021,12.7705,21.542
2011-10-01,14.5625,18.4375,3.875,7.7085,14.5
2011-10-02,10.354,12.208,1.854,5.0625,10.25
2011-10-03,12.3695,16.022000000000002,3.652,5.9165,12.042
2011-10-04,10.5835,12.4375,1.8544999999999998,7.604,14.0
2011-10-05,17.8545,22.2705,4.417,5.146,12.13
2011-10-06,16.8125,22.9375,6.125,14.8955,23.167
2011-10-07,20.625,24.5,3.875,29.6665,40.167
2011-10-08,14.625,16.7085,2.0835,19.625,27.292
2011-10-09,11.3125,12.083,0.7705,41.354,51.125
2011-10-10,10.587,11.347999999999999,0.7609999999999999,37.5835,44.667
2011-10-11,19.1665,22.6455,3.479,32.0625,41.0
2011-10-12,12.6875,15.521,2.833,37.0,45.875
2011-10-13,14.896,16.375,1.4795,38.229,44.542
2011-10-14,16.542,25.25,8.7085,23.4165,30.917
2011-10-15,8.4585,9.875,1.4165,9.083,15.958
2011-10-16,6.0625,6.1875,0.125,24.5,29.25
2011-10-17,13.7605,16.196,2.4345,19.8335,28.333
2011-10-18,17.271,22.5,5.229,11.0625,18.042
2011-10-19,12.0985,16.0125,3.9145,10.1085,16.727
2011-10-20,17.083,19.6385,2.5555000000000003,15.771,22.583
2011-10-21,22.7085,29.0,6.2915,13.4585,22.833
2011-10-22,7.375,10.021,2.646,1.2705,8.292
2011-10-23,10.9795,15.146,4.1665,3.9375,10.958
2011-10-24,16.064999999999998,23.478,7.413,5.7915,13.083
2011-10-25,10.3125,15.792000000000002,5.479,6.9585,13.458
2011-10-26,13.271,19.3335,6.0625,5.8955,9.75
2011-10-27,16.2085,22.4375,6.229,9.5,15.5
2011-10-28,25.104,31.4375,6.3335,18.604,27.708
2011-10-29,20.8125,30.4375,9.625,16.3125,21.667
2011-10-30,17.479,27.125,9.646,5.3125,10.542
2011-10-31,17.848,25.0435,7.195499999999999,8.7915,16.958
2011-11-01,13.479,19.25,5.771,12.2705,18.875
2011-11-02,20.0835,28.9585,8.875,11.2915,19.682
2011-11-03,17.1045,25.0205,7.917,14.896,22.125
2011-11-04,14.583,24.521,9.9375,15.167,21.25
2011-11-05,13.4375,18.8125,5.375,6.0205,12.333
2011-11-06,12.729,18.083,5.354,3.5,11.25
2011-11-07,15.543500000000002,22.978,7.4350000000000005,7.5,14.333
2011-11-08,17.854,26.8335,8.979,6.5625,11.25
2011-11-09,15.5415,22.0205,6.479,6.2295,10.333
2011-11-10,13.3955,18.771,5.375,5.8335,10.667
