date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CO_mean
2011-02-24,24.167,30.806,6.639,26.847,4.565
2011-02-25,18.578,21.189,2.611,24.903,4.125
2011-02-26,6.069,7.028,0.958,6.431,2.25
2011-02-27,5.459,6.415,0.957,7.319,2.208
2011-02-28,20.43,26.528,6.097,8.389,3.125
2011-03-01,33.222,49.833,16.611,16.736,4.833
2011-03-02,25.38,46.31,20.93,18.187,5.458
2011-03-03,7.694,8.653,0.96,8.208,2.667
2011-03-04,17.931,19.43,1.5,17.764,4.125
2011-03-05,33.794,48.415,14.621,18.861,6.0
2011-03-06,30.833,64.097,33.264,26.944,7.208
2011-03-07,10.532,11.409,0.877,33.93,4.043
2011-03-08,24.083,27.069,2.986,33.67,5.042
2011-03-09,16.597,17.833,1.236,16.792,3.696
2011-03-10,7.025,7.886,0.861,8.056,2.583
2011-03-11,4.625,5.431,0.806,7.75,2.458
2011-03-12,7.443,8.704,1.261,6.611,2.25
2011-03-13,8.014,9.347,1.333,8.361,2.167
2011-03-14,17.555,20.779,3.224,10.389,2.913
2011-03-15,15.708,20.033,4.326,12.457,3.318
2011-03-16,25.194,33.0,7.806,13.347,3.318
2011-03-17,31.141,51.559,20.418,14.75,4.958
2011-03-18,19.444,30.708,11.264,11.445,5.083
2011-03-19,5.63,6.441,0.81,6.307,2.333
2011-03-20,7.347,8.264,0.917,7.278,2.292
2011-03-21,6.223,6.974,0.75,7.486,2.348
2011-03-22,17.931,22.014,4.083,12.903,3.417
2011-03-23,26.722,37.959,11.236,16.361,3.565
2011-03-24,15.318,21.953,6.635,6.778,3.0
2011-03-25,6.195,7.389,1.195,7.014,2.708
2011-03-26,7.492,8.602,1.11,8.319,2.25
2011-03-27,14.778,18.889,4.111,12.653,2.833
2011-03-28,17.741,23.164,5.422,19.056,3.348
2011-03-29,14.375,16.778,2.403,15.989,2.792
2011-03-30,25.236,35.718,10.483,13.818,2.864
2011-03-31,9.136,13.391,4.255,9.333,1.958
2011-04-01,28.736,35.097,6.361,15.236,9.562
2011-04-02,14.653,17.555,2.903,21.708,9.25
2011-04-03,5.194,7.07,1.875,8.792,8.312
2011-04-04,6.935,8.916,1.981,6.944,8.041
2011-04-05,21.336,23.732,2.395,13.022,9.145
2011-04-06,27.049,30.053,3.003,17.18,9.94
2011-04-07,26.597,32.069,5.472,15.194,9.229
2011-04-08,26.653,36.264,9.611,14.486,8.792
2011-04-09,14.681,18.361,3.681,13.069,8.708
2011-04-10,12.778,13.819,1.042,22.917,9.938
2011-04-11,15.1,16.913,1.813,22.389,10.083
2011-04-12,8.251,9.66,1.409,18.389,8.698
2011-04-13,33.686,42.451,8.764,24.166,10.605
2011-04-14,30.639,35.945,5.305,25.986,10.604
2011-04-15,21.29,23.684,2.394,24.331,8.37
2011-04-16,11.0,14.681,3.681,23.931,7.5
2011-04-17,9.556,10.806,1.25,14.5,6.958
2011-04-18,18.377,21.626,3.248,17.542,6.812
2011-04-19,12.0,13.383,1.382,7.986,7.214
2011-04-20,6.763,7.935,1.172,4.431,6.358
2011-04-21,25.528,31.43,5.903,11.695,7.146
2011-04-22,24.194,28.847,4.653,15.278,7.208
2011-04-23,14.708,17.222,2.514,11.611,6.334
2011-04-24,8.403,9.625,1.222,13.236,7.25
2011-04-25,22.406,29.975,7.57,14.597,8.188
2011-04-26,22.994,27.574,4.581,22.958,7.234
2011-04-27,20.068,26.218,6.15,32.333,6.579
2011-04-28,11.933,14.235,2.303,12.926,5.478
2011-04-29,7.958,9.32,1.361,12.639,3.625
2011-04-30,17.153,21.75,4.597,18.833,4.208
2011-05-01,9.541,10.486,0.944,16.68,3.958
2011-05-02,6.577,7.411,0.834,67.514,4.688
2011-05-03,16.537,17.886,1.348,65.25,6.288
2011-05-04,8.117,8.923,0.806,30.375,4.736
2011-05-05,13.389,14.278,0.889,17.972,4.812
2011-05-06,16.444,17.695,1.25,24.972,4.708
2011-05-07,20.458,23.694,3.236,16.097,4.584
2011-05-08,8.403,9.292,0.889,25.139,4.792
2011-05-09,22.018,24.029,2.011,32.681,5.438
2011-05-10,24.843,40.612,15.768,40.597,5.644
2011-05-11,20.741,28.408,7.667,9.139,4.508
2011-05-12,23.875,42.32,18.445,13.097,5.0
2011-05-13,10.536,14.199,3.663,40.463,5.659
2011-05-14,11.222,13.75,2.528,29.194,7.854
2011-05-15,13.68,14.847,1.167,23.014,8.292
2011-05-16,21.886,25.037,3.15,25.097,7.75
2011-05-17,17.198,18.791,1.592,26.014,8.231
2011-05-18,21.662,23.837,2.175,20.917,8.51
2011-05-19,23.278,25.875,2.597,27.042,8.375
2011-05-20,22.38,25.654,3.275,33.827,8.521
2011-05-21,16.097,19.708,3.611,28.403,8.146
2011-05-22,10.417,13.875,3.458,13.792,7.875
2011-05-23,20.278,27.886,7.608,12.945,9.334
2011-05-24,19.317,22.667,3.351,7.917,8.865
2011-05-25,27.551,32.901,5.35,16.667,8.759
2011-05-26,26.583,33.75,7.167,16.917,8.48
2011-05-27,25.404,33.944,8.54,15.584,8.938
2011-05-28,20.264,23.43,3.167,18.347,10.229
2011-05-29,9.472,12.278,2.806,12.139,8.604
2011-05-30,8.138,9.65,1.512,15.351,7.381
2011-05-31,15.522,17.959,2.438,8.764,5.916
2011-06-01,20.505,37.172,16.667,23.445,6.118
2011-06-02,23.736,42.25,18.514,12.194,4.062
2011-06-03,25.487,32.546,7.059,24.189,4.354
2011-06-04,15.986,19.083,3.097,37.5,4.584
2011-06-05,16.403,18.07,1.667,39.653,4.75
2011-06-06,21.017,24.979,3.961,24.639,4.188
2011-06-07,27.012,33.204,6.193,25.125,4.382
2011-06-08,25.177,29.468,4.291,24.694,3.88
2011-06-09,26.597,33.32,6.722,21.125,3.896
2011-06-10,24.278,34.93,10.653,28.858,4.042
2011-06-11,16.834,21.653,4.82,21.639,4.438
2011-06-12,11.736,12.5,0.764,23.264,4.417
2011-06-13,13.65,15.457,1.807,15.917,3.812
2011-06-14,7.025,7.317,0.292,14.778,3.292
2011-06-15,23.549,30.216,6.667,16.928,4.409
2011-06-16,22.597,31.208,8.611,20.972,5.166
2011-06-17,22.125,28.083,5.958,14.07,4.646
2011-06-18,18.653,24.556,5.903,16.847,4.771
2011-06-19,14.903,18.0,3.097,23.486,5.084
2011-06-20,21.908,39.955,18.047,15.458,4.354
2011-06-21,24.889,50.54,25.651,17.111,4.146
2011-06-22,23.327,38.246,14.919,30.986,5.13
2011-06-23,20.375,44.459,24.083,30.333,4.354
2011-06-24,15.972,40.069,24.097,19.556,4.02
2011-06-25,9.389,13.611,4.222,21.556,3.625
2011-06-26,3.847,7.986,4.139,14.555,2.688
2011-06-27,7.569,21.653,14.083,16.135,2.896
2011-06-28,16.055,27.954,11.899,21.306,4.027
2011-06-29,8.689,12.108,3.419,19.583,4.114
2011-06-30,16.708,24.028,7.319,30.653,6.02
2011-07-01,15.278,23.958,8.681,21.958,4.125
2011-07-02,12.82,17.181,4.361,19.278,4.604
2011-07-03,16.736,22.25,5.514,38.625,5.146
2011-07-04,18.304,34.543,16.239,38.958,4.646
2011-07-05,13.258,19.705,6.447,18.943,4.87
2011-07-06,19.746,24.0,4.254,24.472,5.547
2011-07-07,15.625,34.944,19.32,17.042,5.584
2011-07-08,11.611,23.153,11.542,19.889,4.979
2011-07-09,16.0,31.986,15.986,25.569,5.771
2011-07-10,8.514,16.958,8.444,14.958,4.667
2011-07-11,10.264,25.264,15.0,11.639,4.896
2011-07-12,10.889,26.078,15.189,13.041,5.089
2011-07-13,12.284,30.889,18.605,13.042,5.21
2011-07-14,12.389,26.583,14.195,13.625,5.375
2011-07-15,13.837,20.006,6.169,19.774,4.886
2011-07-16,13.306,19.403,6.097,19.278,4.375
2011-07-17,8.361,13.139,4.778,17.333,4.25
2011-07-18,6.798,16.503,9.705,16.292,4.166
2011-07-19,5.53,15.883,10.353,17.194,3.847
2011-07-20,11.673,23.004,11.33,12.597,4.352
2011-07-21,18.139,36.708,18.57,18.584,8.854
2011-07-22,19.458,32.444,12.986,22.764,12.667
2011-07-23,16.722,18.68,1.958,26.917,12.812
2011-07-24,13.514,15.333,1.82,29.639,12.708
2011-07-25,16.952,27.807,10.855,23.25,12.938
2011-07-26,15.598,30.31,14.711,17.861,12.584
2011-07-27,14.937,32.567,17.629,18.264,12.544
2011-07-28,8.111,14.139,6.028,19.958,12.52
2011-07-29,6.577,11.338,4.76,17.996,10.076
2011-07-30,10.188,12.084,1.896,20.354,9.084
2011-07-31,13.895,17.292,3.396,17.0,9.645
2011-08-01,20.246,34.356,14.11,21.166,10.312
2011-08-02,16.068,23.154,7.085,26.542,10.698
2011-08-03,17.104,32.334,15.229,25.292,10.318
2011-08-04,14.688,19.416,4.729,19.875,10.104
2011-08-05,12.361,23.218,10.856,17.784,9.73
2011-08-06,15.771,32.666,16.896,20.292,10.166
2011-08-07,13.729,16.312,2.583,17.917,10.062
2011-08-08,21.842,30.478,8.636,27.292,10.458
2011-08-09,25.674,33.388,7.714,35.521,10.88
2011-08-10,26.479,35.166,8.688,38.375,10.528
2011-08-11,6.084,7.042,0.958,19.354,9.458
2011-08-12,6.918,7.754,0.835,25.906,8.038
2011-08-13,9.5,10.458,0.958,23.583,7.084
2011-08-14,6.396,7.188,0.792,38.834,7.333
2011-08-15,7.16,8.402,1.242,32.875,7.708
2011-08-16,8.928,10.315,1.388,34.861,8.122
2011-08-17,15.357,20.291,4.934,33.847,8.315
2011-08-18,15.931,20.014,4.083,35.028,8.416
2011-08-19,13.125,16.264,3.139,19.569,8.292
2011-08-20,13.264,17.305,4.042,15.125,8.646
2011-08-21,18.847,24.667,5.819,20.889,9.188
2011-08-22,17.889,23.552,5.662,18.695,8.584
2011-08-23,15.214,26.394,11.179,32.556,7.5
2011-08-24,11.278,26.285,15.007,17.111,7.499
2011-08-25,10.215,32.872,22.657,9.917,7.834
2011-08-26,10.75,19.875,9.125,16.097,8.292
2011-08-27,11.528,20.25,8.722,17.972,8.104
2011-08-28,15.528,18.903,3.375,27.583,8.625
2011-08-29,21.681,25.304,3.623,26.801,9.131
2011-08-30,21.717,23.798,2.08,29.986,9.468
2011-08-31,13.137,22.834,9.697,16.667,8.902
2011-09-01,6.542,16.444,9.903,12.833,8.396
2011-09-02,5.087,12.219,7.131,19.64,7.792
2011-09-03,2.653,5.264,2.611,29.028,7.666
2011-09-04,5.042,8.319,3.278,16.417,7.834
2011-09-05,9.541,14.752,5.211,10.222,8.271
2011-09-06,6.172,6.963,0.792,10.181,7.954
2011-09-07,19.81,24.201,4.391,15.319,9.008
2011-09-08,19.528,22.889,3.361,18.819,8.771
2011-09-09,16.458,19.181,2.722,24.903,8.5
2011-09-10,12.847,18.861,6.014,20.542,7.979
2011-09-11,9.806,20.597,10.792,13.458,7.646
2011-09-12,13.423,27.581,14.158,13.32,7.792
2011-09-13,16.058,25.806,9.748,17.764,8.015
2011-09-14,19.115,29.56,10.444,20.405,8.734
2011-09-15,12.611,25.097,12.486,14.0,8.354
2011-09-16,7.597,16.333,8.736,14.667,8.354
2011-09-17,6.806,18.834,12.028,13.305,7.771
2011-09-18,8.333,18.569,10.236,12.194,8.229
2011-09-19,12.954,19.055,6.101,17.708,9.292
2011-09-20,10.281,29.835,19.553,13.806,8.691
2011-09-21,7.247,12.855,5.608,11.597,8.865
2011-09-22,5.875,6.986,1.111,6.264,8.729
2011-09-23,6.5,7.389,0.889,7.278,9.125
2011-09-24,18.153,20.25,2.097,14.389,9.979
2011-09-25,15.903,17.542,1.639,16.25,9.625
2011-09-26,25.011,43.36,18.349,23.861,11.521
2011-09-27,27.786,42.629,14.842,25.667,10.954
2011-09-28,27.708,34.145,6.437,22.069,10.636
2011-09-29,24.584,27.571,2.988,25.25,9.688
2011-09-30,19.971,22.623,2.652,26.388,9.159
2011-10-01,5.011,5.866,0.855,7.764,7.938
2011-10-02,5.889,6.929,1.039,6.972,8.479
2011-10-03,5.953,6.823,0.87,5.528,8.334
2011-10-04,20.517,24.909,4.392,11.158,8.812
2011-10-05,20.731,23.537,2.806,17.833,9.426
2011-10-06,8.889,10.097,1.208,9.417,8.208
2011-10-07,10.694,11.639,0.945,26.111,9.5
2011-10-08,18.653,21.305,2.653,23.667,10.062
2011-10-09,12.458,13.375,0.917,26.084,10.125
2011-10-10,18.347,20.625,2.278,32.458,10.083
2011-10-11,28.312,38.333,10.021,44.042,5.917
2011-10-12,21.82,29.75,7.93,43.354,5.435
2011-10-13,33.896,50.188,16.292,42.875,7.042
2011-10-14,20.487,34.206,13.718,34.491,11.227
2011-10-15,19.509,33.616,14.106,14.695,10.508
2011-10-16,12.931,16.403,3.472,18.722,11.229
2011-10-17,14.139,19.484,5.346,22.472,11.646
2011-10-18,13.211,15.448,2.237,12.166,10.504
2011-10-19,24.422,32.157,7.735,18.139,11.492
2011-10-20,30.791,40.611,9.819,26.292,12.292
2011-10-21,34.806,49.278,14.472,34.264,12.979
2011-10-22,18.139,26.292,8.153,19.042,10.896
2011-10-23,10.222,12.625,2.403,9.153,10.146
2011-10-24,23.271,38.751,15.48,10.417,11.105
2011-10-25,11.395,18.402,7.007,13.208,11.208
2011-10-26,5.514,6.403,0.889,6.708,11.094
2011-10-27,23.515,30.53,7.015,15.226,11.875
2011-10-28,27.014,35.194,8.18,19.319,12.167
2011-10-29,26.667,31.014,4.347,20.778,12.27
2011-10-30,14.931,16.75,1.819,26.681,11.812
2011-10-31,11.725,14.464,2.739,10.682,10.478
2011-11-01,27.488,43.395,15.907,14.0,11.552
2011-11-02,28.361,46.183,17.822,21.304,12.578
2011-11-03,26.569,44.097,17.528,29.604,14.167
2011-11-04,27.584,43.792,16.208,29.292,12.666
2011-11-05,21.375,27.833,6.458,35.583,12.146
2011-11-06,11.611,16.264,4.653,18.708,11.395
2011-11-07,7.515,9.105,1.59,7.958,10.979
2011-11-08,10.743,12.594,1.851,8.054,9.978
2011-11-09,14.683,18.807,4.124,9.722,9.696
2011-11-10,21.153,34.111,12.958,15.556,10.042
2011-11-11,18.625,27.982,9.357,15.549,11.812
2011-11-12,17.5,30.083,12.583,12.521,7.083
2011-11-13,10.5,15.938,5.438,14.229,6.042
2011-11-14,19.872,27.36,7.488,29.899,7.042
2011-11-15,10.771,12.73,1.958,12.978,5.917
2011-11-16,15.459,20.002,4.542,7.916,5.783
2011-11-17,22.062,29.229,7.167,13.438,5.958
2011-11-18,36.312,81.375,45.062,29.396,9.25
2011-11-19,25.125,53.062,27.938,24.792,8.0
2011-11-20,9.708,16.646,6.938,11.938,6.292
2011-11-21,10.668,12.959,2.292,4.042,4.25
2011-11-22,19.75,29.854,10.104,7.854,4.792
2011-11-23,23.69,47.494,23.804,16.708,6.783
2011-11-24,14.855,32.422,17.567,9.304,6.042
2011-11-25,12.812,14.521,1.708,3.938,4.292
2011-11-26,19.542,30.583,11.042,7.958,5.417
2011-11-27,19.875,32.854,12.98,17.396,6.458
2011-11-28,31.94,94.86,62.921,30.729,9.917
2011-11-29,35.432,104.831,69.4,41.057,16.04
2011-11-30,33.978,75.147,41.169,28.383,12.362
2011-12-01,12.536,14.644,2.108,6.888,9.812
2011-12-02,16.664,23.714,7.05,5.903,10.0
2011-12-03,17.542,33.792,16.25,7.896,5.0
2011-12-04,4.979,5.666,0.688,4.125,2.958
2011-12-05,12.188,14.52,2.334,6.938,3.75
2011-12-06,25.338,46.596,21.258,13.668,6.125
2011-12-07,24.792,50.532,25.741,16.916,5.478
2011-12-08,26.229,76.834,50.604,20.75,8.083
2011-12-09,12.834,25.062,12.23,6.5,4.292
2011-12-10,23.0,31.542,8.542,11.0,5.0
2011-12-11,15.597,18.0,2.403,11.64,10.6
2011-12-12,20.837,37.827,16.99,14.181,11.954
2011-12-13,20.57,34.542,13.972,10.611,11.75
2011-12-14,25.33,46.514,21.184,12.528,11.812
2011-12-15,19.056,38.036,18.981,18.419,11.887
2011-12-16,8.695,10.514,1.819,4.458,9.834
2011-12-17,12.514,17.805,5.292,3.153,9.688
2011-12-18,12.514,23.722,11.208,8.181,10.229
2011-12-19,11.49,13.766,2.277,4.819,9.872
2011-12-20,16.771,24.035,7.264,6.479,10.146
2011-12-21,25.077,43.693,18.616,13.979,5.826
2011-12-22,23.708,44.0,20.292,25.125,6.625
2011-12-23,10.208,11.375,1.167,3.292,3.708
2011-12-24,16.75,21.584,4.833,8.334,3.75
2011-12-25,7.812,9.333,1.521,3.375,3.042
2011-12-26,18.869,27.529,8.66,5.396,3.625
2011-12-27,23.625,35.562,11.937,7.792,4.167
2011-12-28,27.125,31.774,4.649,7.196,10.154
2011-12-29,22.215,34.538,12.323,14.167,11.002
2011-12-30,6.042,6.875,0.833,4.472,9.208
2011-12-31,11.25,12.416,1.167,10.5,3.417
2012-01-01,8.688,9.833,1.146,9.312,3.625
2012-01-02,10.646,13.895,3.25,15.27,3.958
2012-01-03,2.354,3.084,0.729,5.52,1.5
2012-01-04,5.166,6.229,1.062,2.792,1.646
2012-01-05,15.171,17.84,2.669,4.396,2.968
2012-01-06,14.896,18.104,3.208,8.042,3.146
2012-01-07,18.519,23.022,4.504,9.584,3.646
2012-01-08,21.385,32.38,10.996,15.011,3.77
2012-01-09,16.5,30.062,13.562,11.271,3.23
2012-01-10,12.042,13.938,1.896,5.771,2.416
2012-01-11,12.854,14.25,1.396,6.208,2.326
2012-01-12,30.514,46.984,16.47,15.73,5.216
2012-01-13,24.084,28.396,4.312,24.021,5.396
2012-01-14,12.678,14.489,1.81,11.792,3.208
2012-01-15,7.032,7.868,0.836,6.398,2.566
2012-01-16,22.5,31.167,8.666,12.916,3.75
2012-01-17,14.913,22.892,7.978,12.856,3.521
2012-01-18,7.166,8.0,0.834,4.062,1.896
2012-01-19,13.933,16.538,2.605,9.333,2.905
2012-01-20,6.625,7.458,0.834,14.98,3.312
2012-01-21,31.782,42.926,11.144,18.98,5.042
2012-01-22,18.229,22.416,4.188,10.125,3.43
2012-01-23,22.854,34.771,11.916,6.896,2.875
2012-01-24,26.48,39.729,13.25,15.584,4.396
2012-01-25,15.188,24.375,9.188,13.062,2.478
2012-01-26,5.438,6.063,0.625,6.125,1.446
2012-01-27,9.208,10.25,1.042,6.188,2.416
2012-01-28,9.694,12.168,2.475,4.708,1.958
2012-01-29,11.792,13.562,1.771,7.375,2.083
2012-01-30,16.084,19.729,3.646,21.562,3.562
2012-01-31,33.572,55.738,22.166,23.087,5.503
2012-02-01,40.396,73.479,33.084,32.958,7.729
2012-02-02,26.014,41.377,15.362,31.521,6.76
2012-02-03,6.958,8.542,1.584,8.958,4.188
2012-02-04,24.436,33.376,8.94,14.625,5.562
2012-02-05,12.294,14.606,2.312,12.532,4.27
2012-02-06,24.458,35.333,10.875,12.021,5.48
2012-02-07,20.021,35.688,15.666,13.416,5.854
2012-02-08,5.625,7.229,1.604,3.062,1.891
2012-02-09,7.068,7.792,0.724,4.688,1.754
2012-02-10,8.188,9.146,0.958,14.334,2.312
2012-02-11,5.362,5.655,0.294,14.0,2.604
2012-02-12,20.932,27.178,6.246,15.708,2.646
2012-02-13,11.729,12.312,0.584,9.73,2.584
2012-02-14,19.998,24.797,4.799,7.875,3.085
2012-02-15,18.771,22.292,3.521,7.958,3.77
2012-02-16,4.271,4.704,0.433,4.167,2.998
2012-02-17,12.492,14.039,1.547,6.542,3.351
2012-02-18,25.529,34.226,8.697,11.396,4.979
2012-02-19,9.875,10.444,0.57,8.542,3.312
2012-02-20,11.097,12.667,1.57,5.792,3.02
2012-02-21,10.5,11.75,1.25,8.208,3.167
2012-02-22,13.82,15.778,1.958,12.771,2.609
2012-02-23,9.894,10.783,0.889,11.854,2.522
2012-02-24,6.861,7.934,1.073,7.375,2.068
2012-02-25,7.347,8.141,0.793,4.896,1.688
2012-02-26,20.542,23.403,2.861,15.334,2.812
2012-02-27,14.167,17.0,2.833,21.562,2.583
2012-02-28,24.271,35.205,10.934,16.846,3.412
2012-02-29,,,,,
2012-03-01,28.653,59.319,30.667,18.042,4.812
2012-03-02,4.253,15.489,11.236,16.166,4.03
2012-03-03,4.088,15.63,11.542,7.48,3.042
2012-03-04,13.365,26.579,13.213,8.271,3.104
2012-03-05,12.901,25.077,12.177,16.11,3.021
2012-03-06,22.486,44.597,22.111,24.5,3.521
2012-03-07,36.486,62.917,26.43,35.25,4.396
2012-03-08,35.472,62.195,26.722,36.146,4.152
2012-03-09,21.809,37.56,15.75,48.688,4.015
2012-03-10,16.357,31.969,15.611,25.0,3.42
2012-03-11,7.314,19.28,11.965,7.5,1.77
2012-03-12,29.0,49.555,20.555,14.104,3.021
2012-03-13,27.936,56.539,28.603,19.312,2.75
2012-03-14,5.347,16.153,10.806,10.167,1.584
2012-03-15,24.248,33.033,8.785,13.128,3.236
2012-03-16,13.908,17.1,3.192,27.729,3.358
2012-03-17,13.161,14.108,0.947,31.604,3.504
2012-03-18,20.268,22.856,2.588,42.875,2.146
2012-03-19,15.208,20.139,4.931,23.021,2.938
2012-03-20,26.597,42.195,15.597,31.958,4.666
2012-03-21,4.667,5.292,0.625,5.396,1.646
2012-03-22,25.32,31.167,5.847,13.438,1.674
2012-03-23,8.247,8.766,0.519,15.625,1.085
2012-03-24,17.37,18.53,1.161,21.708,1.772
2012-03-25,7.128,7.461,0.333,16.167,1.125
2012-03-26,13.417,15.361,1.945,12.23,1.75
2012-03-27,32.945,40.986,8.042,18.625,2.916
2012-03-28,18.644,21.469,2.826,18.126,2.546
2012-03-29,11.665,21.156,9.491,20.646,4.046
2012-03-30,13.597,15.542,1.944,15.52,4.438
2012-03-31,16.577,20.424,3.848,19.27,5.978
2012-04-01,5.083,9.597,4.514,8.181,2.458
2012-04-02,15.053,21.121,6.068,13.042,2.917
2012-04-03,14.708,23.278,8.569,14.347,2.292
2012-04-04,5.881,7.002,1.12,6.75,2.435
2012-04-05,13.152,20.051,6.899,20.235,3.417
2012-04-06,9.653,14.472,4.819,10.32,2.565
2012-04-07,5.413,6.274,0.861,9.667,2.417
2012-04-08,7.569,8.389,0.819,11.597,2.458
2012-04-09,12.498,14.358,1.86,21.584,3.667
2012-04-10,21.042,24.819,3.778,28.0,3.75
2012-04-11,17.381,25.899,8.518,19.597,2.609
2012-04-12,10.583,12.764,2.18,12.917,3.0
2012-04-13,16.798,20.852,4.053,18.248,3.381
2012-04-14,10.559,11.518,0.959,14.611,2.417
2012-04-15,12.5,14.097,1.597,10.931,2.542
2012-04-16,29.038,36.402,7.364,18.222,3.0
2012-04-17,22.056,28.958,6.903,23.57,3.458
2012-04-18,23.129,25.463,2.335,22.931,3.043
2012-04-19,24.0,27.0,3.0,21.444,2.542
2012-04-20,24.458,34.264,9.806,20.972,2.957
2012-04-21,16.428,22.365,5.938,15.694,2.333
2012-04-22,9.222,9.958,0.736,9.139,1.5
2012-04-23,18.699,22.229,3.53,10.25,2.917
2012-04-24,13.951,15.611,1.659,47.375,3.708
2012-04-25,24.485,28.336,3.851,45.57,3.435
2012-04-26,24.014,29.889,5.875,27.444,2.542
2012-04-27,8.758,10.5,1.742,7.976,2.136
2012-04-28,20.269,24.335,4.066,16.25,3.208
2012-04-29,10.528,11.458,0.93,23.625,3.0
2012-04-30,12.179,13.864,1.684,19.944,2.167
2012-05-01,14.056,18.389,4.333,12.569,1.5
2012-05-02,16.705,21.306,4.601,9.744,1.913
2012-05-03,7.819,11.917,4.097,9.708,1.792
2012-05-04,2.486,3.125,0.639,3.278,1.087
2012-05-05,6.652,7.43,0.779,12.125,2.042
2012-05-06,12.319,13.583,1.264,26.792,3.208
2012-05-07,22.974,27.697,4.723,20.181,2.458
2012-05-08,30.875,36.972,6.097,32.528,3.833
2012-05-09,40.485,59.459,18.974,50.736,5.957
2012-05-10,10.042,11.583,1.542,28.097,2.583
2012-05-11,4.889,5.736,0.847,4.708,1.0
2012-05-12,3.871,4.664,0.793,5.597,1.0
2012-05-13,10.681,11.694,1.014,9.694,1.708
2012-05-14,21.011,23.855,2.845,14.435,2.136
2012-05-15,23.417,36.319,12.903,9.639,1.958
2012-05-16,12.207,15.966,3.759,26.209,2.826
2012-05-17,27.916,31.194,3.278,40.736,3.292
2012-05-18,7.361,8.25,0.889,24.722,2.174
2012-05-19,16.995,18.747,1.752,19.653,2.75
2012-05-20,8.792,9.597,0.806,18.958,2.208
2012-05-21,22.403,25.333,2.931,20.806,2.917
2012-05-22,31.528,42.917,11.389,31.528,4.875
2012-05-23,12.938,15.497,2.558,19.708,2.348
2012-05-24,28.897,35.217,6.321,23.931,3.458
2012-05-25,27.792,34.25,6.458,36.055,5.208
2012-05-26,12.535,13.368,0.833,22.319,2.292
2012-05-27,7.291,8.0,0.709,20.486,2.083
2012-05-28,17.947,22.077,4.13,19.583,1.958
2012-05-29,20.569,24.695,4.125,27.736,3.333
2012-05-30,20.823,23.433,2.609,19.722,2.957
