date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CO_mean
2011-09-14,18.188,26.416,8.23,17.083,0.792,6.292
2011-09-15,10.979,18.604,7.625,11.333,0.0,4.208
2011-09-16,7.062,14.458,7.396,4.792,0.0,3.625
2011-09-17,11.604,23.438,11.833,4.625,0.042,5.417
2011-09-18,8.439,15.91,7.47,5.875,0.125,5.625
2011-09-19,5.958,11.645,5.688,4.0,0.348,4.304
2011-09-20,4.979,5.815,0.835,1.208,0.0,3.304
2011-09-21,4.666,5.75,1.083,0.417,0.0,3.042
2011-09-22,4.312,5.166,0.854,2.0,0.0,3.167
2011-09-23,6.5,9.208,2.708,6.458,0.0,4.167
2011-09-24,6.708,9.646,2.938,7.083,0.0,3.792
2011-09-25,6.274,7.76,1.486,10.042,0.208,4.5
2011-09-26,14.979,20.708,5.729,12.125,0.478,5.826
2011-09-27,7.87,10.606,2.735,13.042,0.0,4.652
2011-09-28,13.916,19.062,5.146,14.917,0.25,5.625
2011-09-29,20.98,30.584,9.604,16.042,0.958,6.833
2011-09-30,15.958,21.812,5.854,11.958,0.875,6.042
2011-10-01,4.438,5.521,1.083,6.875,0.0,4.25
2011-10-02,4.666,5.672,1.006,7.333,0.083,4.417
2011-10-03,7.0,9.896,2.896,6.75,0.0,4.652
2011-10-04,15.259,23.792,8.532,11.125,0.0,5.783
2011-10-05,11.98,16.958,4.98,9.792,0.208,5.625
2011-10-06,9.792,14.792,5.0,5.875,0.083,5.375
2011-10-07,9.854,13.438,3.584,22.0,0.333,6.167
2011-10-08,11.333,15.188,3.854,27.75,0.375,6.5
2011-10-09,12.75,14.754,2.006,32.542,0.708,7.625
2011-10-10,15.916,19.354,3.438,38.625,1.522,8.174
2011-10-11,14.878,20.374,5.497,41.5,0.083,7.048
2011-10-12,14.542,19.938,5.396,41.375,0.417,6.542
2011-10-13,22.125,31.0,8.875,39.375,0.292,7.583
2011-10-14,19.5,29.667,10.166,30.875,0.083,6.75
2011-10-15,22.584,39.5,16.917,8.542,0.792,8.208
2011-10-16,10.42,12.279,1.858,20.792,1.125,5.917
2011-10-17,10.125,13.042,2.916,21.542,0.565,5.304
2011-10-18,8.598,12.724,4.126,8.591,0.0,3.609
2011-10-19,8.125,11.438,3.312,11.083,0.083,3.917
2011-10-20,13.605,18.125,4.521,11.292,0.542,5.167
2011-10-21,10.542,13.875,3.334,9.708,0.167,4.292
2011-10-22,15.438,27.02,11.584,5.5,0.375,5.75
2011-10-23,6.728,8.672,1.945,3.875,0.167,4.292
2011-10-24,13.979,22.458,8.48,7.25,0.13,4.783
2011-10-25,8.428,12.07,3.642,11.708,0.333,5.609
2011-10-26,9.292,13.604,4.312,9.083,0.0,5.375
2011-10-27,9.375,14.479,5.104,12.125,0.0,5.625
2011-10-28,18.938,26.166,7.229,18.875,0.333,7.375
2011-10-29,17.188,23.292,6.104,21.5,0.333,7.292
2011-10-30,10.911,13.231,2.32,17.583,0.083,6.75
2011-10-31,9.146,13.667,4.521,4.417,0.0,5.739
2011-11-01,14.486,22.72,8.234,11.083,0.25,6.696
2011-11-02,17.333,23.584,6.25,16.167,0.375,7.083
2011-11-03,19.479,26.458,6.98,21.708,0.542,8.208
2011-11-04,18.021,28.166,10.146,21.625,0.292,7.542
2011-11-05,20.48,34.688,14.208,26.042,0.042,9.0
2011-11-06,16.331,25.174,8.843,13.75,0.208,7.875
2011-11-07,5.0,6.25,1.25,3.208,0.043,4.435
2011-11-08,9.304,16.007,6.702,8.167,0.042,5.348
2011-11-09,10.0,15.688,5.688,8.667,0.0,5.292
2011-11-10,11.229,17.708,6.479,9.167,0.208,5.708
2011-11-11,15.52,23.5,7.979,8.375,0.083,6.75
2011-11-12,15.792,24.896,9.104,10.167,0.375,7.417
2011-11-13,11.789,16.932,5.144,18.917,1.25,7.625
2011-11-14,12.396,17.167,4.771,34.167,0.957,7.391
2011-11-15,9.286,13.652,4.366,17.125,0.542,5.348
2011-11-16,10.833,16.312,5.479,10.0,0.208,5.333
2011-11-17,12.166,19.375,7.208,19.917,1.125,6.417
2011-11-18,25.271,44.562,19.292,21.583,0.708,8.375
2011-11-19,21.062,36.354,15.292,11.75,0.208,8.375
2011-11-20,6.364,8.392,2.028,6.583,0.0,5.292
2011-11-21,10.583,13.646,3.062,5.083,0.261,4.783
2011-11-22,19.496,33.48,13.984,10.333,0.292,4.435
2011-11-23,22.458,40.938,18.479,16.708,0.958,6.792
2011-11-24,9.458,11.688,2.23,9.458,0.833,2.458
2011-11-25,10.125,12.542,2.416,6.458,0.208,2.5
2011-11-26,19.646,34.166,14.521,9.292,0.083,4.833
2011-11-27,18.144,26.19,8.046,18.5,0.958,5.917
2011-11-28,23.479,65.271,41.792,27.792,0.348,8.696
2011-11-29,25.514,54.036,28.522,24.875,0.667,6.478
2011-11-30,11.521,22.854,11.334,18.583,0.125,2.875
2011-12-01,4.48,6.604,2.125,1.667,0.0,0.875
2011-12-02,9.834,15.584,5.75,5.417,0.167,2.292
2011-12-03,9.958,16.604,6.646,4.0,0.333,2.333
2011-12-04,6.098,8.126,2.028,5.167,0.0,1.583
2011-12-05,10.02,16.875,6.854,8.5,0.087,2.609
2011-12-06,21.187,38.132,16.946,13.708,0.333,4.174
2011-12-07,19.333,35.416,16.084,20.591,0.292,4.667
2011-12-08,19.48,30.854,11.375,20.208,0.375,4.625
2011-12-09,7.562,10.125,2.562,3.917,0.125,2.208
2011-12-10,15.208,26.104,10.896,9.583,0.417,3.625
2011-12-11,10.092,13.358,3.266,13.292,0.125,3.375
2011-12-12,17.146,31.084,13.938,20.125,0.565,5.087
2011-12-13,14.542,25.628,11.087,14.667,0.0,4.304
2011-12-14,25.625,49.5,23.875,16.708,0.708,5.708
2011-12-15,16.75,30.271,13.521,25.167,0.958,5.458
2011-12-16,10.0,13.625,3.625,9.292,0.5,2.417
2011-12-17,11.125,15.562,4.438,9.875,0.042,3.0
2011-12-18,9.564,12.388,2.824,9.417,0.0,3.042
2011-12-19,15.458,23.834,8.375,12.792,0.0,3.957
2011-12-20,13.898,19.548,5.65,8.25,0.042,3.0
2011-12-21,19.958,33.208,13.25,19.292,1.667,4.917
2011-12-22,14.917,24.5,9.584,27.583,1.958,4.625
2011-12-23,5.854,7.167,1.312,3.542,0.0,2.0
2011-12-24,11.208,17.312,6.104,7.292,1.208,3.167
2011-12-25,7.19,9.277,2.088,5.958,0.125,2.417
2011-12-26,11.77,16.542,4.771,8.25,0.0,3.478
2011-12-27,12.926,19.619,6.692,6.5,0.0,4.083
2011-12-28,24.782,47.478,22.696,12.333,0.708,6.696
2011-12-29,18.021,32.354,14.334,18.375,1.792,6.083
2011-12-30,6.188,7.5,1.312,7.208,0.167,3.417
2011-12-31,10.5,13.855,3.354,7.958,0.042,4.625
2012-01-01,13.174,17.408,4.234,15.167,0.75,5.542
2012-01-02,8.958,11.458,2.5,19.208,0.917,4.125
2012-01-03,5.146,5.854,0.708,7.042,0.375,2.833
2012-01-04,6.688,8.438,1.75,4.208,0.0,2.792
2012-01-05,18.396,27.292,8.896,9.125,0.458,5.333
2012-01-06,10.864,14.513,3.65,13.833,0.125,4.542
2012-01-07,23.066,40.456,17.391,19.458,0.957,5.909
2012-01-08,18.209,34.605,16.396,17.875,0.417,5.208
2012-01-09,12.104,19.542,7.438,14.125,0.333,3.375
2012-01-10,13.138,22.785,9.645,6.5,0.042,2.875
2012-01-11,15.405,23.214,7.808,10.583,0.083,4.25
2012-01-12,25.25,41.417,16.167,18.292,0.875,5.875
2012-01-13,20.141,28.228,8.087,29.708,0.708,6.875
2012-01-14,4.604,4.917,0.312,6.375,0.174,2.217
2012-01-15,6.052,6.815,0.762,11.833,1.7,1.783
2012-01-16,26.646,45.666,19.021,14.667,1.444,4.0
2012-01-17,12.52,19.562,7.042,13.792,0.292,2.75
2012-01-18,6.916,8.312,1.396,6.083,0.292,1.458
2012-01-19,15.375,22.167,6.792,13.5,0.875,3.0
2012-01-20,7.131,7.801,0.669,24.75,1.25,2.917
2012-01-21,26.104,45.23,19.125,23.042,0.478,5.261
2012-01-22,18.516,38.17,19.654,8.625,0.208,4.609
2012-01-23,9.166,12.895,3.729,5.333,0.0,2.3
2012-01-24,22.104,37.834,15.729,13.417,1.167,
2012-01-25,11.479,13.458,1.979,13.333,0.667,
2012-01-26,8.771,10.938,2.166,5.792,0.208,
2012-01-27,9.986,12.162,2.176,11.167,0.292,
2012-01-28,11.75,16.084,4.334,8.5,0.13,
2012-01-29,24.079,37.306,13.228,16.458,0.75,
2012-01-30,14.02,23.542,9.521,26.542,0.833,
2012-01-31,27.396,45.583,18.188,23.833,0.625,
2012-02-01,33.75,62.667,28.916,23.792,0.667,11.0
2012-02-02,22.042,40.938,18.896,14.583,0.292,6.375
2012-02-03,6.815,8.378,1.562,14.417,0.0,3.833
2012-02-04,28.48,63.458,34.98,19.167,0.217,7.217
2012-02-05,5.348,7.002,1.653,12.417,0.542,2.609
2012-02-06,10.542,14.542,4.0,6.083,0.0,3.25
2012-02-07,16.521,28.396,11.875,12.625,0.708,4.5
2012-02-08,4.229,5.021,0.792,5.417,0.217,2.292
2012-02-09,9.875,13.125,3.25,12.375,0.0,3.167
2012-02-10,12.24,15.638,3.398,17.708,0.556,4.5
2012-02-11,8.458,11.146,2.688,20.5,0.87,4.391
2012-02-12,21.946,35.728,13.782,21.13,0.708,5.565
2012-02-13,9.75,11.584,1.833,13.75,0.667,3.917
2012-02-14,25.354,42.958,17.604,16.083,0.5,6.958
2012-02-15,12.312,15.875,3.562,8.542,0.125,3.75
2012-02-16,4.666,5.271,0.604,7.25,0.292,2.875
2012-02-17,14.362,19.11,4.748,11.583,0.167,4.917
2012-02-18,21.875,47.938,26.062,9.708,0.304,6.261
2012-02-19,7.43,9.718,2.288,11.25,0.083,2.565
2012-02-20,13.771,19.666,5.896,9.958,0.0,3.75
2012-02-21,15.417,22.604,7.188,15.625,0.5,4.333
2012-02-22,19.708,26.688,6.979,23.917,0.875,5.417
2012-02-23,12.938,16.666,3.729,19.167,0.75,4.125
2012-02-24,4.564,5.046,0.481,10.667,0.0,2.625
2012-02-25,7.896,11.292,3.396,9.125,0.0,3.043
2012-02-26,20.972,32.374,11.402,21.292,1.208,5.13
2012-02-27,28.667,52.188,23.52,24.25,1.292,6.667
2012-02-28,24.896,35.75,10.854,22.5,0.75,5.542
2012-02-29,,,,,,
2012-03-01,24.562,42.208,17.646,15.167,0.667,5.792
2012-03-02,4.084,4.334,0.25,19.917,1.0,3.458
2012-03-03,5.908,6.908,1.0,13.708,0.208,3.292
2012-03-04,19.104,30.312,11.208,14.708,0.87,4.522
2012-03-05,23.374,33.239,9.866,32.5,1.75,6.174
2012-03-06,32.0,50.354,18.354,34.25,2.208,7.208
2012-03-07,22.812,32.625,9.812,23.292,1.417,4.875
2012-03-08,28.042,39.958,11.916,30.375,0.708,6.083
2012-03-09,27.166,33.75,6.584,48.625,0.833,6.417
2012-03-10,12.309,14.646,2.338,28.625,0.292,4.5
2012-03-11,9.792,14.125,4.334,10.458,0.174,2.783
2012-03-12,25.015,38.69,13.674,16.125,1.292,5.391
2012-03-13,24.458,40.542,16.084,13.708,0.917,4.75
2012-03-14,5.792,7.042,1.25,10.667,0.042,2.75
2012-03-15,29.02,47.916,18.896,15.208,0.75,5.958
2012-03-16,25.646,40.771,15.125,24.167,2.667,6.375
2012-03-17,19.272,23.408,4.136,36.042,1.875,6.667
2012-03-18,33.757,49.75,15.993,31.5,0.652,5.739
2012-03-19,32.578,49.604,17.028,24.125,1.792,7.696
2012-03-20,27.688,38.812,11.125,30.125,0.667,6.667
2012-03-21,4.75,5.98,1.229,5.792,0.042,2.476
2012-03-22,24.834,38.021,13.188,14.917,1.5,4.542
2012-03-23,9.771,11.48,1.708,18.083,0.75,3.417
2012-03-24,11.123,13.695,2.572,21.167,1.0,4.083
2012-03-25,3.792,4.104,0.312,14.333,0.478,2.304
2012-03-26,10.433,15.106,4.673,15.375,0.667,3.348
2012-03-27,18.312,27.646,9.334,16.75,0.708,4.167
2012-03-28,22.896,34.146,11.25,13.292,0.417,5.5
2012-03-29,17.229,31.438,14.208,18.792,0.792,4.542
2012-03-30,7.646,9.771,2.125,14.417,0.167,2.583
2012-03-31,11.792,15.258,3.466,15.875,0.917,3.625
2012-04-01,5.201,6.644,1.443,10.292,0.125,2.833
2012-04-02,22.479,35.646,13.166,17.208,0.87,5.826
2012-04-03,16.538,24.917,8.379,14.833,0.5,3.087
