date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-02-26,190.319,92.5,80.666,65.5,14.847,15.447,19.019,3.572,1.417,13.462,8.05,5.583,3.7,205.167,6.375
2011-02-27,189.318,77.0,58.438,36.5,11.827,16.202,24.804,8.602,1.59,9.625,8.45,4.271,1.05,201.144,4.667
2011-02-28,192.472,75.5,55.125,38.0,18.5,26.212,38.546,12.333,1.72,14.117,8.05,3.569,-0.55,210.972,4.522
2011-03-01,190.764,95.5,79.0,53.5,25.68,21.943,39.373,17.43,1.683,9.611,13.05,7.358,2.05,216.444,6.25
2011-03-02,193.194,98.5,95.521,85.0,32.549,26.54,53.849,27.309,1.57,13.638,8.5,6.481,4.6,225.742,7.625
2011-03-03,190.375,98.5,87.854,72.5,18.514,21.102,26.97,5.867,1.549,12.959,8.25,6.369,5.05,208.889,6.292
2011-03-04,192.194,98.5,83.916,62.0,15.847,16.045,20.894,4.848,1.696,23.22,7.95,5.433,4.4,208.042,6.375
2011-03-05,189.014,99.0,98.042,93.5,17.542,23.54,33.289,9.749,1.451,8.375,10.05,7.079,4.55,206.555,5.083
2011-03-06,186.875,98.5,85.416,62.0,35.667,21.962,40.26,18.299,1.723,17.942,19.3,13.662,8.9,222.542,5.522
2011-03-07,190.861,93.0,73.188,52.5,27.82,23.675,39.739,16.063,2.298,21.5,14.15,12.044,9.7,218.681,5.333
2011-03-08,191.632,87.5,76.833,66.5,21.983,25.837,39.696,13.859,1.715,23.159,11.65,9.754,7.9,213.614,5.652
2011-03-09,191.313,98.5,95.396,83.0,25.742,27.304,46.195,18.891,1.736,19.15,8.55,7.404,6.05,217.055,5.758
2011-03-10,189.458,98.5,91.625,81.5,15.0,15.845,20.508,4.663,1.507,5.704,7.75,5.952,4.85,204.458,4.542
2011-03-11,189.861,96.0,71.584,37.5,16.639,13.432,17.466,4.034,1.684,11.701,10.6,6.315,2.6,206.5,4.584
2011-03-12,189.889,66.5,42.0,27.5,13.569,16.863,25.656,8.792,1.611,8.648,9.65,4.733,-0.35,203.458,3.479
2011-03-13,190.458,67.0,48.0,26.5,14.917,18.475,27.383,8.908,1.594,7.275,8.7,4.269,-0.8,205.375,3.435
2011-03-14,191.514,79.0,58.75,36.0,18.736,21.963,34.237,12.274,1.625,11.72,9.9,4.825,0.4,210.25,4.062
2011-03-15,190.518,73.0,49.833,24.0,16.712,22.466,33.878,11.412,2.438,18.837,13.4,6.252,0.6,207.23,4.0
2011-03-16,190.044,75.5,59.481,40.5,19.841,21.302,31.785,10.484,2.088,15.067,9.95,6.188,0.25,209.884,4.274
2011-03-17,190.208,98.5,97.042,83.5,40.181,26.216,39.223,13.008,1.744,18.803,12.1,9.494,6.4,230.389,6.73
2011-03-18,188.028,97.5,93.375,86.0,21.736,15.447,21.742,6.295,1.551,16.993,12.5,11.083,9.25,209.764,6.604
2011-03-19,189.314,96.5,66.542,42.5,15.052,16.808,27.008,10.201,1.715,11.324,13.05,9.552,6.45,204.365,5.396
2011-03-20,190.024,86.0,58.979,31.0,21.251,19.336,27.983,8.648,1.67,12.97,12.95,7.865,3.65,211.275,4.178
2011-03-21,190.375,69.0,40.708,11.5,17.736,18.889,27.095,8.206,1.583,10.576,11.25,6.642,2.7,208.111,3.396
2011-03-22,189.272,67.0,50.062,32.5,23.586,24.381,36.354,11.974,1.868,15.61,14.55,8.981,1.25,212.857,4.25
2011-03-23,189.418,98.5,88.896,64.5,25.091,25.492,35.461,9.969,1.604,14.443,10.1,7.942,7.1,214.51,4.421
2011-03-24,186.514,99.0,66.583,28.0,20.57,15.917,21.803,5.886,1.648,8.109,18.2,11.346,5.3,207.083,4.854
2011-03-25,193.264,77.5,47.084,17.5,16.583,12.36,15.674,3.314,1.66,7.804,12.5,6.827,2.05,209.847,4.062
2011-03-26,192.487,68.5,46.084,19.0,16.146,19.421,28.976,9.555,1.396,9.387,11.5,5.444,0.05,208.633,3.854
2011-03-27,192.635,73.0,52.958,34.0,20.154,22.005,33.283,11.278,1.544,13.265,11.8,6.356,0.4,212.789,4.421
2011-03-28,190.083,79.0,49.083,22.5,17.014,17.958,26.435,8.476,2.125,18.83,16.95,9.585,2.85,207.097,4.458
2011-03-29,190.013,69.5,48.812,27.5,19.901,21.594,30.648,9.054,1.792,15.106,13.15,9.029,3.85,209.914,4.896
2011-03-30,189.312,78.5,67.125,49.5,26.162,20.534,29.422,8.888,1.94,17.829,16.65,11.76,4.95,215.473,5.604
2011-03-31,184.541,98.5,83.521,60.0,16.861,12.144,15.102,2.958,1.542,19.588,14.2,12.217,7.75,201.403,5.083
2011-04-01,188.611,79.0,53.75,33.5,22.18,22.115,30.967,8.852,1.439,14.595,12.6,8.562,2.5,210.792,4.229
2011-04-02,187.486,83.0,50.166,17.5,19.945,17.83,22.489,4.659,2.166,26.989,20.75,12.7,5.0,207.43,4.917
2011-04-03,189.0,72.0,52.312,38.5,13.93,13.309,15.986,2.676,1.284,19.004,11.8,8.821,5.15,202.931,4.208
2011-04-04,189.944,79.0,52.042,29.0,19.681,22.305,34.402,12.097,1.236,16.905,13.05,8.004,3.6,209.625,5.0
2011-04-05,191.778,69.5,46.729,18.0,24.792,26.303,40.451,14.148,1.661,13.487,12.25,6.812,0.75,216.569,4.377
2011-04-06,189.478,80.5,60.583,34.5,20.783,21.651,30.934,9.283,1.605,19.811,14.8,9.773,3.3,210.261,5.952
2011-04-07,188.097,83.0,68.833,49.0,21.083,20.958,27.152,6.193,1.62,21.462,16.0,11.679,7.1,209.181,6.021
2011-04-08,184.472,81.5,65.417,49.5,25.111,18.85,26.44,7.589,1.505,17.493,17.25,14.71,11.3,209.583,6.875
2011-04-09,183.611,98.5,96.812,80.5,18.389,14.04,16.753,2.713,1.146,21.504,14.65,13.442,11.7,202.0,6.896
2011-04-10,186.264,96.0,78.062,49.5,18.028,11.017,12.786,1.769,1.282,22.121,16.6,12.55,10.35,204.292,8.46
2011-04-11,186.986,96.5,72.354,44.0,21.361,18.844,25.106,6.262,2.049,33.273,17.05,12.912,9.55,208.347,8.833
2011-04-12,186.819,85.5,53.604,14.5,15.319,14.039,17.21,3.171,1.243,20.144,14.1,9.792,6.3,202.139,5.87
2011-04-13,188.855,73.0,54.958,30.5,17.797,22.738,32.225,9.488,1.552,24.487,18.1,10.892,4.45,206.652,4.167
2011-04-14,189.519,88.0,61.438,34.0,21.039,25.309,34.248,8.939,2.044,31.511,18.15,12.838,6.7,210.558,4.986
2011-04-15,187.681,92.0,75.23,59.0,20.945,21.632,28.462,6.83,2.244,32.193,18.25,13.94,9.75,208.625,4.312
2011-04-16,184.445,97.5,72.146,37.0,20.25,18.342,23.594,5.252,1.597,37.848,22.35,15.702,11.3,204.694,5.062
2011-04-17,187.653,79.0,56.792,31.0,17.125,14.235,17.113,2.878,1.312,21.246,17.5,12.84,8.0,204.778,4.396
2011-04-18,185.681,98.0,64.958,46.0,14.819,17.552,23.537,5.985,1.236,19.144,18.3,13.831,10.55,200.5,3.75
2011-04-19,185.347,98.0,67.042,32.5,19.555,19.248,25.828,6.581,1.549,12.823,16.4,12.352,8.45,204.903,4.24
2011-04-20,191.783,81.0,60.334,35.5,19.058,23.699,34.446,10.746,1.467,13.301,17.25,11.123,5.35,210.841,5.065
2011-04-21,189.444,84.0,70.916,52.0,19.278,24.478,38.724,14.246,2.068,17.265,15.85,12.638,9.05,208.722,5.104
2011-04-22,188.417,89.0,75.625,55.0,22.181,25.073,41.963,16.89,1.583,20.743,16.1,13.9,11.15,210.597,5.125
2011-04-23,185.014,98.5,98.125,96.0,20.556,15.913,21.896,5.983,1.07,22.523,15.2,13.779,11.65,205.569,4.229
2011-04-24,187.611,98.5,60.521,24.0,16.25,11.591,14.072,2.481,1.212,16.371,18.5,12.846,7.95,203.861,4.52
2011-04-25,190.792,75.0,43.479,15.5,21.805,21.393,30.561,9.169,1.403,15.773,18.0,12.19,6.35,212.597,4.646
2011-04-26,189.236,87.0,58.979,38.5,19.569,23.964,32.657,8.693,1.731,24.963,16.9,12.679,6.2,208.806,4.807
2011-04-27,185.71,98.0,86.854,72.5,15.284,16.706,22.159,5.454,1.503,51.559,19.55,16.627,14.7,200.995,4.395
2011-04-28,185.458,98.5,65.5,25.5,22.931,17.4,23.116,5.715,1.375,22.708,21.7,16.115,11.05,208.389,4.375
2011-04-29,191.681,80.0,55.166,26.5,19.917,17.106,22.133,5.027,1.188,12.455,19.15,13.277,7.8,211.597,4.354
2011-04-30,190.042,89.5,66.666,34.5,16.736,16.125,20.312,4.187,1.361,21.277,17.35,13.869,8.3,206.778,4.0
2011-05-01,185.278,98.5,89.125,66.5,19.903,13.299,15.921,2.621,1.083,19.765,15.85,14.454,13.3,205.181,4.084
2011-05-02,189.458,98.0,63.812,40.5,20.68,18.999,24.632,5.633,1.396,55.193,20.15,15.948,10.3,210.139,5.042
2011-05-03,190.556,87.0,66.625,42.0,20.53,15.5,19.065,3.564,1.354,63.269,18.5,14.821,11.65,211.085,4.722
2011-05-04,187.116,87.5,72.521,46.0,17.232,10.655,12.903,2.248,1.258,36.443,18.05,14.812,10.35,204.348,4.236
2011-05-05,190.264,85.5,64.562,40.0,16.583,14.543,17.363,2.821,1.371,33.864,19.3,15.46,12.15,206.847,4.625
2011-05-06,189.972,81.0,64.958,41.5,20.153,22.51,31.534,9.024,1.201,33.733,20.15,15.594,11.6,210.125,4.896
2011-05-07,187.363,89.0,71.729,47.0,21.53,19.316,25.068,5.752,1.025,20.104,21.9,16.423,13.45,208.893,4.125
2011-05-08,186.472,91.5,64.666,36.5,18.472,14.421,17.174,2.754,1.417,28.417,25.2,18.452,12.85,204.944,4.312
2011-05-09,189.847,82.0,51.646,25.0,19.514,23.999,31.112,7.113,1.854,34.373,22.8,17.702,13.3,209.361,4.396
2011-05-10,182.375,98.5,82.583,51.5,22.931,18.769,28.849,10.08,1.726,48.092,25.85,19.298,16.05,205.306,3.764
2011-05-11,187.921,98.5,98.479,98.0,22.669,27.656,38.158,10.502,1.132,16.124,16.8,14.5,13.45,210.59,4.708
2011-05-12,189.889,98.5,98.042,96.0,32.055,31.496,52.154,20.657,1.118,15.652,16.85,15.154,13.6,221.945,6.062
2011-05-13,184.861,98.5,71.146,31.0,25.667,19.508,31.077,11.569,2.069,37.78,26.15,18.623,13.8,210.528,4.417
2011-05-14,189.187,78.5,42.875,17.0,20.009,16.75,22.574,5.824,1.681,31.841,23.2,17.34,11.1,209.195,3.375
2011-05-15,189.097,77.0,42.062,13.0,15.375,13.477,15.576,2.098,1.541,22.496,21.65,16.452,10.7,204.472,3.312
2011-05-16,189.399,86.5,71.458,55.0,15.935,20.417,27.67,7.253,1.556,29.697,19.5,16.365,12.05,205.333,3.5
2011-05-17,187.764,95.0,84.104,56.5,18.046,22.124,33.19,11.066,1.222,29.335,18.95,15.49,12.25,205.81,4.536
2011-05-18,190.686,93.5,68.708,43.5,19.056,23.918,34.369,10.451,1.436,32.48,20.9,15.8,10.3,209.742,4.726
2011-05-19,190.367,91.0,70.312,43.5,19.32,22.07,30.159,8.089,1.825,38.924,21.5,16.829,11.1,209.687,4.458
2011-05-20,187.709,92.5,78.312,62.5,18.924,18.421,26.729,8.307,1.507,41.292,20.6,17.771,14.6,206.634,4.208
2011-05-21,182.451,93.5,83.354,71.5,20.11,15.324,22.297,6.974,1.507,33.121,21.2,18.788,15.7,202.56,4.25
2011-05-22,180.806,96.5,89.021,79.5,14.25,9.913,13.14,3.227,1.174,22.905,21.1,18.456,15.65,195.056,3.625
2011-05-23,186.861,95.0,84.5,68.5,19.583,22.003,31.448,9.445,1.347,16.527,17.0,14.756,11.65,206.444,4.375
2011-05-24,186.573,96.5,76.958,43.5,18.108,21.991,32.916,10.926,1.125,10.258,20.4,13.858,10.2,204.682,3.932
2011-05-25,189.009,88.5,60.917,31.0,22.735,21.77,35.547,13.777,1.321,16.652,20.55,15.69,10.3,211.743,3.808
2011-05-26,188.361,88.0,61.562,44.0,20.945,20.285,30.499,10.214,1.426,19.47,22.4,17.721,12.95,209.305,3.5
2011-05-27,184.806,96.0,78.729,61.5,18.82,18.552,26.765,8.213,1.111,14.848,18.15,16.358,14.45,203.625,3.458
2011-05-28,184.275,98.5,94.208,83.5,18.087,16.154,22.184,6.03,1.076,11.591,18.95,17.227,15.25,202.362,4.125
2011-05-29,187.528,99.0,98.521,98.5,20.167,14.871,18.856,3.985,1.053,10.546,19.6,17.904,16.95,207.695,4.458
2011-05-30,184.382,98.5,77.188,48.5,15.014,15.245,22.09,6.846,1.146,15.076,23.3,18.8,15.25,199.396,3.166
2011-05-31,187.559,86.0,68.146,45.5,19.721,19.244,31.354,12.11,1.229,15.932,20.65,15.708,12.3,207.28,3.824
2011-06-01,188.722,95.5,83.646,72.5,24.23,22.178,37.843,15.665,1.139,27.227,13.7,12.438,11.15,212.951,4.422
2011-06-02,185.43,98.5,95.25,87.5,30.194,24.491,43.167,18.676,1.153,23.852,16.15,14.827,12.95,215.625,4.5
2011-06-03,185.43,97.5,79.458,58.0,25.486,20.824,38.233,17.408,1.306,19.063,21.95,17.917,13.95,210.917,4.125
2011-06-04,186.561,92.0,81.188,63.0,21.324,15.763,21.728,5.966,1.333,38.015,21.95,18.485,14.5,207.885,4.208
2011-06-05,184.75,92.0,82.25,68.0,16.708,12.743,15.917,3.174,1.447,41.235,21.35,18.888,16.15,201.458,3.896
2011-06-06,186.875,84.5,67.354,42.0,18.167,21.769,30.766,8.998,1.569,31.818,24.4,19.975,15.15,205.042,3.979
2011-06-07,187.093,85.5,72.875,57.5,27.387,27.381,41.84,14.459,1.472,32.994,21.5,18.629,16.5,214.481,5.11
2011-06-08,185.388,83.0,69.688,51.0,21.72,21.735,31.742,10.007,1.445,19.336,24.55,19.844,16.45,207.109,3.911
2011-06-09,186.43,89.5,81.75,69.0,22.736,21.968,30.575,8.607,2.022,27.039,21.75,19.544,18.1,209.167,4.458
2011-06-10,185.642,96.5,86.958,71.5,22.273,18.819,29.347,10.528,1.715,32.761,21.8,20.252,18.7,207.915,4.062
2011-06-11,182.233,98.5,93.229,82.5,16.449,13.868,19.239,5.371,1.125,24.0,22.1,20.135,18.45,198.682,4.25
2011-06-12,186.403,94.0,86.312,76.5,18.444,14.0,17.716,3.716,1.553,34.102,22.9,20.412,18.05,204.847,4.916
2011-06-13,185.792,98.5,90.979,81.0,21.166,20.889,31.797,10.908,1.299,23.218,20.9,19.044,16.45,206.958,4.77
2011-06-14,189.716,94.5,79.916,63.0,27.15,22.922,39.135,16.213,1.535,37.572,24.0,21.181,18.4,216.867,5.261
2011-06-15,189.447,91.5,69.77,43.5,18.006,21.027,32.05,11.023,1.764,23.615,23.7,20.571,17.95,207.454,4.454
2011-06-16,189.083,98.5,84.167,68.5,21.861,22.046,37.046,15.0,1.587,23.336,21.8,18.704,16.55,210.944,4.584
2011-06-17,186.746,98.5,83.916,66.0,20.133,21.794,32.946,11.151,1.208,14.057,22.4,19.427,16.75,206.879,4.27
2011-06-18,187.521,98.5,92.542,79.0,24.407,20.769,29.765,8.996,1.188,20.083,20.5,18.496,17.65,211.928,5.562
2011-06-19,187.736,98.5,86.27,71.0,21.861,16.757,23.0,6.242,1.476,22.591,22.1,19.919,17.9,209.597,5.542
2011-06-20,183.272,97.0,92.333,81.0,27.641,21.621,37.43,15.809,1.243,23.495,21.5,20.294,19.2,210.913,4.312
2011-06-21,178.937,98.5,90.646,76.5,21.452,15.084,27.57,12.486,1.424,21.902,23.95,21.335,20.0,200.389,3.13
2011-06-22,181.487,91.5,77.021,60.0,18.122,16.739,28.825,12.086,2.064,34.113,27.85,23.373,19.4,199.61,3.623
2011-06-23,176.944,92.0,83.25,69.5,21.736,11.821,23.608,11.788,1.718,38.231,27.6,23.652,21.45,198.681,2.812
2011-06-24,175.847,90.5,81.104,63.5,22.361,9.458,21.791,12.333,1.499,33.998,28.0,24.242,21.85,198.208,2.729
2011-06-25,178.542,92.0,79.125,66.5,16.375,11.724,20.996,9.273,1.648,34.136,27.6,24.042,21.55,194.917,3.334
2011-06-26,181.708,94.0,88.625,78.5,21.222,11.697,18.121,6.424,1.133,34.875,25.05,22.742,21.4,202.931,4.125
2011-06-27,175.574,98.5,93.146,85.5,17.332,8.615,24.16,15.545,1.188,25.964,24.4,23.135,21.6,192.905,2.875
2011-06-28,176.348,93.5,82.188,68.0,17.346,9.903,25.17,15.267,1.5,30.671,27.55,24.717,22.8,193.694,3.252
2011-06-29,178.851,88.5,68.146,45.5,24.264,18.816,31.819,13.002,2.342,39.352,32.2,27.192,22.9,203.114,4.551
2011-06-30,182.177,88.5,75.208,56.5,24.332,24.435,34.967,10.532,2.038,48.917,29.05,25.621,23.45,206.509,4.896
2011-07-01,180.972,91.0,80.042,60.0,24.222,18.928,31.357,12.429,1.648,45.322,28.15,24.521,22.6,205.194,4.5
2011-07-02,182.278,88.5,75.292,53.0,20.0,13.807,21.777,7.97,1.597,34.557,29.25,24.835,21.65,202.278,4.208
2011-07-03,179.069,92.5,80.771,64.0,17.306,12.814,15.674,2.86,1.569,47.447,27.8,24.885,23.1,196.375,4.208
2011-07-04,176.095,95.5,83.625,68.0,21.083,12.164,20.41,8.246,1.528,56.157,28.3,25.229,23.1,197.178,3.258
2011-07-05,181.366,94.0,80.792,62.5,19.565,17.875,25.22,7.345,1.285,30.25,28.2,23.923,20.65,200.93,4.032
2011-07-06,187.875,91.0,73.125,50.5,26.5,16.941,22.483,5.542,1.805,33.102,29.3,24.396,20.25,214.375,4.314
2011-07-07,178.862,97.5,93.042,82.5,23.143,16.273,30.496,14.223,1.25,23.171,24.3,22.025,20.25,202.005,3.542
2011-07-08,176.542,97.0,90.27,78.5,19.389,12.666,31.943,19.277,1.202,30.984,25.45,23.698,21.95,195.931,3.208
2011-07-09,174.236,95.5,88.062,75.5,15.042,10.204,23.015,12.811,1.229,30.114,27.0,24.417,23.35,189.278,3.104
2011-07-10,175.014,93.5,81.688,66.0,13.764,8.015,14.958,6.943,1.132,23.303,28.6,25.221,23.0,188.778,2.916
2011-07-11,175.265,91.0,76.958,59.0,17.204,10.101,26.725,16.624,1.208,19.655,29.25,26.044,23.6,192.468,2.878
2011-07-12,175.93,92.0,80.0,65.0,16.583,9.749,26.787,17.038,1.215,18.523,28.45,25.594,23.65,192.514,4.107
2011-07-13,176.274,89.0,79.188,63.0,18.797,10.123,27.16,17.037,1.299,17.739,27.75,25.271,23.65,195.07,3.732
2011-07-14,175.355,89.0,75.458,51.0,13.97,11.021,26.062,15.041,1.326,16.087,28.65,24.99,22.55,189.326,3.625
2011-07-15,178.293,84.0,73.104,56.0,18.089,13.295,26.011,12.716,1.383,22.386,28.8,25.606,23.0,196.382,3.875
2011-07-16,175.958,84.5,73.375,62.5,16.028,10.928,19.632,8.704,1.694,26.174,28.85,26.181,23.9,191.986,3.958
2011-07-17,175.681,87.0,71.938,52.5,18.431,8.75,16.458,7.708,1.486,24.133,30.75,26.473,22.1,194.111,4.229
2011-07-18,176.24,85.5,70.75,52.5,29.508,9.24,21.44,12.2,1.257,36.932,30.35,26.973,23.8,205.748,4.292
2011-07-19,177.314,96.0,87.188,77.0,28.442,10.75,34.001,23.252,1.153,42.313,25.95,24.644,22.8,205.756,4.71
2011-07-20,176.428,97.0,88.166,66.0,21.688,12.177,32.168,19.991,1.125,23.216,26.6,24.308,22.2,198.116,4.331
2011-07-21,182.768,72.5,53.104,37.0,12.803,11.053,17.658,6.605,1.132,10.201,28.5,24.35,18.2,195.571,3.354
2011-07-22,186.972,78.5,58.604,40.0,19.736,19.365,32.884,13.52,1.195,18.485,25.85,20.823,15.95,206.708,3.583
2011-07-23,186.264,85.0,68.666,44.0,19.667,17.64,26.242,8.602,1.667,25.549,26.55,21.756,16.4,205.93,3.938
2011-07-24,186.125,90.0,77.958,63.5,20.278,14.182,17.367,3.186,1.785,37.417,25.2,23.115,20.4,206.403,4.458
