date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CO_mean,PM25_mean
2011-04-03,7.958,14.5,6.542,9.812,2.826,
2011-04-04,20.104,39.792,19.688,10.396,3.167,
2011-04-05,27.292,51.584,24.292,14.688,3.5,
2011-04-06,25.75,39.521,13.77,17.458,3.458,
2011-04-07,28.375,49.75,21.375,17.23,4.083,
2011-04-08,39.396,75.584,36.188,19.584,5.042,
2011-04-09,17.98,38.02,20.042,13.5,4.167,
2011-04-10,14.916,23.52,8.604,31.166,4.625,
2011-04-11,21.979,39.292,17.312,28.542,4.417,
2011-04-12,27.875,52.771,24.896,27.021,4.174,
2011-04-13,27.208,46.146,18.938,24.824,4.542,
2011-04-14,29.229,47.0,17.771,33.542,4.708,
2011-04-15,31.584,52.167,20.584,36.146,5.167,
2011-04-16,16.292,32.854,16.562,31.916,4.458,
2011-04-17,11.834,19.062,7.23,15.0,3.167,
2011-04-18,19.042,34.5,15.458,24.625,3.667,
2011-04-19,25.604,52.354,26.75,13.312,4.542,
2011-04-20,21.334,46.646,25.312,7.804,3.958,
2011-04-21,27.0,48.542,21.542,18.042,4.304,
2011-04-22,34.896,73.938,39.042,27.812,6.25,
2011-04-23,22.917,54.0,31.083,16.021,5.25,
2011-04-24,16.75,28.688,11.938,15.916,4.625,
2011-04-25,25.229,51.104,25.875,18.708,5.208,
2011-04-26,33.479,63.833,30.354,27.479,5.75,
2011-04-27,28.875,60.416,31.542,28.855,5.042,
2011-04-28,24.0,46.604,22.604,21.416,5.375,
2011-04-29,22.125,43.521,21.396,17.042,5.167,
2011-04-30,25.562,42.375,16.812,23.666,5.13,
2011-05-01,18.438,33.604,15.166,25.0,5.0,
2011-05-02,17.834,37.792,19.958,138.666,4.542,
2011-05-03,17.125,28.604,11.479,116.73,4.875,
2011-05-04,13.542,23.792,10.25,58.584,4.458,
2011-05-05,11.188,18.042,6.854,18.354,3.5,
2011-05-06,18.104,29.458,11.354,35.083,3.667,
2011-05-07,13.25,22.333,9.084,18.146,3.042,
2011-05-08,10.48,15.312,4.833,27.958,3.5,
2011-05-09,20.812,32.396,11.583,37.375,4.391,
2011-05-10,21.104,44.084,22.98,34.062,3.625,
2011-05-11,28.167,63.896,35.73,8.979,4.25,
2011-05-12,28.104,61.125,33.02,10.812,4.417,
2011-05-13,22.229,43.271,21.042,48.52,4.292,
2011-05-14,18.521,33.166,14.645,30.208,4.5,
2011-05-15,14.355,22.334,7.979,29.584,3.792,
2011-05-16,24.98,40.792,15.812,32.521,4.25,
2011-05-17,27.396,50.271,22.875,32.896,4.667,
2011-05-18,23.196,44.831,21.635,24.419,4.565,
2011-05-19,27.604,42.812,15.208,32.646,4.333,
2011-05-20,25.396,43.396,18.0,30.021,3.917,
2011-05-21,17.604,32.48,14.875,18.375,3.583,
2011-05-22,8.958,15.396,6.438,13.084,3.042,
2011-05-23,22.771,49.062,26.292,10.23,3.75,
2011-05-24,22.396,42.375,19.979,6.958,3.25,
2011-05-25,28.438,50.77,22.334,18.125,4.125,
2011-05-26,22.896,41.084,18.188,21.958,3.292,
2011-05-27,25.042,49.958,24.916,13.896,3.696,
2011-05-28,22.062,45.438,23.375,12.084,4.542,
2011-05-29,7.729,13.146,5.417,6.084,2.625,
2011-05-30,11.229,26.5,15.27,9.604,2.875,
2011-05-31,20.834,49.208,28.375,11.979,3.917,
2011-06-01,24.438,54.958,30.521,16.154,3.958,
2011-06-02,23.708,52.292,28.584,13.25,4.625,
2011-06-03,21.125,43.084,21.958,31.75,4.917,
2011-06-04,22.25,46.75,24.5,40.208,4.708,
2011-06-05,18.125,29.875,11.75,27.292,4.0,
2011-06-06,23.008,36.527,13.519,30.335,4.375,
2011-06-07,23.52,44.583,21.062,28.084,4.208,
2011-06-08,22.25,36.938,14.688,16.708,3.25,
2011-06-09,24.854,41.938,17.084,19.23,3.667,
2011-06-10,28.146,51.312,23.166,39.188,4.792,
2011-06-11,18.135,34.334,16.198,15.229,4.458,
2011-06-12,21.875,37.458,15.583,29.042,4.667,
2011-06-13,21.312,39.521,18.208,14.229,4.583,
2011-06-14,18.127,40.43,22.303,17.854,4.087,
2011-06-15,18.396,40.02,21.625,13.56,3.833,
2011-06-16,25.625,51.474,25.848,20.141,4.25,
2011-06-17,20.938,37.104,16.167,10.646,3.75,
2011-06-18,26.854,50.708,23.854,21.854,5.917,
2011-06-19,15.208,25.396,10.188,20.438,4.167,
2011-06-20,27.708,66.312,38.604,15.792,5.417,
2011-06-21,28.188,67.646,39.458,18.73,5.0,
2011-06-22,22.938,56.917,33.979,32.08,4.542,
2011-06-23,12.592,30.051,17.459,26.229,2.842,
2011-06-24,11.188,26.938,15.75,23.833,2.667,
2011-06-25,9.0,21.938,12.938,19.042,2.583,
2011-06-26,9.5,20.479,10.979,16.354,2.792,
2011-06-27,13.292,34.062,20.77,15.146,2.458,
2011-06-28,12.958,31.5,18.542,21.417,2.583,
2011-06-29,17.542,39.188,21.646,30.75,3.417,
2011-06-30,16.528,34.386,17.858,33.562,3.5,
2011-07-01,23.354,57.312,33.958,30.438,4.125,
2011-07-02,15.958,35.312,19.354,20.916,4.043,
2011-07-03,15.708,24.375,8.666,39.58,4.375,
2011-07-04,19.792,40.0,20.208,40.646,3.667,
2011-07-05,21.75,42.666,20.916,26.896,4.833,
2011-07-06,20.604,37.5,16.896,30.729,4.333,
2011-07-07,21.0,50.334,29.334,25.51,3.833,
2011-07-08,16.166,51.312,35.146,21.375,3.708,
2011-07-09,12.375,37.708,25.334,12.334,3.458,
2011-07-10,9.042,19.084,10.042,15.125,2.833,
2011-07-11,13.062,32.792,19.73,15.479,2.826,
2011-07-12,17.146,53.188,36.042,18.188,4.125,
2011-07-13,16.182,46.079,29.898,14.348,3.417,
2011-07-14,17.23,42.0,24.77,15.084,3.417,
2011-07-15,20.146,42.604,22.458,18.104,4.083,
2011-07-16,21.834,38.312,16.48,26.75,4.167,
2011-07-17,8.958,16.771,7.812,15.958,2.25,
2011-07-18,10.062,26.5,16.438,20.208,2.625,
2011-07-19,12.584,35.542,22.958,10.188,2.417,
2011-07-20,11.479,26.458,14.979,13.666,2.652,
2011-07-21,12.458,36.916,24.458,15.125,3.375,
2011-07-22,19.27,43.75,24.48,14.771,3.625,
2011-07-23,14.98,30.792,15.812,17.75,3.333,
2011-07-24,9.812,16.938,7.125,27.312,3.417,
2011-07-25,16.875,31.812,14.938,26.229,3.583,
2011-07-26,18.375,38.708,20.334,14.979,3.667,
2011-07-27,16.875,44.27,27.396,16.905,3.333,
2011-07-28,19.542,44.354,24.812,20.021,4.042,
2011-07-29,17.75,42.59,24.841,21.841,3.429,
2011-07-30,15.521,38.188,22.666,21.458,3.75,
2011-07-31,8.792,16.125,7.334,20.062,3.25,
2011-08-01,17.584,48.312,30.729,34.396,3.042,
2011-08-02,12.688,24.792,12.104,21.334,2.875,
2011-08-03,11.792,27.458,15.666,17.916,2.0,
2011-08-04,13.358,34.759,21.402,16.125,2.125,
2011-08-05,18.083,49.188,31.104,16.458,3.833,
2011-08-06,13.062,38.666,25.604,10.104,3.708,
2011-08-07,11.875,26.562,14.688,14.604,3.87,
2011-08-08,19.75,43.916,24.166,16.02,3.667,
2011-08-09,25.438,46.292,20.854,29.292,4.5,
2011-08-10,27.396,48.292,20.896,40.435,4.708,
2011-08-11,24.438,51.438,27.0,37.084,4.625,
2011-08-12,18.02,41.396,23.375,29.229,4.417,
2011-08-13,14.02,25.916,11.896,25.292,4.042,
2011-08-14,9.75,15.792,6.042,27.604,3.333,
2011-08-15,11.812,19.77,7.958,24.438,3.25,
2011-08-16,16.166,26.062,9.896,34.75,4.043,
2011-08-17,19.458,38.042,18.584,32.188,3.833,
2011-08-18,20.492,40.821,20.329,35.625,3.75,
2011-08-19,20.938,40.604,19.667,15.708,3.958,
2011-08-20,18.875,34.75,15.875,16.625,3.875,
2011-08-21,14.708,28.438,13.73,13.562,4.417,
2011-08-22,20.938,44.021,23.084,17.021,4.5,
2011-08-23,20.771,48.416,27.646,24.125,4.542,
2011-08-24,15.873,41.951,26.077,22.396,3.542,
2011-08-25,18.75,51.334,32.584,13.625,3.435,
2011-08-26,20.104,42.5,22.396,16.542,3.5,
2011-08-27,20.708,38.104,17.396,17.688,4.208,
2011-08-28,11.75,18.75,7.0,31.02,2.583,
2011-08-29,17.812,31.25,13.438,26.188,2.917,
2011-08-30,20.542,37.208,16.666,23.812,3.25,
2011-08-31,18.188,37.25,19.062,20.34,2.958,
2011-09-01,12.625,33.792,21.167,19.812,2.833,
2011-09-02,12.458,28.479,16.021,17.396,2.375,
2011-09-03,7.312,13.75,6.438,19.104,2.0,
2011-09-04,13.604,27.438,13.834,10.27,3.667,
2011-09-05,19.188,51.292,32.104,8.375,4.208,
2011-09-06,18.979,44.688,25.708,13.229,3.708,
2011-09-07,28.958,50.854,21.896,17.802,4.667,
2011-09-08,29.292,49.042,19.75,25.0,4.75,
2011-09-09,23.458,45.979,22.521,25.125,4.458,
2011-09-10,19.917,37.021,17.104,25.958,4.5,
2011-09-11,9.354,18.625,9.271,15.292,2.75,
2011-09-12,16.292,37.98,21.688,17.104,2.783,
2011-09-13,21.688,42.271,20.584,19.125,3.083,
2011-09-14,22.25,38.792,16.542,25.256,3.083,
2011-09-15,16.0,36.438,20.438,20.688,2.417,
2011-09-16,14.625,42.208,27.583,15.854,2.5,
2011-09-17,15.584,39.438,23.854,12.417,3.708,
2011-09-18,9.438,23.104,13.667,13.708,3.0,
2011-09-19,10.667,25.229,14.562,11.375,2.958,
2011-09-20,20.75,51.5,30.75,9.479,3.708,
2011-09-21,12.208,29.292,17.084,8.368,2.652,
2011-09-22,17.396,44.646,27.25,8.229,3.375,
2011-09-23,16.521,38.0,21.479,12.958,3.5,
2011-09-24,16.354,34.166,17.812,13.375,3.5,
2011-09-25,10.583,16.271,5.688,13.854,2.833,
2011-09-26,26.354,50.5,24.146,18.458,4.458,
2011-09-27,19.334,39.854,20.521,19.542,3.792,
2011-09-28,22.604,41.042,18.438,19.271,3.708,
2011-09-29,29.0,48.666,19.667,23.562,4.25,
2011-09-30,26.334,49.958,23.625,20.979,4.304,
2011-10-01,14.0,30.48,16.48,12.834,3.375,
2011-10-02,12.0,21.958,9.958,10.646,3.333,
2011-10-03,16.77,39.375,22.604,10.208,3.208,
2011-10-04,25.188,51.666,26.48,15.584,3.458,
2011-10-05,29.479,61.396,31.916,18.396,4.542,
2011-10-06,19.666,45.562,25.896,9.623,4.083,
2011-10-07,21.208,44.98,23.771,28.542,5.125,
2011-10-08,20.438,35.708,15.271,32.021,5.25,
2011-10-09,13.896,19.334,5.438,32.208,5.0,
2011-10-10,21.312,31.27,9.958,41.188,5.958,
2011-10-11,27.834,52.771,24.938,52.062,6.167,
2011-10-12,23.688,49.625,25.938,43.104,5.708,
2011-10-13,34.625,68.438,33.812,40.896,6.292,
2011-10-14,33.354,66.166,32.812,42.375,6.0,
2011-10-15,28.479,59.562,31.083,14.188,5.333,
2011-10-16,17.458,25.771,8.312,24.396,4.792,
2011-10-17,24.062,52.334,28.271,26.062,5.167,
2011-10-18,19.938,41.208,21.27,14.271,3.435,
2011-10-19,22.082,47.241,25.158,16.396,3.708,
2011-10-20,22.913,40.892,17.978,16.739,3.783,
2011-10-21,20.354,35.5,15.146,16.416,3.625,
2011-10-22,19.812,36.666,16.854,11.02,4.25,
2011-10-23,12.438,23.021,10.584,9.917,3.75,
2011-10-24,22.0,45.98,23.98,10.542,3.75,
2011-10-25,20.292,56.104,35.812,17.25,4.542,
2011-10-26,18.236,43.91,25.673,9.708,3.708,
2011-10-27,22.062,50.354,28.292,19.0,3.739,
2011-10-28,28.5,51.375,22.875,20.584,4.5,
2011-10-29,22.021,36.125,14.105,24.417,4.292,
2011-10-30,18.688,27.583,8.896,21.938,4.208,
2011-10-31,23.334,53.125,29.792,11.666,4.042,
2011-11-01,24.5,52.958,28.458,15.75,4.167,
2011-11-02,24.437,43.097,18.66,17.958,4.125,
2011-11-03,23.042,39.021,15.98,26.208,4.833,
2011-11-04,22.71,48.348,25.638,22.416,5.042,
2011-11-05,31.021,57.5,26.48,35.854,6.304,
2011-11-06,16.083,30.458,14.375,17.52,4.708,
2011-11-07,15.896,38.812,22.916,8.146,3.708,
2011-11-08,23.625,60.438,36.812,12.188,4.042,
2011-11-09,24.396,62.792,38.396,13.337,4.167,
2011-11-10,25.896,60.25,34.354,16.5,4.0,
2011-11-11,24.646,56.458,31.812,10.125,4.625,
2011-11-12,21.042,55.916,34.875,13.688,5.167,
2011-11-13,14.574,27.92,13.346,19.854,4.917,
2011-11-14,22.688,51.479,28.792,35.229,5.652,
2011-11-15,22.458,57.646,35.188,16.812,4.625,
2011-11-16,22.75,59.292,36.541,10.761,4.708,
2011-11-17,26.417,66.042,39.625,19.5,5.542,
2011-11-18,33.875,74.292,40.416,20.146,6.083,
2011-11-19,31.271,76.688,45.417,15.875,6.833,
2011-11-20,11.417,26.958,15.542,11.458,4.75,
2011-11-21,21.833,58.042,36.208,7.479,4.25,
2011-11-22,31.078,78.934,47.856,10.438,4.833,
2011-11-23,26.042,56.562,30.52,16.625,5.174,
2011-11-24,22.0,52.792,30.792,12.334,4.208,
2011-11-25,22.542,50.896,28.354,6.667,3.667,
2011-11-26,24.584,55.562,30.979,11.229,5.042,
2011-11-27,19.708,38.416,18.708,14.52,5.375,
2011-11-28,31.562,96.604,65.042,29.583,7.917,
2011-11-29,40.771,121.0,80.23,36.062,9.083,
2011-11-30,25.5,86.236,60.736,26.354,6.792,
2011-12-01,13.492,32.038,18.546,4.479,2.917,
2011-12-02,24.438,52.812,28.375,7.604,3.913,
2011-12-03,19.5,40.604,21.104,7.438,3.958,
2011-12-04,9.895,21.271,11.375,6.5,3.625,
2011-12-05,23.812,71.042,47.229,9.166,5.042,
2011-12-06,29.625,77.188,47.562,14.188,5.542,
2011-12-07,33.458,92.167,58.708,18.75,6.667,
2011-12-08,35.333,99.584,64.25,19.25,6.542,
2011-12-09,15.229,37.792,22.562,5.447,4.125,
2011-12-10,21.114,47.888,26.774,9.062,4.833,
2011-12-11,15.729,32.0,16.27,11.146,4.696,
2011-12-12,30.25,88.479,58.229,21.312,7.333,
2011-12-13,28.98,98.917,69.938,17.25,6.583,
2011-12-14,31.688,77.532,45.843,15.13,5.708,
2011-12-15,28.875,86.208,57.334,22.896,6.583,
2011-12-16,24.062,60.416,36.354,10.375,4.125,
2011-12-17,25.084,59.312,34.229,7.042,4.458,
2011-12-18,15.73,29.562,13.834,8.958,3.792,
2011-12-19,26.252,65.782,39.53,14.375,4.958,
2011-12-20,27.125,65.042,37.916,8.542,4.043,
2011-12-21,32.708,77.458,44.75,20.833,5.417,
2011-12-22,28.333,79.312,50.979,27.958,6.042,
2011-12-23,14.708,35.062,20.354,5.292,3.292,
2011-12-24,26.0,64.27,38.271,10.896,4.875,
2011-12-25,10.52,20.292,9.77,6.521,2.958,
2011-12-26,23.75,61.562,37.812,5.542,4.042,
2011-12-27,29.958,78.919,48.962,8.216,4.333,
2011-12-28,36.798,99.058,62.26,13.688,6.125,
2011-12-29,23.834,63.625,39.792,19.792,5.478,
2011-12-30,11.625,23.27,11.646,9.188,3.583,
2011-12-31,18.354,31.688,13.334,9.396,3.958,
2012-01-01,15.438,23.688,8.25,,4.609,
2012-01-02,15.145,28.084,12.938,,4.833,
2012-01-03,8.604,17.083,8.48,,3.292,
2012-01-04,11.145,21.875,10.729,,3.25,
2012-01-05,26.854,45.833,18.979,,4.792,
2012-01-06,20.625,42.396,21.771,,5.292,
2012-01-07,33.666,76.625,42.958,,6.333,
2012-01-08,32.57,88.468,55.898,,6.125,
2012-01-09,25.133,64.946,39.813,,4.625,
2012-01-10,28.562,60.062,31.5,,4.174,
2012-01-11,30.146,73.062,42.917,,4.792,
2012-01-12,33.604,70.562,36.958,,5.833,
2012-01-13,31.52,57.146,25.625,,7.5,
2012-01-14,13.438,25.271,11.834,,3.625,
2012-01-15,15.542,37.396,21.854,,3.917,
2012-01-16,37.083,79.188,42.104,,4.875,
2012-01-17,19.52,40.666,21.146,,4.25,
2012-01-18,17.418,41.854,24.436,,3.625,
2012-01-19,26.604,60.334,33.73,,5.174,
2012-01-20,11.708,21.271,9.562,,4.625,
2012-01-21,33.396,71.25,37.854,,6.083,
2012-01-22,26.042,65.0,38.958,,5.083,
2012-01-23,24.074,56.054,31.979,,3.708,
2012-01-24,34.042,71.188,37.146,,4.75,
2012-01-25,17.8,35.51,17.71,,3.625,
2012-01-26,12.355,22.896,10.542,,2.667,
2012-01-27,16.725,27.617,10.892,,3.875,
2012-01-28,22.48,53.208,30.729,,3.478,
2012-01-29,33.333,80.562,47.229,,4.875,
2012-01-30,36.062,91.708,55.646,,6.0,
2012-01-31,32.166,80.75,48.584,,5.917,
2012-02-01,37.688,86.584,48.896,,6.708,
2012-02-02,22.542,47.875,25.333,,4.458,
2012-02-03,10.562,18.604,8.041,,3.5,
2012-02-04,31.354,73.938,42.584,,5.25,
2012-02-05,18.524,41.952,23.428,,3.708,
2012-02-06,24.646,58.044,33.398,,4.304,
2012-02-07,25.292,59.75,34.458,,4.667,
2012-02-08,13.916,36.042,22.125,,3.625,
2012-02-09,16.188,34.48,18.292,,3.75,
2012-02-10,19.916,34.646,14.73,,4.708,
2012-02-11,13.438,25.625,12.188,,4.292,
2012-02-12,27.479,59.562,32.084,,4.625,
2012-02-13,24.625,56.5,31.875,,5.0,
2012-02-14,31.885,76.881,44.996,,5.208,
2012-02-15,24.916,62.208,37.292,,4.609,
2012-02-16,13.708,33.375,19.667,,3.708,
2012-02-17,18.75,32.75,14.0,,3.875,
2012-02-18,28.688,67.48,38.792,,4.75,
2012-02-19,18.292,43.25,24.958,,3.875,
2012-02-20,23.975,58.446,34.471,,3.87,
2012-02-21,22.75,50.708,27.958,,4.083,
2012-02-22,34.854,72.666,37.812,,5.333,
2012-02-23,18.32,36.948,18.628,,4.0,
2012-02-24,12.792,23.5,10.708,,3.174,
2012-02-25,17.688,44.416,26.729,,3.667,
2012-02-26,26.458,51.979,25.52,,4.208,
2012-02-27,25.75,50.188,24.438,,4.75,
2012-02-28,33.812,72.375,38.562,,5.0,
2012-02-29,,,,,,
2012-03-01,35.958,79.375,43.416,,5.375,
2012-03-02,12.0,25.166,13.167,,4.083,
2012-03-03,13.708,24.479,10.771,,3.333,
2012-03-04,29.433,59.758,30.324,,3.917,
2012-03-05,32.593,67.54,34.946,,5.783,
2012-03-06,34.039,60.233,26.194,,6.292,
2012-03-07,29.771,49.229,19.458,,4.458,
2012-03-08,37.479,59.708,22.229,,4.708,
2012-03-09,35.606,53.978,18.372,,6.125,
2012-03-10,21.084,30.062,8.98,,4.833,
2012-03-11,18.75,38.667,19.916,,3.583,
2012-03-12,30.625,48.916,18.292,,4.083,
2012-03-13,28.772,54.481,25.709,,4.458,
2012-03-14,12.77,27.062,14.292,,3.217,
2012-03-15,31.479,57.584,26.104,,4.5,
2012-03-16,28.854,55.375,26.521,,6.042,
2012-03-17,20.77,26.979,6.208,,5.125,
2012-03-18,34.405,60.301,25.896,,4.625,
2012-03-19,33.264,61.284,28.019,,5.739,
2012-03-20,28.354,41.688,13.334,,5.125,
2012-03-21,12.054,24.758,12.704,,3.125,
2012-03-22,27.552,43.612,16.06,,3.875,
2012-03-23,17.666,32.146,14.479,,4.043,
2012-03-24,12.0,16.354,4.354,,3.667,
2012-03-25,11.062,20.125,9.062,,3.25,
2012-03-26,19.166,39.146,19.979,,3.875,
2012-03-27,28.498,47.924,19.428,,4.417,
2012-03-28,29.084,48.5,19.416,,4.565,
2012-03-29,20.688,47.938,27.25,,4.375,
2012-03-30,13.458,23.48,10.02,,3.458,
2012-03-31,10.252,15.062,4.81,,3.5,
2012-04-01,13.771,22.0,8.229,,3.792,
2012-04-02,31.52,58.354,26.834,,4.708,
2012-04-03,29.52,62.25,32.729,,4.75,
2012-04-04,26.552,42.183,15.631,,3.875,
2012-04-05,31.016,51.888,20.872,,4.583,
2012-04-06,22.229,45.0,22.771,,4.13,
2012-04-07,15.104,30.25,15.146,,3.583,
2012-04-08,19.5,27.292,7.792,,4.042,
2012-04-09,31.417,50.792,19.375,,5.5,
2012-04-10,40.5,65.646,25.146,,5.583,
2012-04-11,37.938,71.542,33.604,,5.083,
2012-04-12,22.146,34.312,12.166,,4.125,
2012-04-13,28.438,55.188,26.75,,5.125,
2012-04-14,16.739,30.22,13.481,,3.625,
2012-04-15,17.896,27.229,9.334,,3.739,
2012-04-16,25.084,41.938,16.854,,4.042,
2012-04-17,19.833,36.916,17.084,,3.792,
2012-04-18,23.186,42.83,19.644,,4.208,
2012-04-19,22.02,34.604,12.583,,3.333,
2012-04-20,31.396,55.958,24.562,,4.625,
2012-04-21,14.416,23.458,9.042,,3.167,
2012-04-22,10.958,14.98,4.021,,2.625,
2012-04-23,24.891,41.097,16.206,,4.0,
2012-04-24,37.312,64.812,27.5,,6.174,
2012-04-25,33.666,50.708,17.042,,5.458,
2012-04-26,30.646,50.729,20.083,,4.25,
2012-04-27,22.021,41.792,19.771,,3.625,
2012-04-28,25.271,37.688,12.416,,4.0,
2012-04-29,16.834,23.354,6.521,,4.375,
2012-04-30,17.542,27.188,9.645,,4.042,
2012-05-01,15.021,24.916,9.896,,2.458,
2012-05-02,21.691,35.34,13.65,,2.958,
2012-05-03,12.146,23.586,11.44,,3.565,
2012-05-04,9.25,18.188,8.938,,3.167,
2012-05-05,14.0,21.875,7.875,,4.375,
2012-05-06,14.833,21.334,6.5,,4.708,
2012-05-07,25.562,40.25,14.688,,4.708,
2012-05-08,28.438,47.771,19.333,,5.208,
2012-05-09,29.271,48.25,18.979,,5.792,
2012-05-10,22.062,40.562,18.5,,3.708,
2012-05-11,13.708,33.7,19.992,,3.292,
2012-05-12,11.77,25.188,13.416,,2.783,
2012-05-13,16.854,25.521,8.666,,3.417,
2012-05-14,22.812,37.479,14.666,,3.417,
2012-05-15,31.292,58.5,27.208,,4.125,
2012-05-16,25.051,47.367,22.316,,4.417,
2012-05-17,25.146,36.854,11.708,,4.625,
2012-05-18,21.583,39.75,18.166,,4.583,
2012-05-19,19.438,29.396,9.958,,4.0,
2012-05-20,11.246,14.276,3.03,,3.417,
2012-05-21,19.584,30.125,10.542,,3.826,
2012-05-22,25.646,46.854,21.208,,4.792,
2012-05-23,23.584,46.854,23.27,,4.417,
2012-05-24,32.5,51.136,18.636,,5.455,
2012-05-25,38.667,66.834,28.166,,6.792,
2012-05-26,19.979,34.542,14.562,,4.75,
2012-05-27,14.105,18.438,4.334,,4.25,
