date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean,CO_mean
2011-02-17,15.052,32.365,17.312,5.937,,3.0,4.727
2011-02-18,24.031,46.448,22.417,6.219,,2.917,5.417
2011-02-19,14.24,31.458,17.219,5.104,,2.375,3.708
2011-02-20,12.114,23.781,11.667,9.781,,2.917,4.125
2011-02-21,8.99,18.854,9.864,15.052,,3.25,4.542
2011-02-22,13.312,26.854,13.542,6.677,,3.0,4.167
2011-02-23,24.285,43.028,18.742,23.999,,6.625,6.0
2011-02-24,11.271,20.375,9.104,7.594,,4.458,4.042
2011-02-25,24.916,39.01,14.094,12.031,,7.75,3.875
2011-02-26,14.344,24.323,9.979,7.938,,5.333,3.625
2011-02-27,10.781,22.688,11.906,5.281,,3.583,3.625
2011-02-28,12.323,24.771,12.448,5.906,,2.542,3.75
2011-03-01,16.792,29.136,12.344,24.63,,4.833,4.875
2011-03-02,11.292,21.812,10.521,14.01,,3.917,4.25
2011-03-03,10.386,20.094,9.708,9.021,,2.708,3.5
2011-03-04,10.979,21.188,10.208,5.75,,2.583,3.667
2011-03-05,29.583,52.781,23.198,13.635,,7.708,5.542
2011-03-06,24.166,44.927,20.76,10.562,,4.625,5.125
2011-03-07,17.448,32.49,15.042,5.719,,2.833,4.583
2011-03-08,14.782,28.023,13.242,6.641,,2.458,4.409
2011-03-09,15.177,28.052,12.875,6.052,,2.458,4.417
2011-03-10,17.854,29.688,11.834,9.406,,3.333,5.375
2011-03-11,16.156,27.386,11.229,13.146,,3.625,4.292
2011-03-12,17.364,29.135,11.771,15.49,,4.042,5.375
2011-03-13,14.396,28.75,14.354,8.636,,2.958,4.708
2011-03-14,22.094,37.344,15.25,15.646,,3.5,4.917
2011-03-15,14.472,24.75,10.278,20.344,,3.435,5.333
2011-03-16,17.5,33.364,15.864,15.083,,4.042,5.125
2011-03-17,24.531,42.292,17.76,17.416,,3.833,5.875
2011-03-18,11.625,20.354,8.729,13.386,,2.875,3.5
2011-03-19,9.396,19.823,10.427,11.328,,2.458,3.5
2011-03-20,8.854,18.167,9.312,9.396,,2.333,3.25
2011-03-21,11.219,22.573,11.354,11.531,,2.625,3.75
2011-03-22,17.838,31.494,13.657,20.677,,3.083,6.091
2011-03-23,17.094,31.531,14.438,15.218,,2.917,4.917
2011-03-24,17.594,27.146,9.552,12.073,,2.542,3.917
2011-03-25,13.427,22.583,9.156,7.76,,2.542,3.625
2011-03-26,12.594,24.74,12.146,11.271,,2.333,3.917
2011-03-27,14.76,26.667,11.906,11.583,,3.292,4.542
2011-03-28,25.385,41.282,15.896,21.521,,4.792,5.458
2011-03-29,15.88,26.334,10.454,22.687,,3.957,3.636
2011-03-30,6.719,10.916,4.198,38.76,,4.25,4.0
2011-03-31,10.844,20.313,9.468,13.031,,3.917,3.833
2011-04-01,15.762,25.239,9.477,21.437,,3.522,4.429
2011-04-02,6.771,14.77,8.0,5.01,,2.0,3.125
2011-04-03,7.292,14.729,7.438,4.219,,2.375,3.125
2011-04-04,11.156,22.812,11.656,4.844,,3.083,3.875
2011-04-05,17.542,31.364,13.823,17.229,,3.333,5.083
2011-04-06,15.136,24.906,9.771,23.312,,4.0,3.917
2011-04-07,16.796,28.726,11.93,19.188,,3.458,4.318
2011-04-08,10.073,18.635,8.562,9.5,,2.083,3.708
2011-04-09,18.688,32.052,13.365,13.76,,4.208,5.458
2011-04-10,14.969,22.865,7.896,21.292,,4.208,4.708
2011-04-11,9.792,19.948,10.156,17.229,,2.708,3.833
2011-04-12,8.969,17.177,8.208,13.26,,2.708,3.5
2011-04-13,15.073,25.573,10.5,20.531,,2.792,4.667
2011-04-14,14.154,21.188,7.034,30.802,,3.174,4.864
2011-04-15,15.535,22.34,6.806,41.719,,5.208,5.292
2011-04-16,12.323,20.385,8.063,23.854,,2.875,4.792
2011-04-17,5.177,10.062,4.886,7.708,,2.667,2.792
2011-04-18,9.943,20.304,10.361,6.64,,2.25,3.818
2011-04-19,9.625,15.896,6.271,5.708,,2.417,3.208
2011-04-20,10.51,19.166,8.656,6.51,,2.708,3.042
2011-04-21,10.714,21.619,10.906,8.802,,2.125,3.714
2011-04-22,11.042,19.979,8.938,7.875,,3.042,3.5
2011-04-23,10.073,17.354,7.281,4.479,,2.458,3.458
2011-04-24,7.615,14.438,6.823,3.719,,1.583,3.292
2011-04-25,9.271,17.219,7.948,11.084,,1.75,4.0
2011-04-26,10.114,18.312,8.198,20.625,,2.375,4.0
2011-04-27,11.916,21.646,9.729,28.76,,2.0,4.167
2011-04-28,13.499,23.441,9.942,9.036,,2.696,4.333
2011-04-29,6.448,12.354,5.906,6.0,,2.25,2.958
2011-04-30,7.042,11.979,4.938,20.208,,3.0,3.917
2011-05-01,13.875,22.979,9.104,11.49,,1.625,5.083
2011-05-02,6.313,12.896,6.584,4.792,,1.458,3.625
2011-05-03,7.823,15.552,7.729,9.364,,2.333,3.5
2011-05-04,11.99,20.854,8.864,6.167,,2.25,3.708
2011-05-05,8.042,16.25,8.208,7.781,,2.208,3.542
2011-05-06,13.977,27.429,13.452,12.802,,3.458,4.381
2011-05-07,12.073,19.896,7.823,11.667,,2.583,3.667
2011-05-08,7.604,14.958,7.354,3.823,,2.042,3.25
2011-05-09,9.073,16.084,7.01,7.052,,2.708,3.5
2011-05-10,12.25,22.948,10.698,10.125,,2.167,4.042
2011-05-11,8.292,18.01,9.719,4.677,,2.583,3.25
2011-05-12,10.112,17.514,7.402,6.656,,2.957,2.955
2011-05-13,4.958,9.875,4.917,3.886,,1.875,2.583
2011-05-14,6.198,14.135,7.938,3.094,,1.792,2.917
2011-05-15,6.635,14.625,7.99,5.844,,2.292,3.167
2011-05-16,12.677,23.094,10.417,12.698,,2.875,4.125
2011-05-17,11.323,22.364,11.042,7.458,,1.667,3.792
2011-05-18,13.073,22.25,9.177,13.792,,2.875,3.75
2011-05-19,22.876,35.423,12.547,28.411,,3.292,4.857
2011-05-20,10.485,15.789,5.304,46.042,,2.833,3.542
2011-05-21,14.875,25.552,10.677,33.448,,2.917,4.917
2011-05-22,5.864,10.521,4.656,17.552,,2.375,3.083
2011-05-23,9.521,21.927,12.406,5.938,,2.542,3.75
2011-05-24,9.698,18.0,8.302,12.833,,2.583,3.375
2011-05-25,8.448,14.5,6.052,10.167,,2.5,3.0
2011-05-26,13.152,22.695,9.542,15.927,,3.13,3.476
2011-05-27,16.5,27.718,11.219,18.136,,6.208,4.208
2011-05-28,12.781,20.281,7.5,20.656,,3.458,3.792
2011-05-29,8.323,15.375,7.052,19.146,,2.917,3.125
2011-05-30,9.208,15.75,6.542,7.271,,3.167,2.792
2011-05-31,11.812,21.365,9.552,11.531,,3.583,3.542
2011-06-01,11.74,20.688,8.948,23.281,,3.958,3.125
2011-06-02,12.154,22.718,10.565,20.273,,4.083,3.429
2011-06-03,10.094,19.052,8.958,18.562,,2.833,3.25
2011-06-04,13.704,22.702,8.998,20.458,,2.708,3.708
2011-06-05,7.5,12.156,4.656,18.917,,2.667,3.5
2011-06-06,8.344,14.208,5.864,22.386,,2.333,3.375
2011-06-07,11.334,19.156,7.823,26.01,,3.458,4.083
2011-06-08,12.854,21.448,8.594,26.552,,4.333,4.375
2011-06-09,15.87,25.34,9.47,26.188,,4.174,4.227
2011-06-10,9.896,15.75,5.854,25.844,,3.0,3.417
2011-06-11,8.021,14.24,6.219,32.531,,2.958,3.792
2011-06-12,6.604,12.24,5.636,10.698,,2.708,3.583
2011-06-13,9.104,17.031,7.927,10.49,,2.833,3.708
2011-06-14,9.781,20.844,11.062,6.01,,3.5,3.958
2011-06-15,7.677,18.375,10.698,3.927,,2.292,3.524
2011-06-16,7.672,14.743,7.07,6.75,,3.333,3.125
2011-06-17,12.521,23.354,10.834,11.448,,5.375,3.458
2011-06-18,14.521,25.188,10.667,17.719,,3.417,3.583
2011-06-19,4.906,8.625,3.719,21.5,,2.667,2.75
2011-06-20,12.573,22.239,9.667,23.375,,4.333,3.542
2011-06-21,15.271,25.219,9.948,21.812,,7.708,4.0
2011-06-22,11.531,18.979,7.448,26.927,,3.458,3.792
2011-06-23,9.518,20.63,11.112,18.224,,3.826,4.048
2011-06-24,7.656,19.292,11.635,4.76,,3.042,3.5
2011-06-25,5.865,14.427,8.562,3.844,,5.125,2.75
2011-06-26,5.771,11.854,6.083,3.063,,3.375,2.792
2011-06-27,11.531,24.416,12.886,8.261,,6.833,3.417
2011-06-28,11.75,24.51,12.76,17.5,,3.417,3.875
2011-06-29,10.458,18.365,7.906,19.042,,3.292,4.0
2011-06-30,11.295,17.688,6.392,30.761,,4.083,3.591
2011-07-01,7.167,12.532,5.364,21.448,,3.583,3.125
2011-07-02,6.854,12.052,5.198,10.646,,3.292,3.0
2011-07-03,10.594,18.094,7.5,16.812,,8.583,3.458
2011-07-04,8.667,17.406,8.739,10.406,,3.75,3.25
2011-07-05,7.354,14.312,6.958,7.208,,3.417,2.833
2011-07-06,9.208,17.448,8.24,10.104,,3.333,3.375
2011-07-07,11.974,21.526,9.552,17.06,,4.957,3.833
2011-07-08,14.517,28.474,13.958,16.853,,4.292,4.0
2011-07-09,8.698,16.0,7.302,10.323,,3.125,3.167
2011-07-10,8.281,16.208,7.927,9.135,,3.583,2.875
2011-07-11,14.417,29.448,15.031,23.594,,4.833,4.167
2011-07-12,9.229,17.354,8.125,16.688,,3.917,2.875
2011-07-13,8.552,17.99,9.438,17.479,,3.25,2.875
2011-07-14,13.252,31.71,18.457,16.636,,3.917,3.571
2011-07-15,14.104,29.479,15.375,14.417,,4.208,3.208
2011-07-16,17.385,41.854,24.469,12.51,,4.667,5.208
2011-07-17,12.5,29.864,17.364,9.864,,4.083,4.292
2011-07-18,7.281,18.906,11.625,6.219,,2.542,3.083
2011-07-19,6.802,15.656,8.854,7.448,,2.958,3.0
2011-07-20,9.844,20.219,10.375,15.5,,3.292,2.792
2011-07-21,8.958,18.211,9.253,16.062,,4.125,2.591
2011-07-22,9.552,19.594,10.042,14.792,,4.261,3.25
2011-07-23,7.479,15.114,7.636,8.25,,3.75,2.75
2011-07-24,6.677,13.094,6.417,7.375,,3.208,2.958
2011-07-25,7.938,15.854,7.916,11.032,,2.792,2.833
2011-07-26,6.292,12.886,6.594,11.958,,2.625,2.542
2011-07-27,10.583,19.49,8.906,21.302,,3.375,3.458
2011-07-28,9.382,18.382,9.0,30.019,,3.458,3.682
2011-07-29,9.021,19.385,10.365,31.74,,3.25,4.083
2011-07-30,7.052,16.531,9.479,20.114,,3.083,4.083
2011-07-31,7.562,15.677,8.114,11.531,,3.542,3.792
2011-08-01,8.927,18.865,9.938,11.563,,3.792,2.833
2011-08-02,9.51,17.917,8.406,14.99,,4.792,2.792
2011-08-03,10.521,19.344,8.823,15.417,,4.5,3.417
2011-08-04,9.147,18.103,8.956,13.412,,3.087,3.682
2011-08-05,9.812,19.354,9.542,13.302,,2.75,3.417
2011-08-06,8.604,16.198,7.594,19.188,,2.708,2.542
2011-08-07,5.208,9.979,4.771,17.073,,2.458,2.292
2011-08-08,8.479,18.062,9.584,18.094,,2.708,3.083
2011-08-09,8.636,16.76,8.125,21.021,,3.333,3.0
2011-08-10,10.114,21.229,11.114,21.167,,2.958,3.583
2011-08-11,5.843,13.644,7.801,14.995,,2.417,3.136
2011-08-12,6.844,17.198,10.354,10.656,,2.542,3.667
2011-08-13,8.74,15.969,7.229,8.281,,3.833,3.708
2011-08-14,8.792,17.052,8.26,14.802,,2.625,3.875
2011-08-15,8.896,17.635,8.74,14.938,,1.042,3.875
2011-08-16,11.51,22.0,10.49,5.708,,1.167,4.708
2011-08-17,8.198,18.156,9.958,6.792,,1.375,3.833
2011-08-18,7.824,19.144,11.32,9.375,,2.304,3.864
2011-08-19,7.323,15.896,8.573,7.062,,2.708,3.333
2011-08-20,8.896,16.99,8.094,9.854,,2.5,3.917
2011-08-21,7.01,12.26,5.25,10.5,,2.25,3.292
2011-08-22,10.094,18.51,8.417,9.844,,2.625,3.167
2011-08-23,14.729,29.114,14.386,10.0,,3.958,4.458
2011-08-24,10.754,21.071,10.316,7.927,,1.909,3.542
2011-08-25,11.908,25.491,13.583,12.197,,2.208,4.273
2011-08-26,11.828,23.534,11.707,8.923,,2.762,3.917
2011-08-27,9.823,19.021,9.198,9.312,,3.917,3.708
2011-08-28,10.281,18.552,8.271,12.927,,4.25,3.583
2011-08-29,13.896,24.203,10.307,17.219,,4.652,4.167
2011-08-30,11.073,19.812,8.74,14.469,,4.083,3.75
2011-08-31,11.623,23.988,12.365,13.334,,3.478,3.75
2011-09-01,11.906,22.188,10.282,17.468,,3.75,3.19
2011-09-02,13.386,23.438,10.052,7.479,,2.458,3.5
2011-09-03,10.854,22.188,11.334,4.896,,2.125,3.667
2011-09-04,6.312,10.917,4.604,4.646,,2.208,2.292
2011-09-05,6.834,14.604,7.771,7.74,,2.208,2.333
2011-09-06,14.292,29.396,15.104,7.219,,2.292,3.958
2011-09-07,7.323,14.552,7.229,8.971,,1.75,2.458
2011-09-08,8.881,16.907,8.026,8.806,,2.5,2.667
2011-09-09,16.344,27.864,11.521,17.854,,2.75,4.208
2011-09-10,9.062,18.77,9.708,9.385,,2.333,3.25
2011-09-11,8.729,18.396,9.667,6.135,,2.167,3.458
2011-09-12,14.521,31.198,16.677,8.771,,2.042,4.792
2011-09-13,12.666,27.99,15.323,12.406,,1.583,4.208
2011-09-14,11.052,24.906,13.854,11.719,,2.5,4.042
2011-09-15,14.916,30.62,15.704,14.757,,2.609,4.864
2011-09-16,11.844,23.99,12.146,22.146,,2.167,3.917
2011-09-17,10.948,23.51,12.563,15.229,,2.208,4.167
2011-09-18,7.448,17.031,9.583,3.771,,2.042,3.208
2011-09-19,8.031,18.812,10.782,3.208,,3.208,3.0
2011-09-20,11.281,29.125,17.844,3.823,,2.292,4.667
2011-09-21,13.48,29.792,16.312,6.948,,2.375,4.208
2011-09-22,9.076,16.268,7.192,3.292,,2.583,2.591
2011-09-23,8.896,18.312,9.417,2.562,,2.125,3.125
2011-09-24,11.334,26.719,15.386,3.771,,1.75,4.5
2011-09-25,11.01,22.188,11.177,4.427,,1.708,3.917
2011-09-26,12.104,24.938,12.834,8.958,,2.167,3.792
2011-09-27,14.031,29.385,15.354,16.448,,2.208,4.458
2011-09-28,16.49,32.333,15.844,12.208,,3.042,4.708
2011-09-29,14.867,30.1,15.234,15.844,,2.348,4.591
2011-09-30,12.844,28.208,15.365,13.094,,2.083,4.125
2011-10-01,7.104,16.802,9.698,4.312,,2.25,2.75
2011-10-02,5.812,13.573,7.761,3.365,,1.792,2.542
2011-10-03,8.364,21.948,13.583,4.313,,1.792,3.125
2011-10-04,12.146,31.281,19.136,10.156,,1.5,3.792
2011-10-05,10.271,23.5,13.23,8.479,,1.583,4.042
2011-10-06,19.032,38.679,19.646,11.79,,2.167,4.381
2011-10-07,13.74,26.531,12.792,7.271,,2.0,4.042
2011-10-08,14.438,30.625,16.187,21.708,,2.042,5.125
2011-10-09,12.156,23.25,11.094,23.969,,2.083,4.792
2011-10-10,8.802,17.542,8.74,24.812,,2.167,3.917
2011-10-11,9.927,23.177,13.25,13.031,,1.958,3.0
2011-10-12,11.344,23.271,11.927,14.427,,1.875,5.6
2011-10-13,9.617,21.572,11.954,20.394,,2.304,4.0
2011-10-14,24.0,54.062,30.062,27.521,,3.083,7.25
2011-10-15,19.042,37.823,18.781,22.823,,2.417,5.5
2011-10-16,9.052,16.916,7.865,15.698,,2.25,4.042
2011-10-17,6.698,14.885,8.187,7.854,,2.292,3.542
2011-10-18,8.458,19.917,11.458,6.636,,2.042,3.208
2011-10-19,13.146,29.938,16.792,14.031,,2.167,5.208
2011-10-20,23.514,59.201,35.687,16.575,,2.737,7.143
2011-10-21,21.854,53.24,31.386,14.885,,1.947,6.0
2011-10-22,16.438,31.531,15.094,10.26,,2.048,3.75
2011-10-23,10.782,19.323,8.542,5.448,,2.833,2.708
2011-10-24,19.166,41.562,22.396,7.438,,2.667,5.5
2011-10-25,12.614,29.094,16.479,11.323,,2.833,4.042
2011-10-26,7.833,21.104,13.271,6.542,,2.042,3.0
2011-10-27,11.945,36.113,24.168,4.823,,1.895,5.773
2011-10-28,18.958,47.469,28.51,11.781,,1.87,6.125
2011-10-29,20.052,50.76,30.708,15.521,,1.5,7.375
2011-10-30,16.542,34.292,17.75,14.136,,2.474,5.375
2011-10-31,16.417,37.052,20.636,16.084,,1.87,5.042
2011-11-01,19.01,48.573,29.562,15.354,,2.895,7.708
2011-11-02,20.0,45.521,25.521,18.386,,2.0,5.667
2011-11-03,11.198,26.844,15.646,11.75,,2.333,5.0
2011-11-04,15.557,38.584,23.027,12.646,,2.136,5.571
2011-11-05,24.864,54.323,29.458,14.927,,1.917,6.583
2011-11-06,9.188,18.99,9.802,11.594,,2.167,3.625
2011-11-07,12.167,26.365,14.198,7.25,,2.5,3.792
2011-11-08,10.177,23.219,13.042,4.792,,2.292,3.667
2011-11-09,11.416,29.125,17.708,7.156,,2.083,4.125
2011-11-10,16.127,37.725,21.598,11.445,,1.739,5.409
2011-11-11,25.771,62.562,36.792,14.24,,2.81,6.292
2011-11-12,15.594,36.834,21.24,12.542,,1.958,4.292
2011-11-13,10.781,20.469,9.688,17.448,,2.792,4.583
2011-11-14,9.479,23.438,13.958,17.448,,2.75,3.833
2011-11-15,9.481,22.934,13.452,8.166,,2.208,3.25
2011-11-16,8.115,20.177,12.062,4.562,,2.125,4.042
2011-11-17,9.945,23.334,13.39,9.338,,2.375,3.727
2011-11-18,25.625,66.979,41.354,13.625,,2.292,7.625
2011-11-19,20.365,40.625,20.26,15.292,,2.5,5.0
2011-11-20,7.625,17.625,10.0,4.042,,1.792,3.167
2011-11-21,10.385,24.646,14.26,4.094,,2.125,3.792
2011-11-22,11.812,25.083,13.271,5.688,,2.625,3.333
2011-11-23,14.0,32.146,18.146,6.667,,2.625,4.333
2011-11-24,7.354,15.188,7.834,4.521,,2.565,3.0
2011-11-25,9.062,22.208,13.146,3.464,,2.125,3.375
2011-11-26,11.448,22.625,11.177,7.5,,2.125,3.792
2011-11-27,19.614,46.208,26.594,11.531,,2.042,6.083
2011-11-28,24.052,65.396,41.344,17.052,,3.25,9.083
2011-11-29,14.812,31.521,16.708,16.594,,2.417,5.167
2011-11-30,9.604,22.125,12.521,7.698,,2.792,3.417
2011-12-01,10.411,25.352,14.941,5.302,,2.375,4.0
2011-12-02,22.26,56.51,34.25,8.312,,2.5,6.083
2011-12-03,27.938,58.666,30.729,10.781,,4.583,5.5
2011-12-04,12.938,26.468,13.531,2.375,,2.625,3.625
2011-12-05,9.146,23.74,14.594,5.74,,2.167,3.25
2011-12-06,14.594,37.302,22.708,7.167,,2.583,4.917
2011-12-07,11.334,26.875,15.542,7.885,,2.217,3.875
2011-12-08,16.55,41.6,25.049,6.26,,2.417,5.5
2011-12-09,15.729,35.729,20.0,4.324,,1.786,4.292
2011-12-10,13.313,28.969,15.656,4.969,,1.583,4.042
2011-12-11,10.552,21.968,11.417,6.708,,2.0,3.458
2011-12-12,11.427,27.542,16.114,7.583,,3.375,3.875
2011-12-13,11.646,25.656,14.01,6.49,,2.5,3.833
2011-12-14,21.479,51.49,30.01,9.416,,2.708,6.042
2011-12-15,10.574,23.836,13.261,12.69,,4.75,4.182
2011-12-16,10.198,25.229,15.031,3.427,,2.375,3.833
2011-12-17,11.406,25.219,13.812,3.542,,2.125,3.75
2011-12-18,9.052,21.031,11.979,6.834,,2.208,3.417
2011-12-19,12.677,28.573,15.896,5.479,,2.625,3.875
2011-12-20,12.198,28.74,16.542,4.208,,2.5,3.833
2011-12-21,28.794,76.381,47.586,12.156,,3.417,7.0
2011-12-22,30.029,75.928,45.899,13.121,,5.826,5.458
2011-12-23,11.604,22.156,10.552,6.438,,2.542,3.375
2011-12-24,9.76,19.75,9.99,4.666,,2.125,2.875
2011-12-25,6.386,14.875,8.49,3.833,,2.0,2.708
2011-12-26,8.406,17.698,9.292,5.552,,2.583,3.125
2011-12-27,11.726,26.346,14.619,4.775,,2.167,3.381
2011-12-28,13.781,31.542,17.76,4.792,,2.333,4.125
2011-12-29,21.542,47.469,25.927,10.438,,4.083,5.208
2011-12-30,11.636,24.063,12.427,9.458,,4.042,3.917
2011-12-31,10.802,21.677,10.875,4.302,,2.833,4.208
2012-01-01,8.833,15.792,6.958,9.229,8.875,4.375,3.375
2012-01-02,19.281,32.406,13.125,8.479,9.417,3.917,3.917
2012-01-03,7.562,15.771,8.208,7.136,7.833,3.375,3.125
2012-01-04,9.39,19.718,10.328,4.427,4.792,2.333,3.091
2012-01-05,14.344,27.448,13.104,5.729,3.833,2.208,3.292
2012-01-06,9.552,18.437,8.886,9.938,9.542,2.958,3.167
2012-01-07,14.531,31.906,17.375,5.344,5.542,2.583,3.708
2012-01-08,14.02,28.208,14.188,3.896,3.625,2.333,3.375
2012-01-09,13.698,27.427,13.729,4.333,4.25,2.167,3.583
2012-01-10,11.109,23.537,12.428,3.784,3.625,2.417,3.364
2012-01-11,14.688,29.094,14.406,5.312,3.667,2.458,3.708
2012-01-12,24.865,48.334,23.469,23.208,14.25,7.75,6.667
2012-01-13,11.292,21.666,10.375,14.74,10.0,5.25,3.667
2012-01-14,21.917,43.188,21.271,7.74,2.083,2.75,3.792
2012-01-15,11.479,22.396,10.917,4.083,3.0,2.208,3.25
2012-01-16,14.875,32.104,17.229,3.729,0.792,2.333,3.875
2012-01-17,26.226,53.812,27.586,7.372,0.875,3.783,4.409
2012-01-18,12.188,25.031,12.844,3.698,1.917,2.304,3.167
2012-01-19,10.833,22.094,11.26,4.042,1.167,2.0,3.083
2012-01-20,9.375,16.625,7.25,3.021,0.417,2.0,2.708
2012-01-21,19.729,40.594,20.865,4.864,2.458,2.625,4.542
2012-01-22,32.073,62.073,30.0,9.188,3.292,4.042,4.958
2012-01-23,29.5,68.573,39.073,9.625,4.417,3.5,5.625
2012-01-24,40.27,97.613,57.343,14.973,6.75,5.667,6.955
2012-01-25,12.666,21.396,8.729,10.063,6.0,4.375,3.833
2012-01-26,8.458,15.677,7.219,8.271,3.833,2.667,3.333
2012-01-27,7.458,13.364,5.906,5.323,1.333,1.833,2.5
2012-01-28,26.448,52.427,25.979,5.625,1.5,3.375,4.958
2012-01-29,19.906,39.24,19.333,5.115,2.625,2.417,4.333
2012-01-30,10.771,20.156,9.385,4.427,2.0,2.25,2.958
2012-01-31,25.456,47.749,22.292,5.021,1.542,2.958,4.636
2012-02-01,36.834,86.562,49.729,27.167,15.542,5.292,7.667
2012-02-02,10.875,19.177,8.302,13.375,13.708,3.75,3.708
2012-02-03,7.219,15.125,7.906,7.469,7.875,2.083,2.708
2012-02-04,16.073,32.594,16.521,9.166,5.917,3.083,3.955
2012-02-05,10.416,21.5,11.084,7.229,7.875,2.5,3.292
2012-02-06,26.021,52.542,26.521,11.364,7.333,3.5,5.25
2012-02-07,28.67,51.578,22.907,10.031,5.792,4.667,4.591
2012-02-08,16.49,31.656,15.167,9.646,5.5,3.417,3.958
2012-02-09,11.99,25.375,13.385,3.636,2.792,2.125,3.5
2012-02-10,19.156,36.886,17.729,7.812,4.792,2.417,4.625
2012-02-11,28.938,53.938,25.0,15.667,7.833,3.542,5.417
2012-02-12,23.844,49.364,25.521,9.438,5.042,2.625,4.875
2012-02-13,28.75,58.74,29.99,10.677,6.083,3.292,5.625
2012-02-14,22.378,43.545,21.168,14.162,8.167,3.304,5.333
2012-02-15,14.292,28.614,14.323,15.052,8.375,4.375,4.417
2012-02-16,12.896,23.198,10.302,13.646,7.292,4.167,3.583
2012-02-17,11.625,21.854,10.229,7.114,4.75,3.083,3.625
2012-02-18,33.667,65.594,31.927,15.615,6.042,6.75,4.792
2012-02-19,21.094,42.417,21.323,13.208,7.833,4.542,4.333
2012-02-20,10.781,21.938,11.156,12.146,9.208,3.583,3.625
2012-02-21,10.957,22.63,11.672,10.043,6.667,3.292,3.409
2012-02-22,13.396,26.49,13.094,7.677,4.917,3.292,3.667
2012-02-23,9.958,19.625,9.666,6.677,4.25,2.667,3.292
2012-02-24,11.948,21.74,9.792,7.281,4.0,2.458,3.125
2012-02-25,19.385,38.365,18.979,5.729,1.667,3.542,3.625
2012-02-26,15.875,31.583,15.708,5.364,1.375,2.542,3.75
2012-02-27,27.24,51.073,23.834,11.49,3.917,3.583,5.25
2012-02-28,16.012,27.91,11.897,11.438,7.167,3.208,4.318
2012-02-29,,,,,,,
2012-03-01,19.062,31.896,12.834,6.969,2.5,3.417,4.208
2012-03-02,8.281,14.781,6.5,5.729,2.208,2.208,2.458
2012-03-03,8.752,16.124,7.372,6.066,3.708,2.167,2.542
2012-03-04,24.01,48.281,24.271,12.344,2.625,2.875,4.667
