date,HUM_max,HUM_mean,HUM_min,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-02-17,75.0,62.25,41.0,1.125,9.688,9.3,4.779,2.4,5.417,5.792,0.375,
2011-02-18,81.0,52.833,39.0,1.042,7.75,7.1,2.929,-0.1,3.0,3.0,0.0,
2011-02-19,73.0,58.75,36.0,1.708,12.021,9.1,2.975,-3.0,7.958,9.0,1.042,
2011-02-20,95.0,68.333,42.0,0.87,12.854,10.9,4.571,-0.9,10.348,11.87,1.522,
2011-02-21,98.0,71.833,48.0,2.042,17.271,11.4,5.625,-2.1,17.875,21.208,3.333,
2011-02-22,99.0,78.792,50.0,3.083,32.25,11.5,8.588,4.3,25.458,30.542,5.083,
2011-02-23,99.0,91.042,69.0,1.292,31.667,13.3,9.696,7.7,16.0,20.261,4.261,
2011-02-24,93.0,65.0,38.0,2.792,35.663,15.7,10.088,7.0,11.625,12.875,1.25,
2011-02-25,99.0,88.417,73.0,2.625,34.48,10.7,8.383,6.9,17.083,19.625,2.542,
2011-02-26,81.0,62.0,45.0,0.833,9.625,9.2,5.804,2.6,3.917,4.167,0.25,
2011-02-27,58.0,45.25,30.0,1.478,10.854,10.1,4.233,0.6,5.0,5.174,0.174,
2011-02-28,96.0,54.0,29.0,1.792,14.771,9.2,4.533,-0.8,8.75,9.542,0.792,
2011-03-01,99.0,85.875,60.0,3.25,26.666,14.7,9.688,4.4,25.125,31.167,6.042,
2011-03-02,99.0,98.542,91.0,1.208,36.416,10.1,9.075,8.1,26.167,41.958,15.792,
2011-03-03,90.0,66.042,36.0,1.458,15.229,17.0,10.154,6.3,7.917,8.625,0.708,
2011-03-04,99.0,86.708,67.0,1.875,27.708,8.8,6.988,4.3,14.458,15.292,0.833,
2011-03-05,99.0,99.0,99.0,0.348,17.206,11.2,10.171,8.7,18.545,20.273,1.727,
2011-03-06,99.0,88.292,69.0,1.083,24.688,19.4,14.142,10.3,22.875,32.292,9.417,
2011-03-07,85.0,69.542,57.0,2.292,31.542,12.8,11.029,8.8,10.042,10.458,0.417,41.125
2011-03-08,84.0,69.458,50.0,4.042,34.584,15.5,11.025,7.2,24.208,27.833,3.625,30.083
2011-03-09,99.0,95.708,76.0,1.792,21.584,9.7,8.208,7.0,11.75,11.917,0.167,18.043
2011-03-10,99.0,77.083,52.0,0.792,13.917,14.8,8.875,5.8,6.875,7.208,0.333,9.542
2011-03-11,89.0,63.375,34.0,1.375,10.271,14.0,7.067,1.8,3.542,3.583,0.042,9.708
2011-03-12,88.0,72.833,56.0,0.043,10.25,9.3,4.275,1.8,3.696,3.783,0.087,7.0
2011-03-13,75.0,55.875,41.0,0.0,10.062,10.1,4.925,1.5,3.208,3.417,0.208,8.667
2011-03-14,89.0,59.792,34.0,0.0,15.167,12.9,5.625,-0.4,10.833,12.333,1.5,11.417
2011-03-15,99.0,64.625,30.0,0.125,18.312,12.7,6.008,-0.2,10.417,11.958,1.542,16.083
2011-03-16,99.0,68.375,42.0,0.083,19.458,11.0,7.292,0.2,14.583,18.0,3.417,15.958
2011-03-17,99.0,99.0,99.0,0.0,29.938,14.6,11.008,8.8,20.583,25.917,5.333,15.625
2011-03-18,99.0,95.708,74.0,0.0,24.5,13.4,11.612,10.0,18.708,22.75,4.042,13.167
2011-03-19,82.0,58.833,40.0,0.391,11.771,12.4,8.204,4.0,3.435,3.435,0.0,8.833
2011-03-20,73.0,54.333,32.0,0.917,12.188,14.0,8.008,1.8,5.667,5.792,0.125,9.208
2011-03-21,70.0,45.833,27.0,0.875,12.042,13.4,7.667,2.8,3.833,3.917,0.083,10.25
2011-03-22,91.0,61.167,28.0,1.708,20.458,18.2,9.762,0.2,14.917,20.792,5.875,16.042
2011-03-23,99.0,91.833,68.0,0.667,23.625,10.1,9.262,8.4,19.667,21.042,1.375,14.708
2011-03-24,99.0,84.583,64.0,0.208,12.792,12.5,9.829,7.0,9.583,9.792,0.208,8.25
2011-03-25,82.0,67.75,47.0,0.375,14.0,10.6,7.1,3.3,3.5,3.5,0.0,12.0
2011-03-26,90.0,64.708,36.0,1.0,11.479,12.0,6.704,2.6,5.348,5.609,0.261,10.958
2011-03-27,93.0,66.542,33.0,1.125,17.208,15.7,8.612,3.7,7.75,8.333,0.583,13.5
2011-03-28,99.0,71.375,46.0,2.292,30.334,17.4,9.35,1.9,13.652,18.565,4.913,24.875
2011-03-29,95.0,61.25,30.0,1.875,20.979,16.3,10.221,3.5,11.75,13.583,1.833,14.458
2011-03-30,99.0,81.458,59.0,2.25,26.229,17.5,11.654,2.9,19.917,27.833,7.917,21.0
2011-03-31,99.0,84.083,61.0,0.542,12.666,16.2,11.504,6.1,3.583,4.208,0.625,6.042
2011-04-01,94.0,65.25,25.0,3.208,19.625,15.4,9.521,1.2,12.5,14.833,2.333,
2011-04-02,99.0,67.375,33.0,2.125,30.062,21.5,11.742,3.5,10.708,12.583,1.875,
2011-04-03,63.0,44.5,26.0,1.375,10.938,12.5,8.879,5.8,4.208,4.292,0.083,
2011-04-04,70.0,46.0,21.0,1.375,9.375,17.2,9.604,3.6,5.292,5.625,0.333,
2011-04-05,86.0,50.542,22.0,3.167,20.125,17.6,10.192,3.4,10.583,11.417,0.833,
2011-04-06,99.0,72.417,34.0,2.917,25.476,19.5,11.567,2.8,12.348,15.522,3.174,
2011-04-07,99.0,77.875,55.0,2.125,27.312,19.8,13.858,7.4,10.167,12.417,2.25,
2011-04-08,99.0,79.083,61.0,1.375,16.708,18.9,16.612,14.6,4.708,4.833,0.125,
2011-04-09,99.0,85.375,65.0,1.208,18.375,20.7,15.742,11.6,6.542,7.542,1.0,
2011-04-10,91.0,61.958,24.0,1.625,31.542,21.8,15.221,10.1,5.25,5.417,0.167,
2011-04-11,99.0,67.875,27.0,1.958,31.208,22.8,13.025,6.3,8.0,9.125,1.125,
2011-04-12,68.0,34.208,19.0,1.333,23.521,17.8,11.762,6.7,5.042,5.125,0.083,
2011-04-13,91.0,57.792,30.0,2.625,28.042,21.0,12.742,2.8,15.765,27.118,11.353,
2011-04-14,92.0,61.042,32.0,3.583,31.292,23.9,15.433,5.8,12.818,22.409,9.591,
2011-04-15,99.0,83.125,50.0,3.542,42.416,21.2,16.092,13.6,15.583,18.542,2.958,
2011-04-16,99.0,72.208,48.0,1.875,42.479,22.6,15.262,9.3,7.875,8.292,0.417,
2011-04-17,96.0,65.708,36.0,1.625,19.292,18.3,13.292,6.0,6.042,6.042,0.0,
2011-04-18,99.0,88.167,64.0,2.125,22.666,17.3,14.221,9.9,7.292,8.042,0.75,
2011-04-19,99.0,80.708,45.0,0.417,10.52,17.4,12.058,8.8,5.542,5.542,0.0,
2011-04-20,90.0,70.875,52.0,0.417,7.229,17.0,12.146,7.5,3.13,3.174,0.043,
2011-04-21,99.0,75.542,33.0,2.333,17.583,18.0,12.479,5.1,9.708,11.25,1.542,
2011-04-22,98.0,89.375,76.0,1.458,27.042,17.3,15.012,12.4,10.875,12.75,1.875,
2011-04-23,99.0,97.458,88.0,0.208,15.521,16.6,14.558,10.3,2.444,2.889,0.444,
2011-04-24,96.0,73.958,41.0,0.875,17.938,19.9,12.879,7.8,10.125,13.875,3.75,
2011-04-25,99.0,81.458,48.0,0.958,19.646,17.9,11.55,6.2,9.417,13.125,3.708,
2011-04-26,99.0,84.25,55.0,1.958,30.875,18.7,13.992,7.3,14.792,20.75,5.958,
2011-04-27,99.0,95.667,81.0,0.875,42.438,22.5,17.55,13.7,6.208,9.375,3.167,
2011-04-28,99.0,79.25,59.0,0.833,17.688,20.4,14.925,11.2,5.75,8.667,2.917,
2011-04-29,90.0,66.583,40.0,1.0,14.416,20.6,13.979,7.8,5.417,8.167,2.75,
2011-04-30,99.0,88.792,68.0,2.583,31.188,20.6,14.525,7.5,15.792,21.083,5.292,
2011-05-01,99.0,98.792,94.0,0.958,31.458,16.8,15.629,14.1,7.167,10.25,3.083,
2011-05-02,88.0,59.917,36.0,0.792,111.375,23.8,17.979,13.7,5.667,8.917,3.25,
2011-05-03,99.0,83.708,65.0,1.833,97.916,18.3,14.75,10.9,17.792,23.583,5.792,
2011-05-04,99.0,63.792,34.0,1.708,47.562,25.3,17.554,9.9,11.792,17.042,5.25,
2011-05-05,99.0,69.0,38.0,2.667,24.438,20.6,16.692,12.4,11.083,15.625,4.542,
2011-05-06,99.0,92.708,81.0,1.375,42.0,19.3,17.242,15.8,7.125,11.042,3.917,
2011-05-07,99.0,82.417,63.0,1.792,23.042,22.8,18.858,15.9,7.625,11.708,4.083,
2011-05-08,99.0,65.167,33.0,1.833,32.312,29.2,22.567,17.4,7.375,11.125,3.75,
2011-05-09,99.0,75.375,34.0,2.5,43.324,24.2,18.925,13.6,11.565,15.783,4.217,
2011-05-10,99.0,95.25,81.0,1.375,47.979,27.2,22.033,18.0,12.833,18.542,5.708,
2011-05-11,99.0,99.0,99.0,0.083,16.583,20.6,17.75,16.3,9.667,13.417,3.75,
2011-05-12,99.0,99.0,99.0,0.0,12.042,18.7,17.592,16.7,8.625,12.917,4.292,
2011-05-13,99.0,70.25,34.0,0.417,55.0,24.2,19.712,14.5,7.125,11.0,3.875,
2011-05-14,94.0,55.625,33.0,1.375,33.312,26.4,19.621,13.1,8.0,11.917,3.917,
2011-05-15,99.0,67.917,39.0,1.542,29.938,24.1,18.408,11.3,9.708,14.667,4.958,
2011-05-16,99.0,91.25,76.0,1.417,36.938,22.2,18.517,12.9,9.458,14.833,5.375,
2011-05-17,99.0,79.458,50.0,1.292,34.917,25.5,19.462,14.8,10.091,14.636,4.545,
2011-05-18,99.0,64.0,25.0,1.625,27.292,27.5,19.554,11.3,13.917,19.5,5.583,
2011-05-19,100.0,82.417,58.0,2.0,40.25,24.5,18.958,12.1,13.083,18.583,5.5,
2011-05-20,99.0,82.917,58.0,2.333,46.875,25.8,21.25,16.6,12.042,17.792,5.75,
2011-05-21,100.0,84.5,58.0,2.083,36.625,28.4,22.933,17.9,12.333,18.333,6.0,
2011-05-22,100.0,95.625,85.0,0.667,19.312,22.7,20.225,17.4,9.625,14.667,5.042,
2011-05-23,100.0,97.208,89.0,0.542,15.105,17.5,16.396,15.0,12.0,16.13,4.13,
2011-05-24,99.0,93.958,77.0,0.667,12.438,19.3,15.446,13.0,8.292,12.833,4.542,
2011-05-25,99.0,82.042,60.0,1.583,16.354,22.7,18.621,13.0,8.917,13.542,4.625,
2011-05-26,99.0,88.083,79.0,1.25,18.625,22.3,19.479,17.0,6.792,11.292,4.5,
2011-05-27,99.0,94.792,83.0,1.042,16.604,19.3,17.617,15.5,6.542,10.917,4.375,
2011-05-28,99.0,99.0,99.0,0.5,27.542,19.6,18.254,16.8,18.625,23.792,5.167,
2011-05-29,99.0,99.0,99.0,0.792,25.771,22.4,20.433,18.8,7.333,12.167,4.833,
2011-05-30,99.0,87.042,65.0,0.125,9.833,24.5,19.104,16.6,4.2,7.8,3.6,
2011-05-31,93.0,80.5,57.0,1.125,9.771,23.7,19.221,15.9,4.75,4.917,0.167,
2011-06-01,99.0,98.292,93.0,1.042,32.188,17.9,16.246,15.3,7.042,7.333,0.292,
2011-06-02,99.0,99.0,99.0,0.0,21.625,18.5,17.429,16.2,10.958,11.708,0.75,
2011-06-03,99.0,92.958,75.0,3.0,49.438,24.6,20.225,17.1,20.792,27.875,7.083,
2011-06-04,99.0,89.875,71.0,2.25,61.5,27.1,21.554,16.6,10.917,11.625,0.708,
2011-06-05,99.0,90.708,72.0,2.0,47.854,25.1,20.929,17.6,9.458,10.25,0.792,
2011-06-06,99.0,71.833,39.0,1.333,36.096,29.5,23.267,17.0,10.619,10.857,0.238,
2011-06-07,99.0,90.667,64.0,1.917,37.229,24.2,21.075,19.9,9.375,9.542,0.167,
2011-06-08,99.0,88.833,70.0,1.292,23.084,25.6,21.471,18.5,6.0,6.083,0.083,
2011-06-09,99.0,91.417,71.0,4.75,30.354,25.7,22.308,20.0,7.833,7.917,0.083,
2011-06-10,99.0,98.333,93.0,2.208,35.646,24.7,22.617,21.3,11.792,12.625,0.833,
2011-06-11,99.0,97.667,93.0,0.875,19.334,23.9,22.296,20.0,8.458,9.042,0.583,
2011-06-12,99.0,90.5,72.0,1.667,27.833,25.2,21.738,17.6,12.5,12.917,0.417,
2011-06-13,99.0,85.958,68.0,0.75,15.75,27.6,22.433,17.6,7.783,8.13,0.348,
2011-06-14,99.0,73.381,46.0,1.292,20.166,28.7,23.3,19.8,9.708,10.0,0.292,
2011-06-15,99.0,83.542,46.0,2.25,16.201,25.7,21.542,16.1,11.75,14.208,2.458,
2011-06-16,99.0,98.958,98.0,1.042,21.48,21.1,19.571,16.8,8.208,8.75,0.542,
2011-06-17,99.0,97.125,90.0,1.333,16.625,23.2,20.846,18.5,9.0,9.292,0.292,
2011-06-18,99.0,99.0,99.0,1.208,20.458,21.8,20.867,20.0,7.125,7.417,0.292,
2011-06-19,99.0,99.0,99.0,1.208,26.646,23.4,21.612,20.2,8.583,9.208,0.625,
2011-06-20,99.0,99.0,99.0,0.25,19.48,22.6,21.717,21.0,8.217,8.87,0.652,
2011-06-21,99.0,96.458,88.0,0.458,18.521,28.1,24.196,21.2,7.5,8.167,0.667,
2011-06-22,99.0,90.042,76.0,1.75,30.479,30.5,26.071,20.7,10.304,16.696,6.391,
2011-06-23,99.0,87.083,67.0,8.792,22.334,33.1,27.638,23.8,7.625,11.042,3.417,
2011-06-24,99.0,88.667,69.0,24.917,13.146,32.1,28.15,24.7,6.583,9.208,2.625,
2011-06-25,99.0,84.625,64.0,0.542,13.52,34.5,29.396,25.4,6.083,7.708,1.625,
2011-06-26,99.0,96.417,86.0,2.458,12.938,29.4,26.908,25.5,3.542,5.625,2.083,
2011-06-27,99.0,93.792,81.0,12.333,13.917,30.8,27.438,25.1,2.087,2.913,0.826,
2011-06-28,99.0,85.042,66.0,0.875,22.125,33.5,29.167,25.4,5.875,7.542,1.667,
2011-06-29,99.0,75.583,48.0,1.208,27.312,38.1,31.362,25.6,12.667,15.5,2.833,
2011-06-30,99.0,79.458,51.0,1.583,34.834,37.4,30.608,26.2,12.174,15.913,3.739,
2011-07-01,99.0,89.708,77.0,0.917,24.417,31.0,27.596,24.2,9.292,10.875,1.583,
2011-07-02,99.0,84.125,54.0,0.625,20.416,33.9,28.479,23.8,6.583,8.375,1.792,
2011-07-03,99.0,87.833,65.0,1.125,35.792,31.5,28.233,26.0,7.333,7.667,0.333,
2011-07-04,99.0,87.75,67.0,0.174,30.562,33.4,28.171,23.1,4.391,5.391,1.0,
2011-07-05,99.0,77.667,49.0,0.333,20.021,34.7,28.242,23.3,5.708,5.917,0.208,
2011-07-06,99.0,86.542,56.0,1.208,27.834,30.9,25.938,22.4,8.333,8.958,0.625,
2011-07-07,99.0,99.0,99.0,0.667,18.37,25.2,24.621,23.7,7.609,10.217,2.609,
2011-07-08,99.0,96.5,87.0,0.542,24.812,30.5,27.129,24.7,9.667,13.458,3.792,
2011-07-09,99.0,91.125,71.0,1.125,25.604,32.2,28.804,26.0,8.042,9.708,1.667,
2011-07-10,99.0,94.375,79.0,0.5,16.73,31.5,28.008,26.5,4.667,6.208,1.542,
2011-07-11,99.0,91.042,72.0,0.696,11.625,31.5,28.3,25.9,2.696,4.261,1.565,
2011-07-12,99.0,93.417,77.0,0.417,13.958,31.1,27.617,25.6,4.625,7.417,2.792,
2011-07-13,99.0,90.333,69.0,1.25,13.73,31.3,27.712,25.6,4.792,7.042,2.25,
2011-07-14,99.0,87.292,66.0,1.125,14.0,32.1,27.542,23.9,6.542,9.75,3.208,
2011-07-15,99.0,88.875,61.0,1.583,20.542,32.8,27.675,23.4,8.083,10.833,2.75,
2011-07-16,99.0,86.833,63.0,2.542,17.0,32.9,28.3,25.6,5.708,7.292,1.583,
2011-07-17,99.0,91.542,70.0,0.833,21.104,32.1,28.329,24.8,4.583,6.167,1.583,
2011-07-18,99.0,97.292,91.0,0.0,32.812,30.5,28.546,27.6,2.565,3.261,0.696,
2011-07-19,99.0,99.0,99.0,0.083,41.042,27.6,26.471,25.5,0.917,1.042,0.125,
2011-07-20,99.0,99.0,99.0,0.833,21.604,26.9,25.533,24.9,2.292,2.417,0.125,
2011-07-21,99.0,97.5,91.0,0.667,18.375,27.3,25.083,21.4,7.0,7.958,0.958,
2011-07-22,99.0,91.792,77.0,1.458,23.021,25.2,22.854,20.8,6.957,7.435,0.478,
2011-07-23,99.0,87.0,59.0,2.292,30.0,33.1,26.521,21.8,9.208,10.208,1.0,
2011-07-24,99.0,95.542,85.0,2.542,37.875,29.2,25.971,22.7,7.792,8.042,0.25,
2011-07-25,99.0,93.458,78.0,3.087,22.77,29.6,26.788,25.1,5.043,5.739,0.696,
2011-07-26,99.0,96.917,90.0,0.708,19.292,28.2,26.383,25.2,6.167,7.0,0.833,
2011-07-27,99.0,95.208,83.0,0.625,20.542,29.8,27.262,25.0,6.417,8.708,2.292,
2011-07-28,99.0,86.917,67.0,0.875,21.312,33.3,28.817,25.5,8.208,10.917,2.708,
2011-07-29,98.0,79.5,60.0,0.917,19.52,33.9,29.204,25.8,7.87,9.826,1.957,
2011-07-30,99.0,83.0,55.0,0.833,24.334,35.4,28.992,25.5,6.458,8.167,1.708,
2011-07-31,99.0,92.958,81.0,0.5,20.938,29.6,26.767,25.4,4.333,4.333,0.0,
2011-08-01,95.0,83.792,73.0,0.174,25.48,28.7,26.658,25.2,5.522,5.957,0.435,
2011-08-02,99.0,96.208,88.0,0.292,23.583,27.3,25.192,22.5,8.333,8.875,0.542,
2011-08-03,99.0,91.583,77.0,3.458,26.854,30.5,27.083,24.2,7.5,9.458,1.958,
2011-08-04,99.0,82.958,66.0,0.792,18.61,32.3,28.746,25.2,6.913,8.348,1.435,
2011-08-05,99.0,94.5,86.0,0.875,13.938,30.4,27.529,25.0,4.125,4.958,0.833,
2011-08-06,99.0,91.333,67.0,0.792,17.27,33.0,28.792,25.2,4.542,5.625,1.083,
2011-08-07,99.0,87.833,57.0,2.042,25.0,34.5,29.738,26.8,8.583,10.0,1.417,
2011-08-08,99.0,90.083,59.0,1.696,23.979,34.6,29.575,27.2,7.217,8.609,1.391,
2011-08-09,99.0,88.0,62.0,2.125,30.48,34.9,30.262,27.4,8.542,9.375,0.833,
2011-08-10,99.0,82.75,51.0,1.75,45.188,37.8,31.296,27.8,7.292,7.625,0.333,
2011-08-11,93.0,71.125,53.0,0.792,23.834,37.3,32.033,28.6,7.625,8.292,0.667,
2011-08-12,91.0,72.75,46.0,1.125,32.146,37.7,31.404,27.1,8.5,8.917,0.417,
2011-08-13,99.0,79.083,47.0,0.958,25.958,37.0,30.988,26.6,7.0,7.333,0.333,
2011-08-14,99.0,89.833,73.0,1.417,49.292,33.3,30.129,27.8,4.708,4.792,0.083,
2011-08-15,99.0,88.75,65.0,1.13,33.958,34.5,29.738,27.2,4.913,5.174,0.261,
2011-08-16,99.0,87.792,61.0,0.625,30.875,35.8,29.112,25.8,7.708,8.333,0.625,
2011-08-17,99.0,88.0,63.0,0.75,38.562,34.0,29.588,25.1,8.292,10.333,2.042,
2011-08-18,99.0,83.333,64.0,0.667,35.146,34.4,30.908,26.8,7.0,8.583,1.583,
2011-08-19,99.0,88.167,66.0,0.208,21.417,32.4,28.717,26.3,6.087,6.13,0.043,
2011-08-20,99.0,97.917,91.0,0.792,19.229,26.2,24.667,22.8,8.042,8.333,0.292,
2011-08-21,99.0,99.0,99.0,0.125,26.167,25.4,24.525,23.1,6.542,6.667,0.125,
2011-08-22,99.0,95.458,80.0,1.435,22.521,29.2,25.933,23.1,5.348,5.435,0.087,
2011-08-23,99.0,94.083,78.0,3.5,32.646,31.6,27.771,25.5,4.458,4.875,0.417,
2011-08-24,99.0,95.0,83.0,1.292,19.25,30.0,27.404,26.1,4.708,6.083,1.375,
2011-08-25,99.0,98.833,96.0,1.042,10.604,26.8,25.929,25.3,4.125,5.833,1.708,
2011-08-26,99.0,92.792,76.0,1.167,21.688,31.6,27.771,25.0,10.083,15.167,5.083,
2011-08-27,99.0,96.792,85.0,0.833,23.479,29.1,26.492,25.0,4.917,6.125,1.208,
2011-08-28,99.0,90.917,75.0,2.125,28.875,30.2,26.983,24.4,5.5,6.083,0.583,
2011-08-29,99.0,88.083,68.0,1.261,30.25,31.9,27.1,23.1,8.045,9.182,1.136,
2011-08-30,99.0,82.208,65.0,2.042,27.646,33.5,28.442,24.1,8.375,9.583,1.208,
2011-08-31,91.0,83.333,70.0,1.083,22.125,31.8,28.817,27.1,9.083,9.917,0.833,
2011-09-01,97.0,90.042,84.0,0.333,18.062,31.0,29.062,27.7,1.833,2.042,0.208,
2011-09-02,99.0,94.292,86.0,0.167,39.77,29.2,27.708,26.5,0.542,0.542,0.0,
2011-09-03,99.0,98.125,95.0,0.0,50.375,28.4,27.629,27.1,0.083,0.083,0.0,
2011-09-04,99.0,99.0,99.0,1.667,33.062,27.0,25.542,24.0,0.583,0.583,0.0,
2011-09-05,99.0,92.833,82.0,1.174,11.842,28.2,25.133,23.5,10.273,11.727,1.455,
2011-09-06,96.0,67.417,40.0,1.167,11.667,30.7,25.062,19.1,7.708,7.792,0.083,
2011-09-07,100.0,72.333,41.0,2.042,16.916,31.6,24.279,16.4,12.75,15.417,2.667,
2011-09-08,100.0,89.958,74.0,2.208,25.812,28.8,24.433,18.6,10.125,11.917,1.792,
2011-09-09,99.0,90.125,77.0,1.75,25.667,29.6,26.729,24.6,11.0,11.708,0.708,
2011-09-10,99.0,93.125,78.0,2.125,26.979,31.0,27.817,25.1,7.917,10.292,2.375,
2011-09-11,99.0,92.75,81.0,2.542,14.166,31.0,27.592,26.0,4.625,5.375,0.75,
2011-09-12,99.0,90.167,74.0,1.739,16.438,30.9,27.629,25.0,5.043,6.348,1.304,
2011-09-13,99.0,89.583,65.0,3.708,20.896,32.9,27.954,25.7,7.833,10.042,2.208,
2011-09-14,99.0,89.833,68.0,2.083,19.958,31.7,27.479,24.6,8.875,11.958,3.083,
2011-09-15,99.0,90.667,73.0,1.542,16.938,31.3,27.658,24.7,5.25,7.583,2.333,
2011-09-16,99.0,94.583,81.0,1.792,17.896,30.5,27.396,25.6,4.292,5.5,1.208,
2011-09-17,99.0,97.167,90.0,5.083,27.729,29.6,27.746,26.6,1.958,2.667,0.708,
2011-09-18,99.0,93.625,76.0,1.125,15.916,30.5,27.325,24.4,3.125,4.125,1.0,
2011-09-19,99.0,90.25,65.0,1.217,16.958,32.1,26.925,23.0,6.435,9.957,3.522,
2011-09-20,99.0,99.0,99.0,1.792,23.166,27.1,26.167,24.3,6.417,8.583,2.167,
2011-09-21,99.0,96.583,89.0,0.208,25.375,27.3,24.958,22.7,1.5,1.5,0.0,
