date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,SO2_mean
2011-04-27,9.5,11.736,2.236,,48.604,0.438
2011-04-28,7.125,8.861,1.736,,15.584,0.646
2011-04-29,10.097,12.347,2.25,,13.948,1.416
2011-04-30,22.333,28.292,5.958,,33.75,2.5
2011-05-01,8.403,9.944,1.542,,31.917,0.292
2011-05-02,6.833,8.898,2.065,,118.823,0.913
2011-05-03,19.472,24.32,4.847,,100.562,1.875
2011-05-04,14.611,18.972,4.361,,49.708,2.542
2011-05-05,10.903,13.708,2.805,,24.114,1.229
2011-05-06,7.198,9.037,1.839,,41.981,1.542
2011-05-07,6.708,8.514,1.805,,19.802,1.625
2011-05-08,7.125,9.194,2.069,,34.396,1.792
2011-05-09,13.458,17.566,4.108,,43.982,1.59
2011-05-10,17.847,24.208,6.361,,52.323,1.02
2011-05-11,14.542,16.917,2.375,,21.396,0.084
2011-05-12,14.153,17.264,3.111,,16.375,0.104
2011-05-13,8.819,10.944,2.125,,62.156,0.479
2011-05-14,8.403,10.056,1.653,,35.26,0.833
2011-05-15,9.583,11.611,2.028,,30.552,0.896
2011-05-16,10.961,13.905,2.945,,38.802,1.565
2011-05-17,12.347,15.625,3.278,,42.729,1.562
2011-05-18,17.639,22.653,5.014,,31.542,2.042
2011-05-19,16.708,21.903,5.194,,42.115,2.896
2011-05-20,15.832,20.762,4.931,,51.156,2.25
2011-05-21,12.861,16.625,3.764,,40.427,1.812
2011-05-22,7.25,9.486,2.236,,17.75,0.979
2011-05-23,18.028,21.957,3.929,,13.854,1.087
2011-05-24,10.972,13.722,2.75,,10.26,0.625
2011-05-25,9.153,10.792,1.639,,17.344,1.542
2011-05-26,8.783,10.322,1.539,,21.875,1.208
2011-05-27,6.958,8.125,1.167,,21.781,0.646
2011-05-28,20.681,25.375,4.694,,27.75,2.021
2011-05-29,9.458,12.875,3.417,,21.677,0.146
2011-05-30,4.847,6.381,1.534,,10.292,0.0
2011-05-31,5.5,7.264,1.764,,10.385,0.312
2011-06-01,9.903,12.084,2.181,,37.156,0.042
2011-06-02,18.615,23.763,5.148,,27.49,0.688
2011-06-03,24.345,36.98,12.635,,48.085,3.084
2011-06-04,14.347,18.833,4.486,,69.49,1.083
2011-06-05,12.528,15.569,3.042,,60.948,1.312
2011-06-06,12.461,14.913,2.452,,35.952,1.898
2011-06-07,11.618,14.88,3.261,,36.012,1.565
2011-06-08,7.792,9.514,1.722,,20.948,1.75
2011-06-09,6.222,7.18,0.958,,31.552,3.312
2011-06-10,12.986,15.5,2.514,,39.782,2.084
2011-06-11,8.667,10.917,2.25,,21.167,0.896
2011-06-12,13.931,16.472,2.541,,28.552,2.583
2011-06-13,9.89,12.363,2.472,,17.438,1.13
2011-06-14,8.583,10.694,2.111,,20.667,0.417
2011-06-15,12.625,17.236,4.611,,18.281,2.75
2011-06-16,11.18,13.625,2.444,,24.916,0.584
2011-06-17,10.65,13.491,2.841,,14.24,0.708
2011-06-18,9.945,12.042,2.097,,26.667,0.27
2011-06-19,10.125,12.903,2.778,,31.413,0.916
2011-06-20,8.111,10.194,2.084,,23.844,0.631
2011-06-21,8.333,11.139,2.805,,20.896,1.271
2011-06-22,18.789,27.519,8.73,,35.084,3.916
2011-06-23,9.847,13.861,4.014,,29.99,1.375
2011-06-24,8.793,13.886,5.092,,22.323,2.084
2011-06-25,7.778,10.375,2.597,,26.062,1.75
2011-06-26,4.208,6.528,2.32,,21.188,0.646
2011-06-27,2.915,4.633,1.718,,19.156,0.456
2011-06-28,7.656,12.211,4.555,,25.406,0.979
2011-06-29,14.055,19.583,5.528,,27.479,3.292
2011-06-30,16.764,24.555,7.792,,36.75,3.771
2011-07-01,11.847,16.403,4.555,,23.979,2.098
2011-07-02,11.583,15.431,3.847,,23.729,1.916
2011-07-03,9.264,11.958,2.694,,37.062,2.021
2011-07-04,5.363,7.225,1.862,,35.854,0.608
2011-07-05,6.498,8.413,1.915,,21.438,0.229
2011-07-06,11.68,15.264,3.583,,28.229,1.708
2011-07-07,8.515,11.701,3.186,,19.602,0.0
2011-07-08,11.375,18.555,7.18,,27.614,1.542
2011-07-09,9.389,12.847,3.458,,27.75,1.896
2011-07-10,5.722,8.403,2.681,,20.865,0.812
2011-07-11,4.473,7.664,3.19,,14.198,0.718
2011-07-12,5.583,10.055,4.472,,14.364,0.875
2011-07-13,4.542,7.069,2.528,,14.646,1.146
2011-07-14,6.375,8.528,3.319,,14.25,1.334
2011-07-15,8.357,11.269,4.162,,20.479,1.688
2011-07-16,5.556,10.278,2.945,,18.292,1.166
2011-07-17,5.903,8.361,2.722,,21.25,0.792
2011-07-18,4.368,7.878,2.427,,24.833,0.652
2011-07-19,3.209,5.917,2.0,,30.861,0.833
2011-07-20,4.139,5.903,1.764,,16.055,0.312
2011-07-21,9.667,13.361,3.694,,17.708,0.875
2011-07-22,5.88,7.692,1.812,,20.486,1.025
2011-07-23,10.514,12.847,2.333,,35.208,4.312
2011-07-24,8.014,9.889,1.875,,35.361,3.104
2011-07-25,5.208,6.761,1.553,,19.986,0.913
2011-07-26,6.959,8.722,1.764,,20.028,0.77
2011-07-27,7.903,10.417,2.514,,18.611,1.229
2011-07-28,12.43,19.764,7.334,,20.875,2.438
2011-07-29,9.569,16.083,6.514,,20.097,1.692
2011-07-30,6.75,8.639,1.889,,24.111,1.482
2011-07-31,4.195,5.208,1.014,,19.653,1.5
2011-08-01,6.21,7.76,1.55,,22.278,2.24
2011-08-02,11.333,14.403,3.069,,29.708,1.198
2011-08-03,9.002,13.065,4.063,,29.135,3.712
2011-08-04,9.486,13.681,4.194,,17.778,1.729
2011-08-05,5.708,7.472,1.764,,15.75,1.125
2011-08-06,5.68,7.819,2.139,,18.125,1.333
2011-08-07,9.222,11.764,2.542,,24.177,2.542
2011-08-08,9.269,11.692,2.423,,29.318,2.205
2011-08-09,11.541,15.028,3.486,,36.479,4.375
2011-08-10,9.305,11.264,1.958,,48.594,3.0
2011-08-11,6.667,8.819,2.153,,23.948,1.104
2011-08-12,8.833,10.819,1.986,,31.25,2.666
2011-08-13,6.236,8.167,1.931,,25.823,1.666
2011-08-14,5.014,6.278,1.264,,51.333,2.48
2011-08-15,5.976,7.838,1.861,,34.719,1.587
2011-08-16,10.111,12.403,2.292,,31.792,3.25
2011-08-17,9.951,12.438,2.488,,40.587,1.083
2011-08-18,12.091,16.121,4.03,,41.608,2.138
2011-08-19,7.972,9.861,1.889,,19.771,1.688
2011-08-20,8.042,9.93,1.889,,19.333,0.896
2011-08-21,8.167,9.917,1.75,,23.25,0.896
2011-08-22,7.893,10.212,2.319,,21.889,1.217
2011-08-23,4.732,6.642,1.91,,30.861,1.042
2011-08-24,6.333,9.472,3.139,,18.514,1.0
2011-08-25,5.35,7.97,2.621,,11.833,0.521
2011-08-26,11.458,18.514,7.056,,21.458,2.562
2011-08-27,5.069,7.708,2.639,,19.944,0.834
2011-08-28,5.681,7.291,1.611,,30.514,1.708
2011-08-29,8.516,11.077,2.561,,32.292,3.022
2011-08-30,9.361,12.222,2.861,,28.417,3.854
2011-08-31,11.667,14.666,3.0,,23.097,2.062
2011-09-01,3.799,5.588,1.789,,12.633,0.666
2011-09-02,2.833,4.18,1.347,,31.041,0.729
2011-09-03,1.403,2.417,1.014,,49.778,1.084
2011-09-04,1.431,2.333,0.903,,29.514,0.708
2011-09-05,10.402,14.393,3.99,,8.736,1.848
2011-09-06,7.014,8.917,1.903,,12.278,1.854
2011-09-07,14.609,20.75,6.141,,14.377,5.326
2011-09-08,14.055,17.884,3.828,,27.625,2.396
2011-09-09,14.375,18.792,4.417,,31.444,3.146
2011-09-10,9.68,14.514,4.833,,32.556,2.604
2011-09-11,5.083,7.097,2.014,,14.486,2.666
2011-09-12,6.256,9.623,3.367,,15.906,1.326
2011-09-13,8.958,13.681,4.722,,21.732,1.042
2011-09-14,11.139,15.75,4.611,,21.969,1.479
2011-09-15,7.361,11.167,3.806,,15.573,1.0
2011-09-16,7.181,11.91,4.729,,13.674,0.854
2011-09-17,1.806,3.097,1.292,,20.281,0.771
2011-09-18,3.347,5.0,1.653,,14.81,0.708
2011-09-19,8.454,13.403,4.949,,18.562,2.152
2011-09-20,8.417,17.917,9.5,,17.719,1.542
2011-09-21,3.611,5.014,1.403,,16.323,0.77
2011-09-22,5.776,8.668,2.892,,11.864,1.132
2011-09-23,5.0,6.944,1.944,,8.271,1.083
2011-09-24,11.444,14.847,3.403,,15.198,2.688
2011-09-25,12.958,16.194,3.236,,20.375,3.166
2011-09-26,24.657,37.325,12.668,,28.722,2.239
2011-09-27,20.306,40.792,20.486,,33.75,2.98
2011-09-28,16.347,23.736,7.389,,27.319,2.326
2011-09-29,11.417,14.264,2.847,,29.025,1.4
2011-09-30,19.5,25.375,5.875,,43.416,2.364
2011-10-01,3.861,5.278,1.417,,11.427,0.312
2011-10-02,7.625,11.27,3.646,,10.74,0.521
2011-10-03,5.646,8.75,3.104,,7.552,0.566
2011-10-04,14.021,19.562,5.542,,13.543,1.896
2011-10-05,26.292,35.27,8.979,,25.0,1.833
2011-10-06,9.75,13.229,3.48,,12.151,1.062
2011-10-07,5.739,7.978,2.239,,28.368,1.609
2011-10-08,14.958,19.792,4.833,,26.901,2.375
2011-10-09,13.979,18.562,4.584,,33.824,3.02
2011-10-10,15.167,19.312,4.146,,36.238,3.718
2011-10-11,26.062,35.062,9.0,,47.208,3.938
2011-10-12,23.52,34.75,11.229,,53.719,3.48
2011-10-13,41.208,74.688,33.479,,65.236,4.604
2011-10-14,22.104,51.166,29.062,,59.438,3.5
2011-10-15,9.0,11.688,2.688,,16.396,0.438
2011-10-16,6.146,8.166,2.021,,18.802,2.458
2011-10-17,12.146,17.167,5.021,,23.403,1.761
2011-10-18,9.625,13.084,3.458,,13.639,1.146
2011-10-19,19.084,27.625,8.542,,19.306,3.5
2011-10-20,24.5,36.916,12.416,,36.034,6.104
2011-10-21,24.222,39.396,15.174,,43.938,2.792
2011-10-22,10.521,14.792,4.27,,22.052,0.521
2011-10-23,6.792,9.375,2.583,,10.475,0.917
2011-10-24,13.312,18.729,5.417,,6.687,2.13
2011-10-25,14.812,24.02,9.208,,17.486,2.062
2011-10-26,4.5,6.729,2.229,,9.528,0.688
2011-10-27,16.896,24.146,7.25,,17.244,2.334
2011-10-28,30.77,45.104,14.334,,31.667,3.375
2011-10-29,24.979,37.334,12.354,,29.838,3.666
2011-10-30,15.916,20.854,4.938,,38.718,1.896
2011-10-31,10.5,15.416,4.916,,12.404,1.934
2011-11-01,23.438,35.125,11.688,,15.608,3.042
2011-11-02,32.334,49.125,16.792,,29.548,4.146
2011-11-03,28.834,46.521,17.688,,39.302,3.938
2011-11-04,29.146,51.708,22.562,,60.382,3.854
2011-11-05,31.166,44.916,13.75,,76.896,3.271
2011-11-06,14.812,21.375,6.562,,31.094,1.396
2011-11-07,4.464,8.354,3.888,,5.812,0.492
2011-11-08,6.458,10.021,3.562,,7.236,0.562
2011-11-09,13.0,19.104,6.104,,8.208,1.916
2011-11-10,29.521,46.98,17.458,,29.899,4.088
2011-11-11,30.004,42.885,12.881,,23.114,1.834
2011-11-12,18.597,27.625,9.028,,15.114,2.396
2011-11-13,12.014,17.75,5.736,,18.844,1.771
2011-11-14,11.847,16.07,4.222,,34.469,2.761
2011-11-15,5.026,6.73,1.704,,10.052,0.917
2011-11-16,8.976,11.767,2.791,,7.292,1.188
2011-11-17,16.736,21.167,4.431,,11.656,3.917
2011-11-18,47.874,95.818,47.944,,50.271,5.86
2011-11-19,28.167,50.264,22.097,,37.961,1.208
2011-11-20,5.916,7.708,1.792,,11.229,0.792
2011-11-21,4.867,6.776,1.909,,4.56,0.34
2011-11-22,13.621,19.99,6.368,,8.193,1.047
2011-11-23,32.806,61.764,28.958,,34.521,2.778
2011-11-24,8.0,11.444,3.444,,16.021,1.255
2011-11-25,8.125,11.847,3.722,,7.0,0.726
2011-11-26,19.306,29.917,10.611,,11.969,1.769
2011-11-27,22.938,35.438,12.5,,27.111,2.896
2011-11-28,44.571,112.147,67.575,,50.178,3.598
2011-11-29,37.178,87.98,50.802,,60.25,3.312
2011-11-30,30.555,55.417,24.861,,37.253,2.854
2011-12-01,15.403,21.236,5.833,,6.167,1.782
2011-12-02,23.528,37.361,13.833,,11.024,2.975
2011-12-03,21.083,33.472,12.389,,20.944,0.839
2011-12-04,3.291,4.403,1.111,,6.514,0.021
2011-12-05,7.665,10.053,2.388,,7.514,0.538
2011-12-06,28.164,49.604,21.44,,21.376,2.146
2011-12-07,24.556,38.792,14.236,,22.729,3.166
2011-12-08,13.431,17.111,3.681,,15.302,2.667
2011-12-09,5.264,7.417,2.153,,5.609,0.542
2011-12-10,15.847,22.056,6.209,,11.94,1.604
2011-12-11,5.125,6.736,1.611,,10.208,0.584
2011-12-12,11.732,15.591,3.86,,15.681,1.435
2011-12-13,17.75,26.458,8.708,,13.021,2.396
2011-12-14,26.444,41.847,15.403,,17.271,3.854
2011-12-15,23.347,45.264,21.917,,23.083,3.146
2011-12-16,6.208,8.639,2.431,,8.375,0.916
2011-12-17,7.014,9.292,2.278,,4.042,0.584
2011-12-18,5.764,7.597,1.833,,6.479,0.854
2011-12-19,13.442,18.285,4.843,,9.281,0.978
2011-12-20,13.234,19.097,5.864,,5.979,0.604
2011-12-21,33.333,61.625,28.292,,26.125,2.5
2011-12-22,25.778,51.5,25.722,,34.458,2.646
2011-12-23,3.833,5.681,1.847,,3.469,0.354
2011-12-24,12.778,19.569,6.792,,7.125,1.521
2011-12-25,3.666,5.069,1.403,,5.698,0.812
2011-12-26,5.973,8.46,2.486,,4.26,0.304
2011-12-27,8.875,12.0,3.125,,4.562,0.75
2011-12-28,14.069,18.639,4.569,,6.271,1.312
2011-12-29,24.917,42.972,18.055,,22.458,3.208
2011-12-30,3.361,4.667,1.306,,5.354,1.125
2011-12-31,8.542,10.917,2.375,,9.396,2.958
2012-01-01,7.861,9.764,1.903,,11.958,0.812
2012-01-02,9.82,12.583,2.764,,23.042,1.042
2012-01-03,2.569,3.792,1.222,,5.083,0.625
2012-01-04,2.958,4.542,1.583,,3.07,0.292
2012-01-05,15.542,20.889,5.347,,8.431,1.312
2012-01-06,13.458,17.833,4.375,,15.819,1.646
2012-01-07,18.462,28.119,9.657,,16.751,1.386
2012-01-08,19.403,29.847,10.445,,18.896,1.042
2012-01-09,16.042,25.833,9.792,,16.479,2.292
2012-01-10,6.292,8.944,2.653,,8.021,0.542
2012-01-11,8.972,11.972,3.0,,8.858,0.784
2012-01-12,36.028,62.292,26.264,,30.354,4.667
2012-01-13,26.042,37.847,11.806,,32.479,2.958
2012-01-14,13.406,16.318,2.912,,18.801,0.62
2012-01-15,4.681,6.653,1.972,,9.656,1.354
2012-01-16,16.069,24.347,8.278,,12.698,1.375
2012-01-17,8.319,11.028,2.708,,15.43,1.798
2012-01-18,4.653,6.722,2.069,,3.99,0.188
2012-01-19,11.083,15.681,4.597,,12.218,1.625
2012-01-20,3.764,4.986,1.222,,20.969,1.604
2012-01-21,33.857,51.716,17.859,,28.05,3.036
2012-01-22,20.004,30.107,10.103,,16.0,0.5
2012-01-23,18.639,23.444,4.806,,15.16,0.806
2012-01-24,22.889,39.542,16.653,,23.084,1.562
2012-01-25,6.25,8.486,2.236,,17.094,1.166
2012-01-26,3.389,4.944,1.556,,5.938,0.146
2012-01-27,5.0,6.667,1.667,,6.229,0.604
2012-01-28,5.814,7.949,2.135,,6.526,0.753
2012-01-29,7.431,10.083,2.653,,13.146,1.208
2012-01-30,8.042,10.514,2.472,,27.518,2.462
2012-01-31,29.236,41.903,12.667,,28.531,4.166
2012-02-01,44.042,83.572,39.531,,42.725,5.774
2012-02-02,25.896,41.833,15.938,,44.906,1.875
2012-02-03,6.188,8.604,2.416,,12.198,0.854
2012-02-04,25.584,38.625,13.042,,21.373,1.245
2012-02-05,12.417,16.938,4.521,,14.691,1.774
2012-02-06,20.646,29.06,8.414,,17.761,1.44
2012-02-07,18.604,32.75,14.145,,17.158,1.395
2012-02-08,3.896,6.438,2.542,,4.134,0.478
2012-02-09,4.438,6.75,2.312,,7.771,0.521
2012-02-10,7.958,10.938,2.979,,16.83,1.987
2012-02-11,4.667,6.521,1.854,,17.568,1.762
2012-02-12,20.667,30.02,9.354,,19.298,2.724
2012-02-13,10.938,14.02,3.084,,15.031,1.542
2012-02-14,24.75,37.75,13.0,,13.917,2.083
2012-02-15,21.104,31.021,9.917,,10.812,1.021
2012-02-16,3.458,5.584,2.125,,7.643,0.524
2012-02-17,9.646,12.916,3.271,,7.323,0.917
2012-02-18,27.0,40.312,13.312,,18.614,0.282
2012-02-19,5.146,7.792,2.646,,12.312,0.375
2012-02-20,8.062,12.208,4.146,,7.666,0.312
2012-02-21,7.544,12.108,4.566,,10.052,0.5
2012-02-22,12.375,18.23,5.854,,16.602,0.826
2012-02-23,4.938,7.688,2.75,,15.167,0.416
2012-02-24,3.75,5.875,2.125,,10.427,0.271
2012-02-25,7.0,10.708,3.708,,7.375,1.239
2012-02-26,17.208,23.438,6.229,,20.348,2.731
2012-02-27,18.312,25.666,7.354,,35.417,1.646
2012-02-28,12.375,16.458,4.084,,21.26,1.666
2012-02-29,,,,,,
2012-03-01,32.52,53.5,20.979,,36.391,1.088
2012-03-02,2.916,4.333,1.416,,22.375,0.812
2012-03-03,3.208,4.646,1.438,,10.63,0.292
2012-03-04,12.0,17.0,5.0,,10.74,1.994
2012-03-05,9.208,12.688,3.48,,22.302,2.396
2012-03-06,25.625,41.125,15.5,,28.156,3.312
2012-03-07,41.35,62.165,20.814,,59.094,5.218
2012-03-08,33.666,56.125,22.458,,53.986,5.284
2012-03-09,13.146,16.167,3.02,,64.614,4.042
2012-03-10,13.666,17.292,3.625,,44.052,1.646
2012-03-11,7.416,9.979,2.562,,10.26,1.0
2012-03-12,24.458,34.125,9.667,,18.917,2.812
2012-03-13,25.662,38.102,12.44,,33.719,4.166
2012-03-14,5.611,7.0,1.389,,11.969,0.958
2012-03-15,29.75,40.639,10.889,,20.531,4.188
2012-03-16,20.361,28.042,7.68,,35.364,4.584
2012-03-17,7.93,9.319,1.389,,42.188,3.875
2012-03-18,4.784,5.756,0.972,,60.027,1.398
2012-03-19,15.819,20.389,4.569,,24.518,1.28
2012-03-20,28.306,38.194,9.889,,37.875,3.354
2012-03-21,5.32,6.917,1.597,,8.386,0.458
2012-03-22,24.091,30.652,6.561,,13.49,3.924
2012-03-23,8.556,9.998,1.449,,20.823,1.48
2012-03-24,20.166,23.833,3.667,,24.364,3.479
2012-03-25,7.906,9.429,1.455,,19.156,1.522
2012-03-26,9.5,11.601,1.921,,11.667,1.396
2012-03-27,39.153,52.208,13.056,,29.858,2.176
2012-03-28,32.264,42.157,9.654,,36.055,2.818
2012-03-29,19.208,30.267,11.226,,27.074,2.262
2012-03-30,9.722,11.349,1.716,,16.916,1.146
2012-03-31,18.028,22.513,4.654,,27.886,2.625
2012-04-01,5.389,6.805,1.417,,13.386,0.125
2012-04-02,11.737,14.874,3.136,,18.552,1.413
2012-04-03,5.833,6.875,1.042,,26.073,1.104
2012-04-04,10.719,13.259,2.539,,14.263,0.125
2012-04-05,20.458,25.444,4.986,,30.438,2.562
2012-04-06,8.58,11.191,2.611,,17.7,0.286
2012-04-07,5.653,7.125,1.472,,12.333,0.084
2012-04-08,6.667,8.32,1.653,,15.271,0.354
2012-04-09,23.422,32.334,8.912,,36.614,3.478
2012-04-10,17.458,22.305,4.847,,50.729,2.5
2012-04-11,11.194,13.0,1.805,,38.583,0.75
2012-04-12,8.653,10.903,2.25,,16.458,1.104
2012-04-13,23.861,28.236,4.375,,29.517,2.687
2012-04-14,12.347,15.014,2.667,,22.802,0.938
2012-04-15,9.139,12.084,2.945,,19.636,1.458
2012-04-16,9.705,11.792,2.087,,29.271,1.478
2012-04-17,21.069,29.056,7.986,,39.49,2.916
2012-04-18,15.237,19.533,4.296,,33.094,2.312
2012-04-19,15.944,20.986,5.042,,33.017,2.062
2012-04-20,13.986,17.166,3.181,,30.073,0.542
2012-04-21,8.056,9.903,1.847,,22.042,0.625
2012-04-22,3.986,5.069,1.083,,14.646,0.292
2012-04-23,19.855,26.826,6.971,,17.76,1.152
2012-04-24,11.569,13.903,2.334,,74.656,2.708
2012-04-25,16.114,22.137,6.023,,78.084,3.146
2012-04-26,5.153,6.208,1.056,,40.375,0.938
2012-04-27,13.736,16.847,3.111,,11.604,1.417
2012-04-28,19.944,25.653,5.708,,23.282,3.812
2012-04-29,7.472,9.319,1.847,,39.427,1.146
2012-04-30,6.289,7.548,1.26,,28.24,1.282
2012-05-01,4.167,5.333,1.167,,14.146,0.646
2012-05-02,5.181,6.444,1.264,,6.646,0.146
2012-05-03,8.958,11.514,2.555,,10.688,0.854
2012-05-04,3.18,4.417,1.236,,4.427,0.125
2012-05-05,5.458,6.861,1.403,,15.417,0.646
2012-05-06,9.07,10.833,1.764,,33.042,1.542
2012-05-07,14.925,20.943,6.018,,26.107,2.25
2012-05-08,18.611,24.403,5.792,,53.323,3.157
2012-05-09,28.555,37.028,8.472,,76.618,4.479
2012-05-10,14.597,17.569,2.972,,39.76,1.646
2012-05-11,3.875,5.167,1.292,,5.542,0.354
