area_code,Total population (Both sexes),Total population (Male),Total population (Female),Total population (under 15),"Population (under 15, Male)","Population (under 15, Female)",Total population (15-64),"Population (15-64, Male)","Population (15-64, Female)",Total population (65 and over),"Population (65 and over, Male)","Population (65 and over, Female)","Population (0-5, Total)","Population (0-5, Male)","Population (0-5, Female)","Population (60 and over, Total)","Population (60 and over, Male)","Population (60 and over, Female)","Population (70 and over, Total)","Population (70 and over, Male)","Population (70 and over, Female)","Population (85 and over, Total)","Population (85 and over, Male)","Population (85 and over, Female)"
11102,143446,71102,72344,19270,9844,9426,91826,46557,45269,29646,13113,16533,7442,3847,3595,37517,17073,20444,20873,8903,11970,3788,1269,2519
11103,113864,56457,57407,12912,6590,6322,70462,35518,34944,26181,11739,14442,5439,2792,2647,33120,15193,17927,18485,7970,10515,3443,1194,2249
11104,161960,79696,82264,20495,10566,9929,97967,49604,48363,41331,18301,23030,7434,3823,3611,51061,23137,27924,29131,12521,16610,4898,1469,3429
11105,98762,49204,49558,13246,6900,6346,65083,33204,31879,20026,8809,11217,5226,2707,2519,25299,11496,13803,13985,5861,8124,2546,791,1755
11106,97910,49891,48019,12167,6236,5931,63813,33745,30068,21254,9571,11683,4599,2352,2247,26505,12207,14298,14596,6440,8156,1875,551,1324
11107,154416,74970,79446,20641,10467,10174,100851,50010,50841,31338,13532,17806,8176,4150,4026,39654,17641,22013,22046,9131,12915,4296,1442,2854
11108,180152,90744,89408,24400,12652,11748,120521,62017,58504,33298,14814,18484,9921,5164,4757,42525,19474,23051,22965,9790,13175,3665,1158,2507
11109,116522,57354,59168,17297,8878,8419,72817,36435,36382,25550,11548,14002,6700,3413,3287,32262,14914,17348,17655,7731,9924,3059,957,2102
11110,109801,54907,54894,13101,6708,6393,63975,33032,30943,31832,14564,17268,4410,2309,2101,39203,18164,21039,22153,9969,12184,3313,993,2320
11201,350745,175559,175186,44231,22647,21584,216977,111979,104998,87358,39632,47726,17133,8926,8207,109169,50204,58965,60056,26723,33333,8352,2635,5717
11202,198742,99169,99573,23986,12327,11659,122319,63350,58969,52007,23201,28806,8692,4424,4268,66715,30570,36145,35863,15285,20578,6711,2059,4652
11203,578112,292067,286045,74476,38255,36221,369270,192270,177000,129410,58257,71153,29628,15182,14446,161829,74733,87096,90382,39169,51213,13046,3980,9066
11206,82113,40635,41478,9475,4861,4614,49541,25349,24192,22874,10308,12566,3248,1651,1597,29361,13493,15868,15418,6592,8826,2915,891,2024
11207,63555,30902,32653,7683,3929,3754,36321,18470,17851,19493,8465,11028,2705,1388,1317,24446,10943,13503,14388,5955,8433,3164,1008,2156
11208,340386,168205,172181,39480,20254,19226,207941,105177,102764,85215,38498,46717,15085,7700,7385,107037,49102,57935,59192,26219,32973,9186,2972,6214
11209,80715,40564,40151,8693,4549,4144,48820,25284,23536,22896,10485,12411,3117,1656,1461,29344,13782,15562,15698,6842,8856,2975,879,2096
11210,112229,55828,56401,13510,6909,6601,69647,35610,34037,28991,13254,15737,4727,2404,2323,38479,18119,20360,19339,8326,11013,3911,1174,2737
11211,77881,38622,39259,9103,4640,4463,47028,24227,22801,20965,9279,11686,3268,1624,1644,26692,12180,14512,14678,6212,8466,2915,870,2045
11212,91437,46131,45306,10787,5495,5292,57064,29563,27501,23067,10751,12316,4161,2131,2030,30157,14305,15852,15463,6937,8526,2472,776,1696
11214,232709,114813,117896,26611,13720,12891,139656,70557,69099,64924,29697,35227,9626,5080,4546,81354,37507,43847,43929,19899,24030,5487,1645,3842
11215,152405,76580,75825,17132,8748,8384,91010,47220,43790,43489,20060,23429,6310,3220,3090,54497,25381,29116,29749,13468,16281,4543,1438,3105
11216,54874,27069,27805,6338,3258,3080,33261,16954,16307,14788,6595,8193,2117,1097,1020,19092,8763,10329,10124,4268,5856,2033,594,1439
11217,118072,58346,59726,14096,7125,6971,72869,36917,35952,30968,14202,16766,5130,2589,2541,40127,18776,21351,20768,9240,11528,3393,1020,2373
11218,143811,71594,72217,18574,9450,9124,87536,44923,42613,37423,17043,20380,6594,3363,3231,48363,22436,25927,25445,11005,14440,4903,1399,3504
11219,225196,112157,113039,28557,14661,13896,137664,70106,67558,57052,26101,30951,10442,5368,5074,71205,32949,38256,39814,17968,21846,5078,1714,3364
11221,247034,125225,121809,30223,15456,14767,150966,78687,72279,57807,26425,31382,11062,5714,5348,71740,33306,38434,39800,17956,21844,4687,1513,3174
11222,337498,167023,170475,44429,22674,21755,211577,107228,104349,80330,36588,43742,17224,8782,8442,100650,46374,54276,55279,24771,30508,6718,2114,4604
11223,72260,36737,35523,7804,4005,3799,47699,25237,22462,16560,7354,9206,3272,1671,1601,20777,9528,11249,11723,4923,6800,2026,668,1358
11224,136150,69674,66476,19758,10082,9676,89730,46766,42964,21764,9980,11784,8600,4329,4271,28053,13332,14721,14954,6439,8515,2195,660,1535
11225,148390,73408,74982,18610,9602,9008,91488,46240,45248,38075,17421,20654,6544,3411,3133,48966,22751,26215,25835,11447,14388,4048,1263,2785
11227,136299,69971,66328,18751,9575,9176,90480,47256,43224,25398,11587,13811,7833,4026,3807,32049,15053,16996,17816,7766,10050,2617,845,1772
11228,72676,35998,36678,9518,4928,4590,45526,23042,22484,17191,7802,9389,3834,1976,1858,21431,9856,11575,11907,5299,6608,1698,576,1122
11229,80826,41763,39063,11260,5785,5475,55944,29811,26133,13602,6153,7449,4929,2545,2384,17423,8084,9339,9164,3983,5181,1410,477,933
11230,162122,80627,81495,21855,11071,10784,100397,51431,48966,39311,17829,21482,8533,4338,4195,48648,22383,26265,27420,12170,15250,3606,1162,2444
11231,73936,36567,37369,9094,4687,4407,44710,22639,22071,20082,9205,10877,3297,1674,1623,25115,11683,13432,14051,6344,7707,2039,662,1377
11232,152311,75993,76318,17818,9076,8742,93672,47859,45813,40589,18913,21676,6446,3282,3164,52706,24932,27774,26817,12117,14700,4141,1267,2874
11233,67409,33320,34089,7690,3873,3817,40610,20565,20045,19028,8837,10191,2552,1273,1279,23911,11216,12695,13112,6013,7099,1805,588,1217
11234,86717,44812,41905,11422,5932,5490,55106,29315,25791,19811,9310,10501,4446,2313,2133,24641,11734,12907,13536,6225,7311,1562,471,1091
11235,108102,53312,54790,13984,7191,6793,67166,33850,33316,25897,11676,14221,5625,2910,2715,31815,14579,17236,18213,8041,10172,2309,727,1582
11237,136521,68950,67571,17491,8892,8599,84593,43708,40885,34357,16287,18070,7090,3597,3493,43856,21003,22853,22324,10401,11923,2614,809,1805
11238,62380,30975,31405,7265,3828,3437,36750,18707,18043,18290,8409,9881,2635,1360,1275,22758,10617,12141,12678,5753,6925,1934,589,1345
11239,101679,51307,50372,12931,6560,6371,61664,32042,29622,26642,12391,14251,4650,2368,2282,33614,15696,17918,17826,8281,9545,2435,726,1709
11240,52524,26133,26391,5695,2969,2726,30872,15723,15149,15874,7400,8474,2066,1060,1006,20339,9594,10745,10580,4808,5772,1610,437,1173
11241,70255,34976,35279,8802,4515,4287,43641,21990,21651,17352,8182,9170,3100,1578,1522,22336,10555,11781,11145,5227,5918,1472,433,1039
11242,56520,28069,28451,7342,3739,3603,32816,16631,16185,16287,7649,8638,2489,1254,1235,20749,9782,10967,10767,4991,5776,1613,463,1150
11243,69738,34955,34783,10721,5448,5273,43839,22409,21430,15097,7030,8067,4003,2061,1942,19363,9076,10287,9676,4424,5252,1263,338,925
11245,110970,54910,56060,15152,7680,7472,68532,35157,33375,27211,12024,15187,6095,3052,3043,33255,15031,18224,19536,8442,11094,2728,774,1954
11246,51535,25540,25995,6477,3298,3179,31790,16183,15607,13125,5982,7143,2470,1224,1246,16681,7769,8912,9128,4057,5071,1482,447,1035
11301,44442,22354,22088,7299,3807,3492,27303,14014,13289,9727,4463,5264,2490,1272,1218,12173,5629,6544,6587,3001,3586,931,264,667
11324,38456,19009,19447,5123,2612,2511,22432,11434,10998,10847,4921,5926,1738,901,837,13177,6035,7142,7651,3410,4241,1120,307,813
11326,37275,18659,18616,3677,1895,1782,22713,11711,11002,10694,4926,5768,1168,593,575,13510,6326,7184,7343,3352,3991,1061,352,709
11327,11716,5813,5903,1169,620,549,6906,3512,3394,3633,1674,1959,377,197,180,4663,2212,2451,2494,1079,1415,470,153,317
11341,18212,9344,8868,2899,1483,1416,11338,6000,5338,3929,1829,2100,1050,530,520,5183,2472,2711,2625,1151,1474,482,137,345
11342,18341,9209,9132,1894,975,919,10921,5686,5235,5405,2470,2935,627,325,302,6853,3199,3654,3638,1602,2036,616,194,422
11343,31178,15487,15691,2817,1458,1359,18392,9427,8965,9908,4543,5365,942,478,464,13082,6190,6892,6783,2929,3854,1430,436,994
11346,20788,10532,10256,2223,1165,1058,12387,6458,5929,6169,2903,3266,686,363,323,8147,3888,4259,4051,1770,2281,903,249,654
11347,19631,9807,9824,1863,946,917,12275,6349,5926,5471,2497,2974,595,303,292,7264,3436,3828,3619,1568,2051,724,221,503
11348,14338,7002,7336,1153,602,551,7599,3780,3819,5583,2618,2965,324,170,154,6995,3287,3708,3710,1717,1993,780,213,567
11349,11492,5756,5736,1017,514,503,6739,3511,3228,3734,1729,2005,328,160,168,4860,2304,2556,2559,1122,1437,608,189,419
11361,8519,4205,4314,1031,509,522,4886,2531,2355,2595,1159,1436,328,165,163,3294,1522,1772,1915,799,1116,461,139,322
11362,10133,4958,5175,1144,581,563,5538,2845,2693,3442,1525,1917,400,212,188,4351,1984,2367,2508,1042,1466,677,197,480
11363,7324,3559,3765,775,419,356,3984,2023,1961,2564,1116,1448,239,132,107,3143,1401,1742,1889,791,1098,450,130,320
11365,12117,5938,6179,1367,712,655,6712,3458,3254,4037,1767,2270,424,211,213,5190,2350,2840,3035,1251,1784,814,237,577
11369,2915,1474,1441,227,117,110,1643,852,791,1044,505,539,60,27,33,1375,688,687,754,341,413,202,69,133
11381,11207,5593,5614,1279,656,623,6592,3437,3155,3336,1500,1836,437,223,214,4274,1960,2314,2362,996,1366,616,190,426
11383,13730,6968,6762,1575,811,764,8253,4345,3908,3808,1743,2065,538,288,250,4947,2361,2586,2626,1141,1485,630,189,441
11385,30565,15090,15475,4242,2163,2079,19034,9666,9368,7270,3247,4023,1412,708,704,9559,4380,5179,4783,2054,2729,981,266,715
11408,34081,16929,17152,3680,1884,1796,20339,10455,9884,9996,4529,5467,1305,658,647,12831,5950,6881,6987,3020,3967,1470,486,984
11442,33705,17138,16567,3581,1777,1804,19920,10603,9317,10096,4676,5420,1362,661,701,12613,5915,6698,7047,3242,3805,1053,328,725
11464,45495,22798,22697,5341,2817,2524,27097,13819,13278,12993,6119,6874,1808,945,863,16515,7819,8696,8716,4062,4654,1194,383,811
11465,30061,15072,14989,3883,2011,1872,18400,9495,8905,7716,3521,4195,1202,633,569,9871,4620,5251,5134,2262,2872,724,194,530
12100,971882,482840,489042,122062,62311,59751,597580,303486,294094,238213,108536,129677,44904,23105,21799,296654,137535,159119,165557,73831,91726,25007,7865,17142
12101,205070,102109,102961,23938,12145,11793,134953,69254,65699,45880,20502,25378,9413,4828,4585,57948,26837,31111,31609,13392,18217,5896,1856,4040
12102,179200,89407,89793,20692,10653,10039,108964,55712,53252,47695,21947,25748,7494,3894,3600,58662,27271,31391,33518,15247,18271,4805,1606,3199
12103,160968,80280,80688,20103,10229,9874,97173,49629,47544,39085,17729,21356,7536,3870,3666,48963,22566,26397,27208,12065,15143,4167,1297,2870
12104,151078,76253,74825,17218,9009,8209,84832,43989,40843,44079,20168,23911,6421,3383,3038,53432,24886,28546,31690,14329,17361,4733,1472,3261
12105,126848,62194,64654,19763,9995,9768,80799,40227,40572,26169,11888,14281,7041,3594,3447,33681,15728,17953,18078,7894,10184,3130,885,2245
12106,148718,72597,76121,20348,10280,10068,90859,44675,46184,35305,16302,19003,6999,3536,3463,43968,20247,23721,23454,10904,12550,2276,749,1527
12202,64415,31005,33410,5780,2969,2811,36797,18842,17955,21627,9069,12558,1886,986,900,26938,11788,15150,15833,6201,9632,3377,974,2403
12203,481732,242652,239080,49931,25515,24416,284939,145500,139439,104735,48042,56693,19704,10125,9579,131868,61334,70534,71338,31832,39506,10193,3200,6993
12204,622890,311358,311532,82258,42346,39912,391731,201753,189978,142446,63907,78539,32556,16823,15733,176128,80213,95915,100343,44136,56207,14520,4794,9726
12205,47464,22775,24689,5205,2701,2504,24640,12386,12254,17486,7589,9897,1906,998,908,21307,9417,11890,12622,5181,7441,3081,917,2164
12206,134141,67450,66691,17688,9058,8630,80841,42257,38584,34730,15640,19090,6725,3452,3273,43641,20109,23532,24082,10545,13537,4140,1258,2882
12207,483480,240928,242552,56055,28663,27392,296656,151284,145372,121666,55317,66349,21333,10847,10486,150791,69618,81173,85003,37674,47329,12605,4060,8545
12208,153583,76541,77042,19075,9813,9262,91030,46761,44269,42678,19608,23070,6614,3391,3223,54168,25090,29078,28448,12734,15714,4520,1325,3195
12210,89688,44170,45518,9596,4843,4753,51480,26092,25388,26767,12096,14671,3390,1744,1646,33557,15444,18113,18535,8073,10462,3477,1038,2439
12211,131190,65928,65262,18347,9493,8854,83806,43164,40642,27531,12361,15170,7287,3722,3565,36106,16755,19351,18617,7870,10747,3863,1105,2758
12212,172739,84434,88305,20505,10641,9864,102334,50655,51679,49464,22961,26503,7311,3774,3537,62759,29225,33534,33364,15203,18161,5102,1585,3517
12213,60652,30219,30433,6847,3503,3344,37906,19451,18455,15418,6953,8465,2510,1268,1242,20214,9370,10844,10434,4446,5988,2061,574,1487
12215,66586,32625,33961,8119,4157,3962,39616,20381,19235,18706,7999,10707,2994,1533,1461,24033,10663,13370,13187,5173,8014,3059,829,2230
12216,167909,84323,83586,22309,11384,10925,107781,56052,51729,37455,16647,20808,8838,4493,4345,46423,20926,25497,26289,11371,14918,3901,1211,2690
12217,413954,205971,207983,52766,26941,25825,255018,129752,125266,99189,44996,54193,20296,10335,9961,124856,57200,67656,67901,30155,37746,10548,3330,7218
12218,19248,9946,9302,1419,697,722,10555,6092,4463,7265,3152,4113,455,215,240,8833,3917,4916,5416,2187,3229,1363,418,945
12219,274656,141134,133522,32976,16911,16065,167270,88619,78651,70814,33191,37623,12157,6173,5984,91471,43998,47473,48112,21807,26305,7480,2335,5145
12220,174373,86249,88124,24745,12591,12154,106813,54013,52800,41953,19128,22825,10697,5402,5295,52253,23954,28299,29093,13056,16037,4786,1556,3230
12221,193152,95224,97928,27283,13970,13313,118963,60027,58936,46873,21203,25670,9939,5149,4790,57633,26389,31244,33114,14772,18342,4650,1521,3129
12222,131606,64614,66992,16072,8315,7757,77445,38933,38512,37579,17051,20528,5562,2857,2705,46088,20971,25117,26484,11935,14549,4060,1336,2724
12223,33932,16079,17853,3524,1856,1668,17985,8724,9261,12295,5438,6857,1253,654,599,14949,6752,8197,9057,3833,5224,2296,731,1565
12224,108917,53490,55427,13793,7035,6758,65442,32901,32541,29115,13304,15811,5222,2720,2502,36041,16537,19504,20128,9054,11074,2739,870,1869
12225,86033,43622,42411,9845,5156,4689,51359,27356,24003,24339,10795,13544,3657,1936,1721,30987,14198,16789,17394,7334,10060,3426,1030,2396
12226,45601,22975,22626,4271,2221,2050,25510,13678,11832,15684,6981,8703,1428,735,693,19455,8946,10509,11216,4740,6476,2387,728,1659
12227,164024,81057,82967,23336,11952,11384,113576,56279,57297,25836,12040,13796,8028,4181,3847,33945,15946,17999,16412,7422,8990,2395,686,1709
12228,89245,44077,45168,11888,6198,5690,51765,26017,25748,24975,11543,13432,4468,2323,2145,30482,14140,16342,17238,8065,9173,2207,713,1494
12229,60952,30660,30292,8253,4234,4019,37334,19266,18068,15143,7016,8127,3087,1557,1530,19815,9384,10431,10073,4479,5594,1779,505,1274
12230,70734,35598,35136,7778,3972,3806,44540,22960,21580,18124,8509,9615,2518,1282,1236,24106,11565,12541,11723,5213,6510,1819,541,1278
12231,92670,45744,46926,13825,7058,6767,59599,29665,29934,18943,8826,10117,5416,2761,2655,26219,12570,13649,12122,5254,6868,2430,726,1704
12232,61674,30654,31020,9634,4920,4714,37404,18751,18653,14381,6814,7567,3330,1725,1605,18688,8860,9828,9421,4373,5048,1293,416,877
12233,49636,25182,24454,5888,2988,2900,31213,16142,15071,12161,5839,6322,2247,1150,1097,16297,7907,8390,7579,3511,4068,1200,355,845
12234,39033,18549,20484,3608,1846,1762,18585,9406,9179,16826,7285,9541,1181,628,553,20369,9057,11312,12473,5070,7403,3231,970,2261
12235,37261,18178,19083,4114,2081,2033,21180,10970,10210,11873,5065,6808,1416,718,698,14932,6662,8270,8525,3379,5146,2220,634,1586
12236,77499,38103,39396,7992,4155,3837,43739,22646,21093,25544,11187,14357,2699,1420,1279,32215,14603,17612,18312,7540,10772,4381,1332,3049
12237,52222,25889,26333,5214,2734,2480,30788,15874,14914,16121,7210,8911,1737,919,818,20655,9640,11015,11262,4729,6533,2354,698,1656
12238,38594,18719,19875,3691,1930,1761,20186,10286,9900,14679,6486,8193,1312,691,621,17887,8109,9778,10798,4545,6253,2604,811,1793
12239,49184,24250,24934,5637,2873,2764,29451,14789,14662,13912,6473,7439,1977,1004,973,18056,8542,9514,9424,4185,5239,1773,582,1191
12322,20955,10327,10628,2476,1269,1207,12363,6217,6146,5970,2785,3185,795,413,382,7518,3495,4023,3923,1817,2106,514,158,356
12329,21228,10338,10890,1927,948,979,12834,6329,6505,6400,3006,3394,703,347,356,8867,4211,4656,3970,1757,2213,750,227,523
12342,6133,3086,3047,600,333,267,3579,1886,1693,1954,867,1087,194,98,96,2457,1137,1320,1458,615,843,347,120,227
12347,14724,7337,7387,1384,701,683,8372,4457,3915,4936,2152,2784,504,244,260,6197,2824,3373,3643,1472,2171,899,278,621
12349,14152,6984,7168,1456,735,721,7857,4100,3757,4831,2142,2689,446,231,215,6159,2819,3340,3405,1447,1958,795,255,540
12403,16510,8039,8471,1487,783,704,9190,4727,4463,5783,2493,3290,478,262,216,7292,3256,4036,4059,1611,2448,886,220,666
12409,7431,3650,3781,776,394,382,4221,2215,2006,2431,1039,1392,253,136,117,3052,1376,1676,1801,712,1089,480,116,364
12410,23762,11586,12176,2556,1361,1195,13062,6612,6450,8000,3528,4472,863,449,414,9929,4497,5432,5770,2390,3380,1365,415,950
12421,11767,5716,6051,1519,797,722,6527,3279,3248,3703,1626,2077,559,294,265,4561,2041,2520,2631,1094,1537,573,185,388
12422,7222,3439,3783,703,345,358,3826,1905,1921,2693,1189,1504,273,124,149,3360,1513,1847,1963,822,1141,502,141,361
12423,14359,7057,7302,1579,808,771,8360,4264,4096,4419,1985,2434,500,258,242,5538,2547,2991,3064,1313,1751,625,197,428
12424,11149,5513,5636,1034,550,484,6033,3092,2941,4077,1867,2210,358,188,170,5077,2369,2708,2883,1250,1633,628,208,420
12426,7337,3588,3749,617,326,291,3974,2049,1925,2746,1213,1533,206,120,86,3449,1582,1867,1952,800,1152,558,146,412
12427,8206,4004,4202,645,333,312,4472,2291,2181,3088,1379,1709,210,103,107,3955,1827,2128,2292,971,1321,611,198,413
12441,9843,4708,5135,862,431,431,5087,2563,2524,3872,1700,2172,291,134,157,4765,2165,2600,2923,1185,1738,905,290,615
12443,7315,3439,3876,516,264,252,3318,1619,1699,3478,1555,1923,161,90,71,4110,1860,2250,2533,1093,1440,578,171,407
12463,8022,3837,4185,646,357,289,3880,1948,1932,3492,1529,1963,192,103,89,4205,1903,2302,2549,1062,1487,620,201,419
13100,9272740,4567247,4705493,1002130,511565,490565,6088409,3093638,2994771,1997870,860523,1137347,429430,218657,210773,2480303,1104655,1375648,1429715,582785,846930,271485,82419,189066
13101,58406,29343,29063,6698,3372,3326,39564,20567,18997,10286,4296,5990,2993,1523,1470,12764,5554,7210,7350,2893,4457,1604,460,1144
13102,141183,67536,73647,16798,8496,8302,101311,49478,51833,22694,9339,13355,8793,4412,4381,28591,12306,16285,15961,6121,9840,3153,869,2284
13103,243283,114717,128566,30012,15146,14866,170255,82089,88166,42694,17265,25429,15077,7543,7534,53649,22510,31139,29939,11400,18539,6509,1796,4713
13104,333560,167258,166302,27060,13873,13187,232488,120802,111686,65274,27606,37668,12387,6302,6085,80951,35621,45330,46712,18412,28300,9696,2814,6882
13105,219724,105990,113734,23478,11806,11672,146424,72339,74085,41946,17472,24474,10390,5224,5166,52407,22545,29862,29994,11804,18190,6443,1914,4529
13106,198073,101982,96091,17601,8991,8610,131798,70437,61361,46590,21462,25128,7912,4086,3826,57622,27563,30059,33147,14162,18985,6470,1974,4496
13107,256274,127925,128349,26607,13631,12976,169311,87301,82010,58196,25511,32685,11610,5956,5654,72663,33032,39631,41627,17087,24540,7605,2205,5400
13108,498109,246750,251359,62350,31995,30355,327546,166908,160638,105036,45974,59062,27834,14253,13581,132478,59645,72833,72568,30154,42414,11394,3369,8025
13109,386855,191090,195765,40415,20572,19843,256619,130471,126148,78247,33469,44778,18568,9400,9168,97815,43282,54533,55033,22151,32882,10407,3121,7286
13110,277622,130947,146675,28671,14678,13993,191610,92449,99161,55198,22680,32518,12950,6654,6296,68030,28821,39209,39821,15481,24340,8947,2591,6356
13111,717082,359753,357329,76485,38968,37517,469449,244205,225244,158190,69130,89060,31678,16169,15509,197551,89461,108090,111692,45957,65735,21340,6461,14879
13112,903346,428874,474472,97019,49475,47544,573317,277039,296278,184512,77886,106626,40411,20111,20300,228961,99245,129716,132512,53521,78991,27900,9001,18899
13113,224533,107986,116547,19156,9757,9399,148581,73025,75556,43899,18217,25682,9128,4703,4425,54732,23604,31128,31280,12368,18912,6310,1874,4436
13114,328215,165382,162833,26531,13562,12969,223586,117327,106259,67709,28705,39004,12207,6235,5972,83931,36888,47043,48844,19487,29357,10092,3023,7069
13115,563997,271737,292260,54535,27817,26718,370649,182397,188252,124460,53219,71241,23560,12036,11524,152915,67032,85883,90474,37217,53257,18643,5659,12984
13116,291167,146827,144340,23828,12001,11827,205853,108292,97561,57418,24471,32947,10803,5451,5352,71722,31932,39790,40644,16067,24577,8556,2500,6056
13117,341076,169829,171247,33535,17147,16388,216612,112859,103753,86840,37273,49567,14895,7614,7281,106399,47411,58988,63001,25437,37564,12188,3634,8554
13118,212264,105113,107151,23588,12017,11571,137510,70525,66985,48930,21572,27358,10216,5165,5051,60936,27753,33183,34689,14288,20401,6514,1884,4630
13119,561916,276592,285324,59238,30439,28799,361101,183737,177364,128058,55085,72973,24988,12967,12021,159723,71132,88591,91047,36943,54104,17191,5173,12018
13120,721722,351609,370113,86105,44327,41778,472513,236938,235575,158290,67772,90518,34342,17620,16722,195357,86467,108890,116021,47393,68628,23136,7651,15485
13121,670122,334922,335200,79365,40458,38907,416200,216103,200097,165151,72573,92578,31676,16064,15612,202725,91978,110747,119772,50120,69652,18669,5633,13036
13122,442913,221621,221292,52325,26954,25371,281456,146907,134549,109059,47718,61341,21243,10906,10337,134977,61238,73739,78820,32392,46428,13959,4326,9633
13123,681298,343464,337834,90730,46083,44647,444656,231443,213213,139193,61828,77365,35769,18263,17506,173404,79635,93769,98767,41930,56837,14759,4487,10272
13201,577513,291238,286275,66908,34314,32594,355230,185261,169969,140909,63333,77576,24178,12455,11723,175964,80407,95557,98974,43051,55923,17146,5420,11726
13202,176295,86978,89317,18749,9527,9222,101975,52235,49740,40378,17580,22798,7312,3783,3529,50270,22444,27826,28615,11945,16670,4804,1482,3322
13203,144730,69475,75255,16237,8352,7885,95181,46638,48543,30819,12977,17842,7072,3652,3420,38115,16507,21608,22218,8892,13326,4996,1580,3416
13204,186936,90641,96295,22255,11428,10827,122788,61317,61471,38962,16560,22402,9198,4708,4490,48349,21318,27031,28167,11412,16755,6123,1961,4162
13205,137381,68677,68704,15906,8170,7736,82801,43421,39380,38660,17078,21582,5437,2789,2648,48512,22086,26426,27411,11589,15822,5787,1539,4248
13206,260274,132172,128102,34287,17591,16696,169863,89760,80103,53564,23591,29973,13707,6997,6710,66972,30476,36496,38164,15957,22207,7136,2332,4804
13207,111539,55394,56145,14011,7071,6940,69486,35848,33638,27445,12116,15329,5522,2757,2765,34674,15760,18914,19191,8031,11160,3444,1069,2375
13208,229061,111921,117140,27647,14045,13602,151021,76385,74636,48182,20512,27670,11413,5722,5691,59853,26250,33603,34733,14084,20649,6679,2189,4490
13209,432348,212312,220036,55649,28699,26950,262725,132929,129796,109460,47802,61658,19535,10108,9427,134238,59750,74488,78977,33693,45284,13749,4334,9415
13210,121396,60168,61228,13787,7075,6712,81168,41676,39492,24246,10339,13907,5740,2922,2818,30673,13569,17104,17350,7015,10335,3699,1258,2441
13211,190005,93777,96228,24118,12442,11676,122046,62090,59956,42139,18194,23945,9838,5054,4784,52288,23270,29018,30714,12732,17982,5824,1954,3870
13212,186283,93349,92934,23438,11919,11519,116235,60838,55397,43709,19249,24460,9266,4725,4541,53714,24122,29592,31555,13569,17986,5416,1873,3543
13213,149956,73314,76642,18482,9518,8964,91302,46148,45154,38211,16498,21713,6834,3523,3311,47062,20870,26192,27944,11655,16289,5239,1763,3476
13214,122742,60274,62468,14184,7295,6889,80666,40988,39678,25545,10872,14673,5567,2915,2652,31789,13992,17797,18482,7593,10889,3720,1246,2474
13215,73655,35970,37685,8525,4450,4075,48729,24529,24200,16238,6926,9312,3285,1714,1571,20481,9034,11447,11601,4673,6928,2385,750,1635
13218,58395,29238,29157,5016,2541,2475,31693,16576,15117,13577,5882,7695,1896,946,950,17221,7751,9470,9710,3999,5711,1865,521,1344
13219,80249,39206,41043,8886,4557,4329,50879,25657,25222,18984,8095,10889,3762,1922,1840,23079,10144,12935,13965,5675,8290,2622,866,1756
13220,85157,41820,43337,11438,5795,5643,51694,26242,25452,21443,9507,11936,4536,2335,2201,26352,11964,14388,15311,6603,8708,2232,738,1494
13221,74864,35968,38896,9288,4788,4500,44083,21828,22255,20624,8788,11836,3339,1689,1650,25044,10989,14055,15447,6351,9096,2827,881,1946
13222,116632,56738,59894,14400,7401,6999,70159,35386,34773,31095,13536,17559,5557,2792,2765,38054,16990,21064,22636,9611,13025,3650,1271,2379
13223,71229,35556,35673,10361,5262,5099,42790,22146,20644,17567,7825,9742,3520,1816,1704,21845,9968,11877,12431,5421,7010,1749,522,1227
13224,146631,71762,74869,17296,8816,8480,90167,45364,44803,38786,17388,21398,6572,3309,3263,48320,21787,26533,26634,11683,14951,3994,1259,2735
13225,87636,44041,43595,12980,6639,6341,55815,28747,27068,18113,8175,9938,4890,2537,2353,22792,10504,12288,12545,5501,7044,2028,585,1443
13227,55833,28451,27382,7264,3677,3587,35020,18628,16392,13399,6059,7340,2643,1370,1273,16771,7731,9040,9350,4075,5275,1507,477,1030
13228,80954,40218,40736,10744,5549,5195,47172,24121,23051,22565,10334,12231,3811,1961,1850,27738,12880,14858,16257,7244,9013,2976,924,2052
13229,200012,97830,102182,24180,12357,11823,127840,64680,63160,45992,19527,26465,9512,4866,4646,57013,24958,32055,33520,13529,19991,6805,2217,4588
13303,33445,16951,16494,4105,2105,2000,20434,10739,9695,8702,3981,4721,1404,708,696,11032,5156,5876,5909,2599,3310,1023,263,760
13305,17446,8485,8961,2200,1135,1065,8712,4505,4207,6167,2644,3523,906,454,452,7313,3167,4146,4509,1834,2675,1197,290,907
13307,2209,1081,1128,153,76,77,1016,570,446,1040,435,605,59,32,27,1246,547,699,832,314,518,250,62,188
13308,5234,2579,2655,335,179,156,2375,1319,1056,2522,1081,1441,106,49,57,3002,1336,1666,1946,773,1173,528,136,392
13361,7884,4031,3853,873,458,415,4220,2372,1848,2791,1201,1590,356,199,157,3418,1543,1875,2032,815,1217,468,140,328
13362,337,191,146,54,29,25,205,123,82,78,39,39,24,11,13,105,56,49,51,22,29,14,5,9
13363,2749,1344,1405,316,149,167,1403,749,654,1030,446,584,120,47,73,1277,574,703,767,309,458,211,72,139
13364,1891,969,922,286,148,138,1080,581,499,525,240,285,116,57,59,709,341,368,376,159,217,86,38,48
