area_code,Total population (Both sexes),Total population (Male),Total population (Female),Total population (under 15),"Population (under 15, Male)","Population (under 15, Female)",Total population (15-64),"Population (15-64, Male)","Population (15-64, Female)",Total population (65 and over),"Population (65 and over, Male)","Population (65 and over, Female)","Population (0-5, Total)","Population (0-5, Male)","Population (0-5, Female)","Population (60 and over, Total)","Population (60 and over, Male)","Population (60 and over, Female)","Population (70 and over, Total)","Population (70 and over, Male)","Population (70 and over, Female)","Population (85 and over, Total)","Population (85 and over, Male)","Population (85 and over, Female)"
01632,6132,2939,3193,844,422,422,3494,1780,1714,1794,737,1057,300,148,152,2344,1029,1315,1331,519,812,367,108,259
01633,4765,2300,2465,543,277,266,2543,1302,1241,1676,719,957,186,94,92,2067,904,1163,1306,535,771,305,116,189
01634,5542,2718,2824,808,406,402,3167,1631,1536,1567,681,886,305,154,151,1980,887,1093,1182,488,694,299,99,200
01635,6288,3123,3165,661,354,307,3441,1809,1632,2183,957,1226,265,144,121,2679,1212,1467,1639,703,936,363,122,241
01636,9599,4683,4916,1095,571,524,5167,2659,2508,3330,1448,1882,428,234,194,4123,1841,2282,2504,1046,1458,592,204,388
01637,18484,8773,9711,2815,1412,1403,10600,5167,5433,5042,2175,2867,936,459,477,6406,2847,3559,3664,1519,2145,854,272,582
01638,3966,1932,2034,519,250,269,2359,1230,1129,1087,451,636,214,108,106,1341,573,768,802,326,476,176,58,118
01639,3185,1567,1618,431,230,201,1831,959,872,923,378,545,152,86,66,1163,505,658,722,285,437,186,64,122
01641,5738,2810,2928,702,355,347,3092,1613,1479,1943,842,1101,292,154,138,2410,1079,1331,1467,615,852,405,135,270
01642,7030,3357,3673,757,370,387,3822,1971,1851,2451,1016,1435,263,130,133,3074,1330,1744,1808,726,1082,391,115,276
01643,26760,12627,14133,3542,1792,1750,15173,7286,7887,8025,3536,4489,1269,635,634,10071,4497,5574,5748,2471,3277,1297,434,863
01644,6882,3253,3629,622,317,305,3437,1710,1727,2751,1185,1566,195,104,91,3346,1460,1886,2060,865,1195,479,173,306
